pt,en,fr,title,speaker,duration,tags
"
","
","
",The loves and lies of fireflies,Sara Lewis,13:51,"biology,evolution,insects"
"
											Como cientista, e também como ser humano,
											tenho tentado tornar-me
											suscetível à maravilha.
											Acho que a noite passada 
Jason Webley chamou-lhe
											""conspirando para fazer parte da magia.""
											É uma sorte que 
a minha carreira como bióloga
											me permita mergulhar profundamente na vida
											de algumas criaturas 
verdadeiramente maravilhosas
											que partilham o nosso planeta:
											os pirilampos.
									","
											As a scientist, and also as a human being,
											I've been trying to make myself
											susceptible to wonder.
											I think Jason Webley last night called it
											""conspiring to be part of the magic.""
											So it's fortunate that my career as a biologist
											lets me dive deeply into the lives
											of some truly wondrous creatures
											that share our planet:
											fireflies.
									","
											En tant que scientifique
mais aussi qu'être humain,
											j'essaie de rester
											capable de m'émerveiller.
											Je crois qu'hier soir, 
Jason Webley a appelé ça
											« Conspirer pour 
faire partie de la magie. »
											Il est donc heureux que 
ma carrière de biologiste
											me permette de plonger 
dans les vies
											de créatures absolument
merveilleuses
											qui partagent notre planète :
											les lucioles.
									",The loves and lies of fireflies,Sara Lewis,13:51,"biology,evolution,insects"
"
","
","
",The loves and lies of fireflies,Sara Lewis,13:51,"biology,evolution,insects"
"
											Sei que, para muitos de nós,
											os pirilampos podem trazer 
muitas boas recordações:
											a infância, o verão,
											até outras palestras TED.
											Talvez qualquer coisa destas.
									","
											Now, for many of you, I know that fireflies
											might conjure up some really great memories:
											childhood, summertime,
											even other TED Talks.
											Maybe something like this.
									","
											Pour un grand nombre d'entre vous,
je sais que les lucioles
											peuvent évoquer de
magnifiques souvenirs :
											l'enfance, l'été,
											voire d'autres présentations TED.
											Peut-être quelque chose de ce genre.
									",The loves and lies of fireflies,Sara Lewis,13:51,"biology,evolution,insects"
"
","
","
",The loves and lies of fireflies,Sara Lewis,13:51,"biology,evolution,insects"
"
											A minha fascinação 
pelo mundo dos pirilampos
											começou quando eu estava no liceu.
											Uma noite, estava eu sentada 
no meu quintal
											na Carolina do Norte
											quando, de repente, 
estas cintilações silenciosas
											surgiram à minha volta.
											Comecei a perguntar-me:
											Como é que estas criaturas fazem luz,
											e o que é toda esta cintilação?
											Estão a conversar uns com os outros?
											O que acontece 
depois de as luzes se apagarem?
											Tive suficiente sorte para responder
											a algumas destas perguntas,
											à medida que explorei esse mundo noturno.
									","
											My seduction into the world of fireflies
											began when I was back in graduate school.
											One evening, I was sitting out in my backyard
											in North Carolina,
											and suddenly, these silent sparks
											rose up all around me,
											and I began to wonder:
											How do these creatures make light,
											and what's with all this flashing?
											Are they talking to one another?
											And what happens after the lights go out?
											I've been lucky enough to answer
											some of these questions
											as I've explored this nocturnal world.
									","
											Mon attrait pour 
le monde des lucioles
											a commencé lorsque j'étais en maîtrise.
											Un soir, j'étais assise dans mon patio,
											en Caroline du Nord,
											et soudain, 
ces étincelles silencieuses
											se sont élevées 
tout autour de moi,
											et j'ai commencé à me demander :
											Comment ces créatures 
créent-elles de la lumière,
											et qu'en est-il de ces clignotements ?
											Est-ce qu'elles se parlent ?
											Et que se passe-t-il une fois que 
les lumières s'éteignent ?
											J'ai eu la chance de répondre
											à quelques unes de ces questions
											alors que j'étudiais
ce monde de la nuit.
											Si vous avez déjà vu
											ou même entendu parler des lucioles,
											alors vous connaissez avec quelle magie 
elles peuvent transformer
											notre paysage quotidien en une chose
											céleste et mystique,
											et ça se passe sur toute la planète,
											comme sur ces flancs des
Smoky Mountains
											que j'ai vu se transformer 
en une cascade vivante de lumière
											grâce aux lueurs surnaturelles
des lucioles,
											ou une rivière près de la route
que j'ai visité au Japon
											alors qu'elle donnait naissance 
aux éclairs lents et flottants
											de ces lucioles Genji,
											ou en Malaisie, les arbres de la mangrove
											où fleurissent la nuit
											non pas des fleurs,
											mais des lumières d'un millier —
(Bip ! Bip !) — de lucioles,
											clignotant toutes ensemble
											en une étonnante synchronisation.
											Ces paysages lumineux
											me remplissent encore d'émerveillement,
											et me gardent connectée à la magie
											du monde naturel.
									",The loves and lies of fireflies,Sara Lewis,13:51,"biology,evolution,insects"
"
","
","
",The loves and lies of fireflies,Sara Lewis,13:51,"biology,evolution,insects"
"
											Agora, se vocês já viram
											ou já ouviram falar de pirilampos,
											sabem como eles podem 
tranformar magicamente
											a nossa paisagem quotidiana
											numa coisa etérea e do outro mundo.
											Isto acontece em todo o globo,
											como nesta encosta em Smoky Mountains
											que eu vi transformada 
numa cascata viva de luz
											pelos brilhos estranhos desses 
fantasmagóricos pirilampos azuis,
											ou num rio à beira da estrada 
que visitei no Japão,
											que parecia gerar 
lentas cintilações flutuantes
											desses pirilampos de Genji.
											Ou na Malásia, nas árvores de mangue
											onde assisti a uma floração noturna,
											não de flores,
											mas de luzes de milhares 
— clic! clic! — de pirilampos,
											todos a cintilar ao mesmo tempo
											numa sincronia impressionante.
											Estas paisagens luminosas
											ainda me enchem de admiração,
											e mantêm-me ligada à magia
											do mundo natural.
									","
											Now if you've ever seen
											or even heard about fireflies,
											then you'll know how magically they can transform
											our everyday landscape into something
											ethereal and otherworldly,
											and this happens around the globe,
											like this hillside in the Smoky Mountains
											that I saw transformed into a living cascade of light
											by the eerie glows of these blue ghost fireflies,
											or a roadside river that I visited in Japan
											as it was giving birth to the slow, floating flashes
											of these Genji fireflies,
											or in Malaysia, the mangrove trees
											that I watched blossom nightly
											not with flowers
											but with the lights of a thousand — 
(Bleep! Bleep!) — fireflies,
											all blinking together
											in stunning synchrony.
											These luminous landscapes
											still fill me with wonder,
											and they keep me connected to the magic
											of the natural world.
									","
											Et je trouve ça incroyable que
											ce soit créé par ces si petits insectes.
											Les lucioles sont charmantes.
											Elles sont charismatiques.
											On les célèbre dans l'art
											et dans les poèmes depuis des siècles.
											J'ai voyagé autour du monde,
											et j'ai rencontré beaucoup de penseurs
											qui m'ont dit que, Dieu a créé les lucioles
											pour le plaisir des humains.
											Et pour le plaisir d'autres créatures.
											Je pense que ces insectes gracieux
sont vraiment miraculeux
											parce qu'ils témoignent si joliment de
											l'improvisation créative de l'évolution.
											Ils sont façonnés par deux puissantes
											forces évolutionnaires :
											la sélection naturelle, 
la lutte pour la survie,
											et la sélection sexuelle,
											la lutte pour les opportunités
de reproduction.
											En tant qu'accro des lucioles,
											ces 20 dernières années 
ont été palpitantes.
											Avec mes étudiants 
de l'Université de Tufts
											et d'autres collègues,
											nous avons fait beaucoup 
de découvertes sur les lucioles :
											leurs sérénades et leurs vies sexuelles,
											leurs trahisons et leurs meurtres.
											Aujourd’hui j'aimerais partager avec vous
											une partie des histoires récoltées,
											issues de nos aventures collectives
											dans ce monde caché.
									",The loves and lies of fireflies,Sara Lewis,13:51,"biology,evolution,insects"
"
","
","
",The loves and lies of fireflies,Sara Lewis,13:51,"biology,evolution,insects"
"
											Acho que é surpreendente que sejam criadas
											por estes pequenos insetos.
											Pessoalmente, 
os pirilampos são encantadores.
											São carismáticos.
											Têm sido celebrados na arte
											e na poesia ao longo de séculos.
											Como tenho viajado à volta do mundo,
											conheci muitas pessoas profundas
											que me disseram que Deus 
pôs os pirilampos na Terra
											para que os humanos os desfrutem.
											Outras criaturas 
também os podem desfrutar.
											Acho que esses insetos graciosos 
são realmente milagrosos
											porque iluminam tão maravilhosamente
											a improvisação criativa da evolução.
											Foram moldados por 
duas poderosas forças evolutivas:
											a seleção natural, 
a luta pela sobrevivência
											e a seleção sexual,
											a luta por uma oportunidade reprodutiva.
											Para uma viciada em pirilampos,
											os últimos vinte anos 
têm sido uma jornada excitante.
											Juntamente com os meus alunos 
na Universidade Tufts
											e com outros colegas,
											temos feito muitas descobertas 
sobre os pirilampos,
											a sua parada nupcial e a sua vida sexual,
											as suas traições e assassínios.
											Portanto, gostaria de partilhar convosco
											algumas histórias que recolhemos
											nas nossas aventuras coletivas
											neste mundo escondido.
									","
											And I find it amazing that they're created
											by these tiny insects.
											In person, fireflies are charming.
											They're charismatic.
											They've been celebrated in art
											and in poetry for centuries.
											As I've traveled around the world,
											I've met many thoughtful people
											who have told me that God put fireflies on Earth
											for humans to enjoy.
											Other creatures can enjoy them too.
											I think these graceful insects are truly miraculous
											because they so beautifully illuminate
											the creative improvisation of evolution.
											They've been shaped by two powerful
											evolutionary forces:
											natural selection, the struggle for survival,
											and sexual selection,
											the struggle for reproductive opportunity.
											As a firefly junkie, the past 20 years
											have been quite an exciting ride.
											Together with my students at Tufts University
											and other colleagues,
											we've made lots of new discoveries about fireflies:
											their courtship and sex lives,
											their treachery and murder.
											So today I'd like to share with you
											just a couple of tales that we've brought back
											from our collective adventures
											into this hidden world.
									","
											Les lucioles appartiennent 
à un groupe d'insectes
											magnifique et varié : les coléoptères.
											Dans le monde, il y a plus
de 2 000 espèces de lucioles
											qui ont élaboré
											des signaux de sérénade 
remarquablement variés,
											autant de manières différentes
de trouver et d'attirer ses partenaires.
											Il y a 150 millions d'années,
											les premières lucioles 
devaient ressembler à ça.
											Elles volaient la journée,
											et ne s'allumaient pas.
											Les mâles utilisaient 
leurs fabuleuses antennes
											pour détecter le parfum des femelles.
											Chez certaines lucioles, 
seules les femelles brillent.
											Elles sont charnues et dépourvues d'ailes,
											donc chaque nuit, elles sont perchées
											et brillent pendant des heures
											pour attirer les mâles volants 
mais qui ne produisent pas de lumière.
											Chez encore d'autres lucioles, 
les deux sexes
											utilisent de rapides signaux lumineux 
pour se trouver.
											Ici, en Amérique du Nord,
											nous avons plus de 100 sortes de lucioles
											qui ont la capacité de briller
											grâce à leurs corps
											sous la forme de lumière.
											Comment font-elles ça ?
											Ça parait tout à fait magique,
											mais ces signaux bioluminescents
											viennent des réactions chimiques
											qui se déroulent à l'intérieur 
de la lanterne de la luciole.
											L'étoile principale est une enzyme
appelée « luciférase »,
											qui, au cours de l'évolution,
											a trouvé un moyen 
pour entourer de ses petits bras
											une molécule encore plus petite
appelée « luciférine »
											qui devient tellement excitée
au cours du processus
											qu'elle dégage de la lumière.
											Incroyable.
									",The loves and lies of fireflies,Sara Lewis,13:51,"biology,evolution,insects"
"
","
","
",The loves and lies of fireflies,Sara Lewis,13:51,"biology,evolution,insects"
"
											Os pirilampos pertencem a um grupo
											muito bonito e variado 
de insetos, os besouros.
											Há no mundo, mais de 
2000 espécies de pirilampos,
											que desenvolveram sinais 
muito variados de parada nupcial,
											ou seja, diferentes maneiras 
de encontrar e atrair parceiros.
											Há cerca de 150 milhões de anos,
											os primeiros pirilampos tinham 
provavelmente, este aspeto.
											Voavam de dia
											e não se iluminavam.
											Em vez disso, os machos usavam 
as suas fantásticas antenas
											para farejar perfumes 
emitidos pelas fêmeas.
											Noutros pirilampos, 
somente as fêmeas se iluminam.
											São atraentemente gordas e não têm asas,
											por isso, todas as noites, 
sobem a poleiros
											e brilham vivamente durante horas
											para atrair os machos voadores, 
que não têm luz.
											Noutros pirilampos, ambos os sexos
											usam cintilações luminosas e rápidas 
para encontrar os seus pares.
											Aqui na América do Norte,
											temos mais de cem tipos 
diferentes de pirilampos
											que têm a extraordinária capacidade 
de irradiar energia
											para fora dos seus corpos,
											sob a forma de luz.
											Como é que eles fazem isso?
											Parece totalmente mágico,
											mas esses sinais bioluminescentes surgem
											de reações químicas 
cuidadosamente orquestradas
											que acontecem 
dentro da lanterna do pirilampo.
											A estrela principal é uma enzima 
chamada luciferase
											que, no decurso da evolução,
											descobriu uma maneira 
de envolver nos seus bracinhos
											uma molécula ainda menor 
chamada luciferina,
											que, durante o processo, fica tão excitada
											que acaba por emitir luz.
											Incrível!
									","
											Fireflies belong to a very beautiful
											and diverse group of insects, the beetles.
											Worldwide, there are more than 2,000 firefly species,
											and these have evolved remarkably diverse
											courtship signals,
											that is, different ways to find and attract mates.
											Around 150 million years ago,
											the very first fireflies probably looked like this.
											They flew during the daytime
											and they didn't light up.
											Instead, males used their fantastic antennae
											to sniff out perfumes given off by their females.
											In other fireflies, it's only the females who light up.
											They are attractively plump and wingless,
											so every night, they climb up onto perches
											and they glow brightly for hours
											to attract their flying but unlit males.
											In still other fireflies, both sexes
											use quick, bright flashes to find their mates.
											Here in North America,
											we have more than 100 different kinds of firefly
											that have the remarkable ability to shine energy
											out from their bodies
											in the form of light.
											How do they do that?
											It seems totally magical,
											but these bioluminescent signals
											arise from carefully orchestrated chemical reactions
											that happen inside the firefly lantern.
											The main star is an enzyme called luciferase,
											which in the course of evolution
											has figured out a way to wrap its tiny arms
											around an even smaller molecule called luciferin,
											in the process getting it so excited
											that it actually gives off light.
											Incredible.
									","
											Mais comment ces lumières
											ont profité à tellement 
de proto-lucioles ?
											Pour y répondre, revenons
											à l'album de famille, 
à ces photos de bébés.
									",The loves and lies of fireflies,Sara Lewis,13:51,"biology,evolution,insects"
"
","
","
",The loves and lies of fireflies,Sara Lewis,13:51,"biology,evolution,insects"
"
											Como é que estas luzes brilhantes
											podem ter beneficiado 
alguns desses proto-pirilampos?
											Para responder a esta pergunta,
											precisamos de voltar ao álbum de família 
para algumas fotos de bebés.
											Os pirilampos reinventam completamente 
os seus corpos à medida que crescem.
											Gastam uma boa parte da sua vida
											até aos dois anos,
											nesta forma larval.
											O seu principal objetivo, 
tal como os adolescentes,
											é comer e crescer.
											A luz do pirilampo formou-se 
inicialmente nestes jovens.
											Todas as larvas de pirilampos 
podem iluminar-se
											mesmo quando em adultos não podem.
									","
											But how could these bright lights
											have benefited some proto-firefly?
											To answer this question, we need to flip back
											in the family album to some baby pictures.
											Fireflies completely reinvent
their bodies as they grow.
											They spend the vast majority of their lifetime,
											up to two years,
											in this larval form.
											Their main goal here, like my teenagers,
											is to eat and grow.
											And firefly light first originated
											in these juveniles.
											Every single firefly larva can light up,
											even when their adults can't.
									","
											Les lucioles réinventent leurs corps
à mesure qu'elles grandissent.
											Elles passent la majeure partie
de leurs vies,
											jusqu'à 2 ans,
											sous cette forme larvaire.
											Ici le but principal, 
comme mes adolescents,
											est de manger et grandir.
											Et la lumière des lucioles commence
											à cette période-là.
											Chaque larve de luciole peut briller
											même lorsque les adultes 
ne le peuvent pas.
									",The loves and lies of fireflies,Sara Lewis,13:51,"biology,evolution,insects"
"
","
","
",The loves and lies of fireflies,Sara Lewis,13:51,"biology,evolution,insects"
