en,es,de,tr,fr,title,speaker,duration,tags
"
","
","
","
","
",A global food crisis may be less than a decade away,Sara Menker,17:53,"Africa,agriculture,data,future,economics,farming,food,global issues,investment,society"
"
											Since 2009, the world has been stuck
											on a single narrative
around a coming global food crisis
											and what we need to do to avoid it.
											How do we feed
nine billion people by 2050?
											Every conference, podcast
and dialogue around global food security
											starts with this question
											and goes on to answer it
											by saying we need to produce
70 percent more food.
									","
											Desde 2009, el mundo está atascado
											en una sola narrativa sobre una crisis 
alimentaria mundial que se avecina
											y lo que debemos hacer para evitarla.
											¿Cómo alimentamos a 9000 millones 
de personas en 2050?
											Cada conferencia, podcast y diálogo 
sobre la seguridad alimentaria global
											comienza con esta pregunta
											y sigue con una respuesta
											que dice que necesitamos producir 
un 70 % más de alimentos.
									","
											Seit 2009 dreht sich die Welt
											nur um ein Thema bezüglich einer 
kommenden Nahrungsmittelkrise
											und wie man ihr vorbeugen kann.
											Wie ernähren wir 9 Mrd. 
Menschen im Jahr 2050?
											Jede Konferenz, jeder Podcast und Dialog 
über die globale Nahrungssicherheit
											beginnt mit dieser Frage
											und endet mit dem Fazit,
											dass wir 70 % mehr Nahrungsmittel 
produzieren müssen.
									","
											2009'dan bu yana dünya,
											yaklaşan küresel gıda krizi
ve kaçınmak için yapmamız gerekenler
											hikayesine takılı kalmış durumda.
											2050'lerde dokuz milyar insanı
nasıl besleyeceğiz?
											Küresel gıda güvenliğine dair
tüm konferans, podcast ve diyaloglar
											bu soruyla başlıyor.
											Devamında da yüzde 70 daha fazla
											gıda üretimi bahsiyle cevaplanıyor.
									","
											Depuis 2009, le monde est bloqué
											dans le même discours
autour de la crise alimentaire mondiale
											et de ce que l'on doit faire
pour l'éviter.
											Comment nourrir neuf milliards
de personnes d'ici 2050 ?
											Chaque conférence, podcast et dialogue
sur la sécurité alimentaire mondiale
											débute avec cette question
											et y répond
											en disant qu'il faut produire
70 % de nourriture en plus.
									",A global food crisis may be less than a decade away,Sara Menker,17:53,"Africa,agriculture,data,future,economics,farming,food,global issues,investment,society"
"
","
","
","
","
",A global food crisis may be less than a decade away,Sara Menker,17:53,"Africa,agriculture,data,future,economics,farming,food,global issues,investment,society"
"
											The 2050 narrative started to evolve
											shortly after global food prices
hit all-time highs in 2008.
											People were suffering and struggling,
											governments and world leaders
											needed to show us
that they were paying attention
											and were working to solve it.
											The thing is, 2050
is so far into the future
											that we can't even relate to it,
											and more importantly,
											if we keep doing what we're doing,
											it's going to hit us
a lot sooner than that.
									","
											La narrativa de 2050 comenzó 
a evolucionar poco después de que
											el precio mundial de los alimentos 
llegara al máximo histórico en 2008.
											La gente estaba sufriendo y luchando,
											gobiernos y líderes mundiales
											tenían que mostrarnos 
que prestaban atención
											y trabajaban para resolverlo.
											El tema es que el 2050 
está tan lejos en el futuro
											que ni siquiera podemos 
identificarnos con eso,
											y más importante,
											si seguimos haciendo 
lo que estamos haciendo,
											va a golpearnos mucho antes 
que esa fecha.
									","
											Dieses ""2050-Thema"" entwickelte sich
											kurz nach dem neuen globalen Preisrekord
für Nahrung im Jahr 2008.
											Die Menschen litten und quälten sich ab,
											die Regierungen und Staatsoberhäupter
											mussten sich des Problems annehmen
											und nach einer Lösung suchen.
											Doch 2050 ist so weit entfernt,
											dass wir gar keine Beziehung dazu haben.
											Noch wichtiger:
											Wenn wir wie bisher weitermachen,
											wird es uns viel eher als gedacht treffen.
									","
											2050 hikayesi, küresel gıda fiyatlarının
											2008'de tüm zamanların en yüksek değerine
ulaşmasıyla evrilmeye başladı.
											İnsanlar zorluk ve acı çekiyordu,
											devletler ve dünya liderleri
											ilgilendiklerini
ve çözmeye çalıştıklarını
											bize gösterme gereği duydular.
											Olay şu ki,
2050 alaka kuramadığımız kadar
											uzak bir gelecek gibi,
											daha da önemlisi,
											yaptığımızı yapmaya devam edersek,
											çok daha yakın bir zamanda bizi vuracak.
									","
											Le discours sur 2050 a évolué
											peu après la hausse élevée des prix
mondiaux de la nourriture en 2008.
											Les gens souffraient et luttaient,
											les dirigeants mondiaux
											devaient nous prouver
qu'ils étaient attentifs
											et qu'ils tentaient de le régler.
											2050 est si loin dans le futur
											qu'on ne peut pas l'imaginer,
											et surtout,
											si on ne change pas,
											ça va nous arriver
beaucoup plus tôt.
									",A global food crisis may be less than a decade away,Sara Menker,17:53,"Africa,agriculture,data,future,economics,farming,food,global issues,investment,society"
"
","
","
","
","
",A global food crisis may be less than a decade away,Sara Menker,17:53,"Africa,agriculture,data,future,economics,farming,food,global issues,investment,society"
"
											I believe we need to ask
a different question.
											The answer to that question
											needs to be framed differently.
											If we can reframe the old narrative
											and replace it with new numbers
											that tell us a more complete pictures,
											numbers that everyone can understand
											and relate to,
											we can avoid the crisis altogether.
									","
											Creo que debemos plantear 
una pregunta diferente.
											La respuesta a esa pregunta
											debe enmarcarse de manera diferente.
											Si podemos replantear la vieja narrativa
											y reemplazarla por nuevos números
											que nos den un cuadro más completo,
											números que todo el mundo pueda entender
											y con los que pueda identificarse,
											entonces podemos evitar 
la crisis por completo.
									","
											Ich glaube, wir sollten 
eine andere Frage stellen.
											Die Antwort darauf
											muss anders vermittelt werden.
											Wenn wir das alte Erzählmotiv neu fassen
											und mit Zahlen untermauern können,
											welche die Komplexität richtig erfassen,
											verständliche und für 
jeden vorstellbare Zahlen,
											können wir die Krise gänzlich verhindern.
									","
											Farklı bir soru sormamız
gerektiğine inanıyorum.
											O sorunun cevabı da
											farklı bir çerçevede ele alınmalı.
											Aynı hikayeye farklı bir açıdan bakarsak
											ve bize daha net resimler sunan
											yeni sayılarla yer değiştirirsek,
											herkesin anlayabileceği
ve alaka kurabileceği
											sayılarla,
											krizi hep beraber atlatabiliriz.
									","
											Je pense qu'on doit
se demander autre chose.
											La réponse à cette question
											doit être formulée autrement.
											Si on peut reformuler
l'ancien discours
											et le remplacer par de nouveaux chiffres
											qui offrent une vision plus globale,
											des chiffres que tout le monde comprend
											et assimile,
											on peut éviter la crise.
									",A global food crisis may be less than a decade away,Sara Menker,17:53,"Africa,agriculture,data,future,economics,farming,food,global issues,investment,society"
"
","
","
","
","
",A global food crisis may be less than a decade away,Sara Menker,17:53,"Africa,agriculture,data,future,economics,farming,food,global issues,investment,society"
"
											I was a commodities trader in my past life
											and one of the things
that I learned trading
											is that every market has a tipping point,
											the point at which
change occurs so rapidly
											that it impacts the world
											and things change forever.
											Think of the last financial crisis,
											or the dot-com crash.
									","
											Antes yo era comerciante 
de productos básicos
											y una de las cosas 
que aprendí del comercio
											es que cada mercado 
tiene un punto de inflexión,
											el punto en el cual el cambio 
ocurre tan rápidamente
											que afecta al mundo
											y las cosas cambian para siempre.
											Piensen en la última crisis financiera,
											o la crisis de las puntocoms.
									","
											Ich habe früher als 
Rohstoffhändlerin gearbeitet
											und eine wichtige Erkenntnis 
aus dem Handel ist,
											dass jeder Markt an einem Punkt kippt.
											Der Punkt, an dem sich alles 
so schnell ändert,
											dass es die Welt beeinflusst
											und unumkehrbare Tatsachen schafft.
											Denken Sie an die letzte Finanzkrise
											oder die Dotcom-Blase.
									","
											Geçmişte mal tüccarlığı yaptım
											ve ticarette öğrendiğim şeylerden biri de
											her piyasanın kendi taşma noktası olduğu,
											değişimin dünyayı sonsuza dek
											etkileyecek denli
											bir hızda olduğu nokta.
											Son ekonomik krizi düşünün
											veya dot-com krizini.
									","
											J'ai été courtière en marchandises
											et j'ai appris une chose
en commerçant,
											c'est que chaque marché
a un point de bascule,
											quand le changement arrive si vite
											qu'il affecte le monde
											et les choses changent pour toujours.
											Prenez la dernière crise financière
											ou la bulle Internet.
									",A global food crisis may be less than a decade away,Sara Menker,17:53,"Africa,agriculture,data,future,economics,farming,food,global issues,investment,society"
"
","
","
","
","
",A global food crisis may be less than a decade away,Sara Menker,17:53,"Africa,agriculture,data,future,economics,farming,food,global issues,investment,society"
"
											So here's my concern.
											We could have a tipping point
											in global food and agriculture
											if surging demand
											surpasses the agricultural system's
structural capacity to produce food.
											This means at this point supply
can no longer keep up with demand
											despite exploding prices,
											unless we can commit
to some type of structural change.
											This time around,
											it won't be about stock markets and money.
											It's about people.
											People could starve
and governments may fall.
											This question of at what point
does supply struggle
											to keep up with surging demand
											is one that started off as an interest
for me while I was trading
											and became an absolute obsession.
											It went from interest to obsession
											when I realized through my research
how broken the system was
											and how very little data was being used
to make such critical decisions.
											That's the point I decided to walk away
from a career on Wall Street
											and start an entrepreneurial journey
											to start Gro Intelligence.
									","
											Así que aquí está mi preocupación.
											Podríamos tener un punto de inflexión
											en la alimentación 
y la agricultura mundial
											si el aumento de la demanda
											supera la capacidad estructural del 
sistema agrícola para producir alimentos.
											Esto significa que ahí la oferta 
ya no se mantiene a la altura de la demanda
											a pesar de la explosión de precios,
											a menos que nos comprometamos
a algún tipo de cambio estructural.
											En esta época
											no se trata de mercados 
de valores y dinero.
											Se trata de personas.
											La gente podría morir de hambre 
y los gobiernos podrían caer.
											Esta cuestión de en qué momento 
la lucha de suministro
											para mantenerse al día 
con la creciente demanda
											comenzó a interesarme mientras comerciaba
											y se convirtió en una obsesión absoluta.
											Pasó del interés a la obsesión
											al entender a través de mi investigación 
lo roto que estaba el sistema
											y cómo se tomaban decisiones muy críticas 
usando muy pocos datos.
											En ese momento, decidí no seguir 
una carrera en Wall Street
											y empecé un viaje emprendedor
											fundando Gro Intelligence.
									","
											Das ist meine Sorge.
											Es könnte einen solchen Kipppunkt
											in der globalen Nahrungsproduktion geben,
											wenn die ansteigende Nachfrage
											die strukturelle Produktionskapazität 
der Landwirtschaft übersteigt.
											An diesem Punkt kann das Angebot 
die Nachfrage nicht länger bedienen,
											trotz einer Preisexplosion,
											außer wir führen einen 
Strukturwandel herbei.
											Dabei geht es dieses mal
nicht um Börsen und Geld.
											Es geht um Menschen.
											Menschen können verhungern und 
Regierung zusammenbrechen.
											Die Frage, an welchem Punkt die Versorgung
											die Nachfrage nicht mehr erfüllen kann,
											hat mich zuerst im Handel interessiert
											und wurde zur absoluten Besessenheit.
											Das bloße Interesse wurde zur Besessenheit
											als ich durch Nachforschungen sah, 
wie kaputt unser System war
											und wie wenig Daten die wichtigen 
Entscheidungen berücksichtigen.
											An diesem Punkt begrub ich 
eine Karriere an der Wall Street,
											begann eine unternehmerische Reise,
											und gründete Gro Intelligence.
									","
											Benim endişeme gelince,
											küresel gıda ve tarımda,
											dalgalı talebin, tarım sisteminin
											gıda üretimine dair
											yapısal kapasitesini aştığı nokta olan
bir taşma noktamız olabileceği.
											Bu şu anlama geliyor;
artık fiyatlar uçsa dahi
											ürünler talebi karşılayamaz.
											Yine de yapısal bir değişime gidebiliriz.
											Bu defa,
											borsa ve paraya dair değil,
											insanlara dair bir değişim.
											İnsanlar açlık çekebilir
ve hükümetler düşebilir.
											Arz hangi noktada
talebi karşılamakta zorlanır sorusu
											ticaret yaparken
											ilgi alanım olmaya başladı
											ve tam bir takıntı haline geldi.
											Araştırmalarım sayesinde
											sistemin ne kadar bozuk olduğunu
ve kritik kararlar için ne kadar az veri
											bulunduğunu fark ettiğimde,
ilgiden takıntıya dönüştü.
											Wall Street'teki kariyerimi bırakıp
Gro İstihbarat'ı başlatmak üzere
											bir girişim yolculuğuna çıkma kararını
											o zaman aldım.
									","
											Voilà ce qui m'inquiète.
											On pourrait avoir un point de bascule
											dans l'alimentation mondiale
et l'agriculture
											si la forte demande
											surpasse la capacité du système agricole
à produire de la nourriture.
											L'offre ne peut plus
suivre la demande
											malgré la flambée des prix,
											sauf si on change les structures.
											Cette fois-là,
											il ne s'agit pas de bourses et d'argent.
											Il s'agit de personnes.
											Elles pourraient mourir
et les gouvernements s'effondrer.
											Savoir à quel moment
l'offre a du mal
											à suivre la demande en hausse
											était simplement un intérêt
quand je commerçais
											et est devenu une véritable obsession.
											C'est devenu une obsession
											quand j'ai compris, à travers
mes recherches, les problèmes du système
											et comment peu d'informations servaient
à prendre des décisions importantes.
											C'est à ce moment-là que j'ai décidé
de quitter Wall Street
											et de me lancer dans l’entrepreneuriat
											en créant Gro Intelligence.
									",A global food crisis may be less than a decade away,Sara Menker,17:53,"Africa,agriculture,data,future,economics,farming,food,global issues,investment,society"
