en,tr,fr,de,title,speaker,duration,tags
"
","
","
","
",The search for planets beyond our solar system,Sara Seager,16:14,"Planets,astronomy,science,space,solar system,universe,exploration,data,life,ecology,telescopes,astrobiology"
"
											I'm here to tell you
about the real search for alien life.
											Not little green humanoids
arriving in shiny UFOs,
											although that would be nice.
											But it's the search for planets
orbiting stars far away.
									","
											Uzayda yaşam arayışı hakkında
konuşmak için buradayım.
											UFOlarla gelen yeşil insansı
yaratıklardan bahsetmeyeceğim.
											Gerçi bu eğlenceli olurdu.
											Uzak yıldızların yörüngesinde bulunan
gezegen arayışından bahsedeceğim size.
									","
											Je voudrais vous parler de la vraie
recherche de vie extraterrestre.
											Pas de petits hommes verts dans
des soucoupes volantes
											même si j'aimerais bien...
											Mais de la recherche de planètes
tournant autour d'étoiles lointaines.
									","
											Ich erzähle Ihnen von der wirklichen
Suche nach außerirdischem Leben.
											Nicht von kleinen, grünen Humanoiden, 
die aus glänzenden UFOs steigen,
											auch wenn das schön wäre.
											Sondern von der Suche nach Planeten,
die ferne Sterne umkreisen.
									",The search for planets beyond our solar system,Sara Seager,16:14,"Planets,astronomy,science,space,solar system,universe,exploration,data,life,ecology,telescopes,astrobiology"
"
","
","
","
",The search for planets beyond our solar system,Sara Seager,16:14,"Planets,astronomy,science,space,solar system,universe,exploration,data,life,ecology,telescopes,astrobiology"
"
											Every star in our sky is a sun.
											And if our sun has planets —
											Mercury, Venus, Earth, Mars, etc.,
											surely those other stars
should have planets also,
											and they do.
											And in the last two decades,
											astronomers have found
thousands of exoplanets.
									","
											Gökyüzümüzdeki her yıldız bir güneştir.
Nasıl ki bizim güneşimizin
											Merkür, Venüs, Dünya,
Mars gibi gezegenleri varsa
											elbette diğer yıldızların da
gezegenleri olmalıdır; ki var da.
											Son yirmi yılda,
											astronomlar, güneş sistemi dışında
binlerce gezegen buldu.
									","
											Chaque étoile dans le ciel est un soleil.
											Et si notre soleil a des planètes -
											Mercure, Vénus, la Terre, Mars...
											les autres étoiles en ont certainement
elles aussi,
											et c'est le cas.
											Et dans les vingt dernières années,
											les astronomes ont trouvé
des milliers d'exoplanètes.
									","
											Jeder Stern am Himmel ist eine Sonne.
											Da unsere Sonne Planeten hat —
											wie Merkur, Venus, die Erde, Mars etc. —
											haben sicher andere Sterne auch Planeten,
											und so ist es auch.
											In den letzten zwei Jahrzehnten
											haben Astronomen 
tausende Exoplaneten gefunden.
									",The search for planets beyond our solar system,Sara Seager,16:14,"Planets,astronomy,science,space,solar system,universe,exploration,data,life,ecology,telescopes,astrobiology"
"
","
","
","
",The search for planets beyond our solar system,Sara Seager,16:14,"Planets,astronomy,science,space,solar system,universe,exploration,data,life,ecology,telescopes,astrobiology"
"
											Our night sky is literally
teeming with exoplanets.
											We know, statistically speaking,
											that every star has at least one planet.
											And in the search for planets,
											and in the future,
planets that might be like Earth,
											we're able to help address
											some of the most amazing
and mysterious questions
											that have faced humankind for centuries.
											Why are we here?
											Why does our universe exist?
											How did Earth form and evolve?
											How and why did life originate
and populate our planet?
											The second question
that we often think about is:
											Are we alone?
											Is there life out there?
											Who is out there?
											You know, this question has been around
for thousands of years,
											since at least the time
of the Greek philosophers.
											But I'm here to tell you
just how close we're getting
											to finding out the answer
to this question.
											It's the first time in human history
that this really is within reach for us.
									","
											Gece göğü, kelimenin tam anlamıyla
dış gezegen kaynıyor.
											İstatistiksel olarak konuşursak,
											her yıldızın en az bir
gezegeni olduğunu biliyoruz.
											Gezegen arayışımız sırasında ve
											gelecekte Dünyaya benzer gezegenlere,
											yüzyıllardır insanoğlunun sorduğu
											en gizemli ve şaşırtıcı sorulardan
											bazılarını yöneltebiliriz.
											Neden buradayız?
											Evren neden var oldu?
											Dünya nasıl oluştu ve evrimleşti?
											Hayat, gezegenimizde nasıl ve
neden oluşup yayıldı?
											Üzerinde sürekli düşündüğümüz
ikinci soru da şu:
											Yalnız mıyız?
											Uzayda bizden başka hayat var mı?
											Orada kim var?
											Bu soru, Yunanlı felsefecilerden bu yana
											binlerce yıldır soruluyor.
											Ama benim burada olmamın sebebi, size
											cevabı bulmaya ne kadar
yaklaştığımızı anlatmak.
											İnsanlık tarihinde, bu ilk kez
erişebileceğimiz mesafede.
									","
											La nuit, notre ciel regorge d'exoplanètes.
											Statistiquement, nous savons
											que chaque étoile possède
au moins une planète.
											Et notre quête de planètes,
											et dans le futur, de planètes qui
ressembleront à la Terre,
											nous aide à répondre
											à quelques-unes des questions
les plus mystérieuses et formidables
											qui nous hantent depuis des siècles.
											Pourquoi sommes-nous ici ?
											Pourquoi notre univers existe-t-il ?
											Comment la Terre s'est-elle formée
et développée ?
											Comment et pourquoi la vie a-t-elle
pris racine sur notre planète ?
											Deuxième question que
nous nous posons souvent :
											sommes-nous seuls dans l'univers ?
											Y a-t-il de la vie ailleurs ?
											Qui sont-ils ?
											Cette question nous hante depuis des
milliers d'années,
											au moins depuis l'époque
des philosophes grecs,
											mais je suis ici pour vous dire
combien nous sommes proches
											d'apporter une réponse à cette question.
											C'est la première fois dans notre histoire
que cette réponse est à notre portée.
									","
											Unser Nachthimmel wimmelt von Exoplaneten.
											Wir wissen, dass statistisch gesehen
											jeder Stern mindestens einen Planeten hat.
											Durch die Suche nach Planeten,
											die der Erde ähnlich sind, 
können wir in der Zukunft
											die faszinierendsten und
geheimnisvollsten Fragen angehen,
											die sich die Menschheit 
seit Jahrhunderten stellt.
											Warum sind wir hier?
											Warum existiert das Universum?
											Wie ist die Erde entstanden?
											Wie und warum ist hier Leben entstanden?
											Eine andere Frage, 
die wir uns oft stellen, ist:
											Sind wir alleine?
											Gibt es dort draußen Leben?
											Wer ist dort draußen?
											Diese Frage wird
seit Jahrtausenden gestellt,
											spätestens seit der Zeit
den griechischen Philosophen.
											Ich bin heute hier, um Ihnen zu zeigen,
											wie nahe wir der Antwort sind.
											Die Antwort ist das erste Mal 
in unserer Geschichte in Reichweite.
									",The search for planets beyond our solar system,Sara Seager,16:14,"Planets,astronomy,science,space,solar system,universe,exploration,data,life,ecology,telescopes,astrobiology"
"
","
","
","
",The search for planets beyond our solar system,Sara Seager,16:14,"Planets,astronomy,science,space,solar system,universe,exploration,data,life,ecology,telescopes,astrobiology"
"
											Now when I think about the possibilities
for life out there,
											I think of the fact that our sun
is but one of many stars.
											This is a photograph of a real galaxy,
											we think our Milky Way
looks like this galaxy.
											It's a collection of bound stars.
											But our [sun] is one
of hundreds of billions of stars
											and our galaxy is one of upwards
of hundreds of billions of galaxies.
											Knowing that small planets
are very common,
											you can just do the math.
											And there are just so many stars
and so many planets out there,
											that surely, there must be life
somewhere out there.
											Well, the biologists get furious
with me for saying that,
											because we have absolutely no evidence
for life beyond Earth yet.
									","
											Uzayda yaşam olasılıkları
hakkında düşüncemin ana unsuru;
											Güneşimizin birçok yıldızdan
yalnızca biri olduğu.
											Bu gerçek bir galaksinin fotoğrafı.
											Samanyolu galaksimizin
buna benzediğini düşünüyoruz.
											Birbirine bağlı yıldızlar yığını.
											Ancak Güneşimiz,
yüz milyarlarca yıldızdan biri
											ve galaksimiz, yüz milyardan
fazla galaksiden biri.
											Küçük gezegenlerin çok yaygın
olduğunu biliyoruz,
											bir hesaplayın.
											O kadar çok yıldız ve
gezegen var ki uzayda,
											kesinlikle bir yerlerde hayat olmalı.
											Bunu söylediğim için
biyologlar çok kızıyor bana
											çünkü Dünya dışında hayata
dair henüz kesin kanıt yok.
									","
											Quand je pense à la possibilité
de vie dans l'univers,
											je pense au fait que notre soleil est
juste une étoile parmi d'autres.
											Voici une photo d'une galaxie,
											nous pensons que notre
Voie Lactée ressemble à cela.
											Un amas d'étoiles.
											Mais notre soleil est une étoile
parmi des centaines de milliards d'étoiles
											et notre galaxie est une galaxie parmi
des centaines de milliards d'autres.
											Si je vous dis que les petites planètes
sont très communes,
											vous pouvez faire le calcul.
											Il y a tellement d'étoiles 
et de planètes là-haut
											qu'il doit sûrement 
y avoir de la vie quelque part.
											Les biologistes sont furieux
que je dise cela,
											parce qu'il n'y a jusqu'à maintenant
											aucune preuve de vie 
ailleurs que sur Terre.
									","
											Wenn ich an das mögliche Leben 
dort draußen denke,
											denke ich daran, dass unsere Sonne 
nur einer von vielen Sternen ist.
											Das ist das Bild einer echten Galaxie.
											Wir denken, dass so 
unsere Milchstraße aussieht.
											Es ist eine Ansammlung verbundener Sterne.
											Unsere Sonne ist eine von 
hunderten Millionen Sternen,
											und unsere Galaxie ist eine von 
hunderten Millionen Galaxien.
											Da wir wissen, dass kleine Planeten 
sehr häufig vorkommen,
											muss die Summe immens sein.
											Es sind einfach so viele Sterne 
und Planeten da draußen,
											dass sicherlich irgendwo Leben existiert.
											Die Biologen mögen nicht, 
wenn ich das sage,
											weil wir absolut keinen Beweis für Leben 
auf anderen Planeten haben.
									",The search for planets beyond our solar system,Sara Seager,16:14,"Planets,astronomy,science,space,solar system,universe,exploration,data,life,ecology,telescopes,astrobiology"
"
","
","
","
",The search for planets beyond our solar system,Sara Seager,16:14,"Planets,astronomy,science,space,solar system,universe,exploration,data,life,ecology,telescopes,astrobiology"
"
											Well, if we were able to look
at our galaxy from the outside
											and zoom in to where our sun is,
											we see a real map of the stars.
											And the highlighted stars
are those with known exoplanets.
											This is really just
the tip of the iceberg.
											Here, this animation is zooming in
onto our solar system.
											And you'll see here the planets
											as well as some spacecraft
that are also orbiting our sun.
											Now if we can imagine going
to the West Coast of North America,
											and looking out at the night sky,
											here's what we'd see on a spring night.
											And you can see
the constellations overlaid
											and again, so many stars with planets.
											There's a special patch of the sky
where we have thousands of planets.
									","
											Galaksimize dışarıdan bakabilseydik
											ve güneşin bulunduğu yere zumlasaydık
											yıldızların gerçek haritasını görürdük.
											Parlak olan yıldızlar, bildiğimiz
dış gezegenlere sahip olan yıldızlar.
											Buz dağının ucu gibi gerçekten.
											İşte animasyon güneş sistemimize zumluyor
											ve gezegenlerin yanı sıra
											Güneşimizin yörüngesindeki
uzay araçlarını görüyorsunuz.
											Şimdi Kuzey Amerika'nın
Batı Yakasına gittiğimizi
											ve gece gökyüzüne
baktığımızı hayal edelim.
											İşte bir bahar gecesi
göreceğimiz manzara.
											Takımyıldızlarla kaplı
											ve yine, gezegenleriyle birçok yıldız.
											Gökyüzünde, binlerce gezegenin
bulunduğu özel bir alan var.
									","
											Si nous étions en mesure
d'observer notre galaxie de l'extérieur
											et de zoomer jusqu'à notre soleil,
											nous verrions une véritable 
carte des étoiles.
											Les étoiles en surbrillance sont
connues pour avoir des exoplanètes.
											Et ce n'est que la partie
émergée de l'iceberg.
											Ici, l'animation zoome
sur notre système solaire.
											Voyez ici les planètes
											ainsi que divers engins spatiaux
en orbite autour de notre soleil.
											Projetons-nous maintenant 
sur la côte ouest de l'Amérique du Nord,
											et levons les yeux au ciel.
											Voici ce que nous verrions
une nuit de printemps :
											vous pourriez voir
des constellations superposées
											et tellement d'étoiles 
avec des planètes.
											Il y a une zone spéciale dans le ciel
où nous trouvons des milliers de planètes
									","
											Wenn wir unsere Galaxie 
von außen betrachten könnten,
											und hier unsere Sonne vergrößern,
											sehen wir eine richtige Sternenkarte.
											Die markierten Sterne 
haben bekannte Exoplaneten.
											Das ist also nur 
die Spitze des Eisberges.
											Die Grafik vergrößert unser Sonnensystem.
											Sie können die Planeten sehen
											sowie einige Raumfahrzeuge, 
die auch die Sonne umkreisen.
											Angenommen, wir befänden uns 
an der Westküste Nordamerikas
											und schauten in den Nachthimmel,
											dann würden wir das
in einer Frühlingsnacht sehen.
											Sie können die Konstellationen sehen
											und so viele Sterne mit Planeten.
											Es gibt einen speziellen Himmelsabschnitt 
mit tausenden Planeten.
									",The search for planets beyond our solar system,Sara Seager,16:14,"Planets,astronomy,science,space,solar system,universe,exploration,data,life,ecology,telescopes,astrobiology"
