en,pt,es,tr,fr,title,speaker,duration,tags
"
","
","
","
","
",Where did the Moon come from? A new theory,Sarah T. Stewart,11:10,"Planets,universe,Moon,science,technology,chemistry,data,solar system,nature,space,MacArthur grant"
"
											Nobody likes to make a mistake.
											And I made a whopping one.
											And figuring out what I did wrong
led to a discovery
											that completely changes the way
we think about the Earth and Moon.
									","
											Ninguém gosta de fazer um erro.
											E eu fiz um erro enorme.
											Tentar descobrir esse erro,
levou-me a uma descoberta
											que alterou totalmente a forma
como pensamos na Terra e na Lua.
									","
											A nadie le gusta cometer errores.
											Y yo cometí uno enorme.
											Y descifrar qué hice mal
me llevó a un descubrimiento
											que cambia por completo 
nuestro concepto de la Tierra y la Luna.
									","
											Kimse hata yapmayı sevmez.
											Ben kocaman bir hata yaptım.
											Nerede yanlış yaptığımı düşünmem,
											Dünya ve Ay hakkında düşünme biçimimizi
tamamen değiştiren bir keşfe yol açtı.
									","
											Personne n'aime faire des erreurs.
											Et j'en ai fait une énorme.
											Et me rendre compte de mon erreur
m'a permis de faire une découverte
											qui a complètement changé notre façon
de voir la Terre et la Lune.
									",Where did the Moon come from? A new theory,Sarah T. Stewart,11:10,"Planets,universe,Moon,science,technology,chemistry,data,solar system,nature,space,MacArthur grant"
"
","
","
","
","
",Where did the Moon come from? A new theory,Sarah T. Stewart,11:10,"Planets,universe,Moon,science,technology,chemistry,data,solar system,nature,space,MacArthur grant"
"
											I'm a planetary scientist,
											and my favorite thing to do
is smash planets together.
									","
											Sou cientista planetária
											e o que mais gosto de fazer
é fazer colidir planetas.
									","
											Soy científica planetaria,
											y lo que más me gusta es
hacer colisionar planetas.
									","
											Ben bir gezegen bilim insanıyım
											ve en sevdiğim şey,
gezegenleri paramparça etmek.
									","
											Je suis planétologue
											et ma passion, c'est de faire
collisionner des planètes.
									",Where did the Moon come from? A new theory,Sarah T. Stewart,11:10,"Planets,universe,Moon,science,technology,chemistry,data,solar system,nature,space,MacArthur grant"
"
","
","
","
","
",Where did the Moon come from? A new theory,Sarah T. Stewart,11:10,"Planets,universe,Moon,science,technology,chemistry,data,solar system,nature,space,MacArthur grant"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									","
											(Gülüşmeler)
									","
											(Rires)
									",Where did the Moon come from? A new theory,Sarah T. Stewart,11:10,"Planets,universe,Moon,science,technology,chemistry,data,solar system,nature,space,MacArthur grant"
"
","
","
","
","
",Where did the Moon come from? A new theory,Sarah T. Stewart,11:10,"Planets,universe,Moon,science,technology,chemistry,data,solar system,nature,space,MacArthur grant"
"
											In my lab, I can shoot at rocks
using cannons like this one.
									","
											No laboratório, posso disparar
sobre rochas, usando canhões como este.
									","
											En mi laboratorio, puedo dispararle 
a rocas usando cañones como este.
									","
											Laboratuvarımda, şunun gibi toplarla
kayalara ateş edebiliyorum.
									","
											Dans mon labo, je tire sur des rochers
avec des canons comme celui-ci.
									",Where did the Moon come from? A new theory,Sarah T. Stewart,11:10,"Planets,universe,Moon,science,technology,chemistry,data,solar system,nature,space,MacArthur grant"
"
","
","
","
","
",Where did the Moon come from? A new theory,Sarah T. Stewart,11:10,"Planets,universe,Moon,science,technology,chemistry,data,solar system,nature,space,MacArthur grant"
"
											(Cannon shot)
									","
											(Disparo)
									","
											(Disparo de cañón)
									","
											(Top ateşi)
									","
											(Coup de canon)
									",Where did the Moon come from? A new theory,Sarah T. Stewart,11:10,"Planets,universe,Moon,science,technology,chemistry,data,solar system,nature,space,MacArthur grant"
