es,en,pt,de,fr,tr,title,speaker,duration,tags
"
","
","
","
","
","
",Immigrant voices make democracy stronger,Sayu Bhojwani,12:42,"community,democracy,government,identity,immigration,politics,motivation,society,social change,United States,TEDNYC,india"
"
											Buena noches.
											Mi viaje a esta etapa
											comenzó cuando llegué a EE.UU.
											a los 17 años.
											Soy uno de los 84 millones 
de estadounidenses
											inmigrantes
											o hijos de inmigrantes.
											Cada uno de nosotros tenía 
un sueño cuando venimos aquí,
											un sueño que, por lo general, 
debe ser reescrito
											y siempre reeditado.
											Yo fui uno de los afortunados.
											La revisión de mi sueño me llevó 
al trabajo que hago hoy en día:
											esto es, capacitar a los inmigrantes 
para postularse a cargos públicos
											y dirigir un movimiento 
por la democracia inclusiva.
									","
											Good evening.
											My journey to this stage
											began when I came to America
											at the age of 17.
											You see, I'm one
of the 84 million Americans
											who are immigrants
											or children of immigrants.
											Each of us has a dream when we come here,
											a dream that usually has to be rewritten
											and always has to be repurposed.
											I was one of the lucky ones.
											My revised dream
led me to the work I do today:
											training immigrants
to run for public office
											and leading a movement
for inclusive democracy.
									","
											Boa noite.
											O meu percurso até este palco
											começou quando cheguei aos EUA,
											aos 17 anos.
											Eu sou uma dos 84 milhões
de norte-americanos
											que são imigrantes
ou filhos de imigrantes.
											Cada um de nós tem um sonho
quando aqui chegamos,
											um sonho que, normalmente,
tem que ser reescrito
											e tem sempre que alterar de objetivo.
											Eu fui uma das que tiveram sorte.
											O meu sonho revisto
levou-me ao trabalho que faço agora:
											formação de imigrantes
para concorrer a cargos públicos
											e dirigente de um movimento
para uma democracia inclusiva.
									","
											Guten Abend.
											Mein Weg zu dieser Bühne begann,
											als ich mit 17 Jahren nach Amerika kam.
											Ich bin nämlich einer
der 84 Millionen Amerikaner,
											die Immigranten oder Kinder
von Immigranten sind.
											Jeder von uns hat einen Traum
wenn er hier her kommt —
											ein Traum, der für gewöhnlich
neu geschrieben
											und immer umfunktioniert werden muss.
											Ich hatte Glück.
											Mein überarbeiteter Traum
führte mich zu meiner heutigen Arbeit:
											Unterricht von Immigranten für
das Kandidieren eines öffentliches Amtes
											und Anführung einer Bewegung
für eine integrative Demokratie.
									","
											Bonsoir.
											Mon voyage jusqu'à cette scène a commencé
											quand je suis venue en Amérique
											à l'âge de 17 ans.
											Vous voyez, je suis
une des 84 millions d'Américains
											qui sont des immigrants
											ou des enfants d'immigrants.
											Chacun de nous
avait un rêve en venant ici,
											un rêve qui doit
habituellement être réécrit
											et doit toujours être réorienté.
											Je faisais partie des chanceux.
											Mon rêve révisé m'a conduite
au travail que je fais aujourd'hui :
											former les immigrants à se présenter
à la fonction publique
											et mener un mouvement
pour la démocratie intégratrice.
									","
											İyi akşamlar.
											Benim bu sahneye yolculuğum
											Amerika'ya 17 yaşındayken
											geldiğimde başladı.
											Anlayacağınız, ben bir göçmen çocuğu
											veya göçmen olan
											84 milyon Amerikalı'dan biriyim.
											Buraya geldiğimizde her birimizin
bir hayali vardır,
											genelde yeniden yazılması
											ve hep değiştirilmesi gereken bir hayal.
											Ben şanslı olanlardandım.
											Değiştirmiş olduğum hayalim
beni bugün yaptığım işe yöneltti:
											göçmenleri devlet dairesinde
çalışmak için eğitmek
											ve kapsayıcı demokrasi için
bir harekete öncülük etmek.
									",Immigrant voices make democracy stronger,Sayu Bhojwani,12:42,"community,democracy,government,identity,immigration,politics,motivation,society,social change,United States,TEDNYC,india"
"
","
","
","
","
","
",Immigrant voices make democracy stronger,Sayu Bhojwani,12:42,"community,democracy,government,identity,immigration,politics,motivation,society,social change,United States,TEDNYC,india"
"
											Pero no quiero que piensen 
que fue un juego de niños,
											que EE.UU. me abrió los brazos 
y me dio la bienvenida.
											Todavía no lo hace.
											Y he aprendido 
algunas lecciones en el camino
											que quería compartir con Uds.,
											porque creo que juntos
											podemos hacer que 
la democracia estadounidense
											sea mejor y más fuerte.
									","
											But I don't want you to think
it was a cakewalk,
											that America opened its arms wide
and welcomed me.
											It's still not doing that.
											And I've learned
a few lessons along the way
											that I wanted to share with you,
											because I think that together
											we can make American democracy
											better and stronger.
									","
											Mas não quero que fiquem a pensar
que foi fácil,
											que os EUA abriram os braços
e me receberam na maior.
											Continua a não ser assim.
											Aprendi algumas lições
ao longo do meu percurso
											que gostava de partilhar convosco,
											porque penso que, em conjunto,
											podemos melhorar e fortalecer
a democracia norte-americana.
									","
											Aber glauben Sie nicht,
es wäre ein Kinderspiel gewesen,
											dass die USA seine Arme weit öffnete
und mich willkommen geheißen hat.
											Das tut sie bis heute nicht.
											Ich habe auf dem Weg einiges gelernt,
											wovon ich Ihnen gern erzählen möchte,
											weil ich glaube, dass wir
die amerikanische Demokratie
											gemeinsam besser
und stärker machen können.
									","
											Mais ne pensez pas que c'était facile,
											que l'Amérique a ouvert ses larges bras
et qu'elle m'a accueillie.
											Elle ne le fait toujours pas.
											En chemin, j'ai appris quelques leçons
											que je voulais partager avec vous
											parce que je pense que, ensemble,
											nous pouvons rendre
la démocratie américaine
											meilleure et plus forte.
									","
											Ama bunu Amerika'nın kollarını
açıp beni karşıladığı
											gibi bir çocuk oyuncağı olduğunu
düşünmenizi istemem.
											Hâlâ da böyle bir şey olmuyor.
											Ve bu yol boyunca sizinle 
paylaşmak istediğim
											birkaç ders öğrendim,
											çünkü bence birlikte
											Amerikan demokrasisini
											daha iyi ve daha güçlü yapabiliriz.
									",Immigrant voices make democracy stronger,Sayu Bhojwani,12:42,"community,democracy,government,identity,immigration,politics,motivation,society,social change,United States,TEDNYC,india"
"
","
","
","
","
","
",Immigrant voices make democracy stronger,Sayu Bhojwani,12:42,"community,democracy,government,identity,immigration,politics,motivation,society,social change,United States,TEDNYC,india"
"
											Nací en India,
											la mayor democracia del mundo,
											y a los cuatro años,
											mi familia se trasladó a Belice,
											tal vez, la democracia 
más pequeña del mundo.
											Y a los 17 años
											me mudé a EE.UU.
											la mayor democracia del mundo.
											Vine porque quería estudiar 
literatura inglesa.
											De niña, me sumergía en los libros,
											y pensé, ¿por qué no ganarme 
la vida de adulta haciendo eso?
											Pero tras graduarme 
en la universidad
											y obtener un título de grado,
											estuve yendo de un trabajo 
menos ideal a otro.
											Tal vez fue el optimismo 
que tenía sobre EE.UU.
											lo que me llevó un tiempo para entender
											que las cosas no iban a cambiar.
											La puerta que pensé que estaba abierta
											estaba en realidad solo 
levemente entreabierta,
											esta puerta de EE.UU.
											se abriría más 
si uno tenía el nombre correcto,
											el color de la piel correcto,
											las redes adecuadas,
											pero podría cerrarse de golpe en la cara
											si uno tenía la religión equivocada,
											el estatus migratorio equivocado,
											el color de piel equivocado.
											Y simplemente no podía aceptarlo.
									","
											I was born in India,
											the world's largest democracy,
											and when I was four,
											my family moved to Belize,
											the world's smallest democracy perhaps.
											And at the age of 17,
											I moved to the United States,
											the world's greatest democracy.
											I came because I wanted
to study English literature.
											You see, as a child,
I buried my nose in books,
											and I thought, why not make a living
doing that as an adult?
											But after I graduated from college
											and got a graduate degree,
											I found myself moving
from one less ideal job to another.
											Maybe it was the optimism
that I had about America
											that made me take a while to understand
											that things were not going to change.
											The door that I thought was open
											was actually just slightly ajar —
											this door of America
											that would open wide
if you had the right name,
											the right skin color,
											the right networks,
											but could just slam in your face
											if you had the wrong religion,
											the wrong immigration status,
											the wrong skin color.
											And I just couldn't accept that.
									","
											Nasci na Índia,
											o maior país democrático do mundo.
											Quando tinha quatro anos,
a minha família mudou-se para Belize,
											talvez o país democrático
mais pequeno do mundo.
											Aos 17 anos, fui para os EUA,
											a maior democracia do mundo.
											Fui para lá porque queria
estudar literatura inglesa.
											Quando era criança,
vivia com o nariz metido nos livros
											e pensava: ""Porque não ganhar a vida
a fazer isto, quando adulta?""
											Mas, depois de acabar a faculdade,
											e de ter o diploma na mão,
											encontrei-me a passar de um emprego
menos ideal para outro.
											Talvez fosse o otimismo
que eu tinha em relação aos EUA
											que impediu que eu percebesse mais cedo
											que as coisas não iriam mudar.
											A porta, que eu julgava estar aberta,
											só estava um pouco entreaberta
											— essa porta dos EUA
											que se abriria escancarada
se tivéssemos o nome certo,
											a cor de pele certa,
											as redes sociais certas,
											mas que se fechava na nossa cara
											se tivéssemos a religião errada,
											o estatuto de imigração errado,
											a cor de pele errada.
											Eu não podia aceitar isso.
									","
											Ich wurde in Indien geboren,
											der größten Demokratie der Welt.
											Als ich vier war,
											zog meine Familie nach Belize,
											in die wohl kleinste Demokratie der Welt.
											Und als ich 17 war,
											zog ich in die Vereinigten Staaten,
											in die großartigste Demokratie der Welt.
											Ich kam in die USA, weil ich
englische Literatur studieren wollte.
											Als Kind las ich ständig Bücher
											und ich dachte, warum sollte ich damit
nicht als Erwachsener Geld verdienen?
											Doch nachdem ich das College abschloss
											und meinen Abschluss erhielt,
											wechselte ich von einem weniger
idealen Job zum nächsten.
											Vielleicht war es mein Optimismus
gegenüber den USA,
											warum ich so lange brauchte, zu verstehen,
											dass sich die Dinge nicht ändern würden.
											Die Tür, die für mich offen aussah,
											war in Wirklichkeit
nur spaltbreit offen —
											diese Tür von den USA,
											die sich weit öffnete
wenn man den richtigen Namen,
											die richtige Hautfarbe,
											die richtigen Verbindungen hatte,
											aber zuknallen konnte,
											wenn man die falsche Religion,
											den falschen Immigrationsstatus,
											die falsche Hautfarbe hatte.
											Das konnte ich
einfach nicht akzeptieren.
									","
											Je suis née en Inde,
											la plus grande démocratie du monde,
											et quand j'avais 4 ans,
											ma famille a déménagé au Belize,
											peut-être la plus petite 
démocratie du monde.
											Et à l'âge de 17 ans,
											j'ai déménagé aux États-Unis,
											la meilleure démocratie du monde.
											J'y suis venue pour étudier 
la littérature anglaise.
											Quand j'étais enfant,
j'avais le nez dans les livres.
											J'ai pensé : pourquoi ne pas gagner
ma vie en faisant cela à l'âge adulte ?
											Mais après avoir obtenu
mon diplôme universitaire
											et un diplôme d'études supérieures,
											je me suis retrouvée à passer
d'un emploi moins idéal à un autre.
											Peut-être c'était l'optimisme
que j'avais envers l'Amérique
											qui m'a fait prendre un certain 
temps pour comprendre
											que les choses n'allaient pas changer.
											La porte que je croyais ouverte
											était, en fait, légèrement entrouverte,
											cette porte de l'Amérique
											qui serait complètement ouverte
si vous aviez le bon nom,
											la bonne couleur de peau,
											les bons réseaux,
											mais pourrait simplement
vous claquer au nez,
											si vous aviez la mauvaise religion,
											
le mauvais statut d'immigration,
											la mauvaise couleur de peau.
											Et je ne pouvais pas accepter cela.
									","
											Hindistan'da doğdum,
											dünyanın en büyük demokrasisinde.
											Ve dört yaşındayken
											ailem Belize'ye taşındı,
											belki de dünyanın en küçük demokrasisine.
											Ve 17 yaşındayken,
											ABD'ye taşındım,
											dünyanın en harika demokrasisine.
											Buraya geldim çünkü İngiliz
edebiyatı okumak istiyordum.
											Çocukken kafamı kitaplardan kaldırmazdım
											ve düşündüm, yetişkin olarak
neden hayatımı böyle sürdürmeyeyim ki?
											Ama üniversiteden mezun olup
											yüksek lisans diplomamı aldıktan sonra,
											benim için ideal olmayan işler arasında
gidip gelir oldum.
											Belki de Amerika hakkındaki
iyimserliğim
											işlerin değişmeyeceğini anlamada
											gecikmeme neden olmuştur.
											Açık olduğunu düşündüğüm kapı
											aslında birazcık aralıkmış.
											Bu Amerika kapısı
											eğer siz doğru isme,
											doğru ten rengine,
											doğru bağlantılara
sahipseniz açılır,
											ama yüzünüze de çarpabilir,
											eğer yanlış dine,
											yanlış göçmen statüsüne,
											yanlış ten rengine sahipseniz.
											Ve ben bunu kabul edemedim.
									",Immigrant voices make democracy stronger,Sayu Bhojwani,12:42,"community,democracy,government,identity,immigration,politics,motivation,society,social change,United States,TEDNYC,india"
"
","
","
","
","
","
",Immigrant voices make democracy stronger,Sayu Bhojwani,12:42,"community,democracy,government,identity,immigration,politics,motivation,society,social change,United States,TEDNYC,india"
"
											Así que empecé una carrera 
como empresaria social,
											en una organización 
para jóvenes como yo,
											era joven en el momento en que empecé,
											que trazó su patrimonio cultural 
en el subcontinente indio.
											En ese trabajo, me convertí en defensora 
de asiáticos del sur y otros inmigrantes.
											Presionaba a miembros del Congreso 
en cuestiones de política.
											Me ofrecí el día de las elecciones
para hacer encuestas a pie de urna.
											Pero yo no podía votar 
y tampoco postularme para un cargo.
											Así en el año 2000, cuando se anunció
											que la tasa de solicitud de ciudadanía 
iba a ser más del doble
											de USD 95 a USD 225,
											decidí que era el momento de solicitarla 
antes de que ya no me lo pudiera permitir.
											Rellené una larga solicitud
											contestando preguntas sobre 
mis afiliaciones actuales y pasadas.
											Y una vez presentada la solicitud,
											me tenían que tomar 
las huellas dactilares,
											algo para ser estudiado,
											interminables horas de espera en la cola.
											Se le puede llamar escrutinio extremo.
											Y luego, en diciembre de 2000,
											me uní a cientos de otros inmigrantes
											en una sala en Brooklyn
											donde garantizamos nuestra lealtad
											a un país que habíamos considerado 
durante mucho tiempo el hogar.
											Mi viaje de estudiante internacional a 
ciudadana estadounidense me tomó 16 años,
											un tramo de tiempo corto, al compararlo 
con historias de otros inmigrantes.
									","
											So I started a career
as a social entrepreneur,
											starting an organization
for young people like myself —
											I was young at the time
that I started it —
											who traced their heritage
to the Indian subcontinent.
											In that work, I became and advocate
for South Asians and other immigrants.
											I lobbied members of Congress
on policy issues.
											I volunteered on election day
to do exit polling.
											But I couldn't vote,
and I couldn't run for office.
											So in 2000, when it was announced
											that the citizenship application fee
was going to more than double
											from 95 dollars to 225 dollars,
											I decided it was time to apply
before I could no longer afford it.
											I filled out a long application,
											answering questions about
my current and my past affiliations.
											And once the application was submitted,
											there were fingerprints to be taken,
											a test to study for,
											endless hours of waiting in line.
											You might call it extreme vetting.
											And then in December of 2000,
											I joined hundreds of other immigrants
											in a hall in Brooklyn
											where we pledged our loyalty
											to a country that we had
long considered home.
											My journey from international student
to American citizen took 16 years,
											a short timeline when you compare it
to other immigrant stories.
									","
											Portanto, comecei uma carreira
de empresária social,
											fundando uma organização
para jovens como eu
											— eu era jovem, na altura
em que a iniciei —
											que tinham ascendentes
no subcontinente indiano.
											Nesse trabalho, pugnei
por sul-asiáticos e outros imigrantes,
											pressionei membros do Congresso
sobre questões políticas.
											Ofereci-me como voluntária
no dia das eleições,
											para sondagens à boca das urnas.
											Mas eu não podia votar
nem candidatar-me a qualquer cargo.
											Assim, em 2000, quando foi anunciado
											que as despesas com o requerimento
de cidadania iam mais que duplicar,
											de 95 dólares para 225 dólares,
											decidi que chegara a altura de requerer,
antes de já não ter dinheiro para isso.
											Preenchi um longo requerimento,
											respondendo a perguntas
											sobre as minhas afiliações,
presentes e passadas.
											Depois de entregar o requerimento,
											tive que tirar as impressões digitais,
											deram-me um teste para estudar,
											passei horas infindáveis
em filas de espera.
											Podemos dizer que era
uma verificação extrema.
											Depois, em dezembro de 2000,
											juntei-me a centenas de outros imigrantes
											num salão em Brooklyn
											onde jurámos lealdade
											a um país que há muito
considerávamos o nosso.
											O meu percurso de estudante internacional
a cidadã americana levou 16 anos,
											um prazo curto, em comparação
com as histórias de outros imigrantes.
									","
											Also startete ich eine Karriere
als sozialer Unternehmerin.
											Ich gründete eine Organisation
für junge Menschen wie mich —
											ich war jung bei der Gründung —
											die vom indischen
Subkontinent stammten.
											Bei dieser Arbeit wurde ich Anwalt
für Südasiaten und andere Immigranten.
											Ich nahm Einfluss auf Mitglieder
des Kongress über politische Probleme.
											Ich erklärte mich am Wahltag
zu einer Wahltagsbefragung bereit.
											Aber ich konnte nicht abstimmen
und ich konnte nicht kandidieren.
											Im Jahr 2000, als verkündet wurde,
											dass die Gebühr für den Antrag
auf Staatsbürgerschaft
											sich von 95 Dollar auf 225 Dollar
mehr als verdoppeln würde,
											beschloss ich, sie zu beantragen,
solange ich es mir noch leisten konnte.
											Ich füllte einen langen Antrag aus,
											beantwortete dabei Fragen über meine
aktuellen und vergangenen Zugehörigkeiten.
											Als der Antrag eingereicht war,
											wurden Fingerabdrücke genommen.
											Ich musste für einen Test lernen
											sowie unzählige Stunden
in der Schlange stehen.
											Man könnte es ""Extremüberprüfung"" nennen.
											Und dann im Dezember 2000
											stand ich mit Hunderten
anderer Immigranten
											in einer Halle in Brooklyn,
											wo wir unsere Loyalität zu
einem Land geschworen haben,
											dass wir schon lange
Zuhause genannt hatten.
											Es dauerte 16 Jahre,
											um von einer internationalen Studentin
zur amerikanischen Bürgerin zu werden —
											eine kurze Zeit im Vergleich
zu anderen solcher Geschichten.
									","
											J'ai donc commencé une carrière
en tant qu'entrepreneur social.
											J'ai démarré une organisation
pour les jeunes gens comme moi -
											j'étais jeune à l'époque
où je l'ai démarrée -
											qui tracent leur héritage 
depuis le sous-continent indien.
											Dans ce travail, je suis devenue avocate

											pour les sud-asiatiques 
et les autres immigrants.
											J'ai exercé des pressions sur des membres 
du Congrès sur les questions politiques.
											Je me suis proposée le jour des élections
											pour faire des sondages
à la sortie des urnes.
											Mais je ne pouvais pas voter
et je ne pouvais pas me porter candidate.
											Donc, en 2000, quand il a été annoncé
											que les frais de demande de citoyenneté
allaient plus que doubler,
											passant de 95 dollars à 225 dollars,
											j'ai décidé qu'il était temps de postuler
avant de ne plus pouvoir me le permettre.
											J'ai rempli un long formulaire,
											j'ai répondu aux questions
sur mes affiliations actuelles et passées.
											Une fois la demande soumise,
											il fallait prendre
mes empreintes digitales,
											étudier pour un examen,
											passer d'interminables heures à attendre.
											Vous pourriez appeler cela
un examen minutieux.
											Et puis en décembre 2000,
											j'ai rejoint des centaines 
d'autres immigrants
											dans une salle à Brooklyn
											où nous promettions notre loyauté
											à un pays que nous avions
longtemps considéré comme chez nous.
											Mon voyage d'étudiante internationale
à citoyenne américaine a pris 16 ans,
											un court délai quand on le compare
à d'autres histoires d'immigrants.
									","
											Böylece benim gibi genç insanlar
için bir dernek kurup
											sosyal girişimci olarak
kariyerime başladım.
											Buna başladığım zamanlar kendi köklerini
											Hindistan alt kıtasına doğru
araştıran bir gençtim.
											Bu işte, Güney Asyalı ve diğer göçmenlerin
haklarının savunucusu oldum.
											Politik sorunlar hakkında kongre
üyeleriyle kulis faaliyetleri yürüttüm.
											Seçim gününde sandık çıkış anketleri
yapmak için gönüllü oldum.
											Ama oy veremedim ve
adaylığımı koyamadım.
											2000'de, vatandaşlık başvuru ücretinin
											iki katından daha fazla
											yani 95 dolardan 225 dolara çıkacağı
duyurulduğunda,
											şimdi imkânım varken başvurmanın 
tam zamanı olduğuna karar verdim.
											Şimdiki ve geçmişteki ilişkilerim hakkında
											sorular cevapladığım uzun 
bir başvuru formu doldurdum.
											Ve başvuru ibraz edildiğinde,
											parmak izi alınması gerekiyordu,
											geçilmesi gereken bir sınav,
											sırada beklenecek sonsuz saatler vardı.
											Buna aşırı güvenlik incelemesi
diyebilirsiniz.
											Ve sonra 2000 yılının Aralık ayında,
											Brooklyn'de büyük bir salonda,
uzun süredir
											kendi evi gördükleri ülkeye
											bağlılık yemini eden
											diğer yüzlerce göçmen arasına katıldım.
											Yabancı bir öğrenciden Amerikan
vatandaşlığına yolculuğum 16 yıl sürdü,
											diğer göçmen hikayeleriyle karşılaştırınca
kısa bir zaman dilimi.
									",Immigrant voices make democracy stronger,Sayu Bhojwani,12:42,"community,democracy,government,identity,immigration,politics,motivation,society,social change,United States,TEDNYC,india"
"
","
","
","
","
","
",Immigrant voices make democracy stronger,Sayu Bhojwani,12:42,"community,democracy,government,identity,immigration,politics,motivation,society,social change,United States,TEDNYC,india"
"
											Y poco después de haber 
llevado a cabo ese paso formal
											para convertirme en estadounidense,
											los ataques del 11-S de 2001
											cambiaron el panorama de la inmigración 
en las siguientes décadas.
											Mi ciudad, Nueva York,
											estaba tambaleándose y recuperándose
											y en medio de todo esto,
											estábamos en un ciclo electoral.
									","
											And soon after I had taken
that formal step
											to becoming an American,
											the attacks of September 11, 2001,
											changed the immigration landscape
for decades to come.
											My city, New York City,
											was reeling and healing,
											and in the midst of it,
											we were in an election cycle.
									","
											Logo a seguir a eu ter dado
este passo formal,
											de passar a ser norte-americana,
											os ataques de 11 de setembro de 2001
											mudaram o cenário de imigração
para as décadas futuras.
											A minha cidade, Nova Iorque,
											estava a cambalear e a sarar
											e, no meio disso tudo,
estávamos num ciclo de eleições.
									","
											Kurz nachdem ich den formalen
Schritt getan hatte,
											um Amerikanerin zu werden,
											veränderten die Anschläge
vom 11. September 2001
											die Immigration für Jahrzehnte.
											Meine Stadt New York
											wirbelte und heilte,
											und wir waren mitten in einem Wahlzyklus.
									","
											Et peu de temps après avoir pris
cette étape formelle
											pour devenir une Américaine,
											les attentats du 11 Septembre 2001
											ont changé le paysage de l'immigration
pour les décennies à venir.
											Ma ville, New York,
											était vacillante et en voie de guérison
											et au milieu de tout cela,
											nous étions dans un cycle électoral.
									","
											Amerikalı olmak için attığım resmi adımdan
											kısa bir süre sonra,
											11 Eylül 2001 saldırıları,
											yıllarca sürecek göçmenlik durumunu
değiştirdi.
											Benim şehrim, New York,
											yalpalıyor ve yaralarını sarıyordu
											ve bu esnada
											bir seçim turundaydık.
									",Immigrant voices make democracy stronger,Sayu Bhojwani,12:42,"community,democracy,government,identity,immigration,politics,motivation,society,social change,United States,TEDNYC,india"
