pt,tr,title,speaker,duration,tags
"
","
",How to find work you love,Scott Dinsmore,17:47,"TEDx,business,entrepreneur,happiness,work,work-life balance"
"
											Uau, que honra. Sempre me perguntei
como seria esta sensação.
									","
											Ne büyük onur. Bunun
nasıl hissettireceğini hep merak etmiştim.
									",How to find work you love,Scott Dinsmore,17:47,"TEDx,business,entrepreneur,happiness,work,work-life balance"
"
","
",How to find work you love,Scott Dinsmore,17:47,"TEDx,business,entrepreneur,happiness,work,work-life balance"
"
											Há oito anos, recebi o pior
conselho profissional de sempre.
											Um amigo meu disse-me:
											""Scott, não te preocupes em gostar 
do que fazes agora.
											""O importante é fortalecer
o teu currículo"".
									","
											8 yıl önce , hayatımın 
en kötü kariyer tavsiyesini aldım.
											Bir arkadaşım bana
											""Şu an yaptığın işi ne kadar sevdiğini
önemseme
											çünkü olay özgeçmişini oluşturmak"" dedi.
									",How to find work you love,Scott Dinsmore,17:47,"TEDx,business,entrepreneur,happiness,work,work-life balance"
"
","
",How to find work you love,Scott Dinsmore,17:47,"TEDx,business,entrepreneur,happiness,work,work-life balance"
"
											Eu tinha acabado de voltar, depois 
de uns tempos em Espanha,
											entrei para uma empresa
da Fortune 500, e pensei:
											""Fantástico, vou ter um 
grande impacto no mundo.""
											Tinha imensas ideias.
											Cerca de dois meses depois, reparei que,
por volta das 10h, todas as manhãs,
											sentia um estranho desejo
de esmagar a cabeça no meu monitor.
											Não sei se alguém já sentiu isso.
											Apercebi-me rapidamente 
que todos os meus colegas na sala
											já tinham automatizado a minha função.
											Foi nessa altura que recebi o sábio
conselho para fortalecer o meu currículo.
									","
											Ve bir süreliğine İspanya'daki yaşantımdan
geri dönüp,
											Fortune 500'de olan bir şirkete girdim
ve dedim ki ""Bu harika olacak,
											Dünyayı etkileyecek bir şey yapacağım""
											Aklımda hep bu düşünceler vardı.
2 aylık bir süre içinde,
											gördüm ki her sabah 10'da
şöyle tuhaf bir isteğim oluyordu.
											Kafamı bilgisayarımın ekranına 
vurmak istiyordum.
											Hiç böyle bir şey hissettiniz mi
bilmem.
											Bundan kısa bir süre sonra gördüm ki
bizim sektördeki tüm rakipler
											yaptığım işi çoktan otomasyona 
bağlamışlardı.
											Bu benim özgeçmişimi oluştururken
bana önemli bir yol gösterdi.
									",How to find work you love,Scott Dinsmore,17:47,"TEDx,business,entrepreneur,happiness,work,work-life balance"
"
","
",How to find work you love,Scott Dinsmore,17:47,"TEDx,business,entrepreneur,happiness,work,work-life balance"
"
											Bom, enquanto estava a tentar perceber
											de que janela do segundo andar
me atirar, para mudar as coisas,
											li um conselho completamente diferente
de Warren Buffett, que disse:
											""Aceitar trabalhos
só para fortalecer o currículo
											""é como poupar o sexo para a velhice.""
									","
											Bir şeyleri değiştirmek için 

											nelerden vazgeçeceğimi anlamaya başladım.
											Warren Buffett'ın tamamıyla farklı
bir tavsiyesini okudum. Diyordu ki :
											""Özgeçmiş oluşturmak için işlere girmek,
seks yapmayı yaşlılığa saklamakla aynı.""
									",How to find work you love,Scott Dinsmore,17:47,"TEDx,business,entrepreneur,happiness,work,work-life balance"
"
","
",How to find work you love,Scott Dinsmore,17:47,"TEDx,business,entrepreneur,happiness,work,work-life balance"
"
											(Risos)
									","
											(Gülüşmeler)
									",How to find work you love,Scott Dinsmore,17:47,"TEDx,business,entrepreneur,happiness,work,work-life balance"
"
","
",How to find work you love,Scott Dinsmore,17:47,"TEDx,business,entrepreneur,happiness,work,work-life balance"
"
											Ouvi isto, e não precisei de mais nada.
											Ao fim de duas semanas saí dali.
											Saí com a intenção
de encontrar alguma coisa
											em que pudesse errar, tal era a coisa.
											Eu só queria ter algum impacto.
Não me importava qual fosse.
									","
											İşte duymam gereken tek şey buydu.
											2 hafta içinde oradan ayrıldım ve
bunun tek bir sebebi vardı :
											İçine edebileceğim başka bir şey bulmak.
Tek zorluğu buydu.
											Bir çeşit dayanağa ihtiyacım vardı.
Ne olduğu önemli değildi.
									",How to find work you love,Scott Dinsmore,17:47,"TEDx,business,entrepreneur,happiness,work,work-life balance"
"
","
",How to find work you love,Scott Dinsmore,17:47,"TEDx,business,entrepreneur,happiness,work,work-life balance"
"
											Descobri rapidamente
que não estava sozinho.
											Acontece que mais de 80% das pessoas
											não gostam do que fazem.
											Imagino que aqui seja diferente,
											mas essa é a média a que a Deloitte
chegou nos seus estudos.
											Então, eu quis descobrir
o que diferencia estas pessoas,
											as pessoas que fazem aquilo que gostam
e mudam o mundo,
											que acordam inspiradas todos os dias
											e essas pessoas, os restantes 80%,
											que levam as suas vidas
num mudo desespero.
									","
											Kısa bir süre sonra bu 
konuda yalnız olmadığımı gördüm
											Meğer Düyna'nın %80 inden fazlası
											işlerinden zevk almıyor.
											Belki de buradakiler farklıdır,
											ama Deloitte'un çalışmalarında bulduğu
ortalama bu.
											Bu ortalamanın dışında kalanların
hayatlarını görmek istedim.
											Dünya'yı değiştiren, işlerine
tutkulu olan ve
											her gün istekle uyananları,
											ve hayatlarını çaresizliğe
											sürükleyen diğer %80'i.
									",How to find work you love,Scott Dinsmore,17:47,"TEDx,business,entrepreneur,happiness,work,work-life balance"
"
","
",How to find work you love,Scott Dinsmore,17:47,"TEDx,business,entrepreneur,happiness,work,work-life balance"
"
											Então comecei a entrevistar pessoas 
que fazem trabalho inspirador,
											li livros e fiz estudos de casos,
											300 livros no total sobre 
objetivos de carreira e tudo isso,
											estava completamente imerso
pela razão egoísta de...
											Eu queria encontrar um trabalho
que não pudesse deixar de fazer,
											o que isso representava para mim.
									","
											Bu vesileyle sevdiği işi yapan tüm bu
insanlarla görüşmeye başladım.
											Kitaplar okudum, olaylarla ilgili
durum çalışmaları yaptım,
											300 kitap, hepsi de bu amaç ve
kariyer üzerine yazılmış
											hepsi de kendini adamak ve 
içsel nedenlerle ilgiliydi.
											Amacım bir türlü yapamadığım,

											benim için en uygun işi bulmaktı
									",How to find work you love,Scott Dinsmore,17:47,"TEDx,business,entrepreneur,happiness,work,work-life balance"
"
","
",How to find work you love,Scott Dinsmore,17:47,"TEDx,business,entrepreneur,happiness,work,work-life balance"
