en,fr,es,tr,pt,de,title,speaker,duration,tags
"
","
","
","
","
","
",Why should you read Edgar Allan Poe?,Scott Peeples,4:53,"TED-Ed,literature,education,novel,writing,books,book,history"
"
											A high forehead topped 
by disheveled black hair,
											a sickly pallor,
											and a look of deep intelligence 
and deeper exhaustion
											in his dark, sunken eyes.
											Edgar Allan Poe’s image 
is not just instantly recognizable –
											it’s perfectly suited to his reputation.
											From the prisoner strapped 
under a descending pendulum blade,
											to a raven who refuses 
to leave the narrator’s chamber,
											Poe’s macabre and innovative stories 
of gothic horror
											have left a timeless mark on literature.
									","
											Un front haut coiffé de
cheveux noirs ébouriffés,
											une pâleur maladive,
											et un regard d'intelligence profonde
et de fatigue encore plus profonde
											dans ses yeux sombres et renfoncés.
											L'image d'Edgar Allan Poe n'est pas
seulement reconnaissable immédiatement -
											elle colle aussi parfaitement
à sa réputation.
											Du prisonnier ligoté sous une lame
qui se balance tel un pendule,
											au corbeau qui refuse de quitter
la chambre du narrateur,
											les histoires d'horreur gothique de Poe,
macabres et novatrices,
											ont laissé une marque indélébile
dans la littérature.
									","
											El cabello oscuro y desordenado
sobre la frente amplia,
											una palidez enfermiza,
											y una mirada de profunda inteligencia
y aún más profundo cansancio
											en los ojos oscuros y hundidos.
											La imagen de Edgar Allan Poe
no solo es instantáneamente reconocible,
											sino que es el complemento
perfecto para su reputación.
											Desde el prisionero atado bajo una guadaña
que desciende y oscila como un péndulo,
											hasta un cuervo que se rehúsa
a dejar la habitación del narrador,
											los relatos de terror gótico de Poe,
macabros e innovadores,
											han dejado una marca indeleble
en la historia de la literatura.
									","
											Geniş bir alnın üzerindeki
dağınık siyah saçlar,
											hastalıklı bir solgunluk
											ve derin bir zeka ile daha da derin
bir yorgunluğu yansıtan
											siyah ve çökük gözler.
											Edgar Allan Poe'nun görünüşü
hemen fark edilebilir değildir,
											bu nedenle şöhretine gayet uymaktadır.
											İnen sarkaç palanın
altına bağlanmış mahkumdan,
											anlatıcının odasını terk etmeyi
reddeden kuzguna kadar
											Poe'nun korkunç
ve çığır açıcı gotik hikayeleri
											edebiyat üzerinde kalıcı bir iz bıraktı.
									","
											Uma testa alta encimada por
um cabelo negro desgrenhado,
											uma palidez doentia,
											e um ar de profunda inteligência
e de exaustão ainda mais profunda
											nos olhos escuros, olheirentos,
											a imagem de Allan Poe
é reconhecível de imediato,
											e está perfeitamente
adequada à sua reputação.
											Do prisioneiro amarrado
a um pêndulo afiado que desce
											até ao corvo que se recusa
a abandonar o quarto do narrador,
											as histórias macabras e inovadoras
de horror gótico, de Poe,
											deixaram uma marca indelével
na literatura.
									","
											Eine hohe Stirn, bedeckt 
von zerzaustem schwarzen Haar,
											kränkliche Blässe
											und ein Blick von hoher Intelligenz
und tiefer Erschöpfung
											aus dunklen, eingesunkenen Augen.
											Das Bild von Edgar Allan Poe
ist nicht nur unverwechselbar,
											es passt auch perfekt zu seinem Ruf.
											Vom dem gefesselten Gefangenen
unter einer herabsinkenden Klinge
											bis zum Raben, der sich weigert,
das Gemach des Erzählers zu verlassen,
											haben Poes makabre
und innovative Horrorgeschichten
											die Literatur für immer geprägt.
									",Why should you read Edgar Allan Poe?,Scott Peeples,4:53,"TED-Ed,literature,education,novel,writing,books,book,history"
"
","
","
","
","
","
",Why should you read Edgar Allan Poe?,Scott Peeples,4:53,"TED-Ed,literature,education,novel,writing,books,book,history"
"
											But just what is it that makes
Edgar Allan Poe
											one of the greatest American authors?
											After all, horror was a popular
genre of the period,
											with many practitioners.
											Yet Poe stood out thanks to his
careful attention to form and style.
											As a literary critic,
											he identified two cardinal rules 
for the short story form:
											it must be short enough 
to read in one sitting,
											and every word 
must contribute to its purpose.
											By mastering these rules,
											Poe commands the reader’s attention
											and rewards them with an intense 
and singular experience –
											what Poe called the unity of effect.
									","
											Mais qu'est-ce qui fait d'Edgar Allan Poe
											l'un des plus grands auteurs américains ?
											Après tout, l'horreur était
un genre populaire à l'époque,
											avec beaucoup de pratiquants.
											Mais Poe se démarque grâce à son attention
minutieuse à la forme et au style.
											Critique littéraire,
											il identifia deux règles capitales
dans l'écriture d'une nouvelle :
											elle doit être assez courte
pour être lue en une fois,
											et chaque mot doit contribuer
à sa finalité.
											En maitrisant ces règles,
											Poe dirige l'attention du lecteur
											et le récompense avec une expérience
intense et unique -
											ce que Poe appelle l'unité de l'effet.
									","
											Pero ¿qué hace de Edgar Allan Poe
											uno de los más grandes
escritores estadounidenses?
											Después de todo, el terror
era un género popular en aquella época
											cultivado por varios escritores.
											Sin embargo, Poe se destacó
por su cuidado de la forma y el estilo.
											Como crítico literario,
											identificó dos reglas fundamentales
para la construcción del relato corto:
											debe poder leerse de una sola vez,
											y cada palabra debe contribuir
al objetivo del cuento.
											Dominando estas dos reglas,
											Poe mantiene la atención del lector
											y, como recompensa, le otorga
una experiencia intensa y singular
											a la que Poe llamó ""unidad de efecto"".
									","
											Peki Edgar Allan Poe'yu
en iyi Amerikan yazarlardan
											biri yapan şey tam olarak nedir?
											Sonuçta korku o dönemde 
pek çok yazar tarafından denenen
											popüler bir türdü.
											Ama Poe biçim ve biçeme verdiği
önem sayesinde ön plana çıktı.
											Bir edebiyat eleştirmeni olarak
											kısa hikaye biçimi için
iki ana kural belirledi:
											Bir oturuşta okunacak kadar kısa olmalıydı
											ve her kelimesi
amacına hizmet etmeliydi.
											Bu kurallarda uzmanlaşarak
											Poe okuyucunun dikkatini topluyor
											ve onları yoğun ve eşsiz bir
tecrübeyle ödüllendiriyor.
											Poe buna etkinin birliği adını veriyor.
									","
											Mas o que é que faz de Edgar Allan Poe
											um dos maiores escritores norte-americanos?
											Afinal, o horror era um género
popular da época,
											com muitos praticantes.
											Mas Poe destaca-se,
graças à sua atenção cuidada
											quanto à forma e ao estilo.
											Enquanto crítico literário,
											identificou duas regras fundamentais
para a forma do conto:
											tem de ser suficientemente curto
para se ler de uma só vez
											e cada palavra deve contribuir
para o mesmo objetivo.
											Com o domínio destas regras,
											Poe comanda a atenção do leitor
											e recompensa-o com uma experiência
intensa e única,
									","
											Doch was genau macht Edgar Allan Poe
											zu einem der größten
amerikanischen Autoren?
											Immerhin war Horror
damals ein beliebtes Genre
											und hatte viele Vertreter.
											Doch Poe stach wegen seiner sorgfältigen
Beachtung von Form und Stil heraus.
											Als Literaturkritiker bestimmte er
zwei Grundregeln für die Kurzgeschichte:
											Sie muss in einem Zug zu lesen sein
											und jedes Wort muss
zu ihrer Absicht beitragen.
											Auf diese Weise fesselt Poe die Leser
											und belohnt sie mit einer
intensiven und einzigartigen Erfahrung,
											die er ""Einheit des Effekts"" nannte.
									",Why should you read Edgar Allan Poe?,Scott Peeples,4:53,"TED-Ed,literature,education,novel,writing,books,book,history"
"
","
","
","
","
","
",Why should you read Edgar Allan Poe?,Scott Peeples,4:53,"TED-Ed,literature,education,novel,writing,books,book,history"
"
											Though often frightening,
this effect goes far beyond fear.
											Poe’s stories use violence and horror
to explore the paradoxes and mysteries
											of love,
											grief,
											and guilt,
											while resisting simple interpretations 
or clear moral messages.
											And while they often hint 
at supernatural elements,
											the true darkness they explore
is the human mind
											and its propensity for self-destruction.
											In “The Tell-Tale Heart,”
a ghastly murder
											is juxtaposed with the killer’s 
tender empathy towards the victim –
											a connection that soon 
returns to haunt him.
											The title character of ""Ligeia""
returns from the dead
											through the corpse 
of her husband’s second wife –
											or at least the opium-addicted 
narrator thinks she does.
											And when the protagonist 
of “William Wilson”
											violently confronts a man 
he believes has been following him,
											he might just be staring 
at his own image in a mirror.
											Through his pioneering use 
of unreliable narrators,
											Poe turns readers into active participants
											who must decide when a storyteller
might be misinterpreting
											or even lying about the events 
they’re relating.
									","
											Bien qu'effrayant parfois,
cet effet dépasse la peur.
											Utilisant la violence et l'horreur, ses
récits explorent les paradoxes et mystères
											de l'amour,
											du deuil
											et de la culpabilité,
											tout en résistant aux interprétations
simples et aux messages moraux.
											Et si elles contiennent parfois
des éléments surnaturels,
											la vraie noirceur qu'elles explorent
est celle de l'esprit humain,
											et sa tendance à l'autodestruction.
											Dans « Le Cœur révélateur »,
un horrible meurtre
											est mêlé à l'empathie tendre
que le tueur a pour la victime -
											un lien qui finira bientôt par le hanter.
											Le personnage principal de « Ligeia »
revient d'entre les morts
											grâce au corps de la seconde femme
de son mari,
											ou du moins c'est ce que croit
le narrateur, accro à l'opium.
											Et lorsque le héros de « William Wilson »
											fait violemment face à un homme
dont il pensait qu'il le suivait,
											peut-être est-il en fait en train
de se regarder dans un miroir.
											De par son utilisation pionnière
de narrateurs peu fiables,
											Poe transforme les lecteurs
en participants actifs
											qui doivent décider si le narrateur
interprète mal les choses
											ou s'il ment à propos des évènements
qu'il raconte.
									","
											Aunque muchas veces es aterrador,
este efecto va más allá del miedo.
											Los relatos de Poe usan
la violencia y el terror
											para ahondar en las paradojas y misterios
											del amor, el dolor y la culpa
											sin usar interpretaciones 
simples ni moralejas claras.
											Y si bien a veces aluden
a elementos sobrenaturales,
											la verdaderas tinieblas que exploran
son las de la mente humana
											y su propensión a la autodestrucción.
											En ""El corazón delator"",
un horrible asesinato
											se contrapone con la tierna empatía
del asesino hacia la víctima,
											una conexión que poco después
vuelve a perseguirlo.
											En ""Ligeia"", el personaje
que da nombre al título
											vuelve de la muerte a través del cadáver
de la segunda esposa de su marido,
											o al menos eso piensa el narrador,
que es adicto al opio.
											Y cuando el protagonista
de ""William Wilson""
											se enfrenta violentamente a un hombre
que, según él, lo viene siguiendo,
											es posible que se esté mirando
a sí mismo reflejado en el espejo.
											Con el recurso innovador
del narrador no fiable,
											Poe convierte al lector
en un participante activo
											que debe decidir si el narrador
podría estar malinterpretando
											o incluso tergiversando
los hechos que relata.
									","
											Korkutucu olsa da
bu etki korkunun ötesine geçiyor.
											Poe'nun hikayeleri şiddet ve korkuyu;
aşkın, kederin ve suçluluğun
											paradoks
											ve
											gizemlerini
											basit yorumlar ve kesin ahlaki mesajlar
vermeden açıklamak için kullanıyor.
											Sık sık doğaüstü öğelere 
işaret etse de
											keşfettikleri asıl karanlık insan zihni
											ve kendine zarar verme eğilimi.
											""Gammaz Yürek""te 
korkunç bir cinayet
											katilin kurbana duyduğu şefkat
ve empati ile yan yana yer alıyor.
											Bu bağ kısa sürede katilin
peşine düşmeye başlıyor.
											""Ligeia""nın ana karakteri
											kocasının ikinci eşinin
cesediyle ölümden dönüyor-
											ya da afyon bağımlısı yazar
öyle olduğunu düşünüyor.
											“William Wilson”un kahramanı,
											onu takip ettiğini düşündüğü 
bir insana şiddetle karşı çıktığında
											sadece kendi görüntüsüne
aynada bakmaya başlamış olabilir.
											Güvenilir olmayan
anlatıcıların öncü kullanımıyla Poe,
											okuyucuları bir hikaye anlatıcısının
yanlış yorumlayabileceği
											ya da ilgili oldukları olaylar
hakkında yalan söylediğinde
											karar vermesi gereken
aktif katılımcılara dönüştürüyor.
									","
											aquilo a que Poe chamava
a unidade do efeito.
											Embora assustador, esse efeito
vai muito além do medo.
											Os contos de Poe
usam a violência e o horror
											para explorar os paradoxos
e os mistérios do amor,
											da tristeza e da culpa,
											resistindo a interpretações simples
ou a nítidas mensagens morais.
											Embora apontem, por vezes,
para elementos sobrenaturais,
											as verdadeiras trevas que exploram
são o espírito humano
											e a sua propensão para a autodestruição.
											Em ""O Coração Revelador"",
um assassínio horripilante
											sobrepõe-se à terna empatia
do assassino para com a vítima
											— uma ligação que, em breve,
volta para o assombrar.
											A personagem de ""Ligeia""
regressa de entre os mortos
											no cadáver da segunda mulher
do seu marido
											— pelo menos é o que pensa
o narrador, viciado em ópio.
											Quando o protagonista
de “William Wilson”
											se confronta violentamente com um homem
que ele acha que o está a seguir,
											pode estar a olhar apenas
para a sua imagem num espelho.
											Através do uso pioneiro
de narradores pouco fiáveis,
											Poe transforma os leitores
em participantes ativos
											que têm de decidir quando o narrador
está a interpretar mal ou está a mentir,
									","
											Obwohl dieser Effekt oft Angst einflößt,
geht er weit darüber hinaus.
											Poes Geschichten nutzen Gewalt und Horror
											zur Erforschung der Paradoxe und Rätsel
von Liebe, Trauer und Schuld.
											Sie trotzen einfachen Interpretationen
											oder klaren moralischen Botschaften.
											Auch wenn sie oft auf
übernatürliche Elemente anspielen,
											ist die wahre Finsternis,
die sie erforschen,
											der menschliche Verstand
und sein Hang zur Selbstzerstörung.
											In ""Das verräterische Herz""
steht ein grausamer Mord
											der zarten Empathie des Mörders
für sein Opfer gegenüber —
											eine Verbindung,
die ihn bald heimsuchen wird.
											Die Titelfigur von ""Ligeia""
											kehrt durch die Leiche der zweiten Frau
ihres Manns von den Toten zurück —
											zumindest glaubt das
der opiumabhängige Erzähler.
											Als sich der Protagonist
von ""William Wilson""
											einen Mann brutal entgegenstellt,
von dem er sich verfolgt glaubt,
											starrt er womöglich
nur sein eigenes Spiegelbild an.
											Durch seinen innovativen Gebrauch
des unzuverlässigen Erzählers
											macht Poe die Leser
zu aktiven Teilnehmern,
											die entscheiden müssen,
											wann ein Erzähler die Ereignisse
falsch deuten oder sogar lügen könnte.
									",Why should you read Edgar Allan Poe?,Scott Peeples,4:53,"TED-Ed,literature,education,novel,writing,books,book,history"
"
","
","
","
","
","
",Why should you read Edgar Allan Poe?,Scott Peeples,4:53,"TED-Ed,literature,education,novel,writing,books,book,history"
"
											Although he’s best known 
for his short horror stories,
											Poe was actually one of the most versatile
											and experimental writers 
of the nineteenth century.
											He invented the detective story 
as we know it,
											with “The Murders in the Rue Morgue,”
											followed by “The Mystery of Marie Roget”
											and “The Purloined Letter.”
											All three feature 
the original armchair detective,
											C. Auguste Dupin,
											who uses his genius and unusual powers 
of observation and deduction
											to solve crimes that baffle the police.
											Poe also wrote satires of social 
and literary trends,
											and hoaxes that in some cases 
anticipated science fiction.
											Those included an account of 
a balloon voyage to the moon,
											and a report of a dying patient 
put into a hypnotic trance
											so he could speak from the other side.
											Poe even wrote an adventure novel 
about a voyage to the South Pole
											and a treatise on astrophysics,
											all while he worked as an editor,
											producing hundreds of pages 
of book reviews and literary theory.
									","
											Bien qu'il soit surtout connu
pour ses nouvelles d'horreur,
											Poe était aussi un des écrivains
les plus versatiles
											et les plus expérimentaux du XIXe siècle.
											Il a inventé le roman policier moderne,
											avec « Double assassinat
dans la rue Morgue »,
											puis « Le Mystère de Marie Roget »
											et « La Lettre volée ».
											Ces trois romans mettent en scène
le premier détective en fauteuil,
											C. Auguste Dupin,
											qui utilise son génie, sa déduction et 
son pouvoir d'observation hors du commun
											pour résoudre les crimes
qui laissent la police perplexe.
											Poe a également écrit des
satires sociales et littéraires,
											et même des canulars qui ont parfois
anticipé la science-fiction.
											Il y a ainsi l'histoire d'un voyage
en ballon jusqu'à la Lune,
											ou encore un patient décédé mis
en transe hypnotique
											pour qu'il puisse parler
depuis l'autre côté.
											Poe a même écrit un roman d'aventures
d'un voyage au Pôle Sud,
											et un traité d'astrophysique,
											et lorsqu'il travaillait comme éditeur,
											il fit publier des centaines de pages
de critiques et théories littéraires.
									","
											Si bien se lo conoce principalmente
por sus cuentos de terror,
											Poe fue uno de los escritores
más versátiles y experimentales
											del siglo XIX.
											Poe inventó el relato policial
que conocemos hoy,
											con ""Los crímenes de la calle Morgue"",
											seguido de ""El misterio de Marie Rogêt""
											y ""La carta robada"".
											En los tres relatos aparece
el primer detective de ficción,
											C. Auguste Dupin,
											quien usa su ingenio y su especial
capacidad de observación y deducción
											para resolver misterios
que desconciertan a la policía.
											Poe también escribió sátiras
de las tendencias sociales y literarias,
											y relatos engañosos que, en algunos casos,
fueron precursores de la ciencia ficción.
											En esta categoría se incluyen
el relato de un viaje en globo a la luna
											y el informe de un paciente
hipnotizado en su lecho de muerte
											para que se comunicara desde el más allá.
											Hasta llegó a escribir una novela
de aventuras sobre un viaje al Polo Sur
											y un tratado de astrofísica,
											todo mientras trabajaba como editor,
											publicando cientos de páginas
de reseñas de libros y teoría literaria.
									","
											Kısa korku hikayeleriyle
tanınmasına rağmen,
											Poe aslında on dokuzuncu yüzyılın
											en çok yönlü
ve deneysel yazarlarından biriydi.
											Dedektif hikâyesini bildiğimiz şekliyle,
											“Morgue Sokağı Cinayeti”,
											“Marie Roget'in Gizemi”
											ve “Çalınan Mektup” ile icat etti.
											Her üçü de dehasını
ve olağandışı güçlerini kullanan
											ve polisin
											kafasını karıştıran
suçları çözmek için kararlı olan,
											akıl veren dedektif
C. Auguste Dupin'i karakterize ediyor.
											Poe ayrıca, sosyal ve
edebi eğilimlerin hicivlerini de yazdı
											ve bazı durumlarda
öngörülen bilim kurguyla dalga geçti.
											Bunlar ay için
bir balon seferinin hesabını
											ve ölen bir hastayı
hipnotik bir transa soktuğu,
											böylece diğer taraftan konuşabildiği
bir raporu içeriyordu.
											Poe, Güney Kutbu'na bir yolculuk
ve astrofizik üzerine
											bir inceleme hakkında
macera romanı bile yazdı,
											editör olarak çalışırken
											yüzlerce sayfa kitap eleştirisi
ve edebi teori üretiyordu.
									","
											quanto aos acontecimentos que relata.
											Embora seja mais conhecido
pelos seus contos de horror,
											Poe foi um dos escritores
mais versáteis
											e mais experimentais do século XIX.
											Inventou as histórias policiais
como as conhecemos hoje
											com "" Os Assassinatos da Rua Morgue"",
											seguidos por "" O Mistério de Marie Roget""
											e "" A Carta Roubada"".
											Estes três contos caracterizam
o cadeirão original do detetive,
											C. Auguste Dupin,
											que usa o seu génio e poderes invulgares
de observação e dedução
											para solucionar crimes
que deixam a polícia baralhada.
											Poe também escreveu sátiras
de tendência social e literária
											e farsas que, nalguns casos,
anteciparam a ficção científica.
											Estas incluem o relato duma viagem
à lua num balão
											e o relato de um moribundo
posto em transe hipnótico,
											para poder falar do lado de lá.
											Poe até escreveu um romance de aventuras
sobre uma viagem ao Polo Sul
											e um tratado sobre astrofísica,
											enquanto trabalhava como editor,
									","
											Obwohl Poe für seine
Horror-Kurzgeschichten bekannt ist,
											war er einer der vielseitigsten
und experimentierfreudigsten Autoren
											des 19. Jahrhunderts.
											Heutige Detektivgeschichten
basieren auf seinen Werken:
											""Der Doppelmord in der Rue Morgue"",
											""Das Geheimnis der Marie Roget""
											und ""Der entwendete Brief"".
											Hier tritt C. Auguste Dupin auf,
der originäre geniale Sesseldetektiv.
											Dank ungewöhnlicher Beobachtungs-
und Kombinationsgabe löst er Verbrechen,
											die der Polizei ein Rätsel sind.
											Poe schrieb auch Satiren
über soziale und literarische Trends
											sowie Zeitungsenten,
zum Teil Vorläufer der Science Fiction.
											Darunter waren Berichte
über eine Ballonfahrt zum Mond
											oder einen sterbenden Patienten,
											der in Trance versetzt wurde,
um aus dem Jenseits sprechen zu können.
											Poe verfasste sogar einen Abenteuerroman
über eine Reise zum Südpol
											und eine Abhandlung über Astrophysik,
											während er gleichzeitig als Redakteur

											hunderte Seiten Buchrezensionen
und Literaturtheorie produzierte.
									",Why should you read Edgar Allan Poe?,Scott Peeples,4:53,"TED-Ed,literature,education,novel,writing,books,book,history"
"
","
","
","
","
","
",Why should you read Edgar Allan Poe?,Scott Peeples,4:53,"TED-Ed,literature,education,novel,writing,books,book,history"
"
											An appreciation of Poe’s career 
wouldn’t be complete without his poetry:
											haunting and hypnotic.
											His best-known poems are songs of grief, 
or in his words,
											“mournful and never-ending remembrance.”
											“The Raven,” in which the speaker 
projects his grief onto a bird
											who merely repeats a single sound,
											made Poe famous.
									","
											Une compréhension de la carrière de Poe
serait incomplète sans sa poésie :
											envoûtante et hypnotique.
											Ses poèmes les plus connus sont des chants
de chagrin, ou comme il le dit lui-même,
											d'un « éternel souvenir lugubre ».
											« Le Corbeau », dans lequel le narrateur
projette sa douleur sur un oiseau
											qui ne fait que répéter le même son,
											rendit Poe célèbre.
									","
											Un análisis de la carrera de Poe
no estaría completo sin su poesía,
											inquietante e hipnótica.
											Sus poemas más conocidos
son cantares de tristeza
											o, en sus propias palabras,
""un triste e interminable recuerdo"".
											Con ""El cuervo"", donde el narrador
proyecta su tristeza en un pájaro
											que siempre repite el mismo sonido,
											Poe se hizo famoso.
									","
											Poe’nun kariyerinin takdiri şiirleri
olmadan tamamlanmayacaktır:
											Unutulmaz ve hipnotik.
											Onun en tanınmış şiirleri
kederin şarkıları ya da kendi sözleriyle
											“kederli ve hiç bitmeyen hatıra”.
											Konuşmacının sadece
tek bir sesi tekrarlayan bir kuş üzerine
											üzüntüsünü yansıttığı “The Raven”,
											Poe'yi ünlü yaptı.
									","
											produzindo centenas de páginas
de críticas a livros e teoria literária.
											Uma apreciação completa da carreira de Poe
não ficaria completa sem a sua poesia,
											obsessiva e hipnótica.
											Os poemas mais conhecidos
são canções de tristeza
											ou, nas suas palavras,
											""recordações fúnebres e infindáveis"".
											""O Corvo"", em que o orador
projeta a sua tristeza numa ave,
											que repete apenas um único som,
									","
											Eine Würdigung von Poes Werdegang

											wäre ohne seine schwermütige
und hypnotische Poesie unvollständig.
											Seine bekanntesten Gedichte
sind Trauergesänge
											oder in seinen Worten:
""schwermütiges und ewiges Gedenken"".
											Mit ""Der Rabe"", in dem das lyrische Ich
seine Trauer auf einen Vogel überträgt,
											der nur einen einzigen Laut wiederholt,
											wurde Poe berühmt.
									",Why should you read Edgar Allan Poe?,Scott Peeples,4:53,"TED-Ed,literature,education,novel,writing,books,book,history"
