en,es,de,fr,title,speaker,duration,tags
"
","
","
","
",The hidden role informal caregivers play in health care,Scott Williams,9:30,"health care,illness,humanity,health,personal growth,society"
"
											Let's put the care back into health care.
											I've been working in the healthcare sector
for the last 15 years,
											and one of the things
that drew me to this sector
											was my interest in the care component
of our healthcare systems —
											more specifically,
											to the invaluable role played by carers.
									","
											Devolvamos los cuidados
a su lugar en el sistema sanitario.
											Llevo trabajando en el sector sanitario
los últimos quince años,
											y una de las cosas
que me llevaron a dedicarme a esto
											fue mi interés por la atención al paciente
en nuestros sistemas sanitarios,
											en particular por el inestimable papel
que juegan los cuidadores.
									","
											Bringen wir die Sorge wieder
in die Gesundheitsfürsorge zurück.
											Seit 15 Jahren arbeite ich
im Gesundheitswesen,
											und was mich zu diesem
Bereich hingezogen hat,
											war mein Interesse an der Pflegekomponente
unserer Gesundheitssysteme —
											genauer gesagt
											an der unbezahlbaren Rolle von Pflegenden.
									","
											Remettons le soin au centre
du système de soins.
											J'ai travaillé dans le secteur de la santé
pendant les 15 dernières années
											et, une des choses qui m'a
attiré vers ce secteur,
											c'était mon intérêt pour les soins
dans notre système de santé –
											plus spécifiquement,
											pour le rôle inestimable
tenu par les aidants.
									",The hidden role informal caregivers play in health care,Scott Williams,9:30,"health care,illness,humanity,health,personal growth,society"
"
","
","
","
",The hidden role informal caregivers play in health care,Scott Williams,9:30,"health care,illness,humanity,health,personal growth,society"
"
											Now, how many of you in this room
consider yourself a carer?
											By this, I mean how many of you
have cared for someone
											suffering from an illness,
injury or disability?
											Can you raise your hand
if this is the case?
											About half of the room.
											I want to thank all of you
who raised your hands
											for the time that you've spent as a carer.
											What you do is extremely precious.
									","
											¿Cuántos de ustedes 
se consideran cuidadores?
											Me refiero a cuántos de ustedes
han cuidado de alguien
											que sufre una enfermedad,
lesión o discapacidad.
											¿Pueden levantar la mano?
											Más o menos la mitad de la sala.
											Quiero dar las gracias a quienes
han levantado la mano,
											por el tiempo dedicado
a cuidar de alguien.
											Lo que hacen es muy valioso.
									","
											Wie viele von Ihnen hier würden
sich selbst als Pfleger bezeichnen?
											Damit meine ich, wie viele
von Ihnen haben jemand gepflegt,
											der an einer Krankheit, Verletzung
oder Behinderung leidet?
											Können Sie die Hand heben,
wenn das der Fall ist?
											Fast die Hälfte.
											Ich möchte allen danken,
die die Hand gehoben haben,
											für ihre Zeit als Pflegeperson.
											Was Sie tun ist extrem wertvoll.
									","
											Combien parmi vous dans cette salle
se considèrent comme un aidant ?
											Combien de gens ici ont
déjà pris soin de quelqu'un
											qui souffrait d'une maladie,
d'une blessure ou d'un handicap ?
											Pouvez-vous lever la main
si c'est le cas ?
											Quasi la moitié de la salle.
											Je veux remercier tous ceux
qui ont levé la main
											pour avoir passé du temps
en tant qu'aidant.
											Ce que vous faites est
extrêmement précieux.
									",The hidden role informal caregivers play in health care,Scott Williams,9:30,"health care,illness,humanity,health,personal growth,society"
"
","
","
","
",The hidden role informal caregivers play in health care,Scott Williams,9:30,"health care,illness,humanity,health,personal growth,society"
"
											I am a former cared-for patient myself.
											When I was a teenager,
I suffered from Lyme disease
											and underwent 18 months
of antibiotic treatment.
											I was repeatedly misdiagnosed:
											bacterial meningitis,
fibromyalgia, you name it.
											They couldn't figure it out.
											And if I'm standing here
in front of you today,
											it's because I owe my life
											to the stubbornness
and commitment of one carer.
											He did everything he could for me —
											driving long distances
from one treatment center to another,
											searching for the best option,
											and above all, never giving up,
											despite the difficulties he encountered,
											including from a work
and quality-of-life perspective.
											That was my father.
											I recovered, and this is largely
thanks to his dedication.
									","
											Yo mismo recibí cuidados como paciente.
											Cuando era adolescente
sufrí la enfermedad de Lyme
											y fui tratado con antibióticos
durante 18 meses.
											Los médicos se equivocaban
en el diagnóstico una y otra vez:
											meningitis bacteriana, 
fibromialgia, de todo,
											no conseguían averiguarlo.
											Si hoy estoy aquí delante de ustedes,
											es porque le debo la vida
											a la obstinación y compromiso
de un cuidador.
											Hizo todo lo que pudo por mí:
											conducir largas distancias desde 
un centro de tratamiento a otro,
											buscando la mejor opción,
											y sobre todo, nunca rendirse,
											a pesar de las dificultades que encontró
											incluso desde una perspectiva
laboral y de calidad de vida.
											Esa persona era mi padre.
											Yo me recuperé, en gran medida
gracias a su dedicación.
									","
											Ich bin selbst ein ehemaliger
versorgter Patient.
											Als Jugendlicher litt ich
an Lyme-Borreliose
											und erhielt eine 18-monatige
Antibiotikumbehandlung.
											Ich wurde mehrfach falsch diagnostiziert:
											bakterielle Meningitis,
Fybromyalgie, was auch immer.
											Sie fanden es nicht heraus.
											Dass ich heute hier vor Ihnen stehe,
											liegt daran, dass ich mein Leben
											der Sturheit und dem Einsatz
einer Pflegeperson verdanke.
											Er tat alles was er konnte für mich —
											fuhr lange Strecken von einem
Behandlungszentrum zum anderen,
											suchte nach der besten Option,
											und vor allem gab er nie auf,
											trotz der Schwierigkeiten,
auf die er stieß,
											auch aus Sicht von
Arbeits- und Lebensqualität.
											Das war mein Vater.
											Ich genas, vor allem Dank seiner Hingabe.
									","
											Je suis moi-même un ancien patient.
											Quand j'étais adolescent,
je souffrais de la maladie de Lyme,
											sous traitement antibiotique
pendant 18 mois.
											J'ai été mal diagnostiqué maintes fois :
											méningite bactérienne,
fibromyalgie et j'en passe.
											Ils n'arrivaient pas à trouver.
											Si je suis ici devant vous aujourd'hui,
											c'est parce que je dois la vie
											à l'entêtement et à
l'engagement d'un aidant.
											Il a fait tout ce qu'il a pu pour moi –
											faire des kilomètres
d'un centre de soins à l'autre,
											à la recherche de la meilleure option,
											et, par-dessus tout,
il n'a jamais abandonné,
											malgré les difficultés
qu'il a rencontrées,
											y compris sur le plan du travail
et de la qualité de vie.
											C'était mon père.
											J'ai guéri, en grande partie
grâce à son dévouement.
									",The hidden role informal caregivers play in health care,Scott Williams,9:30,"health care,illness,humanity,health,personal growth,society"
"
","
","
","
",The hidden role informal caregivers play in health care,Scott Williams,9:30,"health care,illness,humanity,health,personal growth,society"
"
											This experience turned me
into a patient advocate.
											The closer I looked, the more I saw
carers providing the same kind of support
											that my father provided to me,
											and playing a crucial role
in the healthcare system.
											I don't think it's an exaggeration to say
											that without informal carers like him,
											our health and social systems
											would crumble.
											And yet, they're largely
going unrecognized.
									","
											Esta experiencia me convirtió
en un defensor de los pacientes.
											Cuanto más me fijaba, más veía
a cuidadores prestando el mismo apoyo
											que mi padre me dio a mí,
											desempeñando un papel crucial
en el sistema sanitario.
											No creo que sea una exageración decir
											que sin cuidadores informales como él,
											nuestros sistemas sanitarios y sociales
											se derrumbarían.
											A pesar de ello,
no están siendo reconocidos.
									","
											Diese Erfahrung machte mich
zu einem Patientenfürsprecher.
											Je genauer ich hinsah, desto mehr sah ich
Pfleger die gleiche Unterstützung bieten,
											die mein Vater mir gegeben hatte,
											sie spielen eine zentrale Rolle
im Gesundheitswesen.
											Es ist wohl nicht übertrieben zu sagen,
											dass ohne solche Pflegende wie er
											unsere Gesundheits- und Sozialsysteme
											zusammenbrechen würden.
											Dennoch wird das meist nicht anerkannt.
									","
											Cette expérience m'a transformé
en défenseur du patient.
											Plus j'observais et plus je voyais les
aidants apporter le même type de soutien
											que mon père m'avait apporté,
											et le rôle crucial qu'ils tenaient
dans le système de santé.
											Je ne pense pas qu'il soit exagéré de dire
											que, sans les aidants informels,
comme lui,
											nos systèmes médico-sociaux
											s'effondreraient.
											Et pourtant, leurs efforts sont encore
en grande partie peu reconnus.
									",The hidden role informal caregivers play in health care,Scott Williams,9:30,"health care,illness,humanity,health,personal growth,society"
"
","
","
","
",The hidden role informal caregivers play in health care,Scott Williams,9:30,"health care,illness,humanity,health,personal growth,society"
"
											I am now a long-distance
carer for my mother,
											who suffers from multiple
chronic conditions.
											I understand, now more than ever,
											the demands that caregivers face.
											With aging populations,
											economic instability,
											healthcare system stress
											and increased incidents
of long-term chronic care needs,
											the importance and demands
on family caregivers
											are greater than ever.
											Carers all over the world
are sacrificing their own physical,
											financial and psychosocial well-being
											to provide care for their loved ones.
											Carers have their own limits and needs,
											and in absence of adequate support,
											many could be stretched
to the breaking point.
											Once seen as a personal
and private matter in family life,
											unpaid caregiving has formed
the invisible backbone
											of our health and social systems
all over the world.
									","
											Yo soy ahora ciudador
a distancia de mi madre,
											que padece múltiples
enfermedades crónicas.
											Ahora más que nunca entiendo
											los problemas que afrontan los cuidadores.
											Con el envejecimiento de las poblaciones,
											la inestabilidad económica,
											la presión sobre el sistema sanitario
											y el aumento de casos
de enfermedades crónicas
											que requieren cuidados a largo plazo,
											la importancia y exigencia
de la atención familiar
											son mayores que nunca.
											Los cuidadores de todo el mundo
sacrifican su propio bienestar,
											tanto físico como psicosocial y económico,
por cuidar a sus seres queridos.
											Los cuidadores tienen 
sus propias limitaciones y necesidades,
											y sin la ayuda necesaria
											muchos de ellos pueden llegar al límite.

											Aun considerado un asunto privado 
y personal de la vida familiar,
											los cuidadores no remunerados
forman el tronco invisible
											de nuestros sistemas sociales y
sanitarios en todo el mundo.
									","
											Ich reise von weit an
für die Pflege meiner Mutter,
											die unter mehreren
chronischen Krankheiten leidet.
											Jetzt verstehe ich erst recht,
											welche Beanspruchungen
Pflegenden abverlangt werden.
											Mit einer alternden Bevölkerung,
											wirtschaftlicher Instabilität,
											Druck im Gesundheitswesen
											und vermehrten, chronischen
Langzeitpflegefällen
											ist die Bedeutung von und
Anforderung an pflegende Angehörige
											größer denn je zuvor.
											Weltweit opfern Pflegende
ihr eigenes körperliches,
											finanzielles und
psychosoziales Wohlbefinden,
											um ihre Liebsten zu pflegen.
											Pflegende haben ihre
eigenen Grenzen und Bedürfnisse.
											Mangels ausreichender Unterstützung
											können viele an ihre
Belastungsgrenze kommen.
											Einst als private Angelegenheit
des Familienlebens angesehen,
											ist unbezahlte Pflege weltweit
zur unsichtbaren Stütze
											unserer Gesundheits-
und Sozialsysteme geworden.
									","
											Je suis à présent un aidant
à distance pour ma mère
											qui souffre de multiples
maladies chroniques.
											Je comprends, maintenant plus que jamais,
											les exigences que les aidants affrontent.
											Avec des populations vieillissantes,
											l'instabilité économique,
											le stress du système de santé,
											les impacts des besoins
de soins chroniques à long terme,
											l'importance et les exigences
des aidants familiaux
											sont plus élevées que jamais.
											Les aidants du monde entier
se sacrifient physiquement,
											financièrement et psychologiquement
											afin de prendre soin de leurs proches.
											Les aidants ont leurs propres
limites et besoins
											et, en l'absence d'un soutien adapté,
											beaucoup pourraient se retrouver à bout.
											Jadis considérée comme une action
relevant de la vie privée et familiale,
											les aidants bénévoles sont devenus
la colonne vertébrale invisible
											de nos systèmes médico-sociaux
à travers le monde.
									",The hidden role informal caregivers play in health care,Scott Williams,9:30,"health care,illness,humanity,health,personal growth,society"
