en,fr,tr,pt,es,de,title,speaker,duration,tags
"
","
","
","
","
","
",The most Martian place on Earth,Armando Azua-Bustos,4:50,"astrobiology,biology,exploration,South America,extraterrestrial life,Mars,science,TED Fellows,universe"
"
											This is a picture of a sunset on Mars
											taken by NASA's Curiosity rover in 2013.
											Mars is a very cold planet,
											flooded with high levels of UV radiation
											and extremely dry.
											In fact, Mars is considered
to be too dry for life as we know it.
									","
											Ceci est une photo 
d'un coucher de soleil sur Mars,
											prise en 2013 par Curiosity, 
le rover de la NASA.
											Mars est une planète très froide et sèche,
											et qui est bombardée
par un grand nombre de rayons UV.
											Mars est considérée comme trop sèche
pour la vie telle que nous la connaissons.
									","
											Bu Mars'ta bir gün batımı resmi,
											NASA'nın Curiosity aracı tarafından
2013 yılında çekildi.
											Mars çok soğuk bir gezegen,
											yüksek düzeyde UV ışınımı altında
											ve aşırı kuru.
											Gerçek şu ki, Mars bildiğimiz şekliyle
yaşam için aşırı kuru kabul ediliyor.
									","
											Isto é uma fotografia do 
pôr do sol em Marte,
											tirada pelo veículo da NASA, 
o rover Curiosity, em 2013.
											Marte é um planeta bastante frio,
											com altos níveis de radiação ultravioleta
											e extremamente seco.
											Aliás, Marte é seco demais 
para que lá possa existir vida.
									","
											Esta es una imagen 
de una puesta de sol en Marte
											tomada por el rover Curiosity 
de la NASA en 2013.
											Marte es un planeta muy frío,
											inundado con altos niveles 
de radiación UV
											y extremadamente seco.
											Se considera que Marte está demasiado 
seco para tener vida como la conocemos.
									","
											Dieses Foto eines Sonnenaufgangs 
auf dem Planeten Mars
											wurde im Jahr 2013 von einem
NASA-Curiosity-Rover gemacht.
											Der Planet Mars ist sehr kalt,
											mit einem hohen Maß an UV-Strahlung
und extremer Trockenheit.
											Mars gilt als zu trocken 
für Leben, wie wir es kennen.
									",The most Martian place on Earth,Armando Azua-Bustos,4:50,"astrobiology,biology,exploration,South America,extraterrestrial life,Mars,science,TED Fellows,universe"
"
","
","
","
","
","
",The most Martian place on Earth,Armando Azua-Bustos,4:50,"astrobiology,biology,exploration,South America,extraterrestrial life,Mars,science,TED Fellows,universe"
"
											I'm an astrobiologist.
											I try to understand
the origin of life on Earth
											and the possibilities of finding life
											elsewhere in the universe.
											People sometimes ask me,
											how can you be an astrobiologist
											if you don't have your own spaceship?
									","
											Je suis un exobiologiste.
											J'essaye de comprendre
l'origine de la vie sur Terre
											et de trouver de la vie ailleurs
dans notre univers.
											Les gens me demandent parfois :
											comment puis-je être 
un exobiologiste sans vaisseau spatial ?
									","
											Ben bir astrobiyologum.
											Dünya'daki canlılığın kökeni
ve evrenin başka yerlerinde
											yaşam bulma olanakları
üzerinde çalışıyorum.
											İnsanlar bazen bana şunu soruyor:
											Kendi uzay gemin yoksa,
											nasıl astrobiyolog olabilirsin ki?
									","
											Sou um astrobiólogo.
											Eu tento perceber a 
origem da vida na Terra
											e as possibilidades de encontrá-la
											noutro lugar do universo.
											Por vezes, as pessoas perguntam-me
como é que eu sou astrobiólogo
											se não tenho a uma nave espacial?
									","
											Soy astrobiólogo.
											Intento entender el origen 
de la vida en la Tierra
											y las posibilidades de encontrar vida
											en otro lugar en el universo.
											La gente a veces me pregunta
											cómo puedo ser astrobiólogo
											sin tener mi propia nave espacial.
									","
											Ich bin Astrobiologe.
											Ich versuche den Ursprung 
von Leben auf der Erde zu verstehen,
											und somit auch die Möglichkeit,
											Lebewesen irgendwo im Universum zu finden.
											Manchmal werde ich gefragt:
											""Wie können Sie Astrobiologe sein,
											ohne eigenes Raumschiff?""
									",The most Martian place on Earth,Armando Azua-Bustos,4:50,"astrobiology,biology,exploration,South America,extraterrestrial life,Mars,science,TED Fellows,universe"
"
","
","
","
","
","
",The most Martian place on Earth,Armando Azua-Bustos,4:50,"astrobiology,biology,exploration,South America,extraterrestrial life,Mars,science,TED Fellows,universe"
"
											Well, what I do is that I study life
											in those environments on Earth
											that most closely resemble
other interesting places in the universe.
											All life on Earth requires water,
											so in my case I focus
on the intimate relationship
											between water and life
											in order to understand
											if we could find life
in a planet as dry as Mars.
											But since I do not have
the 2.5 billion dollars
											to send my own robot to Mars,
											I study the most Martian place on Earth,
											the Atacama Desert.
									","
											Ce que je fais, c'est étudier la vie
dans des environnements sur Terre
											qui ressemblent le plus
à d'autres lieux dans l'univers.
											Toute vie terrestre requiert de l'eau,
											alors je me concentre surtout
sur la relation entre l'eau et la vie
											pour déterminer si on peut en trouver
sur une planète aussi sèche que Mars.
											Mais comme je n'ai pas 
2,5 milliards de dollars
											pour envoyer mon propre robot sur Mars,
											j'ai dû étudier l'endroit
le plus martien sur Terre,
											le désert d'Atacama.
									","
											Benim yaptığım şey şu:
											Dünya üzerinde bulunup,
evrenin diğer ilginç yerlerine benzeyen
											ortamlardaki yaşamı inceliyorum.
											Dünya'daki her tür yaşam için su gerekli.
											Dolayısıyla işim gereği,
su ve yaşam arasındaki
											yakın ilişkiye odaklanarak,
Mars gibi kuru bir gezegende
											yaşam bulunabilir mi diye
anlamaya çalışıyorum.
											Ancak kendi robotumu 
Mars'a göndermek için
											2,5 milyar dolarım olmadığından,
											Dünya'da Mars'a en çok benzeyen yer
olan Atakama Çölü'nü araştırıyorum.
									","
											O que eu faço é estudar a vida
											nos meios ambientes da Terra,
											que mais se parecem com outros 
lugares interessantes no universo.
											Toda a vida na Terra precisa de água,
											então, no meu caso, 
eu foco-me na relação íntima
											entre a água e a vida,
											de modo a perceber
											se poderíamos encontrar vida 
num planeta tão seco como Marte.
											Mas como não tenho
2500 milhões de dólares
											para enviar o meu próprio robô para Marte,
											eu estudo o lugar mais marciano da Terra,
											o deserto de Atacama.
									","
											Bueno, estudio la vida
											en esos ambientes terrestres
											que más se parecen a otros lugares 
interesantes en el universo.
											Toda la vida terrestre requiere agua,
											en mi caso me centro en la relación íntima
											entre el agua y la vida
											para entender
											si podríamos encontrar vida 
en un planeta tan seco como Marte.
											Pero como no tengo los USD 2500 millones
											para enviar mi propio robot a Marte,
											estudio el lugar 
más marciano de la Tierra,
											el desierto de Atacama.
									","
											""Nun ... ich erforsche Leben
											in Lebenswelten der Erde,
											die anderen interessanten Stellen
des Universums ähneln.""
											Jedes Leben auf der Erde erfordert Wasser,
											also richte ich meinen Fokus 
auf die enge Beziehung
											zwischen Leben und Wasser,
											um herauszufinden,
											ob wir Leben auf einem Planeten 
so trocken wie Mars finden könnten.
											Da mir die 2,5 Milliarden Dollar fehlen, 
die ich benötigen würde,
											um meinen eigenen Roboter 
zum Mars zu schicken,
											erforsche ich stattdessen,
die marsähnlichste Gegend der Erde,
											die Atacama-Wüste.
									",The most Martian place on Earth,Armando Azua-Bustos,4:50,"astrobiology,biology,exploration,South America,extraterrestrial life,Mars,science,TED Fellows,universe"
"
","
","
","
","
","
",The most Martian place on Earth,Armando Azua-Bustos,4:50,"astrobiology,biology,exploration,South America,extraterrestrial life,Mars,science,TED Fellows,universe"
"
											Located in northern Chile,
											it is the oldest
and driest desert on Earth.
											To give you an idea of how dry it is,
											consider here in Vancouver it rains
over 1,000 millimeters of rain every year.
											In the Atacama, there are places
with no reported rains
											in the last 400 years.
									","
											Localisé au nord du Chili,
											c'est le désert le plus vieux 
et le plus sec de la Terre.
											Pour vous donner une idée,
											ici à Vancouver il pleut plus de
100 000 litres au m² par an.
											Dans la région d'Atacama,
il y a des endroits où il n'a pas plu
											depuis 400 ans.
									","
											Şili'nin kuzeyinde bulunan çöl,
											Dünya'nın en eski ve kuru çölü.
											Ne kadar kuru olduğuna bir örnek:
											Burada Vancouver'da her yıl
1.000 mm yağmur yağdığını düşünün.
											Atakama'da ise son 400 yıldır
hiç yağmur yağmadığı
											bildirilen yerler var.
									","
											Localizado no norte do Chile,
											está o deserto mais antigo 
e seco na Terra.
											Para vos dar uma noção do quão seco é,
											considerem que aqui, em Vancouver, chove 
mais de 1000 milímetros de chuva por ano.
											Em Atacama, existem lugares 
sem qualquer registo de chuvas
											nos últimos 400 anos.
									","
											Localizado en el norte de Chile,
											es el desierto más antiguo 
y seco de la Tierra.
											Para que se hagan idea de lo seco que es,
											piensen en Vancouver donde llueve 
más de 1000 mm de lluvia al año.
											En Atacama, hay lugares 
sin lluvias informadas
											en los últimos 400 años.
									","
											Sie liegt im Norden Chiles
											und ist die älteste 
und trockenste Wüste der Erde.
											Um eine Vorstellung davon zu bekommen
wie trocken sie ist,
											bedenken Sie, dass hier in Vancouver
über 1 000 mm Regen im Jahr fällt.
											In der Atacama gibt es Stellen, 
an denen in den letzten 400 Jahren,
											von keinem Niederschlag berichtet wurde.
									",The most Martian place on Earth,Armando Azua-Bustos,4:50,"astrobiology,biology,exploration,South America,extraterrestrial life,Mars,science,TED Fellows,universe"
"
","
","
","
","
","
",The most Martian place on Earth,Armando Azua-Bustos,4:50,"astrobiology,biology,exploration,South America,extraterrestrial life,Mars,science,TED Fellows,universe"
"
											How do I know this?
											Well, because I was born
and raised in the Atacama —
									","
											Comment je le sais ?
											Parce que je suis né et j'ai grandi
dans la région d'Atacama —
									","
											Bunu nasıl mı biliyorum?
											Çünkü Atakama'da doğdum ve büyüdüm.
									","
											Como é que eu sei isto?
											Porque eu nasci e fui criado em Atacama.
									","
											¿Cómo lo sé?
											Bueno, porque nací y crecí en Atacama.
									","
											Woher ich das weiß?
											Weil ich in der Atacama geboren 
und aufgewachsen bin —
									",The most Martian place on Earth,Armando Azua-Bustos,4:50,"astrobiology,biology,exploration,South America,extraterrestrial life,Mars,science,TED Fellows,universe"
