en,es,tr,de,fr,title,speaker,duration,tags
"
","
","
","
","
",Science didn't understand my kids' rare disease until I decided to study it,Sharon Terry,15:02,"bioethics,children,biology,collaboration,disease,genetics,DNA,epidemiology,humanity,medical research,health,medicine,illness,science,parenting,TEDMED"
"
											The best Christmas my children ever had
											was also the worst Christmas
my husband and I ever had.
											Elizabeth, age seven,
											and her brother, Ian, age five,
											couldn't imagine why they were getting
everything they wanted for Christmas.
											The reason Santa was so generous
											was because of something
my husband Pat and I knew
											and the kids couldn't comprehend.
											Something that we had just learned,
and it terrified us.
									","
											Las mejores Navidades
que pasaron mis hijos
											fueron también las peores
que pasamos mi marido y yo.
											Elizabeth, que tenía entonces 7 años,
											y su hermano, Ian, de 5,
											no sabían por qué recibieron
todos los regalos que pidieron.
											La generosidad de Papá Noel
											se debía a algo que nosotros
los padres sabíamos
											pero los niños no.
											Algo que acabábamos de saber
y que nos aterrorizaba.
									","
											Çocuklarımın geçirdiği en iyi Noel,
											ben ve eşim için, yaşadığımız
en korkunç Noel'di.
											Yedi yaşındaki Elizabeth
											ve beş yaşındaki kardeşi Ian,
											Noel için istedikleri her şeyi elde
etmenin şaşkınlığını yaşıyorlardı.
											Noel Baba'nın elinin bol olmasının sebebi,
											eşim Pat ve benim
bildiğim, fakat çocukların
											idrak edemeyeceği bir şeydi.
											Yeni aldığımız bir haberden
dolayıydı, korkmuştuk.
									","
											Das beste Weihnachten meiner Kinder
											war zugleich das schlimmste
für mich und meinen Mann.
											Die 7-jährige Elizabeth und
ihr 5-jähriger Bruder Ian wussten nicht,
											wieso sie alles bekamen, 
was sie sich gewünscht hatten.
											Der Weihnachtsmann war so großzügig,
											weil mein Mann Pat und ich etwas wussten,
											das die Kinder nicht verstanden.
											Etwas Beängstigendes,
das wir gerade erfahren hatten.
									","
											Le meilleur Noël
que mes enfants aient jamais eu
											a aussi été le pire Noël
que mon mari et moi ayons eu.
											Elizabeth, sept ans,
											et son frère, Ian, cinq ans,
											ne pouvaient pas imaginer
											pourquoi ils obtenaient
tout ce qu'ils voulaient pour Noël.
											La raison pour laquelle
le père Noël était si généreux
											était quelque chose
que mon mari Pat et moi savions
											et que les enfants
ne pouvaient pas saisir.
											Quelque chose que nous venions d'apprendre
et qui nous terrifiait.
									",Science didn't understand my kids' rare disease until I decided to study it,Sharon Terry,15:02,"bioethics,children,biology,collaboration,disease,genetics,DNA,epidemiology,humanity,medical research,health,medicine,illness,science,parenting,TEDMED"
"
","
","
","
","
",Science didn't understand my kids' rare disease until I decided to study it,Sharon Terry,15:02,"bioethics,children,biology,collaboration,disease,genetics,DNA,epidemiology,humanity,medical research,health,medicine,illness,science,parenting,TEDMED"
"
											This was 1994
											and the story actually starts
a few years earlier.
											For a couple of years I had noticed
a rash on the sides of Elizabeth's neck
											that looked like prickly heat.
											For those same years,
my father and brother both died of cancer,
											and I was probably
overanxious about illness.
											The doctors assured us
there was nothing wrong
											and I shouldn't worry,
											but I wasn't so sure.
											And so without a referral,
and paying out-of-pocket,
											I took Elizabeth to a dermatologist.
											She was probably
just allergic to something,
											but why did it appear
just on the sides of her neck, this rash?
									","
											Esto pasó en 1994,
											pero todo empezó
de hecho unas años antes.
											Durante años, noté que Elizabeth
tenía un enrojecimiento en el cuello
											que parecía provocado por el calor.
											Por las misma fechas, el cáncer
se había llevado a mi padre y mi hermano
											y es posible que en general
las enfermedades me inquietaban.
											Los médicos nos dijeron
que no había nada alarmante
											y que no me preocupara,
											pero no estaba tan segura.
											Así que sin ser remitida a otro
médico y pagando de mi bolsillo
											llevé a Elizabeth al dermatólogo.
											Probablemente era solo una alergia,
											pero, ¿por qué estaba roja
solo por un lado del cuello?
									","
											Yıl 1994'tü
											ve hikâye birkaç yıl öncesine dayanıyordu.
											Birkaç yıl boyunca Elizabeth'in
boyun kenarlarında isiliğe benzeyen
											kızarıklar olduğunu fark ettim.
											Aynı dönemde, babam ve erkek
kardeşimi kanserden kaybetmiştim
											ve hastalık konusunda muhtemelen
fazla hassas davranıyordum.
											Doktorlar hiçbir sorun olmadığını
ve endişe etmemem
											gerektiğini söylediler,
											ama ben o kadar emin değildim.
											Başka bir hastaneye sevk
edilmeden ve cebimden ödeme yaparak,
											Elizabeth'i cildiyeye götürdüm.
											Büyük ihtimalle bir şeye alerjisi vardı,
											ama bu kızarıklıklar, neden sadece
boyun kenarlarında kendini gösteriyordu?
									","
											Das war im Jahr 1994,
											aber die Geschichte fängt 
einige Jahre vorher an.
											Ein paar Jahre lang hatte ich einen 
Ausschlag auf Elizabeths Hals bemerkt,
											der wie Hitzepickel aussah.
											In den selben Jahren starben 
mein Vater und Bruder an Krebs
											und ich war wohl überängstlich,
was Krankheiten anging.
											Die Ärzte sagten, es sei nichts Schlimmes,
											kein Grund zur Sorge.
											Aber ich war nicht sicher.
											Ohne Überweisung und auf eigene Kosten
											ging ich mit Elizabeth zum Hautarzt.
											Wahrscheinlich war sie nur 
gegen etwas allergisch,
											aber wieso erschien der Ausschlag
nur an den Seiten ihres Halses?
									","
											C'était en 1994
											et l'histoire commence
quelques années plus tôt.
											Quelques années auparavant,
											j'avais remarqué une éruption cutanée
sur les côtés de la nuque d'Elizabeth
											qui ressemblait à la fièvre miliaire.
											Durant ces mêmes années, mon père
et mon frère sont morts d'un cancer
											et j'étais probablement trop anxieuse
au sujet des maladies.
											Les médecins nous ont assuré
que tout allait bien,
											que je ne devais pas m'inquiéter
											mais je n'en étais pas si sûre.
											Sans recommandation médicale
et en payant de ma poche,
											j'ai amené Elizabeth voir un dermatologue.
											Elle était probablement
allergique à quelque chose,
											mais pourquoi cette éruption
n'apparaissait-elle
											que sur les côtés de la nuque ?
									",Science didn't understand my kids' rare disease until I decided to study it,Sharon Terry,15:02,"bioethics,children,biology,collaboration,disease,genetics,DNA,epidemiology,humanity,medical research,health,medicine,illness,science,parenting,TEDMED"
"
","
","
","
","
",Science didn't understand my kids' rare disease until I decided to study it,Sharon Terry,15:02,"bioethics,children,biology,collaboration,disease,genetics,DNA,epidemiology,humanity,medical research,health,medicine,illness,science,parenting,TEDMED"
"
											So it's two days before Christmas,
											1994,
											and the dermatologist
takes a quick look at her neck and says,
											""She has pseudoxanthoma elasticum.""
											And then he shuts off the lights
and looks in her eyes.
											It turns out, by chance,
											this dermatologist
also trained in ophthalmology.
											Our lucky day.
											I am sick to my stomach.
											""Oma?""
											Oma's like melanoma, lymphoma —
											cancer.
											""Why are you looking
in her eyes for a skin rash?""
											I scream and make no sound.
									","
											Así que dos días antes de Navidad,
											en 1994,
											estoy en el dermatólogo
que la mira rápido y me dice:
											""Tiene pseudoxantoma elástico"".
											Luego apaga las luces y le mira los ojos.
											Resulta que por casualidad,
											este dermatólogo también era oftalmólogo.
											Estábamos de suerte.
											Siento que se me encoje el estómago.
											""¿Oma?""
											Oma como en melanoma, linfoma;
											o sea, cáncer.
											¿Por qué le miras los ojos si se trata
de una irritación de la piel?""
											Le grito en mi cabeza sin emitir sonido.
									","
											Noel'den iki gün öncesi,
											1994 yılı
											ve doktor boynuna şöylece
bir bakıp şunları söyledi:
											''Kızınızda psödoksantoma elastikum var.''
											Hemen ardından ışıkları
kapattı ve gözlerine baktı.
											Şans eseri, bu dermatolog
											oftalmoloji alanında da eğitim görmüştü.
											Şanslı günümüzdeydik.
											Midem bulanmaya başladı.
											''OMA?''
											OMA melanom, lenfoma, kanser
											gibi bir şey.
											''Cilt kızarıklığı için neden
gözlerini inceliyorsun?''
											Çığlık attım ve sesim çıkmadı.
									","
											Es war zwei Tage vor Weihnachten
											im Jahre 1994
											und der Hautarzt schaut kurz 
auf ihren Hals und sagt:
											""Sie hat Pseudoxanthoma Elasticum"".
											Und dann schaltet er das Licht aus
und schaut in ihre Augen.
											Rein durch Zufall
											war der Hautarzt auch ein Augenarzt.
											Unser Glückstag.
											Mir ist flau im Magen.
											""-oma?""
											""-om"" wie in Melanom oder Lymphom –
											Krebs.
											""Wieso schauen Sie in ihre Augen
wegen eines Ausschlags?""
											Ich schreie lautlos.
									","
											C'était deux jours avant Noël,
											en 1994,
											et le dermatologue regarde
rapidement sa nuque et dit :
											« Elle est atteinte
de pseudoxanthome élastique ».
											Puis il a éteint la lumière
et a regardé ses yeux.
											Il s'est avéré, par chance,
											que ce dermatologue était aussi
formé en ophtalmologie.
											Notre jour de chance.
											J'en étais malade.
											« Ome ? »
											« Ome » c'est comme mélanome, lymphome —
											un cancer.
											« Est-ce que vous cherchez
une éruption cutanée dans ses yeux ? »
											Je crie et ne fais pas de bruit.
									",Science didn't understand my kids' rare disease until I decided to study it,Sharon Terry,15:02,"bioethics,children,biology,collaboration,disease,genetics,DNA,epidemiology,humanity,medical research,health,medicine,illness,science,parenting,TEDMED"
"
","
","
","
","
",Science didn't understand my kids' rare disease until I decided to study it,Sharon Terry,15:02,"bioethics,children,biology,collaboration,disease,genetics,DNA,epidemiology,humanity,medical research,health,medicine,illness,science,parenting,TEDMED"
"
											So there it is.
											Elizabeth has pseudoxanthoma elasticum,
											PXE for short.
											Questions mix with fear
											and erupt like bile in my throat.
											Why are you looking in her eyes?
											What do you know about this?
How do you know for sure?
											What is the prognosis?
											My training in pastoral counseling
did not prepare me for this.
									","
											Así que es eso.
											Elizabeth tiene pseudoxantoma elástico,
											o PXE para abreviar.
											Mis preguntas están llenas de miedo
											y me dejan un nudo en la garganta.
											¿Por qué mira sus ojos?
											¿Qué sabe Ud. de eso?
¿Cómo puede estar seguro?
											¿Cuál es su pronóstico?
											Mi formación eclesiástica
no me ha preparado para esto.
									","
											Durum böyle.
											Elizabeth'de psödoksantoma elastikum var,
											kısaca PKE.
											Sorular korkuyla karıştı
											ve boğazıma yumruk gibi oturdu.
											Neden gözlerine bakıyorsun?
											Bu konuda ne biliyorsun?
Nasıl bu kadar emin olabiliyorsun?
											Hastalığın tanısı nedir?
											Pastoral danışmanlık alanındaki
eğitimim beni buna hazırlamadı.
									","
											Da haben wir es.
											Elizabeth hat Pseudoxanthoma Elasticum.
											Kurz PXE.
											Fragen vermischen sich mit Angst
											und kommen hoch wie Galle in meinem Hals.
											Wieso schauen Sie in ihre Augen?
											Was wissen Sie darüber?
Wieso sind Sie sich da sicher?
											Wie sieht die Prognose aus?
											Darauf hatte mich meine Ausbildung
als Seelsorgerin nicht vorbereitet.
									","
											Alors voilà.
											Elizabeth est atteinte
de pseudoxanthome élastique.
											Abrévié PXE.
											Les questions se sont mêlées à la peur
											et ont surgit telle de la bile
dans ma gorge.
											Pourquoi regardez-vous dans ses yeux ?
											Que savez-vous à ce sujet ?
Comment pouvez-vous être sûr ?
											Quel est le prognostic ?
											Ma formation de conseillère pastorale
ne m'a pas préparée à cela.
									",Science didn't understand my kids' rare disease until I decided to study it,Sharon Terry,15:02,"bioethics,children,biology,collaboration,disease,genetics,DNA,epidemiology,humanity,medical research,health,medicine,illness,science,parenting,TEDMED"
"
","
","
","
","
",Science didn't understand my kids' rare disease until I decided to study it,Sharon Terry,15:02,"bioethics,children,biology,collaboration,disease,genetics,DNA,epidemiology,humanity,medical research,health,medicine,illness,science,parenting,TEDMED"
"
											Dr. Bercovitch tells us
everything he knows about PXE.
											It's a rare genetic disorder,
											it's systemic,
											it's a slowly progressing,
premature aging disease.
											It causes loose wrinkly skin
in the flexor areas.
											It causes legal blindness,
											like macular degeneration,
											and a host of cardiovascular problems.
											Little is known about this disease,
											and some people die in their 30s,
											say some of the reports at the time.
											He then just glances at our son and says,
											""He has it, too.""
											We want to flee
back to the land of normal.
									","
											El Dr. Bercovitch nos cuenta
todo lo que sabe sobre el PXE.
											Esta es una enfermedad genética rara,
											sistémica,
											de desarrollo lento en la cual 
el paciente envejece prematuramente.
											Da un aspecto caído y arrugado a la piel
que cubre los músculos flexores.
											Provoca ceguera,
											como la degeneración macular
											y un sinfín de problemas cardiovasculares.
											Se sabe poco de esta enfermedad
											que mata a algunos en sus 30
											tal como informan los estudios.
											Y con solo mirar a mi hijo, me dice:
											""Él también lo tiene"".
											Solo queríamos volver
a nuestra vida normal.
									","
											Dr. Bercovitch, PKE hakkında
bildiği her şeyi bizimle paylaştı.
											Nadir görülen bir kalıtsal bozukluk,
											sistemle alakalı,
											yavaş ilerleyen, erken yaşlanma hastalığı.
											Fleksör bölgelerde sarkık,
kırışmış deriye sebep oluyor.
											Sarı nokta hastalığı gibi
											yasal körlüğe ve beraberinde
											birçok kardiyovasküler
problemlere yol açıyor.
											Bu hastalık hakkında pek fazla bilgi yok
											ve o dönemin bulgularına göre
											bazı insanlar 30'larında
hayatlarını kaybediyor.
											Doktor oğluma göz ucuyla bakıp
											''Onda da var'' dedi.
											Her şeyin normal olduğu
zamanlara ışınlanmak istedik.
									","
											Dr. Bercovitch erzählt uns alles,
was er über PXE weiß:
											""Es ist eine seltene genetische Störung.
											Sie ist systemisch,
											eine langsam fortschreitende 
Krankheit des vorzeitigen Alterns.
											Sie verursacht schlaffe und faltige Haut
im Bereich der Beugemuskeln.
											Sie verursacht teilweise Erblindung,
											ähnlich der Makuladegeneration,
											und eine Menge Herz-Kreislauf-Probleme.
											Es ist wenig bekannt über die Krankheit.
											Einige Personen sterben
um die 30, sagen einige Berichte.""
											Dann schaut er unseren Sohn an und sagt:
											""Er hat es auch.""
											Wir würden am liebsten
zurück in die Normalität flüchten.
									","
											Le docteur Bercovitch nous a dit
tout ce qu'il savait au sujet du PXE.
											C'est une maladie génétique rare,
											elle est systémique,
											c'est une maladie de vieillissement
prématuré qui évolue lentement.
											Elle peut entraîner une peau flottante
et ridée dans les zones des fléchisseurs.
											Elle entraîne la cécité,
											la dégénérescence maculaire
											et une foule de problèmes
cardiovasculaires.
											On en sait peu sur cette maladie
											et certaines personnes
meurent vers la trentaine,
											d'après certains rapports de l'époque.
											Il a ensuite jeté un œil
à notre fils et dit :
											« Il est aussi atteint ».
											Nous voulions fuir,
retourner au pays de la normalité.
									",Science didn't understand my kids' rare disease until I decided to study it,Sharon Terry,15:02,"bioethics,children,biology,collaboration,disease,genetics,DNA,epidemiology,humanity,medical research,health,medicine,illness,science,parenting,TEDMED"
"
","
","
","
","
",Science didn't understand my kids' rare disease until I decided to study it,Sharon Terry,15:02,"bioethics,children,biology,collaboration,disease,genetics,DNA,epidemiology,humanity,medical research,health,medicine,illness,science,parenting,TEDMED"
"
											Two days after Christmas,
											researchers come
from a university in Boston,
											and they take blood
from us and our children
											for a research project
focused on finding the gene.
											A few days later,
											researchers come
from a medical center in New York
											and say they want blood, too.
											""These are children.
											They're five and seven years old.
											Don't make them face the needle twice.
											Go and get your share
from the other researchers.""
											They laugh, incredulous.
											""Share?""
											It is then that we learn that there
is little sharing in biomedical research.
									","
											Dos días después de Navidad,
											unos investigadores de una universidad
de Boston se presentan
											para tomar pruebas de sangre
a los niños y a nosotros
											para un proyecto de investigación
centrado en encontrar el gen responsable.
											Unos días más tarde,
											otros investigadores de un centro médico
de Nueva York llegan por lo mismo.
											""Estamos hablando de niños.
											Niños de 5 y 7 años.
											No me obliguen a hacerles
que pasen por esto dos veces.
											Vayan y pidan compartir la sangre 
que se llevaron los otros investigadores"".
											Se ríen, incrédulos.
											""¿Compartir?""
											Fue ahí que descubrimos lo poco que
se comparte en la investigación biomédica.
									","
											Noel'den iki gün sonra,
											Boston'daki bir üniversiteden
araştırmacılar geldi,
											hastalık genini belirlemeye
yönelik araştırma
											projesi için bizden ve
çocuklardan kan örneği aldılar.
											Birkaç gün sonra, New York
											tıp merkezinden araştırmacılar geldi
											ve yine kan istediler.
											''Bunlar daha çocuk.
											Yedi ve beş yaşındalar.
											İkinci kez iğneye maruz bırakmayın.
											Gidin diğer araştırmacılardan
örneği paylaşın.''
											Şaşkınlık içinde gülmeye başladılar.
											''Paylaşalım?''
											Biyomedikal araştırmalarda, çok az bilgi
paylaşımı olduğunu o zaman öğrendim.
									","
											Zwei Tage nach Weihnachten
											kommen zwei Forscher
einer Universität in Boston
											und nehmen uns und 
unseren Kindern Blut ab,
											weil sie in ihrem Projekt
das Gen finden wollen.
											Ein paar Tage später
											kommen Forscher
eines Zentrums in New York
											und auch sie wollen unser Blut.
											""Das sind Kinder.
											Sie sind fünf und sieben Jahre alt.
											Nicht noch einen Nadelstich.
											Holen Sie sich Ihren Teil 
von den anderen Forschern.""
											Sie lachen ungläubig.
											""Teil?""
											Wir merken, dass in der biomedizinischen
Forschung wenig geteilt wird.
									","
											Deux jours après Noël,
											des chercheurs sont venus
de l'université de Boston
											et nous ont prélevé du sang,
à nous et à nos enfants,
											pour un projet de recherche
se concentrant sur la découverte du gène.
											Quelques jours plus tard,
											des chercheurs
du centre médical de New York
											voulaient également du sang.
											« Ce sont des enfants.
											Ils ont cinq et sept ans.
											Ne leur infligez pas
à nouveau une aiguille.
											Partagez avec les autres chercheurs. »
											Ils ont ri, incrédules.
											« Partager ?? »
											Nous avons alors appris
											qu'il y a peu de partage
dans la recherche biomédicale.
									",Science didn't understand my kids' rare disease until I decided to study it,Sharon Terry,15:02,"bioethics,children,biology,collaboration,disease,genetics,DNA,epidemiology,humanity,medical research,health,medicine,illness,science,parenting,TEDMED"
"
","
","
","
","
",Science didn't understand my kids' rare disease until I decided to study it,Sharon Terry,15:02,"bioethics,children,biology,collaboration,disease,genetics,DNA,epidemiology,humanity,medical research,health,medicine,illness,science,parenting,TEDMED"
"
											This moment, more than any other,
											lit a fire beneath my husband Pat and me.
											Pat and I went to a medical school library
											and we copied every article
we could find on PXE.
											We didn't understand a thing.
											We bought medical dictionaries
and scientific textbooks
											and read everything
we could get our hands on.
											And though we still didn't understand,
											we could see patterns,
											and it became quickly
apparent within a month
											that there was no systematic effort
to understand PXE.
									","
											Este fue el momento,
más que cualquier otro
											que nos enojó a mi marido y a mí.
											Nos fuimos a una biblioteca universitaria
											y copiamos toda la información
disponible sobre el PXE.
											No entendíamos nada.
											Compramos diccionarios médicos
y libros de texto científicos
											para leerlo todo.
											Aún seguíamos sin entender
											pero entendimos los patrones,
											de manera que rápidamente,
en menos de un mes,
											entendimos que no existe un intento 
conjunto por explicar la PXE.
									","
											En çok işte tam o anda,
											eşim Pat ve benim eteklerimiz tutuştu.
											Pat'le beraber tıp bölümü
kütüphanesine gittik
											ve PKE hakkında bulabildiğimiz
her makalenin örneğini aldık.
											Hiçbir şey anlamadık.
											Tıp terimler sözlüğü ve
bilimsel ders kitapları aldık
											ve elimize geçen bütün her şeyi okuduk.
											Yine de anlayamıyorduk,
											belli dizinler görebiliyorduk
											ve bir ay içerisinde anladık ki
											PKE'yi anlamak için gerçekleştireceğimiz
belirli bir çalışma düzeni yoktu.
									","
											Genau dieser Moment setzte mich
und meinen Mann Pat in Bewegung.
											Wir gingen in eine Bibliothek
der Medizin-Uni
											und kopierten jeden Artikel,
den wir über PXE finden konnten.
											Wir verstanden kein Wort.
											Wir kauften medizinische
Wörter- und Lehrbücher
											und lasen alles,
was wir finden konnten.
											Wir verstanden noch nicht,
											aber entdeckten Muster.
											Nach einem Monat wussten wir,
											dass es keine systematischen
Anstrengungen gab, PXE zu verstehen.
									","
											Ce moment-là, plus que tout autre,
											a allumé le feu en mon mari Pat et moi.
											Dans une bibliothèque
de fac de médecine,
											nous avons copié tous les articles
que nous avons trouvés sur le PXE.
											Nous ne comprenions rien.
											Nous avons acheté des dictionnaires
et manuels médicaux
											et avons lu tout ce qui
nous tombait sous la main.
											Même si nous ne comprenions toujours pas,
											nous voyions des tendances
											et, en un mois, il est vite devenu évident
											qu'il n'y avait pas d'effort systématique
pour comprendre le PXE.
									",Science didn't understand my kids' rare disease until I decided to study it,Sharon Terry,15:02,"bioethics,children,biology,collaboration,disease,genetics,DNA,epidemiology,humanity,medical research,health,medicine,illness,science,parenting,TEDMED"
"
","
","
","
","
",Science didn't understand my kids' rare disease until I decided to study it,Sharon Terry,15:02,"bioethics,children,biology,collaboration,disease,genetics,DNA,epidemiology,humanity,medical research,health,medicine,illness,science,parenting,TEDMED"
