fr,en,de,es,pt,title,speaker,duration,tags
"
","
","
","
","
",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
"
											Si vous voulez savoir comment jouer avec un homard, nous en avons quelques-uns ici.
											Et ce n'est pas une blague, nous en avons réellement.
											Donc venez après la conférence et je vous montrerai comment jouer avec un homard.
									","
											If you'd like to learn how to play the lobster, we have some here.
											And that's not a joke, we really do.
											So come up afterwards and I'll show you how to play a lobster.
									","
											Wenn Sie lernen möchten wie sie mit einem Hummer spielen können, wir haben welche hier.
											Das ist kein Spaß, wir haben tatsächlich welche hier.
											Also kommen Sie anschließend herauf und ich werde Ihnen zeigen, wie Sie mit einem Hummer spielen können.
									","
											Si quieren aprender a tocar la langosta tenemos algunas aquí.
											Y no es una broma, realmente las tenemos.
											Así que vengan después y les mostraré cómo tocar la langosta.
									","
											Se querem aprender a tocar
com uma lagosta, temos aqui algumas.
											Não estou a brincar, é o que fazemos.
											Venham ter comigo depois
e eu mostro como se toca com uma lagosta.
									",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
"
","
","
","
","
",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
"
											Donc, en fait, j'ai commencé à travailler sur ce qu'on appelle la crevette-mante
											il y a de cela quelques années parce qu'elles produisent un son.
											C'est un enregistrement que j'ai fait, d'une crevette-mante
											qui a été trouvée sur la côte de la Californie.
											Et bien que ce soit un son absolument fascinant,
											ce projet s'est avéré être très difficile.
											Et pendant que j'avais du mal à comprendre comment et pourquoi la crevette-mante,
											ou les stomatopodes, produisent un son, j'ai commencé à penser à leurs appendices.
											Et les crevettes-mantes sont appelées crevette-mante à causes des mantes-religieuses,
											qui ont elles aussi un appendice rapide pour se nourrir. Et j'ai commencé à penser,
											tiens, peut-être qu'il serait intéressant, pendant que j'écoute leurs sons,
											que j'essaye de comprendre comment ces animaux génèrent des coups très rapides pour se nourrir.
											Et donc aujourd'hui, je vais parler du coup extrême du stomatopode,
											un travail que j'ai réalisé en collaboration avec Wyatt Korff et Roy Caldwell.
									","
											So, actually, I started working on what's called the mantis shrimp
											a few years ago because they make sound.
											This is a recording I made of a mantis shrimp
											that's found off the coast of California.
											And while that's an absolutely fascinating sound,
											it actually turns out to be a very difficult project.
											And while I was struggling to figure out how and why mantis shrimp,
											or stomatopods, make sound, I started to think about their appendages.
											And mantis shrimp are called ""mantis shrimp"" after the praying mantises,
											which also have a fast feeding appendage. And I started to think,
											well, maybe it will be interesting, while listening to their sounds,
											to figure out how these animals generate very fast feeding strikes.
											And so today I'll talk about the extreme stomatopod strike,
											work that I've done in collaboration with Wyatt Korff and Roy Caldwell.
									","
											Nun, eigentlich fing ich vor einigen Jahren an, etwas namens Fangschreckenkrebs
											zu studieren, denn sie produzieren Klang.
											Dies ist eine Tonbandaufnahme die ich von einem Fangschreckenkrebs machte,
											der vor der Küste Kaliforniens vorkommt.
											Und während das ein absolut faszinierender Klang ist,
											entpuppt sich das als ein sehr schwieriges Unterfangen.
											Während ich damit kämpfte herauszufinden wie und warum Fangschreckenkrebse,
											oder Stomatopoden Geräusche machen, begann ich über ihre Gliedmaßen nachzudenken.
											Fangschreckenkrebse werden (im englischen) nach der Gottesanbeterin (engl.: Mantis) ""Mantis Shrimp"" benannt,
											die ebenfalls schnelle Gliedmaßen zur Nahrungsaufnahme besitzt. So begann ich zu überlegen,
											na ja, vielleicht wird es interessant sein, während ich ihren Geräuschen zuhöre,
											herauszufinden, wie diese Tiere jene sehr schnelle Schläge zur Nahrungsaufnahme erzeugen.
											Daher werde ich heute über den extremen Schlagvorgang bei Stomatopoden sprechen,
											eine Arbeit die ich zusammen mit Wyatt Korff und Roy Caldwell erstellte.
									","
											En realidad, comencé trabajando con lo que se llama camarón mantis
											hace unos años porque producen sonido.
											Esta es una grabación que hice de un camarón mantis
											que se encuentra en la costa de California.
											Y si bien es un sonido absolutamente fascinante
											realmente es un proyecto muy difícil.
											Y mientras luchaba por dar con la forma de producción de sonido del
											camarón mantis o los estomatópodos comencé a pensar en sus apéndices.
											Y los camarones mantis se llaman así en honor a las mantis religiosas
											que también tienen un veloz apéndice alimentario. Comencé a pensar
											bien, quizá sea interesante, al escuchar sus sonidos,
											saber cómo es que estos animales generan movimientos tan veloces.
											Y por eso hoy hablaré de los golpes extremos del estomatópodo
											trabajo que hicimos junto a Wyatt Korff y Roy Caldwell.
									","
											Comecei a trabalhar há uns anos,
com o que chamamos estomatópodes
											porque eles emitem sons.
											Isto é um registo que fiz
de um estomatópode
											que se encontra ao largo
da costa da Califórnia.
											(Som do estomatópode)
											Embora seja um som
completamente fascinante,
											acontece que é um projeto muito difícil.
											Enquanto eu estava a tentar perceber
											como e porquê o estomatópode
fazia este som,
											comecei a pensar nos seus apêndices.
											Os estomatópodes também são chamados
de ""camarões louva-a-deus""
											porque têm um apêndice
para se alimentarem rapidamente.
											Enquanto ouvia aqueles sons, pensei
que talvez fosse interessante
											perceber como aqueles animais
faziam movimentos tão rápidos para comer.
											Hoje, vou falar do ataque extremamente
rápido do estomatópode,
											um trabalho que fiz em colaboração
com Wyatt Korff e Roy Calwell.
									",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
"
","
","
","
","
",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
"
											Donc, les crevettes-mantes se répartissent dans deux groupes:
											il y a les harponneurs et les briseurs.
											Et ceci est une crevette-mante harponneuse ou stomatopode .
											Et il vit dans le sable, et il attrape les choses qui passent au dessus de sa tête.
											Donc, c'est un coup rapide comme cela. Et si nous ralentissons un peu,
											c'est une crevette-mante — la même espèce —
											enregistrée à 1000 images par seconde,
											lue à 15 images par seconde.
											Et vous pouvez voir que c'est vraiment une extension spectaculaire des membres,
											se projetant vers le haut pour en fait juste attraper
											un bout de crevette morte que je lui ai offert.
											Maintenant, l'autre genre de crevette-mante est le stomatopode briseur.
											et ces gars ouvrent des escargots pour vivre.
											Et alors ce gars a un escargot fermé et il lui donne un bon coup.
									","
											So, mantis shrimp come in two varieties:
											there are spearers and smashers.
											And this is a spearing mantis shrimp, or stomatopod.
											And he lives in the sand, and he catches things that go by overhead.
											So, a quick strike like that. And if we slow it down a bit,
											this is the mantis shrimp — the same species —
											recorded at 1,000 frames a second,
											played back at 15 frames per second.
											And you can see it's just a really spectacular extension of the limbs,
											exploding upward to actually just catch
											a dead piece of shrimp that I had offered it.
											Now, the other type of mantis shrimp is the smasher stomatopod,
											and these guys open up snails for a living.
											And so this guy gets the snail all set up and gives it a good whack.
									","
											Nun, Fangschreckenkrebse kommen in zwei Varianten vor:
											es gibt Speerer und Schmetterer.
											Das hier ist ein Speerer-Fangschreckenkrebs, oder Stomatopod.
											Er lebt im Sand und fängt Dinge, die über seinem Kopf vorbeiwandern.
											Ein schneller Schlag wie dieser hier. Wenn wir das etwas verlangsamen,
											das ist der Fangschreckenkrebs - die gleiche Spezies -
											aufgenommen bei 1000 Einzelbildern pro Sekunde,
											abgespielt bei 15 Einzelbildern pro Sekunde.
											Und wie Sie sehen können ist das einfach eine wirklich spektakuäre Streckung der Gliledmaßen,
											nach oben explodierend, eigentlich nur um
											ein totes Stückchen Garnele zu fangen, das ich ihm anbot.
											Nun, die andere Art des Fangschreckenkrebses ist der Schmetterer-Stomatopod,
											und diese Jungs öffnen Schnecken hauptberuflich.
											Und so legt sich dieser Kerl die Schnecke zurecht und versetzt ihr einen ordentlichen Schlag.
									","
											Los camarones mantis vienen en dos variedades:
											están los arponeadores y los trituradores.
											Y este es un camarón mantis arponeador, o estomatópodo.
											Vive en la arena y atrapa cosas que pasan por encima.
											Así un golpe rápido como ese. Y, un poco más lento,
											este es el camarón mantis — la misma especie —
											grabado a 1.000 cuadros por segundo
											reproducido a 15 cuadros por segundo.
											Puede verse una extensión de las garras realmente espectacular
											explotando hacia arriba para atrapar
											un trozo muerto de camarón que le ofrecí.
											El otro tipo de camarón mantis es el estomatópodo triturador
											y estos tipos abren caracoles como medio de vida.
											Así este sujeto le da al caracol un castañazo
									","
											Os estomatópodes têm duas variedades:
											há os arpoadores e os esmagadores.
											Este é um estomatópode arpoador.
											Vive na areia e apanha as coisas
que lhe passam por cima da cabeça.
											É um golpe rápido como este.
											E este é um estomatópode
da mesma espécie
											filmado em câmara lenta, 
a 1000 imagens por segundo
											e reproduzido a 15 imagens por segundo.
											Vemos uma extensão das pinças
realmente espetacular.
											explodindo para cima, para agarrar
											um pedaço de camarão morto
que lhe ofereci.
											O outro tipo é o estomatópode esmagador.
											Estes tipos partem caracóis, para comer.
											Assim, este põe o caracol a jeito
e dá-lhe um pontapé.
									",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
"
","
","
","
","
",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
"
											(Rires)
									","
											(Laughter)
									","
											(Gelächter)
									","
											(Risas)
									","
											(Risos)
									",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
"
","
","
","
","
",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
"
											Je vais le rejouer une fois de plus.
											Il le remue sur place, le sent avec son nez, et le frappe.
											Et après quelques coups, l'escargot est cassé et ouvert, et il a un bon repas.
											L'appendice raptorial briseur peut transpercer avec une pointe à l'extrémité,
											ou il peut le frapper avec le talon.
											Et aujourd'hui je vais vous parler du genre de coup briseur.
									","
											So, I'll play it one more time.
											He wiggles it in place, tugs it with his nose, and smash.
											And a few smashes later, the snail is broken open, and he's got a good dinner.
											So, the smasher raptorial appendage can stab with a point at the end,
											or it can smash with the heel.
											And today I'll talk about the smashing type of strike.
									","
											Ich werde Ihnen das noch einmal vorspielen.
											Er schubst sie in die richtige Position, stupst sie mit seiner Nase an und schlägt zu.
											Ein paar Schläge später ist die Schnecke aufgebrochen und er hat ein leckeres Abendessen.
											Nun, die Fangarme des Schmetterers können mit einem Punkt am Ende zustechen,
											oder sie können mit der Ferse zuschlagen.
											Und heute werde ich über den zuschlagenden Typ des Stoßes sprechen.
									","
											Lo voy a pasar una vez más.
											Se contonea, da un tirón con el hocico y tritura.
											Y luego de eso el caracol ya está abierto y es una buena cena.
											Así el apéndice predatorio puede apuñalar con una punta al final
											o puede despedazar con el talón.
											Y hoy hablaré del golpe de despedazamiento.
									","
											Vou passar outra vez.
											Coloca-o onde quer,
empurra-o com o nariz e, zás.
											Depois de mais pontapés,
o caracol parte-se e ele janta.
											O apêndice predador do estomatópode
pode furar com uma ponta afiada
											ou pode despedaçar com o calcanhar.
											Hoje vou falar do tipo
de ataque esmagador.
									",The shrimp with a kick!,Sheila Patek,16:25,"biology,biomechanics,oceans,online video,science,technology"
