es,pt,en,de,title,speaker,duration,tags
"
","
","
","
",A little-told tale of sex and sensuality,Shereen El Feki,16:10,"Egypt,Middle East,TED Fellows,culture,relationships,sex"
"
											Cuando estuve en Marruecos,
											en Casablanca, 
no hace mucho tiempo,
											conocí una joven madre 
soltera llamada Faiza.
											Faiza me mostró 
fotos de su hijo
											y me contó la historia de 
su concepción, embarazo y parto.
									","
											Quando estive em Marrocos,
											em Casablanca, ainda não há muito tempo,
											conheci uma jovem mãe solteira chamada Faiza.
											Faiza mostrou-me fotos do seu filho pequeno
											e contou-me a história da sua 
conceção, gravidez e parto.
									","
											So when I was in Morocco,
											in Casablanca, not so long ago,
											I met a young unmarried mother called Faiza.
											Faiza showed me photos of her infant son
											and she told me the story of his conception,
pregnancy, and delivery.
									","
											Als ich in Marokko war,
											in Casablanca, 
vor nicht so langer Zeit,
											traf ich eine unverheiratete
junge Mutter namens Faiza.
											Faiza zeigte mir Fotos ihres Säuglings
											und sie erzählte mir die Geschichte 
seiner Empfängnis,
											der Schwangerschaft und der Geburt.
									",A little-told tale of sex and sensuality,Shereen El Feki,16:10,"Egypt,Middle East,TED Fellows,culture,relationships,sex"
"
","
","
","
",A little-told tale of sex and sensuality,Shereen El Feki,16:10,"Egypt,Middle East,TED Fellows,culture,relationships,sex"
"
											Fue una historia notable,
											pero Faiza guardó 
lo mejor para el final.
											""Soy virgen, ¿sabes?"", me dijo.
											""Tengo dos certificados 
médicos para demostrarlo"".
									","
											Foi uma história notável,
											mas Faiza guardou o melhor para o fim.
											""Sabe, eu sou virgem."" — contou-me ela.
											— ""Tenho dois certificados médicos para o provar"".
									","
											It was a remarkable tale,
											but Faiza saved the best for last.
											""You know, I am a virgin,"" she told me.
											""I have two medical certificates to prove it.""
									","
											Es war eine bemerkenswerte Geschichte,
											aber Faiza hob sich 
das Beste bis zum Schluss auf.
											""Weißt du, ich bin noch 
Jungfrau"", erzählte sie mir.
											""Ich habe zwei ärztliche Gutachten, 
die das beweisen.""
									",A little-told tale of sex and sensuality,Shereen El Feki,16:10,"Egypt,Middle East,TED Fellows,culture,relationships,sex"
"
","
","
","
",A little-told tale of sex and sensuality,Shereen El Feki,16:10,"Egypt,Middle East,TED Fellows,culture,relationships,sex"
"
											Es el Oriente Medio moderno,
											donde a dos milenios 
del arribo de Cristo,
											los nacimientos virginales 
son todavía una realidad.
									","
											Este é o Médio Oriente hoje em dia,
											onde, dois milénios após a vinda de Cristo,
											nascimentos virginais ainda são um facto da vida.
									","
											This is the modern Middle East,
											where two millennia after the coming of Christ,
											virgin births are still a fact of life.
									","
											Das ist der moderne Nahe Osten,
											wo 2000 Jahre
nach der Geburt Christi
											jungfräuliche Geburten noch immer 
das Natürlichste der Welt sind.
									",A little-told tale of sex and sensuality,Shereen El Feki,16:10,"Egypt,Middle East,TED Fellows,culture,relationships,sex"
"
","
","
","
",A little-told tale of sex and sensuality,Shereen El Feki,16:10,"Egypt,Middle East,TED Fellows,culture,relationships,sex"
"
											La historia de Faiza es solo una de cientos
que he oído viajando por la región árabe
											hablando con la 
gente sobre sexo.
											Puede que parezca 
un trabajo soñado,
											o por otro lado, una ocupación 
altamente dudosa,
									","
											A história de Faiza é apenas uma em centenas que 
ouvi ao longo dos anos em viagem pela região árabe,
											falando com as pessoas sobre sexo.
											Sei que isto pode parecer um trabalho de sonho,
											ou possivelmente uma ocupação 
altamente controversa,
									","
											Faiza's story is just one of hundreds I've heard 
over the years, traveling across the Arab region
											talking to people about sex.
											Now, I know this might sound like a dream job,
											or possibly a highly dubious occupation,
									","
											Faizas Geschichte ist nur 
eine von Hunderten,
											die ich über die Jahre gehört habe, 
als ich den arabischen Raum bereiste
											und mit den Leuten über Sex sprach.
											Ja, ich weiß, das klingt 
vielleicht wie ein Traumjob
											oder möglicherweise eine sehr 
unseriöse Beschäftigung,
									",A little-told tale of sex and sensuality,Shereen El Feki,16:10,"Egypt,Middle East,TED Fellows,culture,relationships,sex"
"
","
","
","
",A little-told tale of sex and sensuality,Shereen El Feki,16:10,"Egypt,Middle East,TED Fellows,culture,relationships,sex"
"
											pero para mí, es, 
definitivamente, algo más.
											Soy mitad egipcia 
y soy musulmán.
											Pero crecí en Canadá, 
lejos de mis raíces árabes.
									","
											mas para mim é algo completamente diferente.
											Sou meia egípcia e sou muçulmana,
											mas cresci no Canadá, 
longe das minhas raízes árabes.
									","
											but for me, it's something else altogether.
											I'm half Egyptian, and I'm Muslim.
											But I grew up in Canada, far from my Arab roots.
									","
											aber für mich ist es 
noch etwas ganz anderes.
											Ich bin Halb-Ägypterin und Muslimin.
											Aber ich bin in Kanada aufgewachsen, 
weit weg von meinen arabischen Wurzeln.
									",A little-told tale of sex and sensuality,Shereen El Feki,16:10,"Egypt,Middle East,TED Fellows,culture,relationships,sex"
"
","
","
","
",A little-told tale of sex and sensuality,Shereen El Feki,16:10,"Egypt,Middle East,TED Fellows,culture,relationships,sex"
"
											Como todos los que trotamos
entre Oriente y Occidente
											con los años, me he visto compelida
a tratar de entender mejor mis orígenes.
											Lo de que haya elegido el sexo,
se debe a mi experiencia con el VIH/SIDA,
											como escritora, investigadora y activista.
											El sexo está en el centro de una epidemia
que emerge en el mundo árabe,
											que es una de dos regiones en el mundo 
donde el VIH/SIDA sigue en aumento.
									","
											Como muitos dos que vivem entre 
o Oriente e o Ocidente,
											eu fui levada, ao longo dos anos, 
a tentar entender melhor as minhas origens.
											Ter escolhido o tema do sexo tem a ver 
com minha experiência em HIV/Sida
											enquanto escritora, investigadora e ativista.
											O sexo encontra-se no centro de uma epidemia 
emergente no Médio Oriente e no Norte da África,
											que são duas regiões no mundo 
onde o HIV/Sida ainda continua a aumentar.
									","
											Like so many who straddle East and West,
											I've been drawn, over the years, to try to better
understand my origins.
											That I chose to look at sex comes from 
my background in HIV/AIDS,
											as a writer and a researcher and an activist.
											Sex lies at the heart of an emerging epidemic
in the Middle East and North Africa,
											which is one of only two regions in the world
where HIV/AIDS is still on the rise.
									","
											Wie so viele, die Orient 
und Okzident angehören,
											versuchte ich über die Jahre, 
meine Wurzeln besser kennen zu lernen.
											Dass ich mich dafür entschied, Sex zu 
untersuchen, hängt mit meiner Arbeit
											als Autorin, Forscherin und Aktivistin
											im Bereich HIV und AIDS zusammen.
											Sex liegt im Zentrum einer aufkommenden 
Epidemie im Nahen Osten und in Nordafrika,
											was eine von nur zwei Regionen 
auf der Welt ist,
											in denen HIV/AIDS noch immer 
auf dem Vormarsch sind.
									",A little-told tale of sex and sensuality,Shereen El Feki,16:10,"Egypt,Middle East,TED Fellows,culture,relationships,sex"
"
","
","
","
",A little-told tale of sex and sensuality,Shereen El Feki,16:10,"Egypt,Middle East,TED Fellows,culture,relationships,sex"
