en,fr,pt,tr,title,speaker,duration,tags
"
","
","
","
",The Chinese myth of the immortal white snake,Shunan Teng,3:44,"animation,TED-Ed,animals,china,culture,history,world cultures"
"
											The talented young herbalist named Xu Xian
was in trouble.
											It should have been a victorious moment–
											he had just opened his very 
own medicine shop.
											But he bought his supplies from 
his former employer,
											and the resentful man 
sold him rotten herbs.
									","
											Le jeune et talentueux herboriste
Xu Xian était en difficulté.
											Cela aurait dû être un moment de gloire,
											il venait d'ouvrir son herboristerie.
											Mais il avait acheté ses provisions
de son ancien patron,
											et l'homme, rancunier,
lui avait vendu des herbes pourries.
									","
											O jovem e talentoso ervanário
chamado Xu Xian estava em dificuldade.
											Devia ter sido um momento de vitória
											— tinha acabado de abrir
a sua loja de medicina.
											Mas comprara os suprimentos
ao seu antigo patrão
											e o homem, ressabiado,
vendera-lhe ervas apodrecidas.
									","
											Xu Xian adında yetenekli 
genç bir bitki bilimcinin başı beladaydı.
											Bir zafer anı olmalıydı–
											henüz kendi eczanesini açmıştı.
											Fakat önceki patronundan 
erzak satın almıştı
											ve kızgın adam ona 
çürümüş bitkileri satmıştı.
									",The Chinese myth of the immortal white snake,Shunan Teng,3:44,"animation,TED-Ed,animals,china,culture,history,world cultures"
"
","
","
","
",The Chinese myth of the immortal white snake,Shunan Teng,3:44,"animation,TED-Ed,animals,china,culture,history,world cultures"
"
											As Xu Xian wondered what to do with this 
useless inventory,
											patients flooded into his shop.
											A plague had stricken the city,
											and he had nothing to treat them.
											Just as he was starting to panic,
											his wife, Bai Su Zhen, produced a recipe
to use the rotten herbs as medicine.
											Her remedy cured all the plague-afflicted
citizens immediately.
											Xu Xian’s former boss even had to buy back
some of the rotten herbs
											to treat his own family.
									","
											Alors que Xu Xian se demandait que faire
avec son inventaire inutile,
											les patients arrivèrent en masse.
											Une épidémie avait frappé la ville
											et il n'avait rien pour les traiter.
											Il commençait à paniquer,
											quand sa femme, Bai Su Zhen,
concocta une recette
											pour utiliser les herbes pourries
comme médicament.
											Son remède guérit immédiatement
tous les citoyens affectés par la peste.
											L'ancien patron de Xu Xian dut même
racheter une partie des herbes pourries
											pour traiter sa propre famille.
									","
											Enquanto Xu Xian pensava no que fazer
com aquele inventário sem préstimo,
											os pacientes inundaram-lhe a loja.
											Havia uma epidemia na cidade
											e ele não tinha nada para os tratar.
											Quando estava quase a entrar em pânico,
											a mulher dele, Bai Su Zhen,
criou uma receita
											para usar as ervas podres
como medicamento.
											O remédio dela curou imediatamente
todos os cidadãos atingidos pela epidemia.
											O antigo patrão de Xu Xian até teve
de comprar algumas das ervas podres
											para tratar a família.
									","
											Xu Xian bu işe yaramaz stokla 
ne yapacağını merak ederken
											hastalar dükkanına akın etmişti.
											Bir salgın hastalık şehri sarmıştı

											ve onları tedavi etmek için
hiçbir şeyi yoktu.
											Tam panik yapmaya başlamıştı ki
eşi Bai Su Zhen çürümüş bitkileri
											ilaç olarak kullanmak için
bir tarif üretmişti.
											Onun ilacı hemen salgından etkilenen
tüm vatandaşları tedavi etmişti.
											Xu Xian'ın önceki patronu bile 
kendi ailesini tedavi etmek için
											bazı çürümüş bitkileri geri satın almıştı.
									",The Chinese myth of the immortal white snake,Shunan Teng,3:44,"animation,TED-Ed,animals,china,culture,history,world cultures"
"
","
","
","
",The Chinese myth of the immortal white snake,Shunan Teng,3:44,"animation,TED-Ed,animals,china,culture,history,world cultures"
"
											Shortly after, a monk named Fa Hai 
approached Xu Xian,
											warning him that there was 
a demon in his house.
											The demon, he said, was Bai Su Zhen.
											Xu Xian laughed.
											His kindhearted, resourceful wife 
was not a demon.
									","
											Peu après, un moine appelé Fa Hai
s'approcha de Xu Xian,
											le prévenant qu'il y avait
un démon dans sa maison.
											Le démon, disait-il, était Bai Su Zhen.
											Xu Xian rit.
											Sa femme ingénieuse et au grand cœur
n'était pas un démon.
									","
											Pouco depois, um monge chamado Fa Hai
abordou Xu Xian,
											avisando-o que havia
um demónio na casa dele.
											O demónio, disse ele, era Bai Su Zhen.
											Xu Xian riu-se.
											A sua mulher, bondosa e criativa
não era nenhum demónio.
									","
											Çok geçmeden Fa Hai adında 
bir keşiş Xu Xian'a gelmiş
											ve onu evinde bir şeytan 
olduğuna dair uyarmıştı.
											Şeytanın Bai Su Zhen olduğunu söylemişti.
											Xu Xian ise gülmüştü.
											İyi kalpli, maharetli eşi
bir şeytan değildi.
									",The Chinese myth of the immortal white snake,Shunan Teng,3:44,"animation,TED-Ed,animals,china,culture,history,world cultures"
"
","
","
","
",The Chinese myth of the immortal white snake,Shunan Teng,3:44,"animation,TED-Ed,animals,china,culture,history,world cultures"
"
											Fa Hai insisted.
											He told Xu Xian to serve his wife realgar
wine on the 5th day of the 5th month,
											when demons’ powers are weakest.
											If she wasn’t a demon, he explained, 
it wouldn’t hurt her.
									","
											Fa Hai insista.
											Il dit à Xu Xian de servir à sa femme
du vin réalgar le 5e jour du 5e mois,
											quand les pouvoir démoniaques
sont plus faibles.
											Si elle n'était pas un démon,
ça ne lui ferait pas de mal.
									","
											Fa Hai insistiu.
											Disse a Xu Xian para servir à mulher 
vinho de realgar no dia 5 do 5.º mês,
											quando os poderes dos demónios
são mais fracos.
											Se ela não fosse um demónio,
explicou, isso não a prejudicaria.
									","
											Fa Hai ısrar etmişti.
											Xu Xian'a şeytanın güçlerinin
en zayıf olduğu zaman olan
											5. ayın 5. gününde eşine 
kızıl zırnık şarabı vermesini söyledi.
											Söylediğine gibi eğer bir şeytan
değilse onu incitmezdi.
									",The Chinese myth of the immortal white snake,Shunan Teng,3:44,"animation,TED-Ed,animals,china,culture,history,world cultures"
"
","
","
","
",The Chinese myth of the immortal white snake,Shunan Teng,3:44,"animation,TED-Ed,animals,china,culture,history,world cultures"
"
											Xu Xian dismissed the monk politely,
											with no intention of serving 
Bai Su Zhen the wine.
											But as the day approached, 
he decided to try it.
									","
											Xu Xian fit sortir le moine poliment,
											sans aucune intention de servir
le vin à Bai Su Zhen.
											Mais, alors que le jour approchait,
il décida d'essayer.
									","
											Xu Xian mandou embora o monge,
delicadamente,
											sem qualquer intenção de servir
o vinho a Bai Su Zhen.
											Mas, quando o dia se aproximou,
decidiu experimentar.
									","
											Xu Xian nazik bir şekilde keşişi gönderdi.
											Bai Su Zhen'e şarabı 
verme gibi bir niyeti yoktu.
											Ancak gün yaklaştıkça 
denemeye karar verdi.
									",The Chinese myth of the immortal white snake,Shunan Teng,3:44,"animation,TED-Ed,animals,china,culture,history,world cultures"
