en,pt,tr,es,fr,title,speaker,duration,tags
"
","
","
","
","
",The Chinese myth of the white snake and the meddling monk,Shunan Teng,3:47,"animals,TED-Ed,storytelling,animation,love,china,culture,death,world cultures"
"
											Xu Xian had just received yet 
another invitation
											to the opening ceremony of the new 
Jin Shan Temple.
											His wife, Bai Su Zhen,
											had warned him not to attend.
											Since she was in fact a benevolent white 
snake spirit in human form,
											their marriage had already weathered 
attacks by meddling monks.
											But devout Buddhist that he was,
											Xu Xian felt obligated to make 
an appearance.
											What they didn’t know
											was that these invitations had come 
from none other than Fa Hai–
											the misguided monk who had 
tried to separate the young lovers,
											almost killing Xu Xian in the process.
											The monk confronted Xu Xian,
											telling him that because he consorted 
with a demon,
											he must remain at the monastery 
and cleanse his soul.
											Xu Xian protested,
											but Fa Hai would not let him escape.
									","
											Xu Xian tinha acabado de receber
mais um convite
											para a cerimónia da inauguração
do novo Templo Jin Shan.
											A mulher dele, Bai Su Zhen,
											tinha-o aconselhado a não comparecer.
											Como ela era um espírito
de serpente branca benevolente
											sob uma forma humana,
											o casamento deles já tinha sofrido
ataques de monges metediços.
											Mas, como era um budista devoto,
											Xu Xian sentia-se obrigado a comparecer.
											O que eles não sabiam
											era que aqueles convites
tinham sido enviados por Fa Hai,
											o insensato monge que tinha tentado
separar os jovens amantes,
											quase matando Xu Xian, nessa tentativa.
											O monge confrontou Xu Xian,
											dizendo-lhe que, como ele
tinha casado com um demónio,
											tinha de ficar no mosteiro
e limpar a sua alma.
											Xu Xian protestou,
											mas Fa Hai não o deixou escapar-se.
									","
											Xu Xian, yeni Jin Shan Tapınağı'nın
açılış törenine bir davetiye almıştı.
											Eşi Bai Su Zhen onu
katılmaması için uyarmıştı.
											Aslında insan formundaki yardımsever 
bir beyaz yılan ruhu olduğundan,
											evlilikleri zaten burnunu sokan keşişler
tarafından saldırıya uğramıştı.
											Ancak dindar bir budist olduğundan
											Xu Xian kendini kabul ettirmeye
zorunlu hissetmişti.
											Bilmedikleri şey ise davetiyelerin
daha önce neredeyse Xu Xian'ı öldüren,
											genç aşıkları ayırmaya çalışan,
yanlış yola sapmış bir keşiş olan
											Fa Hai'den başka birinden gelmemesiydi.
											Keşiş, Xu Xian ile yüz yüze gelmiş,
											bir şeytanla birlikte olduğu için
											manastırda kalması ve ruhunu 
temizlemesi gerektiğini söylemişti.
											Xu Xian ise karşı çıkmıştı,
ancak Fa Hai kaçmasına izin vermemişti.
									","
											Xu Xian acababa de recibir otra invitación
											a la ceremonia inaugural
del nuevo templo Jin Shan.
											Su mujer, Bai Su Zhen,
											le había desaconsejado asistir.
											Dado que ella era el espíritu
de una benevolente serpiente blanca
											en forma humana,
											su matrimonio ya había sufrido
ataques de monjes metomentodos.
											Pero como devoto budista,
											Xu Xian se vio obligado a apersonarse.
											Lo que no sabían
											era que estas invitaciones
habían venido del mismísimo Fa Hai,
											el monje mal guiado que había
intentado separar a los jóvenes amantes,
											casi matando a Xu Xian en el proceso.
											El monje enfrentó a Xu Xian,
											explicándole que debía permanecer
en el monasterio y limpiar su alma
											porque se había unido con un demonio.
											Xu Xian protestó,
											pero Fa Hai no le permitió escapar.
									","
											Xu Xian venait de recevoir une invitation
											pour la cérémonie d'ouverture
du nouveau temple Jin Shan.
											Sa femme, Bai Su Zhen,
											l'avait prévenu de ne pas y aller.
											Puisqu'elle était en fait l'esprit
d'un serpent blanc sous forme humaine,
											leur mariage avait déjà résisté
aux attaques de moines indiscrets.
											Mais, étant un bouddhiste pieux,
											Xu Xian se sentit obligé
de faire acte de présence.
											Ce qu'ils ne savaient pas
											était que ces inventions venaient
de rien de moins que de Fa Hai,
											le moine malavisé qui avait essayé
de séparer les jeunes amoureux,
											en tuant presque Xu Xian au passage.
											Le moine défia Xu Xian,
											lui disant que, puisqu'il
vivait avec un démon,
											il devait rester au monastère
et purifier son âme.
											Xu Xian protesta,
											mais Fa Hai ne le laissa pas s'enfuir.
									",The Chinese myth of the white snake and the meddling monk,Shunan Teng,3:47,"animals,TED-Ed,storytelling,animation,love,china,culture,death,world cultures"
"
","
","
","
","
",The Chinese myth of the white snake and the meddling monk,Shunan Teng,3:47,"animals,TED-Ed,storytelling,animation,love,china,culture,death,world cultures"
"
											At home, Bai Su Zhen was uneasy.
											Her husband had departed so quickly
											that she hadn’t been able to tell him 
she was pregnant with his child.
											And now he had been gone so long 
she sensed something must be wrong.
											She made her way to the temple,
											and upon encountering Fa Hai 
the monk threw his prayer mat,
											which erupted into fire and smoke.
											Weakened from her pregnancy,
											Bai Su Zhen desperately summoned a fleet
of shrimp soldiers and crab generals
											to subdue the monk,
and waves to put out the blaze.
											But the water also flooded the 
surrounding area,
											drowning many innocent villagers.
											For the first time, Bai Su Zhen had 
harmed humans,
											and she fell out of the gods’ favor.
											With their blessing retracted,
											Fa Hai attempted to trap her 
in his magical alms bowl.
											But just when all hope seemed lost,
											a bright glow came from within her belly,
											saving her from the mad monk’s magic.
									","
											Em casa, Bai Su Zhen estava inquieta.
											O marido tinha partido tão depressa
											que ela não tinha podido dizer-lhe
que estava à espera de um filho.
											Como ele já tinha partido há tanto tempo
ela pressentia que havia algo de errado.
											Dirigiu-se ao templo,
											e, quando encontrou Fa Hai,
o monge atirou-lhe o tapete de oração
											que se inflamou em chamas e fumo.
											Enfraquecida pela sua gravidez,
											Bai Su Zhen, desesperada, convocou
um esquadrão de camarões soldados
											e caranguejos generais,
para dominarem o monge
											e ondas para apagarem o incêndio.
											Mas a água também inundou
a área envolvente,
											afogando muitos aldeões inocentes.
											Pela primeira vez, Bai Su Zhen
tinha feito mal a seres humanos
											e perdeu as boas graças dos deuses.
											Vendo-a privada da bênção deles,
											Fa Hai tentou prendê-la
na sua tigela mágica das esmolas.
											Mas, quando toda a esperança
parecia perdida,
											um clarão brilhante brotou do ventre dela,
											salvando-a da magia do louco monge.
									","
											Evde Bai Su Zhen endişeliydi.
											Eşi o kadar çabuk yola koyulmuştu ki
ona hamile olduğunu söyleyememişti.
											O kadar uzun süredir ortada yoktu ki
bir şeylerin ters gittiğini hissetmişti.
											Tapınağa doğru yol aldı 
ve Fa Hai ile karşılaştığında
											keşiş ateş ve duman püskürten
dua matını fırlatmıştı.
											Hamileliğinden dolayı 
güçsüz düşen Bai Su Zhen,
											keşişe boyun eğdirmek
ve alevleri söndürmek için
											çaresizce karides askerlerden ve yengeç 
komutanlardan oluşan bir alay çağırmıştı.
											Ancak su çevreyi basmış,
birçok masum köylüyü boğmuştu.
											Bai Su Zhen ilk kez
insanlara zarar vermişti
											ve tanrıların lütfundan düşmüştü.
											Desteklerinin geri çekilmesiyle birlikte
											Fa Hai, onu büyülü kaseye
hapsetmeye kalkışmıştı.
											Ama tüm umutlar tükenmiş gibi görünüyorken
											karnının içinden parlak bir parıltı çıktı
ve onu kızgın keşişin sihrinden kurtardı.
									","
											En casa, Bai Su Zhen estaba intranquila.
											Su marido se fue tan rápidamente
											que ella no tuvo oportunidad de decirle
que estaba embarazada de su hijo.
											Tanto tiempo pasó
desde que él se había ido
											que ella sabía que algo estaba mal.
											Caminó hasta el templo,
											y al encontrarse con Fa Hai,
el monje lanzó su alfombra de oración
											que estalló en llamas y humo.
											Debilitada por su embarazo,
											Bai Su Zhen invocó desesperadamente
una flota de soldados camarones
											y generales cangrejos
											para someter al monje,
y olas para apagar el fuego.
											Pero el agua inundó los alrededores,
											ahogando a muchos aldeanos inocentes.
											Por primera vez, Bai Su Zhen
le había hecho daño a los humanos,
											y perdió el favor de los dioses.
											Con su bendición retirada,
											Fa Hai intentó atraparla
en su mágico cuenco para mendigar.
											Pero justo cuando parecía
haberse perdido toda esperanza,
											un resplandor brillante
vino de su vientre.
											salvándola del mágico monje loco.
									","
											Chez elle, Bai Su Zhen était mal à l'aise.
											Son mari était parti si rapidement
											qu'elle n'avait pas eu le temps
de lui dire qu'elle était enceinte.
											Et il était parti depuis si longtemps
											qu'elle sentit que
quelque chose n'allait pas.
											Elle alla vers le temple
											et, lorsqu'elle rencontra Fa Hai,
le moine balança son tapis de prière,
											qui cracha du feu et de la fumée.
											Affaiblie par sa grossesse,
											désespérée, Bai Su Zhen invoqua une flotte
de soldats crevettes et généraux crabes
											pour soumettre le moine
et des vagues pour éteindre l'incendie.
											Mais l'eau inonda aussi les environs,
											noyant de nombreux villageois innocents.
											Pour la première fois, Bai Su Zhen
avait blessé des êtres humains,
											et elle perdit les faveurs des dieux.
											Restée sans leur bénédiction,
											Fa Hai essaya de la piéger
dans son bol à aumônes magique.
											Mais, alors que tout espoir
semblait perdu,
											une lueur brillante vint de son ventre,
											la sauvant de la magie du moine fou.
									",The Chinese myth of the white snake and the meddling monk,Shunan Teng,3:47,"animals,TED-Ed,storytelling,animation,love,china,culture,death,world cultures"
"
","
","
","
","
",The Chinese myth of the white snake and the meddling monk,Shunan Teng,3:47,"animals,TED-Ed,storytelling,animation,love,china,culture,death,world cultures"
"
											The couple fled home,
											grateful to the mysterious power 
that had saved them,
											and soon after, Bai Su Zhen gave 
birth to their son, Xu Shi Lin.
											Yet despite this joyous occasion,
											Xu Xian was uneasy.
											He was shaken by his wife’s accidental 
act of destruction,
											and he feared the misfortune 
it might bring upon their home.
									","
											O casal fugiu para casa,
											gratos ao misterioso poder
que os tinha salvo.
											Pouco depois, Bai Su Zhen
deu à luz o seu filho, Xu Shi Lin.
											Mas, apesar desta ocasião feliz,
											Xu Xian sentia-se inquieto.
											Ficara abalado pelo acidental
ato de destruição da sua mulher
											e receava a desgraça
que pudesse recair na sua casa.
									","
											Çift evlerine uçtular.
											Onları kurtaran 
gizemli güce minnettardılar
											ve kısa bir süre sonra Bai Su Zhen,
oğulları Xu Shi Lin'i dünyaya getirdi.
											Yine de bu sevinçli olaya rağmen
Xu Xian endişeliydi.
											Eşinin kazara olan yıkıcı
eyleminden dolayı sarsılmıştı
											ve kötü talihin evlerine 
gelebileceğinden korkuyordu.
									","
											La pareja volvió a casa,
											agradecidos al poder misterioso
que los salvó,
											y poco después, Bai Su Zhen 
dio a luz su hijo, Xu Shi Lin.
											A pesar de esta feliz ocasión,
											Xu Xian estaba intranquilo.
											Estaba conmocionado por el acto
de destrucción accidental de su mujer,
											y se temía que les trajera desgracia.
									","
											Le couple s'enfuit de la maison,
											reconnaissants du pouvoir mystérieux
qui les avaient sauvés,
											et peu de temps après, Bai Su Zhen
donna naissance à leur fils, Xu Shi Lin.
											Malgré cette occasion joyeuse,
											Xu Xian était mal à l'aise.
											Il était bouleversé par l'acte
de destruction accidentel de sa femme,
											et craignait la malchance qu'il pourrait
apporter dans leur maison.
									",The Chinese myth of the white snake and the meddling monk,Shunan Teng,3:47,"animals,TED-Ed,storytelling,animation,love,china,culture,death,world cultures"
"
","
","
","
","
",The Chinese myth of the white snake and the meddling monk,Shunan Teng,3:47,"animals,TED-Ed,storytelling,animation,love,china,culture,death,world cultures"
"
											Not a month later,
											Fa Hai appeared at their doorstep.
											He offered Xu Xian an alms bowl to 
ensure good fortune for his newborn son.
											Still wary of the monk,
											but also remembering Bai Su Zhen’s 
destructive act,
											Xu Xian accepted the gift.
											But as soon as the bowl 
entered their home,
											it flew to Bai Su Zhen’s head 
and trapped her inside.
											Against the family’s wishes,
											Fa Hai buried the bowl beneath 
the Lei Feng Pagoda.
											And when Xu Xian begged him to 
release his wife,
											the monk sternly replied:
											“She will be free when the
iron tree blooms.”
									","
											Menos de um mês depois,
											Fa Hai apareceu à porta deles.
											Ofereceu a Xu Xian uma tigela de esmolas
											para dar boa sorte
ao seu filho recém-nascido.
											Ainda receoso do monge,
											mas lembrando-se
do ato destruidor de Bai Su Zhen,
											Xu Xian aceitou o presente.
											Mas, logo que a tigela
entrou em casa dele,
											voou até à cabeça de Bai Su Zhen
e prendeu-a lá dentro.
											Contra os desejos da família,
											Fa Hai enterrou a tigela
por baixo do Pagode Lei Feng.
											Quando Xu Xian lhe implorou
que libertasse a mulher,
											o monge respondeu intransigente:
											""Ela será libertada quando
a árvore de ferro florir"".
									","
											Bir ay geçmeden Fa Hai
kapılarının önünde belirdi.
											Xu Xian'a yenidoğmuş oğullarına
iyi şans verecek bir kase sundu.
											Keşişe karşı halen temkinliydi,
											ancak aynı zamanda Bai Su Zhen'in 
yıkıcı eylemini de hatırlayarak
											Xu Xian hediyeyi kabul etti.
											Fakat kase eve girer girmez
											Bai Su Zhen'in başına uçtu
ve onu içeriye hapsetti.
											Ailenin isteklerine karşı
											Fa Hai, kaseyi Lei Feng
Pagoda'nın altına gömdü.
											Xu Xian eşini bırakması için
yalvardığında ise
											keşiş sert bir biçimde cevap verdi:
											""Demir ağacı çiçek açtığında 
özgür kalacak.""
									","
											Ni un mes más tarde,
											Fa Hai apareció en su puerta.
											Ofreció a Xu Xian un cuenco para mendigar
											a fin de asegurar buena fortuna
para su hijo recién nacido.
											Aún receloso del monje,
											pero también recordando
el acto destructivo de Bai Su Zhen,
											Xu Xian aceptó el regalo.
											Pero en cuanto el cuenco entró en su casa,
											voló hacia la cabeza
de Bai Su Zhen y la atrapó.
											Contra los deseos de la familia,
											Fa Hai enterró el cuenco
debajo de la Pagoda Lei Feng.
											Y cuando Xu Xian le rogó
que liberara a su mujer,
											el monje le respondió severamente:
											""Será libre cuando florezca
el árbol de hierro"".
									","
											à peine un mois plus tard,
											Fa Hai apparut sur le seuil.
											Il offrit à Xu Xian un bol à aumônes
pour s'assurer le bonheur de son fils.
											Encore méfiant du moine,
											mais se rappelant aussi
de l'acte destructif de Bai Su Zhen,
											Xu Xian accepta le don.
											Mais, dès que le bol
entra dans leur maison,
											il vola jusqu'à la tête de Bai Su Zhen
et la piégea à l'intérieur.
											Contre le désir de la famille,
											Fa Hai enterra le bol
sous la Pagode Lei Feng.
											Et quand Xu Xian le supplia
de relâcher sa femme,
											le moine répondit sévèrement :
											«  Elle sera libre
lorsque l'arbre de fer fleurira. »
									",The Chinese myth of the white snake and the meddling monk,Shunan Teng,3:47,"animals,TED-Ed,storytelling,animation,love,china,culture,death,world cultures"
"
","
","
","
","
",The Chinese myth of the white snake and the meddling monk,Shunan Teng,3:47,"animals,TED-Ed,storytelling,animation,love,china,culture,death,world cultures"
"
											Overcome with guilt,
											Xu Xian ran away to a monastery,
											leaving Shi Lin in the care of his aunt.
											But there was something neither 
of them knew.
											The boy was the reincarnation 
of Wen Qu Xing,
											the wisdom god,
											sent to the family to reward 
Xu Xian’s devotion.
											It was this power that had protected 
Bai Su Zhen at the temple,
											and as he grew, so did his wisdom.
											At age 19, Shi Lin went to the capital 
city to take the nation-wide imperial exam
											and obtained the highest score 
in all the empire.
											The Emperor himself bestowed 
Shi Lin’s prize:
											an ornate hat decorated with 
jewel-encrusted flowers.
											But though he returned home in glory,
											the fate of his parents still 
weighed heavy on his mind.
									","
											Acabrunhado de culpa,
											Xu Xian correu para um mosteiro,
											deixando Shi Lin ao cuidado da tia.
											Mas havia uma coisa
que nenhum deles sabia.
											O rapaz era a reincarnação
de Wen Qu Xing,
											o deus da sabedoria,
											enviado à família para recompensar
a devoção de Xu Xian.
											Fora esse poder que protegera
Bai Su Zhen no templo.
											À medida que crescia,
assim crescia a sua sabedoria.
											Aos 19 anos, Shi Lin foi à capital
para fazer o exame imperial nacional
											e obteve a nota mais alta
de todo o império.
											O imperador em pessoa
entregou o prémio a Shi Lin:
											um chapéu ornamental enfeitado
com flores incrustadas com joias.
											Mas, embora regressasse
a casa, cheio de glória
											o destino dos seus pais
ainda pesava no seu espírito.
									","
											Suçluluk duygusuna kapılan Xu Xian,
											Shi Lin'i halasının himayesine
bırakarak bir manastıra kaçtı.
											Ancak ikisinin de bilmediği bir şey vardı.
											Çocuk, Xu Xian'ın fedakarlığını 
ödüllendirmek için aileye gönderilmiş
											bilgelik tanrısı Wen Qu Xing'in
reankarnasyonuydu.
											Bai Su Zhen'i tapınakta koruyan bu güçtü
ve büyüdükçe bilgeliği de arttı.
											19 yaşında Shi Lin, ülke çapında olan 
imparatorluk sınavına girmek için
											başkente gitmiş ve tüm imparatorluktaki
en yüksek puanı almıştı.
											İmparatorun kendisi 
Shi Lin'e ödülünü sunmuştu:
											Mücevher kaplı çiçeklerle
süslenmiş gösterişli bir şapka.
											Fakat eve görkemle dönmesine rağmen
											ebeveynlerinin kaderi 
hala kafasını kurcalıyordu.
									","
											Abrumado por la culpa,
											Xu Xian huyó a un monasterio,
											dejando a Shi Lin al cuidado de su tía.
											Pero había algo que
ninguno de los dos sabía.
											El chico era la reencarnación
de Wen Qu Xing,
											el Dios de la Sabiduría,
											enviado a la familia para recompensar
la devoción de Xu Xian.
											Fue este poder que había protegido
a Bai Su Zhen en el templo,
											y su sabiduría creció con él.
											A los 19 años, Shi Lin se fue a la capital
para realizar el examen imperial nacional
											y obtuvo la nota más alta
de todo el imperio.
											El emperador mismo
le otorgó a Shi Lin su galardón:
											un sombrero decorado con
flores incrustadas con joyas.
											Aunque volvió a casa en plena gloria,
											el destino de sus padres
le preocupó mucho.
									","
											Se sentant coupable,
											Xu Xian s'enfuit dans un monastère,
											laissant Shi Lin à la garde de sa tante.
											Mais il y avait un détail
qu'aucun des deux ne connaissait.
											Le garçon était la réincarnation
de Wen Qu Xing,
											le dieu de la sagesse,
											envoyé à la famille pour récompenser
la dévotion de Xu Xian.
											C'était ce pouvoir qui avait protégé
Bai Su Zhen au temple,
											et sa sagesse grandit avec lui.
											À 19 ans, Shi Lin alla à la capitale
											pour passer l'examen impérial
à l'échelle nationale
											et obtint la meilleure note
dans toute l'empire.
											L'Empereur lui-même
décerna le prix de Shin Lin :
											un chapeau décoré avec des fleurs
incrustées de bijoux.
											Mais, même s'il retourna
chez lui dans la gloire,
											le destin de ses parents pesait encore
lourdement dans sa tête.
									",The Chinese myth of the white snake and the meddling monk,Shunan Teng,3:47,"animals,TED-Ed,storytelling,animation,love,china,culture,death,world cultures"
