en,es,tr,pt,de,title,speaker,duration,tags
"
","
","
","
","
",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
											The school of architecture
that I studied at some 30 years ago
											happened to be across the street
from the wonderful art gallery
											designed by the great
architect Louis Kahn.
											I love the building,
and I used to visit it quite often.
											One day,
											I saw the security guard run his hand
across the concrete wall.
											And it was the way he did it,
											the expression on his face —
											something touched me.
											I could see that the security guard
was moved by the building
											and that architecture has that capacity
											to move you.
											I could see it, and I remember thinking,
											""Wow. How does architecture do that?""
									","
											La escuela de arquitectura
en la que estudié hace unos 30 años
											resultó estar al otro lado de la calle
de la maravillosa galería de arte
											diseñada por el gran
arquitecto Louis Kahn.
											Me encanta el edificio y solía
visitarlo muy a menudo.
											Un día, vi al guardia de seguridad
pasar la mano sobre el muro de hormigón.
											Y fue la forma en que lo hizo,
la expresión en su rostro...
											Algo me llegó.
											Pude ver que el guardia de seguridad
estaba conmovido por el edificio
											y que la arquitectura tiene
esa capacidad de conmover.
											Podía verlo, y recuerdo haber pensado:
""Guau. ¿Cómo hace eso la arquitectura?""
									","
											30 yıl önce çalıştığım
mimarlık okulu, büyük bir mimar olan
											Louis Kahn tarafından tasarlanan
muhteşem bir sanat galerisinin
											karşı sokağındaydı.
											Binayı seviyordum ve
sık sık ziyaret ediyordum.
											Bir gün,
											güvenlik görevlisinin, elini
beton duvarda gezdirdiğini gördüm.
											Ve bunu yapma biçimi,
											yüzündeki ifade —
											bir şey beni etkiledi.
											Binanın, güvenlik görevlisini
duygulandırdığını görebiliyordum
											ve bu mimarinin insanı duygulandırma
											kapasitesi vardı.
											Görebiliyordum ve
şöyle düşündüğümü hatırlıyorum,
											""Vay be. Mimari bunu nasıl yapabilir?""
									","
											A Escola de Arquitetura
onde estudei há cerca de 30 anos
											era do outro lado da rua
em frente à maravilhosa galeria de arte
											desenhada pelo grande arquiteto
Louis Kahn.
											Adoro o edifício, e costumava visitá-lo
com bastante frequência.
											Um dia,
											vi o segurança a passar a mão
pela parede de betão.
											E foi a forma como ele o fez,
											a expressão do seu rosto
											que me emocionou.
											Vi que o segurança
estava comovido com o edifício
											e que a arquitetura tem essa capacidade
											de nos emocionar.
											Eu vi-o, e lembro-me de pensar:
											""Uau. Como é que a arquitetura faz isso?""
									","
											Die Architekturschule, an der ich 
vor etwa 30 Jahren studiert habe,
											befand sich gegenüber
der wunderbaren Kunstgalerie,
											entworfen vom großartigen
Architekten Louis Kahn.
											Das Gebäude gefällt mir sehr
und ich habe es oft besucht.
											Eines Tages sah ich,
											wie der Wachmann mit der Hand
über die Betonwand strich.
											Es war die Art, wie er das tat,
											sein Gesichtsausdruck —
											etwas berührte mich.
											Ich konnte sehen, dass das Gebäude
den Wachmann bewegte
											und dass Architektur in der Lage ist,
											zu berühren.
											Ich konnte es sehen
und weiß noch, wie ich dachte:
											""Wow, wie schafft Architektur das?""
									",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
","
","
","
","
",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
											At school, I was learning to design,
											but here — here was
a reaction of the heart.
											And it touched me to the core.
									","
											En la escuela estaba
aprendiendo a diseñar,
											pero aquí, aquí hubo
una reacción del corazón.
											Y me llegó a lo más hondo.
									","
											Okulda tasarım öğreniyordum,
											fakat burada —
kalpten gelen bir tepki oluşuyordu.
											Özüme kadar duygulanmıştım.
									","
											Na escola, estava a aprender a projetar,
											mas aqui, aqui foi uma reação do coração.
											E tocou-me profundamente.
									","
											Im Studium lernte ich Entwerfen,
											aber hier — hier war 
eine Reaktion des Herzens.
											Und es berührte mich bis ins Mark.
									",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
","
","
","
","
",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
											You know, you aspire for beauty,
											for sensuousness, for atmosphere,
the emotional response.
											That's the realm of the ineffable
											and the immeasurable.
											And that's what you live for:
											a chance to try.
									","
											Saben, Uds. aspiran a alcanzar la belleza,
											la sensualidad, la atmósfera,
la respuesta emocional.
											Ese es el reino de lo inefable
y lo inconmensurable.
											Y eso es por lo que Uds. viven:
una oportunidad para intentar.
									","
											Bilirsiniz; duygusallık için,
											atmosfer için, duygusal
karşılık için güzelliği arzularız.
											Anlatılamayan ve ölçülemez olanın
											dünyası budur.
											Ve şunun için yaşarsınız:
											Bir deneme şansı.
									","
											Aspiramos à beleza,
											pela sensualidade, pela atmosfera,
pela resposta emocional.
											Esse é o reino do inefável
											e do imensurável.
											E é para isso que vivemos:
											uma oportunidade de tentar.
									","
											Wissen Sie, man strebt nach Schönheit,
											Sinnlichkeit, Atmosphäre
und nach einer emotionalen Reaktion.
											Das ist der Bereich des Unbeschreiblichen
											und Unermesslichen.
											Und dafür lebt man:
											für die Chance, es zu versuchen.
									",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
","
","
","
","
",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
											So in 2003, there was
an open call for designs
											for the Bahá'í Temple for South America.
											This was the first temple
in all of South America.
											It's a continental temple,
											a hugely important milestone
for the Bahá'í community,
											because this would be the last
of the continental temples
											and would open the door
for national and local temples to be built
											around the world.
									","
											En 2003 hubo una convocatoria
abierta para enviar diseños
											para el Templo Bahá'í en América del Sur.
											Era el primer templo
en toda América del Sur.
											Es un templo continental,
											un hito muy importante
para la comunidad bahá'í,
											porque este sería el último
de los templos continentales
											y abriría la puerta a la construcción
de templos nacionales y locales
											en todo el mundo.
									","
											2003 yılında, Güney
Amerika'daki Bahá'í Tapınağı
											tasarımları için bir açık çağrı yapıldı.
											Bu, Güney Amerika'nın ilk tapınağıydı.
											Bir kıta tapınağı,
											Bahá'í topluluğu için
oldukça önemli bir dönüm noktası,
											çünkü bu, son kıta
tapınağı olabilir ve tüm dünyada
											ulusal ve yerel
tapınakların inşa edilmesi için
											kapıları açabilir.
									","
											Em 2003, houve um concurso
para projetos
											para o Templo Bahá'i
na América do Sul.
											Este foi o primeiro templo
em toda a América do Sul.
											É um templo continental,
											um marco importantíssimo
para a comunidade Bahá'i
											porque este seria o último
dos templos continentais
											e abriria a porta para a construção
de templos nacionais e locais
											à volta do mundo.
									","
											2003 fand eine öffentliche
Ausschreibung statt,
											den Bahai-Tempel
von Südamerika zu entwerfen.
											Dies war der erste Tempel
in ganz Südamerika,
											ein Tempel für den Kontinent,
											ein extrem wichtiger Meilenstein
für die Bahai-Gemeinschaft,
											denn es sollte der letzte Tempel
für einen ganzen Kontinent sein,
											der die Tür zum Bau von Tempeln 
für Länder und Gemeinden
											auf der ganzen Welt öffnen sollte.
									",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
","
","
","
","
",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
											And the brief was deceptively simple
											and unique in the annals of religion:
											a circular room, nine sides,
nine entrances, nine paths,
											allowing you to come to the temple
from all directions,
											nine symbolizing completeness,
											perfection.
											No pulpit, no sermons,
											as there are no clergy
in the Bahá'í faith.
											And in a world which is putting up walls,
											the design needed to express in form
											the very opposite.
											It had to be open, welcoming
											to people of all faiths,
walks of life, backgrounds,
											or no faith at all;
											a new form of sacred space
											with no pattern
											or models to draw from.
											It was like designing one of the first
churches for Christianity
											or one of the first mosques for Islam.
									","
											Y la descripción era engañosamente simple
											y única en los anales de la religión:
											una sala circular, nueve lados,
nueve entradas, nueve caminos,
											permitiéndole venir al templo
desde todas las direcciones.
											El nueve para simbolizar
plenitud, perfección.
											Ningún púlpito, nada de sermones,
pues no hay clero en la fe bahá'í.
											Y en un mundo que está levantando muros,
											el diseño necesitaba expresar,
con su forma, todo lo contrario.
											Tenía que ser abierto, acogedor
											para personas de todas las religiones,
todos los ámbitos, orígenes,
											o de ninguna fe en absoluto;
											una nueva forma de espacio sagrado
											sin un patrón ni modelos
previos de los que partir.
											Fue como diseñar una de las primeras
iglesias para el cristianismo
											o una de las primeras
mezquitas para el Islam.
									","
											Ve talimat din tarihine göre,
											aldatıcı bir sadeliğe
ve sıra dışılığa sahip:
											Dairesel bir oda, dokuz kenar,
dokuz giriş, dokuz yol,
											tapınağa her
yönden gidebilmenizi sağlıyor,
											dokuz sayısı bütünlüğü ve mükemmelliği
											temsil ediyor.
											Bahá'í inancında rahip olmadığı için
											vaiz kürsüsü ve vaaz yok.
											Duvarlar inşa eden bir dünyada,
											tasarım, biçimsel olarak tam tersini
											ifade etmelidir.
											Açık olmalıdır, tüm inançlardan,
											tüm arka planlardan
insanları veya inancı olmayan
											insanları kabul etmelidir;
											faydalanacak hiçbir biçimin veya
											modelin olmadığı, yeni bir
											kutsal alan biçimi.
											Hristiyanlık için ilk kiliselerden
birisini veya İslam için ilk camilerden
											birisini tasarlamak gibiydi.
									","
											O pedido era ilusoriamente simples
											e único nos anais da religião:
											um salão circular, nove lados,
nove entradas, nove percursos,
											permitindo-nos entrar no templo
vindos de todas as direções,
											o nove simbolizando a completude,
											a perfeição.
											Sem púlpito, sem sermões,
											pois não há clero na fé Bahá'i.
											E num mundo que está a erguer muros,
											o ""design"" tinha de expressar na forma
											o seu oposto.
											Tinha de ser aberto, acolhedor
											para pessoas de todas as fés,
estilos de vida, formações,
											ou sem fé;
											uma nova forma de espaço sagrado
											criado sem um padrão
											ou modelos a seguir.
											Foi como desenhar uma das primeiras
igrejas da Cristandade
											ou uma das primeiras
mesquitas do Islão.
									","
											Der Auftrag war trügerisch einfach
											und einmalig in der Religionsgeschichte:
											ein runder Raum, neun Seiten,
neun Eingänge, neun Wege,
											durch die der Tempel aus allen
Richtungen betreten werden kann.
											Neun symbolisiert Ganzheit,
											Perfektion.
											Keine Kanzel, keine Predigten,
											denn im Bahai-Glauben
gibt es keine Geistlichen.
											Und in einer Welt, die Mauern baut,
											musste die Form des Designs
											genau das Gegenteil ausdrücken.
											Es musste offen und einladend sein
											für Menschen jeder Glaubensrichtung,
Gesellschaftsschicht, Herkunft,
											oder ganz ohne Glauben;
											eine neue Art heiliger Raum
											ohne Muster
											oder Vorbilder.
											Es war wie die Erschaffung einer der
ersten Kirchen für das Christentum
											oder eine der ersten
Moscheen für den Islam.
									",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
"
","
","
","
","
",How do you build a sacred space?,Siamak Hariri,12:46,"architecture,art,design,collaboration,community,faith,engineering,innovation,materials,public spaces,religion,technology,society,TEDNYC"
