en,fr,tr,pt,title,speaker,duration,tags
"
","
","
","
","""St. James Infirmary Blues""",Silk Road Ensemble + Rhiannon Giddens,8:43,"art,music,live music,performance,singer,vocals,entertainment"
"
											(Music)
									","
											(Musique)
									","
											(Müzik)
									","
											(Música)
									","""St. James Infirmary Blues""",Silk Road Ensemble + Rhiannon Giddens,8:43,"art,music,live music,performance,singer,vocals,entertainment"
"
","
","
","
","""St. James Infirmary Blues""",Silk Road Ensemble + Rhiannon Giddens,8:43,"art,music,live music,performance,singer,vocals,entertainment"
"
											I went down
											to St. James Infirmary
									","
											Je suis descendue
											à l'infirmerie Saint James
									","
											Aziz James Hastanesi'ne
											bebeğimi,onu görmek
									","
											♪ Eu desci
											♪ até à Enfermaria St. James
									","""St. James Infirmary Blues""",Silk Road Ensemble + Rhiannon Giddens,8:43,"art,music,live music,performance,singer,vocals,entertainment"
"
","
","
","
","""St. James Infirmary Blues""",Silk Road Ensemble + Rhiannon Giddens,8:43,"art,music,live music,performance,singer,vocals,entertainment"
"
											To see my baby there
									","
											Pour y voir mon bébé
									","
											için gittim.
									","
											♪ Para ver a minha querida lá
									","""St. James Infirmary Blues""",Silk Road Ensemble + Rhiannon Giddens,8:43,"art,music,live music,performance,singer,vocals,entertainment"
"
","
","
","
","""St. James Infirmary Blues""",Silk Road Ensemble + Rhiannon Giddens,8:43,"art,music,live music,performance,singer,vocals,entertainment"
"
											She was lying on a long wooden table
									","
											Elle était allongée sur une table en bois
									","
											Uzun ahşap bir masanın üzerinde yatıyordu.
									","
											♪ Ela estava deitada
numa mesa comprida de madeira
									","""St. James Infirmary Blues""",Silk Road Ensemble + Rhiannon Giddens,8:43,"art,music,live music,performance,singer,vocals,entertainment"
"
","
","
","
","""St. James Infirmary Blues""",Silk Road Ensemble + Rhiannon Giddens,8:43,"art,music,live music,performance,singer,vocals,entertainment"
"
											So cold, so still, so fair
									","
											Si froide, si immobile, si pâle
									","
											Öyle soğuk,öyle hoş,
öyle beyaz tenliydi ki.
									","
											♪ Tão fria, tão quieta, tão bela
									","""St. James Infirmary Blues""",Silk Road Ensemble + Rhiannon Giddens,8:43,"art,music,live music,performance,singer,vocals,entertainment"
"
","
","
","
","""St. James Infirmary Blues""",Silk Road Ensemble + Rhiannon Giddens,8:43,"art,music,live music,performance,singer,vocals,entertainment"
"
											I went up to see the doctor
									","
											Je suis montée voir le docteur
									","
											Doktoru görmeye gittim.
									","
											♪ Fui ter com o médico
									","""St. James Infirmary Blues""",Silk Road Ensemble + Rhiannon Giddens,8:43,"art,music,live music,performance,singer,vocals,entertainment"
"
","
","
","
","""St. James Infirmary Blues""",Silk Road Ensemble + Rhiannon Giddens,8:43,"art,music,live music,performance,singer,vocals,entertainment"
"
											""She's very low,"" he said
									","
											« Elle va très mal, » a-t-il dit
									","
											""Çok güçsüz"" dedi.
									","
											♪ ""Ela está muito mal"", disse ele
									","""St. James Infirmary Blues""",Silk Road Ensemble + Rhiannon Giddens,8:43,"art,music,live music,performance,singer,vocals,entertainment"
"
","
","
","
","""St. James Infirmary Blues""",Silk Road Ensemble + Rhiannon Giddens,8:43,"art,music,live music,performance,singer,vocals,entertainment"
"
											I went back to see my baby
									","
											Je suis retournée voir mon bébé
									","
											Bebeğimi görmek için geri döndüm.
									","
											♪ Voltei para ver a minha querida
									","""St. James Infirmary Blues""",Silk Road Ensemble + Rhiannon Giddens,8:43,"art,music,live music,performance,singer,vocals,entertainment"
"
","
","
","
","""St. James Infirmary Blues""",Silk Road Ensemble + Rhiannon Giddens,8:43,"art,music,live music,performance,singer,vocals,entertainment"
