en,tr,pt,es,fr,de,title,speaker,duration,tags
"
","
","
","
","
","
",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
											Do you ever stop and think,
during a romantic dinner,
											""I've just left my fingerprints
all over my wine glass.""
									","
											Romantik bir akşam yemeğinde
hiç şöyle düşündüğünüz oldu mu
											''Parmak izim şarap bardağının
her bir yanında.''
									","
											Já pararam para pensar,
durante um jantar romântico:
											""O meu copo de vinho está cheio
das minhas impressões digitais""?
									","
											¿Alguna vez se han parado a pensar
en medio de una cena romántica:
											""He dejado mis huellas dactilares 
por toda la copa de vino""?
									","
											Avez-vous déjà pris un instant lors d'un
dîner aux chandelles pour vous demander :
											« Je viens de laisser mes
empreintes partout sur le verre. »
									","
											Halten Sie manchmal inne und denken
während eines romantischen Dinners:
											""Ich habe gerade meine Fingerabdrücke
auf dem ganzen Weinglas hinterlassen.""
									",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
","
","
","
","
","
",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
											(Laughter)
									","
											(Gülme sesleri)
									","
											(Risos)
									","
											(Risas)
									","
											(Rires)
									","
											(Gelächter)
									",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
","
","
","
","
","
",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
											Or do you ever worry,
when you visit a friend,
											about leaving a little piece of you behind
on every surface that you touch?
											And even this evening,
											have you paid any attention
to sit without touching anything?
											Well, you're not alone.
											Thankfully, criminals underestimate
the power of fingerprints, too.
											And I'm not just talking about
the twisted parting of lines
											that make our fingerprint unique.
											I'm talking about
an entire world of information
											hiding in a small, often invisible thing.
											In fact, fingerprints
are made up of molecules
											that belong to three classes:
											sweat molecules that we all produce
in very different amounts ...
											molecules that we introduce into our body
and then we sweat out
											and molecules that we may contaminate
our fingertips with
											when we come across substances
like blood, paint, grease,
											but also invisible substances.
											And molecules are
the storytellers of who we are
											and what we've been up to.
											We just need to have
the right technology to make them talk.
									","
											Peki ya bir arkadaşınızın
evine gittiğinizde
											dokunduğunuz her yüzeyde bir parçanızı
bıraktığınızı hissediyor musunuz?
											Hatta bu akşam
											hiçbir şeye dokunmadan
oturmaya dikkat ettiniz mi?
											Yalnız değilsiniz.
											Neyse ki suçlular da parmak izinin
gücünü hafife alıyor.
											Parmak izimizi eşsiz kılan
											çizgilerin o bükümlü
ayrımlarından bahsetmiyorum.
											Küçük ve genellikle
görülebilir bir yerde saklı
											tam bir bilgi deposundan bahsediyorum.
											Gerçek şu ki parmak izleri
											üç sınıfa ayrılan moleküllerden oluşur:
											Herkesin farklı miktarlarda
ürettiği ter molekülleri.
											Vücudumuza gelen ve sonra terle
attığımız moleküller
											ve kan, boya, yağ
gibi maddelerin yanı sıra
											görünmez maddelerle de uğraştığımız zaman
											parmak uçlarımıza bulaşan moleküller.
											Bu moleküller kim olduğumuzu anlatıyorlar
											ve neler yaptığımızı.
											Tek gereken, onları konuşturacak
teknolojiye sahip olmak.
									","
											Ou já se preocuparam,
quando visitam um amigo,
											por deixarem vestígios vossos
em tudo o que tocaram?
											Ainda esta noite,
											tiveram o cuidado de se sentarem
sem tocar em nada?
											Bom, não são os únicos.
											Felizmente, os criminosos
também se esquecem
											do poder das impressões digitais.
											Não falo apenas daquela
disposição retorcida de linhas
											que tornam únicas
as nossas impressões digitais.
											Falo de todo um mundo de informações
											escondidas numa coisa pequena,
quase sempre invisível.
											Com efeito, as impressões digitais
são feitas de moléculas
											que pertencem a três classes:
											moléculas do suor que todos produzimos
em quantidades muito diferentes,
											moléculas que introduzimos no corpo
e depois saem com a transpiração
											e moléculas que podem contaminar
as pontas dos dedos
											quando contactam com substâncias
como o sangue, tinta e gordura,
											mas também com substâncias invisíveis.
											As moléculas contam histórias
sobre quem somos
											e o que é que andámos a fazer.
											Só precisamos de ter a tecnologia
certa para as fazer falar.
									","
											¿O alguna vez se han preocupado, 
tras visitar a un amigo,
											de dejar tras de sí una parte de Uds. en 
cada una de las superficies que tocaron?
											E incluso esta tarde,
											¿han prestado atención a 
sentarse sin tocar nada?
											Pues bien, no están solos.
											Los criminales también subestiman
el poder de las huellas dactilares.
											Y no estoy hablando solo
de la impresión de líneas torcidas
											que convierten a nuestras
huellas dactilares en únicas.
											Estoy hablando de un mundo de información
											que se esconde en algo pequeño 
y, a menudo, invisible.
											De hecho, las huellas
están formadas por moléculas
											que pertenecen a tres clases:
											moléculas del sudor que todos producimos 
en muy distintas cantidades...
											las que introducimos en nuestro cuerpo
y después expulsamos al sudar
											y moléculas con las que contaminamos
nuestras huellas dactilares
											cuando nos encontramos con sustancias
como sangre, pintura, grasa,
											pero también sustancias invisibles.
											Las moléculas cuentan quiénes somos
											y qué hemos estado haciendo.
											Tan solo necesitamos la tecnología
adecuada para hacerlas hablar.
									","
											Ou vous êtes-vous déjà inquiété,
lors d'une visite à un ami,
											d'avoir laissé un fragment de vous-même
sur tout ce que vous avez touché ?
											Et même ce soir,
											avez-vous pris garde de
ne rien toucher en vous asseyant ?
											Non. Et vous n'êtes pas le seul.
											Heureusement, les criminels sous-estiment
eux aussi le pouvoir des empreintes.
											Je ne parle pas seulement
de ces lignes courbes
											qui rendent nos empreintes
digitales uniques.
											Je parle de tout un univers de données
											dissimulé dans un élément
minuscule, bien souvent invisible.
											En réalité, nos empreintes
sont composées de molécules
											qui appartiennent à trois classes :
											les molécules de sueur que nous
produisons tous en quantité variée,
											les molécules qui s'infiltrent dans notre
corps et que nous évacuons par la sueur
											et les molécules qui peuvent
contaminer nos empreintes
											lorsque notre peau entre en contact
avec le sang, la peinture, la graisse
											et des substances invisibles.
											Les molécules relatent qui nous sommes
											et ce que nous faisons.
											Il nous suffit d'avoir la technologie
adéquate pour les faire parler.
									","
											Oder machen Sie sich je Sorgen,
wenn Sie einen Freund besuchen,
											über jedes kleine Stück von sich,
das Sie auf jeder Oberfläche,
											die sie berühren, hinterlassen?
											Haben Sie heute Abend darauf geachtet,
sich zu setzen, ohne etwas anzufassen?
											Sie sind nicht die Einzigen.
											Zum Glück unterschätzen Kriminelle
auch die Macht der Fingerabdrücke.
											Und ich rede nicht nur von
den gebogenen Teilen der Linien,
											die unsere Fingerabdrücke einmalig machen.
											Ich rede von einer ganzen Welt
an Informationen,
											versteckt in einem kleinen,
oftmals unsichtbaren Ding.
											Tatsächlich sind Fingerabdrücke
aus Molekülen aufgebaut,
											die zu drei Klassen gehören:
											Schweißmoleküle, die wir alle in sehr
unterschiedlichen Mengen produzieren ...
											Moleküle, die wir unserem Körper zuführen
und dann wieder ausschwitzen
											und Moleküle, mit denen wir womöglich
unsere Fingerspitzen beschmutzen,
											wenn wir mit Substanzen
in Berührung kommen wie Blut, Farbe, Fett,
											aber auch unsichtbare Substanzen.
											Moleküle sind erzählen
Geschichten darüber,
											wer wir sind und was wir gemacht haben.
											Wir brauchen nur die richtige Technologie,
um sie zum Sprechen zu bringen.
									",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
","
","
","
","
","
",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
											So let me take you on a journey
of unthinkable capabilities.
											Katie has been raped
											and her lifeless body has been found
in the woods three days later,
											after her disappearance.
											The police is targeting three suspects,
											having narrowed down
the search from over 20 men
											who had been seen
in that area on the same day.
											The only piece of evidence
											is two very faint,
overlapping fingerprints
											on the tape that was found
wrapped around Katie's neck.
											Often, faint and overlapping fingerprints
cannot help the police
											to make an identification.
											And until recently,
this might have been the end of the road,
											but this is where
we can make the difference.
									","
											Sizi hayal dahi edemeyeceğiniz
bir yolculuğa çıkarmak istiyorum.
											Katie tecavüze uğradı
											ve cansız bedeni,
kaybolmasının ardından üç gün sonra
											ormanlık alanda bulundu.
											Polis üç şüpheli üzerinde duruyor,
											o gün civarda görülen 20 erkek arasından
											soruşturmayı üç kişiye
indirgemeyi başardılar.
											Eldeki tek kanıt,
											Katie'nin boğazına sarılı
bulunan bantın üzerindeki
											birbirine geçmiş iki soluk parmak izi.
											Genellikle soluk ve birbirine
geçmiş parmak izlerinin
											kimlik saptamada pek faydası olmaz.
											Kısa bir süre öncesine dek
bu bizim için yolun sonu olabilirdi
											ama artık fark yaratacak bir noktadayız.
									","
											Vou levar-vos numa viagem
de possibilidades inconcebíveis.
											Katie foi violada
											e o corpo dela, sem vida,
foi encontrado no bosque,
											três dias depois de ela ter desaparecido.
											A polícia apontou três suspeitos,
											depois de investigar cerca de 20 homens
											que tinham sido vistos
na mesma área, naquele dia.
											A única prova existente
											são duas impressões digitais,
muito ténues, sobrepostas,
											na fita que se encontrava
enrolada à volta do pescoço de Kate.
											Quase sempre, impressões destas,
ténues e sobrepostas
											não ajudam a polícia
a fazer uma identificação.
											Até há pouco tempo, isso podia
ser o fim da investigação,
											mas é aqui que fazemos a diferença.
									","
											Así que permítanme llevarles a un viaje
de impensables capacidades.
											Katie fue violada
											y su cuerpo sin vida fue encontrado
en el bosque tres días después
											tras su desaparición.
											La policía apunta a tres sospechosos,
											habiendo reducido 
la búsqueda de más de 20 hombres
											que habían sido vistos por la
zona ese mismo día.
											La única evidencia
											son dos huellas dactilares
muy borrosas y superpuestas
											en la cinta adhesiva que se encontró
alrededor del cuello de Katie.
											Generalmente, las huellas borrosas
y superpuestas no ayudan a que la policía
											obtenga una identificación.
											Y, hasta hace poco,
este habría sido el final del camino,
											pero aquí es donde marcamos la diferencia.
									","
											Laissez-moi vous faire voyager dans
un univers de potentiels insoupçonnés.
											Katie a été violée
											et son corps sans vie a été retrouvé
dans les bois trois jours
											après sa disparition.
											La police cible à présent trois suspects,
											après avoir circonscrit la recherche
autour de 20 hommes
											qui avaient été aperçus dans
les alentours le jour même.
											Les seules preuves dont ils disposent
											sont deux vagues empreintes superposées
											sur le ruban adhésif qui
enserrait le cou de Katie.
											Bien souvent, des empreintes de
ce type n'aident pas la police
											à identifier le suspect.
											Jusqu'à présent, cela aurait
pu conduire à une impasse
											mais c'est ici que nous pouvons
faire la différence.
									","
											Lassen Sie mich Sie auf eine Reise
undenkbarer Möglichkeiten nehmen.
											Katie wurde vergewaltigt
											und ihr lebloser Körper ist drei Tage
später im Wald gefunden worden,
											nach ihrem Verschwinden.
											Die Polizei verfolgt drei Verdächtige,
											nachdem sie die Suche von
über 20 Männern eingeschränkt hat,
											die alle am selben Tag
in diesem Gebiet gesehen worden sind.
											Das einzige Beweisstück
											sind zwei sehr undeutliche,
sich überlappende Fingerabdrücke
											auf dem Klebeband, dass um Katies Nacken
herum gewickelt gefunden worden ist.
											Oft können undeutliche und überlappte
Abdrücke der Polizei nicht helfen,
											jemanden zu identifizieren.
											Bis vor kurzem könnte dies
das Ende gewesen sein,
											aber hier können wir
den Unterschied machen.
									",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
","
","
","
","
","
",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
											The tape is sent to our labs,
											where we're asked to use
our cutting-edge technology
											to help with the investigation.
											And here, we use an existing form
											of mass spectrometry imaging technology
											that we have further developed and adapted
											specifically for the molecular and imaging
analysis of fingerprints.
											In essence, we fire
a UV laser at the print,
											and we cause the desorption
of the molecules from the print,
											ready to be captured
by the mass spectrometer.
											Mass spectrometry measures
the weight of the molecules —
											or as we say, the mass —
											and those numbers that you see there,
they indicate that mass.
											But more crucially,
											they indicate who those molecules are —
											whether I'm seeing paracetamol
											or something more sinister,
forensically speaking.
									","
											Bu bant laboratuvarlarımıza gönderildi,
											soruşturmaya yardım etmek için
											bizden son teknolojiyle
çalışmamız istendi.
											Ekranda gördüğünüz şu an mevcut olan
											kütlesel spektrometrik
görselleme teknolojisi;
											bunu daha da geliiştirerek
											parmak izlerinin moleküler
ve görsel analizi için uyarladık.
											Pratikte, parmak izine
UV lazer ışığı tutuyoruz
											ve parmak izinden moleküllerin
ayrılmasını sağlıyoruz,
											böylece kütlesel spektrometre
onları yakalayabiliyor.
											Kütlesel spektrometri tekniği
moleküllerin ağırlığını ölçüyor,
											diğer bir deyişle kütlesini.
											Burada gördüğünüz rakamlar
o kütleyi temsil ediyor.
											Daha da önemlisi,
											bu moleküllerin ne olduğunu söylüyorlar,
											gördüğüm şey parasetamol mü
											yoksa adli tıp açısından
daha sinsice bir madde mi?
									","
											A fita é enviada para 
o nosso laboratório,
											onde nos pedem para usarmos
a nossa tecnologia de ponta
											para ajudar a investigação.
											Usamos uma forma de tecnologia
											de imagiologia com espetrometria de massa
											que desenvolvemos e adaptámos
											especificamente para a análise molecular
e digital das impressões digitais.
											Na essência, fazemos incidir
um laser UV nas impressões
											e provocamos a libertação das
moléculas absorvidas, nas impressões,
											prontas para serem captadas
pelo espectrómetro de massa.
											O espectrómetro de massa mede
o peso das moléculas
											— ou, como dizemos, a massa —
											e os números que ali vemos
indicam essa massa.
											Mas, mais importante ainda,
											indicam quais são essas moléculas
											— se encontramos paracetamol
											ou qualquer coisa mais sinistra,
em termos forenses.
									","
											La cinta adhesiva 
es enviada a nuestros laboratorios,
											donde se nos pide que usemos
nuestra avanzada tecnología
											para ayudar con la investigación.
											Y aquí, utilizamos una forma existente
											de tecnología de imagen
de espectrometría de masas
											que hemos continuado
desarrollando y adaptando
											para, concretamente, el análisis molecular
y de imagen de las huellas dactilares.
											En definitiva, usamos un láser UV
en la impresión de la huella
											y producimos la desorción
de las moléculas de dicha impresión,
											listas para ser captadas
por el espectrómetro de masas.
											El espectrómetro de masas mide
el peso de las moléculas
											—o como nosotros decimos, la masa—
											y esos números que ven ahí
son los que indican esa masa.
											Pero más significativamente,
											indican de quién son esas moléculas,
											tanto si veo paracetamol
											o algo más siniestro, 
pericialmente hablando.
									","
											Le ruban est donc envoyé
à notre laboratoire,
											où l'on nous demande d'utiliser
notre technologie de pointe
											pour aider l'enquête.
											Nous utilisons ici une forme existante
											d'imagerie par spectrométrie de masse
											que nous avons ensuite
spécifiquement développée
											et adaptée aux molécules et à l'analyse
des relevés d'empreintes digitales.
											En substance, nous projetons
un laser UV sur l'empreinte
											et nous causons la désorption
des molécules de celle-ci.
											Elles sont alors captées
par le spectromètre de masse.
											La spectrométrie de masse
mesure le poids des molécules —
											ou ce que nous appelons la masse —
											et ces chiffres que voyez ici
nous indiquent cette masse.
											Mais surtout,
											ils indiquent ce que sont ces molécules —
											si je vois du paracétamol
											ou une substance davantage
inquiétante, en termes médico-légaux.
									","
											Das Klebeband wird
an unser Labor geschickt,
											wo wir damit beauftragt werden
unsere Spitzentechnologie anzuwenden,
											um bei den Ermittlungen zu helfen.
											Und hier benutzen wir
eine existierende Form
											von bildgebender Massenspektrometrie,
											die wir weiterentwickelt
und angepasst haben
											insbesondere für die molekulare und
bildgebende Analyse von Fingerabdrücken.
											Im Wesentlichen feuern wir
einen UV-Laser auf den Abdruck
											und verursachen eine Desorption
der Moleküle vom Abdruck,
											die vom Massenspektrometer
eingefangen werden.
											Das Massenspektrometer misst
das Gewicht der Moleküle —
											oder wie wir sagen, die Masse —
											und diese Zahlen, die Sie dort sehen,
zeigen diese Masse an.
											Viel entscheidender jedoch,
											sie zeigen an, was diese Moleküle sind —
											ob ich Paracetamol sehe
											oder etwas Unheimliches,
forensisch gesprochen.
									",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
","
","
","
","
","
",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
											We applied this technology
to the evidence that we have
											and we found the presence
of condom lubricants.
											In fact, we've developed protocols
that enable us to even suggest
											what brand of condom might have been used.
											So we pass this information to the police,
											who, meanwhile,
have obtained a search warrant
											and they found the same brand
of condom in Dalton's premises.
											And with Dalton and Thomson
also having records for sexual assaults,
											then it is Chapman that may become
the less likely suspect.
											But is this information
enough to make an arrest?
											Of course not,
											and we are asked to delve deeper
with our investigation.
									","
											Sahip olduğumuz delil üzerinde
bu teknolojiyi uyguladık
											ve kondom kayganlaştırıcısı bulduk.
											Hatta hangi marka kondom
kullanıldığına işaret eden
											bir takım protokol de geliştirdik.
											Bu bilgiyi polise ilettik,
											polis de bu esnada bir arama izni edindi
											ve Dalton'ın evinde
aynı marka kondom buldu.
											Dalton ve Thomson'ın
cinsel taciz adli sicilleri vardı,
											bu yüzden de Chapman
en az muhtemel şüpheli oldu.
											Peki bu bilgi tutuklama için yeterli mi?
											Tabii ki hayır,
											bizden de soruşturmada
daha derine inmemiz istendi.
									","
											Aplicámos esta tecnologia
às provas que tínhamos
											e encontrámos a presença
de lubrificante de preservativos.
											Desenvolvemos protocolos
que até nos permitem indicar
											qual a marca de preservativo
que pode ter sido usada.
											Transmitimos essas informações à polícia
											que, entretanto, tinha obtido
um mandado de busca
											e encontrara a mesma marca
de preservativo em casa de Dalton.
											Dalton e Thomson tinham
cadastro de ataques sexuais,
											portanto, é Chapman o suspeito
menos provável.
											Mas esta informação não chega
para fazer uma detenção?
											Claro que não.
											Pedem-nos para aprofundar
a nossa investigação.
									","
											Aplicamos esta tecnología
a las pruebas que ya teníamos
											y encontramos la presencia
de lubricantes de condones.
											De hecho, hemos desarrollado protocolos
que incluso nos permiten sugerir
											la marca del condón
que se podría haber utilizado.
											Enviamos esta información a la policía,
											quienes obtuvieron una orden de registro
											y encontraron la misma marca
de condones en casa de Dalton.
											Dalton y Thomson tienen 
antecedentes por abusos sexuales,
											y Chapman es considerado
el sospechoso menos probable.
											Pero ¿es esto suficiente como
para llevar a cabo un arresto?
											Por supuesto que no.
											Se nos pide que profundicemos
en nuestra investigación.
									","
											Nous appliquons cette technologie
aux preuves que nous détenons
											et nous découvrons la présence
de lubrifiant de préservatif.
											Nous avons en réalité conçu des protocoles
qui nous permettent même de nous prononcer
											sur la marque de préservatif
qui a été utilisée.
											Nous transmettons
ces résultats à la police,
											qui, dans le même temps, a
obtenu un mandat de perquisition
											et a retrouvé cette marque
de préservatif chez Dalton.
											Dalton et Thomson ayant un casier
judiciaire pour agression sexuelle,
											Chapman peut donc être
pour l'instant écarté de l'affaire.
											Mais est-ce suffisant pour
procéder à une arrestation ?
											Non, bien sûr.
											On nous demande donc
d'approfondir nos recherches.
									","
											Wir haben diese Technologie auf
das vorhandene Beweisstück angewandt,
											und das Vorhandensein
von Kondom-Gleitmittel entdeckt.
											Tatsächlich haben wir sogar Protokolle
entwickelt, die uns ermöglichen
											sogar darauf hinzudeuten,
welche Kondome-Marke verwendet wurde.
											Also geben wir diese Information
an die Polizei weiter,
											die inzwischen einen
Durchsuchungsbefehl erhalten hat,
											und dieselbe Kondom-Marke
in Daltons Räumlichkeiten gefunden hat.
											Bei Dalton und Thomson haben wir sogar
Akteneinträge für Sexualstraftaten,
											wodurch Chapman womöglich der
unwahrscheinlichere Verdächtige wird.
											Aber reicht diese Information aus,
um eine Verhaftung durchzuführen?
											Natürlich nicht,
											und wir werden gebeten,
unsere Ermittlungen vertieft anzugehen.
									",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
"
","
","
","
","
","
",Your fingerprints reveal more than you think,Simona Francese,10:05,"forensics,crime,science,human body,technology,criminal justice,molecular biology"
