en,fr,pt,es,title,speaker,duration,tags
"
","
","
","
",Why design should include everyone,Sinéad Burke,9:57,"fashion,design,disability,product design,TEDNYC"
"
											I want to give you a new perspective.
											That sounds grandiose, and it is.
											I left Ireland yesterday morning.
											I traveled from Dublin to New York
											independently.
											But the design of an airport,
											plane and terminal
											offers little independence when
you're 105 and a half centimeters tall.
											For Americans, that's 3' 5"".
											I was whisked through the airport
by airline assistants in a wheelchair.
											Now, I don't need to use a wheelchair,
											but the design of an airport
											and its lack of accessibility
											means that it's my only way
to get through.
											With my carry-on bag between my feet,
											I was wheeled through
security, preclearance
											and I arrived at my boarding gate.
									","
											Je veux vous offrir
un nouveau point de vue.
											Cela semble grandiose et ça l'est.
											J'ai quitté l'Irlande hier matin.
											J'ai voyagé de Dublin à New York
											indépendamment.
											Mais la conception d'un aéroport,
											d'un avion et d'un terminal
											offre peu d'indépendance
quand vous faites 105,5 centimètres.
											Pour les Américaines,
c'est 3 pieds 5 pouces.
											Un accompagnateur m'a fait traverser
l'aéroport dans un fauteuil roulant.
											Je n'ai pas besoin d'un fauteuil roulant
											mais la conception d'un aéroport
											et son manque d'accessibilité
											signifie que c'est mon seul moyen
de m'y déplacer.
											Avec mon bagage à main entre les pieds,
											j'ai passé la sécurité,
la douane dans un fauteuil
											puis je suis arrivée
à ma porte d'embarquement.
									","
											Eu quero dar-vos uma nova perspetiva.
											Isto soa grandioso, e é.
											Eu saí da Irlanda ontem pela manhã.
											Viajei de Dublin a Nova Iorque,
											sozinha.
											Mas o ""design"" de um aeroporto,
											da aeronave e do terminal
											oferece pouca independência
quando temos 105,5 cm de altura.
											Para os americanos,
são 3 pés e 5 polegadas.
											Funcionários da companhia aérea
levaram-me numa cadeira de rodas.
											Eu não preciso de uma cadeira de rodas,
											mas o ""design"" de um aeroporto
											e a sua falta de acessibilidade
											faz com que essa seja
a única forma possível.
											Com a minha bagagem de mão entre os pés,
											empurraram-me pela segurança,
verificação prévia
											e cheguei à porta de embarque.
									","
											Quiero ofrecerles un nuevo punto de vista.
											Suena pomposo, y lo es.
											Salí de Irlanda ayer por la mañana.
											Viajé de Dublín a Nueva York sola.
											Pero el diseño de un aeropuerto,
un avión y una terminal
											ofrecen poca independencia
si uno mide 105,5 cm de alto.
											Para los estadounidenses 
son 3 pies 5 pulgadas.
											Los trabajadores de la aerolínea
me desplazaban en silla de ruedas.
											No necesito una silla de ruedas,
											pero el diseño de un aeropuerto
y su falta de accesibilidad
											hacen que esa sea
mi única manera de acceder.
											Con la maleta de mano a mis pies,
											me pasaron por el control
de seguridad y pre-embarque
											para llegar a la puerta de embarque.
									",Why design should include everyone,Sinéad Burke,9:57,"fashion,design,disability,product design,TEDNYC"
"
","
","
","
",Why design should include everyone,Sinéad Burke,9:57,"fashion,design,disability,product design,TEDNYC"
"
											I use the accessibility
services in the airport
											because most of the terminal
is just not designed with me in mind.
											Take security, for example.
											I'm not strong enough
to lift my carry-on bag
											from the ground to the carousel.
											I stand at eye level with it.
											And those who work in that space
for safety purposes cannot help me
											and cannot do it for me.
											Design inhibits my autonomy
and my independence.
											But traveling at this size,
it isn't all bad.
											The leg room in economy
is like business class.
									","
											J'utilise les services
d'accessibilité à l'aéroport
											car la plus grande part du terminal
n'a pas été conçue en pensant à moi.
											Prenez la sécurité, par exemple.
											Je n'ai pas assez de force
pour soulever mon bagage à main
											du sol jusqu'au tapis à bagages.
											Le tapis m'arrive au niveau des yeux.
											Pour des raisons de sécurité, ceux
qui travaillent là ne peuvent pas m'aider
											et ne peuvent pas le faire à ma place.
											La conception inhibe mon autonomie
et mon indépendance.
											Mais voyager en faisant cette taille
n'a pas que des inconvénients.
											L'espace pour les jambes en classe
économie est comme en classe affaires.
									","
											Eu uso os serviços de
acessibilidade no aeroporto
											porque a maior parte dos terminais
não tem um ""design"" que me sirva.
											Pensem na segurança, por exemplo.
											Eu não tenho força suficiente
											para levantar a minha bagagem
do chão e pô-la no carrossel.
											Este está no nível dos meus olhos.
											Os que trabalham naquela área
											não podem ajudar-me
por razões de segurança
											e não podem fazê-lo por mim.
											O ""design"" inibe a minha autonomia
e a minha independência.
											Mas viajar, sendo deste tamanho,
nem é assim tão mau.
											O espaço para as pernas na económica
é como se fosse na executiva.
									","
											Uso los servicios de accesibilidad
en el aeropuerto
											porque la mayor parte de la terminal
											simplemente no está diseñada
conmigo en mente.
											El control de seguridad, por ejemplo.
											No tengo la fuerza suficiente
											como para levantar mi maleta desde 
el suelo hasta la cinta transportadora.
											Estoy a su altura.
											Y quienes atienden ese espacio,
											por razones de seguridad,
no pueden ayudarme
											y no puedo hacerlo sola.
											El diseño inhibe mi autonomía
y mi independencia.
											Pero viajar con este tamaño,
no es del todo malo.
											El espacio para las piernas en la clase
turista para mí parece preferente.
									",Why design should include everyone,Sinéad Burke,9:57,"fashion,design,disability,product design,TEDNYC"
"
","
","
","
",Why design should include everyone,Sinéad Burke,9:57,"fashion,design,disability,product design,TEDNYC"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Risas)
									",Why design should include everyone,Sinéad Burke,9:57,"fashion,design,disability,product design,TEDNYC"
"
","
","
","
",Why design should include everyone,Sinéad Burke,9:57,"fashion,design,disability,product design,TEDNYC"
"
											I often forget that I'm a little person.
											It's the physical environment
and society that remind me.
											Using a public bathroom
is an excruciating experience.
											I walk into the cubicle
											but I can't reach the lock on the door.
											I'm creative and resilient.
											I look around and see if there's
a bin that I can turn upside down.
											Is it safe?
											Not really.
											Is it hygienic and sanitary?
											Definitely not.
											But the alternative is much worse.
											If that doesn't work, I use my phone.
											It gives me an additional
four- to six-inch reach,
											and I try to jam the lock closed
with my iPhone.
											Now, I imagine that's not what Jony Ive
had in mind when he designed the iPhone,
											but it works.
											The alternative
is that I approach a stranger.
											I apologize profusely
											and I ask them to stand guard
outside my cubicle door.
											They do
											and I emerge grateful
											but absolutely mortified,
											and hope that they didn't notice
											that I left the bathroom
without washing my hands.
											I carry hand sanitizer with me
every single day
											because the sink, soap dispenser,
hand dryer and mirror
											are all out of my reach.
									","
											J'oublie souvent que je suis petite.
											C'est l'environnement physique
et la société qui me le rappellent.
											Utiliser des toilettes publiques
est une expérience atroce.
											J'entre dans la cabine
											mais je ne peux pas atteindre
le verrou sur la porte.
											Je suis créative et résistante.
											Je cherche une poubelle
que je peux retourner.
											Est-ce sans danger ?
											Pas vraiment.
											Est-ce hygiénique et sanitaire ?
											Certainement pas.
											Mais l'alternative est bien pire.
											Si cela ne fonctionne pas,
j'utilise mon téléphone.
											Cela me donne 12 à 18
centimètres supplémentaires
											et j'essaye de fermer la porte
avec mon iPhone.
											J'imagine que ce n'est pas ce que John Ive
avait en tête en concevant l'iPhone,
											mais cela fonctionne.
											L'alternative est d'approcher un inconnu.
											Je me répands en excuses
											et lui demande de monter la garde
devant la porte du cabinet.
											Les gens le font
											et j'en sors reconnaissante
											mais complètement humiliée
											et j'espère qu'ils n'ont pas remarqué
											que je suis sortie des toilettes
sans me laver les mains.
											J'ai toujours avec moi
un désinfectant pour les mains
											car le lavabo, le distributeur de savon,
le sèche-mains et le miroir
											sont tous hors d'atteinte.
									","
											Eu normalmente esqueço
que sou pequenina.
											É o ambiente físico e a sociedade
que me lembram isso.
											Usar uma casa de banho pública
é uma experiência terrível.
											Eu entro na cabina
											mas não chego à fechadura da porta.
											Eu sou criativa e forte.
											Olho à minha volta para ver se há
uma lata que possa virar ao contrário.
											É seguro?
											Provavelmente, não.
											É higiénico e desinfetado?
											Definitivamente, não.
											Mas a alternativa é muito pior.
											Se não funcionar, uso o meu telefone.
											o que me dá mais 10 a 15 cm
											e tento trancar a fechadura
com o meu iPhone.
											Creio que não foi o que Jony Ive pensou
quando criou o ""design"" do iPhone,
											mas funciona.
											A alternativa é pedir ajuda
a uma pessoa estranha.
											Peço imensa desculpa
											e peço que fique de guarda
à porta da cabina.
											Elas ficam
											e eu saio da cabina grata
											mas profundamente envergonhada,
											e torço para que elas não percebam
											que eu saí da casa de banho
sem lavar as mãos.
											Eu trago sempre comigo álcool gel
											porque o lavatório, o sabonete,
o secador de mãos e o espelho
											estão todos fora do meu alcance.
									","
											A menudo olvido mi estatura.
											Pero el entorno físico
y la sociedad me lo recuerdan.
											Usar un baño público
es una experiencia insoportable.
											Entro en el cubículo, pero no llego
a la cerradura de la puerta.
											Soy creativa y resistente.
											Busco alrededor si hay una papelera 
que pueda usar como escalera.
											¿Es seguro?
											En realidad no.
											¿Es higiénico y sanitario?
											Definitivamente no.
											Pero la alternativa es mucho peor.
											Si eso no funciona, uso mi teléfono.
											Eso me da de 12 a 18 cm adicionales,
											y trato de cerrar la puerta con el iPhone.
											Me imagino que no es lo que Jony Ive
tenía en mente cuando diseñó el iPhone,
											pero funciona.
											La alternativa es acercarme a un extraño.
											Le pido mil disculpas,
											y que haga guardia en la puerta.
											Lo hace,
											y salgo agradecida pero 
absolutamente mortificada,
											y espero que no note
											que salí del baño
sin lavarme las manos.
											Llevo el desinfectante de mano cada día
											porque el fregadero, dispensador de 
jabón, secador de manos y el espejo
											están todos fuera de mi alcance.
									",Why design should include everyone,Sinéad Burke,9:57,"fashion,design,disability,product design,TEDNYC"
"
","
","
","
",Why design should include everyone,Sinéad Burke,9:57,"fashion,design,disability,product design,TEDNYC"
"
											Now, the accessible bathroom
is somewhat of an option.
											In this space, I can reach
the lock on the door,
											the sink, the soap dispenser,
the hand dryer and the mirror.
											Yet, I cannot use the toilet.
											It is deliberately designed higher
											so that wheelchair users
can transfer across with ease.
											This is a wonderful
and necessary innovation,
											but in the design world, when we describe
a new project or idea as accessible,
											what does that mean?
											Who is it accessible to?
											And whose needs
are not being accommodated for?
									","
											Les toilettes pour personnes
handicapées sont une option.
											Dans cet espace, je peux
atteindre le verrou,
											le lavabo, le distributeur de savon,
le sèche-mains et le miroir.
											Mais je ne peux pas
utiliser les toilettes.
											Elles sont délibérément
conçues plus hautes
											pour que ce soit facile de s'y asseoir
depuis un fauteuil roulant.
											C'est une innovation
merveilleuse et nécessaire,
											mais dans le monde du design,
											quand nous décrivons un projet
ou une idée comme accessible,
											qu'est-ce que cela signifie ?
											A qui est-ce accessible ?
											Et aux besoins de qui
ne nous adaptons-nous pas ?
									","
											A casa de banho para deficientes
é, em parte, uma opção.
											Naquele espaço eu chego
à fechadura da porta,
											ao lavatório, ao sabonete, 
ao secador de mãos e ao espelho.
											Mesmo assim, não posso usar a sanita.
											O seu ""design"" é deliberadamente mais alto
											para que as pessoas em cadeiras de rodas
possam mudar com facilidade.
											É uma inovação maravilhosa
e necessária,
											mas em ""design"", quando descrevemos
um novo projeto como acessível,
											o que é que isso significa?
											Acessível para quem?
											E quais as necessidades
que não estão a ser satisfeitas?
									","
											El cuarto de baño accesible
es una opción.
											En ese espacio, puedo alcanzar
la cerradura de la puerta,
											el fregadero, el dispensador de jabón,
el secador de manos y el espejo.
											Sin embargo, no puedo usar el inodoro.
											Está deliberadamente diseñado más alto
											para que los usuarios de silla de ruedas
puedan trasladarse fácilmente.
											Es una innovación maravillosa y necesaria,
											pero si en diseño describimos
un nuevo proyecto o idea como accesible,
											¿qué significa eso?
											¿A quién es accesible?
											¿Y a qué necesidades no está respondiendo?
									",Why design should include everyone,Sinéad Burke,9:57,"fashion,design,disability,product design,TEDNYC"
