tr,es,pt,fr,de,title,speaker,duration,tags
"
","
","
","
","
",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
											Bundan dört yıl önce buradaydım,
											ve hatırlıyorum da o zaman,
											konuşmalar internete konulmuyordu.
											Sanırım TED'lilere bir kutu içinde veriliyorlardı,
											bir DVD seti kutusu.
											Bu kutuyu alıp rafa kaldırıyordunuz, herhalde hala orada duruyordur.
									","
											Estuve aquí hace 4 años,
											y recuerdo que, en ese tiempo,
											las charlas no se subían online;
											creo que se las daban a los TEDsters en una caja,
											una caja con DVDs,
											que ponen en sus estantes, donde están ahora.
									","
											Estive aqui há quatro anos
											e lembro-me que, nessa altura,
											as palestras não eram publicadas na net.
											Penso que eram dadas
aos membros TED numa caixa,
											uma caixa de DVDs,
											que era arrumada na estante,
onde ainda hoje se encontram.
									","
											J'étais ici-même il y a quatre ans,
											et je me souviens qu'à l'époque
											les conférences n'étaient pas mises en ligne,
											Je pense qu'on les donnait aux participants dans une boîte,
											une boîte de DVD,
											qu'ils mettaient sur une étagère, où ils sont toujours.
									","
											Ich war vor vier Jahren hier,
											und ich erinnere mich, dass damals
											die Vorträge nicht online gestellt wurden.
											Ich glaube, sie wurden den TEDsters in einem Karton gegeben,
											in einer DVD-Box,
											die dann ins Regal gestellt wurde, wo sie jetzt ist.
									",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
","
","
","
","
",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
											(Gülüşmeler)
									","
											(Risas)
									","
											(Risos)
									","
											(Rires)
									","
											(Gelächter)
									",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
","
","
","
","
",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
											Hatta Chris beni aradığında
											konuşmamdan bir hafta sonraydı
											bana şöyle söyledi ""Konuşmaları internete koyacağiz.
											Seninkini de koyabilir miyiz?"" Ben de ""tabi"" dedim.
									","
											Y de hecho me llamó Chris
											una semana después de haber dado mi charla
											y me dijo: ""Vamos a empezar a subirlas online.
											¿Podemos subir las tuyas?"" Y yo le dije: ""Claro""
									","
											Chris telefonou-me na semana
a seguir à minha palestra e disse:
											""Vamos começar a pô-las online.
											""Podemos pôr a sua?""
E eu disse, ""Claro.""
									","
											Et en fait Chris m'a appelé
											une semaine après ma présentation
											et m'a dit, ""On va commencer à les mettre sur le web.
											On peut poster la tienne?"" Et j'ai dit, ""Pas de problème.""
									","
											Und Chris hat mich eine Woche, nachdem
											ich meinen Vortrag gehalten hatte, angerufen
											und gesagt: ""Wir werden damit anfangen, sie online zu stellen.
											Können wir Deinen online stellen?"" Und ich habe ""Ja, klar"" gesagt.
									",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
","
","
","
","
",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
											Ve dört yıl sonra,
											dediğim gibi, konuşmayı gören insan sayısı dört ....
											Şey, aslında dört milyon kere indirilmiş bu video.
											Yani sanırım bu sayıyı 20 ile falan çarparsak
											aşağı yukarı videoyu gören insan sayısını buluruz.
											Demek Chris'in dediği gibi, insanlar beni
											videoda görmeye hasretmişler.
									","
											Y 4 años más tarde,
											como ya he dicho, ha sido vista 4...
											Bueno, ha sido descargada 4 millones de veces.
											Así que supongo que se podría 
multiplicar eso por 20 o algo así
											para obtener el número de personas que la han visto.
											Y como dice Chris, hay avidez
											por ver mis videos.
									","
											Quatro anos depois,
											foi descarregada quatro milhões de vezes.
											Suponho que podemos multiplicar
esse número por 20
											para chegar ao número
de pessoas que a terão visto.
											Como diz o Chris,
há uma sede descontrolada
											de vídeos comigo.
									","
											Et quatre ans plus tard,
											comme je le disais, cela a été vu par quatre ...
											Bon, elle a été téléchargée quatre millions de fois.
											Je pense qu’on pourrait multiplier ce nombre par 20 environ
											pour avoir le nombre de gens qui l'ont vue.
											Et comme Chris le dit, il y a une soif
											de mes vidéos.
									","
											Und jetzt, wie gesagt, vier Jahre später,
											wurde er von vier...
											Also, er ist vier Millionen Mal heruntergeladen worden.
											Also nehme ich an, dass man das mit 20 oder so multiplizieren könnte,
											um auf die Zahl der Leute zu kommen, die ihn gesehen haben.
											Und Chris meint, die Leute hungern nach
											Videos von mir.
									",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
","
","
","
","
",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
"
											(Kahkahalar)
									","
											(Risas)
									","
											(Risos)
									","
											(Rires)
									","
											(Gelächter)
									",Bring on the learning revolution!,Sir Ken Robinson,16:48,"children,creativity,education,invention"
