tr,fr,de,title,speaker,duration,tags
"
","
","
",Bluegrass virtuosity from ... New Jersey?,Sleepy Man Banjo Boys,8:47,"children,entertainment,live music,music,performance,wunderkind"
"
											(Müzik)
									","
											(Musique)
									","
											(Musik)
									",Bluegrass virtuosity from ... New Jersey?,Sleepy Man Banjo Boys,8:47,"children,entertainment,live music,music,performance,wunderkind"
"
","
","
",Bluegrass virtuosity from ... New Jersey?,Sleepy Man Banjo Boys,8:47,"children,entertainment,live music,music,performance,wunderkind"
"
											(Alkışlar)
									","
											(Applaudissements)
									","
											(Applaus)
									",Bluegrass virtuosity from ... New Jersey?,Sleepy Man Banjo Boys,8:47,"children,entertainment,live music,music,performance,wunderkind"
"
","
","
",Bluegrass virtuosity from ... New Jersey?,Sleepy Man Banjo Boys,8:47,"children,entertainment,live music,music,performance,wunderkind"
"
											(Müzik)
									","
											(Musique)
									","
											(Musik)
									",Bluegrass virtuosity from ... New Jersey?,Sleepy Man Banjo Boys,8:47,"children,entertainment,live music,music,performance,wunderkind"
"
","
","
",Bluegrass virtuosity from ... New Jersey?,Sleepy Man Banjo Boys,8:47,"children,entertainment,live music,music,performance,wunderkind"
"
											(Alkışlar(
											Robbie Mizzone: Teşekkürler.
									","
											(Applaudissements)
											Robbie Mizzone: Merci.
									","
											(Applaus)
											Robbie Mizzone: Danke.
									",Bluegrass virtuosity from ... New Jersey?,Sleepy Man Banjo Boys,8:47,"children,entertainment,live music,music,performance,wunderkind"
"
","
","
",Bluegrass virtuosity from ... New Jersey?,Sleepy Man Banjo Boys,8:47,"children,entertainment,live music,music,performance,wunderkind"
"
											Tommy Mizzone: Çok teşekkürler.
											Burada olduğumuz için çok heyecanlıyız. Bu bizim için büyük bir onur.
											Onun da dediği gibi, biz New Jersey 'den 3 kardeşiz,
											bilirsiniz, dünyanın bluegrass başkenti.
									","
											Tommy Mizzone: Merci beaucoup.
											Nous sommes très heureux d'être ici.
C'est un honneur pour nous.
											Comme on a dit, nous sommes
trois frères du New Jersey —
											vous savez, la capitale mondiale
de la musique bluegrass.
									","
											Tommy Mizzone: Vielen Dank.
											Wir sind so aufgeregt hier zu sein.
Das ist für uns eine große Ehre.
											Wie er schon sagte, wir sind
drei Brüder aus New Jersey,
											die Welthauptstadt des Bluegrass,
wie Sie sicher wissen.
									",Bluegrass virtuosity from ... New Jersey?,Sleepy Man Banjo Boys,8:47,"children,entertainment,live music,music,performance,wunderkind"
