en,fr,tr,es,title,speaker,duration,tags
"
","
","
","
","""Awoo""",Sofi Tukker,3:32,"live music,music,singer,performance,TEDNYC,entertainment"
"
											(Music)
									","
											(Musique)
									","
											(Müzik)
									","
											(Música)
									","""Awoo""",Sofi Tukker,3:32,"live music,music,singer,performance,TEDNYC,entertainment"
"
","
","
","
","""Awoo""",Sofi Tukker,3:32,"live music,music,singer,performance,TEDNYC,entertainment"
"
											Sophie Hawley-Weld: OK,
you don't have to stand up,
											but ...
											we can see you really clearly —
									","
											Sophie Hawley-Weld :
Pas besoin de vous lever
											mais ...
											on peut vous distinguer très clairement.
									","
											Sophie Hawley- Weld: Tamam, ayağa 
kalkmanıza gerek yoktu
											ama...
											hepinizi oldukça net görüyoruz.
									","
											Sophie Hawley-Weld: Bueno, 
no hay que levantarse,
											pero...
											podemos verles muy bien.
									","""Awoo""",Sofi Tukker,3:32,"live music,music,singer,performance,TEDNYC,entertainment"
"
","
","
","
","""Awoo""",Sofi Tukker,3:32,"live music,music,singer,performance,TEDNYC,entertainment"
"
											(Laughter)
									","
											(Rires)
									","
											(Gülüşmeler)
									","
											(Risas)
									","""Awoo""",Sofi Tukker,3:32,"live music,music,singer,performance,TEDNYC,entertainment"
"
","
","
","
","""Awoo""",Sofi Tukker,3:32,"live music,music,singer,performance,TEDNYC,entertainment"
"
											So you have to dance with us.
											And we have this, like,
											choreographed dance thing
that we're about to do —
									","
											Vous allez devoir danser avec nous.
											Nous avons prévu
											une petite chorégraphie
que nous allons vous montrer.
									","
											Bizimle dans etmelisiniz.
											Kareografik bir dans figürü
											olacak.
									","
											Tienen que bailar con nosotros.
											Y tenemos
											esta pequeña coreografía
que haremos en breve...
									","""Awoo""",Sofi Tukker,3:32,"live music,music,singer,performance,TEDNYC,entertainment"
"
","
","
","
","""Awoo""",Sofi Tukker,3:32,"live music,music,singer,performance,TEDNYC,entertainment"
"
											Betta Lemme: Really easy.
									","
											Betta Lemme : très facile.
									","
											Betta Lemme: Gerçekten basit.
									","
											Betta Lemme: Es muy fácil.
									","""Awoo""",Sofi Tukker,3:32,"live music,music,singer,performance,TEDNYC,entertainment"
"
","
","
","
","""Awoo""",Sofi Tukker,3:32,"live music,music,singer,performance,TEDNYC,entertainment"
"
											SHW: And we're going to flick
our wrists like this,
											and you're going to do it with us.
											And you can also stand up.
									","
											SHW : On va remuer nos poignets ainsi,
											et vous aussi, en synchro.
											Vous pouvez vous lever, bien-sûr.
									","
											SHW: Bileklerimizi bu şekilde savuracağız
											Siz de bizimle beraber yapın.
											Ayağa da kalkabilirsiniz.
									","
											SHW: Moveremos las muñecas así,
											lo haremos juntos.
											También pueden levantarse.
									","""Awoo""",Sofi Tukker,3:32,"live music,music,singer,performance,TEDNYC,entertainment"
"
","
","
","
","""Awoo""",Sofi Tukker,3:32,"live music,music,singer,performance,TEDNYC,entertainment"
"
											(Music)
									","
											(Musique)
									","
											(Müzik)
									","
											(Música)
									","""Awoo""",Sofi Tukker,3:32,"live music,music,singer,performance,TEDNYC,entertainment"
"
","
","
","
","""Awoo""",Sofi Tukker,3:32,"live music,music,singer,performance,TEDNYC,entertainment"
"
											(Sings) I know I did not raise a wrist
									","
											♪ Je sais,
je n'ai pas levé le petit doigt ♪
									","
											(Şarkı söylüyor)
Farkındayım bileğimi kaldırmadım.
									","
											(Canta) Sé que no moví un dedo.
									","""Awoo""",Sofi Tukker,3:32,"live music,music,singer,performance,TEDNYC,entertainment"
"
","
","
","
","""Awoo""",Sofi Tukker,3:32,"live music,music,singer,performance,TEDNYC,entertainment"
"
											(Both sing) I know I did not capture it
									","
											♪ Je sais que je ne l'ai pas capturé ♪
									","
											(Beraber söylüyorlar)
Biliyorum yakalamadım.
									","
											(Cantan juntas) Sé que no lo entendí.
									","""Awoo""",Sofi Tukker,3:32,"live music,music,singer,performance,TEDNYC,entertainment"
"
","
","
","
","""Awoo""",Sofi Tukker,3:32,"live music,music,singer,performance,TEDNYC,entertainment"
"
											It came, it came,
											it went, it went
									","
											♪ Il est venu, venu, ♪
											♪ il est parti, parti ♪
									","
											Kendisi geldi, kendisi
											Kendisi gitti, kendisi
									","
											Vino, vino,
											se fue, se fue.
									","""Awoo""",Sofi Tukker,3:32,"live music,music,singer,performance,TEDNYC,entertainment"
"
","
","
","
","""Awoo""",Sofi Tukker,3:32,"live music,music,singer,performance,TEDNYC,entertainment"
