en,de,title,speaker,duration,tags
"
","
",The lies we tell pregnant women,Sofia Jawed-Wessel,14:56,"children,communication,feminism,family,gender,health,humanity,parenting,identity,sex,society,teaching,women,TEDx"
"
											We're going to share
a lot of secrets today, you and I,
											and in doing so, I hope that we can lift
											some of the shame
many of us feel about sex.
									","
											Wir werden heute
viele Geheimnisse miteinander teilen.
											Und ich hoffe, dass wir dadurch
											einige unserer Schamgefühle
zum Thema Sex abbauen.
									",The lies we tell pregnant women,Sofia Jawed-Wessel,14:56,"children,communication,feminism,family,gender,health,humanity,parenting,identity,sex,society,teaching,women,TEDx"
"
","
",The lies we tell pregnant women,Sofia Jawed-Wessel,14:56,"children,communication,feminism,family,gender,health,humanity,parenting,identity,sex,society,teaching,women,TEDx"
"
											How many here have ever been
catcalled by a stranger?
											Lots of women.
											For me, the time I remember best
											is when that stranger
was a student of mine.
											He came up to me after class that night
											and his words confirmed
what I already knew:
									","
											Wie vielen hier hat schon mal
ein Fremder hinterher gepfiffen?
											Viele Frauen.
											Ich erinnere mich deutlich
an das eine Mal,
											als dieser Fremde
einer meiner Studenten war.
											Er kam an dem Abend nach der Stunde zu mir
											und seine Worte bestätigten,
was ich schon wusste:
									",The lies we tell pregnant women,Sofia Jawed-Wessel,14:56,"children,communication,feminism,family,gender,health,humanity,parenting,identity,sex,society,teaching,women,TEDx"
"
","
",The lies we tell pregnant women,Sofia Jawed-Wessel,14:56,"children,communication,feminism,family,gender,health,humanity,parenting,identity,sex,society,teaching,women,TEDx"
"
											""I am so sorry, professor.
											If I had known it was you,
I would never have said those things.""
									","
											""Es tut mir so leid, Frau Professor.
											Hätte ich gewusst, dass Sie es sind,
hätte ich diese Dinge nie gesagt.""
									",The lies we tell pregnant women,Sofia Jawed-Wessel,14:56,"children,communication,feminism,family,gender,health,humanity,parenting,identity,sex,society,teaching,women,TEDx"
"
","
",The lies we tell pregnant women,Sofia Jawed-Wessel,14:56,"children,communication,feminism,family,gender,health,humanity,parenting,identity,sex,society,teaching,women,TEDx"
"
											(Laughter)
									","
											(Lachen)
									",The lies we tell pregnant women,Sofia Jawed-Wessel,14:56,"children,communication,feminism,family,gender,health,humanity,parenting,identity,sex,society,teaching,women,TEDx"
"
","
",The lies we tell pregnant women,Sofia Jawed-Wessel,14:56,"children,communication,feminism,family,gender,health,humanity,parenting,identity,sex,society,teaching,women,TEDx"
"
											I wasn't a person to him
until I was his professor.
											This concept, called objectification,
											is the foundation of sexism,
											and we see it reinforced
through every aspect of our lives.
											We see it in the government
											that refuses to punish men
											for raping women.
											We see it in advertisements.
											How many of you have seen an advertisement
											that uses a woman's breast
to sell an entirely unrelated product?
											Or movie after movie after movie
											that portrays women
as only love interests?
											These examples might seem
inconsequential and harmless,
											but they're insidious,
											slowly building into a culture
that refuses to see women as people.
											We see this in the school
that sends home a 10-year-old girl
											because her clothes were
a distraction to boys trying to learn,
											or the government that refuses
to punish men for raping women
											over and over,
											or the woman who is killed
											because she asked a man to stop
grinding on her on the dance floor.
									","
											Ich war für ihn erst ein Mensch,
als ich seine Professorin war.
											Dieses Konzept, Objektifizierung genannt,
											ist die Grundlage von Sexismus,
											und wir sehen es in jedem Aspekt 
unseres Lebens bestätigt.
											Wir erkennen es in der Regierung,
											die sich weigert, Männer zu verurteilen,
											die Frauen vergewaltigten.
											Wir erkennen es in der Werbung.
											Wie viele von Ihnen kennen Werbekampagnen,
											die Brüste einsetzen, um ein Produkt 
zu verkaufen, das nichts damit zu tun hat?
											Oder Film um Film,
											der Frauen nur als 
potenzielle Partnerinnen zeigt?
											Diese Beispiele erscheinen vielleicht
belanglos und harmlos,
											aber sie sind heimtückisch
											und erschaffen langsam eine Kultur, 
die Frauen nicht als Menschen ansieht.
											Wir erkennen das in einer Schule,
die ein zehnjähriges Mädchen heimschickt,
											weil ihre Kleidung Jungs 
ablenkt, die lernen wollen,
											oder der Regierung, die Männer für die
Vergewaltigung an Frauen nicht verurteilt,
											immer und immer wieder.
											In der Frau, die getötet wird,
weil sie einen Mann bat,
											sich auf der Tanzfläche
nicht an sie ranzumachen.
									",The lies we tell pregnant women,Sofia Jawed-Wessel,14:56,"children,communication,feminism,family,gender,health,humanity,parenting,identity,sex,society,teaching,women,TEDx"
"
","
",The lies we tell pregnant women,Sofia Jawed-Wessel,14:56,"children,communication,feminism,family,gender,health,humanity,parenting,identity,sex,society,teaching,women,TEDx"
