de,tr,title,speaker,duration,tags
"
","
",The best way to help is often just to listen,Sophie Andrews,14:23,"mental health,TEDMED,society,depression,aging,friendship,personal growth,communication"
"
											Nachdem sie ihren Arm
mit zerbrochenem Glas geritzt hatte,
											fiel sie in einen unruhigen Schlaf
auf dem Bahnsteig.
											Früh morgens, als
die Bahnhofstoiletten öffneten,
											stand sie voller Schmerzen auf 
und ging rüber zu den Toiletten.
											Als sie ihr eigenes Spiegelbild sah,
											fing sie an zu weinen.
											Ihr Gesicht war schmutzig und verweint;
											die Bluse zerrissen und blutverschmiert.
											Sie sah aus, als lebte sie seit 3 Monaten
auf der Straße, nicht seit 3 Tagen.
											Sie wusch sich, so gut es ging.
											Ihre Arme und der Bauch
taten höllisch weh.
											Sie versuchte die Wunden zu säubern,
											aber durch den Druck
fingen sie wieder an zu bluten.
											Sie musste genäht werden, aber sie würde
niemals ins Krankenhaus gehen.
											Die würden sie sonst wieder
heim schicken. Zurück zu ihm.
											Sie machte ihre Jacke zu —
											also wirklich fest zu,
um das Blut zu verstecken.
											Sie sah sich wieder im Spiegel an.
											Sie sah besser aus als vorher,
aber das kümmerte sie nicht mehr.
											Sie konnte nur an eine Sache denken.
											Sie ging zu einer Telefonzelle
außerhalb des Bahnhofs.
									","
											Kırık bir cam parçasıyla
kolunu kestikten sonra
											bitkin bir şekilde istasyondaki
peronda uyuklamaya başladı.
											Sabahın erken saatlerinde, 
istasyonun tuvaletleri açıldığında,
											acı içinde ayağa kalktı 
ve kabinlerden birine girdi.
											Tuvalet aynasındaki yansımasını gördüğünde
											ağlamaya başladı.
											Yüzü kirli ve gözyaşlarıyla doluydu.
											Tişörtü parçalanmış ve kan içindeydi.
											Sanki 3 gün değil de 3 aydır sokakta
yaşıyormuş gibi görünüyordu.
											Elinden geldi kadarıyla üstünü temizledi.
											Kolları ve karnı kötü yaralanmıştı.
											Yaralarını temizlemeye çalıştı
											ama en ufak baskıda
yeniden kanamaya başlıyorlardı.
											Dikişe ihtiyacı vardı
ama hastaneye gidemezdi.
											Giderse eve,
											o adama geri gönderilirdi.
											Ceketini sıkıca kavradı —
											kanı gizlemek için bağladı.
											Aynadaki yansımasına tekrar baktı.
											Biraz daha iyi görünüyordu,
aldırmayı bırakmıştı.
											Aklına gelen tek bir şey vardı.
											İstasyondan çıktı ve yakındaki
telefon kulübesine girdi.
									",The best way to help is often just to listen,Sophie Andrews,14:23,"mental health,TEDMED,society,depression,aging,friendship,personal growth,communication"
"
","
",The best way to help is often just to listen,Sophie Andrews,14:23,"mental health,TEDMED,society,depression,aging,friendship,personal growth,communication"
"
											(Telefon klingelt)
											(Telefon klingelt)
									","
											(Telefon çalma sesi)
											(Telefon çalma sesi)
									",The best way to help is often just to listen,Sophie Andrews,14:23,"mental health,TEDMED,society,depression,aging,friendship,personal growth,communication"
"
","
",The best way to help is often just to listen,Sophie Andrews,14:23,"mental health,TEDMED,society,depression,aging,friendship,personal growth,communication"
"
											Frau: Die Samariter, wie kann ich helfen?
											Hallo, die Samariter hier.
Kann ich Ihnen helfen?
									","
											Kadın: İyiliksevenler,
yardımcı olabilir miyim ?
											Alo, burası İyiliksevenler.
Nasıl yardımcı olabilirim?
									",The best way to help is often just to listen,Sophie Andrews,14:23,"mental health,TEDMED,society,depression,aging,friendship,personal growth,communication"
"
","
",The best way to help is often just to listen,Sophie Andrews,14:23,"mental health,TEDMED,society,depression,aging,friendship,personal growth,communication"
"
											Mädchen: (weint) Ich — Ich weiß nicht.
									","
											Kız: (Ağlayarak) — Bilmiyorum.
									",The best way to help is often just to listen,Sophie Andrews,14:23,"mental health,TEDMED,society,depression,aging,friendship,personal growth,communication"
"
","
",The best way to help is often just to listen,Sophie Andrews,14:23,"mental health,TEDMED,society,depression,aging,friendship,personal growth,communication"
"
											Frau: Was ist passiert?
Du klingst sehr traurig.
									","
											Kadın: Ne oldu? 
Çok üzgün gibisin.
									",The best way to help is often just to listen,Sophie Andrews,14:23,"mental health,TEDMED,society,depression,aging,friendship,personal growth,communication"
"
","
",The best way to help is often just to listen,Sophie Andrews,14:23,"mental health,TEDMED,society,depression,aging,friendship,personal growth,communication"
"
											(Mädchen weint)
									","
											(Kız ağlar)
									",The best way to help is often just to listen,Sophie Andrews,14:23,"mental health,TEDMED,society,depression,aging,friendship,personal growth,communication"
"
","
",The best way to help is often just to listen,Sophie Andrews,14:23,"mental health,TEDMED,society,depression,aging,friendship,personal growth,communication"
"
											Frau: Erzähl mir doch, wie du heißt.
											Ich bin Pam. Wie ist dein Name?
											Von wo rufst du an?
											Bist du in Sicherheit?
									","
											Kadın: Adını söylemekle başlayabilirsin.
											Ben Pam. Senin adın ne?
											Nereden arıyorsun?
											Güvende misin?
									",The best way to help is often just to listen,Sophie Andrews,14:23,"mental health,TEDMED,society,depression,aging,friendship,personal growth,communication"
"
","
",The best way to help is often just to listen,Sophie Andrews,14:23,"mental health,TEDMED,society,depression,aging,friendship,personal growth,communication"
"
											Mädchen: Aus einer Telefonzelle in London.
									","
											Kız: Londra'da bir 
telefon kulübesindeyim.
									",The best way to help is often just to listen,Sophie Andrews,14:23,"mental health,TEDMED,society,depression,aging,friendship,personal growth,communication"
"
","
",The best way to help is often just to listen,Sophie Andrews,14:23,"mental health,TEDMED,society,depression,aging,friendship,personal growth,communication"
"
											Pam: Du hörst dich
sehr jung an. Wie alt bist du?
									","
											Pam: Sesin çok genç geliyor.
Kaç yaşındasın?
									",The best way to help is often just to listen,Sophie Andrews,14:23,"mental health,TEDMED,society,depression,aging,friendship,personal growth,communication"
"
","
",The best way to help is often just to listen,Sophie Andrews,14:23,"mental health,TEDMED,society,depression,aging,friendship,personal growth,communication"
"
											Mädchen: 14.
									","
											Kız: On dört.
									",The best way to help is often just to listen,Sophie Andrews,14:23,"mental health,TEDMED,society,depression,aging,friendship,personal growth,communication"
"
","
",The best way to help is often just to listen,Sophie Andrews,14:23,"mental health,TEDMED,society,depression,aging,friendship,personal growth,communication"
"
											Pam: Warum bist du so aufgebracht?
									","
											Pam: Seni bu kadar üzen ne oldu?
									",The best way to help is often just to listen,Sophie Andrews,14:23,"mental health,TEDMED,society,depression,aging,friendship,personal growth,communication"
"
","
",The best way to help is often just to listen,Sophie Andrews,14:23,"mental health,TEDMED,society,depression,aging,friendship,personal growth,communication"
