es,tr,en,fr,title,speaker,duration,tags
"
","
","
","
",What doctors can learn from each other,Stefan Larsson,12:56,"health,health care,medical research,public health"
"
											Cinco años atrás, estaba 
en un año sabático,
											y regresé a la facultad 
de medicina
											donde estudié.
											Vi pacientes reales y 
me puse la bata blanca
											por primera vez en 17 años,
											de hecho desde que 
me convertí en consultor.
									","
											Beş yıl önce, ücretli izinimden sonra
											çalıştığım üniversiteye
											geri döndüm.
											Gerçek hastaları gördüm
ve 17 yıldır ilk defa,
											doğrusu yönetici danışmanı
olduğumdan beri ilk defa.
											beyaz önlük giydim.
									","
											Five years ago, I was on a sabbatical,
											and I returned to the medical university
											where I studied.
											I saw real patients and I wore the white coat
											for the first time in 17 years,
											in fact since I became a management consultant.
									","
											Il y a cinq ans,
j'ai pris une année sabbatique,
											et je suis retourné à la fac de médecine
											où j'avais fais mes études.
											J'ai vu de vrais patients 
et j'ai porté la blouse blanche
											pour la première fois depuis 17 ans,
											en fait, depuis que je suis devenu
consultant en ressources humaines.
									",What doctors can learn from each other,Stefan Larsson,12:56,"health,health care,medical research,public health"
"
","
","
","
",What doctors can learn from each other,Stefan Larsson,12:56,"health,health care,medical research,public health"
"
											Hubo dos cosas 
que me sorprendieron
											durante el mes 
que pasé allí.
											La primera fue que 
los temas comunes
											de las discusiones eran 
presupuestos hospitalarios
											y reducción de costos,
											y la segunda, que 
realmente me molestó,
											en realidad, fue que varios 
de los colegas que conocía,
											antiguos amigos de 
la escuela de medicina,
											que yo sabía que eran algunas 
de las personas más inteligentes,
											más motivadas, 
comprometidas y apasionadas
											que jamás he conocido,
											muchos de ellos se habían 
vuelto cínicos, desinteresados,
											o se habían distanciado 
de la dirección del hospital.
											Así que con este enfoque 
en la reducción de costos,
											me pregunté, ¿nos estamos 
olvidando del paciente?
									","
											O ay boyunca
											beni şaşırtan iki şey oldu.
											İlki, tartışmalarımızın ortak konusu
											hastane bütçesi
											ve bütçe tasarufuydu.
											Beni çok rahatsız eden ikincisi ise
											açıkçası, tanıştığım meslektaşlarımdan birkaçı,
											tıp fakültesinden eski arkadaşlarım,
											en zekileri olduklarını düşündüklerim,
											tanıştığım en motive, ilgili ve
											tutkulu insanlar,
											çoğu şüphe dolu
ve ilgisiz olmuştu
											veya kendisini
hastane idaresinden soyutlamıştı.
											Böylece bu bütçe tasarufuna
odaklanmanın sonucunda
											hastayı unutup unutmadığımızı
kendime sordum.
									","
											There were two things that surprised me
											during the month I spent.
											The first one was that the common theme
											of the discussions we had were hospital budgets
											and cost-cutting,
											and the second thing, which really bothered me,
											actually, was that several of the colleagues I met,
											former friends from medical school,
											who I knew to be some of the smartest,
											most motivated, engaged and passionate people
											I'd ever met,
											many of them had turned cynical, disengaged,
											or had distanced themselves
from hospital management.
											So with this focus on cost-cutting,
											I asked myself, are we forgetting the patient?
									","
											Il y a deux choses qui m'ont surpris
											au cours du mois que j'ai passé là.
											La première est que le thème récurrent
											des discussions que nous avions 
concernait les budgets des hôpitaux
											et la réduction des coûts,
											et la deuxième chose,
qui m'a vraiment dérangé,
											était que plusieurs des collègues
que j'ai rencontré,
											des anciens amis de la faculté de médecine,
											que je comptais parmi les personnes
les plus intelligentes,
											les plus motivées, les plus engagées, 
les plus passionnées
											que j'ai jamais croisées,
											étaient devenus cyniques, désengagés,
											ou avaient pris leurs distances 
par rapport à la direction de l'hôpital.
											Je me suis donc interrogé :
											en mettant l'accent sur la réduction des coûts,
est-ce que nous en oublions le patient ?
									",What doctors can learn from each other,Stefan Larsson,12:56,"health,health care,medical research,public health"
"
","
","
","
",What doctors can learn from each other,Stefan Larsson,12:56,"health,health care,medical research,public health"
"
											Muchos países que 
Uds. representan
											y de donde yo vengo
											luchan con el costo 
de la atención médica.
											Es una gran parte de 
los presupuestos nacionales.
											Y muchas diferentes reformas 
pretenden detener este crecimiento.
											En algunos países tenemos
largos tiempos de espera
											de los pacientes 
para una cirugía.
											En otros países, los nuevos 
medicamentos no son reembolsados,
											y por lo tanto no 
llegan a los pacientes.
											En varios países, 
los médicos y las enfermeras
											son blanco, en cierta medida, 
de los gobiernos.
											Después de todo, las decisiones 
costosas en la salud
											son tomadas por los médicos 
y las enfermeras.
											Uno es quien elige una prueba 
de laboratorio costosa,
											uno quien decide operar a 
un paciente viejo y frágil.
											Así, limitar el grado de 
libertad de los médicos,
											es una manera de 
mantener los costos bajos.
											Y en última instancia, 
algunos médicos dirán hoy
											que no tienen 
la plena libertad
											para tomar las decisiones que creen 
que son adecuadas para sus pacientes.
											Así que no es de extrañar
que algunos de mis colegas
											se sientan frustrados.
									","
											Sizin temsil ettiğiniz çoğu ülke,
											benim geldiğim yer de
dahil olmak üzere
											sağlık hizmetlerinin masrafıyla boğuşuyor.
											Bu masraflar milli bütçenin
büyük bir kısmını oluşturuyor.
											Birçok farklı yenilik de bu bütçenin
daha da artmasını engellemeyi amaçlıyor.
											Bazı ülkelerde, hastaların ameliyat için
											uzun bekleme süreleri var.
											Diğerlerinde, yeni ilaçları sigorta
karşılamıyor
											bu nedenle ilaçlar hastalara ulaşmıyor.
											Birkaç ülkede, doktor ve hemşireler
											bir ölçüde hükümetin hedefi olmuş durumda.
											Sonuçta, masraflı sağlık hizmetlerine
ait kararlar
											doktor ve hemşirelere ait.
											Pahalı bir laboratuvar testi seçiyorsunuz,
											yaşlı ve zayıf bir hastayı
ameliyat etmeyi seçiyorsunuz.
											Yani, hekimlerin özgürlüklerinin 
derecelerini kısıtlamak,
											masrafı azaltmanın bir yolu.
											Sonuç olarak da bazı hekimler
											hastaları için doğru olduğunu
düşündükleri seçimleri yapmakta
											özgür olmadıklarını söylüyorlar.
											Bu nedenle, bazı eski meslektaşlarımın
neden hayal kırıklığına
											uğramış olduklarına şaşmamalı.
									","
											Many countries that you represent
											and where I come from
											struggle with the cost of healthcare.
											It's a big part of the national budgets.
											And many different reforms aim
at holding back this growth.
											In some countries, we have long waiting times
											for patients for surgery.
											In other countries, new drugs
are not being reimbursed,
											and therefore don't reach patients.
											In several countries, doctors and nurses
											are the targets, to some extent, for the governments.
											After all, the costly decisions in health care
											are taken by doctors and nurses.
											You choose an expensive lab test,
											you choose to operate on an old and frail patient.
											So, by limiting the degrees of freedom of physicians,
											this is a way to hold costs down.
											And ultimately, some physicians will say today
											that they don't have the full liberty
											to make the choices they think
are right for their patients.
											So no wonder that some of my old colleagues
											are frustrated.
									","
											Les nombreux pays que vous représentez,
											comme celui d'où je viens,
											bataillent avec le coût des dépenses de santé.
											C'est une grande part des budgets nationaux.
											Et nombre de différentes réformes 
visent à freiner cette croissance.
											Dans certains pays, 
nous avons de longues listes d'attentes
											de patients pour la chirurgie.
											Dans d'autres pays, les nouveaux médicaments 
ne sont pas remboursés,
											et du coup ne bénéficient pas aux patients.
											Dans plusieurs pays, 
des médecins et des infirmières
											sont, dans une certaine mesure, 
des cibles pour leurs gouvernements.
											Après tout, les décisions coûteuses 
dans le domaine des soins
											sont prises par les médecins 
et les infirmières.
											On choisit d'utiliser
un test de laboratoire coûteux,
											on choisit d'opérer un patient âgé et fragile.
											Ainsi, limiter la marge de manœuvre
des médecins,
											est un moyen de limiter les coûts.
											En fin de compte, 
certains médecins diraient aujourd'hui
											qu'ils n'ont pas la liberté pleine et entière
											de faire les choix qu'ils trouvent bons
pour leurs patients.
											Il n'est donc pas étonnant
que certains de mes anciens collègues
											soient frustrés.
									",What doctors can learn from each other,Stefan Larsson,12:56,"health,health care,medical research,public health"
"
","
","
","
",What doctors can learn from each other,Stefan Larsson,12:56,"health,health care,medical research,public health"
"
											En BCG [Boston Consulting 
Group], seguimos esto,
											y nos decimos que
											esta no puede ser la forma 
correcta de gestionar la salud.
											Dimos un paso 
atrás y dijimos:
											""¿Qué es lo que estamos 
tratando de lograr?""
											A la larga, en 
el sistema sanitario,
											buscamos mejorar 
la salud de los pacientes,
											y tenemos que hacerlo 
con un limitado,
											o asequible, costo.
											Lo llamamos, atención 
sanitaria basada en valores.
											En la pantalla detrás de mí, 
ven lo que queremos decir
											por valor:
											resultados que son importantes 
para los pacientes
											en relación con el dinero 
que gastamos.
											Esto fue bellamente descrito 
en un libro de 2006
											de Michael Porter y 
Elizabeth Teisberg.
									","
											BCG'de buna baktık
											ve kendimize sağlık
hizmetlerini yönetmenin
											doğru biçiminin bu olup
olmadığını sorduk.
											Bir adım geri atıp şöyle dedik:
											""Bizim ulaşmaya çalıştığımız şey ne?""
											En sonunda, sağlık hizmeti sektöründe,
											hastanın sağlığını
iyileştirmeyi hedefliyoruz
											ve bunu da uygun, kısıtlı bir bütçede
											yapmalıyız.
											Buna değere-dayanan
sağlık hizmeti diyoruz.
											Arkamdaki ekranda, değer derken
											neyi kastettiğimizi görüyorsunuz:
											Hastaya önemli olan sonucun
											harcadığımız paraya göre değişimi.
											Bu, 2006'da Michael Poter ve
Elizabeth Teisberg'in yazdığı
											bir kitapta güzelce anlatılmıştı.
									","
											At BCG, we looked at this,
											and we asked ourselves,
											this can't be the right way of managing healthcare.
											And so we took a step back and we said,
											""What is it that we are trying to achieve?""
											Ultimately, in the healthcare system,
											we're aiming at improving health for the patients,
											and we need to do so at a limited,
											or affordable, cost.
											We call this value-based healthcare.
											On the screen behind me, you see what we mean
											by value:
											outcomes that matter to patients
											relative to the money we spend.
											This was described beautifully in a book in 2006
											by Michael Porter and Elizabeth Teisberg.
									","
											Au BCG, nous avons examiné tout cela,
											et nous nous sommes demandé
											si c'était vraiment la bonne façon
de gérer les soins de santé.
											Nous avons pris un peu de recul 
et nous nous sommes dit :
											« Que cherchons-nous à atteindre ? »
											En fin de compte,
dans le système de santé,
											nous visons à améliorer
la santé des patients,
											et nous devons le faire à coût réduit,
											ou du moins abordable.
											Nous appelons cela 
soin de santé axé sur la valeur.
											Sur l'écran derrière moi, 
vous voyez ce que nous entendons
											par valeur :
											les résultats qui comptent
pour les patients
											par rapport à l'argent
que nous dépensons.
											Ça a été magnifiquement décrit 
en 2006 dans un livre
											par Michael Porter et Elizabeth Teisberg.
									",What doctors can learn from each other,Stefan Larsson,12:56,"health,health care,medical research,public health"
"
","
","
","
",What doctors can learn from each other,Stefan Larsson,12:56,"health,health care,medical research,public health"
"
											En esta foto, 
tienen a mi suegro
											rodeado de 
sus tres hermosas hijas.
											Cuando empezamos a hacer 
nuestra investigación en BCG,
											decidimos no buscar 
tanto en los costos,
											sino mirar en 
cambio, la calidad,
											y en la investigación, 
una de las cosas
											que vimos que nos asombró 
fue la variación observada.
											Uno compara 
los hospitales de un país,
											y encuentra algunos 
que son muy buenos,
											pero encuentra un gran número 
que son infinitamente peores.
											Las diferencias fueron drásticas.
											Erik, mi suegro,
											sufre de cáncer de próstata,
											y probablemente 
necesite cirugía.
											Ahora como vive en Europa, 
puede elegir ir a Alemania
											que tiene un sistema de 
salud de buena reputación.
											Si va allí y va 
al hospital promedio,
											tiene un riesgo de 
incontinencia de
											aproximadamente el 50 %,
											por lo que tendría que comenzar
a usar pañales otra vez.
											Es lanzar una moneda. 
50 % de riesgo es alto.
											Si en cambio va a Hamburgo,
											y a una clínica 
llamada Martini-Klinik,
											el riesgo sería 
de solo 1 en 20.
											Es, o lanzar una moneda
											o tener un riesgo 
de 1 en 20.
											Es una gran diferencia, 
una diferencia de 7 veces.
											Cuando nos fijamos 
en muchos hospitales
											para muchas 
enfermedades diferentes,
											vimos estas enormes diferencias.
									","
											Bu resimde, kayınpederimi görüyorosunuz
											etrafında da üç güzel kızını.
											BCG'de araştırmamıza ilk başladığımızda
											masrafa çok da bakmamaya karar vermiştik,
											onun yerine kaliteye bakacaktık
											ve araştırmada bizi
şaşırtan şeylerden biri
											gördüğümüz çeşitlilikti.
											Bir ülkedeki hastaneleri
karşılaştırdığınızda
											bazılarının çok iyi
olduklarını görürsünüz,
											ama büyük çoğunluğun da
çok daha kötü olduğunu görürsünüz.
											Farklar inanılmazdı.
											Erik, kayınpederim,
											prostat kanseri
											ve muhtemelen ameliyata ihtiyacı var.
											Avrupa'da yaşadığı için
sağlık hizmetinde iyi bir üne sahip
											Almanya'ya gitmeyi seçebilir.
											Orada ortalama bir hastaneye giderse,
											%50 riskle idrarını tutamayacak
											hale gelecek
											böylece yeniden bez
takmak zorunda kalacak.
											Yazı tura atmaktan farksız.
%50 risk. Bu, biraz fazla.
											Onun yerine Hamburg'taki
											Martini-Klinik adındaki kliniğe gitse
											riski 20'de 1'e inecek.
											Ya yazı tura atarsınız
											ya da 20'de 1 riskiniz olur.
											Bu büyük bir fark, yedi kat bir fark.
											Çoğu hastaneye baktığımızda
											birçok farklı hastalık için,
											bu büyük farkları görüyoruz.
									","
											On this picture, you have my father-in-law
											surrounded by his three beautiful daughters.
											When we started doing our research at BCG,
											we decided not to look so much at the costs,
											but to look at the quality instead,
											and in the research, one of the things
											that fascinated us was the variation we saw.
											You compare hospitals in a country,
											you'll find some that are extremely good,
											but you'll find a large number
that are vastly much worse.
											The differences were dramatic.
											Erik, my father-in-law,
											he suffers from prostate cancer,
											and he probably needs surgery.
											Now living in Europe, he can
choose to go to Germany
											that has a well-reputed healthcare system.
											If he goes there and goes to the average hospital,
											he will have the risk of becoming incontinent
											by about 50 percent,
											so he would have to start wearing diapers again.
											You flip a coin. Fifty percent risk. That's quite a lot.
											If he instead would go to Hamburg,
											and to a clinic called the Martini-Klinik,
											the risk would be only one in 20.
											Either you a flip a coin,
											or you have a one in 20 risk.
											That's a huge difference, a seven-fold difference.
											When we look at many hospitals
											for many different diseases,
											we see these huge differences.
									","
											Sur cette photo, vous avez mon beau-père
											entouré de ses trois ravissantes filles .
											Quand nous avons commencé
nos recherches au BCG,
											nous avons décidé de ne pas trop
regarder les coûts,
											mais de nous intéresser plutôt à la qualité,
											et dans nos recherches,
											l'une des choses qui nous ont fascinées 
ont été les disparités que nous avons vues.
											Vous comparez des hôpitaux d'un pays,
											vous en trouverez certains qui sont très bons,
											mais vous trouverez un grand nombre 
qui sont bien plus mauvais.
											Ces écarts étaient spectaculaires.
											Erik, mon beau-père,
											souffre d'un cancer de la prostate,
											et il a probablement besoin d'une opération.
											Il vit aujourd'hui en Europe,
il peut donc choisir de se rendre en Allemagne,
											qui a un système de santé réputé.
											S'il va là-bas dans l'hôpital de base,
											il court un risque d'environ 50 %
											de devenir incontinent,
											il devrait alors
recommencer à porter des couches.
											C'est pile ou face.
Un risque de cinquante pour cent. C'est beaucoup.
											Si au contraire il allait à Hambourg,
											dans une clinique appelé ""Martini-Klinik"",
											le risque serait seulement de 1 sur 20.
											D'un côté, c'est pile ou face,
											de l'autre vous avez un risque de 1 sur 20.
											C'est une énorme différence, 
une différence de facteur sept.
											Quand on examine de nombreux hôpitaux
											pour de nombreuses maladies différentes ,
											on voit ces énormes écarts.
									",What doctors can learn from each other,Stefan Larsson,12:56,"health,health care,medical research,public health"
