es,tr,fr,de,title,speaker,duration,tags
"
","
","
","
",How the Internet enables intimacy,Stefana Broadbent,8:51,"anthropology,humanity,love,psychology,social media,society,sociology,technology"
"
											Creo que hay nuevas tensiones ocultas
											que en realidad están sucediendo entre personas e instituciones —
											instituciones que son las instituciones que la gente
											habita en su vida diaria:
											colegios, hospitales, lugares de trabajo,
											fábricas, oficinas, etc.
											Y algo que veo suceder
											es algo que me gustaría llamar
											una especie de ""democratización de la intimidad.""
											¿Y qué quiero decir con esto?
											Quiero decir que lo que la gente está haciendo
											es, de hecho, están en cierta forma, con sus canales de comunicación,
											rompiendo con el aislamiento impuesto
											que estas instituciones están imponiendo en ellos.
											¿Cómo están haciendo esto? Lo están haciendo
											de una manera muy simple, llamando a su madre del trabajo,
											por Mensajes Instantáneos desde su oficina a sus amigos,
											por mensajes de texto debajo del escritorio.
											Las fotos que ven detrás de mí
											son de personas que visité en los últimos meses.
											Y les pedí que vinieran con la persona que más se comunican
											Y alguien trajo a su novio, alguien a su padre.
											Una mujer joven trajo a su abuelo.
											Por 20 años, he estado observando la manera en que las personas usan
											canales como el email, el teléfono móvil, mensajes de texto, etc.
											Lo que realmente vamos a ver es que, fundamentalmente,
											las personas se comunican de manera regular
											con cinco, seis, siete, de su más íntima esfera.
											Ahora, tomemos algunos datos. Facebook.
											Recientemente algunos sociólogos de Facebook —
											Facebook es el canal que ustedes esperarían
											es el más expansible de todos los canales.
											Y el usuario promedio,
											dijo Cameron Marlow,
											de Facebook, tiene alrededor de 120 amigos.
											Pero realmente habla con,
											tiene intercambios bidireccionales con alrededor de cuatro o seis personas
											de manera regular, dependiendo de su género.
											La investigación académica sobre mensajes instantáneos
											también muestra 100 personas en las listas de amigos,
											pero fundamentalmente las personas chatean con dos, tres, cuatro —
											en todo caso, menos de cinco.
											Mi propia investigación sobre celulares y llamadas de voz
											muestra que 80 por ciento de las llamadas
											son realmente hechas a cuatro personas. 80 por ciento.
											Y cuando ustedes miran Skype, baja a dos personas.
											Muchos sociólogos están bastante decepcionados.
											Quiero decir, yo he estado un poco decepcionada algunas veces
											cuando vi estos datos y este despliegue, por solo cinco personas.
											Y algunos sociólogos realmente sienten que
											es un cerramiento, un encapsulamiento
											que nos estamos desconectando del público.
											Y yo quisiera, me gustaría mostrarles que
											si realmente miramos a quienes lo están haciendo,
											y desde donde lo están haciendo,
											realmente hay una increíble transformación social.
											Hay tres historias que me parecen bastante buenos ejemplos.
											El primer caballero, es un panadero.
											Y comienza a trabajar cada mañana a las cuatro de la madrugada.
											Y alrededor de las ocho él abandona sigilosamente su horno,
											se limpia sus manos de la harina,
											y llama a su esposa.
											El sólo quiere desearle un buen día, porque ese es el comienzo de su día.
											Y he escuchado esta historia muchas veces.
											El joven trabajador de una fábrica que trabaja el turno de noche.
											que logra abandonar sigilosamente el piso de la fábrica,
											donde hay CCTV por casualidad,
											y encuentra una esquina, donde a las 11 de la noche
											puede llamar a su novia y sencillamente decirle buenas noches.
											O la madre que, a las cuatro,
											de repente logra encontrar una esquina en el baño
											para chequear que sus hijos están seguros en el hogar.
											Y entonces hay otra pareja, hay una pareja brasileña.
											Han vivido en Italia durante muchos años.
											Se conectan con Skype con sus familias algunas veces a la semana.
											Pero cada dos semanas, ponen el computador sobre la mesa del comedor.
											sacan la webcam y realmente cenan
											con su familia en Sao Paulo. Y hacen un gran evento de esto.
											Y escuché esta historia por primera vez hace un par de años
											de una familia muy modesta
											de inmigrantes de Kosovo en Suiza.
											Habían organizado una pantalla grande en la sala de estar.
											Y cada mañana desayunaban con su abuela.
											Pero Danny Miller, quien es un muy buen antropólogo
											que está trabajando con mujeres emigrantes de las Filipinas
											que dejan sus hijos atrás en las Filipinas,
											me estaba contando cuánto cuidan de sus hijos
											a través de Skype,
											y cuánto estas madres se ocupan de sus hijos a través de Skype.
											Y luego hay esta tercera pareja. Son dos amigos.
											Ellos chatean entre ellos cada día, varias veces al día realmente,
											Y finalmente lograron poner
											mensajería instantánea en sus computadores del trabajo.
											Y ahora, obviamente, la tienen abierta.
											Cuando tienen algún momento chatean entre ellos,
											Y esto es exactamente lo que hemos visto
											con adolescentes y niños que lo hacen en el colegio, debajo de la mesa,
											y enviando mensajes de texto debajo de la mesa a sus amigos.
											entonces, ninguno de estos casos es único.
											quiero decir, les podría mencionar cientos de ellos.
											Pero lo que es realmente excepcional es el entorno.
											Entonces, piensen en estos tres entornos de los que les he hablado:
											la fábrica, la migración, la oficina.
											Pero podría ser en el colegio, podría ser una administración,
											puede ser un hospital.
											Tres entornos que, si retrocedemos 15 años,
											si piensan 15 años atrás,
											cuando ingresaban el tiempo de entrada,
											cuando ingresaban el tiempo de entrada a la oficina,
											cuando ingresaban el tiempo de entrada a la fábrica,
											no había contacto durante todo el periodo de tiempo,
											no había contacto con su esfera privada.
											Si tenía suerte había un teléfono público colgado en el corredor o en alguna parte.
											Si usted estaba en la gerencia, ah, esa era otra historia.
											Tal vez tuviera una línea directa.
											Si no la tenía, tal vez tuviera que llamar a través de una operadora.
											Pero básicamente, cuando usted caminaba dentro de esos edificios,
											la esfera privada quedaba atrás.
											Y esto se ha convertido en una norma en nuestra vida profesional,
											una norma y una expectativa.
											Y no tuvo nada que ver con capacidad técnica.
											Los teléfonos estaban ahí. Pero la expectativa era que una vez te movías ahí
											tu compromiso era totalmente con la tarea a cargo,
											totalmente con la gente a tu alrededor.
											Eso era donde el foco debía estar.
											Y esto se ha convertido en tal norma cultural
											que realmente enseñamos a nuestros hijos para que sean capaces de hacer esta división.
											Si lo piensan la guardería, el jardín infantil, los primeros años de colegio
											están sólo dedicados a apartar los niños,
											para acostumbrarlos a permanecer largas horas lejos de la familia.
											Y luego el colegio promulga perfectamente bien,
											imita perfectamente todos los rituales que empezarán en las oficinas,
											rituales de entrada, rituales de salida,
											los horarios, los uniformes en este país,
											cosas que lo identifican, actividades de creación en grupo,
											creación en grupo que le permitirá básicamente
											estar con un grupo al azar de niños, o un grupo al azar de personas
											con los que tendrá que estar por un período de tiempo.
											Y por supuesto, lo más importante:
											aprender a prestar atención
											a concentrarse y a enfocar su atención.
											Esto solo comenzó alrededor de hace 150 años.
											Solo comenzó con el nacimiento de la burocracia moderna,
											y de la revolución industrial.
											Cuando las personas básicamente tenían que ir a otro lugar a trabajar
											y desempeñar el trabajo.
											Y luego con la burocracia moderna hubo un enfoque muy racional,
											donde había una clara distinción entre la esfera privada
											y la esfera pública.
											Entonces, hasta ese momento, las personas básicamente vivían encima de sus oficios,
											Vivían encima de la tierra que estaban trabajando.
											Vivian encima de los talleres donde estaban trabajando.
											Y si lo piensan, esto ha inflitrado toda nuestra cultura,
											hasta nuestras ciudades.
											Si piensan en ciudades medievales, los municipios
											todos tienen los nombres de gremios y profesiones que vivieron ahí.
											Ahora tenemos suburbios residenciales dispersos
											que son bien distintos de las áreas de producción
											y áreas comerciales.
											Y realmente, a lo largo de estos 150 años,
											ha existido un sistema de clases bien claro que también ha emergido.
											Así que entre más bajo el nivel del empleo
											y el de la persona realizándolo, más distante
											estará de su esfera personal.
											Las personas han tomado esta sorprendente posibilidad
											de realmente estar en contacto a lo largo de todo el día
											o en todo tipo de situaciones.
											Y lo están haciendo de manera masiva.
											El Instituto Pew, que genera buena información
											con regularidad, por ejemplo, en los Estados Unidos,
											dice que — y pienso que este número es conservador —
											el 50 por ciento de personas que tiene acceso al email en el trabajo,
											está realmente haciendo email privado desde su oficina.
											Yo realmente pienso que este número es conservador.
											En mi propia investigación, vimos que el pico para email privado
											es realmente a las 11 de la mañana, en cualquier país,
											75 por ciento de las personas admiten hacer conversaciones
											privadas desde el trabajo en sus teléfonos móviles.
											100 por ciento están usando mensajes de texto.
											El punto es que esta reapropiación de la esfera personal
											no es demasiado exitosa con todas las instituciones.
											Siempre me ha sorprendido que los sociólogos del Ejército de EE.UU.
											están discutiendo el impacto
											por ejemplo, de los soldados en Iraq
											que tienen contacto diario con sus familias.
											Pero hay muchas instituciones que están realmente bloqueando este acceso.
											Y cada día, todos los días,
											leo noticias que me dan vergüenza,
											como la multa de 15 dólares
											a niños en Texas,
											por usar, cada vez que sacaban su teléfono móvil en el colegio.
											Despido inmediato a conductores de bus en Nueva York,
											si son vistos con un teléfono móvil en la mano.
											Compañías que bloquean acceso a IM o a Facebook.
											Detrás de temas de seguridad y protección,
											que siempre han sido los argumentos de control social,
											de hecho lo que está sucediendo es que
											estas instituciones están tratando de decidir
											quién, de hecho, tiene el derecho de autodeterminar su atención,
											de decidir, si deberían o no estar aislados.
											Y realmente están tratando de bloquear, de cierta manera,
											este movimiento de una mayor posibilidad de intimidad.
									","
											İnsanlar ve kurumlar arasında yeni ve gizli
											bir gerilim olduğuna inanıyorum—
											kurumlar insanların günlük hayatlarını
											geçirdikleri kuruluşlardır:
											okullar, hastaneler, işyerleri,
											fabrikalar, ofisler, gibi.
											Ve bir şeylerin daha olduğunu görüyorum
											ben buna bir çeşit
											""samimiyetin demokratikleştirilmesi"" demek isterim.
