en,de,tr,es,fr,pt,title,speaker,duration,tags
"
","
","
","
","
","
",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
											I want to tell you a story about a girl.
											But I can't tell you her real name.
											So let's just call her Hadiza.
									","
											Ich möchte Ihnen die Geschichte
von einem Mädchen erzählen.
											Aber ich kann Ihnen
ihren Namen nicht sagen.
											Also nennen wir sie einfach Hadiza.
									","
											Size bir kızın
hikâyesini anlatmak istiyorum.
											Fakat gerçek adını söyleyemiyorum.
											Ona Hadiza diyelim.
									","
											Quiero contarles una historia
sobre una chica.
											Pero no puedo decirles
su verdadero nombre.
											Así que vamos a llamarla Hadiza.
									","
											Je veux vous raconter l'histoire 
d'une fille.
											Mais je ne peux pas vous dire 
son vrai nom.
											Appelons-la Hadiza.
									","
											Vou contar a história de uma rapariga
											mas não posso dizer o nome dela.
											Por isso, chamemos-lhe Hadiza.
									",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
","
","
","
","
","
",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
											Hadiza is 20.
											She's shy,
											but she has a beautiful smile
that lights up her face.
											But she's in constant pain.
											And she will likely be on medication
for the rest of her life.
									","
											Hadiza ist 20 Jahre alt.
											Sie ist schüchtern,
											aber sie hat ein wunderschönes Lächeln,
das ihr Gesicht erhellt.
											Aber sie hat ständig Schmerzen.
											Sie wird vermutlich ihr ganzes Leben
lang Medikamente nehmen müssen.
									","
											Hadiza 20 yaşında.
											Utangaç,
											fakat yüzünü aydınlatan güzel bir
gülümsemeye sahip.
											Fakat durmadan acı çekiyor.
											Muhtemelen yaşamının
geri kalanını da tedaviyle geçirecek.
									","
											Hadiza tiene 20 años.
											Es tímida,
											pero tiene una hermosa sonrisa
que ilumina su rostro.
											Pero tiene dolores constantemente
											y probablemente tomará medicación
por el resto de su vida.
									","
											Hadiza a 20 ans.
											Elle est timide,
											mais elle a un beau sourire
qui lui illumine le visage.
											Mais elle souffre en permanence.
											Et elle sera probablement 
sous médicaments le reste de sa vie.
									","
											Hadiza tem 20 anos.
											É tímida.
											mas tem um sorriso lindo
que lhe ilumina o rosto.
											Está em constante sofrimento.
											Provavelmente, viverá com medicamentos
até ao fim da vida.
									",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
","
","
","
","
","
",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
											Do you want to know why?
											Hadiza is a Chibok girl,
											and on April 14, 2014, she was kidnapped
											by Boko Haram terrorists.
											She managed to escape, though,
											by jumping off the truck
that was carrying the girls.
											But when she landed,
she broke both her legs,
											and she had to crawl on her tummy
to hide in the bushes.
											She told me she was terrified
that Boko Haram would come back for her.
											She was one of 57 girls who would escape
by jumping off trucks that day.
									","
											Wollen Sie wissen, warum?
											Hadiza kommt aus Chibok
											und am 14. April 2014
											wurde sie von Boko-Haram-
Terroristen entführt.
											Jedoch gelang ihr die Flucht,
											indem sie vom LKW sprang,
der die Mädchen transportierte.
											Aber bei der Landung
brach sie sich beide Beine
											und musste auf ihrem Bauch hinter die
Büsche kriechen, um sich zu verstecken.
											Sie erzählte mir, sie hatte Angst,
Boko Haram würde wegen ihr zurückkommen.
											Sie war eines von 57 Mädchen,
die an diesem Tag vom LKW sprangen.
									","
											Neden biliyor musunuz?
											Hadiza Chibok'lu bir kız
											ve 14 Nisan 2014'de, Boko Haram
											teröristleri tarafından kaçırıldı.
											Fakat, kızları taşıyan kamyondan
											atlayarak, kaçmayı başardı.
											Yere düştüğünde, her iki
bacağını da kırdı ve çalılıklarda
											saklanmak için karnı
üzerinde sürüklenmek zorunda kaldı.
											Boko Haram'ın onun için
geri dönmesinden korktuğunu söyledi.
											O gün kamyondan
atlayarak kaçan 57 kızdan birisi oydu.
									","
											¿Quieren saber por qué?
											Hadiza es una chica de Chibok,
											y el 14 de abril de 2014, fue secuestrada
											por los terroristas de Boko Haram.
											Logró escapar, sin embargo,
											saltando del camión
que llevaba a las chicas.
											Pero al saltar, se quebró ambas piernas
											y tuvo que gatear cuerpo a tierra
para esconderse en los arbustos.
											Me dijo que estaba aterrorizada
de que Boko Haram regresara a por ella.
											Ella era una de 57 muchachas que
escaparían saltando de los coches ese día.
									","
											Vous voulez savoir pourquoi ?
											Hadiza vient de Chibok,
											et le 14 avril 2014, elle a été enlevée
											par des terroristes de Boko Haram.
											Elle a réussi à s'enfuir,
											en sautant du camion 
qui transportait les filles.
											Mais elle s'est cassé les deux jambes
en tombant,
											et elle a dû ramper sur son ventre
pour se cacher dans les buissons.
											Elle m'a dit que l'idée que Boko Haram 
revienne la chercher la terrifiait.
											Elle était une des 57 filles à avoir sauté
du camion ce jour-là.
									","
											Querem saber porquê?
											Hadiza é uma rapariga de Chibok.
											No dia 24 de abril de 2014, foi raptada
											por terroristas Boko Haram.
											Mas conseguiu fugir,
											saltando do camião
que transportava as raparigas.
											Quando caiu, partiu as duas pernas
											e teve que rastejar
para se esconder nos arbustos.
											Contou-me que estava cheia de medo
que os Boko Haram a fossem procurar.
											Foi uma das 57 raparigas que fugiram
saltando dos camiões, naquele dia.
									",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
","
","
","
","
","
",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
											This story, quite rightly, caused ripples
											around the world.
											People like Michelle Obama,
Malala and others
											lent their voices in protest,
											and at about the same time —
I was living in London at the time —
											I was sent from London to Abuja
to cover the World Economic Forum
											that Nigeria was hosting
for the first time.
											But when we arrived, it was clear
that there was only one story in town.
											We put the government under pressure.
											We asked tough questions
about what they were doing
											to bring these girls back.
											Understandably,
											they weren't too happy
with our line of questioning,
											and let's just say we received
our fair share of ""alternative facts.""
									","
											Diese Geschichte hat aus gutem Recht
auf der ganzen Welt Wellen geschlagen.
											Menschen wie Michelle Obama,
Malala und andere
											haben ihrem Unmut Ausdruck verliehen,
											und ungefähr zurselben Zeit —
Ich lebte gerade in London —
											wurde ich nach Abuja geschickt, um über
das Weltwirtschaftsforum zu berichten,
											das Nigeria zum allerersten Mal abhielt.
											Aber als wir ankamen, wurde klar, dass
es nur eine Geschichte zu berichten gab.
											Wir setzten die Regierung unter Druck.
											Wir haben schwierige Fragen
über ihr Handeln gestellt,
											um die Mädchen zurückzubringen.
											Verständlicherweise
											waren sie über unsere Fragen
nicht sehr glücklich,
											und sagen wir mal so, wir bekamen
unseren Anteil an ""alternativen Fakten"".
									","
											Bu hikâye, haklı olarak, dünya çapında
											ses getirdi.
											Michelle Obama, Malala ve
diğerleri gibi insanlar protestolarda
											seslerini yükselttiler ve o zamanlar
											— olay zamanı Londra'da
yaşıyordum — Londra'dan Abuja'ya,
											Nijerya'nın ilk kez ev sahipliği
yaptığı Dünya Ekonomik Forumu'nda
											görev almak için gönderilmiştim.
											Oraya vardığımda, şehirde
yalnızca bir hikâyenin dolaştığı açıktı.
											Devleti baskı altında bıraktık.
											O kızları geri getirmek
için ne yaptıklarına dair
											sert sorular sorduk.
											Anlaşıldığı üzere,
											soru yağmurumuz
onları memnun etmemişti ve
											""alternatif gerçekler""
payımızı aldık diyelim.
									","
											Esta historia, con razón, causó
un escándalo en todo el mundo.
											Personas como Michelle Obama, Malala
y otros levantaron sus voces en protesta,
											y casi al mismo tiempo...
yo estaba en Londres en ese momento...
											Me enviaron de Londres a Abuja
para cubrir el Foro Económico Mundial
											que Nigeria estaba organizando
por primera vez.
											Pero cuando llegamos, estaba claro
que solo había una historia en la ciudad.
											Presionamos al gobierno,
hicimos preguntas difíciles
											sobre lo que estaban haciendo
para traer de vuelta a estas chicas.
											Comprensiblemente,
											no estaban demasiado felices
con nuestra línea de preguntas,
											y digamos que recibimos
una buena parte de ""hechos alternativos"".
									","
											Cette histoire, assez justement, 
a fait des vagues
											à travers le monde.
											Michelle Obama, Malala,
et d'autres personnalités
											ont prêté leurs voix en protestation,
											et pendant ce temps —
je vivais à Londres à ce moment-là —
											j'ai été envoyée de Londres à Abuja
pour couvrir le Forum économique mondial
											que le Nigéria accueillait 
pour la première fois.
											Mais quand nous sommes arrivés,
une seule actualité s'imposait.
											Nous avons fait pression
sur le gouvernement,
											Nous les avons questionnés sans relâche

											sur ce qu'ils faisaient 
pour ramener ces filles.
											Bien entendu,
											ils n'aimaient pas trop nos questions,
											et disons juste que nous avons reçu
une bonne dose de « faits alternatifs ».
									","
											Esta história, com toda a razão,
provocou repercussões no mundo inteiro.
											Pessoas como Michele Obama,
Malala e outras
											levantaram a voz, em protesto.
											Mais ou menos nessa altura
— eu vivia em Londres —
											fui enviada de Londres para Abuja
											para fazer a cobertura
do Fórum Económico Mundial
											que se realizava na Nigéria,
pela primeira vez.
											Quando lá cheguei, era notório
que só havia uma notícia na cidade.
											Exercemos pressão sobre o governo.
											Fizemos perguntas incómodas:
											""O que é que estão a fazer
para ir buscar essas raparigas?""
											Compreensivelmente,
											eles não ficaram nada satisfeitos
com a nossa linha de perguntas
											e digamos apenas que recebemos
o nosso quinhão de ""factos alternativos"".
									",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
","
","
","
","
","
",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
											(Laughter)
									","
											(Lachen)
									","
											(Gülüşmeler)
									","
											(Risas)
									","
											(Rires)
									","
											(Risos)
									",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
","
","
","
","
","
",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
											Influential Nigerians
were telling us at the time
											that we were naïve,
											we didn't understand
the political situation in Nigeria.
											But they also told us
											that the story of the Chibok girls
											was a hoax.
											Sadly, this hoax narrative has persisted,
											and there are still people
in Nigeria today
											who believe that the Chibok girls
were never kidnapped.
											Yet I was talking to people like these —
											devastated parents,
											who told us that on the day
Boko Haram kidnapped their daughters,
											they ran into the Sambisa Forest
after the trucks carrying their daughters.
											They were armed with machetes,
but they were forced to turn back
											because Boko Haram had guns.
									","
											Einflussreiche Nigerianer erzählten uns,
											wir seien naiv,
											dass wir die politische Situation
in Nigeria nicht verstehen würden.
											Aber sie erzählten uns auch,
											dass die Geschichte der Mädchen aus Chibok
											eine Falschmeldung wäre.
											Traurigerweise hatte
diese Falschmeldung Bestand
											und bis heute gibt es Menschen in Nigeria,
											die glauben, dass die Mädchen
aus Chibok nie entführt wurden.
											Trotzdem sprach ich
mit Menschen wie diesen —
											verzweifelte Eltern,
											die uns erzählten, dass an dem Tag,
als Boko Haram ihre Töchter mitnahm,
											sie den LKWs mit ihren Töchtern
bis in den Sambisa-Wald nachliefen.
											Sie waren mit Macheten bewaffnet,
aber dennoch gezwungen umzukehren,
											denn Boko Haram hatte Gewehre.
									","
											Etkili Nijeryalılar bizlerin toy olduğunu,
											Nijerya'daki politik durumu
											anlamadığımızı söylüyorlardı.
											Ayrıca bize Chibok kızları
											hikâyesinin sahte haber olduğunu da
											söylediler.
											Ne yazık ki bu sahte anlatı devam etti
											ve bugün Nijerya'da
Chibok kızlarının aslında
											hiç kaçırılmadığına
hâlâ inanan insanlar var.
											Oysa tersini söyleyen
insanlarla konuştum —
											Boko Haram kızlarını
											kaçırdığı gün, kızlarını taşıyan
kamyonların ardından
											Sambisa ormanına koştuklarını anlatan,
harap edilmiş aileler.
											Palaları varmış, fakat
Boko Haram'ın silahları olduğundan,
											geri dönmeye zorlanmışlar.
									","
											Nigerianos influyentes nos estaban
diciendo que éramos ingenuos,
											que no entendíamos
la situación política en Nigeria.
											Pero también nos dijeron
											que la historia de las chicas de Chibok
											era una broma.
											Tristemente, esta teoría
del engaño ha persistido,
											y todavía hay gente en Nigeria hoy
											que cree que las chicas de Chibok
nunca fueron secuestradas.
											Sin embargo, estaba hablando
con personas como estas
											- padres devastados -
											que nos decían que el día que
Boko Haram secuestró a sus hijas,
											siguieron por el bosque
de Sambisa a los camiones
											que se llevaron a sus hijas.
											Estaban armados con machetes,
											pero se vieron obligados a retroceder
porque Boko Haram tenía armas de fuego.
									","
											D'influents Nigérians nous disaient 
à l'époque
											que nous étions naïfs,
											que nous ne comprenions pas 
la situation politique au Nigeria.
											Mais ils nous disaient aussi
											que l'histoire des filles de Chibok
											était un canular.
											Malheureusement, ce soupçon
de canular perdure
											et il y a encore 
des gens au Nigeria aujourd'hui
											qui croient que les filles de Chibok 
n'ont jamais été kidnappées.
											Et pourtant je parlais 
à des gens comme ceux-ci —
											des parents dévastés,
											qui nous disaient que le jour
où Boko Haram a kidnappé leurs filles,
											ils ont couru derrière les camions avec
leurs filles à travers la forêt Sambisa.
											Ils étaient armés de machettes,
mais ils ont été obligés d'abandonner
											parce que Boko Haram avait des fusils.
									","
											Nigerianos influentes 
estavam sempre a dizer-nos
											que éramos ingénuos,
											que não percebíamos
a situação política na Nigéria.
											Mas também nos diziam
											que a história das raparigas Chibok
											era uma mistificação.
											Infelizmente, esta ideia
de narrativa falsa manteve-se
											e ainda hoje há pessoas na Nigéria
											que acreditam que as raparigas de Chibok
nunca foram raptadas.
											Porém, eu falei com pessoas como estas
											— pais destroçados —
											que nos disseram que, no dia
em que os Boko Haram raptaram as filhas,
											correram à floresta Sambisa,
atrás dos camiões que levavam as filhas.
											Estavam armados de catanas
mas foram forçados a recuar
											porque os Boko Haram tinham espingardas.
									",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
","
","
","
","
","
",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
											For two years, inevitably,
the news agenda moved on,
											and for two years,
											we didn't hear much
about the Chibok girls.
											Everyone presumed they were dead.
											But in April last year,
											I was able to obtain this video.
											This is a still from the video
											that Boko Haram filmed as a proof of life,
											and through a source,
I obtained this video.
											But before I could publish it,
											I had to travel
to the northeast of Nigeria
											to talk to the parents, to verify it.
											I didn't have to wait
too long for confirmation.
											One of the mothers,
when she watched the video, told me
											that if she could have reached
into the laptop
											and pulled our her child from the laptop,
											she would have done so.
											For those of you who are parents,
like myself, in the audience,
											you can only imagine the anguish
											that that mother felt.
									","
											Das Nachrichtenprogramm lief
unweigerlich zwei Jahre lang weiter,
											Zwei Jahre lang
											haben wir nicht viel über
die Mädchen aus Chibok gehört.
											Jeder nahm an, sie wären tot.
											Aber im April letztes Jahres
											kam ich an dieses Video.
											Dies ist ein Standbild aus dem Video,
											das Boko Haram als Lebensbeweis filmte,
											und, über eine Quelle,
gelang ich an das Video.
											Aber bevor ich es publik machen konnte,
											musste ich in den Nordosten
von Nigeria reisen
											um mit den Eltern zu sprechen
und es gegenzuprüfen.
											Ich musste nicht lange
auf die Bestätigung warten.
											Eine der Mütter sagte mir,
als sie das Video sah:
											Wenn sie in den Laptop hinein greifen
											und ihr Kind herausziehen könnte,
											hätte sie es getan.
											Für die von Ihnen,
die wie ich Eltern sind,
											können sich den Schmerz nur vorstellen,
											den diese Mutter gefühlt hat.
									","
											Haber gündemi iki yıl
boyunca kaçınılmaz olarak değişti
											ve iki yıl boyunca
											Chibok kızları hakkında
çok fazla şey duymadık.
											Herkes öldüklerini düşündü.
											Fakat geçen sene Nisan'da
											bu video elime geçti.
											Bu, Boko Haram'ın kızların
											yaşam kanıtı olarak çektiği
bir videonun görüntüsü
											ve bir kaynaktan bu videoyu edindim.
											Yayınlamadan önce, ailelerle
											konuşup doğrulamak için,
Nijerya'nın kuzeydoğusuna
											seyahat etmem gerekti.
											Onay için uzun süre beklememeliydim.
											Annelerden birisi videoyu
izlediğinde bana bilgisayarın
											içerisine ulaşıp çocuğunu oradan
											çekip alabilecek olsa,
											bunu yapacağını söyledi.
											Seyirciler arasında
benim gibi ebeveyn olanlar,
											bu annenin hissettiği ızdırabı
											yalnızca hayal edebilirler.
									","
											Durante dos años, inevitablemente,
la agenda del día fue cambiando
											y durante dos años,
											no supimos mucho sobre las chicas de Chibok.
											Todos supusieron que estaban muertas.
											Pero en abril del año pasado,
											pude obtener este video.
											Esta es una foto del video
											que Boko Haram filmó
como una prueba de vida,
											y a través de una fuente,
he obtenido este video.
											Pero antes de poder publicarlo,
tuve que viajar al noreste de Nigeria
											para hablar con los padres y verificarlo.
											No tuve que esperar demasiado
tiempo para la confirmación.
											Una de las madres, cuando vio el video,
											me dijo que si ella pudiera
meter la mano en el portátil
											y sacar así a su hija, lo haría.
											Lo habría hecho.
											Quienes en el público son padres, como yo,
											pueden imaginar la angustia
											que sentía esa madre.
									","
											Pendant deux ans, inévitablement,
l'ordre du jour a changé,
											et pendant deux ans,
											nous avons à peine entendu parler
des filles de Chibok.
											Tout le monde les supposait mortes.
											Mais en avril l'année dernière,
											j'ai pu obtenir cette vidéo.
											Voici une capture de la vidéo
											que Boko Haram a filmé pour prouver
que les filles étaient en vie,
											et à travers une source,
j'ai eu cette vidéo.
											Mais avant de pouvoir la publier,
											j'ai dû partir au nord-est du Nigéria
											pour parler aux parents, pour vérifier.
											Je n'ai pas eu à attendre longtemps
pour avoir confirmation.
											Une des mamans, alors qu'elle regardait
la vidéo, m'a dit
											que si elle pouvait traverser l'écran
											et tirer sa fille de l'ordinateur,
											elle l'aurait fait.
											Pour ceux d'entre vous qui êtes parents,
comme moi,
											vous pouvez imaginer l'angoisse
											ressentie par cette maman.
									","
											Durante dois anos, inevitavelmente,
a agenda noticiosa passou à frente
											e, durante dois anos,
											pouco ouvimos falar
das raparigas de Chibok.
											Todos julgavam que elas tinham morrido.
											Mas, em abril do ano passado,
											consegui obter um vídeo.
											Esta é uma imagem desse vídeo
											que os Bolo Haram filmaram
como prova de vida
											e, através duma fonte,
obtive este vídeo.
											Mas, antes de o publicar,
											tive que ir ao nordeste da Nigéria.
											falar com os pais, para o verificar.
											Não tive que esperar muito
pela confirmação.
											Uma das mães, quando viu o vídeo,
											disse-me que, se pudesse
entrar no computador
											e tirar a filha do computador,
											era o que faria.
											Os pais, como eu, que se encontram
aqui no público,
											podem imaginar a angústia
											que aquela mãe sentia.
									",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
","
","
","
","
","
",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
"
											This video would go on to kick-start
negotiation talks with Boko Haram.
											And a Nigerian senator told me
that because of this video
											they entered into those talks,
											because they had long presumed
that the Chibok girls were dead.
											Twenty-one girls were freed
in October last year.
											Sadly, nearly 200 of them
still remain missing.
									","
											Dieses Video sollte die Verhandlungen
mit Boko Haram ankurbeln.
											Ein nigerianischer Senator erzählte mir,
dass sie wegen diesem Video begannen,
											mit Boko Haram zu sprechen,
											denn sie hatten lange angenommen,
dass die Mädchen aus Chibok tot seien.
											21 Mädchen wurden
im Oktober letztes Jahres befreit.
											Traurigerweise werden noch immer
fast 200 von ihnen vermisst.
									","
											Bu video, Boko Haram ile
anlaşma konuşmalarının başlangıcı oldu.
											Nijeryalı bir senatör bana
bu video sayesinde konuşmalara
											başladıklarını, çünkü uzun zamandır
											Chibok kızlarının aslında ölmüş
olduklarını düşündüklerini söyledi.
											Geçen sene Ekim ayında
yirmi bir kız serbest bırakıldı.
											Ne yazık ki,
ortalama 200 kız hâlâ kayıp.
									","
											Este video pondría en marcha
las negociaciones con Boko Haram.
											Un senador nigeriano me dijo
que gracias a este video
											accedieron a esas conversaciones,
											porque habían supuesto mucho tiempo
que las chicas de Chibok estaban muertas.
											Veintiuna chicas fueron liberadas
en octubre del año pasado.
											Por desgracia, 
casi 200 siguen desaparecidas.
									","
											Cette vidéo sera le point de départ 
des négociations avec Boko Haram.
											Et un sénateur nigérian m'a dit
que c'est grâce à cette vidéo
											qu'ils sont entrés dans ces négociations,
											parce qu'ils avaient supposé
que les filles de Chibok étaient mortes.
											21 filles ont été libérées 
en octobre l'année dernière.
											Malheureusement, 200 d'entre elles
sont toujours disparues.
									","
											Este vídeo iria acelerar
as negociações com os Boko Haram
											Um senador nigeriano disse-me
que, por causa deste vídeo,
											tinham entrado em negociações
											porque presumiam há muito
que as raparigas Chibok estavam mortas.
											Foram libertadas 21 raparigas
em outubro do ano passado.
											Infelizmente,
continuam a faltar 200 delas.
									",How fake news does real harm,Stephanie Busari,6:26,"Africa,communication,community,humanity,global issues,journalism,social change,society,terrorism,trafficking,writing"
