fr,pt,de,en,es,tr,title,speaker,duration,tags
"
","
","
","
","
","
",Why do whales sing?,Stephanie Sardelis,5:13,"TED-Ed,oceans,animals,nature"
"
											Il est difficile de communiquer
sous l'eau.
											La lumière et les odeurs se propagent mal.
Les animaux ont du mal à voir ou sentir.
											Néanmoins, le son se déplace quatre fois
plus rapidement dans l'eau que dans l'air.
											Ainsi, dans cet environnement,
											les mammifères marins ont souvent recours
à la vocalisation pour communiquer.
									","
											A comunicação debaixo de água
é difícil.
											A luz e os odores propagam-se mal,
											os animais têm dificuldade
em ver ou cheirar.
											Mas o som propaga-se quatro vezes
mais depressa na água do que no ar.
											Portanto, neste ambiente sombrio,
											os mamíferos marinhos servem-se
de vocalizações para comunicar.
									","
											Kommunikation unter Wasser
ist eine Herausforderung.
											Licht und Gerüche
werden schlecht geleitet,
											was den Tieren das Sehen
und Riechen erschwert.
											Doch Schall verbreitet sich im Wasser
etwa viermal schneller als in der Luft,
											sodass in dieser dunklen Umgebung
											viele Meeressäuger Lautäußerungen
zur Kommunikation nutzen.
									","
											Communicating underwater is challenging.
											Light and odors don't travel well,
so it's hard for animals to see or smell.
											But sound moves about four times
faster in water than in air,
											so in this dark environment,
											marine mammals often rely
on vocalization to communicate.
									","
											Comunicarse bajo el agua es un desafío.
											La luz y los olores no viajan bien,
											por eso es difícil 
ver u oler para los animales.
											Pero el sonido se mueve cuatro veces
más rápido en el agua que en el aire,
											así que en ese ambiente oscuro,
											los mamíferos marinos suelen confiar
en la vocalización para comunicarse.
									","
											Su altında iletişim kurmak zor.
											Işık ve koku iyi hareket etmiyor, bu 
nedenle hayvanların görüp koklamaları zor.
											Fakat ses, sudan havaya göre 
dört kat daha hızlı hareket eder.
											Bu karanlık ortamda,
											deniz memelileri genellikle 
iletişim kurmak için ses çıkarırlar.
									",Why do whales sing?,Stephanie Sardelis,5:13,"TED-Ed,oceans,animals,nature"
"
","
","
","
","
","
",Why do whales sing?,Stephanie Sardelis,5:13,"TED-Ed,oceans,animals,nature"
"
											C'est pourquoi l'océan est empli
d'un ensemble de sons.
											Des cliquetis,
											pulsations,
											sifflements,
											grognements,
											bruits,
											cris,
											et trilles, pour n'en nommer
que quelques-uns.
											Cependant, le plus connu
dans cette symphonie
											est la mélodie, ou le chant, composée
par le plus grand des mammifères :
											la baleine.
									","
											É por isso que o oceano
está cheio de um coro de sons.
											Cliques, pulsações,
											assobios, gemidos,
											barulhos, gritos
											e trilos, para só referir alguns.
											Mas a mais conhecida
desta sinfonia submarina
											é a melodia evocativa, ou o canto,
composto pelos maiores mamíferos do mundo,
											as baleias.
									","
											Daher findet im Ozean
ein Konzert von Geräuschen statt:
											Knacken,
											Pochen,
											Pfiffe,
											Knarzen,
											Boings,
											Schreie
											und Triller, um nur einige zu nennen.
											Doch den berühmtesten Teil
dieser Unterwasser-Symphonie
											stellen die bewegenden
Melodien oder Gesänge dar,
											die die größten Säugetiere
der Welt komponieren:
											Wale.
									","
											That's why a chorus of sounds fills
the ocean.
											Clicks,
											pulses,
											whistles,
											groans,
											boings,
											cries,
											and trills, to name a few.
											But the most famous parts of this
underwater symphony
											are the evocative melodies, or songs,
composed by the world's largest mammals,
											whales.
									","
											Es por eso que el océano está 
repleto de un coro de sonidos.
											Clics,
											pulsos,
											silbidos,
											gemidos,
											boings,
											gritos
											y vibraciones, por nombrar algunos.
											Pero lo más famoso de 
esta sinfonía subacuática
											son las melodías evocadoras, o canciones,
de los mamíferos más grandes del mundo,
											las ballenas.
									","
											Bu yüzden seslerden oluşan 
bir koro okyanusa doluyor.
											Birkaçını söylersek,
											tıklamalar,
											titreşimler,
											ıslıklar,
											iniltiler,
											çığlıklar,
											ötüşmeler.
											Ancak bu su altı senfonisinin en ünlü 
parçaları, dünyanın en büyük memelileri
											balinalar tarafından bestelenen 
anımsatıcı melodiler ya da
											şarkılardır.
									",Why do whales sing?,Stephanie Sardelis,5:13,"TED-Ed,oceans,animals,nature"
"
","
","
","
","
","
",Why do whales sing?,Stephanie Sardelis,5:13,"TED-Ed,oceans,animals,nature"
"
											Ses chants sont l'un des systèmes
de communication les plus sophistiqués
											du monde animal.
											Seules quelques espèces sont connues
pour leurs chants.
											La baleine bleue,
											commune,
											boréale,
											le petit rorqual
											et bien sûr, la baleine à bosse.
											Ce sont toutes des baleines à fanons
											utilisant des fanons de kératine à poils
au lieu de dents pour piéger leurs proies.
											Parallèlement, les baleines à dents
utilisent l'écholocation,
											et elles, ainsi que d'autres
espèces de baleines à fanon,
											émettent des cris et des sifflements
pour communiquer.
											Cependant, ces vocalisations
ne montrent pas la complexité des chants.
									","
											O canto da baleia é um dos sistemas
de comunicação mais sofisticados
											do reino animal.
											Há poucas espécies conhecidas
pelo seu canto.
											A baleia azul, a baleia comum,
											a baleia-da-groenlândia,
a baleia-anã
											e, claro, a baleia-cantora.
											São todas baleias
											que têm barbas de cerdas queratinosas
em vez de dentes, para apanhar as presas.
											Entretanto, as baleias com dentes
usam a ecolocalização
											e, tal como as outras espécies
de baleias sem dentes,
											emitem sons sociais, como gritos
e assobios, para comunicarem.
											Mas estas vocalizações
não têm a complexidade do canto.
									","
											Walgesänge gehören zu den raffiniertesten
Kommunikationssystemen des Tierreichs.
											Nur von ein paar Arten
weiß man, dass sie singen:
											Blauwale,
											Finnwale,
											Grönlandwale,
											Minkwale
											und natürlich Buckelwale.
											Das sind alles Bartenwale,
											die ihre Beute mithilfe
von behaarten Hornplatten
											anstelle von Zähnen fangen.
											Auch Zahnwale nutzen die Echoortung
											und kommunizieren
wie auch andere Bartenwale
											mit Lauten wie Schreie oder Pfiffe.
											Doch diesen Lautäußerungen
fehlt die Komplexität von Gesängen.
									","
											Whale songs are one of the most
sophisticated communication systems
											in the animal kingdom.
											Only a few species are known to sing.
											Blue,
											fin,
											bowhead
											minke whales,
											and of course humpback whales.
											These are all baleen whales
											which use hairy baleen plates
instead of teeth to trap their prey.
											Meanwhile, toothed whales do use
echolocation,
											and they and other species
of baleen whales
											make social sounds, such as 
cries and whistles, to communicate.
											But those vocalizations 
lack the complexity of songs.
									","
											Las canciones de ballenas son uno de los
sistemas de comunicación más sofisticados
											del reino animal.
											Solo algunas especies saben cantar.
											La azul,
											la de aleta,
											la cabeza de proa,
											la minke,
											y, por supuesto, la ballena jorobada.
											Son todas ballenas
											que tienen placas peludas en lugar
de dientes para atrapar a sus presas.
											En cambio, las ballenas dentadas 
usan ecolocalización,
											y junto a otras especies de ballenas
											emiten sonidos sociales, como
gritos y silbidos, para comunicarse.
											Pero esas vocalizaciones carecen 
de la complejidad de las canciones.
									","
											Balina şarkıları, hayvan krallığında
											en karmaşık iletişim
sistemlerinden biridir.
											Sadece birkaç türün
şarkı söylendiği biliniyor.
											Mavi,
											Fin Balinası,
											Grönland Balinası,
											Mink Balinaları
											ve tabii ki kambur balinalar.
											Bunların hepsi avlarını yakalamak için
											tüylü balina çubuklarını 
kullanan dişsiz balinalardır.
											Bu arada, dişli balinalar ekolokasyon 
kullanır ve çubuklu balinaların
											kendileri ve diğer balinalar,
çığlıklar ve ıslık sesleri gibi
											iletişim kurmak için 
iletişimsel sesler çıkarırlar.
											Ancak bu ses çıkarmalar şarkının 
karmaşıklığından yoksun.
									",Why do whales sing?,Stephanie Sardelis,5:13,"TED-Ed,oceans,animals,nature"
"
","
","
","
","
","
",Why do whales sing?,Stephanie Sardelis,5:13,"TED-Ed,oceans,animals,nature"
"
											Alors, comment font-elles ?
											Nous, mammifères terrestres, créons du son
en passant l'air par nos cordes vocales
											lorsque nous expirons,
les faisant alors vibrer.
											Les baleines à fanons ont un pli
en forme de U entre leurs poumons
											et leurs larges organes gonflables
appelés sacs laryngés.
											Nous n'en sommes pas sûrs
											car il est pratiquement impossible
d'observer les organes internes
											d'une baleine en vie qui chante
											mais nous pensons que
lorsqu'elle chante,
											des contractions musculaires à
la gorge et au thorax
											font passer l'air des poumons par
le pli en U et dans les sacs laryngés,
											faisant alors vibrer le pli en
forme de U.
											Le son formé résonne dans les sacs
comme une chorale dans une cathédrale
											émettant des sons retentissant
à des milliers de kilomètres.
											Les baleines n'ont pas besoin
d'expirer pour chanter.
											Au lieu de cela, l'air se renouvelle
en retournant dans les poumons,
											générant une nouvelle fois du son.
									","
											Então como é que elas fazem?
											Os mamíferos terrestres, como nós,
											geram som fazendo passar o ar
pelas cordas vocais,
											quando exalamos, fazendo-as vibrar.
											As baleias têm uma prega de tecido
em forma de U,
											entre os pulmões
e os grandes órgãos insufláveis
											chamados sacos laríngeos.
											Não sabemos ao certo,
											porque é impossível
observar os órgãos internos
											duma baleia viva, a cantar,
											mas pensamos que,
quando uma baleia canta,
											há contrações na garganta e no tórax
											que fazem passar o ar dos pulmões
pela prega em U para os sacos laríngeos,
											fazendo vibrar a prega em U.
											O som resultante ressoa nos sacos,
como um coro a cantar numa catedral,
											emitindo sons que se propagam
a milhares de quilómetros de distância.
											As baleias não têm de exalar
para cantarem.
											Em vez disso, o ar renova-se,
voltando aos pulmões,
											criando outra vez mais sons.
									","
											Wie können sie das überhaupt?
											Landsäugetiere wie wir erzeugen Töne,
											indem wir beim Ausatmen Luft
über unsere Stimmbänder strömen lassen
											und sie so zum Schwingen bringen.
											Bartenwale besitzen eine U-förmige Falte
im Gewebe zwischen den Lungen
											und den großen, dehnbaren Organen,
die man Kehlsäcke nennt.
											Es ist zwar nicht sicher,
da es praktisch unmöglich ist,
											die inneren Organe eines lebendigen,
singenden Wals zu studieren,
											doch man vermutet,
dass bei einem singenden Wal
											durch die Muskelkontraktionen
in Hals und Brust
											Luft aus der Lunge über die U-Falte
in die Kehlsäcke strömt
											und die U-Falte zum Schwingen bringt.
											Das erzeugte Geräusch
hallt in den Säcken wider
											wie der Chor in einer Kathedrale
und erreicht eine Lautstärke,
											die Entfernungen von Tausenden
von Kilometern überbrückt.
											Wale müssen zum Singen nicht ausatmen.
											Die Luft strömt stattdessen
zurück in die Lungen,
											und erzeugt dadurch erneut Töne.
									","
											So how do they do it?
											Land mammals like us generate sound
by moving air over our vocal cords
											when we exhale,
causing them to vibrate.
											Baleen whales have a U-shaped fold
of tissue between their lungs
											and their large inflatable organs
called laryngeal sacs.
											We don't know this for sure
											because it's essentially impossible
to observe the internal organs
											of a living, singing whale,
											but we think that when a whale sings,
											muscular contractions in the throat
and chest
											move air from the lungs across
the U-fold and into the laryngeal sacs,
											causing the U-fold to vibrate.
											The resulting sound resonates in the sacs
like a choir singing in a cathedral
											making songs loud enough to propagate
up to thousands of kilometers away.
											Whales don't have to exhale to sing.
											Instead, the air is recycled 
back into the lungs,
											creating sound once more.
									","
											Entonces ¿cómo lo hacen?
											Los mamíferos terrestres generamos sonido
pasando aire por las cuerdas vocales
											cuando exhalamos, hacemos que vibren.
											Estas ballenas tienen un pliegue 
en forma de U entre sus pulmones
											y grandes órganos inflables
llamados sacos laríngeos.
											No lo sabemos con seguridad
											porque es esencialmente imposible
observar los órganos internos
											de una ballena viva mientras canta,
											pero creemos que cuando una ballena canta,
											contracciones musculares 
en la garganta y el pecho
											mueven el aire de los pulmones a través
del pliegue en U y los sacos laríngeos,
											haciendo que vibre el pliegue en U.
											El sonido resultante resuena en los sacos
como un coro que canta en una catedral
											produciendo canciones tan sonoras 
que se propagan miles de km.
											Las ballenas no tienen 
que exhalar para cantar.
											En cambio, el aire es reciclado
de nuevo en los pulmones,
											creando sonido una vez más.
									","
											Peki bunu nasıl yapıyorlar?
											Bizim gibi kara memeleri havayı sesle
											hareket ettirerek ses
üretir ve titreştirir.
											Dişsiz balinalar, akciğerleri ile 
laringeal keseler adı verilen
											geniş şişirilebilir organları arasında 
U-şeklinde bir kat yapısına sahiptir.
											Bunu kesin olarak bilmiyoruz,
											çünkü yaşamakta olan bir balina, 
şarkı söyleyen balinanın
											iç organlarını gözlemlemek
aslında imkânsızdır.
											Ancak bir balina şarkı söyleyince,
boğazdaki kas kasılmaları
											olduğunu düşünüyoruz ve göğsü,
											akciğerlerden havayı U katından laringeal
											kutulara doğru hareket ettirerek U 
katının titreşmesini sağlar.
											Elde edilen ses, bir katedraldeki
koro şarkıları gibi,
											binlerce kilometreye kadar yayılmaya 
yetecek kadar yüksek ses çıkarırlar.
											Balinalar şarkı söylemek için
nefes almak zorunda değildirler.
											Bunun yerine, hava akciğerlere geri
											döndürülerek bir kez daha ses çıkarıyor.
									",Why do whales sing?,Stephanie Sardelis,5:13,"TED-Ed,oceans,animals,nature"
"
","
","
","
","
","
",Why do whales sing?,Stephanie Sardelis,5:13,"TED-Ed,oceans,animals,nature"
"
											Le chant des baleines est fascinant
et l'une des raisons est son schéma.
											Les râles, les cris et les piailleries
sont arrangés en phrases.
											Les phrases répétées
sont rassemblées en thèmes.
											Des thèmes multiples répétés selon
un schéma prévisible créent un chant.
											Cette structure hiérarchique
est un type de grammaire.
											Les chants des baleines sont extrêmement
variables en durée,
											et les baleines peuvent
les répéter à l'infini.
											Dans une session enregistrée,
une baleine à bosse a chanté 22 heures.
									","
											O canto da baleia é fascinante
por causa do seu padrão.
											Os gemidos, os gritos e os chilreios
são organizados em frases.
											As frases repetidas
são organizadas em temas.
											Múltiplos temas repetidos
num padrão previsível criam um canto.
											Esta estrutura hierárquica
é uma espécie de gramática.
											O canto das baleias varia imenso
quanto à duração
											e as baleias repetem-no
vezes sem conta.
											Numa sessão gravada,
uma baleia-cantora cantou durante 22 horas.
									","
											Ein Grund für den Reiz
von Walgesängen ist ihr Muster.
											Einheiten wie Stöhnen,
Schreie und Zwitschern
											werden zu Phrasen zusammengesetzt.
											Wiederholte Phrasen werden
zu Themen zusammengesetzt.
											Die Wiederholung mehrerer Themen
in einem vorhersehbaren Muster
											ergibt einen Gesang.
											Die hierarchische Struktur
ist eine Art Grammatik.
											Walgesänge sind in ihrer Länge
extrem unterschiedlich
											und können unendlich oft
von Walen wiederholt werden.
											In einer Aufnahme singt
ein Buckelwal 22 Stunden am Stück.
									","
											One reason whale songs are so fascinating
is their pattern.
											Units, like moans, cries, and chirps
are arranged in phrases.
											Repeated phrases 
are assembled into themes.
											Multiple themes repeated in a predictable
pattern create a song.
											This hierarchical structure 
is a kind of grammar.
											Whale songs are extremely variable
in duration,
											and whales can repeat them over and over.
											In one recorded session,
a humpback whale sang for 22 hours.
									","
											Una razón por la que las canciones de 
ballenas son tan fascinantes es su patrón.
											Unidades como gemidos, gritos y chirridos
están dispuestos en frases.
											Las frases repetidas se agrupan en temas.
											Múltiples temas repetidos de forma 
predecible crean una canción.
											Esta estructura jerárquica
es una especie de gramática.
											Las canciones de las ballenas son 
extremadamente variables en duración,
											y las ballenas pueden repetirlas 
una y otra vez.
											En una sesión registrada, una ballena 
jorobada cantó durante 22 horas.
									","
											Balina şarkılarının o kadar etkileyici 
olmasının bir nedeni onların örüntüleri.
											Üfürümler, çığlıklar ve cıvıltılar 
ifadeler içerisinde düzenlenmiştir.
											Yinelenen ifadeler temalar 
hâlinde toplanır.
											Tahmini bir örüntüde tekrarlanan 
birden fazla tema bir şarkı oluşturur.
											Bu hiyerarşik yapı bir çeşit gramerdir.
											Balina şarkıları süre içinde
oldukça değişkendir
											ve balinalar onları
tekrar tekrarlayabilir.
											Kaydedilen bir oturumda, 
kambur balina 22 saat şarkı söyledi.
									",Why do whales sing?,Stephanie Sardelis,5:13,"TED-Ed,oceans,animals,nature"
