fr,en,de,tr,es,pt,title,speaker,duration,tags
"
","
","
","
","
","
",Hidden toxins in the fish we eat,Stephen Palumbi,15:42,"fish,health,mission blue,oceans,science"
"
											Ca peut être très compliqué, l'océan.
											Et ça peut être très compliqué, la santé humaine.
											Et relier ces deux choses ensemble peut sembler une tâche décourgeante.
											Mais ce que je vais essayer de vous dire, c'est que,
											même dans cette complexité,
											il y a des thèmes simples, qui, je crois,
											si nous les comprenons, nous permettraient vraiment d'avancer.
											Et ces thèmes simples ne sont pas vraiment
											des thèmes sur la science complexe de ce qui se passe,
											mais des choses que nous connaissons tous assez bien.
											Et je vais commencer par celui-ci:
											Si maman n'est pas contente, personne n'est content.
											On connait ça, n'est-ce pas? On l'a tous vécu.
											Et si nous ne prenons que ça
											et que nous élaborons à partir de ça,
											alors nous pouvons passer à l'étape suivante,
											qui est: si l'océan n'est pas content,
											personne n'est content.
											Voila le thème de mon allocution.
											Et nous rendons l'océan malheureux de pas mal de façons.
									","
											It can be a very complicated thing, the ocean.
											And it can be a very complicated thing, what human health is.
											And bringing those two together might seem a very daunting task,
											but what I'm going to try to say is that
											even in that complexity,
											there's some simple themes that I think,
											if we understand, we can really move forward.
											And those simple themes aren't really
											themes about the complex science of what's going on,
											but things that we all pretty well know.
											And I'm going to start with this one:
											If momma ain't happy, ain't nobody happy.
											We know that, right? We've experienced that.
											And if we just take that
											and we build from there,
											then we can go to the next step,
											which is that if the ocean ain't happy,
											ain't nobody happy.
											That's the theme of my talk.
											And we're making the ocean pretty unhappy in a lot of different ways.
									","
											Das Meer kann ziemlich kompliziert sein.
											Und was menschliche Gesundheit ist, kann auch ziemlich kompliziert sein.
											Und diese zwei zusammen zu bringen, erscheint vielleicht wie eine gewaltige Aufgabe.
											Aber was ich Ihnen zu sagen versuche ist, dass es
											trotz dieser Komplexität
											einige einfache Themen gibt, von denen ich denke,
											wenn wir diese verstehen, können wir uns wirklich weiter entwickeln.
											Und diese einfachen Themen sind eigentlich keine
											komplexen wissenschaftlichen Zusammenhänge,
											sondern Tatsachen,die wir alle gut kennen.
											Und ich werde mit dieser hier anfangen:
											Wenn die Mama nicht glücklich ist, ist keiner glücklich.
											Kennen wir das nicht alle? Das haben wir alle schon erlebt.
											Wenn wir das nehmen
											und darauf aufbauen,
											dann können wir einen Schritt weiter gehen:
											Wenn das Meer nicht glücklich ist,
											ist keiner glücklich.
											Darum geht es in meinem Vortrag.
											Wir machen das Meer auf viele verschiedene Arten ziemlich unglücklich.
									","
											Okyanus çok karmaşıkmış gibi görünebilir.
											Ve bu karmaşıkmış gibi görünen şey, insan sağlığının ne olduğudur.
											Bu ikisini bir araya getirmek çok ürkütücü görünebilir...
											...fakat demek istediğim şu ki...
											...bu karmaşıklığa rağmen...
											...bazı basit konuların var olduğunu düşünüyorum...
											...bunu anlarsak, ileriye doğru gerçekten yol alabiliriz.
											Bu iki basit konu gerçekten...
											...karmaşık bilim hakkındaki konuların nasıl devam ettiği demek değildir...
											...fakat biz bunların tümünü oldukça iyi biliyoruz.
											Bunların ilkiyle başlayacağım:
											Anne mutlu değilse, hiç kimse mutlu değildir.
											Bunu biliyoruz, değil mi? Bunu tecrübe ettik.
											Bunu anlarsak...
											...ve buradan oluştursak...
											...bir sonraki adıma ulaşabiliriz...
											...okyanus mutlu değilse...
											...kimse mutlu değildir.
											Bu konuşmamın konusu.
											Birçok farklı yoldan oldukça mutsuz okyanus oluşturduk.
									","
											El océano puede ser una cosa muy complicada.
											Y podria ser una cosa muy complicada lo que la salud humana es.
											Y unirlas, podría ser una tarea desalentadora.
											Lo que voy a tratar de decir es que
											aún en esa complejidad,
											existen temas sencillos que
											si los entendemos, podemos continuar.
											Esos temas sencillos no son realmente
											temas acerca de la complejidad de lo que está sucediendo,
											sino de cosas que todos sabemos.
											Y voy a comezar con ésta.
											Si mamá no está contenta, nadie lo está.
											lo sabemos, ¿verdad? Lo hemos experimentado.
											Si partimos de esa noción
											y seguimos desde ahí,
											podemos dar el siguiente paso,
											que es que si el océano no está contento,
											nadie lo está.
											Ese es el tema de mi charla.
											Y estamos haciendo al océano infeliz de diferentes formas.
									","
											O oceano pode ser
uma coisa muito complicada.
											E a saúde humana também
pode ser uma coisa muito complicada.
											Juntar estas duas coisas pode parecer
uma tarefa assustadora
											mas eu vou tentar dizer
											que, apesar desta complexidade,
											há coisas simples que, segundo penso,
											se as entendermos,
podem fazer-nos avançar.
											Essas coisas simples não são coisas

											sobre a complexa ciência do que se passa,
											mas coisas que todos conhecemos bem.
											Vou começar com esta:
											""Se a mamã não está feliz,
ninguém está feliz"".
											Conhecem esta, não é?
Já todos passámos por isso.
											Se agarrarmos nela
e começarmos por aí,
											podemos passar à fase seguinte, que é:
											""Se o oceano não estiver feliz
ninguém estará feliz"".
											É este o tema da minha palestra.
											Estamos a tornar o oceano infeliz,
de muitas maneiras diferentes.
									",Hidden toxins in the fish we eat,Stephen Palumbi,15:42,"fish,health,mission blue,oceans,science"
"
","
","
","
","
","
",Hidden toxins in the fish we eat,Stephen Palumbi,15:42,"fish,health,mission blue,oceans,science"
"
											Voici une photo de Cannery Row (Californie) en 1932.
											A cette époque, Cannery Row,
											avait le plus grand complexe de conserveries
											de toute la côte Ouest.
											On a émit d'énormes quantités de pollution
											dans l'air et dans l'eau.
											Rolf Bolin, qui était professeur
											à la station marine de Hopkin où je travaille,
											a écrit dans les années 40 que,
											""Les gaz émanant de la crasse flottante dans les anses du golfe
											étaient si mauvais qu'ils faisaient même
											noircir les peintures au plomb.""
											Les gens qui travaillaient dans ces conserveries
											pouvaient à peine y rester une journée entière à cause de l'odeur.
											Mais savez-vous ce qu'ils disaient en sortant?
											Ils disaient, ""Tu sais ce que tu sens?
											C'est l'odeur de l'argent.""
											Pour cette communauté, cette pollution, c'était de l'argent.
											Et ces gens ont toléré cette pollution
											et l'ont absorbée dans leur peau et leurs corps
											parce-qu'ils avaient besoin d'argent.
											On a rendu l'océan malheureux; on a rendu les gens malheureux,
											et on leur a donné une mauvaise santé.
									","
											This is a shot of Cannery Row in 1932.
											Cannery Row, at the time,
											had the biggest industrial
											canning operation on the west coast.
											We piled enormous amounts of pollution
											into the air and into the water.
											Rolf Bolin, who was a professor
											at the Hopkin's Marine Station where I work,
											wrote in the 1940s that
											""The fumes from the scum floating on the inlets of the bay
											were so bad they turned
											lead-based paints black.""
											People working in these canneries
											could barely stay there all day because of the smell,
											but you know what they came out saying?
											They say, ""You know what you smell?
											You smell money.""
											That pollution was money to that community,
											and those people dealt with the pollution
											and absorbed it into their skin and into their bodies
											because they needed the money.
											We made the ocean unhappy; we made people very unhappy,
											and we made them unhealthy.
									","
											Das ist ein Bild der Cannery Row von 1932.
											Damals war die Cannery Row
											die größte industrielle
											Konservenfabrik an der Westküste.
											Wir entließen enorme Mengen an Schadstoffen
											in die Luft und ins Wasser.
											Rolf Bolin, ein ehemaliger Professor
											an der Hopkin's Marine Station, wo ich arbeite
											schrieb in den 40er Jahren:
											""Die Dämpfe des Schaums, der in den Zugängen zur Bucht trieb
											waren so schlimm, dass sie
											bleihaltige Farbe schwarz färbten.""
											Wer in den Dosenfabriken arbeitete,
											konnte sich wegen des Geruchs fast gar nicht den ganzen Tag dort aufhalten.
											Aber wissen Sie, was sie sagten als sie rauskamen?
											Sie sagten ""Wissen Sie, was das ist?
											Das ist der Geruch des Geldes.""
											Diese Umweltverschmutzung war für die Gemeinde pures Geld.
											Und alle fanden sich mit den Schadstoffen ab
											und nahmen sie auf, in ihre Haut und ihren Körper
											denn sie brauchten das Geld.
											Wir machten das Meer unglücklich; wir machten die Menschen sehr unglücklich,
											und wir machten sie krank.
									","
											1932'de Cannery Row'un atışıdır.
											Cannery Row, o zamanlarda...
											...batı kıyısındaki en büyük endüstriyel...
											...konserve işletmesine sahipti.
											Havaya ve suya...
											...muazzam oranda kirlilik yaydık.
											Profesör olan Rolf Bolin...
											...Hopkin'in Deniz İstasyonu'nda çalışıp...
											...1940'larda bunu yazdığında...
											...''Körfezin giriş noktasında yüzen köpük toplama buharından...
											...kurşun kökenli boyalar...
											...siyaha döndüğünde çok kötüydü.''
											İnsanlar bu konserve fabrikalarında...
											... koku yüzünden bütün gün fabrikada zar zor dayanabiliyordu...
											...fakat onların söylemek istediklerini biliyor musunuz?
											Onlar, ""Ne koktuğunu biliyor musun?""diyor.
											...Para kokuyorsun.""
											Bu kirlilik halkın parasıydı...
											...ve bu insanlar kirlilikle, derisine ve vücuduna işleyen..
											...kirlilikle uğraşıyordu...
											...çünkü paraya ihtiyaçları vardı.
											Okyanusu mutsuz ettik; insanları daha da mutsuz ettik...
											...ve onların sağlıksız olmasına neden olduk.
									","
											Esta es una foto de Cannery Row en 1932.
											Cannery Row, en ese momento,½
											tenía la industria de enlatados
											más grande de la costa oeste.
											Acumulamos grandes cantidades de contaminantes
											en el aire y en el agua.
											Rolf Bolin, quien fue profesor
											en la estación marina Hopkin donde trabajo,
											escribió en 1940 que
											""los gases provenientes de la mugre que flota en las entradas de la bahía
											eran tan dañinos que tiñeron
											de negro las pinturas a base de plomo.
											La gente que trabajaba en estas fábricas
											difícilmente podían permanecer allí todo el día debido al olor.
											¿Saben lo que decían cuando salían?
											Decían, ""¿Sabes a qué hueles?
											Hueles a dinero"".
											La contaminación era dinero para esa comunidad.
											Toda esa gente lidió con la contaminación
											y la absorbieron en su piel y cuerpo
											por que necesitaban el dinero.
											Hicimos al océano infeliz; hicimos a las personas infelices,
											y los hicimos enfermar.
									","
											Isto é uma foto de Cannery Row em 1932.
											Nessa época, Cannery Row
											tinha o maior complexo
de fábricas de conservas
											da costa ocidental.
											Emitíamos uma quantidade
enorme de poluição
											no ar e na água.
											Rolf Bolin, que era professor
											na Estação Marinha de Hopkin.
onde eu trabalho,
											escreveu, nos anos 40:
											""Os gases da porcaria
que flutua à entrada da baía
											""eram tão maus
											""que enegreciam as tintas de chumbo"".
											As pessoas que trabalhavam
nas conserveiras
											mal conseguiam manter-se lá
todo o dia por causa do cheiro
											mas sabem o que é que diziam,
quando de lá saíam?
											Diziam: "" Sabem a que é que cheira?
											""Cheira a dinheiro"".
											Para aquela comunidade
aquela poluição era dinheiro
											e aquelas pessoas toleravam a poluição
											e absorviam-na na pele e no corpo
											porque precisavam do dinheiro.
											Tornámos o oceano infeliz;
tornámos as pessoas muito infelizes.
											E demos-lhes uma má saúde.
									",Hidden toxins in the fish we eat,Stephen Palumbi,15:42,"fish,health,mission blue,oceans,science"
"
","
","
","
","
","
",Hidden toxins in the fish we eat,Stephen Palumbi,15:42,"fish,health,mission blue,oceans,science"
"
											La connection entre la santé de l'océan et celle des humains
											est en fait basée sur quelques adages simples.
											Et je voudrais appeler ça
											""pincer un vairon, blesser une baleine.""
											La pyramide de la vie océanique...
											Maintenant...quand un écologiste regarde l'océan— je dois vous dire—
											on regarde l'océan d'une façon très differente,
											et nous voyons certaines choses qu'une personne normale ne verrait pas quand elle regarde l'océan
											Car, lorsque nous les écologistes regardons l'océan,
											nous voyons toutes ces interconnections.
											Nous voyons la base de la chaîne alimentaire
											le plancton, les petites choses,
											et nous voyons comment ces animaux
											sont de la nourriture pour les animaux du milieu de la pyramide
											et ainsi de suite jusqu'en haut du diagrame.
											Et ce flux, le flux de la vie,
											de la base jusqu'au sommet,
											est le flux que voit l'écologiste.
											Et c'est ça que nous essayons de préserver.
											quand nous disons, ""Sauver l'océan. Guérissez l'océan.""
											C'est cette pyramide.
									","
											The connection between ocean health and human health
											is actually based upon another couple simple adages,
											and I want to call that
											""pinch a minnow, hurt a whale.""
											The pyramid of ocean life ...
											Now, when an ecologist looks at the ocean — I have to tell you —
											we look at the ocean in a very different way,
											and we see different things than when a regular person looks at the ocean
											because when an ecologist looks at the ocean,
											we see all those interconnections.
											We see the base of the food chain,
											the plankton, the small things,
											and we see how those animals
											are food to animals in the middle of the pyramid,
											and on so up this diagram.
											And that flow, that flow of life,
											from the very base up to the very top,
											is the flow that ecologists see.
											And that's what we're trying to preserve
											when we say, ""Save the ocean. Heal the ocean.""
											It's that pyramid.
									","
											Die Verbindung zwischen der Gesundheit des Meeres und der der Menschen
											kann durch ein weiteres einfaches Sprichwort beschrieben werden.
											Und das nenne ich
											""Kneif' ein Fischchen, verletz' einen Wal.""
											Die Pyramide des ozeanischen Lebens...
											Nun... wenn ein Ökologe sich das Meer ansieht — ich muss Ihnen sagen —
											wir sehen den Ozean auf eine ganz andere Art und Weise
											und wir sehen andere Dinge als eine durchschnittliche Person, die das Meer betrachtet.
											Denn wenn Ökologen den Ozean betrachten,
											sehen wir all diese Verbindungen.
											Wir sehen das untere Ende der Nahrungskette,
											das Plankton, die kleinen Dinge,
											und wir sehen, dass diese Tiere
											Nahrung für andere Tiere in der Mitte der Pyramide sind
											und so weiter, das Diagramm hoch.
											Und dieser Fluss, der Fluss des Lebens,
											vom untersten Ende bis ganz nach oben,
											das ist der Fluss den Ökologen sehen.
											Und das ist es, was wir bewahren wollen
											wenn wir sagen: ""Rettet das Meer, heilt das Meer.""
											Es ist diese Pyramide.
									","
											Okyanus ve insan sağlığı arasındaki bağlantı...
											...aslında başka atasözlerine dayalıdır...
											...söylemek istediğim...
											...büyük balık, küçük balığı yutar.""
											Okyanus yaşamının piramidi...
											Şunu söylemek zorundayım ki, bir ekolojist okyanusa baktığında...
											...biz okyanusu çok farklı yollarla bakarız...
											...ve okyanusu normal bir insandan daha farklı görürüz...
											...çünkü bir ekolojist okyanusa baktığında...
											...tüm bağlantıları görür...
											Besin zincirinin tabanında...
											...planktonu, küçük şeyleri...
											...ve piramidin ortasındaki hayvanların...
											...nasıl beslendiğini ve bu diyagramın...
											...nasıl şekillendiğini görüyoruz.
											Ekolojistlerin gördüğü akış...
											...tavandan tabana doğru giden şey...
											...hayatın akışıdır.
											Korumaya çalıştığımız şey olduğunda...
											..."" okyanusu kurtar, onu iyileştir."" diyoruz.
											Bu şey piramittir.
									","
											La relación entre la salud del océano y la salud humana
											está realmente basada en un par de refranes.
											Y lo quiero llamar
											""pellizca a un pececito y estarás hiriendo a una ballena""
											En la pirámide de la vida marina...
											Ahora ...cuando un ecologista ve el océano, tengo que decirles,
											vemos el océano de una forma diferente,
											y vemos cosas diferentes a lo que las personas normales ven en el océano.
											por que cuando un ecologista mira el océano,
											vemos todas las interconexiones.
											Vemos la base de la cadena alimenticia,
											el plancton, las cosas pequeñas,
											y vemos como esos animales
											son el alimento de los animales de la mitad en la piramide,
											y así sucesivamente a medida que subimos por el diagrama.
											Y ese flujo, ese flujo de vida,
											desde la base hasta lo más alto,
											es el flujo que los ecologistas ven.
											Y eso es lo que tratamos de conservar
											cuando decimos, ""Salva el océano. Sana el océano""
											Es esa piramide.
									","
											A relação entre a saúde do oceano
e a saúde humana
											baseia-se noutros adágios simples.
											Vou pegar neste:
											""Beliscar um airão,
ferir uma baleia"".
											A pirâmide da vida do oceano...
											Quando um ecologista olha para o oceano
— devo dizer-vos —
											olha para o oceano
duma forma muito diferente.
											Vemos coisas diferentes do que
uma pessoa vulgar vê no oceano
											porque, quando olhamos para o oceano,
											vemos todas essas interligações.
											Vemos a base da cadeia alimentar,
											o plâncton, as coisas minúsculas.
											Vemos como esses animais
											servem de alimento aos animais
a meio da pirâmide,
											e por aí acima, neste diagrama.
											Esse fluxo da vida,
											desde a base até ao topo,
											é o fluxo que os ecologistas veem.
											É aquilo que tentamos preservar
quando dizemos:
											""Salvar o oceano. Curar o oceano"".
											Trata-se desta pirâmide.
									",Hidden toxins in the fish we eat,Stephen Palumbi,15:42,"fish,health,mission blue,oceans,science"
"
","
","
","
","
","
",Hidden toxins in the fish we eat,Stephen Palumbi,15:42,"fish,health,mission blue,oceans,science"
"
											Pouquoi cela importe pour la santé humaine?
											Parce que lorsqu'on entasse dans le bas
											de la pyramide des choses qui ne devraient pas y être,
											il se passe des choses bien effrayantes.
											Des polluants, certains que nous mêmes avons créés,
											des molécules telles que les PCB - les polychlorobiphényles -
											qui ne peuvent pas etre assimilées par notre corps.
											Et elles intègrent la base de cette pyramide
											et elles se laissent porter vers le haut, elles sont transmises de cette façon
											de prédateurs jusqu'au prédateurs du haut de la pyramide.
											Et ainsi faisant,
											elles s'accumulent.
									","
											Now why does that matter for human health?
											Because when we jam things in the bottom
											of that pyramid that shouldn't be there,
											some very frightening things happen.
											Pollutants, some pollutants have been created by us:
											molecules like PCBs
											that can't be broken down by our bodies.
											And they go in the base of that pyramid,
											and they drift up; they're passed up that way,
											on to predators and on to the top predators,
											and in so doing,
											they accumulate.
									","
											Nun, warum spielt das eine Rolle für die menschliche Gesundheit?
											Wenn wir Sachen ins untere Ende
											dieser Pyramide hineinstopfen, die dort nicht hingehören,
											passieren einige furchterregende Dinge.
											Etwa Schadstoffe, unter anderem Schadstoffe, die von uns geschaffen wurden,
											Moleküle wie PCBs,
											die nicht von unserem Körper abgebaut werden können.
											Und sie gelangen in die Basis der Pyramide
											und sie treiben nach oben, sie werden so
											an Raubtiere weitergegeben, und danach an höhere Raubtiere.
											Und dabei
											werden sie angereichert.
									","
											Şimdi neden insan sağlığı için bu meseleyi konuşuyoruz?
											Çünkü piramidin altındaki şeyleri sıkıştırdığımızda...
											...burada olmaması gerekli olan şeyler..
											...çok korkutucu şeylerdir.
											Kirlilik yapan bazı insanlar...
											...vücudumuz ile parçalanamayan PCBler gibi moleküller...
											...bizim tarafımızdan oluşturulmuştur.
											Moleküller, en üstteki predatörler sayesinde...
											...piramidin tabanına girerek ve tırmanarak...
											...bir şekilde buraya girdiler...
											...ve böylelikle..
											...çoğaldılar.
									","
											¿Qué tiene que ver con la salud humana?
											Cuando metemos cosas en la base
											de la piramide que no deberían estar ahí,
											empiezan a ocurrir cosas desagradables.
											Contaminantes, algunos contaminantes los hemos creado,
											moléculas como PCBs
											que no pueden ser asimiladas por nuestro organismo.
											Se van a la base de la pirámide,
											y se mueven hacia arriba, van pasando hacia arriba de esa manera
											a los depredadores y luego a los depredadores mayores.
											Y al hacerlo,
											se acumulan.
									","
											Qual é a importância disso
para a saúde humana?
											Quando acumulamos coisas
na base dessa pirâmide
											que não deviam lá estar,
											acontece uma coisa muito assustadora.
											Há agentes poluentes
que foram criados por nós
											— moléculas como os PCB,
os policlorobifenos —
											e que o nosso corpo não pode assimilar.
											Vão parar à base dessa pirâmide,
											e, por vezes, vão subindo,
											de predadores para predadores de topo.
											Quando isso acontece,
vão-se acumulando.
									",Hidden toxins in the fish we eat,Stephen Palumbi,15:42,"fish,health,mission blue,oceans,science"
"
","
","
","
","
","
",Hidden toxins in the fish we eat,Stephen Palumbi,15:42,"fish,health,mission blue,oceans,science"
"
											Maintenant, pour vraiment vous faire comprendre, j'ai pensé à inventer un petit jeu.
											On n'a pas besoin d'y jouer vraiment. On peut juste y réfléchir ici.
											C'est le jeu du polystyrène et du chocolat.
											Imaginez que, quand nous sommes montés sur ce bateau,
											on nous ait tous donné
											deux chips polystyrène.
											On ne peut rien en faire à part les mettre dans sa poche.
											Car les règles sont: chaque fois que vous offrez un verre à quelqu'un,
											vous leur donnez le verre,
											et vous leur donnez aussi les chips polystyrène.
											Ce qui arrivera c'est que les chips polystyrène
											commenceront à voyager dans notre société ici
											et iront s'accumuler chez
											les personnes les plus ivres et radines.
											(Rires)
											Il n'y a pas de mécanisme dans ce jeu
											qui leur permette d'aller ailleurs que dans
											une pile de plus en plus grande
											de chips polystyrène indigestes..
											Et c'est exactement ce qui se passe avec les PDB
											dans cette pyramide de la chaîne alimentaire.
											Ils s'accumulent dans le haut de la pyramide.
									","
											Now, to bring that home, I thought I'd invent a little game.
											We don't really have to play it; we can just think about it here.
											It's the Styrofoam and chocolate game.
											Imagine that when we got on this boat,
											we were all given
											two Styrofoam peanuts.
											Can't do much with them: Put them in your pocket.
											Suppose the rules are: every time you offer somebody a drink,
											you give them the drink,
											and you give them your Styrofoam peanuts too.
											What'll happen is that the Styrofoam peanuts
											will start moving through our society here,
											and they will accumulate in
											the drunkest, stingiest people.
											(Laughter)
											There's no mechanism in this game
											for them to go anywhere but into
											a bigger and bigger pile
											of indigestible Styrofoam peanuts.
											And that's exactly what happens with PDBs
											in this food pyramid:
											They accumulate into the top of it.
									","
											Um das zu verdeutlichen habe ich mir ein kleines Spiel ausgedacht.
											Wir müssen es nicht wirklich spielen. Wir können es uns einfach jetzt vorstellen.
											Es heißt das Styropor- und Schokoladenspiel.
											Stellen Sie sich vor, dass wir alle, als wir an Bord kamen,
											von jemandem
											zwei Erdnüsse aus Styropor bekommen hätten.
											Viel kann man mit ihnen nicht anfangen, also stecken wir sie in unsere Tasche.
											Die Regel lautet: jedesmal, wenn Sie jemandem einen Drink anbieten,
											geben Sie ihm den Drink
											und Sie geben ihm auch Ihre Styropor-Erdnüsse.
											Was passieren wird, ist dass die Styropor-Erdnüsse
											anfangen werden, sich durch unsere kleine Gesellschaft zu bewegen.
											Und sie werden sich bei den
											betrunkensten, geizigsten Leuten anreichern.
											(Gelächter)
											Sie haben in diesem Spiel keine andere Möglichkeit
											irgenwo anders hin zu geraten als
											in einen immer größer werdenden Haufen
											unverdaulicher Styropor-Erdnüsse.
											Und das ist genau das, was mit den PDBs
											in der Nahrungspyramide passiert.
											Sie akkumulieren an ihrer Spitze.
									","
											Bunu ispatlamak için,küçük bir oyun icat etmeyi düşündüm.
											Bunun nasıl oynandığını bilmiyoruz; bunun hakkında biraz düşünelim.
											Bu Strafor ve çikolata oyunudur.
											Bir sandalda olduğumuzu...
											...ve hepimize iki tane yapay yer fıstığı...
											...verildiğini düşünün.
											Onları yemeyin: Cebinize koyun.
											Farz edelim ki kurallar şöyle: içeceğiniz suyu...
											...onlara vermek için teklif ediyorsunuz...
											ve yapay yer fıstığını da o kişiye veriyorsunuz.
											Yapay yer fıstıklarına olacak olan şey...
											...toplumumuzdan hareket ederek...
											...burada başlayacak ve en sarhoş...
											...en cimri olanı burada toplanacak.
											(Kahkahalar)
											Bu oyunda bir yere gidebilmeleri için...
											...hiç mekanizma yok sadece...
											...gittikçe büyüyen, sindirilemeyen...
											...yapay yer fıstıkları var.
											Besin piramidinin içinde ...
											...PDB lerle tümüyle olan şeyler...
											...en üstte toplandılar.
									","
											Ahora , para llevarlas a casa, pensé en inventarme un juego.
											no tenemos que realmente jugarlo. Podemos tan solo pensarlo aqui.
											Es el juego del poliestireno y el chocolate.
											Imaginen que cuando subimos a este bote,
											se nos entrega
											dos bolitas de poliestireno.
											no puedes hacer mucho con ellas, asi que las pones en tu bolsillo.
											por que las reglas son: cada vez que le ofrezcas una bebida a alguien,
											le das una bebida,
											y le das tus bolitas de poliestireno tambien.
											Lo que sucederá es que las bolitas de poliestireno
											se moverán através de toda la sociedad aqui.
											y se acumularan
											en las personas mas borrachinas.
											(Risas)
											No existe un mecanismo en este juego
											para que terminen mas que
											en un cumulo grande
											de bolitas de poliestireno indigeribles.
											Eso es exactamente lo que sucede con los PDBs
											en ésta cadena alimenticia.
											Se acumulan en la punta de ella.
									","
											Para facilitar as coisas,
inventei um pequeno jogo.
											Não temos de o jogar,
basta pensar nele.
											É o jogo da esferovite e do chocolate.
											Imaginem que, quando entramos num barco,
											nos dão a todos
dois amendoins de esferovite.
											Não vos servem de muito,
Guardem-nos no bolso.
											Suponham que as regras são:
											sempre que oferecerem uma bebida a alguém,
											dão-lhe a bebida e os amendoins também.
											O que acontece é que
os amendoins de esferovite
											começam a viajar pela sociedade
											e vão-se acumular
											nas pessoas que mais bebem
e que mais sovinas são.
											(Risos)
											Não há nenhum mecanismo neste jogo
											para eles irem para qualquer lado
											que não seja uma pilha cada vez maior
											de amendoins de esferovite
perfeitamente indigeríveis.
											É isso o que acontece com os PDB
nesta pirâmide alimentar:
											Acumulam-se no topo.
									",Hidden toxins in the fish we eat,Stephen Palumbi,15:42,"fish,health,mission blue,oceans,science"
