en,es,fr,de,tr,title,speaker,duration,tags
"
","
","
","
","
",10 ways the world could end,Stephen Petranek,29:42,"climate change,future,global issues,humanity,space,technology,solar system,science,asteroid"
"
											The advances that have taken place in astronomy,
											cosmology and biology, in the last 10 years,
											are really extraordinary —
											to the point where we know more about our universe and how it works
											than many of you might imagine.
											But there was something else that I've noticed
											as those changes were taking place, as people were starting to find out that
											hmm ... yeah, there really is a black hole at the center of every galaxy.
											The science writers and editors — I shouldn't say science writers,
											I should say people who write about science —
											and editors would sit down over a couple of beers,
											after a hard day of work, and start talking about
											some of these incredible perceptions about how the universe works.
									","
											Los avances que han tenido lugar en la astronomía,
											cosmología y biología, en los últimos diez años,
											son realmente extraordinarios —
											hasta el punto en que sabemos más de nuestro universo y de cómo funciona
											de lo que muchos de ustedes se imaginan.
											Pero hay algo más que he notado
											mientras esos cambios ocurrían, mientras las personas se daban cuenta de
											hmm ... sí, realmente hay un agujero negro en el centro de cada galaxia.
											Los escritores de ciencia y editores — No debería decir escritores de ciencia,
											debería decir personas que escriben acerca de la ciencia
											— y editores que se sientan alrededor de unas cervezas
											después de un duro día de trabajo y hablan de
											algunas de esas percepciones increíbles acerca de cómo funciona el universo.
									","
											Les avancées qui se sont produites en astronomie,
											cosmologie, et biologie, ces dix dernières années,
											sont vraiment extraordinaires —
											au point où nous en savons plus sur notre univers et comment il fonctionne
											que vous ne pouvez l'imaginer.
											Mais il y a quelque chose d'autre que j'ai relevé
											alors que ces changements survenaient, alors que les gens commençaient à comprendre que
											hum... oui, il y a vraiment un trou noir au centre de chaque galaxie.
											Les écrivains scientifiques et les éditeurs — je ne devrais pas dire écrivains scientifiques,
											je devrais dire les gens qui écrivent sur la science
											— et les éditeurs s'assoiraient autour d'un verre de bière,
											après une dure journée de travail, et parleraient de
											ces incroyables perceptions du fonctionnement de l'univers.
									","
											Die Fortschritte, die die Astronomie, Kosmologie
											und Biologie in den letzten zehn Jahren gemacht haben,
											sind wirklich außergewöhnlich –
											wir wissen mittlerweile weit mehr über das Universum und seine Funktionsweise,
											als viele von Ihnen sich wahrscheinlich vorstellen.
											Aber da war noch etwas anderes, das mir auffiel,
											als diese Veränderungen geschahen, als man begann herauszufinden, dass...
											""Oh, ja, da ist ja tatsächlich ein schwarzes Loch im Zentrum jeder Galaxie.""
											Die wissenschaftlichen Autoren und die Redakteure – vielleicht sollte ich lieber sagen:
											die Leute, die über Wissenschaft schreiben,
											und die Redakteure setzten sich zu ein paar Bier
											nach einem schweren Arbeitstag hin und sprachen über
											diese unglaublichen Auffassungen. Darüber, wie das Universum funktioniert.
									","
											Son 10 yılda astronomi, kozmoloji ve
											biyoloji alanında gerçekleşen ilerlemeler
											gerçekten olağanüstü.
											Evrenimiz ve onun
nasıl işlediği hakkında
											çoğunuzun hayal edebileceğinden 
daha fazla bildiğimiz noktadayız.
											Ama fark ettiğim başka bir şey var, 
bu değişiklikler
											gerçekleşirken insanlar 
şunu keşfetmeye başladılar:
											""Hmm... evet, gerçekten her galaksinin
merkezinde bir kara delik var.""
											Bilim yazarları ve editörler
— bilim yazarları değil,
											bilim hakkında yazan insanlar demeliyim —
											ve editörler zor bir iş gününün ardından
											birkaç birayla oturur ve 
evrenin nasıl çalıştığı ile ilgili
											bu inanılmaz algılardan bazıları hakkında 
konuşmaya başlar.
									",10 ways the world could end,Stephen Petranek,29:42,"climate change,future,global issues,humanity,space,technology,solar system,science,asteroid"
"
","
","
","
","
",10 ways the world could end,Stephen Petranek,29:42,"climate change,future,global issues,humanity,space,technology,solar system,science,asteroid"
"
											And they would inevitably end up in what I thought was a very bizarre place,
											which is ways the world could end very suddenly.
											And that's what I want to talk about today. (Laughter)
											Ah, you laugh, you fools. (Laughter)
									","
											E inevitablemente terminarían en lo que yo pensaba era un lugar muy extraño,
											el cual es, formas en las cuales el mundo acabaría repentinamente.
											Y de eso quiero hablar hoy, (risas)
											Ah, ustedes se ríen, tontos. (risas)
									","
											Et inévitablement, cela finirait par ce que je pensais être très étrange,
											les façons dont le monde pourrait soudainement finir.
											Et c'est de ça que je veux parler aujourd'hui. (Rires)
											Ah, vous riez, pauvres fous. (Rires)
									","
											Über kurz oder lang gelangten sie immer an denselben bizarren Punkt,
											nämlich die Arten, auf die die Welt sehr plötzlich enden könnte.
											Und darüber möchte ich heute sprechen. (Lachen)
											Ah, lacht nur, ihr Narren. (Lachen)
									","
											Kaçınılmaz olarak, benim de çok ilginç 
olduğunu düşündüğüm o noktaya gelirlerdi:
											dünyayı aniden sona erdirecek şeyler.
											Benim de bugün bahsetmek istediğim şey bu.
(Kahkahalar)
											Ya, gülüyorsunuz, aptallar. 
(Kahkahalar)
									",10 ways the world could end,Stephen Petranek,29:42,"climate change,future,global issues,humanity,space,technology,solar system,science,asteroid"
"
","
","
","
","
",10 ways the world could end,Stephen Petranek,29:42,"climate change,future,global issues,humanity,space,technology,solar system,science,asteroid"
"
											(Voice: Can we finish up a little early?)
									","
											Voz fuera de escena: ¿Podemos terminar más temprano hoy?
									","
											Voix dans le public : est-ce qu'on peut partir un peu plus tôt ?
									","
											(Stimme: Können wir ein bisschen früher fertig werden?)
									","
											(Ses: Biraz erken bitirebilir miyiz?)
									",10 ways the world could end,Stephen Petranek,29:42,"climate change,future,global issues,humanity,space,technology,solar system,science,asteroid"
"
","
","
","
","
",10 ways the world could end,Stephen Petranek,29:42,"climate change,future,global issues,humanity,space,technology,solar system,science,asteroid"
"
											(Laughter) Yeah, we need the time!
											Stephen Petranek: At first, it all seemed a little fantastical to me, but after challenging a lot of these ideas,
											I began to take a lot of them seriously. And then September 11 happened,
											and I thought, ah, God,
											I can't go to the TED conference and talk about how the world is going to end.
											Nobody wants to hear that. Not after this!
											And that got me into a discussion with some other people, other scientists,
											about maybe some other subjects, and one of the guys I talked to,
											who was a neuroscientist, said,
											""You know, I think there are a lot of solutions to the problems you brought up,""
											and reminds me of Michael's talk yesterday
											and his mother saying you can't have a solution if you don't have a problem.
											So, we went out looking for solutions to ways that the world might end tomorrow,
											and lo and behold, we found them.
											Which leads me to a videotape of a President Bush
											press conference from a couple of weeks ago.
											Can we run that, Andrew?
									","
											(Risas) ¡Sí, necesitamos el tiempo!
											Primero, todo me parecía un poco fantástico, pero después de desafiar muchas de estas ideas,
											empecé a tomar muchas de ellas seriamente. Entonces ocurrió el 11 de Septiembre,
											y pensé, oh, Dios,
											no puedo ir a la conferencia TED y hablar acerca de cómo se acabará el mundo.
											Nadie quiere escuchar eso. ¡No después de esto!
											Esto me llevó a discusiones con otras personas, otros científicos,
											acerca de tal vez otros temas, y uno con el que hablé
											quien era un neurólogo, dijo,
											sabes, pienso que hay muchas soluciones para los problemas que nos mencionaste,
											y me recuerda de la charla de ayer de Michael
											y su madre diciendo que no puedes tener una solución si no tienes un problema.
											Entonces buscamos soluciones para las maneras en que el mundo se podría acabar mañana,
											y oh sorpresa, las encontramos.
											Lo cual me lleva a una grabación del presidente Bush
											en una conferencia de prensa hace unas semanas.
											¿Podemos reproducirla, Andrew?
									","
											(Rires) Ouais, nous avons besoin de temps !
											Au début, cela me semblait un peu fantaisiste, mais après avoir réfléchi sur beaucoup de ces idées,
											j'ai commencé à en prendre au sérieux. Et c'est alors que le 11 septembre est arrivé,
											et j'ai pensé, ah, mon Dieu,
											je ne peux pas aller à la conférence TED et parler de la fin du monde.
											Personne ne veut entendre ça. Pas après ça !
											Et ça m'a conduit à discuter avec d'autres gens, d'autres scientifiques,
											parfois sur d'autres sujets, et une des personnes auxquelles j'ai parlé
											qui était neuroscientifique, a dit,
											tu sais, je pense qu'il y a beaucoup de solutions aux problèmes que tu soulèves,
											et ça me rappelle la conférence de Michael d'hier
											et sa mère qui disait qu'on ne peut pas trouver de solution si on n'a pas de problème.
											Donc nous sommes partis à la recherche de solutions aux différentes possibilités de fin du monde
											et miracle, nous les avons trouvées.
											Ce qui m'amène à une vidéo du président Bush
											en conférence de presse il y a 2 semaines.
											Peut-on l'envoyer, Andrew ?
									","
											(Lachen) Stephen Petranek: Ja, wir brauchen die Zeit!
											Zuerst schien mir das etwas utopisch, aber nachdem ich viele dieser Ideen hinterfragt hatte,
											begann ich, viele von ihnen ernst zu nehmen. Und dann kam der 11. September
											und ich dachte mir, oh Gott,
											ich kann nicht zur TED-Konferenz gehen und über das Ende der Welt sprechen.
											Das will doch niemand hören. Nachdem das passiert ist!
											Und so begann eine Diskussion mit anderen Leuten, anderen Wissenschaftlern,
											über ein paar andere Themen, und einer von ihnen,
											ein Neurowissenschaftler, sagte:
											""Weißt du, es gibt eine Menge Lösungen für diese Probleme"",
											und das erinnert mich an Michaels Vortrag gestern,
											und wie seine Mutter sagte, dass man eine Lösung nicht ohne Problem haben kann.
											Wir machten uns also daran, Lösungen für die Arten zu suchen, wie die Welt morgen enden könnte,
											und siehe da, wir fanden sie.
											Das bringt mich zu dem Video einer Pressekonferenz
											von Präsident Bush von vor ein paar Wochen.
											Können wir das abspielen, Andrew?
									","
											(Kahkahalar) 
Tabi, zamana ihtiyacımız var!
											Önce, her şey bana biraz fantastik geldi 
ama böyle birçok fikirle uğraştıktan sonra
											çoğunu ciddiye almaya başladım. Daha 
sonra 11 Eylül yaşandı ve kendi kendime
											dedim ki, ""Of, Tanrım, TED konferansına
											gidip dünyanın nasıl sona erebileceği 
hakkında konuşamam.
											Kimse bunu duymak istemez. 
Bu olaydan sonra hem de!""
											Bu beni bazı insanlarla, bilim 
insanlarıyla, başka konularla da ilgili
											bir tartışmaya soktu ve
konuştuğum adamlardan biri
											bir nörologdu, ve dedi ki:
											""Bilirsin, ortaya attığın problemlerin
birçok çözümü olduğunu düşünüyorum.""
											ve bana Michael'in dünkü konuşmasıyla
											annesinin eğer bir problemin yoksa 
bir çözümün de yoktur sözünü hatırlattı.
											Neyse, yarın dünyanın sonunu 
getirebilecek sorunların çözümlerini
											bulmak için araştırmaya çıktık 
ve şu işe bakın, bulduk da.
											Bu beni Başkan Bush'un birkaç hafta önceki
											basın toplantısının video kaydına götürdü.
											Andrew, onu oynatabilir miyiz?
									",10 ways the world could end,Stephen Petranek,29:42,"climate change,future,global issues,humanity,space,technology,solar system,science,asteroid"
"
","
","
","
","
",10 ways the world could end,Stephen Petranek,29:42,"climate change,future,global issues,humanity,space,technology,solar system,science,asteroid"
"
											President George W. Bush: Whatever it costs to defend our security,
											and whatever it costs to defend our freedom, we must pay it.
									","
											Presidente Bush: ""Lo que cueste el defender nuestra seguridad,
											y lo que cueste el defender nuestra libertad, debemos pagarlo""
									","
											Président Bush : ""Quelque soit le prix de notre sécurité,
											et quelque soit le prix de notre liberté, nous devons le payer.""
									","
											(Video) George W. Bush: Was die Verteidigung unserer Sicherheit auch kostet,
											und was die Verteidigung unserer Freiheit auch kostet, wir müssen den Preis zahlen.""
									","
											Başkan George W. Bush: Güvenliğimizi 
ve özgürlüğümüzü savunmak
											ne kadara masraflı olursa olsun, 
bunu karşılamalıyız.
									",10 ways the world could end,Stephen Petranek,29:42,"climate change,future,global issues,humanity,space,technology,solar system,science,asteroid"
