en,pt,tr,es,de,fr,title,speaker,duration,tags
"
","
","
","
","
","
",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
											Visible from space,
											the Okavango Delta
											is Africa's largest remaining
intact wetland wilderness.
											This shining delta in landlocked Botswana
is the jewel of the Kalahari,
											more valuable than diamonds
to the world's largest diamond producer
											and celebrated in 2014
											as our planet's 1000th
UNESCO World Heritage Site.
											Now, what you see here
are the two major tributaries,
											the Cuito and the Cubango,
											disappearing up north
into the little-known Angolan highlands.
											This is the largest undeveloped
river basin on the planet,
											spanning an area larger than California.
											These vast, undeveloped Angolan
watersheds were frozen in time
											by 27 years of civil war.
											In fact, Africa's largest tank battle
since World War II
											was fought over a bridge
crossing the Okavango's Cuito River.
											There on the right,
											disappearing off into the unknown,
											into the ""Terra do fim do mundo"" —
											the land at the end of the earth,
											as it was known by the first
Portuguese explorers.
									","
											Visível do espaço,
											o Delta de Okavango
											é a maior zona húmida selvagem
de África que se mantém intacta.
											Este cintilante delta interior
no Botsuana, é a joia do Calaári,
											mais valiosa do que os diamantes
do maior produtor de diamantes do mundo.
											Foi considerado, em 2014,
											o 1000.º Património Mundial
do nosso planeta, pela UNESCO.
											O que vemos aqui são
os dois principais tributários,
											o rio Cuíto e o rio Cubango,
											que desaparecem a norte
nas montanhas pouco conhecidas de Angola.
											É a maior bacia hidrográfica
intacta do planeta,
											espraiando-se por uma área
maior do que a Califórnia.
											Estas ampla bacia angolana intacta
ficou congelada no tempo
											durante os 27 anos de guerra civil.
											A maior batalha de tanques em África,
desde a II Guerra Mundial
											foi travada numa ponte sobre
o rio Cuíto em Okavango.
											Ali à direita,
											desaparecendo no desconhecido,
											na ""Terra do Fim do Mundo"",
											como era conhecida pelos primeiros
exploradores portugueses.
									","
											Okavango Deltası,
											uzaydan görülebilen
											ve Afrika'nın en büyük, el değmemiş,
sulak vahşi arazisidir.
											Botswana'daki bu parlak delta, 
Kalahari'nin mücevheri,
											Dünya'nın en büyük elmas üreticisi için
elmastan daha değerlidir
											ve 2014 yılında
											UNESCO tarafından 1000'inci 
Dünya Miras Alanı olarak ilan edilmiştir.
											Şimdi, burada iki önemli 
ırmak kolu görüyorsunuz,
											Cuito ve Cubango.
											kuzeyden başlayarak çok az bilinen 
Angola dağlık arazisinde kayboluyor.
											Bu, gezegenimizdeki en büyük 
geliştirilmemiş su havzasıdır.
											Kalifornia'dan daha fazla yer kaplıyor.
											Bu muazzam, gelişmemiş Angola'daki
dönüşüm noktası iç savaş zamanı
											27 yıl boyunca donakalmıştır.
											Aslında Afrika'nın 2. Dünya Savaşı sonrası
en büyük tank savaşı
											Okavango'nun Cuito nehrini ayıran 
köprü üzerinde oldu.
											Burada, tam sağ tarafta,
											bilinmeyenin içinde,
											""Terro do fim do mundo"" —
											dünyanın sonundaki topraklarda
											kaybolan bu arazi ilk kez Portekizli 
kâşifler tarafından bulunmuştur.
									","
											Visible desde el espacio,
											el delta del Okavango
											es el humedal natural más extenso
de África que se conserva intacto.
											Este delta resplandeciente en Botsuana,
un país que no tiene salida al mar,
											es la joya del Kalahari,
											más valiosa que los diamantes para
el mayor productor de diamantes del mundo,
											y declarado en 2014
											Patrimonio de la Humanidad
número 1000 por la UNESCO.
											Aquí vemos los dos principales afluentes,
											el Cuito y el Cubango,
											desapareciendo hacia el norte
en las ignotas mesetas de Angola.
											Esta es la cuenca más grande
no desarrollada del planeta,
											con una extensión 
superior a la de California.
											Esta inmensa cuenca no desarrollada
de Angola estuvo congelada en el tiempo
											por 27 años de guerra civil.
											De hecho, la mayor batalla de tanques 
en África desde la Segunda Guerra Mundial
											se libró en un puente que cruza
el río Cuito del Okavango,
											allí a la derecha,
											desapareciendo hacia lo desconocido
											en la 'Terra do fim do mundo',
											o la tierra del fin del mundo,
											como la llamaron los primeros
exploradores portugueses.
									","
											Das aus dem Weltall
sichtbare Okavangodelta
											ist Afrikas größte intakte
Wildnis mit Sumpfgebiet.
											Dieses strahlende Delta in Botswana
ist das Juwel der Kalahari,
									","
											Vu de l'espace, le delta de l'Okavango
											est le plus grand marais
sauvage africain encore intact.
											Ce brillant delta, dans la région enclavée
du Botswana, est le joyau du Kalahari,
											plus précieux que les diamants
de ce premier producteur mondial,
											et il a reçu l'honneur, en 2014,
											d'être le millième site inscrit
au Patrimoine Mondial de l'UNESCO.
											Ce que vous voyez ici,
sont les deux principaux affluents,
											le Cuito et le Cubango,
											disparaissant vers le nord, dans les
hauts-plateaux peu connus de l'Angola.
											C'est le plus large bassin
fluvial inexploité de la planète,
											couvrant une région 
plus grande que la Californie.
											Ces vastes bassins hydrographiques
inexploités de l'Angola
											ont été figés dans le temps
par vingt-sept ans de guerre civile.
											En fait, le plus grand combat de chars
d'Afrique, depuis la 2e guerre mondiale,
											s'est déroulé sur un pont traversant
la rivière Cuito, dans l'Okavango,
											là, sur la droite,
disparaissant dans l'inconnu,
											dans la «Terra do fim do mundo » -
la contrée située à fin de la terre -
											comme l'appelaient les premiers
explorateurs portugais.
									",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
","
","
","
","
","
",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
											In 2001, at the age of 22,
											I took a job as head of housekeeping
at Vundumtiki Camp
											in the Okavango Delta ...
											a patchwork mosaic of channels,
floodplains, lagoons
											and thousands upon thousands
of islands to explore.
											Home to the largest remaining
population of elephants on the planet.
											Rhinos are airlifted in C130s
to find sanctuary in this wilderness.
											Lion,
											leopard,
											hyena,
											wild dog,
											cheetah,
											ancient baobab trees
that stand like cathedrals
											under the Milky Way.
											Here, I discovered something obvious:
											wilderness is our natural habitat, too.
											We need these last wild places
to reconnect with who we really are.
											We —
											all seven billion of us —
											must never forget
we are a biological species
											forever bound to this
particular biological world.
											Like the waves connected to the ocean,
											we cannot exist apart from it —
											a constant flow of atoms and energy
between individuals and species
											around the world in a day
											and out into the cosmos.
											Our fates are forever connected
to the millions of species
											we rely on directly
and indirectly every day.
									","
											Em 2001, aos 22 anos,
											fui trabalhar como chefe 
de administração interna
											no campo Vundumtiki 
no Delta de Okavango,
											um mosaico de canais,
planícies aluviais, lagoas,
											e milhares e milhares
de ilhas para explorar.
											É o abrigo das maiores populações
de elefantes do planeta.
											Os rinocerontes são transportados
em C130 para este santuário selvagem.
											O leão,
											o leopardo,
											a hiena,
											o cão selvagem,
											a chita,
											antigas árvores baobás
que se elevam como catedrais
											sob a Via Láctea.
											Aqui, descobri uma coisa óbvia:
											a natureza selvagem também é
o nosso ""habitat"" natural.
											Precisamos destes últimos locais selvagens
											para nos reencontrarmos
com quem realmente somos.
											Todos nós
- os sete mil milhões que somos -
											nunca devemos esquecer
que somos uma espécie biológica
											ligada para sempre a este mundo
biológico especial.
											Tal como as ondas estão
ligadas ao oceano,
											nós não podemos existir
afastados disto
											- um fluxo constante de átomos e energia
entre indivíduos e espécies
											em volta do mundo, num dia,
											e lá fora, no cosmos.
											O nosso destino está ligado para sempre
aos milhões de espécies
											de que dependemos direta
e indiretamente, todos os dias.
									","
											2001 yılında, 22 yaşında,
											Vundumtiki Kampı'nda
idareci olarak işe alındım,
											Okavango Deltası'ndaydı...
											Kanalların mozaiklerini yamama,
taşkın yatakları, lagünler
											ve binlerce keşfedilmeyi bekleyen ada.
											Gezegenimizdeki en büyük fil nüfusuna
ev sahipliği yapan yer burası.
											Gergedanlar C130 uçaklarıyla bu vahşi
doğada yaşamak için getirildi.
											Aslan,
											leopar,
											sırtlan,
											vahşi köpekler,
											çita,
											katedral gibi görünen eski baobab ağaçları
											Samanyolu'nun altında.
											Aslında çok açık olan bir şey keşfettim:
											vahşi tabiat bizim de vatanımız aslında.
											Biz onlara gerçek 'biz'lere yeniden 
bağlanmak için ihtiyaç duyuyoruz.
											Biz —
											7 milyar kişinin hepsi —
											unutmamalıyız ki, 
hepimiz biyolojik türleriz,
											her zaman özel bir dünyaya 
ihtiyaç duyarız.
											Okyanuslara ait dalgalar gibi
											bundan uzak kalamayız —
											atom ve enerjinin bireyler 
ve türler arasında akınından,
											tüm dünyadan, 

											uzaydan — bir günlüğüne bile 
uzak kalamayız.
											Bizim kaderimiz her gün direkt 
veya dolaylı olarak dayandığımız
											milyonlarca türe bağlı.
									","
											En 2001, a los 22 años,
trabajé como encargado
											de las tareas de mantenimiento
en el campamento de Vundumtiki
											en el delta del Okavango,
											un mosaico de canales, 
llanuras aluviales, lagunas
											y miles y miles de islas por explorar.
											El hábitat de la población más grande
de elefantes en el planeta.
											Los rinocerontes llegan aquí
a bordo de aviones C130
											para encontrar refugio
en esta naturaleza silvestre.
											Leones,
											leopardos,
											hienas,
											perros salvajes,
											guepardos,
											añejos baobabs que
se yerguen como catedrales
											bajo la Vía Láctea.
											En este lugar, descubrí algo obvio:
											la naturaleza también es
nuestro hábitat natural.
											Necesitamos estos
últimos reductos vírgenes
											para reconectarnos
con quienes realmente somos.
											Nosotros, los 7000 millones
de personas que somos,
											nunca debemos olvidar que
somos una especie biológica
											unida para siempre a este
mundo biológico particular,
											como las olas conectadas con el océano;
											no podemos existir sin él.
											Es un constante flujo de átomos 
y energía entre individuos y especies
											cada día, en todo el mundo
											y en el cosmos.
											Nuestro destino está ligado
para siempre a los millones de especies
											de las que dependemos de manera 
directa e indirecta cada día.
									","
											wertvoller als Diamanten für den
größten Diamantenhersteller der Welt
											und 2014 als tausendstes
UNESCO-Welterbe gefeiert.
											Hier sehen Sie die zwei
größten Nebenflüsse,
											den Cuito und den Cubango,
											die im Norden im wenig bekannten
angolanischen Hochland verschwinden.
											Es ist das weltweit größte
unerschlossene Flussbecken,
											mit einer Fläche größer als Kalifornien.
											An den riesigen unerschlossenen
Wasserscheiden Angolas
											stand nach 27 Jahren
Bürgerkrieg die Zeit still.
											Afrikas größter Kampf
seit dem Zweiten Weltkrieg
											ging tatsächlich
um eine Brücke über den Cuito:
											rechts, wo er ins Unbekannte entschwindet,
											in die ""Terra do fim do mundo"",
das Land am Ende der Welt,
											wie die ersten portugiesischen
Forscher es nannten.
									","
											En 2001, à l'âge de 22 ans,
											j'ai pris un emploi de chef d'entretien
au camp de Vundumtiki,
											dans le delta de l'Okavango,
											une mosaïque en patchwork
formant des canaux, des zones inondables,
											des lagons, des milliers
et milliers d'îles à explorer,
											et l'habitat de la plus vaste 
population d'éléphants au monde.
											Ici, des rhinocéros sont évacués en C130
											pour trouver refuge
dans cette nature sauvage.
											Un lion, un léopard,
											une hyène, un chien sauvage, un guépard,
											de vieux baobabs se tenant droits comme
des cathédrales, sous la voie lactée,
											là, une chose m'a sauté aux yeux :
											la Nature est aussi notre habitat naturel.
											Nous avons besoin de ces
derniers territoires sauvages
											pour renouer avec ce que
nous sommes vraiment.
											Nous, les sept milliards d'entre nous,
											ne devons jamais oublier que
nous sommes une espèce biologique,
											liée pour toujours à ce monde 
biologique particulier.
											Comme les vagues associées à l'océan,
sans lui, nous ne pouvons pas exister.
											C'est un flot constant d'atomes
et d'énergie entre individus et espèces
											qui traverse le monde quotidiennement
jusque dans le cosmos.
											Nos destins sont liés à jamais
aux millions d'espèces
											dont nous dépendons directement
et indirectement chaque jour.
									",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
","
","
","
","
","
",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
											Four years ago,
											it was declared that 50 percent
of all wildlife around the world
											had disappeared in just 40 years.
											This is a mass drowning
of 15,000 wildebeests
											that I witnessed
in the Maasai Mara two years ago.
											This is definitely our fault.
											By 2020, global wildlife populations
are projected to have fallen
											by a staggering two-thirds.
											We are the sixth extinction
											because we left no safe space
for millions of species
											to sustainably coexist.
									","
											Há quatro anos,
											foi declarado que 50%
de toda a vida selvagem do mundo
											desaparecerá apenas em 40 anos.
											Isto é um afogamento em massa
de 15 000 animais selvagens
											a que assisti no Maasai há dois anos.
											É, sem dúvida, por culpa nossa.
											Prevê-se que, em 2020, a população
selvagem mundial esteja reduzida
											em dois terços.
											Estamos na sexta extinção
											porque não deixamos espaço seguro
											para que milhões de espécies
coexistam de modo sustentável.
									","
											Dört yıl önce,
											dünyadaki tüm vahşi yaşamın 
yüzde ellisinin
											sadece 40 yıl içerisinde
kaybolduğu ilan edildi.
											Bu 15.000 antilopun yok olması demek,
											ben buna 2 yıl önce 
Maasai Mara'da şahit olmuştum.
											Bu kesinlikle bizim hatamız.
											2020'ye kadar, dünyadaki vahşi doğa
nüfusunun sarsıcı şekilde
											üçte ikisinin yok olacağı bekleniyor.
											Biz nesli tükenecek olan altıncı nesiliz,
											çünkü biz sürdürülebilir şekilde bir arada
var olabilmemiz için
											milyonlarca türe
güvenli bir dünya bırakamadık.
									","
											Hace cuatro años,
											se anunció que el 50 % de toda 
la vida silvestre del planeta
											había desaparecido en tan solo 40 años.
											Vemos aquí la muerte masiva 
por ahogo de 15 000 ñus,
											que yo mismo presencié
en el Maasai Mara hace dos años.
											Decididamente, somos responsables.
											Se estima que para el 2020, la vida
silvestre en el mundo se reducirá
											de manera dramática en dos tercios.
											Somos la sexta extinción
											porque no hemos dejado espacio
seguro para que millones de especies
											puedan coexistir de manera sustentable.
									","
											2001 übernahm ich im Alter von 22
die Stelle als Hauswirtschaftsleiter
											im Dorf Vundumtiki im Okavangodelta,
											einem Mosaik von Kanälen, 
Überschwemmungsgebieten, Lagunen
											und vielen tausenden erkundbaren Inseln.
											Die Heimat der größten überlebenden
Elefantenansiedlung der Welt.
											Nashörner werden per Flugzeug hergebracht,
											um in dieser Wildnis Sicherheit zu finden.
											Löwen, Leoparde, Hyänen,
											Wildhunde, Geparde,
											uralte Baobab-Bäume,
											die wie Kathedralen
unter der Milchstraße stehen.
											Hier habe ich etwas 
Offensichtliches entdeckt:
											Die Wildnis ist auch unser
natürlicher Lebensraum.
											Wir brauchen diese letzte Wildnis,
											um uns selbst wiederzufinden.
											Wir, alle sieben Milliarden Menschen,
											dürfen nie vergessen,
dass wir eine biologische Spezies sind,
											für immer an diese 
biologische Welt gebunden.
											So wie die Wellen
mit dem Meer verbunden sind,
									","
											Il y a quatre ans, il a été déclaré
											que 50 % de tous les animaux
sauvages dans le monde
											ont disparu en seulement 40 ans.
											Ceci est la noyade collective
de 15 000 gnous
											dont j'ai été témoin dans la réserve
de Masai Mara, il y a deux ans.
											C'est vraiment notre faute.
											D'ici 2020, on s'attend
à ce que la population faunique
											diminue de la quantité
effarante de deux tiers.
											Nous sommes la sixième extinction,
											parce que nous n'avons laissé
aux millions d'espèces d'animaux
											aucun lieu sûr leur permettant
de coexister de façon durable.
									",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
","
","
","
","
","
",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
											Now, since 2010, I have poled myself
eight times across the Okavango Delta
											to conduct detailed scientific surveys
											along a 200-mile,
18-day research transect.
											Now, why am I doing this?
											Why am I risking my life each year?
											I'm doing this because
we need this information
											to benchmark this near-pristine wilderness
											before upstream development happens.
									","
											A partir de 2010, percorri oito vezes
o Delta de Okavango
											para realizar inspeções
científicas pormenorizadas
											ao longo de um transecto de 300 km,
numa investigação de 18 dias.
											Porque é que faço isto?
Porque é que arrisco a vida todos os anos?
											Porque precisamos destas informações
											para referenciar esta zona selvagem
quase virgem,
											antes que haja desenvolvimento
a montante.
									","
											Şimdi, 2010 yılından beri, sekiz kez
kendimi Okavango Deltası'na bıraktım.
											Bunu bilimsel araştırmalar için yaptım.
											yaklaşık 320 kilometre yol gittim,
18 günlük bilimsel araştırma yaptım.
											Neden bunu yapıyorum?
											Neden hayatımı riske atıyorum?
											Bunu yapıyorum, çünkü
bilgiye ihtiyacımız var,
											akına karşı gelen kalkınma olana kadar
											saf vahşi doğayı korumalıyız.
									","
											Desde 2010, crucé el delta
del Okavango ocho veces
											para hacer estudios científicos detallados
											en un transecto de investigación
de más de 321 km y durante 18 días.
											¿Por qué lo hago? ¿Por qué
arriesgo mi vida cada año?
											Pues porque necesitamos esta información
											como punto de referencia
de este sitio casi virgen
											antes de que llegue 
el desarrollo aguas arriba.
									","
											können wir nicht ohne sie leben —
											ein ständiger Fluss von Atomen und Energie
zwischen Individuen und Spezies,
											in einem Tag um die Welt
und hinaus ins Universum.
											Unsere Schicksale sind für immer
mit den Millionen von Spezies verbunden,
											auf die wir uns tagtäglich 
direkt und indirekt verlassen.
											Vor vier Jahren wurde bekanntgegeben,
											dass weltweit in nur 40 Jahren
50 % der Wildtiere ausgestorben waren.
									","
											Depuis 2010, j'ai mené
mon bateau à la perche
											à travers le Delta
de l'Okavango, huit fois,
											afin d'y conduire des recherches
scientifiques approfondies
											sur un transect de 322 km
et 18 jours de recherches.
											Pourquoi est-ce que je risque
ma vie chaque année ?
											C'est parce que nous avons
besoin de cette information
											pour faire une étude comparative
de ce milieu sauvage,
											avant que le développement
en amont ne se produise.
									",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
","
","
","
","
","
",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
"
											These are the Wayeyi river bushmen,
the people of the Okavango Delta.
											They have taught me all I know
about the Mother Okavango —
											about presence in the wild.
											Our shared pilgrimage across
the Okavango Delta each year
											in our mokoros or dugout canoes —
											remembers millenia living in the wild.
											Ten thousand years ago,
											our entire world was wilderness.
											Today, wilderness is all that remains
of that world, now gone.
											Ten thousand years ago,
we were as we are today:
											a modern, dreaming intelligence
unlike anything seen before.
											Living in the wilderness
is what taught us to speak,
											to seek technologies
like fire and stone, bow and arrow,
											medicine and poison,
											to domesticate plants and animals
											and rely on each other
and all living things around us.
											We are these last wildernesses —
											every one of us.
									","
											Estes são os homens do rio Wayeyi,
o povo do Delta de Okavango.
											Ensinaram-me tudo o que sei
sobre a Mãe Okavango
											- sobre a presença na natureza.
											A nossa peregrinação conjunta
pelo Delta de Okavango, todos os anos,
											nos nossos ""mokoros"" ou canoas escavadas,
											recorda milénios vividos
na natureza selvagem.
											Há dez mil anos,
											todo o nosso mundo era natureza selvagem.
											Hoje, a natureza selvagem é tudo
o que resta desse mundo, já desaparecido.
											Há dez mil anos,
éramos o que somos hoje:
											seres modernos, de inteligência sonhadora,
como nunca se tinha visto.
											A vida na natureza selvagem
ensinou-nos a falar,
											a procurar tecnologias,
											como o fogo e a pedra,
o arco e a flecha,
											a medicina e o veneno,
											a domesticar plantas e animais
											e a confiarmos uns nos outros
e em todas as coisas vivas à nossa volta.
											Nós somos essa última natureza selvagem
											- cada um de nós.
									","
											Bunlar Wayeyi Nehri'nin ormancıları,
Okavango Deltası'nın insanları.
											Onlar bana Okavango hakkında 
bildiğim herşeyi anlattılar —
											vahşi doğada var olmayı.
											Okavango Deltası'nda her yıl 
paylaştığımız hac yolculuğu —
											mokorolarda veya 
kütükten oyularak yapılmış kanolarda —
											vahşi doğadaki binyılları yâd ediyor.
											Onbin yıl önce,
											tüm dünya vahşi doğadan ibaretti.
											Bugün, o dünyadan kalan vahşi doğa
neredeyse yok olmak üzere.
											On bin yıl önce, bugün olduğumuz gibiydik:
											çağdaş, daha önce görülmeyen zekâ peşinde.
											Vahşi doğa bize konuşmayı,
											ateş ve taşı, ok ve yayı aramayı,
											ilaç ve zehiri keşfetmeyi,
											hayvanları ve bitkileri evcilleştirmeyi
											ve birbirimize ve etrafımızdaki canlılara
güvenmeyi öğretti.
											Biz bu sonuncu vahşi doğayız —
											her birimiz.
									","
											Estos son los ribereños wayeyi,
pobladores del delta del Okavango.
											Me enseñaron todo lo que sé
sobre la Madre Okavango,
											sobre la presencia en la naturaleza.
											El peregrinaje que hacemos juntos
cada año por el delta del Okavango
											en nuestros 'mokoros', sus canoas típicas,
											recuerda milenios de vida
en la naturaleza silvestre.
											Hace diez mil años,
											el mundo entero era la naturaleza.
											Hoy, la naturaleza es lo poco que queda
de ese mundo que ya desapareció.
											Hace diez mil años,
éramos lo mismo que hoy:

											una inteligencia moderna, 
soñadora, nunca antes vista.
											La vida en la naturaleza
nos enseñó a hablar,
											a buscar técnicas como el fuego
y la piedra, el arco y la flecha,
											la medicina y el veneno,
											a domesticar plantas y animales
											y a depender unos de otros,
de todos los seres que nos rodeaban.
											Somos esta última naturaleza silvestre,
											todos y cada uno de nosotros.
									","
											Vor zwei Jahren erlebte ich
in der Maasai Mara ein Massen-Ertrinken
											von 15.000 Gnus.
											Das ist eindeutig unsere Schuld.
											Es wird vorhergesagt,
											dass die weltweiten Wildbestände
bis 2020 um zwei Drittel fallen.
											Wir verursachen das sechste Aussterben,
											weil es für Millionen von Arten
keine geschützten Räume mehr gibt,
											um in nachhaltiger Nachbarschaft zu leben.
											Seit 2010 fuhr ich achtmal
320 Kilometer in einem Mokoro
									","
											Ici, ce sont des Wayeyi,
les Bochimans des rivières,
											les habitants du Delta de l'Okavango.
											Ils m'ont enseigné tout ce que
je sais sur la Mère Okanvango,
											et sur la vigilance en milieu naturel.
											Notre pèlerinage commun dans le delta
de l'Okavango, chaque année,
											dans nos « morokos »,
pirogues taillées dans un tronc,
											rappelle les millénaires
de vie passée dans la Nature.
											Il y a 10 000 ans, le monde
tout entier était un milieu sauvage.
											De nos jours, la nature sauvage
											est tout ce qui reste 
de ce monde aujourd'hui disparu.
											Il y a 10 000 ans, nous étions
comme nous sommes aujourd'hui :
											une intelligence moderne, rêveuse, 
jamais vue auparavant.
											C'est la vie dans la Nature
qui nous a appris à parler,
											à créer des technologies 
telles que le feu et la pierre,
											l'arc et la flèche,
le médicament et le poison,
											à domestiquer les plantes et les animaux,
											et à compter sur les autres
et tous les êtres vivants autour de nous.
											Nous sommes ces dernières régions
sauvages... chacun d'entre nous !
									",How we're saving one of Earth's last wild places,Steve Boyes,9:01,"conservation,nature,animals,science,beauty,adventure,biodiversity,environment,humanity,TED Fellows,Africa"
