es,fr,de,tr,title,speaker,duration,tags
"
","
","
","
",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
											Steve Ramirez: En mi primer 
año de posgrado
											estaba en mi habitación
											comiendo helados Ben &amp; Jerry's
											viendo telebasura,
											y quizás, quizás, 
escuchando a Taylor Swift.
											Acababa de pasar por 
una relación rota.
											(Risas)
											Todo lo que hacía, 
la mayor parte del tiempo
											era recordar a esa 
persona una y otra vez,
											esperando poder deshacerme 
de esa sensación
											visceral de vacío desgarrador.
									","
											Steve Ramirez : lors de ma première année d'université,
											je me suis retrouvé
dans ma chambre,
											à manger beaucoup de glaces Ben &amp; Jerry's,
											à regarder des émissions nulles à la télé,
											et peut-être, peut-être,
à écouter Taylor Swift.
											Je venais de subir une rupture.
											(Rires)
											Pendant très longtemps,
tout ce que j'ai fait,
											c'est de ressasser les souvenirs de cette personne,
encore et encore,
											tout en souhaitant me débarrasser
de ce sentiment de ""bof""
											viscéral et dévastateur.
									","
											Steve Ramirez: Im ersten Jahr an der Uni
											saß ich in meinem Zimmer,
											aß eimerweise ""Ben &amp; Jerry's""-Eis,
											schaute irgendwelchen Schund im TV
											und nur vielleicht hörte ich dabei Taylor Swift.
											Ich hatte gerade eine Trennung hinter mir.
											(Gelächter)
											Lange Zeit rief ich mir immer wieder
											Erinnerungen an diese Person 
ins Gedächtnis
											und wünschte, ich könnte 
dieses herzzerreißende
											graue Gefühl in meinem Inneren loswerden.
									","
											Steve Ramirez:
Yüksek lisansımın ilk yılında,
											kendimi yatak odasında
											bir sürü Ben &amp; Jerry's yerken,
											kalitesiz TV programları izlerken
											ve belki, hani belki
Taylor Swift dinlerken buldum.
											Ayrılık döneminden yeni çıkmıştım.
											(Gülüşmeler)
											Uzun bir süre boyunca tek yaptığım,
											üst üste o kişiye dair anıları yad etmek
											ve beni içten içe kemiren,
derinlerdeki o saçma histen
											kurtulmayı ummaktı.
									",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
","
","
","
",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
											Pero resulta que 
soy neurocientífico,
											de modo que sabía que 
el recuerdo de esa persona
											y el horrible trasfondo emocional 
que coloreaba ese recuerdo
											eran en gran medida mediados 
por sistemas cerebrales separados.
											Y entonces pensé, ¿qué pasaría 
si pudiéramos entrar al cerebro
											y editar ese sentimiento nauseabundo
											pero mantener a la vez intacta 
la memoria de esa persona?
											Entonces me di cuenta de que quizá 
era un poco inalcanzable por ahora.
											Entonces, ¿qué pasaría si 
pudiéramos entrar en el cerebro
											y encontrar un solo recuerdo, 
para comenzar?
											¿Podríamos llevar ese recuerdo 
de nuevo a la vida,
											tal vez incluso jugar con 
el contenido de ese recuerdo?
									","
											Aujourd'hui, il s'avère
que je suis un neuroscientifique,
											je sais donc
que les souvenirs de cette personne,
											et les horribles nuances émotionnelles
qui colorent ces souvenirs,
											sont principalement régulées
par des systèmes neuronaux différents.
											J'ai donc pensé :
et si nous pouvions aller dans le cerveau,
											et éliminer ces écœurantes sensations,
											tout en gardant intact
le souvenir de cette personne ?
											Puis je me suis rendu compte que c'était peut-être
un peu ambitieux pour le moment.
											Mais si on pouvait commencer
par aller dans le cerveau,
											et juste trouver un seul souvenir,
pour débuter ?
											Pourrions-nous ranimer ce souvenir,
											peut-être même jouer avec son contenu ?
									","
											Nun bin ich ja zufällig 
Neurowissenschaftler
											und so wusste ich, dass 
die Erinnerung an jene Person
											und der furchtbare emotionale
Unterton dieser Erinnerung
											von unterschiedlichen Systemen 
im Gehirn gesteuert werden.
											So überlegte ich: Wie wäre es, 
wenn man ins Gehirn eindringen
											und dieses widerliche Gefühl herauslöschen,
											aber die Erinnerung 
an die Person intakt lassen könnte?
											Ich merkte aber, dass das für den Moment 
etwas viel verlangt ist.
											Aber vielleicht könnte man ja
ins Gehirn eindringen
											und mit einer einzigen Erinnerung anfangen?
											Könnte man diese Erinnerung 
wieder zurückholen
											und vielleicht sogar mit ihrem Inhalt spielen?
									","
											Şimdi, aslına bakarsanız,
ben bir nörologum,
											bu sebeple o insanın anısının
											ve o anıyı renklendiren korkunç,
duygusal çağrışımların
											büyük oranda beyindeki farklı sistemler
aracılığıyla sağlandığını biliyorum.
											Sonra kendi kendime,
beynin için girebilsek
											ve o mide bulandırıcı hissi
											o kişinin anısını da bozmadan çıkarabilsek
nasıl olurdu diye soruverdim.
											Devamında, o an için
fazla uçtuğumu fark ettim.
											İlk olarak, beynin içine girsek
											ve başlangıç olarak bir anıya
odaklansak nasıl olurdu?
											O anıyı tekrar hayata
geçirerek yola koyulabilir miyiz,
											hatta belki de, o anının
içeriği ile birazcık oynasak ya?
									",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
","
","
","
",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
											Dicho todo eso, solo hay 
una persona en todo el mundo
											que realmente espero no 
esté mirando esta charla.
									","
											Ceci dit, il y une personne au monde,
en ce moment,
											qui ne regarde pas cette conférence,
j'espère.
									","
											Bei all dem hoffe ich, 
dass eine ganz bestimmte Person
											diesen Vortrag nicht hört.
									","
											Bu arada, şu anda dünya
üzerinde bir insan var ki
											umarım bu konuşmayı izlemiyordur.
									",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
","
","
","
",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
											(Risas)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Gülüşmeler)
									",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
","
","
","
",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
											Así que hay una trampa. Hay una trampa.
											Estas ideas probablemente les recuerden 
""El vengador del futuro/Desafío total"",
											""Eterno resplandor de 
una mente sin recuerdos""
											o ""El Origen"".
											Pero las estrellas de las 
películas en las que trabajamos
											son las celebridades del laboratorio.
									","
											Bon, il y a un hic,
il y a un hic.
											Ces idées vous rappellent probablement
le film « Total Recall »,
											ou « Eternal Sunshine of the Spotless Mind »,
											ou « Inception ».
											Mais les vedettes avec qui on travaille
											sont les célébrités du labo.
									","
											Es gibt nämlich einen Haken. 
Es gibt einen Haken.
											Diese Ideen erinnern zwar 
an Filme wie ""Total Recall"",
											""Eternal Sunshine of the Spotless Mind"",
											oder ""Inception"".
											Aber die Stars, mit denen wir arbeiten,
											sind die Berühmtheiten aus dem Labor.
									","
											Bu işte bir pürüz var, gerçekten de öyle.
											Bu fikirler size muhtemelen
bazı filmleri anımsatacak;
											''Total Recall,''
""Eternal Sunshine of the Spotless Mind""
											belki de ""Inception.""
											Ama bizim çalıştığı film yıldızları
											laboratuvar ünlüleri.
									",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
","
","
","
",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
											Xu Liu: Ratones de laboratorio.
									","
											Xu Liu : Les souris cobayes.
									","
											Xu Liu: Labormäuse.
									","
											Xu Liu: Deney fareleri.
									",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
","
","
","
",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
											(Risas)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Gülüşmeler)
									",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
","
","
","
",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
											Como neurocientíficos, trabajamos 
en el laboratorio con ratones
											tratando de entender 
cómo funciona la memoria.
											Y hoy, esperamos poder 
convencerlos de que ahora
											somos realmente capaces de 
activar un recuerdo en el cerebro
											a la velocidad de la luz.
											Para hacer esto, hay solo 
dos sencillos pasos a seguir.
											En primer lugar, encontrar y 
marcar un recuerdo en el cerebro,
											y luego activarlo con un interruptor.
											Tan simple como eso.
											(Risas)
									","
											En tant que neuroscientifiques,
on travaille au labo avec des souris,
											pour essayer de comprendre
comment la mémoire fonctionne.
											Aujourd’hui, on espère vous convaincre que,
maintenant,
											on est réellement capables
d'activer des souvenirs dans le cerveau
											à la vitesse de la lumière.
											Pour ce faire,
il n'y a que deux simples étapes à suivre.
											D'abord, on trouve et on étiquette
un souvenir dans le cerveau,
											et puis on l'active avec un interrupteur.
											C'est aussi simple que ça.
											(Rires)
									","
											Als Neurowissenschaftler 
arbeiten wir im Labor mit Mäusen
											und versuchen zu verstehen, 
wie das Gedächtnis funktioniert.
											Heute möchten wir Sie davon überzeugen,
											dass es wirklich möglich ist, 
eine Erinnerung im Gehirn
											zu aktivieren –
in Lichtgeschwindigkeit.
											Es gibt dabei zwei einfache Schritte.
											Zuerst sucht man eine Erinnerung 
im Gehirn und markiert sie.
											Danach aktiviert man sie mit einem Schalter.
											So einfach ist das.
											(Gelächter)
									","
											Nörologlar olarak, hafızanın
nasıl çalıştığını anlamak için
											laboratuvarda farelerle çalışıyoruz.
											Bugün sizleri, beyindeki bir anıyı
											gerçekten de ışık hızında
etkinleştirebildiğimize
											ikna etmeyi umuyoruz.
											Bunu yapabilmek için
izlenecek iki basit yol var.
											Birincisi, beyinde bir anı
bulup onu işaretlersiniz
											ve sonra onu bir düğme
aracılığıyla etkinleştirirsiniz.
											Bu kadar basit.
											(Gülüşmeler)
									",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
","
","
","
",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
											SR: ¿Están convencidos?
											Resulta que encontrar un recuerdo 
en el cerebro no es fácil.
									","
											SR : Vous êtes convaincus ?
											Bon, il s'avère que trouver un souvenir
dans le cerveau n'est pas si facile.
									","
											SR: Glauben Sie uns nicht?
											Ehrlich gesagt, es ist nicht ganz so einfach, 
eine Erinnerung im Gehirn zu finden.
									","
											SR : İkna oldunuz mu?
											Anlayacağınız, beyinde bir anıyı
seçebilmek o kadar da kolay değilmiş.
									",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
"
","
","
","
",A mouse. A laser beam. A manipulated memory.,Steve Ramirez and Xu Liu,15:25,"TEDx,animals,memory,neuroscience"
