pt,en,fr,de,tr,title,speaker,duration,tags
"
","
","
","
","
",The playful wonderland behind great inventions,Steven Johnson,7:25,"animation,adventure,art,beauty,computers,collaboration,design,discovery,history,exploration,innovation,invention,visualizations,technology"
"
											(Música)
									","
											(Music)
									","
											(Musique)
									","
											(Musik)
									","
											(Müzik)
									",The playful wonderland behind great inventions,Steven Johnson,7:25,"animation,adventure,art,beauty,computers,collaboration,design,discovery,history,exploration,innovation,invention,visualizations,technology"
"
","
","
","
","
",The playful wonderland behind great inventions,Steven Johnson,7:25,"animation,adventure,art,beauty,computers,collaboration,design,discovery,history,exploration,innovation,invention,visualizations,technology"
"
											Há aproximadamente 43 000 anos,
											um jovem urso morreu
nas colinas
											na fronteira noroeste
da Eslovénia dos dias de hoje.
											Mil anos mais tarde, um mamute
morreu no sudoeste da Alemanha.
											Alguns séculos depois,
uma grifo comum também morreu
											nas proximidades.
											Não sabemos quase nada sobre
como estes animais encontraram a morte,
											mas estas criaturas diferentes,
dispersas no tempo e no espaço,
											partilharam um extraordinário destino.
											Após as suas mortes, um osso
de cada um dos seus esqueletos
											foi transformado por mãos humanas
											numa flauta.
									","
											Roughly 43,000 years ago,
											a young cave bear
died in the rolling hills
											on the northwest border
of modern day Slovenia.
											A thousand years later,
a mammoth died in southern Germany.
											A few centuries after that,
a griffon vulture also died
											in the same vicinity.
											And we know almost nothing
about how these animals met their deaths,
											but these different creatures
dispersed across both time and space
											did share one remarkable fate.
											After their deaths,
a bone from each of their skeletons
											was crafted by human hands
											into a flute.
									","
											Il y a environ 43 000 ans,
											un jeune ours des cavernes
mourut dans une région vallonnée
											à la frontière nord-ouest
de l'actuelle Slovénie.
											Mille ans plus tard, un mammouth mourut
dans le sud de l'Allemagne.
											Quelques siècles après,
un vautour fauve mourut également
											dans les alentours.
											Nous ne savons presque rien
sur comment ces animaux sont morts
											mais ces différentes créatures
dispersées dans le temps et l'espace
											ont partagé un destin remarquable.
											Après leur mort,
un os de chaque squelette
											a été transformé par des mains humaines
											en flûte.
									","
											Vor etwa 43 000 Jahren
											starb ein junger Höhlenbär in den Hügeln
											an der nordwestlichen Grenze 
des heutigen Sloweniens.
											Tausend Jahre später starb
ein Mammut in Süddeutschland.
											Einige Jahrhunderte danach
starb in der gleichen Gegend
											ein Gänsegeier.
											Wir wissen fast nichts darüber, 
wie genau diese Tiere zu Tode kamen,
											doch diese verschiedenen
in Zeit und Raum verteilten Kreaturen
											teilen ein bemerkenswertes Schicksal.
											Nach ihrem Tod wurde jeweils 
aus einem Knochen ihrer Skelette
											von Menschenhand
											eine Flöte gefertigt.
									","
											Yaklaşık 43 bin yıl önce
											yavru bir mağara ayısı günümüzde
Slovenya'nın kuzeybatı
											sınırındaki Rolling Hills'de öldü.
											Binlerce yıl sonra, Almanya'nın
güneyinde bir mamut öldü.
											Bundan birkaç yüzyıl sonra ise,
kızıl akbaba da
											aynı civarda öldü.
											Bu hayvanların ölümleri hakkında nerdeyse
hiçbir şey bilmiyoruz,
											ama bu canlılar farklı zamanlarda
ve yerlerde yaşamış olsalar da
											aynı şaşırtıcı kaderi paylaştılar.
											Ölümlerinden sonra, her birinin
iskeletlerinden
											alınan kemikler ile ustalıkla
											bir flüte dönüştürüldü.
									",The playful wonderland behind great inventions,Steven Johnson,7:25,"animation,adventure,art,beauty,computers,collaboration,design,discovery,history,exploration,innovation,invention,visualizations,technology"
"
","
","
","
","
",The playful wonderland behind great inventions,Steven Johnson,7:25,"animation,adventure,art,beauty,computers,collaboration,design,discovery,history,exploration,innovation,invention,visualizations,technology"
"
											Pensem nisso por um segundo.
											Imaginem que são um homem
das cavernas há 40 000 anos.
											Vocês dominaram o fogo,
											Construíram ferramentas
simples para caçar,
											Aprenderam a produzir
roupas de peles de animais
											para se aquecerem no inverno.
											O que escolheriam inventar a seguir?
											Parece absurdo
que inventassem a flauta,
											um utensílio que cria
vibrações inúteis nas moléculas do ar.
											Mas foi exatamente isso
que os nossos antepassados fizeram.
									","
											Think about that for a second.
											Imagine you're a caveman,
40,000 years ago.
											You've mastered fire.
											You've built simple tools for hunting.
											You've learned how to craft
garments from animal skins
											to keep yourself warm in the winter.
											What would you choose to invent next?
											It seems preposterous
that you would invent the flute,
											a tool that created
useless vibrations in air molecules.
											But that is exactly
what our ancestors did.
									","
											Réfléchissez-y un instant.
											Imaginez être un homme des cavernes
il y a 40 000 ans.
											Vous maîtrisez le feu.
											Vous fabriquez
des outils de chasse simples.
											Vous savez faire des vêtements
avec la peau d'animaux
											pour vous garder au chaud durant l'hiver.
											Que choisiriez-vous d'inventer ensuite ?
											Il semble absurde d'inventer la flûte,
											un outil créant des vibrations inutiles
parmi les molécules d'air.
											Mais c'est exactement
ce qu'ont fait nos ancêtres.
									","
											Stellen Sie sich das kurz vor:
											Sie sind ein Höhlenmensch 
vor 40 000 Jahren.
											Sie können mit Feuer umgehen,
											haben einfache Geräte für die Jagd gebaut
											und gelernt Kleidung
aus Fell herzustellen,
											um sich im Winter warm zu halten.
											Was würden Sie als Nächstes erfinden?
											Die Flöte zu erfinden, erscheint unsinnig:
											ein Gerät, das Luftmoleküle
in unnütze Schwingungen versetzt.
											Doch genau das taten unsere Vorfahren.
									","
											Bir an için
											40 bin yıl önce bir mağara adamı
olduğunuzu düşünün.
											Ateşe hükmediyorsunuz.
											Avlanmak için basit araçlar yapmışsınız.
											Kışın sizi sıcak tutması için
hayvanların derisinden
											giysi yapmayı öğrenmişsiniz.
											Yeni bir şey keşfetmek için ne seçerdiniz?
											Hava molekülleri içinde titreşimler 
yaratan flütü
											icat etmek saçma görünse de,
											atalarımızın tam olarak yaptıkları bu.
									",The playful wonderland behind great inventions,Steven Johnson,7:25,"animation,adventure,art,beauty,computers,collaboration,design,discovery,history,exploration,innovation,invention,visualizations,technology"
"
","
","
","
","
",The playful wonderland behind great inventions,Steven Johnson,7:25,"animation,adventure,art,beauty,computers,collaboration,design,discovery,history,exploration,innovation,invention,visualizations,technology"
"
											Isto parece ser
surpreendentemente comum
											na história da inovação.
											Por vezes as pessoas
inventam coisas
											porque querem sobreviver
ou alimentar os filhos
											ou conquistar a aldeia vizinha.
											Mas tão frequente quanto isso,
											surgem novas ideias no mundo
											simplesmente porque
são divertidas
											Mas o mais estranho de tudo é:
											Muitas destas invenções divertidas
e aparentemente fúteis
											acabaram por desencadear
transformações cruciais
											na ciência, na política e sociedade.
									","
											Now this turns out
to be surprisingly common
											in the history of innovation.
											Sometimes people invent things
											because they want to stay alive
or feed their children
											or conquer the village next door.
											But just as often,
											new ideas come into the world
											simply because they're fun.
											And here's the really strange thing:
											many of those playful
but seemingly frivolous inventions
											ended up sparking
momentous transformations
											in science, in politics and society.
									","
											Il s'avère que cela soit
surprenamment commun
											dans l'histoire de l'innovation.
											Parfois les gens inventent des choses
											car ils veulent rester en vie,
nourrir leurs enfants
											ou conquérir le village voisin.
											Mais tout aussi souvent,
											de nouvelles idées naissent
											simplement car elles sont amusantes.
											Voici ce qui est étrange :
											beaucoup de ces inventions
amusantes mais d'apparence frivole
											ont fini par déclencher
des transformations monumentales
											en science, en politique
et dans la société.
									","
											Es zeigt sich, dass dies 
in der Geschichte der Innovationen
											erstaunlich normal ist.
											Manchmal erfinden Leute etwas,
											weil sie überleben wollen,
um ihre Kinder zu ernähren,
											oder um das Nachbardorf zu erobern.
											Doch ebenso häufig
entstehen neue Ideen,
											weil sie einfach Spaß machen.
											Hier ist das wirklich Merkwürdige daran:
											Viele der verspielten und
anscheinend belanglosen Erfindungen
											haben letztendlich
folgenschwere Veränderungen
											in Wissenschaft, Politik
und Gesellschaft ausgelöst.
									","
											Bu buluş şaşırtıcı bir şekilde
											icatların tarihini ortaya çıkardı.
											İnsanlar bazen hayatta kalabilmek,
											çocuklarını besleyebilmek ya da
yakındaki köyü ele
											geçirebilmek için yeni fikirler
çıkardılar.
											Ama genellikle yeni fikirler
											insanların eğlendiği bir dünyada
											ortaya çıkarlar.
											İşte gerçekten şaşılası bir şey;
											Önemsiz gibi görünen eğlenceli
buluşların çoğu
											bilim, politika ve toplumda 
önemli değişikler
											meydana getirdiler.
									",The playful wonderland behind great inventions,Steven Johnson,7:25,"animation,adventure,art,beauty,computers,collaboration,design,discovery,history,exploration,innovation,invention,visualizations,technology"
"
","
","
","
","
",The playful wonderland behind great inventions,Steven Johnson,7:25,"animation,adventure,art,beauty,computers,collaboration,design,discovery,history,exploration,innovation,invention,visualizations,technology"
"
											Vejam o que pode ser a invenção
mais importante dos tempos modernos:
											os computadores programáveis.
											O que se conta é que os computadores
descendem de tecnologia militar,
											uma vez que os primeiros computadores
foram criados especificamente
											para decifrar códigos de guerra
e calcular trajetórias de mísseis.
											Mas de facto, as origens
do computador moderno
											são muito mais divertidas,
mesmo até musicais,
											do que possa imaginar.
											A ideia por detrás da flauta,
											de empurrar o ar através
de tubos para criar um som,
											veio a ser modificada
para criar o primeiro órgão
											há mais de 2000 anos.
											Alguém teve a ideia brilhante
de acionar sons
											ao pressionar pequenas
alavancas com os nossos dedos,
											inventando o primeiro teclado musical.
											Então, os teclados evoluíram dos órgãos
para o clavicórdio e daí para os cravos
											e daí para o piano,
											até meados do século XIX,
											quando uma data de inventores
finalmente tiveram a ideia
											de usar o teclado não
para acionar sons mas sim letras.
											Na verdade, a primeira
máquina de escrever
											foi originalmente chamada
""o cravo de escrever"".
									","
											Take what may be the most
important invention of modern times:
											programmable computers.
											Now, the standard story is that computers
descend from military technology,
											since many of the early computers
were designed specifically
											to crack wartime codes
or calculate rocket trajectories.
											But in fact, the origins
of the modern computer
											are much more playful,
											even musical,
											than you might imagine.
											The idea behind the flute,
											of just pushing air through tubes
to make a sound,
											was eventually modified
to create the first organ
											more than 2,000 years ago.
											Someone came up with the brilliant idea
of triggering sounds
											by pressing small levers with our fingers,
											inventing the first musical keyboard.
											Now, keyboards evolved
from organs to clavichords to harpsichords
											to the piano,
											until the middle of the 19th century,
											when a bunch of inventors
finally hit on the idea
											of using a keyboard
to trigger not sounds but letters.
											In fact, the very first typewriter
											was originally called
""the writing harpsichord.""
									","
											Prenez l'invention moderne
qui est peut-être la plus importante :
											les ordinateurs programmables.
											L'histoire habituelle est
											que les ordinateurs descendent
d'une technologie militaire,
											car les premiers ordinateurs
étaient spécialement conçus
											pour craquer des codes de guerre
ou calculer la trajectoire d'un missile.
											Mais, en fait, les origines
de l'ordinateur moderne
											sont beaucoup plus ludiques,
											voire musicales,
											que vous ne l'imaginez.
											L'idée derrière la flûte,
											de pousser l'air dans des tubes
pour produire un son,
											a fini par être modifiée
pour créer le premier orgue
											il y a plus de 2 000 ans.
											Quelqu'un a eu la brillante idée
de déclencher des sons
											en pressant de petites manettes
avec nos doigts,
											inventant le premier clavier musical.
											Les claviers ont évolué
de l'orgue au clavicorde, au clavecin,
											au piano,
											jusqu'au milieu du XIXe siècle,
											quand un groupe d'inventeurs
a finalement eu l'idée
											d'utiliser un clavier pour déclencher
non pas des sons mais des lettres.
											En fait, la première machine à écrire
											était, à l'origine, appelée :
« clavecin qui écrit ».
									","
											Nehmen wir die vielleicht wichtigste
Erfindung unserer Zeit:
											programmierbare Computer.
											Üblicherweise sagt man, dass Computer
von Militärtechnologie abstammen,
											da viele der ersten Computer
gezielt dafür gebaut wurden,
											im Krieg Codes zu knacken
oder Raketenflugbahnen zu berechnen.
											Doch tatsächlich ist der Ursprung 
moderner Computer
											viel verspielter
											und musikalischer,
											als Sie vermuten würden.
											Flötentöne entstehen,
											indem Luft durch eine Röhre gedrückt wird.
											Vor über 2000 Jahren
wurde dieses Prinzip abgeändert
											und so die erste Orgel erschaffen.
											Jemand hatte die brillante Idee,
											Töne durch das Betätigen kleiner Hebel
mit den Fingern auszulösen,
											und erfand die erste Tastatur.
											Diese entwickelte sich von der Orgel
über Klavichord und Cembalo
											hin zum Klavier,
											bis dann Mitte des 19. Jahrhunderts
											einige Erfinder darauf kamen,
											statt Tönen mit der Tastatur
Buchstaben auszulösen.
											Tatsächlich hieß die erste Schreibmaschine
											zunächst ""Schreib-Cembalo"".
									","
											Modern zamanın en önemli 
buluşunu ele alalım:
											programlanabilen bilgisayarlar.
											Bilinen hikaye bilgisayarların
askeri teknolojiden sökün ettiğidir,
											çünkü birçok eski bilgisayar
savaş döneminde
											roket yönü hesaplamak ya da kodları 
çözümlemek için kullanıldı.
											Ama aslında modern bilgisayarların kökeni
											hayal edebileceğinizden
											daha eğlenceli
											hatta daha müzikaldir.
											Sadece içine üflenip ses çıkartılan flütün
											arkasındaki fikir
											iki bin yılı aşkın bir süreden önce
											ilk organı üretmek için modifiye edildi.
											Üstündeki mandallara basarak ses çıkaran
											bir çeşit müzik klavyesi üretimi gibi
											bir fikir ortaya atıldı.
											Şimdiki klavyeler organdan,
klavsenden, harpsikordan
											piyanoya evrildi.
											19. yüzyılın ortalarında,
											birçok mucit klavyeyi kullanarak

											sesleri değil de harfleri
çıkarsak ya dedi.
											Aslında ilk daktiloya
											""yazma harpiskoru"" deniliyordu.
									",The playful wonderland behind great inventions,Steven Johnson,7:25,"animation,adventure,art,beauty,computers,collaboration,design,discovery,history,exploration,innovation,invention,visualizations,technology"
