en,pt,es,tr,title,speaker,duration,tags
"
","
","
","
",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
"
											It was just an ordinary Saturday.
											My dad was outside mowing the lawn,
											my mom was upstairs folding laundry,
											my sister was in her room doing homework
											and I was in the basement
playing video games.
											And as I came upstairs
to get something to drink,
											I looked out the window
											and realized that there was something
that I was supposed to be doing,
											and this is what I saw.
									","
											Era mais um sábado normal.
											O meu pai estava a cortar a relva,
											a minha mãe estava a dobrar a roupa,
											a minha irmã estava
a fazer os trabalhos de casa
											e eu estava na cave a jogar videojogos.
											Quando fui buscar
alguma coisa para beber,
											olhei pela janela
											e percebi que devia estar a fazer
qualquer coisa
											e foi isto que eu vi.
									","
											Era un domingo cualquiera.
											Mi papá podaba el césped afuera,
											mi mamá estaba arriba 
doblando la ropa,
											mi hermana hacía tarea en su cuarto
											y yo jugaba video juegos en el sótano.
											Subí por algo para beber
											miré afuera por la ventana
											y me di cuenta de que había algo
que se suponía debía hacer
											y esto es lo que vi.
									","
											Sıradan bir Cumartesi günüydü.
											Babam dışarıda çimleri biçiyor,
											annem yukarıda çamaşırları katlıyor,
											ablam odasında ödevlerini yapıyordu,
											bense bodrumda
bilgisayar oyunu oynuyordum.
											Yukarıya içecek
bir şeyler almak için çıktığımda,
											camdan baktım
											ve o an yapıyor olmam
gereken başka bir şeyi fark ettim
											ve bu manzarayla karşılaştım.
									",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
"
","
","
","
",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
"
											No, this wasn't
my family's dinner on fire.
											This was my science project.
											Flames were pouring out,
											smoke was in the air
											and it looked like our wooden deck
was about to catch fire.
											I immediately started yelling.
											My mom was freaking out,
											my dad ran around to put out the fire
											and of course my sister
started recording a Snapchat video.
									","
											Não, isto não era
o nosso jantar a queimar-se.
											Isto era o meu projeto de ciências.
											As chamas estavam a sair,
havia fumo no ar
											e parecia que o estrado de madeira
estava prestes a pegar fogo.
											Comecei imediatamente a gritar.
											A minha mãe estava-se a passar,
											o meu pai veio a correr apagar o fogo
											e, claro, a minha irmã começou
a gravar um vídeo para o Snapchat.
									","
											No, esta no es la cena 
de mi familia quemándose.
											Este era mi proyecto de ciencia.
											Llamas emanando
											humo en el aire
											parecía que nuestro cobijo 
de madera se iba a incendiar.
											De inmediato comencé a gritar.
											Mi mamá se asustó,
											mi papá corrió a apagar el fuego
											y claro, mi hermana comenzó 
a grabar el video en Snapchat.
									","
											Hayır, akşam yemeğimiz yanmamıştı.
											Bu benim fen projemdi.
											Alevler sıçrıyordu,
											her yer duman olmuştu
											ve ahşap verandamız
her an tutuşacak bir vaziyetteydi.
											Görür görmez bağırmaya başladım.
											Annem çıldırıyor,
											babam söndürmek için etrafta koşuşturuyor
											ve ablam tabii ki
Snapchat videosu çekiyordu.
									",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
"
","
","
","
",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									","
											(Kahkaha)
									",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
"
","
","
","
",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
"
											This was just the beginning
of my team's science project.
											My team is composed of me
and three other students
											who are here in the audience today.
											We competed in FIRST LEGO League
											which is an international
LEGO robotics competition for kids,
											and in addition to a robotics game,
											we also worked
on a separate science project,
											and this was the project
that we were working on.
									","
											Este era o começo do meu
projeto de grupo de ciências.
											O meu grupo é composto por mim 
e por outros três estudantes
											que estão hoje aqui, na plateia.
											Nós concorremos na FIRST LEGO League
											que é uma competição internacional
de robótica LEGO, para crianças.
											Para além de jogos de robótica,
											também trabalhámos
num projeto de ciência em separado.
											Era este o projeto 
em que estávamos a trabalhar.
									","
											Este fue el inicio del proyecto 
de mi equipo de ciencia.
											Mi equipo se compone 
de mí y otros tres estudiantes
											que están en la audiencia hoy.
											Competimos en la liga FIRST LEGO,
											que es una competencia internacional
de robótica LEGO para niños;
											además de un juego de robótica
											también trabajamos
en otro proyecto de ciencia
											y este fue el proyecto 
en el que trabajábamos.
									","
											Bu takımımın fen projesinin
sadece bir başlangıcıydı.
											Takımım, benimle birlikte
şu an da burada olan
											üç öğrenciden oluşuyor.
											Çocuklar için uluslararası
											LEGO robotik yarışması
olan FIRST LEGO liginde yarıştık
											ve robotik oyunlara ek olarak,
											farklı fen projelerinde yer aldık
											ve bu proje üzerinde çalışıyorduk.
									",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
"
","
","
","
",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
"
											So the idea for this project all started
											when a few months earlier,
											a couple of my teammates
took a trip to Central America
											and saw beaches littered with Styrofoam,
											or expanded polystyrene foam.
											And when they came back
and told us about it,
											we really started thinking about the ways
in which we see Styrofoam every day.
											Get a new flat-screen TV?
											You end up with a block of Styrofoam
bigger than the TV itself.
											Drink a cup of coffee?
											Well, those Styrofoam coffee cups
are sure going to add up.
											And where do all these items go
after their one-time use?
											Since there aren't any good
existing solutions for used Styrofoam,
											almost all of them
end up right in the landfill,
											or the oceans and beaches,
											taking over 500 years to degrade.
											And in fact, every year, the US alone
											produces over two billion
pounds of Styrofoam,
											filling up a staggering
25 percent of landfills.
									","
											A ideia para este projeto surgiu
											quando, há uns meses,
											dois dos meus colegas
viajaram para a América Central
											e viram praias cheias de esferovite,
											ou seja, espuma de poliestireno expandido.
											Quando eles voltaram
e nos contaram isto,
											começámos a pensar em como 
vemos esferovite todos os dias.
											Compraram uma TV nova?
											Acabam com um bloco 
de esferovite maior do que a TV.
											Estão a beber um café?
											Esses copos de esferovite
vão-se amontoar, com certeza.
											Para onde vão todos estes artigos
depois de serem utilizados só uma vez?
											Como não há nenhuma boa solução 
para o esferovite usado,
											quase todo acaba nos aterros,
											nos oceanos ou nas praias,
											e leva mais de 500 anos 
a desintegrar-se.
											De facto, todos os anos, 
só nos EUA,
											são produzidos mais de 900 mil milhões 
de quilos de esferovite,
											enchendo uns assombrosos 
25% dos aterros.
									","
											La idea de este proyecto nació
											cuando unos meses atrás,
											un par de mis compañeros 
viajó a América Central
											y vio unicel tirado en las playas,
											o poliestiereno expandido.
											Cuando regresaron
y nos contaron al respecto,
											comenzamos a pensar en las formas
en que vemos el poliestireno cada día.
											¿Compraste una pantalla de TV?
											Terminas con un bloque de poliestireno
más grande que la TV misma.
											¿Tomaste una tasa de café?
											Seguramente te lo dieron 
en una tasa de poliestiereno.
											¿A dónde van todos estos objetos
después de usados una sola vez?
											Ya que no hay solución existente 
para el poliestireno usado,
											casi todos acaban justo
en rellenos sanitarios,
											o en los océanos o playas,
											y toman más de 500 años en degradarse.
											De hecho, cada año, sólo en EE UU
											se produce más de 900 millones 
de kilos de poliestireno,
											que llenan el 25%
de los rellenos sanitarios.
									","
											Bu proje fikri, birkaç ay önce
											arkadaşlarımın Orta Amerika
											gezileri sırasında,
sahillerin strafor veya
											genleştirilmiş polistiren
köpük ile çöplüğe dönmesini
											gözlemlemeleri ile ortaya çıktı.
											Geri dönüp bizimle paylaştıklarında,
											oturup straforu günlük hayatımızda
ne şekillerde gördüğümüzü düşündük.
											Yeni bir plazma tv alındığında,
											televizyondan büyük bir
strafor kitlesiyle kalakalıyorsun.
											Bir bardak kahve içtiğinde,
											tabii ki o strafor kahve
bardakları artacak.
											Tek kullanımlık ömürleri
nasıl sonuçlanıyor?
											Kullanılmış straforlar için hâlihazırda
etkili çözümler olmadığı için
											neredeyse hepsinin sonu,
500 yılı aşkın sürede çözünme
											geçirecekleri çöp sahaları
											veya okyanus ve sahillerde bitiyor.
											Ki her yıl, sadece ABD'de
											sarsıcı bir rakama ulaşan
çöp sahalarının %25'ini
											dolduracak iki milyarın
üzerinde strafor üretiliyor.
									",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
"
","
","
","
",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
"
											So why do we have these ghost
accumulations of Styrofoam waste?
											Why can't we just recycle them
like many plastics?
											Well, simply put, recycled
polystyrene is too expensive
											and potentially contaminated,
											so there is very little market demand
for Styrofoam that has to be recycled.
											And as a result, Styrofoam
is considered a nonrenewable material,
											because it is neither feasible
nor viable to recycle polystyrene.
											And in fact, many cities across the US
											have even passed ordinances
											that simply ban the production
of many products containing polystyrene,
											which includes disposable utensils,
											packing peanuts, takeout containers
											and even plastic beach toys,
											all products that are very useful
in today's society.
											And now France
has become the first country
											to completely ban all plastic utensils,
											cups and plates.
									","
											Porque é que temos estas acumulações
fantasmagóricas de esferovite?
											Porque é que não o podemos reciclar 
como os outros plásticos?
											Pondo isto de forma simples,
reciclar esferovite sai muito caro
											e possivelmente fica contaminado,
											portanto há muito pouca procura
do mercado para o esferovite reciclado.
											Como resultado, o esferovite 
é considerado um material não renovável
											porque não é fácil nem viável
reciclar o poliestireno.
											De facto, muitas cidades dos EUA
											têm aprovado regulamentos
											que proíbem a produção de 
produtos que contêm esferovite,
											o que inclui utensílios descartáveis,
											embalagens de amendoins, 
recipientes para comida
											e até brinquedos de plástico para a praia,
											tudo produtos muito úteis
na sociedade de hoje.
											Agora, a França tornou-se 
no primeiro país
											a banir completamente
todos os utensílios de plástico,
											copos e pratos.
									","
											¿Por qué tenemos estas acumulaciones
fantasma de desecho de poliestireno?
											¿Por qué no podemos simplemente
reciclarlo como otros plásticos?
											En palabras simples, 
reciclarlo es muy caro,
											y potencialmente contaminante,
											por eso hay muy poca demanda 
para reciclar poliestireno.
											Como resultado, el poliestireno 
es considerado material no renovable,
											porque no es factible ni viable
reciclar poliestireno.
											De hecho, muchas ciudades en los EE UU
											han aprobado decretos
											que prohiben la producción de 
muchos productos de poliestireno,
											incluyendo utensilios desechables,
											bolitas de embalaje, 
contenedores para llevar
											y juguetes playeros de plástico,
											todos productos que son 
muy útiles en la sociedad actual.
											Francia se convirtió en el primer país
											en prohibir completamente
todos los utensilios plásticos,
											vasos y platos.
									","
											Strafor atığının hayalet
birikimleri ile ne işimiz var?
											Neden onları da, çoğu plastik gibi,
geri dönüştüremiyoruz?
											İşin aslı, geri dönüştürülmüş
strafor çok pahalıya patlıyor
											ve mikrop riski taşıyor,
											bu yüzden straforun geri dönüştürülmesi
hususunda çok az piyasa arzı bulunmakta.
											Nihayetindeyse, strafor geri
kazanılamayan bir madde olarak sayılıyor,
											çünkü dönüşümü
ne makul, ne de uygulanabilir.
											ABD'de birçok şehirde,
											strafor içerikli
											birçok ürün üretimini yasaklayan
bir yasa tasarısı kabul edildi;
											bunlardan bazıları plastik çatal bıçaklar,
											koli dolgu köpüğü, köpük tabildot
											ve plastik sahil oyuncakları,
											yani günümüz toplumunda
işimize yarayan birçok ürün.
											Fransa günümüzde
bütün plastik çatal bıçakları
											bardakları ve tabakları yasaklayan
											ilk ülke oldu.
									",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
"
","
","
","
",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
"
											But what if we could keep using Styrofoam
											and keep benefiting
from its cheap, lightweight, insulating
											and excellent packing ability,
											while not having to suffer
from the repercussions
											of having to dispose of it?
											What if we could turn it into
something else that's actually useful?
											What if we could make
the impossible possible?
									","
											E se pudéssemos continuar 
a usar esferovite
											e continuar a tirar proveito
de ser barato, leve, isolador
											e da sua excelente
capacidade de embalagem,
											embora não tivéssemos
de sofrer as consequências
											de termos de o deitar fora?
											E se pudéssemos torná-lo numa coisa útil?
											E se pudéssemos
tornar possível o impossível?
									","
											Pero ¿y si pudiéramos seguir 
usando poliestireno
											y seguir beneficiándose 
de su barata, ligera, aislante
											y excelente habilidad de empaque,
											sin tener que sufrir repercusiones
											al desecharlo?
											¿Y si pudiéramos convertirlo en algo útil?
											¿Y si pudiésemos hacer 
lo imposible posible?
									","
											Peki ya straforun
											geri dönüşümünde sıkıntı
yaşamak zorunda kalmadan
											ucuz, hafif, izole
											ve kullanışlı yanından faydalanmaya
											devam edebilir miyiz?
											Onu gerçekten faydalı bir
şeye dönüştürebilir miyiz?
											İmkânsızı mümkün kılabilir miyiz?
									",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
"
","
","
","
",A plan to recycle the unrecyclable,Ashton Cofer,6:01,"climate change,chemistry,collaboration,innovation,invention,pollution,materials,TED-Ed,science,technology,wunderkind,product design,water"
