en,es,pt,tr,fr,title,speaker,duration,tags
"
","
","
","
","
",Chimps have feelings and thoughts. They should also have rights,Steven Wise,14:17,"animals,culture,law"
"
											I'd like to have you look at this pencil.
											It's a thing. It's a legal thing.
											And so are books you might have
or the cars you own.
											They're all legal things.
											The great apes that you'll see behind me,
											they too are legal things.
									","
											Me gustaría que miren este lápiz.
											Es una cosa. Es una cosa legal.
											Y también pueden serlo sus
libros o los autos que tienen.
											Son todos cosas legales.
											Los grandes simios
que ven detrás de mí,
											también son cosas, semovientes.
									","
											Gostava que olhassem para este lápis.
											É uma coisa, uma coisa jurídica.
											Tal como os vossos livros e carros.
											São tudo coisas jurídicas.
											Os hominídeos que veem aqui atrás
também são coisas jurídicas.
									","
											Bu kaleme bakmanızı istiyorum.
											Bu bir 'şey'. Bu tuzel bir 'şey'.
											Kitaplarınız, arabalarınız da öyle.
											Hepsi tüzel şeyler.
											İnsansı maymunlar, arkamda görüyorsunuz,
											onlar da tüzel 'şey'ler.
									","
											Je voudrais que vous jetiez
un œil à ce crayon.
											C'est un objet. Aux yeux de
la loi, c'est un objet.
											Tout comme les livres ou les
voitures que vous possédez peut-être.
											Tous sont des objets au sens juridique.
											Les grands singes que
vous voyez derrière moi
											sont aussi des objets
aux yeux de la loi.
									",Chimps have feelings and thoughts. They should also have rights,Steven Wise,14:17,"animals,culture,law"
"
","
","
","
","
",Chimps have feelings and thoughts. They should also have rights,Steven Wise,14:17,"animals,culture,law"
"
											Now, I can do that to a legal thing.
											I can do whatever I want
to my book or my car.
											These great apes, you'll see.
											The photographs are taken by a man
named James Mollison
											who wrote a book called
""James &amp; Other Apes.""
											And he tells in his book
how every single one them,
											almost every one of them, is an orphan
											who saw his mother and father
die before his eyes.
											They're legal things.
									","
											A una cosa legal
puedo hacerle esto.
											Puedo hacerle lo que quiera
a mi libro o a mi coche.
											A estos grandes simios, ya se verá.
											Las fotografías fueron 
tomadas por James Mollison
											autor del libro ""James y otros simios"".
											Y él cuenta en su libro
cómo cada uno de ellos,
											casi todos ellos, son huérfanos
											que vieron a su madre 
y a su padre morir ante sus ojos.
											Son cosas legales.
									","
											Eu posso fazer isto a uma coisa jurídica.
											Posso fazer o que quiser
com o meu livro ou o meu carro.
											Estes hominídeos, veremos...
											As fotografias foram tiradas
por um homem chamado James Mollison,
											que escreveu um livro
chamado ""James &amp; Other Apes"".
											Ele conta, no seu livro,
como cada um deles,
											quase todos, são órfãos
que viram os pais morrer à sua frente.
											São coisas jurídicas.
									","
											Tüzel bir 'şey'e bunu yapabilirim.
											Kitabıma ya da arabama 
canım ne isterse yapabilirim.
											Bu göreceğiniz insansı maymunların
											fotoğraflarını, ""James &amp; Other Apes"" 
( James ve Diğer Maymunlar)
											adında bir kitap yazan 
James Mollison çekti.
											Kitabında, nasıl her birinin, 
neredeyse her birinin
											anne ve babaları
gözleri önünde ölmüş
											birer yetim olduklarını anlatıyor.
											Onlar tüzel şeyler.
									","
											J'ai le droit de faire ça à un objet.
											Je peux faire ce que je veux
de mes livres ou de ma voiture.
											Pour les grands singes,
vous allez voir.
											Les photos ont été prises
par un certain James Mollison
											qui a écrit un livre intitulé
« James &amp; autres singes ».
											Il explique dans son livre
que chacun d'entre eux,
											presque chacun d'entre eux,
est un orphelin
											qui a vu son père et sa mère
mourir devant ses yeux.
											Ce sont des objets juridiques.
									",Chimps have feelings and thoughts. They should also have rights,Steven Wise,14:17,"animals,culture,law"
"
","
","
","
","
",Chimps have feelings and thoughts. They should also have rights,Steven Wise,14:17,"animals,culture,law"
"
											So for centuries, there's been
a great legal wall
											that separates legal things
from legal persons.
											On one hand, legal things
are invisible to judges.
											They don't count in law.
											They don't have any legal rights.
											They don't have
the capacity for legal rights.
											They are the slaves.
											On the other side of that legal wall
are the legal persons.
											Legal persons are very visible to judges.
											They count in law.
											They may have many rights.
											They have the capacity
for an infinite number of rights.
											And they're the masters.
											Right now, all nonhuman animals
are legal things.
											All human beings are legal persons.
									","
											Desde hace siglos, ha habido
una gran muralla legal
											que separa a las cosas legales
de las personas jurídicas.
											Por un lado, las cosas legales
son invisibles para los jueces.
											No cuentan para la ley.
											No tienen ningún derecho legal.
											No están sujetas
a los derechos legales.
											Son esclavos.
											Al otro lado de ese muro legal
están las personas jurídicas.
											Las personas jurídicas son
muy visibles para los jueces.
											Cuentan ante la ley.
											Pueden tener muchos derechos.
											Tienen competencia en
un sinfín de derechos.
											Son los maestros.
											Hoy, los animales no humanos
son cosas legales.
											Los seres humanos
somos personas jurídicas.
									","
											Há séculos que existe
um grande muro jurídico
											que separa as coisas jurídicas
das pessoas jurídicas.
											Por um lado, as coisas jurídicas
são invisíveis para os juízes.
											Não têm valor perante a lei.
Não têm direitos.
											Não têm sequer essa capacidade.
São os escravos.
											Do outro lado desse muro jurídico,
estão as pessoas jurídicas.
											As pessoas jurídicas
são muito importantes para os juízes.
											Têm valor perante a lei.
Podem ter muitos direitos.
											Têm capacidade
para uma infinidade de direitos.
											E são os amos.
											Neste momento, todos os animais
não-humanos são coisas jurídicas.
											Todos os seres humanos
são pessoas jurídicas.
									","
											Yüzyıllar boyunca, tüzel şeyler 
ve gerçek kişileri
											ayıran büyük bir kanuni duvar oldu.
											Bir tarafta, tüzel şeyler, 
yargıçlar için görünmezler.
											Kanun kapsamında değiller.
											Hiçbir kanuni hakları yok.
											Kanuni hak sahibi olmaya 
yetecek kapasiteleri yok.
											Onlar kölelerdir.
											Kanun duvarının diğer yanında ise, 
gerçek kişiler.
											Yargıçlar için epeyce görülebilirlerdir.
											Kanunda bahisleri geçer.
											Birçok hakka sahip olabilirler.
											Sonsuz sayıda hak için 
yeterli kapasiteleri vardır.
											Ve onlar efendilerdir.
											Şu anda, insan dışındaki 
tüm hayvanlar tüzel şeyler.
											Bütün insanlar ise gerçek kişiler.
									","
											Depuis des siècles, il y a
un immense mur juridique
											qui sépare les objets juridiques
des personnes juridiques.
											D'un côté, les objets juridiques
qui sont inexistants pour les juges.
											Ils n'existent pas dans la loi.
											Ils n'ont aucun droit légal.
											Ils n'ont pas la capacité
d'avoir des droits légaux.
											Ce sont les esclaves.
											De l'autre côté du mur,
il y a les personnes juridiques.
											Les personnes juridiques
sont reconnues des juges.
											Elles existent dans la loi.
											Elles ont beaucoup de droits.
											Elles ont la capacité d'avoir
un nombre infini de droits.
											Et ce sont les maîtres.
											Aujourd'hui, tous les animaux non
humains sont des objets juridiques.
											Tous les humains sont
des personnes juridiques.
									",Chimps have feelings and thoughts. They should also have rights,Steven Wise,14:17,"animals,culture,law"
"
","
","
","
","
",Chimps have feelings and thoughts. They should also have rights,Steven Wise,14:17,"animals,culture,law"
"
											But being human and being a legal person
											has never been, and is not today,
synonymous with a legal person.
											Humans and legal persons
are not synonymous.
											On the one side,
											there have been many human beings
over the centuries
											who have been legal things.
											Slaves were legal things.
											Women, children,
were sometimes legal things.
											Indeed, a great deal of civil rights
struggle over the last centuries
											has been to punch a hole
through that wall and begin to feed
											these human things through the wall
and have them become legal persons.
									","
											Pero ser humano nunca ha sido,
											ni lo es hoy, sinónimo
de persona jurídica.
											Los seres humanos y las personas
jurídicas no son sinónimos.
											Por un lado,
											ha habido muchos seres 
humanos a través de los siglos
											considerados cosas legales.
											Los esclavos eran cosas legales.
											Las mujeres y los niños
fueron a veces cosas legales.
											De hecho, gran parte de la lucha
											por los derechos civiles
en los últimos siglos
											han tenido que ver
con perforar ese muro
											para que esos seres humanos lo atraviesen
y se conviertan en personas legales.
									","
											Mas ser humano
e ser uma pessoa jurídica
											nunca foi nem é
sinónimo de pessoa jurídica.
											Seres humanos e pessoas jurídicas
não são sinónimos.
											Por um lado,
											houve muitos seres humanos
ao longo dos séculos
											que foram coisas jurídicas.
											Os escravos eram coisas jurídicas.
											Por vezes, as mulheres,
as crianças foram coisas jurídicas.
											Muita da luta pelos direitos humanos
dos últimos séculos
											foi abrir um buraco nesse muro,
começar a alimentar
											estas coisas humanas através dele
e torná-las pessoas jurídicas.
									","
											Ama insan olmakla, gerçek kişi 
olmak ne bugün,
											ne de başka bir zaman 
eş anlamlı olmamıştır.
											İnsan ve gerçek kişi eş anlamlı değildir.
											Bir yanda, yüzyıllar boyunca
											birçok insan
											tüzel şey olmuştur.
											Köleler tüzel şeylerdi.
											Bazen kadınlar, çocuklar 
tüzel şeyler oldular.
											Gerçekten de, bu duvarda bir delik açıp 
oradan bu tüzel 'şey'leri duvarın
											diğer yanına geçirmek ve gerçek kişiler 
olmalarını sağlayabilmek için
											verilen sivil haklar mücadelesi 
yüzyıllardır sürmekte.
									","
											Mais être humain et être
une personne juridique
											n'ont jamais été, et ne sont toujours pas
synonymes d'être une personne juridique.
											Les humains et les personnes juridiques
ne sont pas synonymes.
											D'une part,
											il y a eu beaucoup d'humains
au cours des derniers siècles
											qui étaient des objets juridiques.
											Les esclaves étaient des objets.
											Les femmes, les enfants,
l'étaient parfois aussi.
											La lutte pour les droits civiques des
derniers siècles a essentiellement
											consisté à faire un trou dans ce mur
pour commencer à faire passer
											ces choses humaines à travers le mur, les
faire devenir des personnes juridiques.
									",Chimps have feelings and thoughts. They should also have rights,Steven Wise,14:17,"animals,culture,law"
"
","
","
","
","
",Chimps have feelings and thoughts. They should also have rights,Steven Wise,14:17,"animals,culture,law"
"
											But alas, that hole has closed up.
											Now, on the other side are legal persons,
											but they've never only been
limited to human beings.
											There are, for example, there are many
legal persons who are not even alive.
											In the United States,
											we're aware of the fact
that corporations are legal persons.
											In pre-independence India,
											a court held that a Hindu idol
was a legal person,
											that a mosque was a legal person.
											In 2000, the Indian Supreme Court
											held that the holy books
of the Sikh religion was a legal person,
											and in 2012, just recently,
											there was a treaty between
the indigenous peoples of New Zealand
											and the crown, in which it was agreed
that a river was a legal person
											who owned its own riverbed.
									","
											Pero, por desgracia,
ese agujero se ha cerrado.
											Ahora, por otro lado,
están las personas jurídicas,
											pero nunca se han limitado
a los seres humanos.
											Hay muchas personas jurídicas, por
ejemplo, que ni siquiera están vivas.
											En Estados Unidos,
											sabemos que las corporaciones
son personas jurídicas.
											En la India anterior a la independencia,
											un tribunal sostuvo que un ídolo
hindú era una persona jurídica,
											que una mezquita era
una persona jurídica.
											En 2000, la Corte Suprema de India
											sostuvo que los libros sagrados de la
religión sij eran una persona jurídica.
											Y en 2012, hace poco,
											hubo un tratado entre los pueblos
indígenas de Nueva Zelanda
											y la Corona, en la que se acordó
que un río era una persona jurídica,
											que era dueño de su propio cauce.
									","
											Mas, infelizmente,
esse buraco fechou.
											Do outro lado, estão as pessoas jurídicas,
											mas estas nunca se limitaram
aos seres humanos.
											Por exemplo, há muitas pessoas jurídicas
que nem sequer estão vivas.
											Nos EUA, sabemos
que as sociedades são pessoas jurídicas.
											Na Índia pré-independência,
o tribunal decidiu
											que um símbolo hindu
era uma pessoa jurídica,
											uma mesquita era uma pessoa jurídica.
											Em 2000, o Supremo Tribunal Indiano
											decretou que os livros sagrados
da religião Sikh eram pessoas jurídicas
											e, em 2012, há pouco tempo,
											celebrou-se um tratado
entre os indígenas da Nova Zelândia
											e a Coroa, onde se acordava
que um rio era uma pessoa jurídica,
											que tinha um leito próprio.
									","
											Ama ne yazık ki, o delik kapandı.
											Diğer yanda, tüzel kişiler var,
											ancak bunlar hiçbir zaman sadece 
insanoğluyla kısıtlı kalmadı.
											Mesela, canlı bile olmayan 
bir sürü tüzel kişi var.
											Birleşik Devletler'de,
											firmaların tüzel kişiler olduğu 
gerçeğinin farkındayız.
											Bağımsızlık öncesi Hindistan'da,
											mahkeme, bir Hindu idolü için tüzel kişi,
											bir cami için tüzel kişi kararı verdi.
											2000'de, Hindistan Yüksek Mahkemesi,
											Sih dinine ait kutsal kitapların 
tüzel kişi olduğuna hükmetti
											ve 2012'de, çok yakın bir tarih,
											Yeni Zelanda'da yerli halk mensupları 
ve kraliyet arasında
											bir nehrin kendi nehir yatağına 
sahip tüzel bir kişi olduğu
											kabul edilen bir anlaşma oldu.
									","
											Malheureusement, le trou s'est refermé.
											De l'autre côté, il y a
les personnes juridiques
											mais elles ne se sont jamais
limitées aux êtres humains.
											Par exemple, il y a beaucoup
de personnes juridiques non vivantes.
											Aux États-Unis,
											nous savons que les sociétés
sont des personnes juridiques.
											En Inde, avant l'indépendance,
											un tribunal a déclaré qu'une
idole était une personne,
											qu'une mosquée était
une personne juridique.
											En 2000, la Cour Suprême
d'Inde a déclaré que
											les livres sacrés de la religion
Sikh étaient une personne.
											Et en 2012, tout récemment,
											il y a eu un traité entre les peuples
indigènes de Nouvelle-Zélande
											et la Couronne, attestant qu'une
rivière était une personne juridique
											qui possédait son lit.
									",Chimps have feelings and thoughts. They should also have rights,Steven Wise,14:17,"animals,culture,law"
"
","
","
","
","
",Chimps have feelings and thoughts. They should also have rights,Steven Wise,14:17,"animals,culture,law"
"
											Now, I read Peter Singer's book in 1980,
											when I had a full head
of lush, brown hair,
											and indeed I was moved by it,
											because I had become a lawyer because
I wanted to speak for the voiceless,
											defend the defenseless,
											and I'd never realized how voiceless
and defenseless the trillions,
											billions of nonhuman animals are.
											And I began to work
as an animal protection lawyer.
											And by 1985, I realized that I was trying
to accomplish something
											that was literally impossible,
											the reason being that all of my clients,
											all the animals whose interests
I was trying to defend,
											were legal things; they were invisible.
											It was not going to work, so I decided
											that the only thing that was going to work
was they had, at least some of them,
											had to also be moved through a hole
that we could open up again in that wall
											and begin feeding the appropriate
nonhuman animals through that hole
											onto the other side
of being legal persons.
									","
											Lo leí en el libro de
Peter Singer en 1980,
											cuando tenía la cabeza cubierta
de cabello castaño exuberante,
											y me conmoví por eso,
											y me hice abogado porque
quería hablar por los sin voz,
											defender a los indefensos,
											y nunca me había dado cuenta de los
millones de silenciados e indefensos,
											son miles de millones
de animales no humanos.
											Y empecé a trabajar como abogado
en protección de animales.
											Y en 1985, me di cuenta de que
estaba tratando de lograr algo
											literalmente imposible,
											la razón era que mis clientes,
											los animales cuyos intereses
yo trataba de defender,
											eran cosas legales; eran invisibles.
											No iba a funcionar, por eso decidí
											que lo único que funcionaría 
sería si al menos alguno de ellos
											lograba atravesar el agujero
que pudiésemos abrir en el muro
											y empezar a pasar animales
no humanos a través de ese agujero
											hacia el lado de las personas jurídicas.
									","
											Eu li o livro do Peter Singer em 1980,
											quando ainda tinha
um cabelo farto e castanho,
											e fiquei comovido,
											porque eu seguira advocacia
para falar pelos oprimidos,
											defender os indefesos,
											e nunca me apercebera de quão
oprimidos e indefesos
											são os biliões, os milhares de milhões
de animais não-humanos.
											E comecei a trabalhar
como advogado protetor dos animais.
											Em 1985, percebi
que estava a tentar fazer uma coisa
											que era literalmente impossível,
uma vez que todos os meus clientes,
											todos os animais cujos interesses
estava a tentar defender,
											eram coisas jurídicas,
eram invisíveis.
											Não ia resultar, por isso,
decidi que a única solução era que,
											pelo menos alguns deles,
											passassem por um buraco
que voltássemos a abrir no muro
											e, através dele, começar a alimentar
os devidos animais não-humanos,
											para o lado das pessoas jurídicas.
									","
											1980'de, saçlarım henüz 
gür ve kahverengiyken
											Peter Singer'ın kitabını okudum
											ve gerçekten etkilendim.
											Çünkü ben sesi olmayan için konuşmak 
amacıyla avukat olmuştum,
											savunmasızı savunmak için
											ve trilyonlarca, milyarlarca insan harici 
hayvanın ne kadar sessiz ve savunmasız
											olduğunu asla tahmin edemezdim.
											Böylece hayvan koruma 
avukatı olarak çalışmaya başladım.
											Ve 1985'te, tam anlamıyla imkânsız 
bir şeyi başarmaya
											çalıştığımı fark ettim,
											çünkü çıkarlarını korumaya çalıştığım
											bütün müvekkilerim, 
bütün o hayvanlar,
											tüzel şeylerdi; yani görünmezdiler.
											Bu böyle olmayacaktı, bu yüzden onları,
											en azından bazılarını, o duvarda 
yine bir delik açıp
											uygun insan dışı hayvanları 
gerçek kişiler olmaları için
											o delikten diğer tarafa doğru 
beslemeye başlamanın
											işe yarayabilecek tek şey 
olduğuna karar verdim.
									","
											J'ai lu le livre de Peter Singer en 1980,
											quand j'avais des cheveux bruns
et luxuriants plein la tête,
											et j'en ai été très ému,
											car j'étais devenu avocat pour
être la voix de ceux qui étaient muets,
											défendre les sans-défense
											et je n'avais jamais réalisé à quel point
les milliers de milliards d'animaux
											non humains étaient muets et sans défense.
											Alors j'ai commencé à travailler
dans le droit des animaux.
											Et en 1985, je me suis rendu compte que
j'essayais d'accomplir quelque chose
											de littéralement impossible,
											car tous mes clients,
											tous les animaux dont j'essayais
de défendre les intérêts,
											étaient des objets juridiques invisibles.
											Ça ne pouvait pas marcher
et j'ai décidé
											que la seule chose qui pourrait marcher
serait qu'au moins quelques-uns
											soient déplacés à travers un trou
que l'on rouvrirait dans ce mur,
											pour commencer à faire passer les
animaux non humains par ce trou,
											et les amener du côté des
personnes juridiques.
									",Chimps have feelings and thoughts. They should also have rights,Steven Wise,14:17,"animals,culture,law"
"
","
","
","
","
",Chimps have feelings and thoughts. They should also have rights,Steven Wise,14:17,"animals,culture,law"
"
											Now, at that time, there was
very little known about or spoken about
											truly animal rights,
											about the idea of having legal personhood
or legal rights for a nonhuman animal,
											and I knew it was going
to take a long time.
											And so, in 1985, I figured that it
would take about 30 years
											before we'd be able to even begin
a strategic litigation,
											long-term campaign, in order to be able
to punch another hole through that wall.
											It turned out that I was pessimistic,
that it only took 28.
									","
											En ese momento, no se conocía
y se hablaba muy poco
											verdaderamente de
los derechos animales,
											de la idea de personería jurídica
o derechos legales de animales no humanos
											y sabía que llevaría mucho tiempo.
											En 1985, me di cuenta de
que pasarían unos 30 años
											antes de poder incluso 
empezar un litigio estratégico,
											una campaña a largo plazo, para poder
perforar otro agujero en ese muro.
											Resultó que fui pesimista,
solo demoró 28 años.
									","
											Naquela altura,
pouco se sabia ou falava
											dos verdadeiros direitos dos animais,
											sobre a ideia de um animal não-humano
ter personalidade jurídica ou direitos
											e eu sabia que ia levar muito tempo.
											Então, em 1985,
calculei que levaria cerca de 30 anos
											para iniciarmos 
uma litigância estratégica,
											uma campanha a longo-prazo, para
podermos abrir outro buraco no muro.
											Ao que parece, fui pessimista,
pois só levou 28 anos.
									","
											O zamanlarda, hayvan hakları hakkında, 
hayvanların gerçek kişiler olması ya da
											kanuni haklara sahip olması hakkında
											çok az şey biliniyor ve konuşuluyordu,
											ben de bunun uzun zaman 
alacağını biliyordum.
											Böylece, 1985'te, o duvarda 
bir delik daha açabilmek adına
											stratejik bir davaya, 
uzun süreli bir mücadeleye
											başlayabilmemiz için bile 
yaklaşık 30 yıl gerektiğini hesap ettim.
											Çok da karamsarmışım, 
sadece 28 yıl sürdü.
									","
											À cette époque, on savait
et on parlait très peu
											des droits animaux,
											de l'idée d'étendre la notion de personne
juridique à un animal
											et je savais que ça prendrait
beaucoup de temps.
											Et donc, en 1985, j'ai compris qu'il
faudrait environ 30 ans
											avant qu'on puisse seulement
commencer un procès stratégique,
											une campagne à long terme, pour
pouvoir creuser un trou dans ce mur.
											Il s'est avéré que j'avais été pessimiste,
car ça n'a pris que 28 ans.
									",Chimps have feelings and thoughts. They should also have rights,Steven Wise,14:17,"animals,culture,law"
