fr,en,es,title,speaker,duration,tags
"
","
","
",The Long Now,Stewart Brand,23:23,"architecture,art,design,future,technology"
"
											Bienvenue à 3000 mètres d'altitude.
											Permettez-moi d'expliquer pourquoi nous sommes ici
											et pourquoi certains d'entre ont une pomme de pin près d'eux.
											Il y a quelque temps, j'ai fait un livre intitulé ""Comment les bâtiments apprennent .""
											On pourrait appeler l'intervention d'aujourd'hui ""Comment les montagnes enseignent.""
											Un peu de contexte: Ça fait 10 ans que j'essaye de trouver la façon
											d'introduire la pensée à long terme dans la civilisation pour qu'elle soit
											automatique et courante plutôt que difficile et rare —
											ou dans certains cas, inexistante.
											Il serait utile que l'humanité s'habitue à ne penser
											que le présent n'est que la semaine prochaine ou le trimestre prochain, mais vous voyez,
											les 10 000 prochaines années et les 10 000 dernières années —
											ce qui en fait représente l'histoire de la civilisation jusqu'à présent.
									","
											Welcome to 10,000 feet.
											Let me explain why we are here
											and why some of you have a pine cone close to you.
											Once upon a time, I did a book called ""How Buildings Learn.""
											Today's event you might call ""How Mountains Teach.""
											A little background: For 10 years I've been trying to figure out how to
											hack civilization so that we can get long-term thinking
											to be automatic and common instead of difficult and rare —
											or in some cases, non-existent.
											It would be helpful if humanity got into the habit of thinking
											of the now not just as next week or next quarter, but you know,
											next 10,000 years and the last 10,000 years —
											basically civilization's story so far.
									","
											Bienvenidos a los 3000 metros.
											Permítanme explicarles por qué estamos aquí
											y por qué algunos de ustedes tienen un pino cerca.
											Érase una vez un libro que escribí llamado ""Cómo aprenden los edificios"".
											Al evento de hoy podrían llamarlo ""Cómo enseñan las montañas"".
											Un poco de historia: durante 10 años he tratado de comprender cómo
											modificar la civilización para lograr pensamiento de largo plazo
											que sea automático y común en vez de algo difícil y raro
											o, en algunos casos, inexistente.
											Sería útil que la Humanidad adquiriese el hábito de pensar
											en el ahora no sólo como la próxima semana o trimestre sino
											en 10 mil años para adelante y atrás
											básicamente la historia de nuestra civilización.
									",The Long Now,Stewart Brand,23:23,"architecture,art,design,future,technology"
"
","
","
",The Long Now,Stewart Brand,23:23,"architecture,art,design,future,technology"
"
											On a donc la Long Now Foundation à San Francisco.
											C'est un incubateur pour une douzaine de projets,
											qui ont tous à avoir avec la continuité sur le long terme.
											Notre projet principal est une folie plutôt ambitieuse —
											une entreprise mythique, je suppose ; construire une horloge de 10 000 ans
											qui puisse vraiment rester à l'heure pendant une période aussi longue que celle-là.
											Et les problèmes de conception d'un projet comme celui-là sont absolument délicieux.
											Voyons l'horloge. Et ce que nous avons ici est quelque chose
											que beaucoup d'entre vous avez vu ici il y a trois ans.
											C'est le premier prototype de l'horloge qui fonctionne.
											Il fait à peu près 3 mètres de haut.
											Conçu par Danny Hillis et Alexander Rose. En ce moment, il est à Londres,
											et il compte le temps très sciemment au musée des sciences là-bas.
									","
											So we have the Long Now Foundation in San Francisco.
											It's an incubator for about a dozen projects,
											all having to do with continuity over the long term.
											Our core project is a rather ambitious folly —
											I suppose, a mythic undertaking: to build a 10,000-year clock
											that can really keep good time for that long a period.
											And the design problems of a project like that are just absolutely delicious.
											Go to the clock. And what we have here is something
											many of you saw here three years ago.
											It's the first working prototype of the clock.
											It's about nine feet high.
											Designed by Danny Hillis and Alexander Rose. It's presently in London,
											and is ticking away very deliberately at the science museum there.
									","
											Tenemos la Fundación Long Now en San Francisco.
											Es la incubadora de una docena de proyectos
											todos relacionados con la continuidad a largo plazo.
											Nuestro proyecto principal es más bien una locura ambiciosa.
											una empresa mítica: construir un reloj de 10 mil años
											que funcione con precisión durante un período tan largo.
											Los problemas de diseño de un proyecto así son simplemente deliciosos.
											Vamos al reloj. Lo que ven aquí es algo
											que muchos vieron aquí hace tres años.
											Es el primer prototipo del reloj.
											Tiene cerca de tres metros.
											Diseñado por Danny Hillis y Alexander Rose, se encuentra en Londres
											funcionando pausadamente en el museo de ciencias.
									",The Long Now,Stewart Brand,23:23,"architecture,art,design,future,technology"
"
","
","
",The Long Now,Stewart Brand,23:23,"architecture,art,design,future,technology"
"
											Donc le problème de conception d'aujourd'hui sera,
											comment peut-on abriter une hypothétique horloge monumentale comme celle-là
											pour qu'elle puisse marquer et garder le temps merveilleusement pendant 100 siècles?
											Et bien, voici la première solution.
											Alexander Rose a eu l'idée
											d'une tour en spirale avec des rampes en pente continue.
											Et ça semblait être une façon de procéder, jusqu'à ce qu'on commence à penser
											à l'effet du temps profond sur un bâtiment.
											Et bien, voilà ce que le temps profond fait à un bâtiment.
											Voici le Parthénon. Il ne date que de 2 450 ans,
											et regardez ce qui lui est arrivé.
											Voici un projet superbe. Ils savaient vraiment qu'il durerait pour l'éternité,
											parce qu'ils l'ont construit avec des pierres absolument immenses.
											Et maintenant c'est une ruine pathétique et personne ne sait même à quoi ça servait.
											C'est ce qui arrive aux bâtiments. Ils sont vulnérables.
											Même les bâtiments les plus résistants
											comme les pyramides de Gizeh, sont en mauvais état lorsqu'on regarde de près.
											Ils ont étés pillés de fond en comble.
											Et ils ont été construits pour protéger des choses mais ils ne protègent rien.
									","
											So the design problem for today is going to be,
											how do you house an eventual monumental clock like this
											so it can really tick, save time beautifully for 100 centuries?
											Well, this was the first solution.
											Alexander Rose came up with this idea
											of a spiraloid tower with continuous sloping ramps.
											And it looked like a way to go, until you start thinking
											about, what does deep time do to a building?
											Well, this is what deep time does to a building.
											This is the Parthenon. It's only 2,450 years old,
											and look what happened to it.
											Here's a beautiful project. They really knew it'd last forever,
											because they'd build it out of absolutely huge stones.
											And now it's a pathetic ruin and no one even knows what it was used for.
											That's what happens to buildings. They're vulnerable.
											Even the most durable and intactable buildings,
											like the pyramids of Giza, are in bad shape when you look up close.
											They've been looted inside and out.
											And they're built to protect things but they don't protect things.
									","
											Entonces el problema de diseño de hoy va a ser
											¿cómo alojar un reloj descomunal como este
											para que funcione y preserve el tiempo durante cien siglos?
											Bien, esta fue la primera solución.
											Alexander Rose vino con esta idea de
											una torre en espiral con rampas de pendiente continua.
											Y parecía un camino a seguir hasta que pensamos
											¿cómo se corroe un edificio en tanto tiempo?
											Bien, mucho tiempo produce esto en un edificio.
											Este es el partenón. Tiene sólo 2450 años
											y miren lo que le pasó.
											Este es un proyecto hermoso. Ellos sabían que duraría para siempre
											porque lo contruyeron enteramente en piedra.
											Y es ahora una triste ruina que nadie sabe para qué se usaba.
											Eso es lo que le pasa a los edificios. Son vulnerables.
											Incluso los edificios más duraderos e intactos
											como las pirámides de Giza están en mal estado si miramos de cerca.
											Han sido saqueadas por dentro y por fuera.
											Fueron contruidas para protejer cosas pero no lo hacen.
									",The Long Now,Stewart Brand,23:23,"architecture,art,design,future,technology"
"
","
","
",The Long Now,Stewart Brand,23:23,"architecture,art,design,future,technology"
"
											Alors nous avons commencé à réfléchir, si on ne peut pas garder quelque chose en sécurité dans un bâtiment,
											où peut-on la garder? Donc, nous avons pensé, sous terre.
											Et si on la mettait sous terre avec vue?
											Sous terre dans un endroit qui soit vraiment solide.
											Ainsi la réponse évidente a été, il nous faut une montagne.
											Ce qu'il faut, ce n'est pas une montagne quelconque.
											Il faut absolument la bonne montagne
											si vous voulez avoir une horloge pendant 10 000 ans.
											Alors voici une image à longue distance du problème de la recherche.
											Et on en est venu à penser pour tout un tas de raisons qu'il fallait que se soit une montagne dans le désert,
											donc on a cherché dans les endroits secs du sud-ouest.
											On a cherché parmi les mesas du Nouveau Mexique.
											On a cherché parmi des volcans éteints d'Arizona.
									","
											So we got to thinking, if you can't put things safely in a building,
											where can you safely put them? We thought, OK, underground.
											How about underground with a view?
											Underground in a place that's really solid.
											So the obvious answer was, we need a mountain.
											You don't want just any mountain.
											You need absolutely the right mountain
											if you're going to have a clock for 10,000 years.
											So here's an image of the long view of the search problem.
											And we got to thinking for various reasons it ought to be a desert mountain,
											so we got looking in the dry areas of the Southwest.
											We looked at mesas in New Mexico.
											We were looking at dead volcanoes in Arizona.
									","
											Entonces pensamos que si no se puede poner a salvo en un edificio
											¿dónde poner las cosas a salvo? Pensamos, bien, bajo tierra.
											¿Qué tal bajo tierra con una vista?
											Bajo tierra en un lugar muy sólido.
											La respuesta obvia fue que necesitamos una montaña.
											Pero no cualquier montaña.
											Se necesita la montaña apropiada
											si vamos a tener un reloj durante 10 mil años.
											Aquí tenemos una imagen de la vista donde buscar.
											Y por varias razones pensamos que debía ser en una montaña del desierto
											por eso buscamos en las zonas áridas del sudoeste.
											Buscamos en las mesas de Nuevo México.
											Estuvimos buscando en los volcanes de Arizona.
									",The Long Now,Stewart Brand,23:23,"architecture,art,design,future,technology"
"
","
","
",The Long Now,Stewart Brand,23:23,"architecture,art,design,future,technology"
"
											Ensuite Roger Kennedy, qui était le directeur du National Parks Service,
											nous a conduit à l'Est du Nevada
											dans le plus nouveau et le plus vieux des parcs nationaux américains
											qui s'appelle le Great Basin National Park.
											Il est exactement sur la frontière est du Nevada.
											C'est la chaîne de montagnes la plus haute de l'état — qui culmine à plus de 4 200 mètres.
											Vous observerez qu'à gauche, à l'ouest, c'est très abrupt,
											et à droite, c'est en pente douce.
											Cet endroit est isolé. Il est à presque 350 kilomètres d'une grande ville.
											Il est éloigné de toutes les autoroutes et les voies ferrées.
											Et c'est — la seule autoroute à proximité est celle qu'on appelle
											l'autoroute la plus solitaire des États-Unis, US 50.
									","
											Then Roger Kennedy, who was the director of the National Parks Service,
											led us to Eastern Nevada,
											to America's newest and oldest national park,
											which is called Great Basin National Park.
											It's right on the eastern border of Nevada.
											It's the highest range in the state — over 13,000 feet.
											And you'll notice that on the left, on the left, on the west, it's very steep,
											and on the right it's gentle.
											This place is remote. It's over 200 miles from any major city.
											It's nowhere near any Interstate or railroad.
											And it's — the only thing that goes by is what's called
											America's loneliest highway, U.S. 50.
									","
											Luego Roger Kennedy, entonces director del Servicio de Parques Nacionales
											nos llevó a Nevada del Este
											al más reciente y antiguo parque nacional de EE.UU.
											llamado Parque Nacional de la Gran Cuenca.
											Está justo en el límite oriental de Nevada.
											Es la sierra más alta del estado, más de 3900 metros.
											Y notarán que a la izquierda, al oeste, es muy empinada
											y a la derecha es suave.
											Este lugar es remoto. Está a más de 300 km de cualquier ciudad importante.
											No hay autopistas ni ferrocarril cerca.
											La única cosa que pasa cerca es la autopista
											más solitaria de EE.UU., la US 50.
									",The Long Now,Stewart Brand,23:23,"architecture,art,design,future,technology"
