en,es,fr,pt,tr,de,title,speaker,duration,tags
"
","
","
","
","
","
",What we don't teach kids about sex,Sue Jaye Johnson,7:19,"TED Residency,sex,children,parenting,human body,teaching,humanity"
"
											I remember my aunt
brushing my hair when I was a child.
											I felt this tingling in my stomach,
											this swelling in my belly.
											All her attention on me,
											just me.
											My beautiful Aunt Bea,
											stroking my hair
with a fine-bristled brush.
											Do you have a memory like that
that you can feel in your body right now?
									","
											Recuerdo a mi tía cepillándome 
el cabello cuando era niña.
											Sentí este cosquilleo en el estómago,
											esas mariposas en la barriga.
											Toda su atención dirigida a mí,
											solo a mí.
											Mi hermosa tía Bea,
											acariciando mi cabello
con un cepillo de cerdas finas.
											¿Tienen algún recuerdo así, que 
pueden sentir en su cuerpo ahora mismo?
									","
											Enfant, je me souviens de ma tante
me brossant les cheveux.
											Je ressentais ce picotement à l'estomac,
											ce gonflement de mon ventre.
											Toute son attention sur moi,
											moi uniquement.
											Ma magnifique tante Bea,
											me caressant les cheveux
avec une brosse à soie fine.
											Avez-vous un tel souvenir que vous pouvez
ressentir dans votre corps ?
									","
											Lembro-me da minha tia a pentear 
o meu cabelo quando eu era criança.
											Eu sentia um formigueiro no meu estômago,
											um inchaço na minha barriga.
											Eu tinha toda a atenção dela,
											apenas para mim.
											A minha linda tia Bea,
											a acariciar o meu cabelo 
com uma escova de cerdas finas.
											Vocês têm alguma memória assim,
que consigam sentir no vosso corpo agora?
									","
											Halamın çocukken saçlarımı
taradığını hatırlıyorum.
											Midemde bu karıncalanmayı hissettim,
											karnımdaki bu şişmeyi.
											Bütün dikkati benim üstümdeydi,
											sadece benim.
											Benim güzel Bea halam,
											saçlarımı okşarcasına
tarardı.
											Vücudunuzda bu denli hissedebildiğiniz
bir anı var mı şu anda?
									","
											Ich erinnere mich, wie mir meine Tante
											als Kind die Haare bürstete.
											Ich spürte dieses Kribbeln im Bauch,
											das Anschwellen in meinem Bauch.
											All ihre Aufmerksamkeit auf mir,
											nur auf mir.
											Meine wunderschöne Tante Bea,
											wie sie mein Haar
											mit einer feinen Bürste streichelte.
											Haben Sie so eine Erinnerung,
											die Sie in diesem Moment
											in Ihrem Körper spüren?
									",What we don't teach kids about sex,Sue Jaye Johnson,7:19,"TED Residency,sex,children,parenting,human body,teaching,humanity"
"
","
","
","
","
","
",What we don't teach kids about sex,Sue Jaye Johnson,7:19,"TED Residency,sex,children,parenting,human body,teaching,humanity"
"
											Before language,
											we're all sensation.
											As children, that's how we learn
											to differentiate ourselves
in the world — through touch.
											Everything goes in the mouth,
the hands, on the skin.
											Sensation —
											it is the way that we first
experience love.
											It's the basis of human connection.
											We want our children to grow up
to have healthy intimate relationships.
											So as parents,
											one of the things that we do
is we teach our children about sex.
											We have books to help us,
											we have sex ed at school for the basics.
											There's porn to fill in the gaps —
											and it will fill in the gaps.
									","
											Antes del lenguaje,
											somos pura sensación.
											De niños, así es como aprendemos
											a diferenciarnos en el mundo,
a través del tacto.
											Todo pasa por la boca, las manos, la piel.
											La sensación...
											es la forma en que experimentamos
el amor por primera vez.
											Es la base de la conexión humana.
											Queremos que nuestros hijos crezcan
y tengan relaciones íntimas y sanas.
											Entonces, como padres,
											enseñamos a nuestros hijos sobre el sexo.
											Tenemos libros para ayudarnos,
											tenemos educación sexual en la escuela
para lo básico.
											Hay pornografía para llenar vacíos...
											y llenará vacíos.
									","
											Avant d'acquérir la parole,
											nous ne sommes que sensations.
											Enfants, nous apprenons ainsi
											à nous différencier dans le monde,
à travers le toucher.
											Tout va dans la bouche,
dans les mains, sur la peau.
											Les sensations —
											c'est à travers elles que nous connaissons
l'amour la première fois.
											C'est la base du contact humain.
											Nous voulons que nos enfants aient
des relations intimes saines.
											Alors en tant que parents,
											nous éduquons nos enfants
au sujet du sexe.
											Des livres nous aident,
											il y a une éducation sexuelle
à l'école pour les bases.
											Il y a le porno pour combler les vides —
											et il comblera les vides.
									","
											Antes da linguagem,
											somos todos sensações.
											Enquanto crianças,
é como aprendemos
											a diferenciar-nos no mundo: 
através do toque.
											Tudo vai para a boca,
para as mãos, para a pele.
											Sensação,
											é como nós experimentamos
o amor pela primeira vez.
											É a base da conexão humana.
											Queremos que os nossos filhos cresçam 
para ter relações íntimas saudáveis.
											Por isso, enquanto pais,
											ensinamos os nossos filhos sobre sexo.
											Temos livros para nos ajudar,
											temos educação sexual
na escola para ensinar o básico.
											Existe a pornografia 
para preencher as lacunas,
											e irá preencher as lacunas.
									","
											Dilden önce,
											hepimiz bir histen ibaretiz.
											Çocukken kendimizi dünyada
											bireyselleştirmeyi böyle öğreniriz—
dokunuş ile.
											Ağıza alınan her şey, eller, ten
											Duyu —
											sevgiyi tecrübe ettiğimiz
ilk yol.
											İnsan iletişiminin temelidir.
											Çocuklarımızın büyüyüp sağlıklı bir
ikili ilişkiye sahip olmasını istiyoruz.
											Ve ebeveynler olarak,
											çocuklarımıza cinsellik ile ilgili
bilgiler veriyoruz.
											yardım için kitaplar,
											okullarda cinsellik temel eğitimi var.
											Boşlukları doldurması için porno var —
											ve boşlukları dolduruyor.
									","
											Bevor wir sprechen,
bestehen wir nur aus Empfinden.
											Als Kinder lernen wir so,
											uns in der Welt zu differenzieren —
											durch Berührung.
											Alles geht in den Mund, in die Hände,
											auf die Haut.
											Empfinden —
											auf diesem Wege spüren wir
das erste Mal Liebe.
											Es ist die Basis menschlicher Verbindung.
											Wir möchten, dass 
unsere Kinder so aufwachsen,
											dass sie gesunde intime Beziehungen haben.
											Also klären wir Eltern
unsere Kinder über Sex auf.
											Wir nehmen Bücher zur Hilfe,
											wir haben Sexualkunde in der Schule,
für die Grundlagen.
											Es gibt Porno, um die Lücken zu füllen —
											und es wird die Lücken füllen.
									",What we don't teach kids about sex,Sue Jaye Johnson,7:19,"TED Residency,sex,children,parenting,human body,teaching,humanity"
"
","
","
","
","
","
",What we don't teach kids about sex,Sue Jaye Johnson,7:19,"TED Residency,sex,children,parenting,human body,teaching,humanity"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									",What we don't teach kids about sex,Sue Jaye Johnson,7:19,"TED Residency,sex,children,parenting,human body,teaching,humanity"
"
","
","
","
","
","
",What we don't teach kids about sex,Sue Jaye Johnson,7:19,"TED Residency,sex,children,parenting,human body,teaching,humanity"
"
											We teach our children ""the talk""
about biology and mechanics,
											about pregnancy and safe sex,
											and that's what our kids grow up thinking
that sex is pretty much all about.
											But we can do better than that.
											We can teach our sons and daughters
about pleasure and desire,
											about consent and boundaries,
											about what it feels like
to be present in their body
											and to know when they're not.
											And we do that in the ways
that we model touch, play,
											make eye contact —
											all the ways that we engage their senses.
											We can teach our children
not just about sex,
											but about sensuality.
									","
											Tenemos con nuestros hijos ""la charla""
sobre biología y mecánica,
											sobre el embarazo y el sexo seguro,
											y nuestros hijos crecen creyendo
que de eso se trata el sexo.
											Pero podemos hacerlo mejor.
											Podemos enseñar a nuestros hijos e hijas
sobre el placer y el deseo,
											sobre el consentimiento y los límites,
											sobre lo que se siente
al estar presentes en sus cuerpos
											y saber cuándo no.
											Y lo hacemos en las formas en que
modelamos el tacto, el juego,
											hacer contacto visual...
											todas las formas en que empleamos 
sus sentidos.
											Podemos enseñarles a nuestros hijos
no solo sobre el sexo
											sino sobre la sensualidad.
									","
											Nous avons cette discussion
avec nos enfants
											sur la biologie
et la mécanique corporelle,
											la grossesse et le sexe sans risque
											et nos enfants grandissent en pensant
que c'est cela le sexe.
											Nous pouvons faire mieux.
											Nous pouvons enseigner à nos fils
et filles les notions de plaisir et désir,
											de consentement et de limites,
											ce que c'est d'être présent dans son corps
											et savoir quand on ne l'est pas.
											Nous pouvons le faire
avec notre façon de toucher, jouer,
											les regarder dans les yeux —
											toutes ces façons d'engager leurs sens.
											Nous pouvons enseigner
à nos enfants la notion de sexe,
											mais aussi de sensualité.
									","
											Ensinamos aos nossos filhos ""a conversa"",
sobre a biologia e o funcionamento,
											sobre a gravidez e sobre sexo seguro,
											e é assim que os nossos filhos 
crescem a pensar que sexo é só isso.
											Mas podemos fazer melhor que isso.
											Nós podemos ensinar os nossos filhos 
e filhas sobre o prazer e o desejo,
											sobre consentimento e limites,
											sobre como é estar presente
no seu próprio corpo
											e saber quando não estão.
											E nós fazemos isso na maneira 
como tocamos, brincamos,
											fazemos contacto visual,
											todas as formas como acionamos
as suas sensações.
											Além do sexo, nós podemos ensinar 
os nossos filhos a sensualidade.
									","
											Çocuklarımıza biyoloji ve mekanik
hakkında konuşmayı öğretiyoruz
											hamilelik ve güvenli seks ile ilgili
											ve çocuklarımız büyüdüğünde seksin
çoğunlukla bundan ibaret olduğunu sanıyor.
											Ama daha iyisini yapabiliriz.
											Kızlarımıza ve oğullarımıza 
zevki ve arzuyu,
											rızayı ve sınırları,
											kendi vücutlarındaki varlıklarının 
ne hissettirdiğini
											ve aksini fark etmeyi de öğretebiliriz.
											Ve bunu da onların anlayacağı biçimde
oynayarak, dokunarak
											göz kontağı kurarak —
											tüm duyularına erişerek yapabiliriz.
											Çocuklarımıza sadece seks ile 
ilgili değil,
											hissellikle ilgili şeyler de 
öğretebiliriz.
									","
											Wir bringen unseren Kindern
in ""diesem Gespräch""
											die Biologie und Mechanismen bei,
											Schwangerschaft und sicheren Sex,
											und unsere Kinder wachsen auf und denken,
											dass es beim Sex lediglich darum geht.
											Aber wir können das besser.
											Wir können unsere Söhne und Töchter
											über Lust und Verlangen aufklären,
											über Einwilligung und Grenzen,
											darüber, wie es sich anfühlt,
											in ihrem Körper präsent zu sein
											und zu wissen, wenn sie es nicht sind.
											Wir tun das
											durch Berührung, Spiel, Augenkontakt,
											so, wie wir ihre Sinne stärken.
											Wir können unseren Kindern
											nicht nur Sex beibringen,
											sondern auch Sinnlichkeit.
									",What we don't teach kids about sex,Sue Jaye Johnson,7:19,"TED Residency,sex,children,parenting,human body,teaching,humanity"
"
","
","
","
","
","
",What we don't teach kids about sex,Sue Jaye Johnson,7:19,"TED Residency,sex,children,parenting,human body,teaching,humanity"
"
											This is the kind of talk
that I needed as a girl.
											I was extremely sensitive,
											but by the time I was an adolescent,
											I had numbed out.
											The shame of boys mocking my changing body
											and then girls exiling me for,
											ironically, my interest in boys,
											it was so much.
											I didn't have any language
for what I was experiencing;
											I didn't know it was going to pass.
											So I did the best thing
I could at the time
											and I checked out.
											And you can't isolate
just the difficult feelings,
											so I lost access to the joy,
the pleasure, the play,
											and I spent decades like that,
											with this his low-grade depression,
											thinking that this is
what it meant to be a grown-up.
									","
											Este es el tipo de charla
que necesitaba de niña.
											Era extremadamente sensible,
											y cuando llegué a ser adolescente,
											estaba anestesiada.
											La vergüenza de los chicos
que se burlaban de mi cuerpo cambiante
											y de las chicas que me excluían porque,
											irónicamente, mi interés por los chicos,
											era demasiado.
											No tenía las palabras para
lo que estaba sintiendo;
											no sabía qué iba a pasar.
											Así que hice lo mejor que pude
en ese momento
											y me desconecté.
											Y no se puede aislar
solo los sentimientos difíciles,
											así que perdí el acceso a la alegría,
al placer, al juego,
											y pasé décadas así,
											con una depresión leve,
											pensando que esto significa ser adulta.
									","
											C'est le genre de discussion
dont j'avais besoin.
											J'étais extrêmement sensible,
											mais adolescente,
											j'étais devenue insensible.
											La honte des garçons se moquant
de mon corps changeant
											et les filles m'exilant,
											ironiquement, pour mon intérêt
pour les garçons,
											c'était beaucoup.
											Je n'avais pas de mots
pour ce que je vivais ;
											j'ignorais que cela allait passer.
											Alors j'ai fait du mieux
que je pouvais à l'époque :
											me détacher émotionnellement.
											On ne peut pas isoler
que les sentiments difficiles
											alors j'ai perdu accès à la joie,
au plaisir, au jeu
											et j'ai passé des décennies ainsi,
											avec cette dépression latente,
											à penser que c'était cela, être adulte.
									","
											Este é o tipo de conversa
de que eu precisava em miúda.
											Eu era extremamente sensível,
											e quando cheguei a adolescente,
											desliguei-me, deixei de sentir.
											A vergonha de os rapazes gozarem
com o meu corpo em mudança
											e as raparigas que, ironicamente, 
me colocavam de parte
											pelo meu interesse em rapazes,
											era demasiado para mim.
											Eu não sabia exprimir aquilo 
por que estava a passar,
											eu não sabia que aquilo ia passar.
											Então, fiz a melhor coisa
que podia ter feito na altura
											e desliguei-me.
											E não dá para desligar 
apenas os sentimentos complicados,
											então renunciei à felicidade,
ao prazer, às brincadeiras
											e passei décadas assim,
											com esta depressão leve,
											a pensar que isto era
o que significava ser um adulto.
									","
											Bu benim bir kızken tam ihtiyacım
olan konuşmaydı.
											Oldukça hassastım
											ama ergenliğe girdiğimde
											hissizleşmiştim.
											Çocukların değişen vücudumla dalga geçmesi
											sonra kızların beni, ironik bir şekilde,
											erkeklere olan ilgim nedeniyle dışlaması,
											çok fazla gelmişti.
											Hiçbir dilde hissettiklerimi anlatmam
mümkün değildi;
											geçeceğini bilmiyordum.
											Bende o zaman yapılabilecek en iyi
şeyi yaptım
											uzaklaştım.
											Ve sadece zor duyguları
uzaklaştıramazsınız,
											bu yüzden zevk ve mutluluğa
erişimimi kaybettim,
											yıllarımı böyle düşük çaplı,
											bir depresyonlar geçirdim.
											Büyümenin böyle bir şey olduğunu
düşündüm.
									","
											Dies ist die Art von Gespräch,
											die ich als Mädchen brauchte.
											Ich war sehr feinfühlig,
											aber als ich heranwuchs,
											war ich abgestumpft.
											Die Scham über Jungs, die meinen
											sich ändernden Körper hänselten
											und die Mädchen, die mich ironischerweise
											wegen meines Interesses
an Jungs ausschlossen,
											es war so viel.
											Ich hatte keine Sprache für das, 
was ich erlebte.
											Ich wusste nicht,
dass es vorbeigehen würde.
											Also machte ich das Beste,
											was ich zu der Zeit tun konnte,
											und klinkte mich aus.
											Man kann nicht nur
die schwierigen Gefühle ausblenden,
											also habe ich die Freude,
											die Lust zum Spielen verloren.
											Ich habe Jahrzehnte so verbracht,
											mit dieser leichten Depression,
											und dachte, dass dies
											die Bedeutung von Erwachsenwerden sei.
									",What we don't teach kids about sex,Sue Jaye Johnson,7:19,"TED Residency,sex,children,parenting,human body,teaching,humanity"
