pt,en,es,tr,fr,de,title,speaker,duration,tags
"
","
","
","
","
","
",The child-driven education,Sugata Mitra,17:13,"children,education,technology,web,global development,global issues"
"
											Bem, aquela é uma afirmação
bastante óbvia.
											Comecei com aquela frase
há cerca de 12 anos,
											e comecei no contexto
											dos países em desenvolvimento,
											mas vocês aqui sentados
são de todos os cantos do mundo.
											Se pensarem num mapa do vosso país,
											penso que vão perceber
											que, para cada país na Terra,
											podiam desenhar pequenos círculos
para dizer:
											""Estes são lugares para onde
os bons professores não vão.""
											Ainda por cima,
											esses são os lugares
de onde vêm os problemas.
											Então temos um problema irónico.
											Os bons professores não querem ir
											para aqueles lugares
onde são mais necessários.
									","
											Well, that's kind of an obvious statement up there.
											I started with that sentence about 12 years ago,
											and I started in the context
											of developing countries,
											but you're sitting here from every corner of the world.
											So if you think of a map of your country,
											I think you'll realize
											that for every country on Earth,
											you could draw little circles to say,
											""These are places where good teachers won't go.""
											On top of that,
											those are the places from where trouble comes.
											So we have an ironic problem —
											good teachers don't want to go
											to just those places where they're needed the most.
									","
											Bueno, allí arriba hay una declaración obvia.
											Empecé con esa frase hace unos 12 años,
											y empecé en el contexto
											de los países en desarrollo
											pero Uds. vienen de todos los rincones del planeta.
											Así que si piensan en el mapa de sus países
											creo que se darán cuenta
											que para cada país del mundo
											se pueden dibujar pequeños círculos que digan:
											""Estos son lugares donde los buenos maestros no llegan"".
											Además de eso,
											esos son los lugares donde se generan los problemas.
											Así que tenemos un problema irónico.
											Los buenos maestros no quieren ir
											justamente a los lugares donde más se les necesita.
									","
											Çok belirgin bir ifade var.
											12 yıl önce bu cümleyle başladım,
											ve gelişmiş ülkeler bağlamında
											düşündüm.
											Sizler dünyanın farklı köşelerindensiniz.
											Ülkelerinizin haritasını gözününüzün önüne getirdiğinizde,
											zannediyorum ki Dünya üzerindeki tüm ülkeler için
											geçerli olan bir durum vardır o da
											öğretmenlerin hiç gitmek istemeyecekleri
											yerler vardır.
											En önemlisi ise
											bu yerler sorunların kaynağı olan yerlerdir.
											Bu durumda ironik bir sorunla karşı karşıyayız.
											İyi öğretmenler
											kendilerine en fazla ihtiyaç duyulan yerlerde çalışmazlar.
									","
											Et bien, voilà une déclaration plutôt évidente qui s'affiche.
											J'ai commencé avec cette déclaration il y a 12 ans,
											et j'ai commencé dans le contexte
											de pays en développement
											mais vous êtes assis là et venez de tous les coins du monde.
											Alors si vous pensez à une carte de votre pays,
											je pense que vous vous rendrez compte
											que pour chaque pays sur terre,
											on pourrait dessiner des petits cercles pour dire,
											""Voici les endroits où les bons enseignants n'iront pas.""
											En plus de cela,
											ce sont les endroits d'où viennent les problèmes.
											Nous avons donc un problème ironique.
											Les bons enseignants ne veulent pas aller
											précisément dans ces endroits où on a le plus besoin d'eux.
									","
											Nun, das da oben ist irgendwie eine offensichtliche Aussage.
											Vor 12 Jahren habe ich mit diesem Satz begonnen.
											Ich begann im Zusammenhang
											mit Entwicklungsländern,
											aber Sie hier kommen aus allen Ecken der Welt.
											Wenn Sie an eine Karte Ihres Land denken,
											werden Sie, denke ich, erkennen,
											dass man für jedes Land auf der Welt
											kleine Kreise zeichnen könnte um zu zeigen,
											""Dies sind die Orte, an die gute Lehrer nicht gehen.""
											Zu alledem
											sind das die Orte, woher die Schwierigkeiten kommen.
											Das Problem entbehrt nicht einer gewissen Ironie.
											Gute Lehrer wollen gerade nicht
											an die Orte gehen, an denen sie am meisten gebraucht werden.
									",The child-driven education,Sugata Mitra,17:13,"children,education,technology,web,global development,global issues"
"
","
","
","
","
","
",The child-driven education,Sugata Mitra,17:13,"children,education,technology,web,global development,global issues"
"
											Comecei em 1999
											a tentar abordar este problema
com uma experiência,
											que era uma experiência
muito simples, em Nova Deli.
											Basicamente, eu embuti um computador
											num muro de um bairro de lata
em Nova Deli.
											As crianças quase não iam à escola.
Não sabiam o mínimo de inglês.
											Nunca tinham visto um computador,
											e não sabiam o que era a Internet.
											Fiz uma ligação de Internet
a alta velocidade,
											a cerca de um metro do chão,
liguei-a e deixei-a ali.
											Depois disto,
											notámos algumas coisas interessantes,
que vão passar a ver.
											Mas eu fiz isto por toda a Índia
											e depois
											em grande parte do mundo
											e notei que as crianças
vão aprender a fazer
											aquilo que querem aprender a fazer.
									","
											I started in 1999
											to try and address this problem with an experiment,
											which was a very simple experiment in New Delhi.
											I basically embedded a computer
											into a wall of a slum in New Delhi.
											The children barely went to school, they didn't know any English —
											they'd never seen a computer before,
											and they didn't know what the internet was.
											I connected high speed internet to it — it's about three feet off the ground —
											turned it on and left it there.
											After this,
											we noticed a couple of interesting things, which you'll see.
											But I repeated this all over India
											and then through
											a large part of the world
											and noticed
											that children will learn to do
											what they want to learn to do.
									","
											Empecé en 1999
											a tratar de abordar este problema con un experimento,
											un experimento muy simple en Nueva Delhi.
											Básicamente incrusté una computadora
											en una pared de un barrio pobre de Nueva Delhi.
											Los niños apenas iban a la escuela. No sabían nada de inglés.
											Nunca antes habían visto una computadora
											y no sabían qué era internet.
											La conecté a internet de alta velocidad -está a un metro del suelo-,
											la encendí y la dejé allí.
											Después de esto,
											observamos un par de cosas interesantes, que ya van a ver.
											Repetí esto por toda India
											y luego en
											gran parte del mundo
											y observé
											que los niños aprenderán a hacer
											lo que quieren aprender a hacer.
									","
											Ben 1999'da
											bir deneyle bu soruna dikkat çekmeye başladım,
											ki bu deney Yeni Delhi'de yaptığım basit bir deneydi.
											Yeni Delhi'nin varoşlarında
											bir duvara bir bilgisayar gömdüm.
											Mahalledeki çocuklar nadiren okula gidiyorlardı. Hiç biri İngilizce bilmiyordu.
											Hiçbiri daha önce bir bilgisayar görmemişlerdi,
											ve internetin ne olduğunu bilmiyorlardı.
											Yerden yakşalık bir metre yüksekteydi ve bilgisayara hızlı bir internet bağlantısı kurdum,
											çalıştırdım ve o şekilde bıraktım.
											Sonra
											size de göstereceğim birkaç ilginç şey oldu.
											Bunu önce tüm Hindistan'da
											ve sonra da
											dünyanın bir çok yerinde tekrarladım
											ve farkettim ki
											çocuklar bir şeyi yapmak istiyorlarsa
											onun nasıl yapılacağını öğrenirler.
									","
											J'ai commencé en 1999
											à essayer de résoudre ce problème avec une expérimentation,
											qui était une expérience très simple à New Delhi.
											En gros, j'ai encastré un ordinateur
											dans le mur d'un bidonville à New Delhi.
											Les enfants allaient très peu à l'école. Il ne connaissaient pas l'anglais.
											Ils n'avaient jamais vu un ordinateur,
											et il ne savaient pas ce qu'était internet.
											J'ai mis une connexion haut débit sur l'ordinateur — il est à environ un mètre du sol —
											je l'ai allumé et je l'ai laissé là.
											Après ça,
											nous avons remarqué deux ou trois choses intéressantes, que vous allez voir.
											Mais j'ai répété cette expérience dans toute l'Inde
											et puis dans
											une grande partie du monde
											et j'ai remarqué
											que les enfants apprennent à faire
											ceux qu'ils veulent apprendre à faire.
									","
											Ich begann 1999
											als ich versuchte dieses Problem mit einem Experiment anzugehen.
											Es war ein ganz einfaches Experiment in Neu Delhi.
											Ich installierte einen Computer
											in eine Mauer in den Slums von Neu Dehli.
											Die Kinder besuchten kaum eine Schule. Sie konnten kein Englisch.
											Sie haben nie zuvor einen Computer gesehen,
											und wußten nicht, was das Internet war.
											Ich verband ihn mit dem Highspeed Internet — er ist etwa 1 Meter über dem Boden —
											habe ihn angeschaltet, und so dort zurückgelassen.
											Danach
											haben wir, wie Sie sehen werden, einige interessante Dinge beobachtet.
											Ich habe das überall in Indien wiederholt,
											und dann in vielen
											anderen Teilen der Welt,
											und beobachtet,
											dass Kinder lernen das zu tun,
											was sie zu tun lernen wollen.
									",The child-driven education,Sugata Mitra,17:13,"children,education,technology,web,global development,global issues"
"
","
","
","
","
","
",The child-driven education,Sugata Mitra,17:13,"children,education,technology,web,global development,global issues"
"
											Esta é a primeira experiência que fizemos.
											À vossa direita, um rapaz com oito anos
											a ensinar a sua aluna,
uma miúda de seis anos.
											Ele estava a ensiná-la a navegar.
											Este rapaz aqui no meio da Índia central,
											isto é numa vila de Rajasthan,
											onde os miúdos gravavam
a sua própria música
											e depois tocavam-na uns aos outros,
											e no processo,
											divertiram-se do princípio ao fim.
											Fizeram tudo isto em quatro horas
											depois de verem um computador
pela primeira vez.
											Numa outra vila no sul da Índia,
											estes rapazes aqui
											montaram uma câmara de filmar
											e estavam a tentar tirar
a fotografia de uma abelha.
											Fizeram a transferência
a partir do Disney.com,
											ou um desses websites,
											14 dias depois de colocar
o computador na sua vila.
											Portanto, no fim disto tudo,
											concluímos que grupos de crianças
											conseguem aprender a utilizar computadores
e a Internet por sua conta,
											independentemente de quem fossem
ou de onde estivessem.
									","
											This is the first experiment that we did —
											eight year-old boy on your right
											teaching his student, a six year-old girl,
											and he was teaching her how to browse.
											This boy here in the middle of central India —
											this is in a Rajasthan village,
											where the children recorded their own music
											and then played it back to each other
											and in the process,
											they've enjoyed themselves thoroughly.
											They did all of this in four hours
											after seeing the computer for the first time.
											In another South Indian village,
											these boys here
											had assembled a video camera
											and were trying to take the photograph of a bumble bee.
											They downloaded it from Disney.com,
											or one of these websites,
											14 days after putting the computer in their village.
											So at the end of it,
											we concluded that groups of children
											can learn to use computers and the internet on their own,
											irrespective of who
											or where they were.
									","
											Este es el primer experimento que hicimos:
											un niño de 8 años a la derecha
											enseñándole a su alumna, de 6 años,
											le estaba enseñando a navegar.
											Este niño en medio de India central...
											esto es en un pueblo de Rajastán,
											donde los niños grabaron su propia música
											y luego la tocan unos a otros,
											y, durante el proceso,
											ellos mismos han disfrutado a fondo.
											Hicieron todo esto en 4 horas
											después de ver la computadora por primera vez.
											En otro pueblo al sur de India
											estos niños
											armaron una cámara de video
											y estaban tratando de sacarle una foto a un abejorro.
											Lo descargaron de disney.com
											o uno de estos sitios web,
											14 días después de poner la computadora en su pueblo.
											Así que al final de eso
											concluimos que los grupos de niños
											pueden aprender a usar computadoras e internet por su cuenta
											independientemente de quiénes sean
											o dónde se encuentren.
									","
											Bu yaptığımız ilk deney —
											size göre sağda bulunan sekiz yaşındaki çocuk
											altı yaşındaki öğrencisine
											internette nasıl gezineceğini öğretiyordu.
											Buradaki çocuk Orta Hindistan'da
											Rajasthan Köy'ünden,
											burada çocuklar kendi müziklerini yapıp bilgisayara kaydediyorlar
											ve sonra da birbirlerine dinletiyorlar
											ve bu sayede
											kendi kendilerine eğleniyorlar.
											Ve tüm bunları
											bilgisayarla tanıştıktan sadece dört saat sonra yapar hale geldiler.
											Güney Hindistan'daki başka bir köyde ise
											bu çocuklar
											bir video kamera yaptılar
											ve vızıldayan bir arının fotoğrafını çekmeye çalışıyorlar.
											Bunu yapmayı köylerine bilgisayar konduktan sadece 14 gün sonra
											disney.com ya da
											benzer bir siteden indirdiler.
											Sonunda
											çocukların
											bilgisayar ve interneti hiçbir kimseye ya da hiçbir yere
											bağlı olmaksızın kendi kendilerine
											öğrenebildiklerini belirledik.
									","
											Voici la première expérience que nous avons faite —
											un garçon de huit ans à votre droite
											qui apprend à son élève, une fille de six ans,
											et il lui apprenait à surfer.
											Ce garçon ici en plein dans le centre de l'Inde —
											c'est un village du Rajasthan,
											où les enfants enregistraient leur propre musique
											et se la jouaient les uns aux autres,
											et en faisant ça,
											il s'amusaient beaucoup.
											Ils ont fait tout ça dans les quatre heures
											après avoir découvert l'ordinateur pour la première fois.
											Dans un autre village du sud de l'Inde,
											ces garçons ici
											avaient assemblé un caméscope
											et essayaient de photographier un bourdon.
											Ils l'ont téléchargé depuis Disney.com,
											ou un site similaire,
											14 jours après qu'on ait mis l'ordinateur dans leur village.
											Donc, à la fin de l'expérience,
											nous avons conclu que des groupes d'enfants
											peuvent apprendre à utiliser des ordinateurs et internet seuls,
											peu importe qui ils étaient
											et où ils étaient.
									","
											Das ist das erste Experiment, das wir durchführten —
											der achtjährige Junge zu Ihrer Rechten
											unterrichtet seine Studentin, ein sechsjähriges Mädchen.
											Er bringt ihr bei im Internet zu surfen.
											Dieser Junge hier mitten in Zentralindien —
											das ist ein Dorf in Rajasthan,
											wo die Kinder ihrer eigene Musik aufnehmen,
											und sich gegenseitig vorspielen.
											Sie haben sich dabei
											hervorragend unterhalten.
											Sie haben all das in 4 Stunden bewerkstelligt,
											nachdem sie zum ersten Mal einen Computer gesehen haben.
											In einem anderen südindischen Dorf,
											haben diese Jungen hier
											eine Videokamera zusammengebaut,
											und versucht ein Photo von einer Hummel zu machen.
											Sie haben es von Disney.com heruntergeladen,
											oder einer dieser Websites,
											14 Tage nachdem ein Computer in ihrem Dorf aufgestellt wurde.
											Am Ende
											sind wir zu dem Schluß gekommen, dass Kindern in Gruppen
											von alleine lernen können, Computer und das Internet zu nutzen,
											ungeachtet dessen wer sie waren,
											oder wo sie sich befanden.
									",The child-driven education,Sugata Mitra,17:13,"children,education,technology,web,global development,global issues"
"
","
","
","
","
","
",The child-driven education,Sugata Mitra,17:13,"children,education,technology,web,global development,global issues"
"
											Naquela altura, tornei-me
um pouco mais ambicioso
											e decidi ver
											que outras coisas podiam as crianças fazer
com um computador.
											Começámos com uma experiência
em Hiderabade, na Índia,
											com um grupo de crianças
											que falava inglês
com um forte sotaque Telugu.
											Dei-lhes um computador
											com uma interface
de conversão de voz para texto,
											que agora podemos obter
gratuitamente com o Windows,
											e pedimos-lhes que falassem
para o computador.
											Quando falaram para o computador,
											o computador escreveu palavras sem nexo
e elas disseram:
											""Ele não percebe nada
do que nós dizemos.""
											Então eu disse: ""Pois é.
Vou deixá-lo aqui durante dois meses.
									","
											At that point, I became a little more ambitious
											and decided to see
											what else could children do with a computer.
											We started off with an experiment in Hyderabad, India,
											where I gave a group of children —
											they spoke English with a very strong Telugu accent.
											I gave them a computer
											with a speech-to-text interface,
											which you now get free with Windows,
											and asked them to speak into it.
											So when they spoke into it,
											the computer typed out gibberish,
											so they said, ""Well, it doesn't understand anything of what we are saying.""
											So I said, ""Yeah, I'll leave it here for two months.
											Make yourself understood
											to the computer.""
											So the children said, ""How do we do that.""
											And I said,
											""I don't know, actually.""
											(Laughter)
											And I left.
											(Laughter)
											Two months later —
											and this is now documented
											in the Information Technology
											for International Development journal —
											that accents had changed
											and were remarkably close to the neutral British accent
											in which I had trained the speech-to-text synthesizer.
											In other words, they were all speaking like James Tooley.
											(Laughter)
											So they could do that on their own.
											After that, I started to experiment
											with various other things
											that they might learn to do on their own.
									","
											En ese momento, me volví un poco más ambicioso
											y decidí ver
											qué otra cosa podían hacer los niños con una computadora.
											Empezamos con un experimento en Hyderabad, India,
											donde le di a un grupo de niños...
											hablaban inglés con un acento telugu muy fuerte...
											les di una computadora
											con una interfaz de voz a texto
											que, ya saben, ahora viene gratis con Windows
											y les pedí que le hablaran.
											Así, cuando le hablaban
											la computadora escribía cualquier cosa,
											y entonces decían: ""Bueno, no entiende nada de lo que decimos"".
											Yo dije: ""Sí, se las voy a dejar durante 2 meses.
											Háganse entender
											por la computadora"".
											Los niños dijeron: ""¿Cómo hacemos eso?""
											Y les dije:
											""En realidad, no lo sé"".
											(Risas)
											Y me fui.
											(Risas)
											Dos meses después,
											y esto está documentado ahora
											en el periódico Information Technology
											for International Development,
											que cambió el acento
											y se parece mucho al acento británico neutral
											con el que había entrenado al sintetizador de voz a texto.
											En otras palabras, todos estaban hablando como James Tooley.
											(Risas)
											Así que pudieron hacer eso por su cuenta.
											Después de eso comencé a experimentar
											con varias otras cosas
											que podrían aprender a hacer por su cuenta.
									","
											Bu noktada
											çocukların bilgisayarla
											başka neler yapabildiklerini görmek istedim.
											Hyderabad Hindistanda
											Telugu aksanıyla İngilizce konuşan
											bir grup çocukla yeni bir deney yaptım.
											Onlara, konuşmayı yazıya çeviren bir program yüklü
											ki bugün bu program Windows ile ücretsiz veriliyor
											bir bilgisayar verdim
											ve çocuklardan bilgisayara konuşmalarını istedim.
											Bilgisayara konuştular
											ve bilgisayar konuşmayı karmakarışık bir yazıya çevirdi,
											çocuklar ""Bu bizim söylediklerimizi anlamıyor"" dediler.
											Ben de onlara ""Bu bilgisayarı iki ay süresince
											burada bırakıyorum,
											onun sizi anlamasını sağlayın"" dedim.
											Çocuklar ""Bunu nasıl yapacağız ki?"" dediler.
											Ben de
											""Gerçekten bilmiyorum"" dedim.
											(Kahkahalar)
											Ve ayrıldım.
											(Kahkahalar)
											İki ay sonra —
											bu çalışma Uluslararası Gelişim İçin
											Bilişim Teknoloji Dergisi'nde
											yayınlanmıştır —
											aksanları değişti,
											ve aksanları benim çalıştığım
											İngiliz aksanına dönüşmüştü.
											Başka bir deyişle James Tooley gibi konuşuyorlardı.
											(Kahkahalar)
											Bunu kendi kendilerine gerçekleştirdiler.
											Sonrasında,
											çocukların kendi kendine öğrenebildikleri
											çok çeşitli şeyleri denedim.
									","
											A ce stade, je suis devenu un peu plus ambitieux
											et j'ai décidé de voir
											ce que des enfants pouvaient faire d'autre avec un ordinateur.
											Nous avons commencé par une expérience à Hyderabad, en Inde,
											où nous avons donné à un groupe d'enfants —
											ils parlaient anglais avec un fort accent Telugu.
											Je leur ai donné un ordinateur
											avec une interface de synthèse vocale,
											qui est maintenant livrée gratuitement avec Windows,
											et je leur ai demandé de lui parler.
											Et quand ils lui parlaient,
											l'ordinateur tapait du charabia,
											alors ils ont dit, ""Bon, il ne comprend rien de ce qu'on lui dit.""
											Et j'ai répondu, ""Oui, je vais le laisser ici pendant deux mois.
											Faites-vous comprendre
											de l'ordinateur.""
											Alors les enfants ont dit, ""Comment on fait ça?""
											et j'ai répondu,
											""Je ne sais pas, en fait.""
											(Rires)
											et je suis parti.
											(Rires)
											Deux mois plus tard —
											et c'est maintenant documenté
											dans la revue Information Technology
											for International Development —
											que les accents avaient changé
											et étaient remarquablement proches de l'accent britannique neutre
											auquel j'avais entraîné la synthèse vocale.
											En d'autres termes, ils parlaient tous comme James Tooley.
											(Rires)
											Et donc ils pouvaient faire ça tout seuls.
											Après ça, j'ai commencé l'expérience
											avec différentes choses
											qu'ils pourraient apprendre à faire tout seuls.
									","
											An diesem Punkt wurde ich etwas ehrgeiziger,
											und beschloss zu untersuchen,
											was Kinder sonst noch mit einem Computer tun könnten.
											Wir begannen mit einem Experiment in Hyderabad, in Indien,
											bei dem ich einer Gruppe Kinder —
											sie sprachen Englisch mit einem sehr starken Telugu Akzent.
											Ich gab ihnen einen Computer
											der Sprache in Text umwandeln konnte,
											das ist jetzt Bestandteil von Windows,
											und bat sie, damit zu sprechen.
											Und als sie mit ihm sprachen,
											schrieb der Computer nur Unsinn,
											Also sagten sie, ""Er versteht nichts von dem, was wir sagen.""
											Ich sagte, ""Gut, ich lasse ihn für zwei Monate hier.
											Bringt den Computer dazu
											euch zu verstehen.""
											Und die Kinder sagten, ""Wie sollen wir das tun.""
											Ich sagte,
											""Ich weiß es wirklich nicht.""
											(Lachen)
											Und ich reiste ab.
											(Lachen)
											Zwei Monate später —
											und das ist nun
											im Journal ""Informationstechnik
											für internationale Entwicklung"" dokumentiert —
											hat sich ihr Akzent verändert,
											und war dem neutralen Britischen Akzent bemerkenswert ähnlich
											auf den ich den Sprache-in-Text Synthesizer trainiert hatte.
											Anders gesagt, sie sprachen alle wie James Tooley.
											(Lachen)
											Das konnten sie also alleine tun.
											Danach begann ich mit verschiedenen
											anderen Dingen zu experimentieren,
											die sie auf sich allein gestellt lernen könnten.
									",The child-driven education,Sugata Mitra,17:13,"children,education,technology,web,global development,global issues"
"
","
","
","
","
","
",The child-driven education,Sugata Mitra,17:13,"children,education,technology,web,global development,global issues"
"
											"" Façam-se entender para o computador.""
											Então as crianças disseram:
""Como é que fazemos isso?""
											E eu disse:
											""Na verdade, não sei.""
											(Risos)
											E fui-me embora.
											(Risos)
											Dois meses mais tarde -
											— e isto agora está documentado
											na revista de Informação e Tecnologia
											para o Desenvolvimento Internacional —
											os sotaques tinham mudado
											e eram notoriamente parecidos
com o sotaque britânico neutro
											que eu tinha programado
no sintetizador de voz para texto.
											Por outras palavras, estavam todas a falar
como o James Tooley.
											(Risos)
											Portanto elas conseguiram
fazer aquilo sozinhas.
											Depois disso, comecei a fazer experiências
com várias outras coisas
											que elas pudessem aprender
a fazer por si mesmas.
									","
											I got an interesting phone call once from Columbo,
											from the late Arthur C. Clarke,
											who said, ""I want to see what's going on.""
											And he couldn't travel, so I went over there.
											He said two interesting things,
											""A teacher that can be replaced by a machine should be.""
											(Laughter)
											The second thing he said was that,
											""If children have interest,
											then education happens.""
											And I was doing that in the field,
											so every time I would watch it and think of him.
									","
											Recibí una llamada telefónica interesante desde Colombo
											del finado Arthur C. Clarke,
											que decía ""quiero ver qué está sucediendo"".
											Y él no podía viajar así que fui hasta allí.
											Él dijo dos cosas interesantes:
											""Un maestro que puede ser reemplazado por una máquina debería serlo"".
											(Risas)
											La segunda cosa que dijo fue que
											""Si un niño tiene interés
											entonces ocurre la educación"".
											Y yo estaba haciendo eso en el campo
											así que cada vez que lo miraba pensaba en él.
									","
											Birgün Columbudan ilginç bir telefon aldım,
											arayan Arthur C. Clarke idi
											ve ""Neler olup bittiğini görmek istiyorum"" diyordu.
											O seyahat edemediği için ben yanına gittim.
											Bana iki tane çok ilginç şey söyledi.
											""Bir makine öğretmenin görevini yerine getirebilir"".
											(Kahkahalar)
											Söylediği ikinci şey ise,
											""Eğer çocuklar ilgi duyuyorsa
											eğitim gerçekleşir"".
											Bu benim alanda yaptığım şeydi,
											onu her izleyşimde aynı şeyi düşünüyorum.
									","
											J'ai reçu un coup de fil intéressant un jour de Columbo,
											de feu Arthur C. Clarke,
											qui m'a dit, "" Je veux voir ce qui se passe.""
											Et il ne pouvait pas se déplacer, alors j'y suis allé.
											Il a dit deux choses intéressantes,
											""Un enseignant qui peut être remplacé par une machine devrait l'être.""
											(Rires)
											La deuxième chose qu'il a dite était que,
											""Si les enfants sont intéressés,
											alors l'éducation se produit,""
											Et je faisais ça sur le terrain,
											et chaque fois j'observais et je pensais à lui.
									","
											Einmal bekam ich einen interessanten Anruf aus Columbo,
											vom kürzlich verstorbenen Arthur C. Clarke,
											der sagte, ""Ich möchte sehen, was sich tut.""
											Er konnte nicht reisen, also kam ich zu ihm.
											Er sagte zwei interessante Dinge,
											""Ein Lehrer, der durch eine Maschine ersetzt werden kann, soll ersetzt werden.""
											(Lachen)
											Das Zweite, was er sagte, war,
											""Wenn Kinder Interesse haben,
											dann findet Bildung statt.""
											Und das habe ich vor Ort getan.
											Und jedes Mal habe ich es beobachtet, und dabei an ihn gedacht.
									",The child-driven education,Sugata Mitra,17:13,"children,education,technology,web,global development,global issues"
