en,tr,es,fr,title,speaker,duration,tags
"
","
","
","
",Fake videos of real people — and how to spot them,Supasorn Suwajanakorn,7:15,"AI,machine learning,technology,invention,future,media,politics,history,software,computers"
"
											Look at these images.
											Now, tell me which Obama here is real.
									","
											Bu görsellere bir bakın.
											Hangi Obama'nın gerçek olduğunu söyleyin.
									","
											Observen estas imágenes y díganme
cuál de estos es el Obama verdadero.
									","
											Regardez ces images
et dites-moi quel Obama est réel.
									",Fake videos of real people — and how to spot them,Supasorn Suwajanakorn,7:15,"AI,machine learning,technology,invention,future,media,politics,history,software,computers"
"
","
","
","
",Fake videos of real people — and how to spot them,Supasorn Suwajanakorn,7:15,"AI,machine learning,technology,invention,future,media,politics,history,software,computers"
"
											(Video) Barack Obama: To help families
refinance their homes,
											to invest in things
like high-tech manufacturing,
											clean energy
											and the infrastructure
that creates good new jobs.
									","
											(Video) Ailelere evlerini
kredilendirmede yardım etmek için,
											yeni iş sahaları yaratacak
ileri teknoloji üretimi,
											temiz enerji
											ve yapılandırma gibi
konulara yatırım yapılması için.
									","
											(Vídeo) Barack Obama: Ayudar
a las familias a refinanciar sus casas,
											invertir en producción de alta tecnología,
											en energía no contaminante
											y en infraestructura
que genera puestos de trabajo.
									","
											(Video) B.O. : ... pour aider
les familles à financer leur maison,
											à investir dans la haute technologie
par exemple, l'énergie renouvelable,
											et les infrastructures créatrices
de nouveaux emplois.
									",Fake videos of real people — and how to spot them,Supasorn Suwajanakorn,7:15,"AI,machine learning,technology,invention,future,media,politics,history,software,computers"
"
","
","
","
",Fake videos of real people — and how to spot them,Supasorn Suwajanakorn,7:15,"AI,machine learning,technology,invention,future,media,politics,history,software,computers"
"
											Supasorn Suwajanakorn: Anyone?
											The answer is none of them.
									","
											Suwajanakorn: Anlayan var mı?
											Doğru cevap bunların hiçbiri.
									","
											Supasorn Suwajanakorn: ¿Alguien lo sabe?
											La respuesta es ninguno.
									","
											Supasorn Suwajanakorn : Quelqu'un ?
											La réponse est aucun d'entre eux.
									",Fake videos of real people — and how to spot them,Supasorn Suwajanakorn,7:15,"AI,machine learning,technology,invention,future,media,politics,history,software,computers"
"
","
","
","
",Fake videos of real people — and how to spot them,Supasorn Suwajanakorn,7:15,"AI,machine learning,technology,invention,future,media,politics,history,software,computers"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risas)
									","
											(Rires)
									",Fake videos of real people — and how to spot them,Supasorn Suwajanakorn,7:15,"AI,machine learning,technology,invention,future,media,politics,history,software,computers"
"
","
","
","
",Fake videos of real people — and how to spot them,Supasorn Suwajanakorn,7:15,"AI,machine learning,technology,invention,future,media,politics,history,software,computers"
"
											None of these is actually real.
											So let me tell you how we got here.
											My inspiration for this work
											was a project meant to preserve our last
chance for learning about the Holocaust
											from the survivors.
											It's called New Dimensions in Testimony,
											and it allows you to have
interactive conversations
											with a hologram
of a real Holocaust survivor.
									","
											Bunların hiçbiri aslında gerçek değil.
											Bu aşamaya nasıl geldiğimizi anlatayım.
											Bu işe esinlenmem
											hayatta kalanlardan
Yahudi Soykırımı'nı öğrenmek için
											son şansımız olan bir proje ile başladı.
											Adı ''Tanıklıkta Yeni Boyutlar''
											ve soykırımdan sağ kalan
birinin hologramıyla
											interaktif sohbetler
içine girmenizi sağlıyor.
									","
											Ninguno es el verdadero.
											Les diré cómo llegamos a este punto.
											Para este trabajo, 
me inspiré en un proyecto
											destinado a preservar nuestra última
oportunidad de saber del Holocausto
											a través de sus sobrevivientes.
											Se llama ""Nuevas
dimensiones en testimonio"",
											y permite mantener 
una conversación interactiva
											con el holograma de un verdadero
sobreviviente del Holocausto.
									","
											En fait, aucune
de ces vidéos n'est réelle.
											Je vais vous expliquer
comment nous y sommes arrivés.
											Mon inspiration pour ce travail

											a été un projet destiné
à préserver notre dernière chance

											d'en savoir plus sur l’Holocauste
grâce aux survivants.
											Il s'appelle : « Nouvelles
Dimensions dans le Témoignage »
											et vous permet de dialoguer
de façon interactive
											avec l’hologramme d'un véritable
survivant de l’Holocauste.
									",Fake videos of real people — and how to spot them,Supasorn Suwajanakorn,7:15,"AI,machine learning,technology,invention,future,media,politics,history,software,computers"
