en,tr,fr,pt,de,title,speaker,duration,tags
"
","
","
","
","
",The gift and power of emotional courage,Susan David,16:48,"communication,psychology,emotions,humanity,happiness,depression,personal growth,life,culture,business,social change,work,motivation"
"
											Hello, everyone.
									","
											Herkese merhaba.
									","
											Bonjour à tous.
									","
											Olá a todos.
									","
											Hallo, allerseits.
									",The gift and power of emotional courage,Susan David,16:48,"communication,psychology,emotions,humanity,happiness,depression,personal growth,life,culture,business,social change,work,motivation"
"
","
","
","
","
",The gift and power of emotional courage,Susan David,16:48,"communication,psychology,emotions,humanity,happiness,depression,personal growth,life,culture,business,social change,work,motivation"
"
											Sawubona.
									","
											Sawubona.
									","
											Sawubona.
									","
											""Sawubona.""
									","
											Sawubona.
									",The gift and power of emotional courage,Susan David,16:48,"communication,psychology,emotions,humanity,happiness,depression,personal growth,life,culture,business,social change,work,motivation"
"
","
","
","
","
",The gift and power of emotional courage,Susan David,16:48,"communication,psychology,emotions,humanity,happiness,depression,personal growth,life,culture,business,social change,work,motivation"
"
											In South Africa, where I come from,
											""sawubona"" is the Zulu word for ""hello.""
											There's a beautiful and powerful
intention behind the word
											because ""sawubona""
literally translated means,
											""I see you, and by seeing you,
I bring you into being.""
											So beautiful, imagine
being greeted like that.
											But what does it take
in the way we see ourselves?
											Our thoughts, our emotions and our stories
											that help us to thrive
											in an increasingly complex
and fraught world?
									","
											Ülkem Güney Afrika'da
											''Sawubona'' Zulu dilinde merhaba demek.
											Kelimenin ardında çok güzel
ve güçlü bir niyet var
											çünkü birebir çevrildiğinde anlamı
											''Seni görüyorum ve görerek
seni var olmaya davet ediyorum.''
											O kadar güzel ki...
Bu şekilde selamlaştığınızı düşünün.
											Peki kendimizi görmemiz için
ne gerekiyor?
											Giderek karmaşıklaşan ve kötüleyen dünyada
											gelişmemize yardım eden
											duygu, düşünce ve yaşadıklarımız mı?
									","
											En Afrique du Sud, d'où je viens,
											« sawubona » est le mot zoulou
pour « bonjour ».
											Il y a une intention magnifique
et forte derrière le mot
											car « sawubona » traduit
littéralement signifie :
											« je te vois et, en te voyant,
je te fais naître ».
											C'est si beau, imaginez être salué ainsi.
											Mais qu'est-ce que cela requiert
de notre vision de nous-mêmes ?
											Nos pensées, nos émotions, nos histoires
											nous aidant à nous épanouir
											dans un monde de plus en plus
complexe et tendu ?
									","
											Na África do Sul, a minha terra natal,
											""sawubona"" significa"" olá"" em zulu.
											Há uma bela e poderosa
intenção nesta palavra
											porque ""sawubona""
traduzida literalmente significa:
											""Eu vejo-te e, ao ver-te,
dou-te existência"".
											É tão bonito.
											Imaginem ser cumprimentados assim.
											Mas quais são as implicações
da forma como nos vemos?
											Os nossos pensamentos,
as nossas emoções e as nossas histórias
											que nos ajudam a prosperar num mundo
cada vez mais complexo e inquietante?
									","
											In Südafrika, woher ich komme,
											ist ""Sawubona"" das Zulu Wort für ""Hallo"".
											Es hat eine schöne und kräftige Botschaft.
											Denn wörtlich übersetzt
bedeutet ""Sawubona"":
											""Ich sehe dich und indem ich dich sehe,
verhelfe ich dir zum Sein.""
											So schön, stellen Sie sich vor,
so begrüßt zu werden.
											Wie ändert sich dadurch unser Selbstbild,
											unsere Gedanken und Gefühle
und unsere Geschichten,
											die uns bei unserer Entfaltung
											in einer zunehmend komplexen
und angespannten Welt unterstützen?
									",The gift and power of emotional courage,Susan David,16:48,"communication,psychology,emotions,humanity,happiness,depression,personal growth,life,culture,business,social change,work,motivation"
"
","
","
","
","
",The gift and power of emotional courage,Susan David,16:48,"communication,psychology,emotions,humanity,happiness,depression,personal growth,life,culture,business,social change,work,motivation"
"
											This crucial question has been
at the center of my life's work.
											Because how we deal
with our inner world drives everything.
											Every aspect of how we love, how we live,
											how we parent and how we lead.
											The conventional view
of emotions as good or bad,
											positive or negative,
											is rigid.
											And rigidity in the face
of complexity is toxic.
											We need greater levels
of emotional agility
											for true resilience and thriving.
									","
											Bu önemli soru hayatım boyunca
işimin merkezi oldu.
											Çünkü iç dünyamızla mücadelemiz
her şeyi yönetiyor.
											Nasıl sevdiğimizden nasıl yaşadığımıza
											nasıl anne baba olup 
nasıl liderlik yaptığımıza kadar.
											Duygularımızın iyi veya kötü,
olumlu veya olumsuz
											olduğu görüşü
											kalıplaşmış.
											Karmaşıklık arasında kalıplaşma
toksit gibidir.
											Gerçek dayanıklıklık
ve kendimizi geliştirmek için
											daha iyi bir duygusal çevikliğe
ihtiyacımız var.
									","
											Cette question cruciale a été au cœur
du travail accompli durant ma vie.
											Car notre relation avec
notre monde intérieur dirige tout.
											Tous les aspects de notre façon
d'aimer, de vivre,
											d'être un parent et de diriger.
											Le point de vue conventionnel des émotions
comme étant bonnes ou mauvaises,
											positives ou négatives,
											est rigide.
											Et face à la complexité,
la rigidité est toxique.
											Nous avons besoin de plus
d'agilité émotionnelle
											pour avoir une vraie résistance
et un vrai épanouissement.
									","
											Esta questão crucial tem estado
no centro da minha vida profissional,
											porque a forma como encaramos
o nosso mundo interior condiciona tudo,
											todos os aspetos da nossa forma
de amar, de viver,
											de criar os nossos filhos e de liderar.
											A visão convencional das emoções
como sendo boas ou más,
											positivas ou negativas,
											é rígida.
											E a rigidez face à complexidade é tóxica.
											Precisamos de maior agilidade emocional
											para uma verdadeira resiliência
e prosperidade.
									","
											Diese Kernfrage stand lange
im Zentrum meines Lebenswerkes.
											Denn wie wir mit unserer Innenwelt
umgehen, beeinflusst alles:
											jeden Aspekt unserer
Art zu lieben und zu leben,
											zu erziehen und zu führen.
											Die herkömmliche Betrachtung von Gefühlen,
eingeteilt in gut oder böse,
											positiv oder negativ,
											ist sehr starr.
											Starrheit im Angesicht
von Komplexität ist schädlich.
											Wir brauchen ein höheres Maß
an emotionaler Agilität,
											um wahre Widerstandskraft
und Entfaltung zu erlangen.
									",The gift and power of emotional courage,Susan David,16:48,"communication,psychology,emotions,humanity,happiness,depression,personal growth,life,culture,business,social change,work,motivation"
"
","
","
","
","
",The gift and power of emotional courage,Susan David,16:48,"communication,psychology,emotions,humanity,happiness,depression,personal growth,life,culture,business,social change,work,motivation"
"
											My journey with this calling
											began not in the hallowed halls
of a university,
											but in the messy, tender business of life.
											I grew up in the white suburbs
of apartheid South Africa,
											a country and community
committed to not seeing.
											To denial.
											It's denial that makes 50 years
of racist legislation possible
											while people convince themselves
that they are doing nothing wrong.
											And yet, I first learned
of the destructive power of denial
											at a personal level,
											before I understood what it was doing
to the country of my birth.
									","
											Benim bu gereksinime olan yolculuğum
											bir üniversitenin koridorlarında değil,
											iş hayatının hassas, 
dağınık ortamında başladı.
											Ayrımcı Güney Afrika'nın
beyaz banliyölerinde büyüdüm,
											görmemeye odaklanmış
bir ülke ve topluluk.
											İnkâra odaklı.
											İnsanlar yanlış bir şey yapmadıklarına
kendilerini ikna ederken
											50 yıllık ırkçı yasayı 
mümkün kılan bir inkâr.
											Yine de inkârın yıkıcı gücünü
ilk önce
											kişisel düzeyde yaşadım,
											doğduğum ülkeye ne yaptığını
anlamamdan önce.
									","
											Mon parcours avec cette vocation
											n'a pas commencé
dans les couloirs sacrés d'une université,
											mais dans les affaires
tendres et chaotiques de la vie.
											J'ai grandi dans la banlieue blanche
de l'Afrique du Sud ségréguée,
											un pays et une communauté
déterminés à ne pas voir.
											Dévoués au déni.
											C'est le déni qui rend 50 ans
de législation raciste possibles
											alors que les gens se persuadent
qu'ils ne font rien de mal.
											Et pourtant, j'ai découvert
le pouvoir destructeur du déni
											à un niveau personnel
											avant de comprendre ce qu'il faisait
au pays où j'étais née.
									","
											O meu percurso com esta vocação
											não começou nos corredores sagrados
de uma universidade,
											mas no caos e na fragilidade da vida.
											Cresci nos subúrbios brancos
do ""apartheid"" da África do Sul,
											um país e uma comunidade
determinados a não ver,
											determinados a negar.
											É a negação que torna possível
50 anos de legislação racista,
											enquanto as pessoas se convencem
de que não fazem nada de errado.
											E no entanto, eu descobri
o poder destrutivo da negação
											a nível pessoal,
											antes de compreender
o que ela fazia ao meu país natal.
									","
											Meine Reise mit dieser Berufung
											begann nicht in den heiligen Hallen
einer Universität,
											sondern im chaotischen,
empfindlichen Alltag.
											Ich wuchs in den weißen Vororten
während der Apartheid in Südafrika auf:
											das Land und die Gesellschaft
dem ""Nicht-Sehen"" verschrieben.
											Der Verleugnung.
											Diese Verleugnung ermöglichte 50 Jahre
rassistische Gesetzgebung;
											während die Leute sich selbst einredeten,
nichts Unrechtes zu tun.
											Und doch erfuhr ich
die destruktive Kraft der Verleugnung
											zunächst auf persönlicher Ebene,
											bevor ich verstand,
was diese meinem Heimatland antut.
									",The gift and power of emotional courage,Susan David,16:48,"communication,psychology,emotions,humanity,happiness,depression,personal growth,life,culture,business,social change,work,motivation"
