en,tr,fr,pt,es,title,speaker,duration,tags
"
","
","
","
","
",Hacking bacteria to fight cancer,Tal Danino,4:51,"TED-Ed,education,animation,cancer,technology,bacteria,health care,medicine,illness,public health,health,medical research,healthcare,DNA"
"
											In 1884, a patient’s luck seemed 
to go from bad to worse.
											This patient had a rapidly growing 
cancer in his neck,
											and then came down with an unrelated 
bacterial skin infection.
											But soon, something unexpected happened:
											as he recovered from the infection, 
the cancer also began to recede.
											When a physician named William Coley 
tracked the patient down 7 years later,
											no visible signs of the cancer remained.
											Coley believed something remarkable 
was happening:
											that the bacterial infection 
had stimulated the patient’s immune system
											to fight off the cancer.
									","
											1884'te, bir hastanın şansı kötüden
betere doğru ilerlemiş gibiydi.
											Bu hastanın boynunda
hızla büyüyen bir kanser vardı,
											sonra da alakasız bir bakteriyel
deri enfeksiyonu nedeniyle yatağa düştü.
											Fakat yakın zaman sonra
beklenmedik bir şey oldu:
											Enfeksiyonu atlatır atlatmaz
kanser de gerilemeye başladı.
											7 yıl sonra William Coley adındaki
bir hekim bu hastanın izini sürdü,
											kanserin gözle görülür
işaretleri kalmamıştı.
											Coley dikkate değer
bir şeylerin olduğuna inandı:
											Bakteriyel enfeksiyon
kanserle savaşmak için
											hastanın bağışıklık
sistemini tetiklemişti.
									","
											En 1884, l'état de santé d'un patient
semblait aller de mal en pis.
											Ce patient avait une tumeur
en progression rapide dans le cou
											et contracta ensuite une infection cutanée
bactérienne sans lien au cancer.
											Mais peu après, quelque chose d'inattendu
se produisit :
											alors qu'il guérissait de l'infection,
la tumeur commença aussi à rétrécir.
											Quand un médecin appelé William Coley
examina le patient sept ans plus tard,
											il ne restait aucun signe visible
du cancer.
											Coley pensait que quelque chose
de surprenant se produisait :
											l'infection bactérienne avait stimulé
le système immunitaire du patient
											pour combattre le cancer.
									","
											Em 1884, o destino de um doente
parecia ir de mal a pior.
											Esse doente tinha um cancro
de rápida evolução no pescoço
											e apanhou uma infeção bacteriana da pele
sem relação com o cancro.
											Em breve, aconteceu uma coisa inesperada:
											À medida que recuperava dessa infeção,
o cancro também começou a regredir.
											Quando um médico, William Coley,
observou o doente sete anos depois,
											não havia vestígios visíveis do cancro.
											Coley percebeu que tinha acontecido
uma coisa espantosa.
											A infeção bacteriana tinha estimulado
o sistema imunitário do doente
											que combatera o cancro.
									","
											En 1884, la suerte de un paciente
parecía ir de mal en peor.
											Este paciente tenía un cáncer
que crecía rápidamente en su cuello,
											y luego contrajo una infección
bacteriana de piel no relacionada.
											Pero entonces sucedió algo inesperado:
											mientras se recuperaba de la infección,
el cáncer comenzó a retroceder.
											Cuando un médico llamado William Coley
localizó al paciente siete años después,
											no quedaban signos visibles de cáncer.
											Coley creyó que algo
notable había ocurrido:
											que la infección bacteriana
											había estimulado el sistema inmunitario
del paciente para combatir el cáncer.
									",Hacking bacteria to fight cancer,Tal Danino,4:51,"TED-Ed,education,animation,cancer,technology,bacteria,health care,medicine,illness,public health,health,medical research,healthcare,DNA"
"
","
","
","
","
",Hacking bacteria to fight cancer,Tal Danino,4:51,"TED-Ed,education,animation,cancer,technology,bacteria,health care,medicine,illness,public health,health,medical research,healthcare,DNA"
"
											Coley’s fortunate discovery 
led him to pioneer
											the intentional injection of bacteria 
to successfully treat cancer.
											Over a century later, synthetic biologists
have found an even better way
											to use these once unlikely allies—
											by programming them to safely 
deliver drugs directly to tumors.
									","
											Coley'nin şanslı keşfi, kanseri
başarıyla tedavi etmek için
											tasarlanmış bakteri enjeksiyonuna
öncülük etmesini sağladı.
											Yüz yıldan uzun süre sonra sentetik
biyologlar bunları bir kez olasılık dışı
											amaçla kullanmak niyetiyle
güvenli şekilde programlayarak
											ilaçları tümörlere taşımak için
daha da iyi bir yol buldular.
									","
											La découverte chanceuse de Coley
le poussa à inventer
											l'injection intentionnelle de bactéries
pour soigner le cancer avec succès.
											Plus d'un siècle plus tard,
les biologistes synthétiques ont trouvé
											comment mieux utiliser ces alliés
autrefois improbables —
											en les programmant pour qu'ils délivrent
directement des médicaments aux tumeurs.
									","
											A feliz descoberta de Coley
levou-o a inventar
											a injeção intencional de bactérias
para tratar o cancro com êxito.
											Mais de cem anos depois,
os biólogos sintéticos
											descobriram uma forma melhor
de usar esses aliados improváveis
											programando bactérias para administrar
diretamente as drogas em tumores.
									","
											Su afortunado descubrimiento
lo llevó a impulsar
											la inyección intencional de bacterias como
tratamiento efectivo contra el cáncer.
											Más de un siglo después,
los biólogos sintéticos han encontrado
											una mejor forma de usar estos
antes poco probables aliados
											al programarlos para
suministrar medicamentos
											de forma segura y directa a los tumores.
									",Hacking bacteria to fight cancer,Tal Danino,4:51,"TED-Ed,education,animation,cancer,technology,bacteria,health care,medicine,illness,public health,health,medical research,healthcare,DNA"
"
","
","
","
","
",Hacking bacteria to fight cancer,Tal Danino,4:51,"TED-Ed,education,animation,cancer,technology,bacteria,health care,medicine,illness,public health,health,medical research,healthcare,DNA"
"
											Cancer occurs when normal functions 
of cells are altered,
											causing them to rapidly multiply 
and form growths called tumors.
											Treatments like radiation, chemotherapy, 
and immunotherapy
											attempt to kill malignant cells, 
but can affect the entire body
											and disrupt healthy tissues 
in the process.
									","
											Hücrelerin normal işleyişinin değişmesi
tümör hücrelerinin hızla yayılmasına
											ve şekillerinin büyümesine neden
olarak kanseri meydana getirir.
											Işın tedavisi, kemoterapi
ve immunoterapi gibi tedaviler
											kötü huylu hücreleri öldürmeyi hedef alır
ama bütün vücudu etkiler
											ve bu süreçte sağlıklı dokuları bozar.
									","
											Le cancer survient quand les fonctions
normales des cellules sont modifiées
											et qu'elles se multiplient pour former
des excroissances appelées tumeurs.
											Des traitements comme la radiothérapie,
la chimiothérapie et l'immunothérapie
											tentent de supprimer
les cellules malignes,
											mais affectent tout le corps et perturbent
les tissus sains dans le processus.
									","
											O cancro ocorre quando se alteram
as funções normais das células,
											levando-as a multiplicarem-se
rapidamente
											e a formarem massas chamadas tumores.
											Os tratamentos como as radiações,
a quimioterapia e a imunoterapia
											tentam matar as células malignas,
mas podem afetar todo o corpo
											e prejudicar os tecidos sãos.
									","
											El cáncer ocurre cuando las funciones
normales de las células se alteran,
											lo que hace que se multipliquen rápido
y formen masas llamadas tumores.
											Tratamientos como la radiación,
la quimioterapia y la inmunoterapia
											intentan eliminar las células malignas,
pero pueden afectar a todo el cuerpo
											y deteriorar tejidos sanos en el proceso.
									",Hacking bacteria to fight cancer,Tal Danino,4:51,"TED-Ed,education,animation,cancer,technology,bacteria,health care,medicine,illness,public health,health,medical research,healthcare,DNA"
"
","
","
","
","
",Hacking bacteria to fight cancer,Tal Danino,4:51,"TED-Ed,education,animation,cancer,technology,bacteria,health care,medicine,illness,public health,health,medical research,healthcare,DNA"
"
											However, some bacteria like E. coli
											have the unique advantage of being able 
to selectively grow inside tumors.
											In fact, the core of a tumor forms 
an ideal environment
											where they can safely multiply, 
hidden from immune cells.
											Instead of causing infection,
											bacteria can be reprogrammed 
to carry cancer-fighting drugs,
											acting as Trojan Horses 
that target the tumor from within.
											This idea of programming bacteria 
to sense and respond in novel ways
											is a major focus of a field called 
Synthetic Biology.
									","
											Yine de E.coli gibi bazı bakterilerin
											özellikle tümörlerin içinde büyüyebilmek
gibi özel bir avantajları vardır.
											Oysa tümör çekirdeği, bağışıklık
hücrelerinden saklanarak
											güvenle yayılabileceği
ideal bir ortam oluşturur.
											Enfeksiyona yol açmak yerine
											tümörü içeriden hedefleyen
Truva atı gibi hareket ederek
											kanserle savaşan ilaçları taşımak
için yeniden programlanabilir.
											Algılama ve tepkiyi yeni yollarla yapmak
için bakterileri programlama fikri
											Sentetik Biyoloji adı verilen 
alanının temel odak noktası.
									","
											Cependant, des bactéries comme E. coli
											ont l'avantage unique de se développer
dans les tumeurs de manière sélective.
											En fait, le cœur de la tumeur forme
un environnement idéal
											où elles se multiplient en sécurité,
à l'écart des cellules immunitaires.
											Au lieu de provoquer une infection,
les bactéries peuvent être reprogrammées
											pour transporter des médicaments
anticancéreux, comme des chevaux de Troie
											ciblant la tumeur de l'intérieur.
											La programmation des bactéries pour
détecter et réagir d'une façon novatrice
											est l'objectif central d'un domaine
appelé biologie synthétique.
									","
											Mas algumas bactérias,
como a E.coli
											têm a vantagem única de conseguirem
crescer seletivamente dentro dos tumores.
											Com efeito, o núcleo de um tumor
forma um ambiente ideal
											onde se podem multiplicar,
ocultas das células imunitárias.
											Em vez de causarem uma infeção,
											as bactérias podem ser reprogramadas
											para transportar drogas 
de combate ao cancro,
											que agem como Cavalos de Troia
que visam o tumor, por dentro.
											Esta ideia de programar as bactérias
para reagirem de formas novas
											é o principal foco de um campo
chamado Biologia Sintética.
									","
											Sin embargo, algunas
bacterias como la E. coli
											tienen la ventaja única de ser
capaces de crecer selectivamente
											dentro de los tumores.
											De hecho, el núcleo de un tumor
forma un ambiente ideal
											donde se pueden multiplicar a salvo,
escondidas de las células inmunitarias.
											En lugar de causar infección,
											las bacterias pueden reprogramarse
para llevar medicamentos contra el cáncer
											y actuar como caballos de Troya
que atacan el tumor desde dentro.
											Esta idea de programar bacterias con
tareas novedosas de detección y respuesta
											es el enfoque principal
del campo llamado Biología Sintética.
									",Hacking bacteria to fight cancer,Tal Danino,4:51,"TED-Ed,education,animation,cancer,technology,bacteria,health care,medicine,illness,public health,health,medical research,healthcare,DNA"
"
","
","
","
","
",Hacking bacteria to fight cancer,Tal Danino,4:51,"TED-Ed,education,animation,cancer,technology,bacteria,health care,medicine,illness,public health,health,medical research,healthcare,DNA"
"
											But how can bacteria be programmed?
											The key lies in manipulating their DNA.
											By inserting particular genetic sequences 
into bacteria,
											they can be instructed 
to synthesize different molecules,
											including those 
that disrupt cancer growth.
											They can also be made 
to behave in very specific ways
											with the help of biological circuits.
											These program different behaviors 
depending on the presence, absence,
											or combination of certain factors.
											For example, tumors have low oxygen 
and pH levels
											and over-produce specific molecules.
											Synthetic biologists can program bacteria 
to sense those conditions,
											and by doing so, respond to tumors 
while avoiding healthy tissue.
									","
											Ama bakteri nasıl programlanabilir?
											Anahtar bakterilerin DNA'larını
değiştirmede yatıyor.
											Özel genetik sıralamaları
bakteriye yerleştirerek,
											kanserin büyümesini bozan
hücreleri de buna dahil ederek
											farklı molekülleri sentezlemek
için bakteriler görevlendirilir.
											Biyolojik devrelerin yardımıyla
birçok farklı şekilde
											hareket etmek için oluşturulabilirler.
											Bunlar, varlığa, yokluğa veya çeşitli
faktörlerin kombinasyonuna bağlı olarak
											farklı davranışlar programlarlar.
											Örneğin; tümörlerin
az oksijeni, az pH değeri
											ve çok üretilen molekülleri vardır.
											Sentetik biyologlar bakteriyi, bu şartları
algılaması amacıyla programlayabilirler,
											ve böyle yaparken, sağlıklı dokulardan
kaçınarak tümörlere yanıt verirler.
									","
											Mais comment programmer les bactéries ?
											La clé réside dans la manipulation
de leur ADN.
											En insérant une séquence génétique
spécifique dans les bactéries,
											on peut leur demander de synthétiser
des molécules différentes,
											y compris celles qui perturbent
la croissance du cancer.
											Elles peuvent aussi être conçues pour
se comporter de manière très spécifique,
											à l'aide de circuits biologiques.
											Des comportements différents sont
programmés en fonction de la présence,
											de l'absence ou de la combinaison
de certains facteurs.
											Par exemple, les tumeurs ont
des taux d'oxygène et de pH faibles
											et surproduisent des molécules
spécifiques.
											Les biologistes synthétiques peuvent
programmer les bactéries pour détecter
											ces conditions et ainsi répondre aux
tumeurs en évitant le tissu sain.
									","
											Como é que as bactérias
podem ser programadas?
											O segredo está na manipulação do ADN.
											Inserindo determinadas
sequências genéticas nas bactérias,
											elas podem ser instruídas
para sintetizar diversas moléculas,
											incluindo as que interrompem
o crescimento do cancro.
											Também podem ser instruídas
para se comportarem de formas específicas
											com a ajuda de circuitos biológicos.
											Estes programam diferentes comportamentos
											consoante a presença, a ausência
ou a combinação de determinados fatores.
											Por exemplo, os tumores têm níveis
baixos de oxigénio e de pH
											e produzem em demasia
moléculas especificas.
											Os biólogos sintéticos podem programar
as bactérias para detetarem essa situação
											e, quando o fazem, reagem aos tumores
evitando tecidos sãos.
									","
											Pero ¿cómo pueden
programarse las bacterias?
											La clave está en manipular su ADN.
											Al insertar secuencias genéticas
particulares en las bacterias,
											se les puede indicar que
sinteticen diferentes moléculas,
											incluso las que interrumpen
el crecimiento del cáncer.
											También puede hacerse que
se comporten de maneras muy específicas
											con la ayuda de circuitos biológicos.
											Estos programan diferentes comportamientos
dependiendo de la presencia, ausencia
											o combinación de ciertos factores.
											Por ejemplo, los tumores tienen
niveles bajos de oxígeno y pH,
											y sobreproducen moléculas específicas.
											Los biólogos sintéticos pueden programar
bacterias para detectar esas condiciones
											y, al hacerlo, atacar los tumores
mientras evitan el tejido sano.
									",Hacking bacteria to fight cancer,Tal Danino,4:51,"TED-Ed,education,animation,cancer,technology,bacteria,health care,medicine,illness,public health,health,medical research,healthcare,DNA"
