en,es,fr,de,pt,tr,title,speaker,duration,tags
"
","
","
","
","
","
",The stories behind the bloodlines,Taryn Simon,17:59,"art,culture,global issues,photography"
"
											This is Shivdutt Yadav,
											and he's from Uttar Pradesh, India.
											Now Shivdutt was visiting the local land registry office
											in Uttar Pradesh,
											and he discovered
											that official records were listing him as dead.
											His land was no longer registered
											in his name.
											His brothers, Chandrabhan and Phoolchand,
											were also listed as dead.
									","
											Este es Shivdutt Yadav,
											y es de Uttar Pradesh, India.
											Cuando Shivdutt visitó el registro de la propiedad
											en Uttar Pradesh,
											descubrió
											que en los registros oficiales lo declaraban muerto.
											Su tierra no seguía registrada
											a su nombre.
											Sus hermanos, Chandrabhan y Phoolchand,
											también aparecían como muertos.
									","
											Voici Shivdutt Yadav,
											et il vient de l'Uttar Pradesh, en Inde.
											Shivdutt s’est rendu au bureau du cadastre local
											dans l'Uttar Pradesh,
											et il a découvert
											que dans les registres officiels il figurait comme décédé.
											Sa terre n'était plus enregistrée
											sous son nom.
											Ses frères, Chandrabhan et Phoolchand,
											étaient également enregistrés comme décédés.
									","
											Das ist Shivdutt Yadav
											aus Uttar Pradesh in Indien.
											Shivdutt ging zum lokalen Katasteramt
											in Uttar Pradesh
											und fand heraus,
											dass er in den offiziellen Unterlagen
als verstorben geführt wurde.
											Sein Grundbesitz war nicht mehr
											unter seinem Namen eingetragen.
											Seine Brüder Chandrabhan und Phoolchand
											waren ebenso als verstorben gemeldet.
									","
											Este é Shivdutt Yadav,
											natural de Uttar Pradesh, na Índia.
											Shivdutt passou pela Conservatória
do Registo Predial
											em Uttar Pradesh
											e descobriu que os registos oficiais
davam-no como morto.
											As suas terras
já não se encontravam registadas
											em nome dele.
											Os irmãos, Chandrabhan e Phoolchand,
											também estavam dados como falecidos.
									","
											Bu gördüğünüz, Shivdutt Yadav. Hindistan
											Uttar Pradesh'li.
											Shivdutt Uttar Pradesh'te tapu dairesini
											ziyaret ettiği sırada resmi kayıtlarda
											kendisinin ölmüş olarak kaydedilmiş
											olduğunu farketti.
											Arsası artık kendi adına
											kayıtlı değildi.
											İki erkek kardeşi Chandrabhan
											ve Phoolchand da ölmüş olarak gözüküyordu.
									",The stories behind the bloodlines,Taryn Simon,17:59,"art,culture,global issues,photography"
"
","
","
","
","
","
",The stories behind the bloodlines,Taryn Simon,17:59,"art,culture,global issues,photography"
"
											Family members had bribed officials
											to interrupt the hereditary transfer of land
											by having the brothers declared dead,
											allowing them to inherit
											their father's share of the ancestral farmland.
											Because of this, all three brothers and their families
											had to vacate their home.
											According to the Yadav family,
											the local court has been scheduling a case review
											since 2001,
											but a judge has never appeared.
									","
											Miembros de la familia habían sobornado a los funcionarios
											para interrumpir la transmisión hereditaria de la tierra
											declarando muertos a los hermanos,
											lo que les permite heredar
											la parte de su padre de las tierras ancestrales de cultivo.
											Debido a esto, los tres hermanos y sus familias
											tuvieron que abandonar su hogar.
											De acuerdo con la familia Yadav,
											el tribunal local ha estado planificando una revisión del caso
											desde 2001,
											pero nunca ha aparecido un juez.
									","
											Des membres de la famille avaient soudoyé des fonctionnaires
											pour interrompre le transfert héréditaire de la terre
											en faisant déclarer les frères décédés,
											ce qui leur permettait d'hériter
											de la part des terres agricoles ancestrales de leur père.
											Pour cette raison, les trois frères et leurs familles
											ont dû quitter leur maison.
											Selon la famille Yadav,
											le tribunal local a planifié de réexaminer le dossier
											depuis 2001,
											mais un juge ne s'est jamais présenté.
									","
											Verwandte hatten Verwaltungsbeamte bestochen,
											um die Erbschaftsfolge zu unterbrechen,
											indem sie die Brüder als verstorben meldeten,
											um dadurch deren Anteil
											am elterlichen Landbesitz zu erben.
											Deshalb mussten alle drei Brüder mit ihren Familien
											ihre Häuser verlassen.
											Nach Aussagen der Yadav-Familie
											hat das Gericht eine Überprüfung des Falls
											schon 2001 geplant,
											es ist allerdings nie ein Richter erschienen.
									","
											Alguns familiares
tinham subornado funcionários
											para interromperem
a transferência hereditária das terras
											ao declararem os irmãos como mortos,
											permitindo-lhes herdar
											a parte do pai
do terreno agrícola ancestral.
											Devido a tudo isto, os três irmãos 
e as suas famílias
											tiveram que deixar as casas onde moravam.
											De acordo com a família Yadav,
											o tribunal local tem tentado
rever o caso, desde 2001,
											mas nunca apareceu nenhum juiz.
									","
											Akrabaları soydan miras geçişini engelleme
											amacıyla, erkek kardeşlerin ölümünü beyan
											ederek babasına atalarından kalan payı
											üzerlerine almak için tapu memurlarına
											zamanında rüşvet ödemişlerdi.
											Bu nedenle, bu üç kardeş ve aileleri
											evlerini boşaltmak zorunda kaldılar.
											Yadav ailesine göre yerel mahkeme
											2001 yılından bu yana duruşma tarihi
											belirliyordu fakat
											yargıç hiç bir zaman duruşmaya gelmemişti.
									",The stories behind the bloodlines,Taryn Simon,17:59,"art,culture,global issues,photography"
"
","
","
","
","
","
",The stories behind the bloodlines,Taryn Simon,17:59,"art,culture,global issues,photography"
"
											There are several instances in Uttar Pradesh
											of people dying
											before their case is given a proper review.
											Shivdutt's father's death and a want for his property
											led to this corruption.
											He was laid to rest in the Ganges River,
											where the dead are cremated along the banks of the river
											or tied to heavy stones and sunk in the water.
									","
											Hay varios casos en Uttar Pradesh
											de personas que mueren
											antes de que se de a su caso una revisión adecuada.
											La muerte del padre de Shivdutt y el deseo de su propiedad
											condujo a esta corrupción.
											Él fue sepultado en el río Ganges
											donde los muertos son incinerados en las orillas del río
											o atados a pesadas piedras y hundidos en el agua.
									","
											Il y a plusieurs cas dans l'Uttar Pradesh
											de gens qui meurent
											avant que leur cas n'ait été correctement réexaminé.
											La mort du père de Shivdutt et une convoitise de sa propriété
											ont conduit à cette corruption.
											Il a été inhumé dans le Gange,
											où les morts sont incinérés sur les berges de la rivière
											ou attachés à de grosses pierres et coulés dans l'eau.
									","
											In Uttar Pradesh gibt es mehrere solcher Fälle,
											in denen Menschen sterben,
											bevor ihr Fall richtig geprüft wird.
											Der Tod von Shivdutts Vater 
und die Gier nach seinem Besitz
											führten zu diesem Fall von Korruption.
											Shivdutt wurde im Ganges beerdigt,
											wo die Toten am Ufer des Flusses verbrannt werden
											oder mit schweren Steinen beschwert 
und im Wasser versenkt werden.
									","
											Há vários casos em Uttar Pradesh
											em que as pessoas morrem
sem que o seu caso seja revisto.
											A morte do pai de Shivdutt 
e o interesse pela sua propriedade
											levaram à corrupção.
											O pai foi sepultado no Rio Ganges,
											onde os mortos são cremados 
ao longo das margens do rio
											ou amarrados a pedras 
e atirados ao fundo do rio.
									","
											Uttar Pradesh'te davaların düzgün
											yorumlanmasından önce bu insanların
											ölümlerine dair bir takım örnekler mevcut.
											Shivdutt'un babasının ölümü ve 
onun mülküne olan talep
											bu yolsuzluğa sebep oldu.
											Cenazesi ölenlerin yakıldığı veya
											ağır taşlara bağlanarak batırıldığı
											Ganj Nehri'ne huzur bulması 
için bırakıldı.
									",The stories behind the bloodlines,Taryn Simon,17:59,"art,culture,global issues,photography"
"
","
","
","
","
","
",The stories behind the bloodlines,Taryn Simon,17:59,"art,culture,global issues,photography"
"
											Photographing these brothers
											was a disorienting exchange
											because on paper they don't exist,
											and a photograph is so often used as an evidence of life.
											Yet, these men remain dead.
											This quandary led to the title of the project,
											which considers in many ways
											that we are all the living dead
											and that we in some ways represent
											ghosts of the past and the future.
									","
											Fotografiar a estos hermanos
											fue un intercambio desorientador
											porque en papel no existen,
											y una fotografía se utiliza muy a menudo como una prueba de vida.
											Sin embargo, estos hombres continúan muertos.
											Este dilema llevó al titulo del proyecto,
											que considera en muchos aspectos
											que todos somos muertos vivientes
											y que de alguna manera representamos
											los fantasmas del pasado y del futuro
									","
											Photographier ces frères
											était un échange déroutant
											parce que sur le papier, ils n'existent pas,
											et une photographie est si souvent utilisée comme une preuve de vie.
											Pourtant, ces hommes restent morts.
											Ce dilemme a conduit au titre du projet,
											qui considère à bien des égards
											que nous sommes tous des morts-vivants
											et que nous représentons, à certains égards,
											les fantômes du passé et de l'avenir.
									","
											Diese Brüder zu fotografieren
											war ein verstörendes Erlebnis,
											denn offiziell gibt es sie nicht mehr
											und Fotos werden oft als Lebensbeweis vorgebracht.
											Dennoch bleiben diese Männer tot.
											Dieses Dilemma ergab den Titel dieses Projekts,
											der auf unterschiedliche Weisen zeigt,
											dass wir alle lebende Tote sind
											und dass wir in mancher Hinsicht
											die Geister der Vergangenheit und der Zukunft sind.
									","
											Fotografar estes irmãos
foi muito confuso
											porque, no papel, eles não existem,
											mas as fotografias são uma prova de vida.
											Contudo, estes três homens 
continuam ""mortos"".
											Este dilema levou ao título
deste meu projeto,
											que considera que, de muitas maneiras,
											todos nós somos mortos-vivos
											e que, de algum modo,
											representamos fantasmas
do passado e do futuro.
									","
											Bu erkek kardeşleri fotoğraflamak
											kafa karıştıran bir durumdu.
											Çünkü resmi olarak hayatta değillerdi.
											Fotoğraf ise hayatta olduğuna 
dair bir kanıttı.
											Fakat, bu kardeşler ölü olarak kaldı.
											Bu dilemma projenin başlığını oluşturdu.
											Birçok yönden kendimizi 
yaşayan ölüler olarak
											değerlendirebiliriz.
											Bazı yönlerden de geçmişin
											ve geleceğin hayaletlerini 
temsil ediyoruz.
									",The stories behind the bloodlines,Taryn Simon,17:59,"art,culture,global issues,photography"
"
","
","
","
","
","
",The stories behind the bloodlines,Taryn Simon,17:59,"art,culture,global issues,photography"
"
											So this story is the first of 18 chapters
											in my new body of work titled ""A Living Man Declared Dead and Other Chapters.""
											And for this work,
											I traveled around the world over a four-year period
											researching and recording bloodlines
											and their related stories.
											I was interested in ideas surrounding fate
											and whether our fate is determined
											by blood, chance or circumstance.
											The subjects I documented
											ranged from feuding families in Brazil
											to victims of genocide in Bosnia
											to the first woman to hijack an airplane
											and the living dead in India.
											In each chapter, you can see the external forces
											of governance, power and territory or religion
											colliding with the internal forces
											of psychological and physical inheritance.
									","
											Así que esta historia es el primero de 18 capítulos
											en mi nuevo trabajo titulado ""Un hombre vivo declarado muerto y otros capítulos"".
											Y para este trabajo,
											he viajado por el mundo durante un período de cuatro años
											investigando y registrando linajes
											y sus historias relacionadas.
											Estaba interesada en las ideas que rodean al destino
											y si nuestro destino esta determinado
											por la sangre, el azar o las circunstancias.
											Los temas que documenté
											iban desde pugnas familiares en Brasil.
											a víctimas del genocidio en Bosnia
											a la primera mujer que secuestró un avión
											y los muertos vivientes en la India.
											En cada capítulo, se pueden ver a las fuerzas externas
											del gobierno, el poder y el territorio o la religión
											chocando con las fuerzas internas
											de la herencia psicológica y física.
									","
											Donc, cette histoire est la première de 18 chapitres
											dans ma nouvelle œuvre intitulée « Un Homme Vivant Déclaré Mort et Autres Chapitres »
											Et pour ce travail,
											j'ai voyagé partout dans le monde pendant quatre ans
											en recherchant et enregistrant des lignées
											et leurs histoires.
											Je me suis intéressée aux idées qui entourent le destin
											et si oui ou non notre destin est déterminé
											par le sang, le hasard ou les circonstances.
											Les sujets que j’ai documentés
											variaient des familles rivales au Brésil
											aux victimes du génocide en Bosnie
											à la première femme à détourner un avion
											et les morts vivants en Inde.
											Dans chaque chapitre, vous voyez les forces extérieures
											de la gouvernance, du pouvoir et du territoire ou de la religion
											entrer en collision avec les forces internes
											de l'héritage psychologique et physique.
									","
											Diese Geschichte ist also das erste von 18 Kapiteln
											meiner neuen Arbeit mit dem Titel 
""Ein für tot erklärter Lebender und andere Kapitel""
											Für dieses Projekt
											reiste ich vier Jahre lang durch die ganze Welt,
											recherchierte und zeichnete Stammbäume
											mit den dazugehörigen Geschichten auf.
											Ich interessierte mich für Vorstellungen, 
die mit Schicksal zu tun haben
											und dafür, ob unser Schicksal vorherbestimmt wird
											durch Verwandtschaft, Zufall, oder Umstände.
											Die Fälle, die ich dokumentierte,
											rangieren von Familienfehden in Brasilien
											über Opfer von Völkermord in Bosnien
											und der ersten Frau, die ein Flugzeug entführte,
											bis hin zu den lebenden Toten in Indien.
											In jedem Kapitel sehen wir, wie äußere Kräfte
											wie Regierungsgewalt, Macht 
und Geltungsbereich oder Religion
											mit den inneren Kräften
											psychologischer und materieller 
Erbschaft aufeinandertreffen.
									","
											Esta história é a primeira 
dos 18 capítulos do meu novo livro
											intitulado ""Um homem vivo declarado 
morto e outros capítulos"".
											Para este trabalho,
											viajei à volta do mundo
durante quatro anos,
											pesquisando e registando linhagens
											e histórias associadas 
com essas linhagens.
											Eu estava interessada em ideias 
sobre o destino
											e se o nosso destino é determinado
											pelo sangue, pelo acaso, 
ou pelas circunstâncias.
											As pessoas que eu documentei
											variam de famílias inimigas no Brasil,
											a vítimas de genocídio na Bósnia,
											à primeira mulher que sequestrou um avião
											e aos mortos-vivos na Índia.
											Em cada capítulo,
vemos as forças externas
											do governo, do poder,
do território ou da religião
											a entrar em choque
com as forças internas
											de herança psicológica e física.
									","
											İşte bu hikaye benim ['' Yaşayan ama
											Ölü Beyan Edilen Adam 
ve Diğer Bölümler'' ] başlıklı
											yeni çalışmamın ilk 18 bölümüdür.
											Bu çalışma için 4 yılı aşkın bir sürede
											soy ağaçlarını ve onların nesline ait
											hikayeleri araştırdım ve kaydettim.
											Kaderle çevrelenmiş fikirlere 
ve kaderimizin kan bağımızla
											şansımızla ya da
											durumumuzla ilgili olup olmadığıyla
ilgileniyordum.
											Belgelediğim konular,
											Brezilya'daki kavga eden ailelerden
											Bosna soykırımına, uçak kaçıran ilk kadına
											ve Hindistan'daki yaşayan ölülere kadar
											değişkenlik gösteriyordu.
											Her bir bölümde, hükümet, güç ve toprak
											ya da din gibi dış güçlerin psikolojik
											ve fiziksel miras gibi iç güçlerle
											çatıştığını görebilirsiniz.
									",The stories behind the bloodlines,Taryn Simon,17:59,"art,culture,global issues,photography"
