tr,en,title,speaker,duration,tags
"
","
",Everything you hear on film is a lie,Tasos Frantzolas,16:33,"communication,entertainment,illusion,hearing,film,library,media,mind,music,brain,sound,storytelling,speech,TEDx,technology"
"
											Bir deneyle başlamak istiyorum.
											Yağmurlu bir günden üç video izleteceğim.
											Ama videolardan birinin sesini,
											yağmur sesi yerine
											domuz eti kızartma sesiyle değiştirdim.
											Hangisinin domuz eti olduğunu bulmanız
için dikkatli düşünmenizi istiyorum.
									","
											I want to start by doing an experiment.
											I'm going to play three videos
of a rainy day.
											But I've replaced the audio
of one of the videos,
											and instead of the sound of rain,
											I've added the sound of bacon frying.
											So I want you think carefully
which one the clip with the bacon is.
									",Everything you hear on film is a lie,Tasos Frantzolas,16:33,"communication,entertainment,illusion,hearing,film,library,media,mind,music,brain,sound,storytelling,speech,TEDx,technology"
"
","
",Everything you hear on film is a lie,Tasos Frantzolas,16:33,"communication,entertainment,illusion,hearing,film,library,media,mind,music,brain,sound,storytelling,speech,TEDx,technology"
"
											(Yağmur sesi)
									","
											(Rain falls)
									",Everything you hear on film is a lie,Tasos Frantzolas,16:33,"communication,entertainment,illusion,hearing,film,library,media,mind,music,brain,sound,storytelling,speech,TEDx,technology"
"
","
",Everything you hear on film is a lie,Tasos Frantzolas,16:33,"communication,entertainment,illusion,hearing,film,library,media,mind,music,brain,sound,storytelling,speech,TEDx,technology"
"
											(Yağmur sesi)
									","
											(Rain falls)
									",Everything you hear on film is a lie,Tasos Frantzolas,16:33,"communication,entertainment,illusion,hearing,film,library,media,mind,music,brain,sound,storytelling,speech,TEDx,technology"
"
","
",Everything you hear on film is a lie,Tasos Frantzolas,16:33,"communication,entertainment,illusion,hearing,film,library,media,mind,music,brain,sound,storytelling,speech,TEDx,technology"
"
											(Yağmur sesi)
									","
											(Rain falls)
									",Everything you hear on film is a lie,Tasos Frantzolas,16:33,"communication,entertainment,illusion,hearing,film,library,media,mind,music,brain,sound,storytelling,speech,TEDx,technology"
"
","
",Everything you hear on film is a lie,Tasos Frantzolas,16:33,"communication,entertainment,illusion,hearing,film,library,media,mind,music,brain,sound,storytelling,speech,TEDx,technology"
"
											Pekâlâ.
											Aslında, yalan söyledim.
											Hepsi domuz eti.
									","
											All right.
											Actually, I lied.
											They're all bacon.
									",Everything you hear on film is a lie,Tasos Frantzolas,16:33,"communication,entertainment,illusion,hearing,film,library,media,mind,music,brain,sound,storytelling,speech,TEDx,technology"
"
","
",Everything you hear on film is a lie,Tasos Frantzolas,16:33,"communication,entertainment,illusion,hearing,film,library,media,mind,music,brain,sound,storytelling,speech,TEDx,technology"
