en,fr,de,tr,title,speaker,duration,tags
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											I have a two-year-old daughter named Naya
											who is under the mistaken impression
											that this conference
is named in honor of her father.
									","
											J'ai une fille de deux ans 
qui s'appelle Naya
											qui a la fausse impression
											que cette conférence se nomme ainsi
en l'honneur de son père.
									","
											Ich habe eine zwei Jahre
alte Tochter namens Naya,
											die irrtümlicherlicherweise glaubt,
											dass diese Konferenz 
nach ihrem Vater benannt wurde.
									","
											Naya adında iki yaşında bir kızım var
											ve bu konferansın babasının şerefine
											adlandırıldığını düşünüyor.
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											(Laughter)
									","
											(Rires)
									","
											(Lachen)
									","
											(Gülüşmeler)
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											Who am I to contradict my baby girl?
									","
											Qui suis-je pour contredire ma fille ?
									","
											Wie kann ich meiner Kleinen
da widersprechen?
									","
											Ben kimim ki kızıma zıt gideyim?
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											As many of you know, there's something
about becoming a parent
											that concentrates the mind
on long-term problems like climate change.
											It was the birth of my daughter
that inspired me
											to launch this climate organization,
											in order to counteract the excessive
polarization of this issue
											in the United States,
											and to find a conservative
pathway forward.
											Yes, folks, a Republican
climate solution is possible,
											and you know what?
											It may even be better.
									","
											Comme beaucoup d'entre vous le savent,
en devenant parent,
											vos pensées se portent
sur des questions à long terme,
											comme le changement climatique.
											C'est la naissance de ma fille 
qui m'a poussé
											à créer cette organisation pour le climat,
											afin de contrecarrer la polarisation 
excessive autour de cette question
											aux États-Unis
											et de trouver une solution
conservatrice pour avancer.
											Oui, les amis, une solution climatique 
républicaine est possible
											et vous savez quoi ?
											Elle est peut-être même mieux.
									","
											Viele von Ihnen wissen, dass
das Elternsein irgendwie dazu führt,
											dass man mehr über langfristige Probleme
nachdenkt, wie etwa den Klimawandel.
											Die Geburt meiner Tochter
war für mich der Anlass,
											diese Klimaorganisation zu gründen,
											um der übermäßigen Polarisierung
dieses Themas
											in den USA entgegenzuwirken
											und um einen zukunftsorientierten
konservativen Weg zu finden.
											Ja, Leute, eine republikanische Lösung
des Klimaproblems ist möglich,
											und wissen Sie was?
											Vielleicht ist sie sogar besser.
									","
											Bir çoğunuzun bildiği üzere,
ebeveyn olunca zihniniz
											iklim değişimi gibi uzun-dönemli 
problemler üzerine odaklanıyor.
											Beni, ABD'de bu problemin

											aşırı kutuplaşmasına karşı
											mücadele etmek üzere ve
											muhafazakâr bir yol bulmak için
											bir kurum kurmaya
teşvik eden kızımın doğumuydu.
											Evet dostlar, Cumhuriyetçi bir
iklim çözümü mümkün
											ve biliyor musunuz?
											Hatta, daha iyi bile olabilir.
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											(Laughter)
									","
											(Rires)
									","
											(Lachen)
									","
											(Gülüşmeler)
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											Let me try to prove that to you.
									","
											Je vais tenter de vous le prouver.
									","
											Ich versuche es, Ihnen zu beweisen.
									","
											Size kanıtlamama izin verin.
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											What we really need
is a killer app to climate policy.
											In the technology world, a killer app
is an application so transformative
											that it creates its own market,
											like Uber.
											In the climate world,
											a killer app is a new
solution so promising
											that it can break through
the seemingly insurmountable
											barriers to progress.
											These include the psychological barrier.
											Climate advocates have long
been encouraging their fellow citizens
											to make short-term sacrifices now
											for benefits that accrue to other people
											in other countries 30 or 40
years in the future.
											It just doesn't fly because it runs
contrary to basic human nature.
									","
											Nous avons besoin d'une killer app
de la politique climatique.
											Dans l'univers des nouvelles technologies,

											une killer app est une application
si transformative
											qu'elle crée son propre marché,
											comme Uber.
											Dans l'univers du climat,
											une killer app est
une nouvelle solution si prometteuse
											qu'elle peut dépasser ce qui nous apparaît
comme d'insurmontables
											barrières au progrès.
											Cela inclut la barrière psychologique.
											Les défenseurs du climat encouragent
depuis longtemps leurs concitoyens
											à faire des sacrifices à court terme
											pour le bénéfice d'autres personnes
											dans d'autres pays d'ici 30 à 40 ans.
											Cela ne marche pas car cela va
à l'encontre de la nature humaine.
									","
											Was wir wirklich brauchen,
ist eine Killer-App in der Klimapolitik.
											In der Technikwelt ist eine Killer-App
eine App, die so umwälzend ist,
											dass sie ihren eigenen Markt schafft,
											wie Uber.
											In der Welt des Klimawandels
											ist eine Killer-App eine neue Lösung,
die so vielversprechend ist,
											dass sie die scheinbar unüberwindbaren,
den Fortschritt blockierenden Hürden
											beseitigen kann.
											Eine davon ist die psychologische Hürde.
											Klimaschützer ermutigen 
ihre Mitbürger seit langem,
											jetzt auf kurze Sicht Opfer zu bringen,
											damit der Nutzen anderen Menschen
											in anderen Ländern
in 30 oder 40 Jahren zugutekommt.
											Es funktioniert nur nicht, da es
der menschlichen Grundnatur widerstrebt.
									","
											Gerçekten ihtiyacımız olan,
iklim politikası için süper bir uygulama.
											Teknoloji dünyasında, ortalığı süpürecek
bir uygulama o kadar dönüştürücüdür ki
											kendi pazarını yaratır,
											tıpkı Uber gibi.
											İklim dünyasında,
											bu süper uygulama
öyle bir çözümdür ki,
											gelişmenin önünde aşılması
imkânsız gibi görünen
											engelleri kırıp geçmeyi vaadeder.
											Bunların arasında psikolojik
engeller de vardır.
											İklim avukatları uzun zamandır
halkı şimdi kısa-dönemde bazı
											özverilerde bulunmaya teşvik ediyorlar,
											öyle ki 30-40 yıl sonra başka ülkelerdeki
											başka insanlar faydalanabilsin.
											Bu teşvik pek de tutmuyor, çünkü
temel insan doğasına aykırı.
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
											Next is the geopolitical barrier.
											Under the current rules of global trade,
											countries have a strong incentive
to free ride off the emissions reductions
											of other nations,
											instead of strengthening
their own programs.
											This has been the curse
											of every international
climate negotiations, including Paris.
											Finally, we have the partisan barrier.
											Even the most committed countries —
											Germany, the United Kingdom, Canada —
											are nowhere near reducing emissions
at the required scale and speed.
											Not even close.
											And the partisan climate divide
is far more acute
											here in the United States.
											We are fundamentally stuck,
											and that is why we need
a killer app of climate policy
											to break through each of these barriers.
									","
											Puis il y a la barrière géopolitique.
											Selon les règles actuelles
du commerce international,
											les pays sont incités à profiter
de la réduction des émissions
											d'autres nations,
											au lieu de renforcer
leurs propres programmes.
											C'est la malédiction
											de tous les accords internationaux 
sur le climat, y compris ceux de Paris.
											Enfin, il y a la barrière 
des partis politiques.
											Même les pays les plus engagés,
											l'Allemagne, le Royaume-Uni, le Canada,
											sont loin de réduire leurs émissions
à l'échelle et à la vitesse nécessaires.
											Ils en sont très loin.
											Et la division politique sur le climat
est d'autant plus marquée
											ici aux États-Unis.
											Nous sommes fondamentalement bloqués,
											et c'est pour cela
qu'il nous faut une killer app
											des politiques climatiques
											pour surmonter chacune de ces barrières.
									","
											Das nächste ist die geopolitische Hürde.
											Die derzeitigen Regeln des Welthandels
											bieten den Ländern einen starken Anreiz,
als Trittbrettfahrer
											von den Emissionsverminderungen
anderer Nationen zu profitieren,
											anstatt ihre eigenen Programme zu stärken.
											Das ist der Fluch
											aller internationalen Klimaverhandlungen
gewesen, Paris eingeschlossen.
											Schließlich gibt es die Parteihürde.
											Selbst die engagiertesten Nationen —
											Deutschland, Großbritannien, Kanada —
											reduzieren Emissionen nicht annähernd
so schnell und umfangreich wie nötig.
											Nicht einmal ansatzweise.
											Und die Kluft zwischen den Parteien
ist in der Klimafrage hier in den USA
											noch viel tiefer.
											Wir haben uns grundlegend festgefahren,
											und deswegen brauchen wir
eine Killer-App der Klimapolitik,
											um jede dieser Hürden zu beseitigen.
									","
											Bir sonraki de jeopolitik engeldir.
											Küresel ticaretin şu anki
kuralları altında,
											ülkeler kendi programlarını
güçlendirmek yerine,
											emisyon azaltmaktan uzak

											durmaya daha hevesliler.
											Bu ise, Paris de dâhil olmak üzere,
											tüm uluslararası iklim görüşmelerinin
laneti olmuştur.
											Son olarak, partizan engeli var.
											Bu işe en çok kendini
adamış ülkeler bile —
											Almanya, Birleşik Krallık, Kanada —
											ihtiyaç duyulan emisyon azaltma
ölçeği ve hızının yakınında dahi değiller.
											Hem de hiç.
											Ve partizan bölüşmesi burada ABD'de
											çok daha keskin.
											Esaslı bir şekilde sıkışmış durumdayız
											ve bu nedenle tüm bu bariyerleri
teker teker kıracak
											bir uygulamaya ihtiyaç duyuyoruz.
									",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
"
","
","
","
",A climate solution where all sides can win,Ted Halstead,13:07,"big problems,business,china,economics,climate change,global issues,goal-setting,policy,politics,government,pollution,society"
