en,pt,fr,es,de,title,speaker,duration,tags
"
","
","
","
","
",What I learned serving time for a crime I didn't commit,Teresa Njoroge,12:23,"activism,inequality,corruption,Africa,leadership,personal growth,criminal justice,social change,society,prison,women"
"
											When I heard those bars
											slam hard,
											I knew it was for real.
											I feel confused.
											I feel betrayed.
											I feel overwhelmed.
											I feel silenced.
									","
											Quando eu ouvi as grades
a serem trancadas,
											percebi que era uma realidade.
											Sentia-me confusa.
											Sentia-me traída.
											Sentia-me sufocada.
											Senti-a amordaçada.
									","
											Quand j'ai entendu les barreaux
											claquer,
											j'ai su que c'était réel.
											Je suis désorientée.
											Je me sens trahie.
											Je suis accablée.
											Je me sens mise sous silence.
									","
											Cuando escuché esas rejas
											golpeando fuerte,
											supe que era real.
											Me siento confundida.
											Me siento traicionada.
											Me siento abrumada.
											Me siento silenciada.
									","
											Als ich die Gittertür
hinter mir zuknallen höre,
											weiß ich, es passiert wirklich.
											Ich bin durcheinander.
											Ich fühle mich verraten.
											Ich fühle mich erdrückt.
											Ich fühle mich mundtot gemacht.
									",What I learned serving time for a crime I didn't commit,Teresa Njoroge,12:23,"activism,inequality,corruption,Africa,leadership,personal growth,criminal justice,social change,society,prison,women"
"
","
","
","
","
",What I learned serving time for a crime I didn't commit,Teresa Njoroge,12:23,"activism,inequality,corruption,Africa,leadership,personal growth,criminal justice,social change,society,prison,women"
"
											What just happened?
											How could they send me here?
											I don't belong here.
											How could they make such a huge mistake
											without any repercussions
whatsoever to their actions?
											I see large groups of women
											in tattered uniforms
											surrounded by huge walls and gates,
											enclosed by iron barbed wires,
											and I get hit by an awful stench,
											and I ask myself,
											how did I move
											from working in the respected
financial banking sector,
											having worked so hard in school,
											to now being locked up
											in the largest correctional facility
											for women in Kenya?
									","
											O que acontecera?
											Porque me mandaram para aqui?
											Eu não devia estar aqui.
											Como puderam cometer tamanho erro
											sem nenhumas consequências
para os seus atos?
											Vejo grandes grupos de mulheres
											com uniformes esfarrapados
											rodeadas por enormes muros e portões,
											cercados de arame farpado,
											e sinto esse fedor intenso,
											e pergunto a mim mesma:
											""Como foi que passei
											do respeitável setor
bancário-financeiro,
											depois de ter estudado tanto,
											para agora estar aqui fechada,
											na maior unidade prisional
											para mulheres no Quénia?
									","
											Que vient-il de se passer ?
											Comment ont-ils pu m'envoyer ici ?
											Ce n'est pas ma place.
											Comment ont-ils pu faire
une si grosse erreur
											sans qu'il n'y ait de répercussions
pour leurs actions ?
											Je vois de grands groupes de femmes
											portant des uniformes en lambeaux,
											entourées par d'immenses murs et portes,
											entourées par des fils barbelés,
											une puanteur horrible me frappe
											et je me demande
											comment je suis passée
											d'un travail dans le secteur respecté
de la banque,
											ayant travaillé si dur à l'école,
											à être enfermée
											dans le plus grand
établissement pénitentiaire
											pour femmes du Kenya ?
									","
											¿Qué es lo que acaba de suceder?
											¿Cómo pudieron enviarme ahí?
											Yo no debo estar aquí.
											¿Cómo pudieron cometer un error tan grande
											sin ninguna repercusión 
en absoluto a sus acciones?
											Veo grandes grupos de mujeres
											en uniformes hechos jirones
											rodeadas de enormes muros y puertas,
											cercadas con alambres de púas de hierro,
											y me golpea un horrible hedor
											y me pregunto:
											¿Cómo pasé
											de trabajar en el respetado 
sector bancario financiero,
											habiendo trabajado 
tan arduamente en la escuela,
											a estar ahora encerrada
											en la instalación correccional más grande
											para las mujeres en Kenia?
									","
											Was ist gerade passiert?
											Wie konnten sie mich hier einliefern?
											Ich gehöre nicht hierher.
											Wie konnten sie einen so riesigen Fehler
											ohne jegliche Konsequenzen begehen?
											Ich sehe große Gruppen von Frauen
in zerrissener Gefängniskleidung,
											die von hohen Mauern
und Toren umgeben sind,
											eingezäunt von eisernem Stacheldraht.
											Ein scheußlicher Gestank
strömt mir entgegen
											und ich frage mich:
											Wie konnte es passieren, dass ich,
											eine Angestellte im angesehenen
Finanz- und Bankensektor,
											die in der Schule so fleißig war,
											jetzt in Kenias größter Strafanstalt
											für Frauen eingesperrt bin?
									",What I learned serving time for a crime I didn't commit,Teresa Njoroge,12:23,"activism,inequality,corruption,Africa,leadership,personal growth,criminal justice,social change,society,prison,women"
"
","
","
","
","
",What I learned serving time for a crime I didn't commit,Teresa Njoroge,12:23,"activism,inequality,corruption,Africa,leadership,personal growth,criminal justice,social change,society,prison,women"
"
											My first night
											at Langata Women Maximum Security Prison
											was the toughest.
											In January of 2009,
											I was informed that I had handled
a fraudulent transaction unknowingly
											at the bank where I worked.
											I was shocked, scared and terrified.
											I would lose a career
that I loved passionately.
											But that was not the worst.
											It got even worse
than I could have ever imagined.
											I got arrested,
											maliciously charged
											and prosecuted.
											The absurdity of it all
was the arresting officer
											asking me to pay him 10,000 US dollars
											and the case would disappear.
											I refused.
											Two and a half years on,
											in and out of courts,
											fighting to prove my innocence.
											It was all over the media,
											in the newspapers, TV, radio.
											They came to me again.
											This time around, said to me,
											""If you give us 50,000 US dollars,
											the judgement will be in your favor,""
											irrespective of the fact
that there was no evidence whatsoever
											that I had any wrongdoing
											on the charges that I was up against.
									","
											A minha primeira noite
											na prisão de alta segurança
Langata Women
											foi a mais difícil.
											Em janeiro de 2009,
											informaram-me que eu tinha feito
uma transação comercial fraudulenta
											involuntariamente,
no banco onde trabalhava.
											Fiquei chocada,
amedrontada e aterrorizada.
											Ia perder a carreira
que eu amava apaixonadamente.
											Mas isso não foi o pior.
											Foi muito pior do que eu imaginara.
											Fui detida,
											acusada injustamente
											e julgada.
											A coisa mais absurda de todas
											foi o polícia que me prendeu
ter-me pedido 10 mil dólares
											para fazer desaparecer o processo.
											Eu não aceitei.
											Durante dois anos e meio,
											a entrar e sair de tribunais,
											a lutar para provar a minha inocência.
											Apareceu em todos os meios de comunicação,
											jornais, TV, rádio.
											vieram ter comigo de novo.
											Dessa vez, disseram:
											""Se nos der 50 mil dólares,
											""a sentença será a seu favor"",
											independentemente do facto
de que não havia quaisquer provas
											de que eu tivesse feito algo errado,
											em relação às acusações
que me eram feitas
									","
											Ma première nuit
											à la prison haute sécurité
pour femmes de Langata
											a été la plus dure.
											En janvier 2009,
											on m'a informée que j'avais traité
sans le savoir une transaction frauduleuse
											dans la banque où je travaillais.
											Cela m'a choquée, apeurée, terrifiée.
											J'allais perdre une carrière
que j'aimais passionnément.
											Mais ce n'était pas le pire.
											Cela a empiré bien plus
que je n'aurais pu l'imaginer.
											J'ai été arrêtée,
											perfidement accusée
											et poursuivie.
											L'absurdité de tout cela est que l'agent
qui a procédé à l'arrestation
											m'a demandé de le payer
10 000 dollars américains
											pour que l'affaire disparaisse.
											J'ai refusé.
											J'ai passé deux ans et demi
											à aller régulièrement au tribunal,
											à me battre pour essayer
de prouver mon innocence.
											C'était dans tous les médias,
											dans tous les journaux,
à la télé et à la radio.
											Ils sont revenus me voir.
											Cette fois-ci pour me dire :
											« Si vous nous donnez
50 000 dollars américains,
											le jugement sera en votre faveur »,
											peu importe qu'il n'y avait pas de preuves
											que j'avais commis un acte répréhensible
											d'après les accusations contre moi.
									","
											Mi primera noche
											en la prisión de máxima seguridad 
para mujeres de Langata
											fue la más dura.
											En enero de 2009,
											me informaron de haber gestionado 
una transacción fraudulenta sin saberlo
											en el banco donde trabajaba.
											Estaba sorprendida, asustada 
y aterrorizada.
											Iba a perder una carrera 
que amaba con pasión.
											Pero eso no fue lo peor.
											Iba ser aún peor de lo 
que podría haber imaginado.
											Me arrestaron,
											me acusaron por malicia
											y me procesaron.
											Lo más absurdo de todo fue 
que el agente que me arrestaba
											me pidiese USD 10 000
											para que el caso desapareciese.
											Lo rechacé.
											Los dos años y medio siguientes
											dentro y fuera de los tribunales,
											estuve luchando 
para demostrar mi inocencia
											Estuve en todos los medios,
											en los periódicos, la TV, la radio.
											Vinieron a mí de nuevo.
											Esta vez me dijeron:
											""Si nos das USD 50 000,
											el juicio será a tu favor"",
											independientemente del hecho 
de que haya pruebas o no
											de haber hecho alguna fechoría
											en las acusaciones en mi contra.
									","
											Meine erste Nacht
											im Hochsicherheitsgefängnis
für Frauen in Lang'ata
											war am schwersten.
											Im Januar 2009 teilte man mir mit,
											dass ich an der Bank,
in der ich arbeitete,
											unwissentlich eine betrügerische
Transaktion abgewickelt hätte.
											Ich war schockiert,
erschrocken und verängstigt.
											Ich würde einen Beruf verlieren,
der meine Leidenschaft war.
											Aber das war noch nicht das Schlimmste.
											Es kam schlimmer,
											als ich es mir jemals
hätte vorstellen können.
											Ich wurde verhaftet,
											böswillig angeklagt
und vor Gericht gestellt.
											Das Absurde war, dass der Beamte,
der mich festgenommen hatte,
											10.000 US-Dollar von mir verlangte —
											dafür würde die Anklage fallen gelassen.
											Ich lehnte ab.
											Zweieinhalb Jahre vergingen,
											in denen ich immer wieder
vor Gericht darum kämpfte,
											meine Unschuld zu beweisen.
											Alle Medien berichteten davon:
											Zeitungen, das Fernsehen, das Radio.
											Wieder trat man an mich heran.
											Diesmal sagte man mir:
											""Wenn Sie uns 50.000 US-Dollar zahlen,
											wird das Urteil
zu Ihren Gunsten ausfallen.""
											Dabei hatte die Anklage
absolut keinen Beweis
											für irgendein Fehlverhalten
von meiner Seite.
									",What I learned serving time for a crime I didn't commit,Teresa Njoroge,12:23,"activism,inequality,corruption,Africa,leadership,personal growth,criminal justice,social change,society,prison,women"
"
","
","
","
","
",What I learned serving time for a crime I didn't commit,Teresa Njoroge,12:23,"activism,inequality,corruption,Africa,leadership,personal growth,criminal justice,social change,society,prison,women"
"
											I remember the events
											of my conviction
											six years ago
											as if it were yesterday.
											The cold, hard face of the judge
											as she pronounced my sentence
											on a cold Thursday morning
											for a crime that I hadn't committed.
											I remember holding
											my three-month-old beautiful daughter
											whom I had just named Oma,
											which in my dialect
means ""truth and justice,""
											as that was what I had longed so much for
											all this time.
											I dressed her in her
favorite purple dress,
											and here she was, about to accompany me
											to serve this one-year sentence
											behind bars.
									","
											Lembro-me dos acontecimentos
da minha condenação
											de há seis anos, como se fosse ontem.
											O rosto frio e severo da juíza
											quando proferiu a minha sentença
											numa fria manhã de quinta-feira
											por um crime que eu não praticara.
											Lembro-me de segurar
											na minha linda filha de três meses
											a quem dera o nome de Oma,
											o que, no meu dialeto, significa
""verdade e justiça"",
											que era o que eu desejava tanto
											todo esse tempo.
											Vesti-lhe o seu vestido lilás favorito
											e lá estava ela,
pronta para me acompanhar
											na minha pena de um ano
											atrás das grades.
									","
											Je me souviens
											de ma condamnation,
											il y a six ans,
											comme si c'était hier.
											Le visage froid, dur de la juge
											alors qu'elle prononçait ma sentence
											un jeudi matin froid
											pour un crime que je n'avais pas commis.
											Je me souviens avoir tenu dans mes bras
											ma belle fille de trois mois
											que je venais d'appeler Oma,
											ce qui dans mon dialecte
signifie « vérité et justice »,
											et je l'avais tant attendue
											durant si longtemps.
											Je l'avais habillée
de sa robe violette préférée
											et elle était là,
sur le point de m'accompagner
											à purger cette peine d'un an
											derrière les barreaux.
									","
											Recuerdo los acontecimientos
											de mi condena
											hace seis años
											como si fuera ayer.
											El rostro frío y duro de la juez
											al pronunciar mi sentencia
											en una fría mañana de jueves
											por un crimen que no había cometido.
											Recuerdo que tenía en brazos
											a mi hermosa hija de tres meses
											a quien acababa de 
poner el nombre de Oma,
											que en mi dialecto significa 
""verdad y justicia""
											como lo que tanto había anhelado
											todo este tiempo.
											La vestí con su vestido morado favorito,
											y aquí estaba ella, a punto de acompañarme
											para cumplir esta sentencia de un año
											tras las rejas.
									","
											Ich erinnere mich an meine Verurteilung
											vor sechs Jahren,
											als wäre sie gestern passiert.
											Die kalte, harte Miene der Richterin,
											als sie an einem kalten Donnerstagmorgen
											das Urteil für ein Verbrechen verkündete,
											das ich nicht begangen hatte.
											Ich erinnere mich daran,
											wie ich meine wunderschöne,
drei Monate alte Tochter hielt,
											der ich den Namen Oma gegeben hatte,
											was in meinem Dialekt
""Wahrheit und Gerechtigkeit"" bedeutet,
											denn nach nichts hatte ich mich
in der ganzen Zeit mehr gesehnt.
											Ich zog ihr ihr lila Lieblingskleid an
											und so kam sie mit,
											um mit mir meine einjährige
Gefängnisstrafe abzusitzen.
									",What I learned serving time for a crime I didn't commit,Teresa Njoroge,12:23,"activism,inequality,corruption,Africa,leadership,personal growth,criminal justice,social change,society,prison,women"
"
","
","
","
","
",What I learned serving time for a crime I didn't commit,Teresa Njoroge,12:23,"activism,inequality,corruption,Africa,leadership,personal growth,criminal justice,social change,society,prison,women"
"
											The guards did not seem
sensitive to the trauma
											that this experience was causing me.
											My dignity and humanity disappeared
											with the admission process.
											It involved me being
searched for contrabands,
											changed from my ordinary clothes
											to the prison uniform,
											forced to squat on the ground,
											a posture that I soon came to learn
											would form the routine
											of the thousands of searches,
											number counts,
											that lay ahead of me.
									","
											As guardas não pareceram
sensíveis ao trauma
											que aquela experiência estava a causar-me.
											Toda a minha dignidade
e humanidade desapareceram
											no processo de admissão,
											que envolvia a procura de contrabando.
											Troquei a minha roupa habitual
											pelo uniforme da prisão.
											Forçaram-me a agachar-me no chão,
											uma postura que cedo percebi
											que seria a rotina
											dos milhares de revistas,
											das inúmeras contagens
											que me aguardavam.
									","
											Les gardes ne semblaient pas
sensibles au traumatisme
											que cette expérience me causait.
											Ma dignité et mon humanité ont disparu
											avec le processus d'admission.
											Cela impliquait que je sois fouillée
à la recherche de contrebande,
											changée pour passer
de mes vêtements habituels
											à l'uniforme de la prison,
											forcée à m'accroupir au sol,
											une posture que j'allais vite découvrir
											comme étant la routine
											de milliers de fouilles,
											des comptages de prisonniers
											qui étaient à venir.
									","
											Los guardias no parecían 
sensibles al trauma
											que esta experiencia me estaba causando.
											Mi dignidad y humanidad desaparecieron
											con el proceso de admisión.
											Vi cómo me cacheaban 
buscando contrabando,
											y cómo cambiaron mi ropa común
											por el uniforme de la prisión,
											obligada a ponerme 
en cuclillas en el suelo,
											una postura que pronto aprendí
											que sería la rutina
											de las miles de búsquedas,
											y numerosos conteos
											a los que me sometieron.
									","
											Die Wärter schienen kein Verständnis
für das Trauma zu haben,
											das diese Erfahrung bei mir auslöste.
											Meine Würde und Menschlichkeit
											verschwanden schon bei der Aufnahme.
											Sie umfasste die Durchsuchung
nach Schmuggelware,
											den Wechsel von meiner Alltagskleidung
											in die Gefängniskleidung;
											ich wurde gezwungen, am Boden zu kauern —
											eine Körperhaltung,
											die bald zur Routine
während Tausender Durchsuchungen
											und Durchzählungen wurde,
											die mir bevorstanden.
									",What I learned serving time for a crime I didn't commit,Teresa Njoroge,12:23,"activism,inequality,corruption,Africa,leadership,personal growth,criminal justice,social change,society,prison,women"
