en,es,de,fr,tr,title,speaker,duration,tags
"
","
","
","
","
",What gardening taught me about life,tobacco brown,6:41,"TED Residency,life,garden,art,public spaces,nature,teaching,beauty,culture,plants"
"
											At age four, I found a garden,
											living underneath the kitchen floor.
											It was hiding behind
leftover patches of linoleum
											on the worn-out floor
my mother was having removed.
											The workman was busy
when the garden caught my attention.
											My eyes became glued to the patterns
of embroidered roses
											blooming across my childhood landscape.
											I saw them and felt
a sense of joy and adventure.
											This excitement felt like
a feeling to go forward
											into something I knew nothing about.
											My passion and connection to garden
started at that exact moment.
									","
											A los cuatro años encontré un jardín,
											viviendo debajo del suelo de la cocina.
											Se escondía detrás de trozos
abandonados de linóleo
											en el piso gastado que mi madre
había hecho sacar.
											El hombre estaba ocupado trabajando
cuando el jardín captó mi atención.
											Mis ojos se pegaron a los 
patrones de rosas bordadas
											floreciendo en el paisaje de mi niñez.
											Las vi y sentí una sensación
de alegría y aventura.
											Esta emoción se sentía
como una sensación de avanzar
											hacia algo de lo que no sabía nada.
											Mi pasión y conexión con los jardines
comenzó en ese mismo momento.
									","
											Mit vier Jahren fand ich einen Garten,
											der unter dem Küchenboden lebte.
											Er versteckte sich hinter
übrig gebliebenem Linoleum
											auf dem verschlissenen Boden,
den meine Mutter gerade entsorgte.
											Der Handwerker war gerade beschäftigt,
als mir der Garten auffiel.
											Mein Blick blieb an
den aufgestickten Rosen kleben,
											die in der Landschaft
meiner Kindheit blühten.
											Als ich sie sah, freute ich mich
und verspürte Abenteuerlust.
											Ich war so aufgeregt,
dass ich etwas erkunden wollte,
											über das ich absolut nichts wusste.
											In genau diesem Moment begann
meine Leidenschaft für Gärten.
									","
											Quand j'avais 4 ans 
j'ai découvert un jardin,
											en-dessous du plancher de la cuisine.
											Il se cachait sous les
vieilles plaques de linoleum
											du parquet usé que ma mère
avait demandé d'enlever.
											L'ouvrier était en train de travailler
quand le jardin a attiré mon regard.
											Mes yeux se sont rivés
sur les images de roses brodées,
											qui fleurissaient au travers
du paysage de mon enfance.
											Je les ai vues et j'ai senti
une sensation de joie et d'aventure.
											L'excitation m'a donné l'envie
d'aller de l'avant,
											d'avancer vers quelque chose d'inconnu.
											Ma passion et mon attachement au jardinage
ont commencé à ce moment précis.
									","
											Dört yaşındayken, mutfağın zemini altında
											yaşayan bir bahçe buldum.
											Annemin kaldırttığı 
muşamba parçalarının altında,
											eskimiş zeminin üzerinde saklanıyordu.
											Bahçe dikkatimi çektiğinde işçi 
başka bir şey ile meşguldu.
											Gözlerim nakış gibi işlenmiş güllerin
çocukluğumun manzarasında
											açan desenlerine kitlenmişti.
											Onları görünce bir neşe
ve macera duygusu kapladı.
											Bu heyecan hakkında hiçbir şey bilmediğim
											bir yere gidiyormuşum gibi hissettirdi.
											Bahçelere olan tutkum ve bağım
işte tam o an başladı.
									",What gardening taught me about life,tobacco brown,6:41,"TED Residency,life,garden,art,public spaces,nature,teaching,beauty,culture,plants"
"
","
","
","
","
",What gardening taught me about life,tobacco brown,6:41,"TED Residency,life,garden,art,public spaces,nature,teaching,beauty,culture,plants"
"
											When spring arrived,
I ran so fast through the house,
											speeding ahead of my mother's voice.
											I pulled on my red corduroy jumper
and my grey plaid wool hat
											before my mother could get her jacket on.
											I catapulted out of the front screen door
											and threw myself
on a fresh carpet of grass.
											Excited, I bounced to my feet
and flipped three more cartwheels
											before landing by her side.
											Mother dear was in the garden
											busy breaking up the soil,
											and I sat beside her,
											playing with mud pies in the flower bed.
											When her work was done,
											she rewarded me with an ice-cold glass
of bittersweet lemonade
											and then lined my shoes
with sprigs of mint
											to cool off my feet.
									","
											Cuando llegó la primavera
corrí rápidamente por la casa,
											adelantándome a la voz de mi madre.
											Me puse mi suéter de pana roja
y mi simple gorra tejida de lana gris
											antes de que mi madre pudiera
ponerse su abrigo.
											Me catapulté hacia afuera 
de la puerta delantera
											y me tiré sobre una fresca 
carpeta de césped.
											Emocionada, me puse de pie
e hice tres volteretas más
											antes de caer a su lado.
											Mi querida madre estaba en el jardín
											muy ocupada arando la tierra,
											y me senté a su lado,
											jugando con pasteles de barro
en el cantero de flores.
											Cuando terminó su trabajo,
											me recompensó con un vaso helado
de limonada agridulce
											y luego recubrió mis zapatos
con ramas de menta
											para refrescar mis pies.
									","
											Mit Frühlingsbeginn
rannte ich so schnell durchs Haus,
											der Stimme meiner Mutter voraus.
											Ich zog mein rotes Cordkleid
und meinen grau karierten Hut an,
											bevor meine Mutter
ihre Jacke anziehen konnte.
											Ich schoss aus der Haustür
											und warf mich auf
den frischen Grasteppich.
											Ich sprang aufgeregt auf die Füße
und schlug noch drei Räder,
											bevor ich wieder neben ihr landete.
											Meine liebe Mutter arbeitete im Garten
											und grub den Boden um,
											während ich neben ihr saß
											und mit Matschkuchen
im Blumenbeet spielte.
											Als sie fertig war,
											belohnte sie mich mit
einem eiskalten Glas bittersüßer Limonade
											und legte dann meine Schuhe mit Minze aus,
											um meine Füße abzukühlen.
									","
											Avec l'arrivée du printemps,
je courais si vite à travers la maison,
											plus vite que la voix de ma mère.
											Je mettais ma salopette rouge en velours
et mon chapeau en laine gris à carreaux,
											avant même que ma mère
n'ait mis son manteau.
											Je me lançais vers la porte d'entrée
											et me lançais
sur le tapis frais du gazon.
											Excitée, je me relevais
et faisais trois roulades
											avant d'atterrir à ses côtés.
											Ma chère maman était dans le jardin,
											occupée à travailler la terre,
											et je m'asseyais à ses côtés
											et jouais avec de la boue
dans le parterre de fleurs.
											Quand son travail était terminé,
											elle me récompensait avec un verre 
de limonade bien froide,
											et ensuite mettait des feuilles de 
menthe dans mes chaussures
											pour rafraîchir mes pieds.
									","
											Bahar geldiğinde eve doğru
											annemin sesinden bile daha hızlı koştum.
											Daha annem ceketini bile giyemeden,
kırmızı çizgili kadife kazağımı
											ve gri ekoseli yün şapkamı giydim.
											Ön cam kapıdan fırlayıp kendimi
											taze çimlerin üzerine attım.
											Heyecanla tekrar doğruldum
ve annemin yanına uzanmadan önce
											üç perende daha attım.
											Canım annem bahçede toprağı
											kazmakla meşguldü
											ve yanına oturup
											çiçeklerin yanındaki çamurla oynadım.
											Annemin işi bittiğinde
											beni buz gibi ve mayhoş
bir limonatayla ödüllendirdi
											ve sonra ayaklarım serinlesin diye
ayakkabılarımı nane dallarıyla astarladı.
											Annem bahçesinin renk
									",What gardening taught me about life,tobacco brown,6:41,"TED Residency,life,garden,art,public spaces,nature,teaching,beauty,culture,plants"
"
","
","
","
","
",What gardening taught me about life,tobacco brown,6:41,"TED Residency,life,garden,art,public spaces,nature,teaching,beauty,culture,plants"
"
											My mother cooked with the colors
and textures of her garden.
											She baked yams and squash
											and heirloom tomatoes and carrots.
											She fed love to a generation of people
											with purple hull peas and greens.
											It seems that during my childhood,
											the blooms from my mother's gardens
have healed all the way from her halo
											to the roots on the soles of our feet.
											In our last conversation before her death,
											she encouraged me to go
anywhere in the world
											that would make me happy.
									","
											Mi madre cocinaba con los colores
y texturas de su jardín.
											Cocinaba boniatos, calabazas,
											tomates reliquia y zanahorias.
											Alimentó con amor a una 
generación de personas
											con guisantes de color 
púrpura y verduras.
											Pareciera que durante mi infancia,
											las flores de los jardines de mi madre
curaron todo el camino desde su halo
											hasta las raíces en las plantas 
de nuestros pies.
											En nuestra última conversación 
antes de su muerte,
											me animó para que fuera
a cualquier parte del mundo
											que me hiciera feliz.
									","
											Meine Mutter kochte mit den Farben
und Strukturen aus ihrem Garten.
											Sie backte mit Süßkartoffeln und Kürbissen
											und Urtomaten und Karotten.
											Liebevoll ernährte sie
eine ganze Generation
											mit lila Augenbohnen und Blattgemüse.
											Seit meiner Kindheit haben die Blüten
											aus dem Garten meiner Mutter wohl
alles von ihrem Heiligenschein
											bis hin zu den Wurzeln
an unseren Fußsohlen geheilt.
											In unserem letzten Gespräch vor ihrem Tod
											machte sie mir Mut,
irgendwo auf der Welt hinzugehen,
											wo ich glücklich wäre.
									","
											Maman cuisinait avec les couleurs
et textures de son jardin.
											Elle faisait cuire des patates douces
et des courges,
											des tomates de jardin et des carottes.
											Elle a nourri avec amour
toute une génération
											avec des pois violets
et des légumes verts.
											C'est comme si pendant mon enfance,
											les fleurs du jardin de ma mère
avaient tout guéri, de son halo
											aux racines sous nos pieds.
											Lors de notre dernière conversation,
tout juste avant sa mort,
											elle m'a encouragée à partir
n'importe où dans le monde,
											là où ça me rendrait heureuse.
									","
											ve dokularıyla yemek pişirirdi.
											Tatlı patateslerle su kabaklarını
											ve domateslerle havuçları pişirirdi.
											Nesiller boyu insanları
											mor yapraklı bezelye ve yeşilliklerle
ve sevgiyle besledi.
											Görünüşe bakılırsa, çocukluğumdaki
											annemin bahçesindeki 
tomurcuklar onun halesinden
											ayaklarımızın altındaki
köklere uzanmışlardı.
											Ölümünden önceki son konuşmamızda,
											beni dünyada mutlu edecek
herhangi bir yere gitmem
											konusunda cesaretlendirdi.
									",What gardening taught me about life,tobacco brown,6:41,"TED Residency,life,garden,art,public spaces,nature,teaching,beauty,culture,plants"
"
","
","
","
","
",What gardening taught me about life,tobacco brown,6:41,"TED Residency,life,garden,art,public spaces,nature,teaching,beauty,culture,plants"
"
											Since then, I have planted her gardens
											through art installations
throughout the world,
											in countries of the people that I meet.
											Now they are lining
parks and courtyards,
											painted on walls and even
in blighted lots off the street.
											If you were in Berlin, Germany,
											you would have seen my garden
at Stilwerk Design Center,
											where rosemary and lavender,
hydrangea and lemon balm
											trailed up the glass elevators
to all six floors.
											In 2009, I planted ""Philosophers Garden,""
											a garden mural,
											blooming at the historic
Frederick Douglass High School
											in Memphis, Tennessee.
											This school’s garden
fed an entire community
											and was honored by Eleanor Roosevelt
during the Great Depression.
											Again, in 2011, I planted
at Court Square Park —
											six entry gardens
											with 80 varieties
of deliciously fragrant floribunda
											and hybrid tea roses.
									","
											Desde entonces, planté sus jardines
											en instalaciones de arte
a través del mundo,
											en los países de las personas que conocí.
											Ahora ellos cubren parques y patios,
											pintados en paredes, e incluso
en parcelas deterioradas de la calle.
											Si hubieran estado en Berlín, en Alemania,
											habrían visto mi jardín
en el Centro de Diseño Stilwerk,
											donde el romero y la lavanda,
las hortensias y la melisa
											trepaban los seis pisos de
los ascensores de vidrio.
											En el 2009 planté 
el ""Jardín de los Filósofos"",
											un jardín mural,
											floreciendo en la histórica
escuela Frederick Douglas
											en Memphis, Tennessee.
											Este jardín escolar alimentó 
a una comunidad completa
											y fue honrada por Eleanor Roosevelt
durante la Gran Depresión.
											Nuevamente, en el 2011, en el 
Court Square Park planté
											seis jardines de acceso
											con 80 variedades de floribunda
deliciosamente perfumada
											y rosas de té híbridas.
									","
											Von da an pflanzte ich ihre Gärten
											als Installationen auf der ganzen Welt,
											in den Ländern der Leute, die ich treffe.
											Nun zieren sie Parks und Innenhöfe,
											sind auf Mauern gemalt und sogar auf
kahlen Parzellen abseits der Straße.
											Wenn Sie in Berlin gewesen wären,
											hätten Sie meinen Garten
am Stilwerk sehen können,
											wo sich Rosmarin und Lavendel,
Hortensien und Zitronenmelisse
											an den Glasaufzügen zu
allen sechs Stockwerken ranken.
											2009 pflanzte ich ""Philosophers' Garden"",
[Garten der Philosophen],
											ein Gartenwandbild,
											das an der historischen
Frederick Douglass Oberschule
											in Memphis, Tennessee blüht.
											Der Garten dieser Schule
ernährte eine ganze Gemeinde
											und wurde während der Großen Depression
von Eleanor Roosevelt ausgezeichnet.
											2011 pflanzte ich am Court Square Park
											sechs Eingangsgärten
											mit 80 verschiedenen
fein duftenden Floribundarosen
											und hybriden Teerosen.
									","
											Depuis ce moment-là,
je plante ses jardins
											avec des installations artistiques,
partout dans le monde,
											dans les pays des gens que je rencontre.
											Depuis, ils sont installés
dans des parcs et des cours,
											peints sur les murs et aussi
dans des terrains vagues.
											Si vous êtes allé à Berlin,
											peut-être avez-vous vu mon jardin
au Centre de Design Stilwerk,
											où le romarin, la lavande,
les hortensias et la mélisse
											grimpent le long des ascenseurs en verre
jusqu'au sixième étage.
											En 2009, j'ai planté
le « Jardin des Philosophes »,
											un jardin mural,
											qui fleurit sur le site historique
du lycée Frederick Douglas
											à Memphis, dans le Tennessee.
											Ce jardin d'école a nourri
toute une communauté
											et fut honoré par Eleanor Roosevelt
pendant la Grande Dépression.
											À nouveau, en 2011, 
j'ai planté à Court Square Park :
											six jardins entiers
											avec 80 variétés de floribundas
délicieusement parfumées
											et des rosiers thé hybrides.
									","
											O zamandan beri,
											dünyanın dört bir yanında, 
sanat enstalasyonları aracılığı ile
											tanıştığım insanların ülkelerinde
bahçelerini ektim.
											Şimdi park ve avluları süslüyor,
											duvarlarda ve hatta çürümüş
arsaları kaplıyorlar.
											Berlin, Almanya'da olsaydınız
											Stilwerk Tasarım Merkezi'ni,
											biberiye ve lavanta,
ortanca ve melisaların
											cam asansörlerden yukarı altı
kat boyunca sardığını görürdünüz.
											2009'da, Memphis Tennessee'deki
											tarihi Frederick Douglass Lisesi'nde
											""Filozofların Bahçesi"" adında
											bir bahçe freski ektim.
											Okulun bahçesi, Büyük Buhran zamanında
buradaki tüm topluluğu beslemiş
											ve Elenor Roosevelt tarafından da 
onurlandırılmıştır.
											Yine 2011'de Court Square
Park'ta da ekim yaptım;
											altı giriş bahçesi,
											mis kokulu yediveren ve hibrit çay

											güllerinin 80 çeşidinden oluşan.
									",What gardening taught me about life,tobacco brown,6:41,"TED Residency,life,garden,art,public spaces,nature,teaching,beauty,culture,plants"
"
","
","
","
","
",What gardening taught me about life,tobacco brown,6:41,"TED Residency,life,garden,art,public spaces,nature,teaching,beauty,culture,plants"
"
											Gardening has taught me
that planting and growing a garden
											is the same process as creating our lives.
											This process of creation
begins in the spring,
											when you break up the soil and start anew.
											Then it's time to clear out
the dead leaves,
											debris and roots of the winter.
											The gardener must then make sure
											that a good disposition
and the proper nutrients
											are correctly mixed in the soil.
											Then it's important to aerate the topsoil
											and leave it loosely packed
on the surface.
											You won't get those
beautiful blooms in life
											until you first do the work just right.
											When our gardens are balanced with care,
											we can harvest the beauty
of living a life of grace.
									","
											La jardinería me enseñó
que plantar y cultivar un jardín
											es el mismo proceso 
que crear nuestra vida.
											Este proceso de creación
empieza en la primavera,
											cuando uno trabaja la tierra
y empieza de nuevo.
											Luego es el tiempo de quitar
las hojas muertas,
											los residuos y las raíces del invierno.
											Entonces, el jardinero debe asegurar
											que una buena disposición 
y los nutrientes apropiados
											estén mezclados correctamente 
en el suelo.
											Luego es importante airear 
la capa superior
											y dejarla distribuida sin apretar
sobre la superficie.
											Solo conseguirán esas flores
hermosas en la vida
											cuando primero hagan 
el trabajo correctamente.
											Cuando nuestro jardines son 
balanceados con cuidado,
											podemos cosechar la belleza
de vivir una vida de gracia.
									","
											Gärtnern hat mir gezeigt, dass
das Anlegen und die Pflege eines Gartens
											dasselbe ist, wie
die Erschaffung unseres Lebens.
											Dieser Schöpfungsprozess
beginnt im Frühling,
											wenn man den Boden aufbricht
und von neuem beginnt.
											Danach entsorgt man die welken Blätter,
											Schmutz und Wurzeln des Winters.
											Dann muss der Gärtner dafür sorgen,
											dass eine gute Mischung
der passenden Nährstoffe
											richtig im Boden vermengt ist.
											Dann sollte man den Mutterboden auflockern
											und ihn lose auf der Oberfläche lassen.
											Man bekommt die schönen
Blüten des Lebens erst,
											wenn man davor einfach richtig arbeitet.
											Wenn unsere Gärten
sorgfältig ausbalanciert sind,
											können wir die Schönheit
eines harmonischen Lebens ernten.
									","
											Le jardinage m'a appris que
planter et s'occuper d'un jardin
											suit le même procédé que
de la création de nos vies.
											Ce procédé de création
commence au printemps,
											quand vous cassez le sol
et partez de zéro.
											Ensuite c'est le moment
d'enlever les feuilles mortes,
											les débris et les racines de l'hiver.
											Le jardinier doit alors s'assurer
											que les nutriments adéquats
											soient correctement mélangés à la terre.
											Puis, c'est important d'aérer la terre
											et de ne pas l'entasser en surface.
											Dans la vie, vous n'aurez pas
de jolies fleurs
											tant que vous ne ferez pas
votre travail correctement.
											Quand nos jardins seront 
soigneusement équilibrés,
											nous pourrons récolter la beauté
de vivre une vie de grâce.
									","
											Bahçıvanlık bana, bahçe
ekmenin ve yetiştirmenin,
											hayatımızı şekillendirmekle
aynı süreç olduğunu öğretti.
											Bu yaratma süreci ilkbaharda toprağı
											belleyip yeniyerek başlar.
											Sonra ölü yaprakları, taş kalıntılarını
											ve kışın köklerini temizleme zamanı gelir.
											Bahçıvan daha sonra doğru bir dağılımla
											doğru besinin toprağa doğru bir şekilde
											karıştırıldığından emin olmalıdır.
											Sonra en üstteki toprağı
havalandırmak önemlidir,
											yüzeyde gevşek bir hâlde bırakmak gerekir.
											Yapılması gerekenleri
doğru bir şekilde yapmadan
											hayattaki o güzel çiçek açan
tomurcukları elde edemeyiz.
											Bahçeleremizin özenle dengelendiğinde
											inayet dolu bir yaşamın
güzelliğini hasat edebiliriz
									",What gardening taught me about life,tobacco brown,6:41,"TED Residency,life,garden,art,public spaces,nature,teaching,beauty,culture,plants"
