tr,en,fr,de,title,speaker,duration,tags
"
","
","
","
",You don't need an app for that,Toby Shapshak,7:54,"Africa,innovation,technology"
"
											Bir soruyla başlayalım, elinizi kaldırın:
											Kimlerin iPhone telefonu var?
											Kimlerin Android telefonu var?
											Kimlerin Blackberry telefonu var?
											Hanginiz Blackberry telefonu olduğunu toplum içinde söyler?
											(Gülüşmeler)
									","
											Let me start by asking you a
question, just with a show of hands:
											Who has an iPhone?
											Who has an Android phone?
											Who has a Blackberry?
											Who will admit in public to having a Blackberry?
											(Laughter)
									","
											Commençons par une question, 
levez la main
											si vous avez un iPhone.
											Si vous avez un Android.
											Si vous avez un Blackberry.
											Qui va admettre en public qu'il a un Blackberry ?
											(Rires)
									","
											Zuerst möchte ich eine Frage stellen, 
nur mit Handzeichen:
											Wer hier hat ein iPhone?
											Wer hat ein Android-Handy?
											Wer hat ein Blackberry?
											Wer gibt öffentlich zu, 
ein Blackberry zu haben?
											(Gelächter)
									",You don't need an app for that,Toby Shapshak,7:54,"Africa,innovation,technology"
"
","
","
","
",You don't need an app for that,Toby Shapshak,7:54,"Africa,innovation,technology"
"
											Tahmin edeyim, buraya geldiğinizde
											kaçınız benim yaptığım gibi, gidip
											ön ödemeli SIM kart satın aldı?
											Bahse girerim Afrika teknolojisi
											kullandığınızı bilmiyordunuz.
											Ön ödemeli kullanım fikri ya da teknolojisi
											ilk olarak Afrika'da Vodacom adlı şirket tarafından
											15 yıl kadar önce ortaya çıkarılmıştır.
											Şu andaysa, tıpkı isim hakkı kirâlama (franchising) gibi
											ön ödemeli kullanım, dünyadaki ekonomik etkinliğe
											hâkim olan güçlerden biridir.
									","
											And let me guess, how many of you,
											when you arrived here, like me, went and bought
											a pay-as-you-go SIM card? Yeah?
											I'll bet you didn't even know
											you're using African technology.
											Pay-as-you-go was a technology, or an idea,
											pioneered in Africa by a company called Vodacom
											a good 15 years ago,
											and now, like franchising,
											pay-as-you-go is one of the most dominant forces
											of economic activity in the world.
									","
											Et laissez-moi deviner,
											combien d'entre vous, 
quand vous êtes arrivés ici, comme moi,
											êtes allés acheter 
une carte SIM prépayée ?
											Je parie que vous ne savez même pas
											que vous utilisez 
une technologie africaine.
											Le prépayé est une technologie, 
ou une idée
											inventée en Afrique par 
une compagnie appelée Vodacom
											il y a bien 15 ans,
											et maintenant, tel des franchises,
											le prépayé est l'une 
des forces majeures
											de l'activité économique 
à travers le monde.
									","
											Und lassen Sie mich raten, 
wie viele von Ihnen haben sich,
											als Sie hier ankamen, 
genau wie ich
											eine ""pay-as-you-go""-SIM-Karte gekauft?
											Ich wette, Sie wussten nicht einmal,
											dass Sie afrikanische Technologie nutzen.
											Pay-as-you-go ist eine Technologie, 
bzw. eine Idee,
											die in Afrika von einer Firma
namens Vodacom
											vor gut 15 Jahren entwickelt wurde,
											und jetzt, wie Franchising,
											ist PAYG eine der beherrschenden Kräfte
											wirtschaftlicher Aktivität in der Welt.
									",You don't need an app for that,Toby Shapshak,7:54,"Africa,innovation,technology"
"
","
","
","
",You don't need an app for that,Toby Shapshak,7:54,"Africa,innovation,technology"
"
											Afrika'daki teknolojik gelişmeşlere bakarsak
											en doğal şekilde
											gereklilikten doğan buluşları görürüz.
											Ancak öncesinde, birkaç soru daha soracağım.
											Elinizi kaldırmak zorunda değilsiniz.
											Retorik sorular bunlar.
									","
											So I'm going to talk about innovation in Africa,
											which I think is the purest form,
											innovation out of necessity.
											But first, I'm going to ask you some other questions.
											You don't have to put your hands up.
											These are rhetorical.
									","
											Je vais parler 
de l'innovation en Afrique,
											qui, je pense, 
est la forme la plus pure,
											l'innovation basée sur la nécéssité.
											Mais d'abord, je vais vous poser 
quelques questions.
											Vous n'avez pas besoin de lever la main.
											Ce sont des questions rhétoriques.
									","
											Ich werde also über Innovation 
in Afrika sprechen,
											welche für mich ihre reinste Form ist,
											Innovation aus Notwendigkeit.
											Doch zuerst stelle ich 
noch ein paar Fragen.
											Sie müssen keine Handzeichen geben.
											Die Fragen sind nur rhetorisch.
									",You don't need an app for that,Toby Shapshak,7:54,"Africa,innovation,technology"
"
","
","
","
",You don't need an app for that,Toby Shapshak,7:54,"Africa,innovation,technology"
"
											Niçin Nikola Tesla
											bu binadaki ya da bulunduğumuz şehirdeki ışıklandırmanın
											gücünü sağlayan dalgalı akımı icat etmek ihtiyacı duydu?
									","
											Why did Nikola Tesla have to invent
											the alternating current that powers the lights
											in this building or the city that we're in?
									","
											Pourquoi Nikola Tesla a 
eu à inventer
											le courant alternatif 
qui alimente les lumières
											dans cet immeuble ou 
la ville où nous sommes ?
									","
											Warum musste Nikola Tesla
											den Wechselstrom erfinden, 
der die Lichter
											um uns herum am Laufen hält?
									",You don't need an app for that,Toby Shapshak,7:54,"Africa,innovation,technology"
"
","
","
","
",You don't need an app for that,Toby Shapshak,7:54,"Africa,innovation,technology"
"
											Niçin Henry Ford, siyah renkte olduğu sürece
											bitirilen herhangi bir Ford arabasını üretmek için
											seri üretim hattını icat etmek ihtiyacı duydu?
									","
											Why did Henry Ford have to
invent the production line
											to produce these Fords that came in anything
											as long as they were black?
									","
											Pourquoi Henry Ford a eu à inventer 
la chaîne de production
											pour produire ces Fords 
qui étaient de n'importe quelle couleur
											tant que vous choississiez noir ?
									","
											Warum musste Henry Ford 
das Fließband erfinden
											um Fords zu produzieren, 
die in jeder Farbe kamen,
											solange es schwarz war?
									",You don't need an app for that,Toby Shapshak,7:54,"Africa,innovation,technology"
