es,en,pt,title,speaker,duration,tags
"
","
","
",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
											Este es mi lugar favorito en la Tierra,
											el Salar de Uyuni en Bolivia.
											Y cuando queda cubierto
de una fina capa de agua,
											las nubes se reflejan.
											Y hay días que uno siente
como si se flotara
											entre las nubes.
											Pero hay días que el horizonte desaparece;
											ya no existe ni el arriba ni el abajo.
											Uno se siente inmerso
											en algo más grande.
									","
											This is my favorite place on earth,
											Salar de Uyuni in Bolivia.
											And when it's covered
in a thin layer of water,
											it reflects the clouds.
											There are days when you feel
as if you're floating among the clouds.
											But there are days
when the horizon disappears;
											there's no longer a top or a bottom.
											You feel immersed in something bigger.
									","
											Este é o meu lugar preferido na Terra,
											o Salar de Uyuni na Bolívia.
											Quando fica coberto 
por uma delgada camada de água,
											reflete as nuvens.
											Há dias em que nos sentimos
a flutuar entre as nuvens.
											Mas há dias em que o horizonte desaparece
											já não existe, nem em cima nem em baixo.
											Sentimo-nos imersos numa coisa maior.
									",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
","
","
",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
											Y fue allí que una noche
											en medio de un sueño me desperté
											y vi que también las estrellas
se reflejaban sobre el agua.
											Y esto no era un sueño;
											era como si uno pudiera caminar
sobre las estrellas.
											A cada paso que daba
las estrellas reverberaban bajo mis pies.
											Era como sentirse flotando en el universo
											en medio de nubes de galaxias.
									","
											It was there that one night
I woke up from a dream,
											and I saw that the stars
were also reflected on the water.
											And that wasn't a dream.
											It was as if you could walk
among the stars.
											With every step I took,
the stars reverberated under my feet.
											It was like I was floating in the universe
among clouds of galaxies.
									","
											Foi ali que, uma noite,
											despertei a meio de um sonho
											e vi que as estrelas
também se refletiam na água.
											E isso não era um sonho,
											era como se pudesse caminhar
sobre as estrelas.
											A cada passo que dava, as estrelas
reverberavam por baixo dos meus pés.
											Era como se me sentisse
a flutuar no universo
											no meio de nuvens de galáxias.
									",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
","
","
",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
											Pero lo que flota hoy en día
no son solo nubes de galaxias,
											sino también nubes de plástico.
											Y estas son las huellas
que estamos dejando en el planeta.
											Son las marcas de una época
											en la que el comportamiento
de algunos hombres
											está dejando un impacto global
sobre los ecosistemas terrestres.
											Y esta época se llama ""el Antropoceno.""
											Hay también otros tipos
de nubes tóxicas, contaminantes,
											que flotan en el aire,
											como las que resultan de las emisiones
de dióxido de carbono;
											las quema de combustibles fósiles
el petróleo, el carbón y el gas;
											nubes que, cuando las vemos,
											contaminan nuestros sueños.
											No sé si ustedes, pero ...
											yo siempre soñé
con flotar entre las nubes.
											Y hoy tal vez juntos podemos imaginarnos
otros tipos de nubes,
											unas nubes con las que podamos vivir.
									","
											But what's floating there today
are not just clouds of galaxies
											but also clouds of plastic.
											These are the footprints
we're leaving on the planet.
											They're signs of an era
											in which the behavior of some humans
is making a global impact
											on our ecosystems.
											This era is called the Anthropocene.
											There's also another type
of toxic clouds that float in the air,
											like the ones that form
from carbon dioxide emissions
											and from the burning of fossil fuels —
oil, carbon, gas —
											clouds that, when we see them,
											pollute our dreams.
											I don't know about all of you,
											but I've always dreamed of floating
among the clouds.
											Maybe today we can imagine together
other types of clouds,
											clouds we can live with.
									","
											Mas o que flutua, hoje em dia,
não são só nuvens de galáxias,
											são também nuvens de plástico.
											Estas são as pegadas
que estamos a deixar no planeta.
											São as marcas duma época
											em que o comportamento de alguns homens
											está a deixar um impacto global
nos ecossistemas terrestres.
											Esta época chama-se ""o Antropoceno"".
											Também há outro tipo
de nuvens tóxicas, contaminantes,
											que flutuam no ar,
											como as que resultam das emissões
de dióxido de carbono;
											a queima de combustíveis fósseis
— o petróleo, o carvão e o gás.
											Nuvens que, quando as vemos,
											contaminam os nossos sonhos.
											Não sei o que se passa convosco
											mas eu sempre sonhei
em flutuar entre as nuvens.
											Talvez hoje possamos imaginar
outro tipo de nuvens,
											umas nuvens com que possamos viver.
									",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
","
","
",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
											Ahora, si ustedes se preguntan
de la imagen y debo aclarar:
											parece un collage,
un fotomontaje, una cosa rara.
											No, esto es realidad.
											Pero hay veces que me pregunto:
¿Qué es la realidad?
											Como dice Alexander Kluge:
											""Los seres humanos
no están interesados en la realidad;
											no pueden estarlo.
											Es parte de su esencia humana.
											Ellos tienen deseos.
											Y estos deseos son totalmente opuestos
a cualquier forma de realidad;
											ellos prefieren engañarse
											antes de divorciarse de sus deseos.""
											Pero, ¿cómo aprender entonces
a flotar entre las nubes?
											Yo como un artista, entonces,
											pensé que podríamos empezar a construir
											un museo volador.
											Entonces se preguntan,
¿con bolsitas de plástico?
									","
											If you're wondering
about that photo, I'll explain:
											it looks like a collage
or photomontage — something weird.
											No; it's reality.
											But sometimes I ask myself:
What is reality?
											According to Alexander Kluge:
											""Human beings are not
interested in reality.
											They can’t be; it’s part
of the human essence.
											They have desires.
											These desires are totally opposed
to any form of reality.
											They prefer to lie
											than to become divorced
from their desires.""
											But how can we learn
to float among the clouds?
											As an artist, I thought we could start
building a flying museum.
											You're probably wondering:
With plastic bags?
									","
											Mas, se acham que esta imagem
											parece uma colagem,
uma fotomontagem, uma coisa rara.
											Não. Isto é a realidade.
											Mas às vezes, interrogo-me:
""O que é a realidade?""
											Como disse Alexander Kluge:
											""Os seres humanos não estão
interessados na realidade,
											""não podem estar.
											""Faz parte da sua essência humana.
											""Eles têm desejos.
											""E esses desejos são totalmente opostos
a qualquer forma de realidade.
											""Eles preferem iludir-se
											""a prescindir dos seus desejos"".
											Então, como aprender
a flutuar entre as nuvens?
											Eu, enquanto artista,
											pensei que podíamos começar
a construir um museu voador.
											E podem pensar:
""Com sacos de plástico?""
									",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
","
","
",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
"
											En el 2007, con una comunidad de gente
alrededor del mundo,
											empezamos a recolectar
bolsas de plástico usadas —
											no eran nuevas.
											Y ahí fue que las lavamos
											las cortamos,
											las pegamos
											y empezamos a dibujar sobre ellas,
											creando un lienzo gigante.
											Creamos una colección de dibujos,
											de historias personales
											y de amistades.
											Y cuando se unen,
											se doblan y se pliegan
											un espacio lleno de aire se forma.
											Y cuando el Sol sale del horizonte,
											el museo se eleva en el cielo.
											Por eso lo llamamos ""Museo Aero Solar,""
											y a partir de esta idea sencilla
											aprendimos a flotar en el aire
de una forma radicalmente nueva,
											sin utilizar ningún tipo de combustible.
											Y la diferencia de temperatura
											entre el interior y el exterior
											es lo que nos hace elevar.
											Entonces, de esta forma
											no utilizamos ni combustibles fósiles
ni helio ni hidrógeno;
											no utilizamos paneles solares,
											ni baterías, ni motores.
											Encontramos una manera sencilla y limpia
y accesible a todo el mundo
											de poder elevarnos.
									","
											In 2007, with a community of people
all over the world,
											we began to collect used plastic bags —
											not new ones.
											And we washed them,
											we cut them up,
											we glued them together,
											and we began to draw on them,
											creating a huge canvas.
											We made a collection of drawings,
											of personal stories
											and of friendships.
											And when you join them,
											bend them and fold them,
											it creates a space full of air.
											When the sun comes up from the horizon,
											the museum rises up to the sky.
											That's why we call it,
""The Aero-Solar Museum.""
											And from this simple idea,
											we learned how to float in the air
in a radically new way,
											without using any type of fuel.
											The difference in temperature
between the interior and the exterior
											is what makes us rise up.
											That way,
											we don't use fossil fuels
or helium or hydrogen;
											we don't use solar panels
											or batteries or motors.
											We discovered a way that's simple,
clean and accessible to the whole world
											to lift ourselves up.
									","
											Em 2007, com uma comunidade
de pessoas de todo o mundo,
											começámos a juntar sacos
de plástico usados
											— não eram novos.
											Lavámo-los,
											cortámo-los,
											agarrámos neles
											e começámos a desenhar neles,
											criando uma tela gigante.
											Criámos uma coleção de desenhos,
											de histórias pessoais e de amizades.
											Quando se unem
											e se dobram,
											forma-se um espaço cheio de ar.
											Quando o Sol nasce no horizonte,
											o museu eleva-se no céu.
											Por isso, chamamos-lhe
""Museu Aéreo Solar"".
											A partir desta simples ideia
											aprendemos a flutuar no ar
duma forma radicalmente nova,
											sem utilizar qualquer tipo de combustível.
											A diferença de temperatura
											entre o interior e o exterior
											é o que nos faz subir.
											Desta forma,
											não utilizamos combustíveis fósseis,
nem hélio ou hidrogénio.
											Não utilizamos painéis solares,
											nem baterias, nem motores.
											Encontramos uma forma simples e limpa
e acessível em todo o mundo
											para nos podermos elevar.
									",Would you live in a floating city in the sky?,Tomás Saraceno,11:03,"art,design,environment,creativity,future,invention,innovation,pollution,solar energy,technology,sustainability,TED en Español,wind energy"
