en,tr,fr,pt,title,speaker,duration,tags
"
","
","
","
",The simple genius of a good graphic,Tommy McCall,5:57,"data,visualizations,design,technology,media,animation,creativity,innovation,statistics,math"
"
											I love infographics.
											As an information designer,
											I've worked with all sorts of data
over the past 25 years.
											I have a few insights to share,
but first: a little history.
									","
											Bilgi grafiklerini çok seviyorum.
											Bilgi tasarımcısı olarak
											son 25 yıl içinde
pek çok veri üzerinde çalıştım.
											Paylaşacağım birkaç şey var
ama öncelikle biraz tarih.
									","
											J'aime l'infographie.
											En tant que concepteur multimédia,
											j'ai vu toutes sortes de données
											au cours des 25 dernières années.
											J'ai quelques idées à vous partager,
											mais d'abord : faisons un peu d'histoire.
									","
											Eu adoro infográficos.
											Como ""designer"" de informação,
											tenho trabalhado com todos os tipos
de dados nos últimos 25 anos.
											Tenho alguns conhecimentos a partilhar,
mas primeiro: um pouco de história.
									",The simple genius of a good graphic,Tommy McCall,5:57,"data,visualizations,design,technology,media,animation,creativity,innovation,statistics,math"
"
","
","
","
",The simple genius of a good graphic,Tommy McCall,5:57,"data,visualizations,design,technology,media,animation,creativity,innovation,statistics,math"
"
											Communication is the encoding,
transmission and decoding of information.
											Breakthroughs in communication mark
turning points in human culture.
											Oracy, literacy and numeracy
were great developments in communication.
											They allow us to encode ideas into words
											and quantities into numbers.
											Without communication, we'd still
be stuck in the Stone Ages.
									","
											İletişim, bilginin kodlanması, iletilmesi
ve deşifre edilmesi demek.
											İletişim alanındaki açılımlar
insan kültüründe hep dönüş noktası oldu.
											Dilbilgisi, okuma yazma ve rakamlar
iletişimde harika gelişmelerdi.
											Bunlar fikirleri kelimelere
çevirmemize yarıyor
											ve miktarları da rakamlara.
											İletişim olmadan hâlâ
Taş Devri'nde takılı kalırdık.
									","
											La communication est l'encodage,
											la transmission
											et le décodage de l'information.
											Les avancées dans la communication
											marquent un tournant
dans la culture humaine.
											L'oralité, l'alphabétisation 
et la numérisation
											ont marqué un grand progrès 
en communication.
											Ils nous permettent de changer
des idées en mots
											et des quantités en nombres.
											Sans la communication,
											on serait encore bloqué à l'Âge de pierre.
									","
											A comunicação é a codificação, transmissão
e descodificação de informações.
											Avanços na comunicação marcam
momentos decisivos na cultura humana.
											A oracia, literacia e numeracia foram
grandes desenvolvimentos na comunicação.
											Elas deixam-nos codificar
ideias em palavras
											e quantidades em números.
											Sem comunicação, ainda estaríamos presos
na Idade da Pedra.
									",The simple genius of a good graphic,Tommy McCall,5:57,"data,visualizations,design,technology,media,animation,creativity,innovation,statistics,math"
"
","
","
","
",The simple genius of a good graphic,Tommy McCall,5:57,"data,visualizations,design,technology,media,animation,creativity,innovation,statistics,math"
"
											Although humans have been around
for a quarter million years,
											it was only 8,000 years ago
that proto-writings began to surface.
											Nearly 3,000 years later, the first
proper writing systems took shape.
									","
											İnsanoğlu çeyrek milyon yıldır var olsa da
											yazının ortaya çıkışı
sadece 8000 yıla dayanıyor.
											Yaklaşık 3000 yıl sonra
ilk düzenli yazı sistemi hayata geçti.
									","
											Même si les humains existent
depuis longtemps,
											ça ne fait que 8 000 ans que 
l'écriture pictographique est apparue.
											Environ 3 000 ans plus tard,
											le premier système d'écriture 
à proprement parler a pris forme.
									","
											Apesar de os humanos existirem
há 250 mil anos,
											foi apenas há 8 mil anos que
começaram a aparecer proto-escritas.
											Quase 3 mil anos depois, formaram-se
os primeiros sistemas de escrita.
									",The simple genius of a good graphic,Tommy McCall,5:57,"data,visualizations,design,technology,media,animation,creativity,innovation,statistics,math"
"
","
","
","
",The simple genius of a good graphic,Tommy McCall,5:57,"data,visualizations,design,technology,media,animation,creativity,innovation,statistics,math"
"
											Maps have been around for millennia
and diagrams for hundreds of years,
											but representing quantities
through graphics
											is a relatively new development.
											It wasn't until 1786 that William Playfair
invented the first bar chart,
											giving birth to visual display
of quantitative information.
											Fifteen years later, he introduced
the first pie and area charts.
											His inventions are still the most
commonly used chart forms today.
											Florence Nightingale invented
the coxcomb in 1857
											for a presentation to Queen Victoria
on troop mortality.
											Highlighted in blue,
											she showed how most troops' deaths
could have been prevented.
											Shortly after, Charles Minard charted
Napoleon's march on Moscow,
											illustrating how an army of 422,000
dwindled to just 10,000
											as battles, geography and freezing
temperatures took their toll.
											He combined a Sankey diagram
with cartography
											and a line chart for temperature.
									","
											Haritalar binlerce yıldır,
diyagramlar da yüzlerce yıldır var
											ancak miktarların grafiksel gösterimi
											nispeten yeni bir gelişme.
											William Playfair ilk çubuk grafiği
yaptığında yıl 1978'di,
											nicel bilgi için yeni bir görsel
ortaya çıkmış oldu.
											On beş yıl sonra, dairesel grafik
ve alan grafiklerini tanıttı.
											Onun buluşları bugün hâlâ
en sık kullanılan grafik şekilleri.
											Florence Nightingale
1857'de kutupsal diyagramı ortaya çıkardı,
											asker ölümlerine dair
Kraliçe Victoria'ya bir sunumdu.
											Mavili kısımlarla
											asker ölümlerinin çoğunun
nasıl önlenebileceğini göstermişti.
											Kısa bir süre sonra Charles Minard,
Napolyon'un Moskova yürüyüşünü
											savaşlar, coğrafi koşullar
ve aşırı soğuk kendini gösterirken
											422.000 kişilik bir ordunun
nasıl 10.000 kişiye düştüğünü grafikledi.
											Bir Sankey diyagramıyla
kartografiyi birleştirdi,
											sıcaklık için de çizgisel grafik kullandı.
									","
											Les cartes existent depuis des millénaires
											et les diagrammes 
depuis une centaine d'années,
											mais représenter des quantités 
à travers des graphiques
											est un progrès assez récent.
											Ce n'est qu'en 1786 que William Playfair 
a inventé le premier histogramme,
											donnant naissance à la représentation 
visuelle d'informations quantitatives.
											Quinze ans plus tard,
											il a introduit les graphiques 
circulaires et en aires empilées.
											Ses inventions sont encore
les plus utilisées aujourd'hui.
											Florence Nightingale a inventé 
le graphique « camembert » en 1857
											pour une présentation donnée à la Reine 
Victoria sur la mortalité des troupes.
											Surligné en bleu,
											elle a montré comment beaucoup 
de morts auraient pu être évitées.
											Plus tard,
											Charles Minard a créé un graphique 
sur la marche de Napoléon sur Moscou,
											illustrant comment une armée 
de 422 000 hommes s'est réduite à 10 000
											à cause des batailles, de la géographie 
et des basses températures
											qui ont eu de lourdes conséquences.
											Il a combiné un diagramme de Sankey 
avec une cartographie
											et une courbe pour la température.
									","
											Os mapas já existem há milénios
e os diagramas há centenas de anos,
											mas representar quantidades
através de gráficos
											é um desenvolvimento relativamente novo.
											Foi só em 1786 que William Playfair
inventou o primeiro gráfico de barras
											dando início à exibição visual
de informações quantitativas.
											Quinze anos depois, introduziu
os primeiros gráficos de queijo e de área.
											As suas invenções ainda são as formas
mais comuns de gráficos utilizadas hoje.
											Florence Nightingale inventou
o gráfico ""coxcomb"" em 1857
											para uma apresentação à Rainha Vitória
sobre a mortalidade das tropas
											Destacado a azul,
											ela demonstrou como a maioria das mortes
das tropas poderiam ter sido evitadas.
											Pouco tempo depois, Charles Minard
mapeou a marcha de Napoleão em Moscovo,
											ilustrando como um exército de 422 mil
diminuiu para apenas 10 mil
											devído ao papel das batalhas, da geografia
e das temperaturas congelantes.
											Ele combinou o diagrama de Sankey
com a cartografia
											e um gráfico de linhas para a temperatura.
									",The simple genius of a good graphic,Tommy McCall,5:57,"data,visualizations,design,technology,media,animation,creativity,innovation,statistics,math"
"
","
","
","
",The simple genius of a good graphic,Tommy McCall,5:57,"data,visualizations,design,technology,media,animation,creativity,innovation,statistics,math"
"
											I get excited when I get
lots of data to play with,
											especially when it yields
an interesting chart form.
											Here, Nightingale's coxcomb
was the inspiration
											to organize data on thousands
of federal energy subsidies,
											scrutinizing the lack of investment
in renewables over fossil fuels.
											This Sankey diagram illustrates
the flow of energy through the US economy,
											emphasizing how nearly half
of the energy used is lost as waste heat.
									","
											Üzerinde çalışacak
çok veri olunca heyecanlanıyorum,
											özellikle veriler ilgi çekici
bir tabloya dönüşme yolundaysa.
											Burada Nightingale'in
kutupsal grafiği ilham kaynağıydı,
											binlerce federal enerji
kuruluşuna dair veriyi organize ederek
											fosil yakıtları yerine yenilenebilir
kaynaklara yatırım eksikliğine odaklandım.
											Sankey diyagramı ABD ekonomisideki
enerji akışını resmediyor,
											bu enerjinin neredeyse yarısının
atık ısı olarak kaybedilmesini vurguluyor.
									","
											J'étais tout excité à l'idée de 
jouer avec autant de données,
											notamment quand il y avait 
des formes de diagrammes intéressantes.
											Ici, le camembert de Nightingale
											m'a inspiré pour organiser
les données de milliers de
											subventions fédérales
en matières d'énergie,
											en examinant le manque d'investissement
											dans les énergies renouvelables 
contrairement aux énergies fossiles.
											Ce diagramme de Sankey illustre
											le flux énergétique 
de l'économie américaine,
											soulignant que presque 
la moitié de l'énergie utilisée
											représente des pertes de chaleur.
									","
											Eu fico entusiasmado quando tenho
muitos dados para brincar
											especialmente quando produz
um gráfico com uma forma interessante
											Aqui, a ""coxcomb"" da Nightingale
foi uma inspiração
											para organizar os dados de milhares
de subsídios federais de energia,
											examinando a falta de investimento
											em energias renováveis.
ao invés de combustíveis fósseis.
											Este diagrama de Sankey ilustra
o fluxo de energia pela economia dos EUA,
											enfatizando que quase metade da energia
se perde como calor desperdiçado.
									",The simple genius of a good graphic,Tommy McCall,5:57,"data,visualizations,design,technology,media,animation,creativity,innovation,statistics,math"
