en,es,pt,tr,title,speaker,duration,tags
"
","
","
","
",How this FBI strategy is actually creating US-based terrorists,Trevor Aaronson,9:22,"TED Fellows,United States,government,terrorism,violence,surveillance,encryption"
"
											The FBI is responsible
for more terrorism plots
											in the United States
											than any other organization.
											More than al Qaeda,
											more than al Shabaab,
											more than the Islamic State,
											more than all of them combined.
									","
											El FBI es responsable de 
más complots terroristas
											en EE.UU.
											que cualquier otra organización.
											Más que Al Qaeda,
											más que Al Shabaab,
											más que el Estado Islámico,
											más que todos ellos juntos.
									","
											O FBI é responsável por mais
conspirações terroristas nos EUA
											do que qualquer outra organização.
											Mais do que a Alcaida,
mais do que o al-Shabaab,
											mais do que o Estado Islâmico,
mais do que todos eles juntos.
									","
											Birleşik devletlerde
terörism komploları konusunda
											diğer kurumlardan daha sorumlu olan kurum
											FBI'dır.
											El-Kaide'den daha fazla,
											El-Şebab'tan daha fazla
											IŞİD'den daha fazla,
											hepsinin toplamından daha fazla.
									",How this FBI strategy is actually creating US-based terrorists,Trevor Aaronson,9:22,"TED Fellows,United States,government,terrorism,violence,surveillance,encryption"
"
","
","
","
",How this FBI strategy is actually creating US-based terrorists,Trevor Aaronson,9:22,"TED Fellows,United States,government,terrorism,violence,surveillance,encryption"
"
											This isn't likely how you
think about the FBI.
											You probably think of FBI agents
gunning down bad guys like John Dillinger,
											or arresting corrupt politicians.
									","
											Probablemente el FBI 
no es como Uds. piensan.
											Probablemente piensan en agentes 
del FBI disparando a los malos
											como John Dillinger o deteniendo 
a políticos corruptos.
									","
											Provavelmente,
não é assim que veem o FBI.
											Talvez imaginem os agentes do FBI
a abater vilões como o John Dillinger
											ou a prender políticos corruptos.
									","
											FBI hiç sandığınız gibi değil.
											Siz FBI ajanlarının John Dillinger gibi
kötü adamları vurduğunu
											veya yozlaşmış siyasileri
tutukladığını düşünüyorsunuzdur.
									",How this FBI strategy is actually creating US-based terrorists,Trevor Aaronson,9:22,"TED Fellows,United States,government,terrorism,violence,surveillance,encryption"
"
","
","
","
",How this FBI strategy is actually creating US-based terrorists,Trevor Aaronson,9:22,"TED Fellows,United States,government,terrorism,violence,surveillance,encryption"
"
											After the 9/11 terrorist attacks,
											the FBI became less concerned 

											with gangsters and 
crooked elected officials.
											The new target became terrorists,
											and the pursuit of terrorists 
has consumed the FBI.
									","
											Tras los ataques 
terroristas del 11-S,
											el FBI se preocupó menos
											de mafiosos y funcionarios 
electos corruptos.
											El nuevo objetivo 
fueron los terroristas,
											y la caza de terroristas 
absorbió al FBI.
									","
											Depois dos ataques do 11 de setembro,
											o FBI começou a preocupar-se menos
com os ""gangsters""
											e com os líderes eleitos
de forma desonesta.
											O novo alvo passou a ser o terrorismo
											e a perseguição de terroristas
consumiu o FBI.
									","
											11 Eylül terörist saldırısından sonra
											FBI gangsterler ve yozlaşmış memurlardan
											daha az endişe duymaya başladı.
											Yeni hedef teröristler oldu
											ve terörist peşinde koşmak
FBI'yı tüketti.
									",How this FBI strategy is actually creating US-based terrorists,Trevor Aaronson,9:22,"TED Fellows,United States,government,terrorism,violence,surveillance,encryption"
"
","
","
","
",How this FBI strategy is actually creating US-based terrorists,Trevor Aaronson,9:22,"TED Fellows,United States,government,terrorism,violence,surveillance,encryption"
"
											Every year, the Bureau spends
3.3 billion dollars
											on domestic counterterrorism activities.
											Compare than to just 2.6 billion dollars
combined for organized crime,
											financial fraud, public corruption

											and all other types of traditional
criminal activity.
									","
											Cada año, la Oficina gasta 
USD 3300 millones
											en actividades antiterroristas 
nacionales.
											Compárenlo con los solo USD 2,6 
millones para el crimen organizado,
											fraude financiero, corrupción pública
											y todo tipo de actividad 
delictiva tradicional.
									","
											Todos os anos,
o FBI gasta 3300 milhões de dólares
											em atividades nacionais contraterroristas.
											em comparação com os 2600 milhões
de dólares para o crime organizado,
											a fraude fiscal, a corrupção pública
e todo o tipo de atividade criminal.
									","
											Her yıl, Büro yurtiçi terörle
mücadele faaliyetleri için
											3.3 milyar dolar harcıyor.
											Bunu organize suç, finansal dolandırıcılık,
kamu yolsuzluğu
											ve tüm diğer geleneksel
suç faaliyetleri için harcanan
											2.6 milyar dolar ile kıyaslayın.
									",How this FBI strategy is actually creating US-based terrorists,Trevor Aaronson,9:22,"TED Fellows,United States,government,terrorism,violence,surveillance,encryption"
"
","
","
","
",How this FBI strategy is actually creating US-based terrorists,Trevor Aaronson,9:22,"TED Fellows,United States,government,terrorism,violence,surveillance,encryption"
"
											I've spent years pouring through
the case files
											of terrorism prosecutions in 
the United States,
											and I've come to 
the conclusion that the FBI
											is much better at creating terrorists
than it is at catching terrorists.
									","
											He pasado años metido 
en los expedientes
											de juicios de terrorismo en EE.UU.
											y he llegado a la conclusión 
de que el FBI
											es mucho mejor en la creación 
de terroristas que en su captura.
									","
											Passei anos a estudar casos
de repressão terrorista, nos EUA,
											e cheguei à conclusão
de que o FBI
											é muito melhor a criar terroristas
do que a apanhá-los.
									","
											Yıllarımı Birleşik Devletlerdeki
											terörizmle ilgili
dava dosyaları arasında harcadım
											ve vardığım sonuca göre FBI
											teröristleri yakalamaktan daha çok
onları üretmekte başarılı.
									",How this FBI strategy is actually creating US-based terrorists,Trevor Aaronson,9:22,"TED Fellows,United States,government,terrorism,violence,surveillance,encryption"
