en,pt,de,tr,fr,es,title,speaker,duration,tags
"
","
","
","
","
","
",Portraits that transform people into whatever they want to be,Uldus Bakhtiozina,7:19,"art,creativity,TED Fellows,photography,identity"
"
											I'm often asked
											why I do art,
											what do I want to say
with my art photography,
											and what is the use of it?
											Once in a while I start to worry
											how to actually measure
the impact from the art
											like we do with medicine or technology,
											where we can see the results
and calculate it.
											Then I would finally be able
to explain to my mother my art
											with real numbers.
											But my art is so far from metrics,
											and moreover, my photography
is widely exposing the theme of escapism.
									","
											Perguntam-me muitas vezes
											porque é que faço arte,
											o que quero dizer com a minha
fotografia artística
											e qual é o objetivo.
											De vez em quando, preocupo-me
											em como medir o impacto
deste tipo de arte
											como fazemos com a medicina
ou com a tecnologia,
											onde podemos ver esses resultados
e como calculá-los.
											Assim, conseguiria explicar
a minha arte à minha mãe
											com números reais.
											Mas a minha arte está tão longe
de métricas...
											Além disso, a minha fotografia
expõe amplamente o desejo de evasão.
									","
											Ich werde oft gefragt,
											wieso ich Kunst mache,
											was ich mit meiner
Kunstfotografie sagen möchte
											und was der Nutzen ist?
											Manchmal frage ich mich dann,
											wie man den Einfluss von Kunst
tatsächlich messen kann,
											so wie wir es mit Medizin 
oder Technologie tun,
											wo man die Ergebnisse sehen
und auch messen kann.
											Dann könnte ich meiner Mutter meine Kunst
											endlich mit echten Zahlen näherbringen.
											Aber meine Kunst ist weit weg von Metriken
											und außerdem beschäftigt sich
meine Fotografie mit Realitätsflucht.
									","
											Bana genelde neden sanatla uğraştığımı,
											sanat fotoğrafçılığımla ilgili
											neler söylemek istediğimi
ve bunun nasıl bir faydası
											olduğunu soruyorlar.
											Bazen, tıp veya teknolojide
											gerçekleştirerek sonuçları
görüp, hesaplayabildiğimiz gibi,
											sanatın etkisini de gerçekten
											nasıl ölçebileceğimiz konusunda
endişelenmeye başlıyorum.
											Böylece sanatımı, anneme
gerçek sayılarla açıklayabilecek
											hâle gelebilirdim.
											Fakat sanatım, ölçü-bilime çok uzak
											ve dahası, fotoğraflarım büyük ölçüde
gerçekten kaçış temasını sergiliyor.
									","
											On me demande souvent
pourquoi je fais de l'art,
											quel message je veux faire passer
dans mes photographies d'art,
											et à quoi il sert.
											De temps à autre, je souhaiterais savoir
											comment mesurer l'impact de l'art
											comme on le fait avec
la médecine ou la technologie
											pour lesquelles on peut voir
les résultats et les calculer.
											Je serais alors capable
d'expliquer mon art à ma mère,
											avec de réelles données chiffrées.
											Mais mon art est si éloigné des mesures.
											Par ailleurs, ma photographie expose
largement le thème de l'évasion.
									","
											A menudo me preguntan
											¿por qué hago arte,
											qué quiero expresar 
con mis fotografías artísticas
											y cuál es el sentido de hacerlo?
											Cada tanto me preocupo por
											cómo medir el impacto
que tiene el arte
											como lo hacemos 
con la medicina o la tecnología
											dónde podemos ver los resultados
y calcularlo.
											Entonces finalmente sería capaz
de explicarle a mi madre mi arte
											con números reales.
											Pero mi arte está muy alejado 
de cualquier medida
											y sobretodo, mi fotografía expone
ampliamente el tema del escapismo.
									",Portraits that transform people into whatever they want to be,Uldus Bakhtiozina,7:19,"art,creativity,TED Fellows,photography,identity"
"
","
","
","
","
","
",Portraits that transform people into whatever they want to be,Uldus Bakhtiozina,7:19,"art,creativity,TED Fellows,photography,identity"
"
											My theory is that all of us
											struggle sometimes to escape
											in order to analyze our reality,
											appreciate it or change.
											I don't work with daily life as it is,
											and I'm not a documentary photographer
											in the common sense.
											But I am a documentary photographer
											in a different sense.
											I document dreams.
											I work with daily life as it could be,
											as I imagine it.
											I am a daydreamer, but at the same time
I love things that are authentic
											and deal with our innermost nature,
											which I would never want to escape from.
											I adore complicated personalities,
											and real life inspires me
to create my images.
											Real life inspires our escape,
											and sometimes that escape is very needed.
									","
											A minha teoria é que todos nós
											lutamos muitas vezes
para conseguirmos escapar,
											de maneira a conseguirmos analisar
a nossa realidade
											para apreciá-la ou mudar alguma coisa.
											Não trabalho o dia-a-dia
tal como ele é,
											nem sou fotógrafa documental
											no senso comum da palavra.
											Sou uma fotógrafa documental
											num sentido diferente.
											Eu documento sonhos.
											Trabalho o dia-a-dia
como ele poderia ser,
											como imagino.
											Eu sonho acordada mas, ao mesmo tempo,
amo as coisas que são autênticas
											e que mexem com a nossa
natureza mais íntima,
											que é algo de que nunca quereria fugir.
											Adoro personalidades difíceis
											e a vida real é a minha inspiração
para criar as minhas imagens.
											A vida real inspira a nossa fuga
											e, por vezes, essa fuga
é muito necessária.
									","
											Meine Theorie ist,
											dass wir alle manchmal versuchen,
der Realität zu entfliehen,
											um unsere Wirklichkeit zu analysieren,
											sie wertzuschätzen oder zu ändern.
											Ich arbeite nicht mit dem Alltäglichen
											und ich mache keine Dokumentarfotografie
											im eigentlichen Sinne.
											Ich mache Dokumentarfotografie
auf eine andere Art und Weise.
											Ich dokumentiere Träume.
											Ich arbeite mit dem Alltäglichen,
wie es sein könnte,
											so wie ich es mir vorstelle.
											Ich bin ein Tagträumer,
											aber gleichzeitig liebe ich
authentische Dinge,
											die sich mit unserem
innersten Wesen befassen —
											etwas, dem ich nie
entfliehen wollen würde.
											Ich bewundere komplexe Persönlichkeiten,
											und das wirkliche Leben
inspiriert mich zu meinen Bildern.
											Das wahre Leben inspiriert unsere Flucht,
											und manchmal ist diese Flucht
dringend nötig.
									","
											Teorim şu, hepimiz bazen
											kendi gerçekliğimizi incelemek,
											takdir etmek veya değiştirmek için
											kaçmaya çabalıyoruz.
											Günlük yaşamı olduğu gibi ele almıyorum
											ve alışılmış şekilde bir belgesel
											fotoğrafçısı değilim.
											Farklı bir açıdan,
											belgesel fotoğrafçısıyım.
											Hayalleri belgeliyorum.
											Günlük hayatı,
olabileceği ve hayal ettiğim
											şekilde ele alıyorum.
											Bir hayalperestim, fakat aynı zamanda
özgün şeyleri ve hiçbir zaman
											kaçmak istemeyeceğim, en içteki
											doğamızla ilgilenmeyi seviyorum.
											Karmaşık benliklere hayranım
											ve gerçek yaşam, görüntülerimi
yaratmamda bana ilham veriyor.
											Gerçek yaşam, kaçımıza ilham veriyor
											ve bazen bu kaçış çok gerekli oluyor.
									","
											Ma théorie, c'est qu'il nous arrive à tous
par moments, de tenter de nous échapper
											pour pouvoir analyser notre réalité,
l'apprécier ou la changer.
											Je ne travaille pas sur la vie
quotidienne en tant que telle,
											et je ne suis pas
une photographe documentaire
											au sens propre.
											Mais, je suis une photographe documentaire
											dans un sens différent.
											Je documente les rêves.
											Je travaille sur la vie quotidienne
telle qu'elle pourrait être,
											telle que je l'imagine.
											Je suis une rêveuse, mais j'aime aussi
les choses authentiques
											qui ont un rapport 
avec notre nature profonde
											à laquelle jamais 
je ne voudrais échapper.
											J'adore les personnalités compliquées,
											et la vraie vie m'incite
à créer mes images.
											Le monde réel motive notre évasion,
											et parfois cette évasion
est une réelle nécessité.
									","
											Mi teoría es que a todos nosotros
											a veces se nos dificulta escapar
											para analizar nuestra realidad,
											apreciarla o cambiarla.
											No trabajo con la vida cotidiana 
tal cual es,
											y no soy fotógrafa de documentales
											en el sentido tradicional.
											Pero soy fotógrafa de documentales
											en un sentido diferente.
											Documento los sueños.
											Trabajo con la vida cotidiana
como podría ser,
											como yo la imagino.
											Soy una soñadora, pero al mismo tiempo
amo todo lo que es auténtico
											y lidia con nuestra naturaleza íntima,
											de la cual jamás querría escapar.
											Me encantan las personalidades complejas,
											y la vida real me inspira a crear
mis imágenes.
											La vida real inspira nuestro escape,
											y a veces ese escape es muy necesario.
									",Portraits that transform people into whatever they want to be,Uldus Bakhtiozina,7:19,"art,creativity,TED Fellows,photography,identity"
"
","
","
","
","
","
",Portraits that transform people into whatever they want to be,Uldus Bakhtiozina,7:19,"art,creativity,TED Fellows,photography,identity"
"
											I believe heroes are not created easily,
											and I choose to work with individuals
											who are survivors
											and facing everyday routines
											that are not always full of color,
											people who are on their way
to a better life,
											fighting against life circumstances.
									","
											Eu acredito que os heróis
não são criados facilmente
											e prefiro trabalhar com pessoas
											que são sobreviventes
											e que enfrentam rotinas diárias
											que nem sempre são cheias de cor;
											pessoas que querem uma vida melhor
											e que lutam contra
as circunstâncias da vida.
									","
											Ich glaube, dass Helden
nicht einfach geboren werden,
											und ich arbeite mit Personen,
die Überlebende sind,
											die dem Alltag trotzen,
der nicht immer nur heiter ist:
											Menschen, die auf dem Weg
zu einem besseren Leben sind,
											die gegen ihre Lebensumstände angehen.
									","
											Kahramanların kolay
yaratıldıklarını düşünmüyorum
											ve mücadeleci, her zaman rengârenk
											olmayan günlük rutinlerle
											karşılaşan bireylerle ve yaşam
											koşullarına karşı gelerek
											daha iyi bir yaşama doğru
giden insanlarla çalışmayı
											tercih ediyorum.
									","
											Je crois qu'on ne crée pas
facilement des héros.
											Je choisis de travailler avec
des individus qui sont des survivants
											faisant face à des routines quotidiennes
pas toujours toutes en couleur,
											des personnes à la recherche
d'une vie meilleure,
											en lutte contre
les circonstances de la vie.
									","
											Creo que los héroes no se crean fácilmente
											y elijo trabajar con individuos
											que son sobrevivientes
											y que enfrentan rutinas diarias
											que no siempre son muy coloridas,
											gente que está en camino a una mejor vida,
											luchando contra 
las circunstancias de la vida.
									",Portraits that transform people into whatever they want to be,Uldus Bakhtiozina,7:19,"art,creativity,TED Fellows,photography,identity"
"
","
","
","
","
","
",Portraits that transform people into whatever they want to be,Uldus Bakhtiozina,7:19,"art,creativity,TED Fellows,photography,identity"
"
											Why do I choose people
like that for my models?
											Because I've been in that position myself,
											when I had to learn
how to survive in real life.
											I was a student living abroad in London.
											I was working at two places
at the same time as a waitress.
											Obviously that wasn't my dream job,
											but I decided to play a game
											where I imagined
that I am taking a role in a film,
											and in the film I am a waitress,
											and I need to act great.
											I used to dye my hair
and brows to gingerette,
											I changed my hair to curly perm,
											I lost weight
											and made myself believe
											I am just a character acting in a film.
											That isn't forever,
											that is all just temporary.
											That helped me a lot.
											It motivated me to change my life
											and take a hard time as a game.
											Now, as an artist,
											I am creating different
lives for my models
											in order to give them the experience
of being someone else in reality.
											Through the photographic process,
											all of my models
become like silent movie actors.
											They are captured at the moment
											when they believe
in being someone else entirely.
									","
											Porque é que escolho esse tipo de pessoas
para serem meus modelos?
											Porque eu própria já estive nessa posição,
											quando tive de aprender a sobreviver
no mundo real.
											Era uma estudante
que vivia fora de Londres.
											Tinha dois empregos ao mesmo tempo,
como empregada de mesa.
											Claro que não era o emprego ideal,
											mas decidi jogar a um jogo,
											em que imaginava estar num filme.
											Nesse filme, eu era empregada de mesa
											e precisava de ser uma excelente atriz.
											Comecei a pintar o cabelo
e as sobrancelhas de ruivo,
											fiz uma permanente,
											perdi peso
											e obriguei-me a acreditar
											que era, apenas,
uma personagem de um filme.
											Isto não é para sempre,
											é algo temporário.
											Essa ideia ajudou-me muito.
											Motivou-me a mudar a minha vida
											e ajudou-me a lidar
com essa altura mais difícil.
											Agora, enquanto artista,
											crio diferentes vidas
para os meus modelos,
											para conseguir dar-lhes a experiência
de serem outra pessoa.
											Durante o processo fotográfico,
											todos os meus modelos se transformam
em atores de filmes mudos.
											São retratados no momento
											em que acreditam ser outras pessoas.
									","
											Warum wähle ich solche Leute
als meine Modelle?
											Weil ich selbst an ihrer Stelle war,
als ich lernen musste,
											wie man sich im wahren Leben
durchkämpfen muss.
											Ich habe als Austauschstudentin
in London gelebt.
											Ich hatte zwei Stellen als Kellnerin.
											Das war natürlich nicht mein Traumjob,
											aber ich entschied mich zu einem Spiel,
bei dem ich mir vorstellte,
											ich hätte eine Filmrolle angenommen.
											In dem Film war ich eine Kellnerin
											und musste meine Rolle gut spielen.
											Ich färbte meine Haare
und Augenbrauen rot.
											Ich ließ mir eine Dauerwelle machen.
											Ich nahm ab und redete mir ein,
											dass ich einfach ein Charakter
in einem Film sei,
											dass es nicht für immer sei,
dass alles nur vorübergehend sei.
											Das half mir sehr.
											Es motivierte mich, mein Leben zu ändern
											und schwere Zeiten als ein Spiel zu sehen.
											Heute, als Künstlerin,
											kreiere ich neue Umstände
für meine Modelle,
											um ihnen die Erfahrung zu geben,
jemand anders sein zu können.
											Während des Fotoshootings
											werden alle meine Modelle
zu stillen Schauspielern.
											Sie werden in dem Moment fotografiert,
											in dem sie wirklich glauben,
jemand anderes zu sein.
									","
											Model olarak neden
böyle insanları seçiyorum?
											Çünkü gerçek yaşamla nasıl mücadele
											edileceğini öğrenmem gerektiği
zaman, ben de bu pozisyondaydım.
											Yurtdışında, Londra'da
yaşayan bir öğrenciydim.
											Garson olarak aynı zamanda
iki yerde birden çalışıyordum.
											Hayalimdeki işin bu olmadığı belliydi,
											fakat bir filmde rol aldığımı
											ve filmde de garson rolünü
oynadığımı ve çok iyi oynamam gerektiğini
											hayal ettiğim bir oyun oynamaya
											karar verdim.
											Saçlarımı ve kaşlarımı kızıla boyadım,
											saçlarıma kıvırcık perma yaptırdım,
											kilo verdim
											ve kendimi, bir filmde rol alan
											bir karakter olduğuma inandırdım.
											Sonsuza dek böyle değildi,
											yalnızca geçici bir şeydi.
											Bu bana çok yardımcı oldu.
											Yaşamımı değiştirmemi ve zor zamanları
											oyun olarak algılamamı sağladı.
											Şimdi, bir sanatçı olarak,
											modellerime gerçeklik içerisinde
başka birisi olma deneyimini
											yaşatmak için, onlara
farklı yaşamlar yaratıyorum.
											Fotoğraf süreci aracılığıyla
											tüm modellerim sessiz
film oyuncularına dönüşüyorlar.
											Tamamen başka birisi olduklarına
											inandıkları anda fotoğrafları çekiliyor.
									","
											Pourquoi je choisis de telles
personnes comme modèles ?
											Parce que j'ai été moi-même
dans cette situation
											dans laquelle j'ai dû apprendre
à survivre dans le monde réel.
											J'étais alors une étudiante
vivant à l'étranger, à Londres.
											Je travaillais à deux endroits
en même temps en tant que serveuse.
											Bien évidemment, ce n'était pas
le travail dont je rêvais,
											mais j'avais décidé de jouer à un jeu
											dans lequel j'imaginais 
que j'étais actrice dans un film,
											que, dans ce film, j'étais serveuse,
											et que je me devais de bien jouer.
											J'avais l'habitude de me teindre
les cheveux et les sourcils en brun-rouge.
											Je faisais des permanentes
de cheveux bouclés.
											Je perdais du poids,
											et je me forçais à croire :
											« Je suis juste un personnage
jouant dans un film.
											Ce n'est pas éternel. Tout cela
est seulement temporaire. »
											Cela m'a beaucoup aidé.
											Cela m'a motivé à changer ma vie
											et à considérer une période
difficile comme un jeu.
											Alors, en tant qu'artiste,
											je crée différentes vies pour mes modèles,
											afin qu'ils fassent l'expérience
d'être quelqu'un d'autre dans la réalité.
											À travers le processus photographique,
											tous mes modèles deviennent
comme des acteurs de films muets.
											Ils sont photographiés au moment
											où ils croient pleinement
être quelqu'un d'autre.
									","
											¿Por qué elijo a personas así para
que sean mis modelos?
											Porque también he estado en esa posición,
											cuando tuve que aprender a sobrevivir
en la vida real.
											Yo era una estudiante viviendo 
en el exterior, en Londres.
											Trabajaba en dos lugares 
al mismo tiempo como camarera.
											Obviamente, no era mi trabajo soñado,
											pero decidí jugar un juego
											en el que imaginaba que tenía
un papel en una película,
											y en la película era camarera,
											y necesitaba actuar muy bien.
											Solía teñir mi cabello y mis cejas
de pelirrojo,
											Cambié mi pelo por rulos permanentes,
											perdí peso
											y me obligué a creer
											que era un personaje en una película.
											Eso no es para siempre,
											era solo temporal.
											Esto me ayudó mucho.
											Me motivó a cambiar mi vida
											y a tomar los tiempos difíciles 
como un juego.
											Ahora, como artista,
											creo vidas diferentes para mis modelos
											para darles la experiencia de ser
otra persona en la realidad.
											A través del proceso fotográfico,
											todos mis modelos se convierten en
actores de película muda.
											Son capturados en el momento
											en el que creen ser 
alguien completamente diferente.
									",Portraits that transform people into whatever they want to be,Uldus Bakhtiozina,7:19,"art,creativity,TED Fellows,photography,identity"
"
","
","
","
","
","
",Portraits that transform people into whatever they want to be,Uldus Bakhtiozina,7:19,"art,creativity,TED Fellows,photography,identity"
"
											In order to create
a new reality in its entirety,
											I physically create
every single thing in my work,
											sometimes from outfits to the stage.
											Because I work with analogues,
											and I don't make any digital
manipulations to my photographs,
											I need everything
to take place in reality,
											in spite of the fact that nowadays,
											digitally, you can create
pretty much everything.
											I don't like this path.
											Even if that reaches perfection,
											I see the beauty
in authenticity of making,
											and that's impossible without flaws.
											A digitally manipulated photograph
											is not true for me.
											It doesn't capture anything real.
											It's not experienced, not motivating.
											It's like, instead of going traveling,
											you look at someone else's
travel photographs.
									","
											Para conseguir criar uma nova realidade
na sua totalidade,
											crio tudo o que é necessário
											— muitas vezes, desde o guarda-roupa
até ao palco.
											Porque trabalho com máquinas analógicas
											e porque não faço nenhuma
manipulação digital nos meus trabalhos,
											preciso que tudo aconteça de verdade,
											apesar de, hoje em dia,
											ser possível criar tudo digitalmente.
											Não gosto desse caminho.
											Mesmo que, com essa técnica,
consiga alcançar a perfeição,
											prefiro a beleza da autenticidade do fazer
											e isso é impossível
sem que existam falhas.
											Uma fotografia digitalmente manipulada
											não é verdadeira para mim.
											Não captura nada que seja real.
											Não foi vivida, nem é encorajadora.
											É como se, em vez de viajarmos,
											olhássemos para fotografias
de viagens de outra pessoa.
									","
											Um eine völlig neue Realität
erschaffen zu können,
											kreiere ich alles
an meiner Arbeit selbst —
											manchmal von den Outfits bis zur Bühne.
											Da ich mit einer Analogkamera arbeite
und meine Fotos nicht digital bearbeite,
											muss alles in der Realität stattfinden.
											Heutzutage kann man digital
nahezu jede Illusion erzeugen.
											Aber das mag ich nicht.
											Auch wenn so Perfektion erreicht wird,
											sehe ich die Schönheit trotzdem
in der Authentizität des Erschaffens,
											und das geht nicht ohne Einbußen.
											Ein digital manipuliertes Bild
ist für mich nicht echt.
											Es fängt nichts Reales ein.
											Es ist nicht gelebt, nicht motivierend.
											Es ist, als würde man,
statt selbst zu reisen,
											nur die Reisefotos anderer anschauen.
									","
											Bütünüyle yeni bir
gerçeklik yaratmak için,
											çalışmamda fiziksel olarak
her bir şeyi yaratıyorum,
											bazen kıyafetleri ve sahneyi de.
											Çünkü analog makinelerle çalışıyorum
											ve fotoğraflarıma herhangi bir
dijital manipülasyon yapmıyorum,
											her şeyin gerçeklikte
yer alması gerekiyor;
											günümüzde dijital olarak hemen hemen
											her şeyi yaratabiliyor olsak bile.
											Ben bu yolu sevmiyorum.
											Bu mükemmelliğe ulaşsa bile,
											ben yaratmanın özgünlüğünde
bulunan güzelliği görüyorum
											ve bunda da kusursuzluk mümkün.
											Dijital olarak manipüle
edilmiş bir fotoğraf,
											bana göre doğru değil.
											Herhangi bir gerçeği yakalamıyor.
											Tecrübe edilmiyor
ve motive edici değil.
											Yani, seyahate çıkmak yerine,
											bir başkasının seyahat
fotoğraflarına bakmak gibi.
									","
											Pour créer une nouvelle réalité
dans son intégralité,
											je fabrique matériellement 
tout en détail, dans mon travail,
											des costumes jusqu'au décor
de la scène quelquefois.
											Vu que je fais des photos analogiques
											et que je ne leur fait
aucune manipulation numérique,
											j'ai besoin que tout
se passe pour de vrai,
											malgré le fait que, de nos jours,
											il est possible de créer
quasiment tout digitalement.
											Je n'aime pas cette voie.
											Même si cela atteint la perfection,
											je vois la beauté
dans l'authenticité artisanale,
											et elle est impossible sans imperfections.
											Une photo manipulée numériquement
n'est pas sincère selon moi.
											Elle ne saisit rien de réel.
											Ce n'est pas une expérience,
ce n'est pas motivant.
											C'est comme si, au lieu de voyager,
											vous regardiez les photos de voyage
de quelqu'un d'autre.
									","
											Para crear una nueva realidad 
en su totalidad.
											Creo físicamente cada pequeña
parte de mi trabajo,
											desde los atuendos hasta la escena.
											Porque trabajo con analógicas,
											y no hago ninguna modificación
digital a mis fotos,
											necesito que todo se lleve a cabo
en la realidad,
											a pesar del hecho de que hoy en día,
											digitalmente, se puede crear 
casi cualquier cosa.
											No me gusta este camino.
											Incluso si este alcanza la perfección,
											yo veo la belleza en 
la autenticidad de hacer
											y eso es imposible sin las fallas.
											Una foto manipulada digitalmente
											no es verdadera para mí.
											No captura nada real.
											No fue vivida, no es motivadora.
											Es como si en vez de viajar,
											uno mira las fotos del viaje 
de alguien más.
									",Portraits that transform people into whatever they want to be,Uldus Bakhtiozina,7:19,"art,creativity,TED Fellows,photography,identity"
