en,fr,es,tr,de,pt,title,speaker,duration,tags
"
","
","
","
","
","
",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
											For over a decade,
											I have studied young people
that have been pushed out of school,
											so called ""dropouts.""
											As they end up failed
by the education system,
											they're on the streets
where they're vulnerable to violence,
											police harassment,
											police brutality
											and incarceration.
											I follow these young people
for years at a time,
											across institutional settings,
											to try to understand what some of us call
the ""school-to-prison pipeline.""
									","
											Depuis une dizaine d'années,
											j'étudie les jeunes
qui ont été rejetés de l'école,
											ceux qu'on appelle
« en échec scolaire ».
											Lorsqu'ils ont échoué
dans le système scolaire,
											ils finissent dans les rues
où ils sont vulnérables à la violence,
											au harcèlement des policiers,
											à la brutalité policière
											et à l'incarcération.
											Je suis ces jeunes gens durant des années
											à travers différentes institutions,
											pour essayer de comprendre ce que certains
nomment « l'autoroute école-prison ».
									","
											En los últimos 10 años
											he estudiado la deserción escolar 
en los jóvenes,
											el típico caso de ""fracaso escolar"".
											Cuando el sistema educativo les abandona,
											terminan en las calles donde
están expuestos a la violencia,
											el acoso y la brutalidad
policial y la cárcel.
											He seguido a estos jóvenes
uno por uno durante años
											a través de diferentes instituciones
											tratando de entender lo que algunos llaman
""el camino de la escuela a la prisión"".
									","
											On yıldan uzun bir süredir
											okuldan atılmış gençleri inceliyorum,
											""boşta gezen"" diye anılan gençler...
											Eğitim sistemi tarafından
											yüzüstü bırakılan gençler,
											sokaklarda şiddete, polis tacizine,
											polis zulmüne,
											ve hatta hapse maruz kalıyor.
											Bu genç insanları yıllardır,
											kurumsal yapılar içinde izleyerek
											bazılarının 
""okuldan hapishaneye direkt hat""
											olarak nitelendirdiği şeyin ne olduğunu
											anlamaya calışıyorum.
									","
											Seit über einem Jahrzehnt
											studiere ich Jugendliche, die 
aus der Schule gedrängt wurden,
											sogenannte Schulabbrecher.
											Sie scheitern im Bildungssystem
											und landen auf der Straße,
wo sie leicht Opfer von Gewalt,
											Schikanen und Brutalität
durch die Polizei
											und Gefängnisstrafen werden.
											Ich folge diesen Jugendlichen
jeweils mehrere Jahre,
											über institutionelle Rahmen hinweg,
											um zu verstehen, was so viele von
der Schule ins Gefängnis führt.
									","
											Há mais de 10 anos,
											que estudo jovens
que abandonaram a escola
											os ""desistentes"".
											Quando eles fracassam
no sistema de ensino,
											acabam na rua
onde são vulneráveis à violência,
											à perseguição policial,
											à brutalidade policial
											e à prisão.
											Acompanho estes jovens
há anos seguidos,
											através de diversas instituições,
											para tentar perceber aquilo a que se chama
o ""caminho da escola para a prisão"".
									",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
","
","
","
","
","
",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
											When you look at a picture like this,
											of young people who are in my study ...
											you might see trouble.
											I mean one of the boys
has a bottle of liquor in his hand,
											he's 14 years old
											and it's a school day.
											Other people, when they see this picture,
											might see gangs,
											thugs, delinquents —
											criminals.
											But I see it different.
											I see these young people
through a perspective
											that looks at the assets
that they bring to the education system.
											So will you join me in changing
the way we label young people
											from ""at-risk"" to ""at-promise?""
									","
											Lorsque vous voyez
une photo comme celle-là,
											de jeunes gens qui font
partie de mon étude,
											vous pouvez voir des problèmes.
											Un des garçons tient
une bouteille d'alcool,
											il a 14 ans
											et c'est un jour d'école.
											D'autres personnes,
quand elles voient cette photo,
											peuvent y voir des gangs,
											des voyous, des délinquants,
											des criminels.
											Mais je vois ça différemment.
											Je vois ces jeunes gens
selon une perspective
											qui considère les atouts
qu'ils apportent au système d'éducation.
											Donc allez-vous me rejoindre pour changer
la façon dont nous étiquetons ces jeunes
											de « à risque » à « prometteur » ?
									","
											Al mirar en una imagen como esta
											a los jóvenes de mi proyecto
											pueden ver los problemas.
											Quiero decir, uno de los jóvenes
tiene una botella de alcohol en la mano,
											con 14 años,
											en un día de escuela.
											Otros, al ver la imagen
											ven bandas,
											matones y delincuentes...
											criminales.
											Pero yo veo otra cosa.
											Veo unos jóvenes desde una perspectiva
											que se fija en las ventajas
que aportan al sistema educativo.
											¿Se unirán a mí para cambiar
la etiqueta que les define
											de jóvenes ""en riesgo""
a jóvenes ""promesas""?
									","
											Resme bu şekilde bakarsanız
											çalışmalarımdaki gençleri

											bela olarak görebilirsiniz.
											Gençlerden birinin elinde 
bir şise içki var,
											14 yaşında,
											ve okul günü.
											Bu fotoğrafa bakan diğer kişiler
											çeteleri, suçluları,
											serserileri, sabıkalıları
											görebilir.
											Fakat ben başka birşey görüyorum.
											Ben bu genç insanlara,
eğitim sistemine getirecekleri
											değerler açısından bakıyorum.
											Öyleyse, bu genç insanlara verilen
etiketleri değiştirmek,
											""riskli""den, ""umut veren"" e dönüştürmek
için bana katılır mısınız?
									","
											Wenn Sie sich Bilder wie dieses
											von Jugendlichen in
meiner Studie ansehen,
											sehen Sie vielleicht Probleme.
											Einer der Jungs hält schließlich
eine Flasche Alkohol in der Hand,
											er ist 14 Jahre alt,
											und es ist ein Schultag.
											Andere Leute, die dieses Bild sehen,
											könnten Gangs darin erkennen,
											Schläger, Übeltäter,
											Kriminelle.
											Aber ich sehe etwas anderes.
											Ich sehe diese Jugendlichen 
aus einer anderen Perspektive,
											die auf ihre Bereicherung
für das Bildungssystem achtet.
											Werden Sie mit mir zusammen ändern,
											wie wir diese Jugendlichen abstempeln,
											von ""gefährdet"" zu ""vielversprechend""?
									","
											Quando se vê uma foto destas
											de jovens que fazem parte do meu estudo,
											provavelmente veem-se sarilhos.
											Ou seja, um dos rapazes
tem uma garrafa de álcool na mão,
											tem 14 anos
											e é dia de escola.
											Muitas pessoas, quando veem esta foto
											talvez vejam gangues,
											malandros, delinquentes,
											criminosos.
											Eu vejo-a de modo diferente.
											Vejo estes jovens
segundo uma perspetiva
											que os considera como uma contribuição
que eles dão ao sistema de ensino.
											Poderão vocês ajudar-me a mudar
a forma como rotulamos os jovens
											de ""em risco"" para ""promissores""?
									",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
","
","
","
","
","
",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
											(Applause)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Alkışlar)
									","
											(Applaus)
									","
											(Aplausos)
									",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
","
","
","
","
","
",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
											How do I know that these young people
											have the potential
and the promise to change?
											I know this because I am one of them.
											You see, I grew up
in dire poverty in the inner city,
											without a father —
											he abandoned me before I was even born.
											We were on welfare,
											sometimes homeless,
											many times hungry.
											By the time I was 15 years old,
											I had been incarcerated in juvy
three times for three felonies.
											My best friend had already been killed.
											And soon after,
											while I'm standing next to my uncle,
											he gets shot.
											And as I'm waiting
for the ambulance to arrive
											for over an hour ...
											he bleeds to death on the street.
											I had lost faith and hope in the world,
											and I had given up on the system
because the system had failed me.
											I had nothing to offer
											and no one had anything to offer me.
											I was fatalistic.
											I didn't even think
I could make it to my 18th birthday.
									","
											Comment puis-je savoir que ces jeunes
											ont le potentiel
et la promesse de changer ?
											Je le sais car je suis l'un d'entre eux.
											Vous voyez, j'ai grandi en centre-ville,
dans une extrême pauvreté,
											sans père,
											il m'a abandonné avant ma naissance.
											Nous bénéficions de l'aide sociale,
											étions parfois sans maison
											et souvent affamés.
											A l'âge de 15 ans,
j'avais été incarcéré
											au centre de détention
des mineurs 3 fois, pour 3 délits.
											Mon meilleur ami avait déjà été tué.
											Et peu après,
											alors que je me tenais
à côté de mon oncle,
											on lui a tiré dessus.
											Et alors que j'attendais l'ambulance,
											pendant plus d'une heure,
											il est mort, vidé de son sang,
dans la rue.
											J'avais perdu la foi
et l'espoir dans ce monde
											et j'avais renoncé au système
car le système m'avait abandonné.
											Je n'avais rien à offrir
											et personne n'avait rien à m'offrir.
											J'étais fataliste.
											Je ne pensais même pas
que j'arriverais à mes 18 ans.
									","
											¿Y cómo sé que estos jóvenes
											tienen el potencial y prometen?
											Lo sé porque soy uno de ellos.
											Saben, me crié en un barrio
céntrico en pobreza extrema
											sin padre...
											me abandonó antes de nacer.
											Recibíamos ayuda del estado,
											a veces no teníamos un hogar
y muchas veces qué comer.
											Antes de cumplir los 15 años
											ya pasé por la prisión juvenil
tres veces por tres delitos
											y mi mejor amigo había muerto.
											Al poco tiempo,
											dispararon a mi tío en mi presencia
											y había visto, mientras
esperaba a la ambulancia
											más de una hora en la calle,
											cómo se desangraba.
											Había perdido la fe 
y la esperanza en el mundo
											y había renunciado al sistema 
porque el sistema me había abandonado.
											No tenía nada que ofrecer
											y nadie tenía nada que ofrecerme.
											Era fatalista.
											Estaba seguro de que 
no iba a cumplir los 18 años.
									","
											Bu gençlerin 
potansiyeli olduğunu
											ve bir değişme umudu olduğunu
nerden biliyorum?
											Biliyorum, çünkü ben de onlardan biriydim.
											Korkunç bir yoksulluk içinde,
varoşun göbeğinde büyüdüm,
											babasız olarak...
											Babam beni, daha 
doğmadan terketmişti.
											Sosyal yardım ile yaşıyorduk,
											bazen evsiz,
											çoğu zaman açtık.
											15 yaşıma gelinceye kadar,
											3 ayrı suçtan 3 defa ıslah evine 
gönderilmiştim.
											En iyi arkadaşım öldürülmüştü.
											Ve hemen sonra,
											amcam ben yanında dururken
											vuruldu.
											Ambulansın gelmesini
											bir saatten fazla bekledim ve
											o sokakta kan kaybından öldü.
											Dünyaya olan umudumu ve inancımı kaybetmiştim,
											artık sistemden umudumu kesmiştim,
çünkü sistem beni yüzüstü bırakmıştı.
											Kimseye verecek bir şeyim yoktu ve
											hiçkimsenin de bana verecek
bir şeyi yoktu.
											Kaderciydim.
											18. yaş günümü
görebileceğimi bile sanmıyordum.
									","
											Woher weiß ich, dass diese Jugendlichen
											das Potential und die Aussicht 
auf Veränderung besitzen?
											Weil ich selbst einer von ihnen bin.
											Ich bin in entsetzlicher Armut 
im Stadtzentrum aufgewachsen,
											ohne Vater,
											er hatte mich schon
vor meiner Geburt verlassen.
											Wir bekamen Sozialhilfe,
											waren manchmal obdachlos
											und oft hungrig.
											Im Alter von 15 Jahren
											war ich schon dreimal für drei Verbrechen

											in der Jugendvollzugsanstalt gewesen.
											Mein bester Freund war 
schon getötet worden.
											Kurz darauf,
											während ich neben meinem Onkel stand,
											wurde er angeschossen.
											Während ich über eine Stunde lang
auf den Krankenwagen wartete,
											verblutete er auf der Straße.
											Ich hatte den Glauben an die Welt verloren
											und das System aufgegeben, da 
es mich im Stich gelassen hatte.
											Ich hatte nichts anzubieten
											und niemand hatte mir etwas anzubieten.
											Ich dachte fatalistisch
											und glaubte nicht, dass ich meinen
18. Geburtstag erleben würde.
									","
											Como é que eu sei que estes jovens
											têm o potencial
e a promessa para mudarem?
											Sei-o porque sou um deles.
											Cresci numa pobreza extrema
no centro da cidade,
											sem pai
											— ele abandonou-me
antes de eu ter nascido.
											Vivíamos da assistência social,
											por vezes nem casa tínhamos,
											muitas vezes andávamos esfomeados.
											Quando cheguei aos 15 anos,
											já tinha estado num reformatório
três vezes, por três delitos.
											O meu melhor amigo tinha sido morto.
											Pouco tempo depois,
											quando eu estava junto do meu tio,
											ele apanhou um tiro.
											Enquanto fiquei à espera
que chegasse a ambulância,
											mais de uma hora,
											ele esvaiu-se em sangue
e morreu no meio da rua,
											Perdi a fé e a esperança no mundo
											e desisti do sistema
porque o sistema tinha-me abandonado.
											Eu não tinha nada para oferecer
											e ninguém tinha nada para me oferecer.
											Eu era fatalista,
											nem sequer pensava
que iria chegar aos 18 ans.
									",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
","
","
","
","
","
",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
											The reason I'm here today
											is because a teacher
that cared reached out
											and managed to tap into my soul.
											This teacher,
											Ms. Russ ...
											she was the kind of teacher
that was always in your business.
									","
											Je suis ici aujourd'hui
											parce qu'une professeure
attentionnée m'a aidée
											et a réussi à toucher mon âme.
											Cette professeure,
											Mme Russ,
											c'était le genre de professeurs
qui ont toujours le nez dans vos affaires.
									","
											El motivo por el que sigo aquí
											es una profesora a quien le importé,
											que se acercó y logró llegar a mí.
											Esta profesora,
											la señora Russ,
											era ese tipo de profesora que
siempre se metía en tus asuntos.
									","
											Burada olmamım sebebi,
											duyarlı bir öğretmenin 
bana uzanıp,
											ruhuma dokunmayı
başarabilmesidir.
											Bu öğretmen,
											Bayan Russ...
											her zaman sizin işinize
burnunu sokan biriydi.
									","
											Dass ich heute hier bin
											liegt an einer Lehrerin, der ich etwas 
bedeutete, die für mich da war
											und es schaffte meine Seele zu berühren.
											Diese Lehrerin,
											Frau Russ,
											war die Art von Lehrerin, 
die sich immer einmischte.
									","
											Hoje, estou aqui
											porque uma professora preocupada
apanhou-me

											e conseguiu tocar na minha alma.
											Essa professora,
											Mrs. Russ,
											era o tipo de professora
que nunca nos deixa debaixo de olho.
									",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
","
","
","
","
","
",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
											(Laughter)
									","
											(Rires)
									","
											(Risas)
									","
											(Kahkahalar)
									","
											(Lachen)
									","
											(Risos)
									",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
","
","
","
","
","
",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
											She was the kind of teacher that was like,
											""Victor, I'm here for you
whenever you're ready.""
									","
											C'était le genre de professeur à dire :
											« Victor, je suis là pour toi
dès que tu seras prêt. »
									","
											Era este tipo de profesora
											que decía: ""Víctor, estoy aquí
tan pronto como estés dispuesto"".
									","
											""Victor, ne zaman hazırsan

											senin için buradayım"" 
mesajını veren bir öğretmendi.
									","
											Sie war die Art Lehrerin, die sagt:
											""Victor, ich bin für dich da, 
sobald du bereit bist.""
									","
											Era o tipo de professora assim:
											""Victor, estou ao teu dispor,
quando estiveres preparado"".
									",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
","
","
","
","
","
",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
											(Laughter)
									","
											(Rires)
									","
											(Risas)
									","
											(Kahkahalar)
									","
											(Lachen)
									","
											(Risos)
									",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
"
","
","
","
","
","
",Help for kids the education system ignores,Victor Rios,11:53,"children,compassion,education,empathy,communication,innovation,identity,motivation,potential,society,teaching"
