en,pt,title,speaker,duration,tags
"
","
",I was held hostage for 317 days. Here's what I thought about…,Vincent Cochetel,19:47,"TEDx,global issues,peace,war"
"
											I cannot forget them.
											Their names were Aslan, Alik, Andrei,
											Fernanda, Fred, Galina, Gunnhild,
											Hans, Ingeborg, Matti, Natalya,
											Nancy, Sheryl, Usman, Zarema,
											and the list is longer.
											For many, their existence,
their humanity,
											has been reduced to statistics,
											coldly recorded as ""security incidents.""
									","
											Não posso esquecê-los.
											Chamavam-se Aslan, Alik, Andrei.
											Fernanda, Fred, Galina, Gunhild,
											Hans, Ingeborg, Matti, Natalya,
											Nancy, Sheryl, Usman, Zarema,
											e a lista continua.
											Para muitos, a sua existência, 
a sua humanidade,
											foram reduzidas a estatísticas,
											friamente registadas 
como ""incidentes de segurança"".
									",I was held hostage for 317 days. Here's what I thought about…,Vincent Cochetel,19:47,"TEDx,global issues,peace,war"
"
","
",I was held hostage for 317 days. Here's what I thought about…,Vincent Cochetel,19:47,"TEDx,global issues,peace,war"
"
											For me, they were colleagues
											belonging to that community
of humanitarian aid workers
											that tried to bring a bit of comfort
											to the victims of the wars
in Chechnya in the '90s.
											They were nurses, logisticians,
shelter experts,
											paralegals, interpreters.
											And for this service, they were murdered,
											their families torn apart,
											and their story largely forgotten.
											No one was ever sentenced
for these crimes.
									","
											Para mim, eram colegas
											que pertenciam à comunidade 
de trabalhadores humanitários
											que tentavam dar um pouco de conforto
											às vítimas das guerras 
na Chechénia nos anos 90.
											Eram enfermeiras, logísticos, 
especialistas de campos de refugiados,
											paralegais, intérpretes.
											Em troca destes serviços, 
foram assassinados,
											as suas famílias foram destroçadas,
											a sua história foi esquecida.
											Nunca ninguém foi condenado 
por esses crimes.
									",I was held hostage for 317 days. Here's what I thought about…,Vincent Cochetel,19:47,"TEDx,global issues,peace,war"
"
","
",I was held hostage for 317 days. Here's what I thought about…,Vincent Cochetel,19:47,"TEDx,global issues,peace,war"
"
											I cannot forget them.
											They live in me somehow,
											their memories giving me
meaning every day.
											But they are also haunting
the dark street of my mind.
									","
											Não posso esquecê-los.
											De certa forma, vivem em mim,
											a sua memória dá-me 
um sentido todos os dias.
											Mas também assombram 
o lado sombrio do meu espírito.
									",I was held hostage for 317 days. Here's what I thought about…,Vincent Cochetel,19:47,"TEDx,global issues,peace,war"
"
","
",I was held hostage for 317 days. Here's what I thought about…,Vincent Cochetel,19:47,"TEDx,global issues,peace,war"
"
											As humanitarian aid workers,
											they made the choice
to be at the side of the victim,
											to provide some assistance,
some comfort, some protection,
											but when they needed
protection themselves,
											it wasn't there.
											When you see the headlines
of your newspaper these days
											with the war in Iraq or in Syria —
											aid worker abducted, hostage executed —
											but who were they?
											Why were they there?
											What motivated them?
											How did we become
so indifferent to these crimes?
											This is why I am here today with you.
											We need to find better ways
to remember them.
											We also need to explain the key values
to which they dedicated their lives.
											We also need to demand justice.
									","
											Enquanto trabalhadores humanitários,
											escolheram estar do lado da vítima,
											para fornecerem uma certa assistência, 
algum conforto, um pouco de proteção
											mas, quando precisaram 
de proteção para eles,
											não havia ninguém.
											Quando vemos os cabeçalhos 
do jornal hoje em dia,
											com a guerra no Iraque ou na Síria
											— pessoal de ajuda raptado, 
reféns executados —
											quem eram eles?
											Porque é que estavam ali?
											O que os motivava?
											Como é que nos tornámos 
tão indiferentes a estes crimes?
											É por isso que estou hoje aqui convosco.
											Precisamos de encontrar 
formas de os recordar.
											Precisamos de explicar os valores chave 
a que eles dedicaram a sua vida.
											Também precisamos de exigir justiça.
									",I was held hostage for 317 days. Here's what I thought about…,Vincent Cochetel,19:47,"TEDx,global issues,peace,war"
"
","
",I was held hostage for 317 days. Here's what I thought about…,Vincent Cochetel,19:47,"TEDx,global issues,peace,war"
"
											When in '96 I was sent
											by the United Nations High Commissioner
for Refugees to the North Caucasus,
											I knew some of the risks.
											Five colleagues had been killed,
											three had been seriously injured,
											seven had already been taken hostage.
											So we were careful.
											We were using armored 
vehicles, decoy cars,
											changing patterns of travel,
changing homes,
											all sorts of security measures.
									","
											Quando, em 1996, fui enviado 
para o norte do Cáucaso,
											pelo Alto Comissário das Nações Unidas
para os Refugiados,
											tinha conhecimento de alguns dos riscos.
											Cinco colegas meus tinham sido mortos,
											outros três gravemente feridos,
											sete já tinham sido feitos reféns.
											Portanto, éramos prudentes.
											Usávamos veículos blindados, 
carros para despistar,
											mudávamos o padrão das viagens, 
mudávamos de casa,
											todo o tipo de medidas de segurança.
									",I was held hostage for 317 days. Here's what I thought about…,Vincent Cochetel,19:47,"TEDx,global issues,peace,war"
"
","
",I was held hostage for 317 days. Here's what I thought about…,Vincent Cochetel,19:47,"TEDx,global issues,peace,war"
"
											Yet on a cold winter night
of January '98, it was my turn.
											When I entered my flat
in Vladikavkaz with a guard,
											we were surrounded by armed men.
											They took the guard,
they put him on the floor,
											they beat him up in front of me,
											tied him, dragged him away.
											I was handcuffed, blindfolded,
and forced to kneel,
											as the silencer of a gun
pressed against my neck.
											When it happens to you,
											there is no time for thinking,
no time for praying.
											My brain went on automatic,
											rewinding quickly
the life I'd just left behind.
											It took me long minutes to figure out
											that those masked men there
were not there to kill me,
											but that someone, somewhere,
had ordered my kidnapping.
											Then a process of dehumanization
started that day.
											I was no more than just a commodity.
									","
											Mas numa fria noite de inverno 
de janeiro de 1998, chegou a minha vez.
											Quando entrei no meu apartamento 
em Vladikavkaz, com um guarda,
											fomos rodeados por homens armados.
											Agarraram no guarda, deitaram-no no chão,
											espancaram-no à minha frente,
											amarraram-no, levaram-no de rastos.
											Puseram-me algemas, uma venda 
e forçaram-me a ajoelhar
											com o silenciador duma espingarda 
encostado ao meu pescoço.
											Quando isto nos acontece,
											não há tempo para pensar, 
não há tempo para rezar.
											O meu cérebro funcionava 
como um autómato,
											rebobinando rapidamente 
a vida que ficara para trás.
											Levei longos minutos a perceber
											que aqueles homens mascarados 
não estavam ali para me matar,
											mas que alguém, algures, 
tinha mandado raptar-me.
											Naquele dia começou 
um processo de desumanização.
											Eu não passava duma mercadoria.
									",I was held hostage for 317 days. Here's what I thought about…,Vincent Cochetel,19:47,"TEDx,global issues,peace,war"
"
","
",I was held hostage for 317 days. Here's what I thought about…,Vincent Cochetel,19:47,"TEDx,global issues,peace,war"
"
											I normally don't talk about this,
											but I'd like to share a bit with you
some of those 317 days of captivity.
											I was kept in an underground cellar,
											total darkness,
											for 23 hours and 45 minutes every day,
											and then the guards 
would come, normally two.
											They would bring a big piece of bread,
											a bowl of soup, and a candle.
											That candle would burn for 15 minutes,
											15 minutes of precious light,
											and then they would take it away,
and I returned to darkness.
											I was chained by a metal cable to my bed.
											I could do only four small steps.
											I always dreamt of the fifth one.
											And no TV, no radio,
no newspaper, no one to talk to.
											I had no towel, no soap, no toilet paper,
											just two metal buckets open,
one for water, for one waste.
											Can you imagine that mock execution
can be a pastime for guards
											when they are sadistic
or when they are just bored or drunk?
											We are breaking my nerves very slowly.
									","
											Normalmente, não falo destas coisas
											mas gostava de partilhar convosco 
alguns desses 317 dias de cativeiro.
											Fui metido numa adega subterranean,
											numa escuridão total,
											durante 23 horas e 45 minutos, 
todos os dias.
											Depois apareciam os guardas, 
normalmente dois.
											Traziam-me um grande pedaço de pão,
											uma malga de sopa e uma vela.
											A vela ardia durante 15 minutos,
											uns 15 minutos de luz preciosa.
											Depois, levavam-na e eu mergulhava 
de novo na escuridão.
											Estava acorrentado à cama 
por um cabo metálico.
											Só podia dar quatro pequenos passos.
											Ficava sempre a sonhar com o quinto.
											Nem TV, nem rádio, nem jornais, 
nem ninguém com quem falar,
											Não tinha uma toalha, 
nem sabão, nem papel higiénico,
											apenas dois baldes de metal, sem tampa,
um para a água, outro para os dejetos.
											Conseguem imaginar o passatempo 
que é para os guardas
											quando eles são sádicos ou quando 
estão só aborrecidos ou embriagados?
											Íamos roendo as unhas lentamente.
									",I was held hostage for 317 days. Here's what I thought about…,Vincent Cochetel,19:47,"TEDx,global issues,peace,war"
"
","
",I was held hostage for 317 days. Here's what I thought about…,Vincent Cochetel,19:47,"TEDx,global issues,peace,war"
