en,tr,fr,title,speaker,duration,tags
"
","
","
",The case for having kids,Wajahat Ali,13:00,"parenting,women,children,humanity,culture,society,family,social change"
"
											I'm an exhausted dad.
											Currently owned and dominated
by two mini dictators,
											who rule my life with an iron fist
while wearing their Huggies diapers.
									","
											Yorgun bir babayım.
											Şu anda Huggies bebek bezlerini 
giyerken bana ve hayatıma sahip olan
											2 mini diktatör tarafından 
katı bir biçimde yönetiliyorum.
									","
											Je suis un père épuisé.
											Actuellement dominé par
deux petits dictateurs,
											qui dirigent ma vie d'un poing de fer
en portant des couches Huggies.
									",The case for having kids,Wajahat Ali,13:00,"parenting,women,children,humanity,culture,society,family,social change"
"
","
","
",The case for having kids,Wajahat Ali,13:00,"parenting,women,children,humanity,culture,society,family,social change"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Rires)
									",The case for having kids,Wajahat Ali,13:00,"parenting,women,children,humanity,culture,society,family,social change"
"
","
","
",The case for having kids,Wajahat Ali,13:00,"parenting,women,children,humanity,culture,society,family,social change"
"
											Now probably because I've been
drowning in small people lately,
											I've been paying close attention
to a particular headline.
											It seems around the world,
in developed countries,
											people are having fewer babies.
											From North America to Europe
to China to Japan,
											there's actually been
a consistent decline in birth rates.
											In fact, over the past 50 years,
											the global fertility rate has halved.
									","
											Sanırım son zamanlarda miniklerin
arasında boğulduğum için
											özellikle bir başlık dikkatimi çekiyor.
											Dünyanın her yerindeki gelişmiş ülkelerde
insanların az bebek yaptığı görünüyor.
											Kuzey Amerika'dan Avrupa'ya, 
Çin'den Japonya'ya
											doğum oranlarında aslında 
sürekli bir azalma var.
											Açıkçası, son 50 yılda dünya çapında 
doğurganlık yarıya düştü.
									","
											Sans doute parce que je suis submergé
par des enfants dernièrement,
											j'ai prêté plus d'attention
à une tendance en particulier.
											Il semble que dans le monde entier,
dans les pays développés,
											les gens ont moins de bébés.
											D'Amérique du Nord en Europe,
en Chine et au Japon,
											on assiste bien à un déclin significatif
des taux de natalité.
											En fait, ces 50 dernières années,
											le taux de fertilité globale
a diminué de moitié.
									",The case for having kids,Wajahat Ali,13:00,"parenting,women,children,humanity,culture,society,family,social change"
"
","
","
",The case for having kids,Wajahat Ali,13:00,"parenting,women,children,humanity,culture,society,family,social change"
"
											What the heck is going on?
											Now, my friends who don't want kids,
											all point to climate change
as a reason for never having babies.
											And many of you are sitting there
right now, saying,
											""Waj, there's also overpopulation,
											there's also high birth rates,
											which still exist in many African
and Middle Eastern countries,
											there's also orphan kids
who still need parents,
											there's also a lack of resources
to go around for everyone,
											and oh, by the way,
											we have a ginormous carbon footprint
that is destroying this planet.
									","
											Neler oluyor?
											Şimdi de çocuk istemeyen arkadaşlarım
bebek yapmama nedenlerinin
											iklim değişikliği olduğunu söylüyorlar.
											Hatta birçoğunuz da 
orada oturup diyorsunuzdur ki,
											''Waj, bir de aşırı nüfus var
											ve hâlâ çoğu Afrika ve Orta Doğu 
ülkesinde var olan
											fazlasıyla yüksek doğum oranları var.
											Anne babaya ihtiyacı olan yetimler de var.
											Bir de ayrıca herkese 
yetecek kadar kaynak yok.
											Bu arada bu gezegeni mahveden 
büyük karbon ayak izimiz var.
									","
											Que se passe-t-il donc ?
											Mes amis qui ne veulent pas d'enfants
											évoquent tous le changement climatique
comme raison de ne pas avoir de bébés.
											Parmi vous, aujourd'hui, beaucoup disent :
											« Attendez, il y a aussi
une surpopulation,
											des taux de natalité élevés
											existent encore dans plein de pays
d'Afrique et du Moyen-Orient,
											des orphelins qui ont besoin de parents,
											il n'y a pas assez de ressources
pour tout le monde,
											et oh, à propos,
											nous avons une empreinte carbone
énormissime qui détruit notre planète.
									",The case for having kids,Wajahat Ali,13:00,"parenting,women,children,humanity,culture,society,family,social change"
"
","
","
",The case for having kids,Wajahat Ali,13:00,"parenting,women,children,humanity,culture,society,family,social change"
"
											I hear you, I hear you.
											And yet, despite all this chaos,
											I still think we should have babies.
											I believe we can and should
fight for the earth and humanity,
											side by side.
									","
											Anlıyorum, anlıyorum.
											Bütün bu kaosa rağmen hâlâ bebek sahibi
olmamız gerektiğini düşünüyorum.
											Dünya ve insanlık için savaşabileceğimize
ve savaşmamız gerektiğine inanıyorum.
											Birlikte.
									","
											Je vous comprends bien.
											Et cependant, malgré tout ce chaos,
											je pense encore que
nous devons faire des enfants.
											Je crois que nous pouvons et devons nous
battre pour la Terre et pour l'humanité,
											côte à côte.
									",The case for having kids,Wajahat Ali,13:00,"parenting,women,children,humanity,culture,society,family,social change"
