en,fr,de,es,title,speaker,duration,tags
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											Some people are obsessed
by French wines.
											Others love playing golf
											or devouring literature.
											One of my greatest pleasures
in life is, I have to admit,
											a bit special.
											I cannot tell you how much I enjoy
watching cities from the sky,
											from an airplane window.
									","
											Certaines personnes
sont folles des vins français.
											D'autres adorent jouer au golf
											ou dévorer des livres.
											Un de mes plus grands plaisirs
dans la vie, je dois l'admettre,
											est un peu bizarre.
											Je ne peux pas exprimer
											à quel point j'apprécie
le spectacle des villes vues du ciel,
											depuis le hublot d'un avion.
									","
											Manche Leute lieben französischen Wein.
											Andere spielen liebend gerne Golf
											oder verschlingen Literatur.
											Eine meiner größten Freuden
im Leben ist zugegebenermaßen
											ein wenig speziell.
											Ich kann gar nicht sagen, wie gerne ich
Städte von oben aus dem Himmel
											durch ein Flugzeugfenster betrachte.
									","
											Algunas personas están obsesionadas
con los vinos franceses.
											A otras les encanta el golf
											o devorar literatura.
											Uno de mis mayores
placeres es, debo confesar,
											un poco especial.
											No podría describir cuánto disfruto 
mirar las ciudades desde el cielo
											desde la ventana de un avión.
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											Some cities are calmly industrious,
											like Dusseldorf
											or Louisville.
											Others project an energy
that they can hardly contain,
											like New York
											or Hong Kong.
											And then you have Paris
											or Istanbul,
											and their patina full of history.
									","
											Certaines villes
sont calmement industrielles,
											comme Düsseldorf
											ou Louisville.
											D'autres projettent une énergie
qu'elles peuvent à peine contenir,
											comme New York
											ou Hong Kong.
											Et puis il y a Paris
											ou Istanbul
											et leur patine historique.
									","
											Manche Städte sind besonnen und emsig,
											wie Düsseldorf
											oder Louisville.
											Andere strahlen eine
überschießende Energie aus,
											wie New York
											oder Hongkong.
											Und dann gibt es Paris
											oder Istanbul
											und deren geschichtsträchtiges Flair.
									","
											Algunas ciudades son 
tranquilamente industriosas,
											como Dusseldorf
											o Louisville.
											Otras proyectan una energía 
que casi no pueden contener,
											como Nueva York
											o Hong Kong.
											Y luego tenemos París
											o Estambul,
											y su pátina cargada de historia.
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											I see cities as living beings.
											And when I discover them from far above,
											I like to find those main streets
and highways that structure their space.
											Especially at night,
											when commuters make these arteries
look dramatically red and golden:
											the city's vascular system
performing its vital function
											right before your eyes.
											But when I'm sitting in my car
											after an hour and a half
of commute every day,
											that reality looks very different.
									","
											Je vois les villes
comme des êtres vivants.
											Quand je les découvre depuis le ciel,
											j'aime trouver ces rues principales
et ces autoroutes
											qui structurent leur espace.
											En particulier la nuit,
											lorsque les travailleurs rendent
ces artères rouges et dorées :
											le système vasculaire de la ville
accomplissant sa fonction vitale
											juste sous nos yeux.
											Mais quand je suis assis dans ma voiture
											après une heure et demie
de trajet quotidien,
											cette réalité semble très différente.
									","
											Ich sehe Städte als Lebewesen.
											Wenn ich sie von weit oben ergründe,
											versuche ich, die Straßen und Autobahnen
zu finden, die sie strukturieren.
											Besonders nachts,
											wenn Pendler diese Arterien
leuchtend rot und gold einfärben:
											das Gefäßsystem der Stadt
mitten in seiner Lebensfunktion
											direkt vor unseren Augen.
											Aber wenn ich in meinem Auto sitze,
											nach anderthalb Stunden Pendeln täglich,
											sieht diese Realität ganz anders aus.
									","
											Yo veo las ciudades como seres vivos.
											Y cuando las descubro desde lo alto,
											me gusta encontrar esas calles principales
y carreteras que las estructuran.
											Especialmente por la noche,
											cuando los viajeros ponen estas arterias
dramáticamente rojas y doradas:
											el sistema vascular de la ciudad 
desempeñando su función vital
											ante tus ojos.
											Pero cuando voy en mi carro
											tras una hora y media de trayecto diario
											la realidad parece muy diferente.
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											(Laughter)
									","
											(Rires)
									","
											(Lachen)
									","
											(Risas)
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											Nothing —
											not public radio,
											no podcast —
									","
											Rien —
											pas la radio publique,
											aucun podcast —
									","
											Nichts —
											kein Radio,
											kein Podcast —
									","
											Nada,
											ninguna radio pública,
											ningún podcast...
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											(Laughter)
											Not even mindfulness meditation
											makes this time worth living.
									","
											(Rires)
											même pas la méditation consciente
											ne donnent d'intérêt à ce moment.
									","
											(Lachen)
											nicht einmal Achtsamkeitsmeditation
											macht diese Zeit lebenswert.
									","
											(Risas)
											Ni siquiera la meditación
											hace que este tiempo 
merezca la pena.
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											(Laughter)
									","
											(Rires)
									","
											(Lachen)
									","
											(Risas)
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											Isn't it absurd
											that we created cars
that can reach 130 miles per hour
											and we now drive them at the same speed
as 19th-century horse carriages?
									","
											N'est-il pas absurde
											d'avoir créé des voitures
pouvant atteindre 200 km/h
											et de les conduire à la même vitesse
que les calèches du XIXe siècle ?
									","
											Ist es nicht absurd,
											dass wir Fahrzeuge gebaut haben,
die mühelos 210 km/h schaffen
											und wir fahren sie mit demselben Tempo
											wie Pferdekutschen des 19. Jahrhunderts?
									","
											¿No es absurdo
											que creáramos carros capaces de andar
a 210 kilómetros por hora
											y ahora los conducimos
como si fueran carruajes del siglo 19?
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											(Laughter)
									","
											(Rires)
									","
											(Lachen)
									","
											(Risas)
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											In the US alone,
											we spent 29.6 billion hours
commuting in 2014.
											With that amount of time,
											ancient Egyptians could have built
26 Pyramids of Giza.
									","
											Aux États-Unis seulement,
											en 2014, nous avons passé
29,6 milliards d'heures
											à faire le trajet entre
notre domicile et notre travail.
											Avec autant de temps,
											les anciens Égyptiens auraient pu
construire 26 pyramides de Gizeh.
									","
											Allein in den USA
											verbrachten wir im Jahr 2014
											knappe 30 Milliarden Stunden mit Pendeln.
											Mit so viel Zeit
											hätten die alten Ägypter
26 Pyramiden von Gizeh bauen können.
									","
											Solamente en Estados Unidos
											gastamos 29,6 mil millones de horas
desplazándonos en 2014.
											Con esa cantidad de tiempo
											los egipcios podían haber construido 
26 Pirámides de Giza.
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											(Laughter)
									","
											(Rires)
									","
											(Lachen)
									","
											(Risas)
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
											We do that in one year.
											A monumental waste of time,
energy and human potential.
									","
											Nous faisons cela en un an.
											Une perte de temps, d'énergie
et de potentiel humain monumentale.
									","
											Wir tun dies in einem Jahr.
											Eine riesige Verschwendung von Zeit,
Energie und menschlichem Potential.
									","
											Nosotros en un año.
											Una pérdida monumental de 
tiempo, energía y potencial humano.
									",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
"
","
","
","
",What a driverless world could look like,Wanis Kabbaj,11:31,"biology,cars,cities,collaboration,communication,design,infrastructure,product design,technology,transportation,urban planning,driverless cars,nature"
