en,fr,pt,de,es,title,speaker,duration,tags
"
","
","
","
","
","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
											So, my mother's a pediatrician,
											and when I was young,
she'd tell the craziest stories
											that combined science
with her overactive imagination.
											One of the stories she told
was that if you eat a lot of salt,
											all of the blood rushes up your legs,
											through your body,
											and shoots out the top of your head,
											killing you instantly.
									","
											Ma mère est pédiatre
											et, quand j'étais jeune,
elle me racontait de folles histoires
											qui combinaient de la science
et son imagination hyperactive.
											Une des histoires qu'elle racontait
était que si on mangeait beaucoup de sel,
											tout le sang remontait les jambes,
											traversait le corps
											et montait en flèche jusqu'à la tête,
											nous tuant sur le coup.
									","
											A minha mãe é médica pediatra,
											e quando eu era pequena,
ela contava as histórias mais loucas
											que combinavam a ciência
com a sua imaginação hiperativa.
											Uma das histórias que ela contava
era que, se comermos muito sal,
											todo o sangue corre pelas pernas acima,
											pelo corpo todo,
											e jorra pelo alto da cabeça,
											matando-nos instantaneamente.
									","
											Meine Mutter ist Kinderärztin
											und als ich klein war, erzählte sie
mir die verrücktesten Geschichten,
											die Wissenschaft mit ihrer
überaktiven Vorstellungskraft vereinten.
											Eine ihrer Geschichten war,
dass wenn man sehr viel Salz isst,
											rauscht das ganzes Blut die Beine hoch,
											durch den Körper,
											schießt oben aus dem Kopf raus
											und man stirbt sofort.
									","
											Mi madre es pediatra,
											y cuando yo era pequeña,
me contaba historias descabelladas
											que mezclaban la ciencia
con su gran imaginación.
											Una de las historias que contaba
era que si comes mucha sal,
											toda la sangre subirá rápido
por tus piernas,
											recorrerá tu cuerpo
											y te volará la cabeza,
											matándote al instante.
									","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
","
","
","
","
","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Lachen)
									","
											(Risas)
									","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
","
","
","
","
","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
											She called it ""high blood pressure.""
									","
											C'était « l'hypertension artérielle ».
									","
											Ela chamava-lhe
""pressão arterial elevada"".
									","
											Sie nannte es ""hohen Blutdruck"".
									","
											Lo llamó ""presión arterial alta"".
									","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
","
","
","
","
","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									","
											(Lachen)
									","
											(Risas)
									","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
","
","
","
","
","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
											This was my first experience
with science fiction,
											and I loved it.
											So when I started to write
my own science fiction and fantasy,
											I was surprised that it
was considered un-African.
											So naturally, I asked, what is African?
											And this is what I know so far:
											Africa is important.
											Africa is the future.
											It is, though.
											And Africa is a serious place
where only serious things happen.
									","
											Ce fut ma première expérience
de science-fiction
											et j'ai adoré.
											Quand j'ai commencé à écrire
ma propre science-fiction et fiction,
											j'ai été surprise que ce soit
considéré non africain.
											Naturellement, j'ai demandé :
qu'est-ce qui est africain ?
											Voici ce que je sais :
											l'Afrique est importante.
											L'Afrique est l'avenir.
											Vraiment.
											Et l'Afrique est un endroit sérieux
où seules des choses sérieuses arrivent.
									","
											Esta foi a minha primeira experiência
com a ficção científica,
											e adorei.
											Por isso, quando comecei a escrever
a minha ficção científica e fantasia,
											fiquei surpreendida
por ela ser considerada não africana.
											Então, naturalmente, perguntei:
""O que é africano?""
											E isto é o que sei, até agora:
											A África é importante.
											A África é o futuro.
											É, ainda que...
											E a África é um lugar sério
onde apenas coisas sérias acontecem.
									","
											Das war meine erste Erfahrung
mit Science Fiction,
											und ich habe es geliebt.
											Als ich anfing selber Science Fiction
und Fantasy zu schreiben,
											war ich überrascht, dass es
als unafrikanisch galt.
											Ich fragte also, was heißt afrikanisch?
											So viel weiß ich bisher:
											Afrika ist wichtig.
											Afrika ist die Zukunft.
											Ist es wirklich.
											Afrika ist ein ernster Ort,
an dem nur ernste Dinge passieren.
									","
											Ese fue mi primer contacto
con la ciencia ficción
											y me encantó.
											Así que, cuando empecé a escribir
mi propia ciencia ficción y fantasía,
											me sorprendió que no se considerase
africana.
											Lógicamente pregunté:
¿Qué se considera africano?
											Y esto es lo que sé hasta ahora:
											África es importante.
											África es el futuro.
											De hecho, lo es.
											Y África es un lugar importante
donde solo pasan cosas importantes.
									","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
","
","
","
","
","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
											So when I present my work somewhere,
someone will always ask,
											""What's so important about it?
											How does it deal with real African issues
											like war, poverty, devastation or AIDS?""
											And it doesn't.
											My work is about Nairobi pop bands
that want to go to space
											or about seven-foot-tall robots
											that fall in love.
											It's nothing incredibly important.
											It's just fun, fierce and frivolous,
											as frivolous as bubble gum —
											""AfroBubbleGum.""
									","
											Quand je présente mon travail,
quelqu'un me demande toujours :
											« Qu'y a-t-il de si important ?
											Quel est le lien avec
les vrais problèmes africains
											tels que la guerre, la pauvreté,
la dévastation ou le SIDA ? »
											Il n'y a pas.
											Mon œuvre évoque des groupes de musique
voulant aller dans l'espace
											ou des robots de deux mètres de haut
											qui tombent amoureux.
											Ce n'est rien d'incroyablement important.
											C'est amusant, farouche et frivole,
											aussi frivole que le chewing-gum —
											« ChewingGumAfro ».
									","
											Por isso, quando apresento o meu trabalho
nalgum lado, alguém pergunta sempre:
											""O que tem de tão importante?
											""Como é que ele lida
com os problemas reais africanos
											""como a guerra, a pobreza,
a devastação ou a SIDA?""
											Não lida.
											Escrevo sobre bandas ""pop"" de Nairobi
que querem ir para o espaço
											ou robôs de 2,13 m
											que se apaixonam.
											Nada de incrivelmente importante.
											É apenas divertido, impulsivo e frívolo,
											tão frívolo como um balão
de pastilha elástica
											""AfroBubbleGum"".
									","
											Wenn ich meine Arbeit vorstelle,
fragt immer jemand:
											""Warum ist das so wichtig?
											Wie befasst sie sich mit echten
afrikanischen Problemen,
											wie Krieg, Armut, Zerstörung oder AIDS?""
											Das tut sie nicht.
											Meine Arbeit handelt von Popbands
aus Nairobi, die ins All wollen,
											oder von zwei Meter großen Robotern,
											die sich verlieben.
											Es ist nicht super wichtig.
											Es ist einfach lustig, wild und albern,
											so albern wie Kaugummi —
											""AfroBubbleGum"".
									","
											Por eso, cada vez que presento mi trabajo,
siempre alguien pregunta:
											""¿Qué tiene para que sea tan importante?
											¿Cómo trata los verdaderos
problemas africanos
											como la guerra, la pobreza,
la devastación o el SIDA?"".
											Y la verdad es que no lo hace.
											Mi trabajo va sobre bandas de pop
de Nairobi que quieren ir al espacio
											o sobre robots de dos metros de altura
											que se enamoran.
											No es algo muy importante.
											Solo es divertido, salvaje y frívolo,
											tan frívolo como el chicle:
											""AfroBubbleGum"".
									","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
"
","
","
","
","
","Fun, fierce and fantastical African art",Wanuri Kahiu,5:10,"Africa,art,creativity,TED Fellows,storytelling"
