en,tr,es,pt,de,title,speaker,duration,tags
"
","
","
","
","
",The brain-changing benefits of exercise,Wendy Suzuki,13:02,"biology,health,brain,memory,human body,neuroscience,mental health,science,exercise"
"
											What if I told you there was something
that you can do right now
											that would have an immediate,
positive benefit for your brain
											including your mood and your focus?
											And what if I told you that same thing
could actually last a long time
											and protect your brain
from different conditions
											like depression,
Alzheimer's disease or dementia.
											Would you do it?
											Yes!
									","
											Ruh hâliniz ve odaklanma beceriniz de
dâhil olmak üzere
											beyniniz için anında 
olumlu bir etkisi olacak
											bir şeyler yapabileceğinizi söylesem
ne düşünürdünüz?
											Ayrıca bu yapacağınız şeyin 
uzun süre etkisi olacağını
											ve beyninizi depresyon, Alzhemir
											ve bunama gibi hastalıklardan
koruyacağını söylesem?
											Yapar mıydınız?
											Evet!
									","
											¿Y si les dijera que hay algo 
que pueden hacer en este instante
											que tendría un beneficio inmediato
para su cerebro,
											incluyendo el estado de ánimo 
y la concentración?
											Y si les dijera que esa misma actividad 
podría durar un largo tiempo
											y proteger el cerebro 
de diferentes enfermedades,
											como la depresión, Alzheimer o demencia.
											¿Lo harían?
											¡Sí!
									","
											E se vos disser que há algo
que podem fazer agora mesmo
											que teria um efeito positivo
imediato no vosso cérebro
											inclusive no vosso
humor e concentração?
											E se vos disser que isso
pode durar imenso tempo
											e proteger o cérebro
de diferentes doenças
											como depressão, Alzheimer
ou demência.
											Fariam isso?
											Sim!
									","
											Was wäre, wenn ich Ihnen sage,
dass Sie sofort etwas tun können,
											das einen direkten
positiven Effekt auf Ihr Gehirn
											sowie auf Ihre Stimmung 
und Konzentration hat?
											Und dass dies sogar langfristig wirken
											und Ihr Gehirn vor Erkrankungen
											wie Depression, Alzheimer
oder Demenz, schützen könnte?
											Würden Sie es machen?
											Ja!
									",The brain-changing benefits of exercise,Wendy Suzuki,13:02,"biology,health,brain,memory,human body,neuroscience,mental health,science,exercise"
"
","
","
","
","
",The brain-changing benefits of exercise,Wendy Suzuki,13:02,"biology,health,brain,memory,human body,neuroscience,mental health,science,exercise"
"
											I am talking about the powerful effects
of physical activity.
											Simply moving your body,
											has immediate, long-lasting
and protective benefits for your brain.
											And that can last
for the rest of your life.
											So what I want to do today
is tell you a story
											about how I used my deep
understanding of neuroscience,
											as a professor of neuroscience,
											to essentially do an experiment on myself
											in which I discovered
the science underlying
											why exercise
is the most transformative thing
											that you can do for your brain today.
											Now, as a neuroscientist,
I know that our brains,
											that is the thing in our head right now,
											that is the most complex structure
known to humankind.
											But it's one thing
to talk about the brain,
											and it's another to see it.
									","
											Fiziksel aktivitenin 
güçlü etkilerinden bahsediyorum.
											Vücudunuzu hareket ettirmek
											anında beyniniz için uzun süreli 
ve koruyucu faydalar barındırıyor.
											Ayrıca bu etkiler 
hayatınız boyunca sürebilir.
											Bugün sizlere
nörobilim profesörü olarak
											nörobilim bilgi ve deneyimlerimle
nasıl kendi üzerimde
											bir deney uyguladığımı
											ve bunun sonucunda spor yapmanın
											neden beynimiz için
en etkili şey olduğuna dair
											keşfettiğim bilimsel bulguları
											anlatmak istiyorum.
											Bir nörobilimci olarak
											beynimizin başımızın içindeki şey olduğunu
											ve insanlar için bilinen 
en karmaşık yapı olduğunu biliyorum.
											Ancak beyin hakkında konuşmak farklı,
											onu görmek farklı.
									","
											Me refiero a los efectos poderosos 
de la actividad física.
											El simplemente mover el cuerpo,
											tiene beneficios inmediatos, duraderos
y de mayor protección para el cerebro.
											Esto puede durar por el resto de la vida.
											Hoy quiero contarles una historia
											sobre como usé mi vasto conocimiento
de la neurociencia,
											como profesora de neurociencia
											para hacer básicamente 
un experimento en mí,
											en el cual descubrí 
lo que hay detrás de la ciencia
											de por qué el ejercicio es 
la actividad más transformadora
											que pueden hacer hoy por su cerebro.
											Ahora, como neurocientífica, 
sé que el cerebro
											es algo que se encuentra
en nuestras cabezas,
											es la estructura más compleja
conocida por el hombre.
											Pero una cosa es hablar del cerebro,
											y otra es verlo.
									","
											Estou a falar dos poderosos
efeitos da atividade física.
											Basta movimentar o corpo
											para obter benefícios imediatos,
protetores e duradouros no cérebro.
											E podem durar o resto da vida.
											O que quero fazer hoje
é contar uma história
											sobre como utilizei o meu
conhecimento de neurociência
											como professora de neurociência
											para realizar uma
experiência em mim
											na qual descobri a ciência
que justifica a razão
											por que o exercício
é a ação mais transformadora
											que podemos fazer
pelo nosso cérebro.
											Como neurocientista,
sei que o cérebro,
											aquilo dentro da nossa cabeça
											é a estrutura mais complexa
conhecida pelo Homem.
											Mas falar do cérebro é uma coisa.
											Vê-lo, é outra.
									","
											Ich spreche von den immensen Effekten
körperlicher Aktivität.
											Einfach Ihren Körper bewegen
											hat sofortige, anhaltende 
und schützende Effekte auf Ihr Gehirn.
											Und dies kann lebenslang anhalten.
											Ich möchte Ihnen heute 
eine Geschichte erzählen.
											Davon, wie ich als Dozentin für
Neurowissenschaften
											mein Wissen auf diesem Gebiet
genutzt habe,
											um gewissermaßen ein Experiment
an mir selbst durchzuführen.
											Dabei habe ich herausgefunden,
											warum Bewegung das Beste ist,
											was Sie heute für Ihr Gehirn tun können.
											Als Neurowissenschaftlerin
weiß ich, dass das Gehirn,
											dieses Ding, so, wie es heute
in unserem Kopf ist,
											die komplexeste Struktur ist, 
die wir Menschen kennen.
											Aber es ist eine Sache, 
über das Gehirn zu sprechen,
											und etwas ganz anderes, es zu sehen.
									",The brain-changing benefits of exercise,Wendy Suzuki,13:02,"biology,health,brain,memory,human body,neuroscience,mental health,science,exercise"
"
","
","
","
","
",The brain-changing benefits of exercise,Wendy Suzuki,13:02,"biology,health,brain,memory,human body,neuroscience,mental health,science,exercise"
"
											So here is a real preserved human brain.
											And it's going to illustrate two key areas
that we are going to talk about today.
											The first is the prefrontal cortex,
right behind your forehead,
											critical for things like decision-making,
focus, attention and your personality.
											The second key area is located
in the temporal lobe, shown right here.
											You have two temporal lobes in your brain,
the right and the left,
											and deep in the temporal lobe
is a key structure
											critical for your ability
											to form and retain new long-term
memories for facts and events.
											And that structure
is called the hippocampus.
											So I've always been fascinated
with the hippocampus.
											How could it be that an event
that lasts just a moment,
											say, your first kiss,
											or the moment your first child was born,
											can form a memory
that has changed your brain,
											that lasts an entire lifetime?
											That's what I want to understand.
											I wanted to start and record
the activity of individual brain cells
											in the hippocampus
											as subjects were forming new memories.
											And essentially try and decode how
those brief bursts of electrical activity,
											which is how neurons
communicate with each other,
											how those brief bursts either allowed us
to form a new memory, or did not.
									","
											Bu gördüğünüz korunmuş gerçek bir beyin.
											Bugün konuşacağımız iki önemli
alanı örneklememize yardımcı olacak.
											İlki prefrontal korteks,
alnınızın hemen arkasında,
											karar verme, odaklanma, dikkat
ve kişilik gibi kritik konuları yönetiyor.
											İkinci önemli alan ise
temporal lop, işte burada.
											Beyninizde iki temporal lop var,
sağda ve solda,
											temporal lopun derininde ise
											hayatınızda olan bitenlere ilişkin
											uzun süreli anı yaratma ve saklama
yetisi için önemli olan bir yapı var.
											İşte bu yapıya hipokampüs diyoruz.
											Hipokampüs her zaman çok ilgimi çekmiştir.
											Neredeyse bir an süren bir olay
											mesela ilk öpücüğünüz
											veya ilk çocuğunuzun doğumu,
											beyninizi değiştiren bir anı oluşturuyor
											ve bu anı hayatınız boyunca kalıyor.
											Bunu anlamak istiyorum.
											Hipokampüs içindeki
tekli beyin hücrelerinin aktivitesini
											yeni anılar oluşturulurken
											kaydetmek istedim.
											Bu kısa elektriksel aktiviteleri
deşifre etmeye çalışmak,
											yani nöronların birbirleriyle
nasıl iletişim kurduklarını,
											bu kısa elektrik dalgalarının 
anı oluşturmada nasıl etkili olduklarını.
									","
											Aquí tenemos un cerebro humano conservado.
											Nos muestra dos partes importantes
de las que hablaremos hoy.
											La primera es la corteza prefrontal, 
justo debajo de la frente,
											crucial en: toma de decisiones,
concentración, atención y personalidad.
											La segunda parte está localizada 
en el lóbulo temporal, mostrada aquí.
											Hay dos lóbulos temporales en
el cerebro —derecho e izquierdo—
											dentro del lóbulo temporal
hay un órgano importante
											primordial para la habilidad
											de formar y retener información
en la memoria de largo plazo.
											Y ese órgano es el hipocampo.
											Siempre he sentido fascinación
por el hipocampo.
											¿Cómo puede ser que un suceso 
que solo dura un momento
											digamos, el primer beso
											o cuando nació el primer hijo,
											puede formar un recuerdo 
que cambie el cerebro
											que dure toda una vida?
											Eso es lo que quiero comprender.
											Quise iniciar y registrar 
la actividad de las neuronas
											en el hipocampo,
											conforme las personas 
creamos nuevos recuerdos.
											Básicamente, intentar de decodificar cómo
esas breves ráfagas de actividad eléctrica
											—que es como se comunican 
las neuronas unas con otras—
											cómo esas breves ráfagas nos permiten 
formar un nuevo recuerdo o no.
									","
											Isto é um cérebro humano preservado.
											Vai ilustrar as duas principais áreas
de que vamos falar hoje.
											A primeira é o córtex pré-frontal,
mesmo por detrás da testa,
											essencial para a tomada de decisões,
para a atenção e para a personalidade.
											A segunda área principal
localiza-se no lobo temporal.
											Há dois lobos temporais no cérebro,
o direito e o esquerdo.
											E no fundo do lobo temporal
existe uma estrutura crucial
											para formar e reter memórias
de factos e acontecimentos a longo prazo.
											Essa estrutura chama-se hipocampo.
											O hipocampo sempre me fascinou.
											Como é possível que um acontecimento
que dura apenas um momento
											o primeiro beijo, por exemplo,
											ou o momento em que nasce
o nosso primeiro filho
											consiga formar uma memória
que muda o cérebro
											e que dura toda a vida?
											É isso que quero entender.
											Quis começar por gravar a atividade
											de células cerebrais individuais
no hipocampo
											à medida que os participantes
formavam novas memórias.
											Queria tentar descodificar como
as breves descargas de atividade elétrica
											que são a forma de comunicação
entre neurónios
											nos permitiam formar, ou não,
uma nova memória.
									","
											Hier ist ein echtes, konserviertes Gehirn.
											Es soll die beiden Bereiche
veranschaulichen, um die es heute geht.
											Der erste Bereich ist der präfrontale
Cortex, direkt hinter der Stirn.
											Wesentlich für Dinge wie Entscheiden,
Aufmerksamkeit und Ihre Persönlichkeit.
											Der zweite Bereich
sitzt im Temporallappen.
											Sie haben zwei Temporallappen,
einen rechten und einen linken.
											Tief im Temporallappen
befindet sich eine Struktur,
											die wesentlich dazu beiträgt,
											Fakten und Ereignisse neu im 
Langzeitgedächtnis abspeichern zu können.
											Diese Struktur heißt Hippocampus.
											Mich hat der Hippocampus
immer schon fasziniert.
											Wie kann es sein, 
dass ein so kurzes Ereignis,
											wie zum Beispiel Ihr erster Kuss
											oder der Moment, als Ihr
erstes Kind geboren wurde,
											eine Erinnerung schaffen kann, 
die das Gehirn verändert
											und die lebenslang fortbesteht?
											Genau das will ich verstehen.
											Anfangs wollte ich die Aktivität einzelner
Gehirnzellen im Hippocampus messen,
											während Versuchspersonen
neue Erinnerungen bilden.
											Und so entschlüsseln, wie durch
die kurzen elektrischen Signale,
											mit denen Nervenzellen
untereinander kommunizieren,
											entweder eine neue Erinnerung
entsteht oder eben nicht.
									",The brain-changing benefits of exercise,Wendy Suzuki,13:02,"biology,health,brain,memory,human body,neuroscience,mental health,science,exercise"
"
","
","
","
","
",The brain-changing benefits of exercise,Wendy Suzuki,13:02,"biology,health,brain,memory,human body,neuroscience,mental health,science,exercise"
"
											But a few years ago,
I did something very unusual in science.
											As a full professor of neural science,
											I decided to completely switch
my research program.
											Because I encountered something
that was so amazing,
											with the potential to change so many lives
											that I had to study it.
											I discovered and I experienced
the brain-changing effects of exercise.
											And I did it in a completely
inadvertent way.
											I was actually at the height
of all the memory work that I was doing —
											data was pouring in,
											I was becoming known in my field
for all of this memory work.
											And it should have been going great.
It was, scientifically.
											But when I stuck my head
out of my lab door,
											I noticed something.
											I had no social life.
											I spent too much time
listening to those brain cells
											in a dark room, by myself.
											(Laughter)
											I didn't move my body at all.
											I had gained 25 pounds.
											And actually, it took me
many years to realize it,
											I was actually miserable.
											And I shouldn't be miserable.
											And I went on a river-rafting trip —
by myself, because I had no social life.
											And I came back —
									","
											Birkaç yıl önce bilimde alışılmadık
bir şey yaptım.
											Nörobilim profesörü olarak
											araştırma programımı tamamen
değiştirmeye karar verdim
											çünkü pek çok hayatı 
değiştirecek potansiyele sahip
											harika bir şeyle karşılaşmıştım
											ve bunu araştırmak zorundaydım.
											Spor yapmanın beyni değiştiren etkilerini
keşfetmiş ve tecrübe etmiştim.
											Üstelik bunu tamamen
farkında olmadan yaptım.
											Yaptığım hafıza çalışmasının
en üst kademesindeydim,
											veriler adeta akıyordu,
											tüm bu hafıza çalışması sayesinde
alanımda tanınır hâle geliyordum.
											Harika gitmesi gerekiyordu.
Bilimsel olarak gidiyordu da.
											Sonra başımı laboratuvarımdan
dışarı uzatınca
											bir şey fark ettim.
											Hiç sosyal hayatım yoktu.
											Karanlık bir odada tek başıma
o beyin hücrelerini dinleyerek
											çok vakit harcamıştım.
											(Kahkahalar)
											Vücudumu hareket bile ettirmiyordum.
											11 kilo almıştım.
											Bunun farkına varmak da
yıllar sürdü,
											acınası durumdaydım.
											Ancak böyle olmamalıydım.
											Hiç sosyal hayatım olmadığı için
tek başıma rafting gezisine gittim.
											Sonra geri geldim ve—
									","
											Hace unos años hice algo 
poco inusual en la ciencia.
											Como profesora de neurociencias
											decidí dar un giro a mi programa
de investigación
											porque detecté algo increíble,
											con el potencial de cambiar tantas vidas
											que tuve que estudiarlo.
											Descubrí y experimenté cambios 
en el cerebro debido al ejercicio
											y lo hice de forma 
completamente involuntaria.
											De hecho, estaba en la cumbre de todo
el trabajo sobre la memoria que realizaba,
											la información estaba llegando,
											estaba siendo reconocida en mi área
por todo este trabajo
											y todo debía estar yendo bien.
Así era, científicamente.
											Pero cuando me golpeé la cabeza 
afuera de mi laboratorio
											noté algo
											no tenía vida social.
											Pasaba mucho tiempo 
prestando atención a esas neuronas
											por mi cuenta en un cuarto oscuro.
											(Risas)
											Yo no movía mi cuerpo para nada.
											Había subido 11 kilos.
											De hecho, me llevó 
varios años darme cuenta
											que en realidad era desdichada
											y no debería serlo.
											Fui a un viaje de descenso en río,
por mi cuenta ya que no tenía vida social.
											Y regresé...
									","
											Mas há uns anos,
fiz algo invulgar na ciência.
											Como professora de neurociência
											decidi mudar completamente
o meu programa de pesquisa.
											Porque deparei-me
com algo tão incrível
											e com o potencial
de mudar tantas vidas
											que tinha de o estudar.
											Descobri e experimentei os efeitos
do exercício no cérebro.
											E fi-lo de forma
completamente involuntária.
											Estava no auge do meu
trabalho sobre a memória.
											Havia muita informação.
											Tornei-me conhecida na minha área
devido a este trabalho.
											Devia estar tudo a correr bem.
Cientificamente, estava.
											Mas quando finalmente
saí do meu laboratório
											reparei numa coisa.
											Não tinha vida social.
											Passara demasiado tempo 
a ouvir as células cerebrais
											numa sala escura, sozinha.
											(Risos)
											Não me movimentava.
											Engordara 11 quilos.
											Demorei muitos anos a perceber
											que me sentia infeliz.
											E não me devia sentir assim.
											Fui numa viagem de ""rafting"" sozinha
— porque não tinha vida social.
											E voltei...
									","
											Doch dann habe ich etwas
für die Wissenschaft Ungewöhnliches getan.
											Als Lehrstuhlinhaberin für
Neurowissenschaften
											habe ich mich entschieden, mein
Forschungsprogramm komplett zu wechseln.
											Denn mir war etwas 
so Erstaunliches begegnet,
											das möglicherweise
so viele Leben verändern kann.
											Ich musste es studieren.
											Ich habe die gehirnverändernden Effekte
von Bewegung entdeckt und selbst erlebt.
											Und das ganz unbeabsichtigt.
											Es war am Gipfel meiner 
Forschung über das Gedächtnis,
											Daten strömten ein
											und ich wurde mit meinen Forschungen
zum Gedächtnis zunehmend bekannter.
											Wissenschaftlich lief es
großartig für mich.
											Aber wenn ich den Kopf 
aus meiner Labortür steckte,
											fiel mir etwas auf.
											Ich hatte keinerlei Sozialleben.
											Ich habe zu viel Zeit 
mit diesen Gehirnzellen verbracht,
											allein, in einem dunklen Raum.
											(Lachen)
											Ich hatte keinerlei Bewegung.
											Ich hatte über 11 Kilo zugenommen.
											Und wirklich, ich habe Jahre
gebraucht, bis ich bemerkte,
											dass es mir schlecht ging.
											Und das passte mir nicht.
											Da machte ich einen Wildwasser-Ausflug,
allein, ich war ja ohne Sozialkontakte.
											Ich kam zurück —
									",The brain-changing benefits of exercise,Wendy Suzuki,13:02,"biology,health,brain,memory,human body,neuroscience,mental health,science,exercise"
"
","
","
","
","
",The brain-changing benefits of exercise,Wendy Suzuki,13:02,"biology,health,brain,memory,human body,neuroscience,mental health,science,exercise"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risas)
									","
											(Risos)
									","
											(Lachen)
									",The brain-changing benefits of exercise,Wendy Suzuki,13:02,"biology,health,brain,memory,human body,neuroscience,mental health,science,exercise"
