fr,pt,tr,de,es,title,speaker,duration,tags
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											J'ai toujours voulu être un cyborg.
											Lorsque j'était jeune, l'une de mes séries favorites était ""L'homme qui valait 3 miliards"".
											Je n'en suis pas loin : l'homme qui valait 240 dollars ou à peu près mais —
									","
											Sempre quis ser um ciborgue.
											A minha série de televisão preferida,
em miúdo?
											""O Homem de Seis Milhões de Dólares""
											mais perto do homem de 240 dólares, mas...
									","
											Hep sayborg olmak istemişimdir.
											Çocukken en sevdiğim programlardan biri ""The Six Million Dollar Man""di (Altı Milyon Dolarlık Adam).
											eh, 240 dolarlık bir adama yakın sayılır, fakat...
									","
											Ich wollte schon immer ein Cyborg sein.
											""Der 6-Millionen-Dollar-Man"" war schon als Kind meine Lieblingssendung,
											und das hier entspricht eher dem 240-Dollar-Mann oder so, aber...
									","
											Siempre quise ser un cyborg.
											Uno de mis programas favoritos era ""El Hombre Nuclear,""
											y esto es un poco parecido, pero más barato,
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											(Rires)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Gelächter)
									","
											(Risas)
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											Je me sentirai normalement très gêné de paraître un peu binoclar
											en portant ça ici, mais il y a quelques jours j'ai vu
											un statisticien de renommée internationale avaler ses mots sur cette scène,
											donc j'imagine que tout est normal au sein de ce groupe.
											Mais ce n'est pas de cela dont je veux parler aujourd'hui.
											Je veux vous parler des jouets et du pouvoir qui leur est inhérent.
									","
											Normalmente, sentir-me-ia embaraçado
e até um pouco geeky por usar isto.
											Mas há uns dias vi aqui um perito
em estatística de renome mundial
											a engolir espadas em palco,
											portanto penso que 
neste contexto não há problema.
											Mas não é disso que quero falar hoje.
											Quero falar de brinquedos
e do seu poder inerente.
									","
											Her neyse... Ve normalde bu şeyi giydiğim için kendimi...
											mahçup bir bilgisayar kurdu gibi hissederdim, ama birkaç gün önce
											burada dünyaca ünlü bir istatistikçiyi kılıç yutarken gördüm.
											dolayısıyla yaptığım şey bu grupta normal.
											Ama bugün bahsetmek istediğim bu değil.
											Oyuncaklar ve onların doğasında var olan güçten konuşmak istiyorum.
									","
											Wie auch immer. Normalerweise wäre ich gehemmt und würde mich dabei blöd fühlen,
											so etwas zu tragen, aber vor ein paar Tagen sah ich
											einen weltberühmten Statistiker als Schwertschlucker hier auf der Bühne,
											daher denke ich, dass es vor diesem Publikum in Ordnung ist.
											Aber darüber will ich heute nicht reden.
											Ich will über Spielzeuge und die ihnen innewohnende Macht reden.
									","
											Normalmente soy muy auto-consciente, y un poco extraño,
											usando esto, pero, hace unos días vi
											a un renombrado estadístico tragando espadas aquí,
											Así que pensé que sería aceptado en el grupo.
											Pero no es eso de lo que quiero hablar.
											Quiero hablar de juguetes, y el poder inherente que veo en ellos.
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											Quand j'étais enfant, j'ai étudié à l'école Montessori.
											Jusqu'en sixième à Atlanta, Georgie.
											A cette époque, je n'en étais pas vraiment conscient
											mais plus tard, j'ai réalisé que c'était en quelque sorte l'apogée de mon éducation.
											Depuis, tout n'a été qu'une chute libre...
											Et cela est resté le cas jusqu'au moment où j'ai commencé à créer des jeux, vraiment —
											En réalité je les considère plus comme des jouets.
											Les gens m'appelle un créateur de jeux-vidéo mais je pense plutôt à ces choses comme des jouets.
											J'ai commencé à être très intéressé par Maria Montessori et ses méthodes,
											sa façon d'aborder les choses
											et son idée qu'il est très important pour un enfant de découvrir les choses par lui-même,
											au lieu de se faire apprendre les choses, comme un bourrage de crâne.
											Et elle voulait créer ces jouets, avec lesquels les enfants qui jouent avec ceux-ci
											seraient venus à comprendre ces principes profonds
											de la vie et de la nature à travers le jeu.
											Et à partir du moment où ils découvriraient ces choses, cela resterait gravé en eux de manière beaucoup plus profonde,
											ils auraient ainsi vécus de leurs propres erreurs;
											il existait une forme d'apprentissage basé sur l'échec. C'était très important.
											Donc, les jeux que je crée, je les pense à la manière d'une version moderne des jouets Montessori,
											Et je voudrais vraiment qu'ils soient présentés de cette façon
											dans laquelle les enfants peuvent en quelque sorte explorer et découvrir leurs propres principes.
									","
											Quando era criança,
frequentei a escola Montessori
											até ao 6.º ano, em Atlanta, na Geórgia.
											Naquela altura
não pensava muito nisso,
											mas mais tarde percebi de que esse terá
sido o ponto alto da minha educação.
											A partir daí foi sempre a descer.
											Foi só mais tarde,
quando comecei a fazer jogos
											— na verdade, penso neles
mais como brinquedos.
											Consideram-me um designer de jogos,
mas eu penso neles como brinquedos.
											Comecei a interessar-me
pelos métodos de Maria Montessori,
											pela sua forma de abordar as coisas.
											As crianças deviam descobrir
as coisas por si próprias,
											em vez de estas lhes serem
simplesmente ensinadas.
											Criava brinquedos tais que as crianças,
ao interagirem com eles,
											eram levadas a entender
princípios profundos
											da vida e da natureza, pela brincadeira.
											E a descoberta dessas coisas
ficava-lhes gravada na memória.
											Também sofriam os seus fracassos.
											O fracasso era um aspeto importante
da aprendizagem.
											Penso que os jogos que crio
											são uma versão moderna
dos brinquedos de Montessori.
											Gosto que sejam apresentados
de forma a que as crianças
											possam explorar e descobrir
os seus próprios princípios.
									","
											Çocukluğumda altıncı sınıfa kadar
											Georgia, Atlanta'daki bir Montessori okuluna gittim.
											O zamanlar buna pek kafa yormuyordum,
											ama sonra bunun eğitimimin en keyifli kısmı olduğunu fark ettim.
											Ondan sonraki her şey inişe geçmek gibiydi.
											Ve oyun yapmaya başlayıncaya kadar şunu fark etmemiştim ki... aslında
											oyunları daha ziyade oyuncaklar olarak görüyorum.
											İnsanlar bana oyun tasarımcısı diyorlar, ama bunlar benim için daha çok oyuncak.
											Derken, Maria Montessori ve metodları fazlasıyla ilgimi çekmeye başlamıştı.
											Onun olaylara yaklaşımı...
											Çocukların bir şeyleri açık açık öğretilmektense,
											kendi kendilerine keşfetmesinin değerine inanması...
											İşte bu doğrultuda, çocukların oynarken
											hayatın ve doğanın temel prensiplerini kavradıkları
											oyuncaklar tasarladı.
											Çocuklar o prensipleri keşfettikçe ilgileri daha da arttı,
											ayrıca kendi hatalarını da deneyimlediler;
											orada hataya dayalı öğrenme yaklaşımı söz konusuydu. Bu çok önemliydi.
											Ben de yaptığım oyunları daha ziyade modern Montessori oyuncakları olarak görüyorum.
											Ve onların, çocukların kendi ilkelerini arayıp
											keşfedecekleri şekilde sunulmalarını istiyorum.
									","
											Als Kind besuchte ich bis zur 6. Klasse eine Montessori-Schule
											in Atlanta, Georgia.
											Damals dachte ich nicht viel darüber nach,
											aber später erkannte ich, dass dies der Höhepunkt meiner Ausbildung war.
											Von da an ging es bergab.
											Aber erst später, als ich begann, Spiele zu machen, fing ich an,
											diese als mehr als nur Spielzeuge zu betrachten.
											Man kann mich als Game Designer bezeichnen, aber es sind wirklich eher Spielzeuge.
											Ich begann, mich für Maria Montessori und ihre Methoden zu interessieren
											und wie sie diese umsetzte
											und wie wichtig sie es fand, dass Kinder Dinge selbst entdecken
											und sie ihnen nicht beigebracht werden, auf eine offene Art.
											Sie entwickelte Spielzeuge, bei denen Kinder spielerisch
											tiefgründige Prinzipen verstehen lernten,
											die das Leben und die Natur betreffen.
											Da sie diese Dinge selbst entdeckt hatten, prägte es sich ihnen viel besser ein,
											und sie erlebten auch ihre eigenen Misserfolge;
											Lernen basierte dort auf Misserfolgen, es war sehr wichtig.
											Die Spiele, die ich entwerfe, sind moderne Montessori-Spielzeuge.
											So möchte ich sie auch vorstellen,
											Kinder sollen ihre eigenen Grundlagen erforschen und entdecken.
									","
											Cuando yo era niño, fui a la escuela Montessori
											hasta el sexto grado en Atlanta, Georgia.
											Y entonces no pensaba mucho en ello.
											pero luego, me di cuenta de que esa fue quizás la cumbre de mi educación.
											Desde ese momento, todo lo demás fue en declive.
											Y no fue hasta más tarde, cuando empecé ha hacer juegos, que —
											En realidad los pienso como juguetes.
											La gente me llama diseñador de juegos, pero yo pienso en ellos como juguetes.
											Pero comencé a interesarme en Maria Montessori y sus métodos,
											y la manera en que encaraba las cosas,
											y cómo pensaba que era valioso para los niños descubrir cosas por su cuenta.
											en lugar de que se les enseñara, abiertamente.
											Y ella diseñaría estos juguetes, donde los niños jugando
											en realidad entenderían principios profundos
											de la vida y la naturaleza mediante el juego.
											Y dado que descubrían estas cosas, permanecían con ellos más tiempo,
											y también experimentarían sus propios errores;
											había un aspecto de aprendizaje basado en errores. Era importante.
											Y así, los juegos que hago, los pienso como juguetes Montessori modernos.
											Y en realidad quiero que sean presentados de una manera
											en que los niños puedan explorar y descubrir sus propios principios.
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
","
","
","
","
","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
"
											Donc, il y a quelques temps, j'ai commencé à m'intéresser fortement
											au programme SETI. C'est de cette façon que je travaille,
											je me sens intéressé par différentes sujets, je plonge dedans,
											j'effectue mes recherches et essaye ensuite de trouver un moyen de façonner un jouet autour de ça,
											pour que les autres puissent expérimenter la même démarche de découverte que celle que j'ai eu
											quand j'ai appris sur ce sujet.
											Cela m'a mené à l'astrobiologie, qui est l'étude de la vie présumée dans l'univers.
											Puis l'équation de Drake, vous savez, qui traîte de
											la probabilité que la vie se développe sur une planète, de combien de temps cela durerait,
											du nombre de planètes qu'il existe autour de nous, ce genre de choses...
											J'ai commencé à chercher à quel point l'équation de Drake était interressante,
											car elle traite de toutes ces disciplines diverses, vous savez,
											la physique, la chimie, la sociologie, l'économie, l'astronomie.
											Une autre chose qui m'a vraiment impressionné il y a longtemps
											était la ""Powers of Ten"", vous savez, le film de Charles et Ray Earnes.
											J'ai commencé à rassembler les deux en me demandant
											si j'étais capable de construire un jouet avec lequel les enfants pourraient évoluer au travers
											de tous ces principes de la vie,
											tels qu'ils existent et tels qu'ils pourraient évoluer dans le futur.
											Des choses au milieu desquelles vous pourriez vous balader
											comme le principe de Copernic, le paradox de Fermi
											le principe anthropique, l'origine de la vie.
											Je vais donc vous montrer aujourd'hui un jouet sur lequel j'ai travaillé,
											que je considère avant toute chose comme une sorte de jouet philosophique.
											En jouant à ce jeu, vous serez amenés à vous poser un tas de question philosophiques sur vous-même.
									","
											Aqui há uns anos, comecei a interessar-me
bastante pelo programa SETI.
											Interesso-me por um dado assunto,
lanço-me, investigo-o,
											e tento descobrir como posso construir
um brinquedo com base nele,
											para que os outros possam sentir
o mesmo sentido de descoberta
											que eu, enquanto estudava o assunto.
											Isso levou-me à Astrobiologia, o estudo
da possibilidade de vida no Universo
											e à equação de Drake,
que tem a ver com a probabilidade
											de a vida surgir num dado planeta,
											quanto tempo poderá durar,
quantos planetas existem, etc.
											Comecei a reparar como era interessante
a equação de Drake,
											porque englobava uma série de assuntos,
											Física, Química, Sociologia,
Economia, Astronomia.
											Também me impressionou muito,
há muito tempo,
											o filme ""Potências de Dez"",
dos realizadores Charles e Ray Eames.
											Tentei combinar os dois conceitos
e a pensar
											se podia criar um brinquedo
em que as crianças
											se deparassem com todos
estes princípios da vida,
											tal como ela é hoje
e como poderá ser no futuro.
											Brinquedos em que 
uma pessoa encontraria coisas
											como o Princípio Coperniciano,
o Paradoxo de Fermi,
											o Princípio Antrópico, a origem da vida.
											Vou mostrar um brinquedo
em que tenho estado a trabalhar,
											e em que gosto de pensar
como um brinquedo filosófico.
											Com este brinquedo,
uma pessoa enfrentará questões filosóficas.
									","
											Bu doğrultuda, birkaç yıl önce
											SETI programıyla ilgilenmeye başladım. Benim çalışma yöntemimde,
											farklı objelerle ilgilenmeye başlıyorum, derinlerine dalıyorum,
											araştırıyorum, sonra başka insanların da benim öğrenirken yaşadığım keşif duygusunu
											deneyimlemeleri için o objelerden nasıl oyuncak yapabileceğime
											kafa yoruyorum.
											Bu da beni, evrendeki muhtemel yaşamları inceleyen astrobiyolojiye yöneltti.
											Ve Drake Denklemi'ne. Biliyorsunuz, bu denklem gezegenlerde yaşam olasılığı,
											bu yaşamın ne kadar süreceği, kaç gezegen olduğu gibi
											varsayımlarda bulunuyor.
											Drake Denklemi'nin ne kadar ilginç olduğunu,
											çünkü bir sürü farklı alanı kapsadığını fark ettim — bildiğiniz gibi,
											fizik, kimya, sosyoloji, ekonomi, astronomi.
											Beni uzun zaman önce gerçekten etkileyen bir başka şey de,
											hatırlarsınız, Charles ve Ray Earnes'ün filmi ""Powers of Ten"" [10'un Gücü]'di.
											Bu ikisini bir araya getirmeye ve
											çocukların hayatın tüm bu ilginç prensipleri arasında,
											-mevcut ve gelecekteki muhtemel halleriyle- gezinebileceği
											bir oyuncak yapıp yapamayacağımı düşünmeye başladım.
											Kopernik Prensibi, Fermi Paradoksu, Antropik Prensibi,
											hayatın kökeni gibi şeyler arasında
											gezinebileceğiniz oyuncaklar.
											Bugün size üzerinde çalışmakta olduğum
											ve gerçek anlamda felsefi olduğuna inandığım bir oyuncak göstereceğim.
											Bununla oynarken — bu oyuncak felsefi sorular sormanıza yol açacak.
									","
											Vor einigen Jahren begann mein Interesse
											für das SETI-Programm. Und so arbeite ich:
											ich interessiere mich für verschiedene Themen, steige ein,
											recherchiere sie und überlege dann, wie man das zu einem Spielzeug machen kann.
											Andere Leute sollen den gleichen Lernprozess durchlaufen können
											wie ich.
											Das führte mich zur Astrobiologie, die nach potentiellem Leben im Universum sucht.
											Und zur Drake-Gleichung, die abschätzt,
											ob Leben auf anderen Planeten entstehen kann, für wie lange, wie viele Planeten es gibt,
											Dinge wie diese.
											Ich realisierte, wie interessant die Drake-Gleichung war,
											denn sie umfasste all diese verschiedenen Themen,
											Physik, Chemie, Soziologie, Wirtschaft, Astronomie.
											Wirklich beeindruckt hat mich auch vor langer Zeit
											der Film ""Zehn Hoch"" von Charles und Ray Eames.
											Ich begann, diese beiden Dinge miteinander zu verbinden, und
											fragte mich, ob ich so ein übergreifendes Spielzeug bauen könnte,
											bei dem Kinder all diese interessanten Prinzipen des Lebens lernen würden,
											so wie sie zurzeit sind und sich weiterentwickeln.
											Dinge, bei denen man über Ideen stolpert
											wie das Kopernikanische Prinzip, das Fermi-Paradoxon,
											das Anthropische Prinzip, den Ursprung des Lebens.
											Ich werde Ihnen heute eines meiner entworfenen Spielzeuge zeigen,
											das ich mehr als eine Art Philosophie-Spielzeug sehe.
											Wenn man damit spielt, werden philosophische Fragen aufgeworfen.
									","
											Así, hace unos años, comencé a interesarme mucho
											en el programa SETI. Y es algo así como yo trabajo,
											me interesan diferentes temas, me sumerjo en ellos,
											los investigo, y luego trato de hacer un juguete sobre eso,
											para que otras personas puedan experimentar el mismo descubrimiento que yo
											mientras estudiaba ese tema.
											Me condujo a la astrobiología, que es el estudio de la vida posible en el universo.
											Y a la ecuación de Drake, que investiga la
											probabilidad de que la vida surja en los planetas, su duración, cuántos planetas hay,
											cosas así.
											Y comencé a ver lo interesante que era la Ecuación de Drake,
											porque abarcaba tantos temas diferentes — saben,
											física, química, sociología, economía, astronomía.
											Y otra cosa que realmente me impresionó hace mucho,
											fue ""Potencias de Diez,"" la película de Charles y Ray Eames.
											Y comencé a poner estas dos cosas juntas y preguntarme,
											si podría crear un juguete donde los niños puedan cruzarse
											con estos interesantes principios de la vida,
											como existe y como podría ser en el futuro.
											Cosas donde se podría, recorrer temas
											como el principio Copernicano, la Paradoja de Fermi,
											el principio Antrópico, el origen de la vida.
											Voy a mostrarles un juguete en el que estuve trabajando,
											del que realmente pienso más que nada como un juguete filosófico.
											Jugando con él, — esto sugerirá preguntas filosóficas.
									","Spore, birth of a game",Will Wright,16:37,"demo,design,entertainment,gaming,technology"
