es,pt,tr,en,fr,de,title,speaker,duration,tags
"
","
","
","
","
","
",Revealing the lost codex of Archimedes,William Noel,14:53,"Internet,TEDx,ancient world,art,history,library,museums,open-source,books,archaeology"
"
											Los grandes textos de la antigüedad
											no sobrevivieron en su formato original,
											sobrevivieron porque escribas 
medievales los copiaron
											y los copiaron y los volvieron a copiar.
											Y así pasó con Arquímedes,
											el gran matemático griego.
									","
											Os grandes textos do mundo antigo
											não chegam até nós na sua forma original.
											Sobrevivem porque escribas medievais
os copiaram,
											e copiaram, e copiaram.
											Foi assim que aconteceu com Arquimedes,
											o grande matemático grego.
									","
											Antik dünyanın önemli yapıtları
											bize orijinal hâllerinde ulaşmıyorlar.
											Orta çağ katipleri onları, onların kopyalarını
											ve o kopyaların kopyalarını yazdıkları için günümüze kadar geliyorlar.
											Ve büyük Yunan matematikçisi Arşimet ile de
											durum böyle.
									","
											The great texts of the ancient world
											don't survive to us in their original form.
											They survive because medieval scribes copied them
											and copied them and copied them.
											And so it is with Archimedes,
											the great Greek mathematician.
									","
											Les grands textes de l'antiquité
											ne survivent pas jusqu'à nous dans leur forme originale.
											Ils survivent parce que les scribes du moyen âge les ont copiés
											et recopiés et recopiés.
											De même avec Archimède,
											le grand mathématicien grec.
									","
											Die großen Werke der Antike
											blieben uns nicht im Original erhalten.
											Sie überlebten die Zeit, weil mittelalterliche Schreiber sie
											immer und immer wieder kopierten.
											And so ist es auch bei Archimedes,
											dem großen griechischen Mathematiker.
									",Revealing the lost codex of Archimedes,William Noel,14:53,"Internet,TEDx,ancient world,art,history,library,museums,open-source,books,archaeology"
"
","
","
","
","
","
",Revealing the lost codex of Archimedes,William Noel,14:53,"Internet,TEDx,ancient world,art,history,library,museums,open-source,books,archaeology"
"
											Todo lo que sabemos de 
Arquímedes como matemático
											lo sabemos gracias a tres libros,
											los llamados A, B y C.
											A fue extraviado por 
un humanista italiano en 1564.
											Y la última vez que se vio a 
B fue en la biblioteca del Papa
											hace unos cientos de kms al norte 
de Roma en Viterbo, en 1311.
											Ahora, el códice C 
fue descubierto en 1906
											y llegó hasta mi escritorio en Baltimore
											el 19 de enero de 1999.
											Y aquí está el códice C.
									","
											Tudo que sabemos sobre Arquimedes
enquanto matemático
											sabemos devido a apenas três livros,
											e eles chamam-se A, B e C.
											O A foi perdido
por um humanista italiano em 1564.
											E a última vez que se ouviu falar do B 
foi na Biblioteca do Papa,
											a cerca de 160 km a norte de Roma,
em Viterbo, em 1311.
											Mas o Códice C só foi descoberto em 1906,
											e foi parar à minha secretária em Baltimore
											a 19 de janeiro de 1999.
											Este é o Códice C.
									","
											Bir matematikçi olarak Arşimet hakkında bildiğimiz her şeyi
											A, B ve C adında
											üç adet kitap sayesinde biliyoruz.
											A 1564'te İtalyan bir hümanist tarafından kaybedildi.
											B'nin en son 1311'de Roma'nın yüz mil kuzeyinde
											Viterbo'da, Papa'nın kütüphanesinde olduğu duyulmuştu.
											Yazıt C ise 1906'da keşfedildi
											ve 19 Ocak 1999'da
											Baltimore'daki masama geldi.
											Buradaki yazıt C.
									","
											Everything we know about Archimedes as a mathematician
											we know about because of just three books,
											and they're called A, B and C.
											And A was lost by an Italian humanist in 1564.
											And B was last heard of in the Pope's Library
											about a hundred miles north of Rome in Viterbo in 1311.
											Now Codex C was only discovered in 1906,
											and it landed on my desk in Baltimore
											on the 19th of January, 1999.
											And this is Codex C here.
									","
											Tous ce que nous savons sur Archimède en tant que mathématicien
											nous le savons grâce à trois livres seulement,
											qui s'intitulent A, B et C.
											A fut perdu par un humaniste italien en 1564.
											Les dernières nouvelles que nous avons de B remontent à la bibliothèque du Pape
											à 160 km au nord de Rome à Viterbo en 1311.
											Le Codex C fut découvert en 1906,
											et il a atterri sur mon bureau à Baltimore
											le 19 janvier 1999.
											Et voici le Codex C.
									","
											Alles, was wir über Archimedes als Mathematiker wissen,
											wissen wir aus gerade mal drei Büchern,
											sie heißen A, B und C.
											Und A ging durch einen italienischen Humanisten im Jahre 1564 verloren.
											Und B wurde zuletzt in der Bibliothek des Papstes gesehen
											ungefähr hundert Meilen nördlich von Rom, in Viterbo, im Jahre 1311.
											Codex C aber wurde erst im Jahre 1906 entdeckt
											und landete auf meinem Schreibtisch in Baltimore,
											am 19. Januar 1999.
											Und das hier ist Codex C.
									",Revealing the lost codex of Archimedes,William Noel,14:53,"Internet,TEDx,ancient world,art,history,library,museums,open-source,books,archaeology"
"
","
","
","
","
","
",Revealing the lost codex of Archimedes,William Noel,14:53,"Internet,TEDx,ancient world,art,history,library,museums,open-source,books,archaeology"
"
											En realidad, el códice C 
está enterrado en este libro.
											Es un tesoro enterrado.
											Porque este libro es 
en realidad un libro de oraciones.
											Fue escrito por un hombre 
llamado Johannes Myrones
											el 14 de abril de 1229.
											Y para hacer su libro de 
oraciones, utilizó pergamino.
											Pero no usó pergamino nuevo,
											sino pergamino reciclado 
de manuscritos anteriores
											y había siete de ellos.
											Y el códice C de Arquímedes 
fue uno de esos siete.
											Desmontó el manuscrito de 
Arquímedes y el resto de los otros siete.
											Les borró el texto
											y luego cortó las hojas por la mitad,
											las mezcló,
											las rotó en un ángulo de 90 grados,
											y escribió oraciones por encima.
											En esencia estos siete manuscritos
											desaparecieron por 700 años 
y tenemos un libro de oraciones.
									","
											O Códice C está, de facto, enterrado neste livro.
											É um tesouro enterrado.
											Porque este livro é, na verdade,
um livro de orações.
											Foi acabado por um homem
chamado Johannes Myrones
											a 14 de abril de 1229.
											E para fazer este livro de orações
ele usou pergaminho.
											Mas não usou pergaminho novo,
											usou pergaminho reciclado
de manuscritos anteriores,
											e existiam sete manuscritos.
											E o Códice C de Arquimedes
era apenas um desses sete.
											Ele desmontou o manuscrito de Arquimedes
e os outros sete manuscritos,
											apagou todos os textos,
											e depois cortou as folhas ao meio,
											baralhou-as,
											e rodou-as 90 graus,
											e escreveu orações sobre estes livros.
											E essencialmente, estes sete manuscritos
											desapareceram durante 700 anos
e temos um livro de orações.
									","
											Yazıt C aslında bu kitabın içinde gömülü.
											Gömülü bir hazine.
											Çünkü bu aslında bir dua kitabı.
											14 Nisan 1229'da Johannes Myrones adında
											bir adam tarafında bitirilmiş.
											Ve bu dua kitabını yazabilmek için parşömen kullanmış.
											Fakat yeni parşömenler kullanmamış.
											Daha eski el yazmalarından geri dönüştürülmüş parşömenler kullanmış
											ve bunlardan yedi tane vardı.
											Ve Arşimet'in Yazıt C'si bu yedi taneden biriydi.
											Arşimet'in el yazmalarını ve diğer yedi tane el yazmasını ayırdı
											ve bütün yazıları sildi,
											Ve kağıtları ortadan kesip
											hepsini karıştırdı,
											90 derecelik açı yapacak şekilde bir araya getirdi ve
											bu kitapların üzerine dualar yazdı.
											Ve sonuç olarak bu yedi el yazması
											700 yıl boyunca kayıp kaldı ve şimdi elimizde bir dua kitabı var.
									","
											Now Codex C is actually buried in this book.
											It's buried treasure.
											Because this book is actually a prayer book.
											It was finished by a guy called Johannes Myrones
											on the 14th of April, 1229.
											And to make his prayer book he used parchment.
											But he didn't use new parchment,
											he used parchment recycled from earlier manuscripts,
											and there were seven of them.
											And Archimedes Codex C was just one of those seven.
											He took apart the Archimedes manuscript and the other seven manuscripts.
											He erased all of their texts,
											and then he cut the sheets down in the middle,
											he shuffled them up,
											and he rotated them 90 degrees,
											and he wrote prayers on top of these books.
											And essentially these seven manuscripts
											disappeared for 700 years, and we have a prayer book.
									","
											Le Codex C est en fait caché dans ce livre.
											C'est un trésor enseveli.
											Parce que ce livre est en fait un livre de prières.
											Un homme du nom de Johannes Myrones l'a terminé
											le 14 avril, 1229.
											Et pour faire son livre de prières il a utilisé un parchemin.
											Mais il n'a pas utilisé un nouveau parchemin,
											il a utilisé un parchemin recyclé de précédents manuscrits,
											il y en avait sept.
											Et le Codex C d'Archimède était un de ces sept.
											Il a démonté le manuscrit d'Archimède et les sept autres manuscrits.
											Il a effacé tous les textes,
											et ensuite il a coupé les feuilles au milieu,
											il les a mélangées,
											et il les a tournés de 90°,
											et il a écrit ses prières dessus.
											Et essentiellement ces sept manuscrits
											ont disparu pendant 700 ans, et nous avons maintenant un livre de prières.
									","
											Nun, eigentlich ist Codex C in diesem Buch verborgen –
											es ist ein vergrabener Schatz.
											Denn dieses Buch ist eigentlich ein Gebetbuch.
											Es wurde am 14. April 1229 fertig gestellt von einem
											Mann namens Johannes Myrones.
											Und um sein Gebetbuch herzustellen, verwendete er Pergament.
											Aber er verwendete kein neues Pergament,
											sondern wiederaufbereitetes Pergament aus älteren Handschriften
											und zwar von sieben verschiedenen.
											Und Archimedes' Codex C war nur eine dieser sieben.
											Er nahm die Archimedes-Handschrift und die anderen sieben Handschriften auseinander,
											löschte jeglichen Text,
											und dann schnitt er die Blätter in der Mitte entzwei,
											mischte sie durcheinander,
											drehte sie um 90 Grad
											und schrieb Gebete darüber.
											Und tatsächlich verschwanden diese sieben Handschriften
											für 700 Jahre und wir haben hier ein Gebetbuch.
									",Revealing the lost codex of Archimedes,William Noel,14:53,"Internet,TEDx,ancient world,art,history,library,museums,open-source,books,archaeology"
"
","
","
","
","
","
",Revealing the lost codex of Archimedes,William Noel,14:53,"Internet,TEDx,ancient world,art,history,library,museums,open-source,books,archaeology"
"
											El libro de oraciones 
fue descubierto por este señor,
											Johan Ludvig Heiberg, en 1906.
											Y sólo con una lupa,
											transcribió el texto lo más que pudo.
											Y la cosa es que encontró 
dos textos en este manuscrito
											que eran textos únicos.
											No estaban ni en A ni en B;
											eran textos de Arquímedes 
completamente nuevos,
											y se llamaban ""El Método"" y ""El Stomachion"".
											Y se convirtió en 
un manuscrito de fama mundial.
									","
											O livro de orações foi descoberto
por este homem,
											Johan Ludvig Heiberg, em 1906.
											E com apenas uma lupa,
											ele transcreveu o máximo de texto
que conseguiu.
											E o que acontece é que ele
encontrou dois textos neste manuscrito
											que eram textos únicos.
											Não apareciam de todo em A nem em B;
											eram textos completamente novos
de Arquimedes,
											e chamavam-se ""O Método"" e ""O Stomachion"".
											E tornou-se um manuscrito
mundialmente famoso.
									","
											Dua kitabı bu adam tarafından, Johan Ludvig Heiberg,
											1906'da keşfedildi.
											Ve yalnızca bir büyüteçle
											yapabildiği kadar çok yazıyı deşifre etti.
											Ve olay şu ki bu el yazmasının içinde
											benzersiz olan iki tane yazıt buldu.
											Kesinlikle A ve B değillerdi;
											Arşimet'e ait tamamen yeni yazılardı
											ve adları ""Method"" ve ""Stomachion"" idi.
											Ve bu dünyaca ünlü bir el yazması haline geldi.
									","
											The prayer book was discovered by this guy,
											Johan Ludvig Heiberg, in 1906.
											And with just a magnifying glass,
											he transcribed as much of the text as he could.
											And the thing is that he found two texts in this manuscript
											that were unique texts.
											They weren't in A and B at all;
											they were completely new texts by Archimedes,
											and they were called ""The Method"" and ""The Stomachion.""
											And it became a world famous manuscript.
									","
											Le livre de prières a été découvert par cet homme,
											Johan Ludvig Heiberg, en1906.
											Et juste avec une loupe,
											il a retranscrit le plus de texte possible.
											Et le fait est qu'il a trouvé deux textes dans ce manuscrit
											les deux étant des textes uniques.
											Ils n'étaient pas dans A et dans B;
											c'était des textes d'Archimède complètement nouveaux,
											intitulés ""La Méthode"" et ""Le Stomachion"".
											Et c'est devenu un manuscrit célèbre dans le monde entier.
									","
											Das Gebetbuch wurde von einem gewissen
											Johan Ludvig Heiberg im Jahre 1906 entdeckt.
											Und nur mit einer Lupe ausgestattet,
											transkribierte er so viel von dem Text, wie er konnte.
											Und das Beste ist, er fand zwei Texte in dieser Handschrift,
											welche einzigartig waren.
											Sie kamen weder in A noch in B vor;
											es waren komplett neue Texte von Archimedes
											und sie hießen ""Die Methode"" und ""Das Stomachion"".
											Und die Handschrift wurde weltberühmt.
									",Revealing the lost codex of Archimedes,William Noel,14:53,"Internet,TEDx,ancient world,art,history,library,museums,open-source,books,archaeology"
"
","
","
","
","
","
",Revealing the lost codex of Archimedes,William Noel,14:53,"Internet,TEDx,ancient world,art,history,library,museums,open-source,books,archaeology"
"
											Ahora, ya debería estar claro
											que este libro está en malas condiciones.
											Se puso mucho peor en el siglo XX
											luego de que Heiberg lo vio.
											Le pintaron falsificaciones encima
											y sufrió mucho con los hongos.
											Este libro es la definición 
de una pérdida.
											Es el tipo de libro
											que uno pensaría 
estaría en una institución.
											Pero no está en una institución,
											lo compró un dueño privado en 1998.
									","
											Por esta altura já deverá estar claro
											que este livro está em más condições.
											Ficou em piores condições no século XX
											depois de Heiberg o ver.
											Foram pintadas falsificações sobre ele,
											e sofreu muitíssimo com o bolor.
											Este livro é a própria definição
da perda.
											É o tipo de livro
											que pensávamos que estaria numa instituição.
											Mas não está numa instituição,
											foi comprado por um
colecionador privado em 1998.
									","
											Şimdiye kadar anlaşılmıştır ki
											bu kitap çok kötü bir durumda.
											20. yüzyılda, Heiberg gördüğünde
											çok daha kötü durumdaydı.
											Üstüne sahte evraklar yazılmıştı ve
											nem yüzünden çok kötü bir hâle gelmişti.
											Bu kitap kesinlikle ""değer kaybetme""nin tanımı.
											Bu bir enstitüde olacağını düşündüğünüz türden
											bir kitap.
											Ama bir enstitüde tutulmuyor,
											1998'de özel bir alıcı tarafından satın alındı.
									","
											Now it should be clear by now
											that this book is in bad condition.
											It got in worse condition in the 20th century
											after Heiberg saw it.
											Forgeries were painted over it,
											and it suffered very badly from mold.
											This book is the definition of a write-off.
											It's the sort of book
											that you thought would be in an institution.
											But it's not in an institution,
											it was bought by a private owner in 1998.
									","
											Il devrait être clair maintenant
											que ce livre est en mauvais état.
											Son état a empiré depuis que Heiberg l'a découvert
											au 20ème siècle.
											Des faux ont été peints dessus,
											et il a été attaqué par les moisissures.
											Ce livre est bon pour la casse.
											C'est le genre de livre
											qui aurait dû être dans une institution.
											Mais il ne l'est pas,
											il a été racheté par un particulier en 1998.
									","
											Nun, es sollte jetzt klar sein,
											dass dieses Buch in schlechtem Zustand ist.
											Der Zustand verschlechterte sich im 20. Jahrhundert,
											nachdem Heiberg es fand.
											Fälschungen wurden darüber gemalt
											und es litt unter starkem Schimmelbefall.
											Dieses Buch ist der Inbegriff eines Totalschadens.
											Es ist die Art Buch,
											von der man denken würde, es sei in einer Institution.
											Aber es ist nicht in einer Institution,
											es wurde von einem privaten Sammler 1998 gekauft.
									",Revealing the lost codex of Archimedes,William Noel,14:53,"Internet,TEDx,ancient world,art,history,library,museums,open-source,books,archaeology"
