en,pt,fr,tr,es,de,title,speaker,duration,tags
"
","
","
","
","
","
",Adventures of an interplanetary architect,Xavier De Kestelier,12:44,"creativity,architecture,design,engineering,exploration,future,infrastructure,innovation,materials,NASA,robots,technology,TEDx,universe,space"
"
											I must have been about 12 years old
											when my dad took me
to an exhibition on space,
											not far from here, in Brussels.
											And the year was about —
I think it was 1988,
											so it was the end of the Cold War.
											There was a bit of an upmanship going on
between the Americans and the Russians
											bringing bits to that exhibition.
											NASA brought a big blow-up space shuttle,
											but the Russians,
they brought a Mir space station.
											It was actually the training module,
											and you could go inside
and check it all out.
											It was the real thing —
											where the buttons were,
where the wires were,
											where the astronauts were eating,
where they were working.
											And when I came home,
											the first thing I did,
I started drawing spaceships.
											Now, these weren't
science fiction spaceships, no.
											They were actually technical drawings.
											They were cutaway sections
											of what kind of structure
would be made out of,
											where the wires were,
where the screws were.
									","
											Eu devia ter uns 12 anos
											quando o meu pai me levou
a uma exposição sobre o espaço,
											não muito longe daqui,
em Bruxelas.
											Penso que foi no ano de 1988,
											portanto, no fim da Guerra Fria.
											Sentia-se uma certa competição
entre os norte-americanos e os russos
											naquela exposição.
											A NASA levou um enorme
vaivém espacial
											mas os russos levaram 
uma estação espacial Mir.
											Na verdade, era o módulo de treino.
											Podíamos lá entrar e inspecionar tudo.
											Era a coisa real
											— onde estavam os botões,
onde estavam os cabos,
											onde os astronautas comiam,
onde eles trabalhavam.
											Quando voltei para casa,
											a primeira coisa que fiz
foi começar a desenhar naves espaciais.
											Mas não eram naves espaciais
de ficção científica, não.
											Eram desenhos técnicos.
											Eram secções em corte,
											qual o tipo de estrutura
em que deviam ser feitas,
											onde estavam os cabos,
onde estavam os parafusos.
									","
											Je devais avoir 12 ans
											lorsque mon père m'a amené
voir une exposition sur l'espace,
											pas très loin d'ici, à Bruxelles.
											Et on était en —
je crois qu'on était en 1988,
											c'était donc la fin de la Guerre Froide.
											On a assisté à une sorte de surenchère
entre les Américains et les Russes
											qui faisaient partie de cette exposition.
											La NASA a amené
une grande navette spatiale gonflable
											mais les Russes,
ils ont amené une station spatiale Mir.
											C'était en fait le module d'entraînement
											et vous pouviez entrer à l'intérieur
et le visiter.
											C'était pour de vrai —
											l'emplacement des boutons et des câbles,
											l'endroit où les astronautes mangeaient,
où ils travaillaient.
											Et lorsque je suis rentré chez moi,
											j'ai immédiatement commencé
à dessiner des vaisseaux spatiaux.
											Ce n'étaient pas des vaisseaux spatiaux
de science-fiction, non.
											C'étaient de vrais dessins techniques.
											J'avais dessiné des coupes de sections
											sur le type de structure
qu'elles représentaient,
											l'emplacement des câbles et des vis.
									","
											12 yaşında falandım herhalde
											babam beni bir uzay sergisine 
götürdüğünde,
											buraya yakın, Brüksel'de.
											1988 yılıydı diye hatırlıyorum,
											yani Soğuk Savaş sona ermişti.
											Amerika ve Rusya arasında hâlâ bir
üstünlük sağlama çabası vardı,
											bu sergide de izlerini görebiliyordunuz.
											NASA büyük bir uzay mekiği fırlatmıştı,
											buna karşı Ruslar,
Mir Uzay İstasyonu'nu geliştirmişlerdi.
											Gerçek bir uzay mekiği gibiydi,
											ve içine girip
bütün detayları inceleyebiliyordunuz.
											Bu gerçek bir şeydi —
											butonların oldukları yerler,
kablolamalar,
											astronatların yemek yedikleri yerler,
çalıştıkları yerler.
											Ve eve geri döndüğümde,
											yaptığım ilk şey,
bir uzay gemisi çizimine başlamak oldu.
											Bu, bilim kurgu tarzı
hayali bir uzay gemisi değildi, hayır.
											Onlar gerçekten teknik çizimlerdi.
											Kesit görünümler
											nasıl bir yapı oluşturulduğuna
dair detayları içeriyordu,
											kabloların geçiş yerleri,
vidaların olduğu yerler.
									","
											Debía tener unos 12 años
											cuando mi papá me llevó a una 
exposición sobre el espacio,
											no muy lejos de aquí, en Bruselas.
											Creo que fue en el año 1988,
											era el final de la Guerra Fría.
											Había una puja entre
rusos y estadounidenses
											manifestada en esa exposición.
											La NASA trajo un gran 
transbordador espacial,
											pero los rusos trajeron 
una estación espacial Mir.
											En realidad, 
era el módulo de entrenamiento,
											uno podía entrar y ver todo.
											Era la estación real...
											con sus botones y sus cables,
											los lugares para comer,
los lugares para trabajar.
											Por eso al llegar a casa,
											lo primero que hice fue empezar 
a dibujar naves espaciales.
											No eran naves espaciales 
de ciencia ficción, no.
											Eran en realidad dibujos técnicos.
											Eran dibujos seccionados
											con los materiales que 
conformarían la estructura,
											con la ubicación de los cables
y los tornillos.
									","
											Ich muss etwa 12 Jahre alt gewesen sein,
											als mein Vater mich zu einer
Weltraum-Ausstellung mitnahm.
											Nicht weit von hier, in Brüssel.
											Ich glaube, das war im Jahr 1988,
											also gegen Ende des Kalten Krieges.
											Da gab es eine Art Wettbewerb
zwischen den Amerikanern und den Russen,
											wer welche Stücke zur Ausstellung brachte.
											Die NASA brachte ein großes,
aufblasbares Spaceshuttle,
											aber die Russen brachten 
eine Mir-Raumstation mit.
											Das war das Trainingsmodul.
											Man konnte hineingehen
und alles ausprobieren.
											Sie war echt —
											mit Schaltknöpfen, Kabeln und den Plätzen,
wo die Astronauten aßen und arbeiteten.
											Als ich dann nach Hause kam,
											begann ich als Erstes, 
Raumschiffe zu zeichnen.
											Das waren keine 
Science-Fiction-Raumschiffe.
											Es waren technische Zeichnungen.
											Es waren Einblicke
in die einzelnen Sektionen.
											Die zeigten die Struktur 
der einzelnen Teile,
											wo die Kabel und die Schrauben waren.
									",Adventures of an interplanetary architect,Xavier De Kestelier,12:44,"creativity,architecture,design,engineering,exploration,future,infrastructure,innovation,materials,NASA,robots,technology,TEDx,universe,space"
"
","
","
","
","
","
",Adventures of an interplanetary architect,Xavier De Kestelier,12:44,"creativity,architecture,design,engineering,exploration,future,infrastructure,innovation,materials,NASA,robots,technology,TEDx,universe,space"
"
											So fortunately, I didn't
become a space engineer,
											but I did become an architect.
											These are some of the projects
that I've been involved with
											over the last decade and a half.
											All these projects are quite different,
quite different shapes,
											and it is because they are built
for different environments.
											They have different constraints.
											And I think design
becomes really interesting
											when you get really harsh constraints.
									","
											Felizmente, não vim a ser
engenheiro espacial,
											mas acabei por ser arquiteto.
											Estes são alguns dos projetos
em que eu tenho estado envolvido
											nos últimos 15 anos.
											Todos estes projetos são muito diferentes,
formas muito diferentes,
											porque estes projetos são construídos
para diversos ambientes.
											Têm condicionalismos diferentes.
											Penso que o ""design""
se torna realmente interessante
											quando enfrentamos condicionalismos
realmente difíceis.
									","
											Heureusement, je ne suis pas devenu
un ingénieur spatial
											mais je suis quand même
devenu un architecte.
											Voici certains des projets
auxquels j'ai participé
											ces 15 dernières années.
											Tous ces projets sont assez différents,
leurs formes sont assez différentes,
											parce qu'ils sont faits
pour des environnements différents.
											Les contraintes sont différentes.
											Je crois que le design
devient vraiment intéressant
											lorsque l'on fait face
à des contraintes très difficiles.
									","
											Neyse ki, bir uzay mühendisi olmadım.
											Ama, bir mimar oldum.
											Benim de çalıştığım bazı projeler
işte burada
											15 yılda katkı sunduklarım.
											Bu projelerin tamamı farklı amaçta
ve şekillerde yapıldı,
											bunun sebebi, farklı bölgeler, çevreler
için inşa edildiler.
											Farklı kısıtlamalara sahipler.
											Ve tasarımın gerçekten ilginçleşmeye
başladığı yer,
											onu belirli sınırlar içerisinde yapmak
zorunda kaldığınız zamandır.
									","
											Por suerte, no fui ingeniero espacial
											sino arquitecto.
											Estos son algunos de los proyectos
en los que he participado
											en la última década y media.
											Todos estos proyectos son muy diferentes, 
con formas bastante diferentes,
											y es porque están construidos
para diferentes entornos.
											Tienen diferentes restricciones.
											Y creo que el diseño
se pone realmente interesante
											si hay restricciones realmente duras.
									","
											Glücklicherweise wurde ich
kein Raumfahrt-Ingenieur,
											aber ich wurde Architekt.
											Hier sind einige der Projekte,
											an denen ich in den letzten
15 Jahren beteiligt war.
											All diese Projekte sind unterschiedlich,
ganz unterschiedliche Formen,
											weil sie für unterschiedliche 
Umgebungen gebaut wurden.
											Sie haben unterschiedliche 
Einschränkungen.
											Ich denke, Design wird 
wirklich interessant,
											wenn man wirklich harte
Einschränkungen hat.
									",Adventures of an interplanetary architect,Xavier De Kestelier,12:44,"creativity,architecture,design,engineering,exploration,future,infrastructure,innovation,materials,NASA,robots,technology,TEDx,universe,space"
"
","
","
","
","
","
",Adventures of an interplanetary architect,Xavier De Kestelier,12:44,"creativity,architecture,design,engineering,exploration,future,infrastructure,innovation,materials,NASA,robots,technology,TEDx,universe,space"
"
											Now, these projects
have been all over the world.
											A few years ago,
this map wasn't good enough.
											It was too small.
											We had to add this one,
											because we were going to do
a project on the Moon
											for the European Space Agency;
											they asked us to design a Moon habitat —
											and one on Mars with NASA,
											a competition to look
at a habitation on Mars.
									","
											Ora bem, estes projetos
têm sido feitos pelo mundo inteiro.
											Há uns anos, este mapa
não era suficientemente bom,
											era pequeno demais.
											Tivemos que juntar este,
											porque vamos fazer
um projeto na Lua
											para a Agência Espacial Europeia.
											Pediram-nos para desenhar
um ""habitat"" na Lua
											— e um em Marte, com a NASA
											um concurso para um projeto
de habitação em Marte.

									","
											Ces projets ont été menés
tout autour du monde.
											ll y a quelques années,
cette carte n'était pas assez bien.
											Elle était trop petite.
											Nous avons dû ajouter celle-ci
											parce que nous devions réaliser
un projet sur la Lune
											pour l'Agence Spatiale Européenne ;
											elle nous a demandé de créer
un habitat pour la Lune —
											et un sur Mars avec la NASA,
											lors d'une compétition pour la création
d'une habitation sur Mars.
									","
											Dünyanın pek çok yerinde gerçekleşmiş
projeler bunlar.
											Birkaç yıl önce,
bu harita yeteri kadar iyi değildi.
											Çok küçüktü.
											Biz de bir ekleme yaptık buna,
											çünkü ayda yeni bir projeye başlayacağız.
											Avrupa Uzay Ajansı adına;
											Ay'daki habitata uygun bir tasarım

											ve bir tane de Mars için istediler,
NASA ile beraber,
											Mars'ın doğal çevre koşullarını 
incelemek için bir şans.
									","
											Estos son proyectos de todo el mundo.
											Hace unos años, este mapa 
no era lo suficientemente bueno.
											Era muy pequeño.
											Tuvimos que agregar este,
											porque íbamos a hacer
un proyecto en la Luna
											para la Agencia Espacial Europea;
											nos pidieron que diseñáramos 
un hábitat lunar...
											y uno en Marte con la NASA,
											una competencia para diseñar
una habitación en Marte.
									","
											Diese Projekte waren 
über die ganze Welt verteilt.
											Vor ein paar Jahren war diese Karte
dann nicht mehr gut genug.
											Sie war zu klein.
											Wir mussten dies hier hinzufügen,
											weil wir dabei waren,
ein Projekt auf dem Mond zu starten,
											und zwar für die
Europäische Raumfahrtagentur.
											Zusammen mit der NASA sollten wir
eine Behausung auf dem Mond
											und eine auf dem Mars bauen.
											Ein Wettbewerb, um einen Lebensraum
auf dem Mars zu gestalten.
									",Adventures of an interplanetary architect,Xavier De Kestelier,12:44,"creativity,architecture,design,engineering,exploration,future,infrastructure,innovation,materials,NASA,robots,technology,TEDx,universe,space"
"
","
","
","
","
","
",Adventures of an interplanetary architect,Xavier De Kestelier,12:44,"creativity,architecture,design,engineering,exploration,future,infrastructure,innovation,materials,NASA,robots,technology,TEDx,universe,space"
"
											Whenever you go to another place,
											as an architect
											and try to design something,
											you look at the local architecture,
the precedents that are there.
											Now, on the Moon,
it's kind of difficult, of course,
											because there's only this.
											There's only the Apollo missions.
											So last that we went there,
I wasn't even born yet,
											and we only spent about three days there.
											So for me, that's kind of
a long camping trip, isn't it,
											but a rather expensive one.
									","
											Sempre que vamos a qualquer parte,
											enquanto arquitetos,
											e tentamos conceber qualquer coisa,
											observamos a arquitetura local,
os precedentes que lá há.
											Agora, na Lua, claro,
é um bocado difícil,
											porque só temos isto.
											Só há as missões Apollo.
											Mas a última vez que lá fomos,
eu ainda nem era nascido
											e só lá passámos três dias.
											Para mim, é uma longa
viagem, não é?
											mas também bastante cara.
									","
											À chaque fois que l'on se rend
quelque part,
											en tant qu'architecte,
											et que l'on essaie de créer quelque chose,
											on observe l'architecture locale,
les structures existantes.
											Sur la Lune, c'est évidemment
plutôt difficile
											parce qu'il n'y a que ça.
											Il n'y a que les missions Apollo.
											La dernière fois que nous y sommes allés,
je n'étais pas encore né
											et on n'a passé
que trois jours sur la Lune.
											Pour moi, c'est comme partir
camper, n'est-ce pas,
											mais en plus cher.
									","
											Ne zaman başka bir yere gitsen,
											bir mimar olarak
											bir şeyler tasarlamak istiyorsun.
											yerel mimariyi inceliyorsun,
daha önceki örneklere bakıyorsun.
											Peki ya, Ay
evet bu biraz zor, tabii ki de,
											çünkü tek bir örnek var.
											Sadece, Apollo görevleri.
											En son aya gittiğimizde,
ben daha doğmamıştım bile
											ve yalnızca üç gün geçirildi burada.
											Bu yüzden benim için, bu uzun 
süreli bir kamp seyahati, öyle değil mi?
											Tabii biraz pahalı olanlardan.
									","
											Cada vez que vas a otro lugar,
											como arquitecto
											tratas de diseñar algo,
											miras la arquitectura local,
los precedentes que están allí.
											Pero en la Luna,
es un poco difícil, por supuesto,
											porque solo hay esto.
											Solo están las misiones Apollo.
											La última vez que fuimos allí,
yo ni siquiera había nacido aún,
											y solo pasamos unos tres días allí.
											Para mí, eso fue una especie de
largo viaje de campamento, ¿no?,
											aunque bastante caro.
									","
											Immer, wenn man als Architekt
an einen neuen Ort geht
											und versucht, etwas zu entwerfen,
											sieht man sich die Architektur
vor Ort an: das, was schon da ist.
											Auf dem Mond ist das natürlich schwer,
											weil es da nur die Apollo-Missionen gibt.
											Als wir das letzte Mal dort waren,
war ich noch nicht mal geboren,
											und wir blieben nur etwa 3 Tage dort.
											Für mich ist das mehr
ein langer Camping-Trip,
											aber ein recht teurer.
									",Adventures of an interplanetary architect,Xavier De Kestelier,12:44,"creativity,architecture,design,engineering,exploration,future,infrastructure,innovation,materials,NASA,robots,technology,TEDx,universe,space"
"
","
","
","
","
","
",Adventures of an interplanetary architect,Xavier De Kestelier,12:44,"creativity,architecture,design,engineering,exploration,future,infrastructure,innovation,materials,NASA,robots,technology,TEDx,universe,space"
"
											Now, the tricky thing,
											when you're going to build
on another planet or a moon,
											is how to get it there,
how to get it there.
											So first of all,
											to get a kilogram, for example,
to the Moon's surface,
											it will cost about 200,000 dollars,
											very expensive.
											So you want to keep it very light.
											Second, space. Space is limited. Right?
											This is the Ariane 5 rocket.
											The space you have there
											is about four and a half meters
by seven meters, not that much.
											So it needs to be an architectural system
											that is both compact,
or compactable, and light,
											and I think I've got one right here.
											It's very compact,
											and it's very light.
											And actually,
											this is one I made earlier.
									","
											Agora, o que é complicado
											quando vamos construir
noutro planeta ou numa lua,
											é como lá chegar,
como colocá-lo lá.
											Assim, primeiro que tudo,
											levar um quilograma, por exemplo,
para a superfície da Lua
											custará cerca de 200 000 dólares,
											é muito dispendioso.
											Por isso, queremos fazer
uma coisa muito leve.
											Em segundo lugar, o espaço.
O espaço é limitado.
											Este é o foguetão Ariane 5.
											O espaço que temos aqui
											é de cerca de 4,5 metros
por 7 metros, não é muito.
											Tem que ser um sistema arquitetónico
											que seja compacto,
ou compactável, e leve.
											Acho que tenho aqui um.
											É muito compacto
											e é muito leve.
											Na verdade,
											fiz este primeiro.
									","
											Le hic lorsque l'on envisage de construire
sur une autre planète ou sur une lune,
											c'est comment acheminer le matériel.
											Tout d'abord,
											amener un kilogramme, par exemple,
sur la surface de la Lune,
											va coûter plus de 200 000 dollars,
											c'est très cher.
											Il faut donc voyager très léger.
											Deuxièmement, l'espace.
L'espace est limité, non ?
											Voici la fusée Ariane 5.
											L'espace que vous avez là
											fait à peu près 4,5 mètres par 7 mètres,
pas beaucoup.
											Le système architectural
											doit donc être à la fois compact,
compressible et léger
											et je crois que j'en ai un juste là.
											C'est très compact
											et très léger.
											Et en fait,
											en voilà un que j'ai fait tout à l'heure.
									","
											Buradaki esas nokta,
											başka bir gezegende ya da ayda
bir şey inşa etmek olduğunda,
											nasıl gideceğiz oraya,
nasıl yapacağız.
											Her şeyden önce,
											bir kiloluk bir şeyin, örneğin,
ay yüzeyine götüreceğimiz,
											maliyeti 200,000 dolar,
											çok pahalı.
											Dolayısıyla, çok hafif olmasını 
sağlamak lazım.
											İkincisi, alan. Alan kısıtlı, değil mi?
											Bu Ariane 5 roketi.
											İçindeki alan,
											dört buçuğa yedi metre, daha fazla değil.
											Mimaride kullandığımız sistemlere
ihtiyacımız var,
											sonuçta bunların da kompakt olması lazım,
katlanabilir ve hafif.
											Cebimde buna uygun bir şey var.
											Oldukça kompakt,
											ve oldukça hafif.
											Aslında,
											bu önceden yaptıklarımdan bir tanesi.
									","
											Ahora, lo complicado,
											si vas a construir 
en otro planeta o en una luna,
											es cómo llegar allí.
											Entonces antes que nada,
											llevar un kilo, por ejemplo,
a la superficie lunar,
											costará unos USD 200 000,
											algo muy costoso.
											Y debe ser algo muy liviano.
											Segundo, el espacio. 
El espacio es limitado, ¿sí?
											Este es el cohete Ariane 5.
											El espacio que tienes allí
											es de unos 4.5 X 7 m, 
no mucho.
											Debe ser un sistema arquitectónico
											a la vez compacto,
o compactable, y liviano,
											y creo que tengo uno aquí.
											Es muy compacto
											y muy liviano.
											Y, en realidad,
											este es uno que hice antes.
									","
											Wenn auf einem anderen Planeten
oder auf dem Mond bauen will,
											ist die Herausforderung:
											Wie bekommt man es dahin?
											Zunächst mal:
											Ein Kilogramm auf die Oberfläche
des Mondes zu bringen,
											kostet etwa 200.000 Dollar.
											Das ist sehr teuer.
											Deshalb sollte das Gepäck leicht sein.
											Zweitens, der Platz ist sehr begrenzt.
											Dies ist eine Ariane 5.
											Der Platz, den man da hat,
											ist etwa viereinhalb
mal sieben Meter, also nicht viel.
											Es muss also ein 
architektonisches System sein,
											das sowohl kompakt
oder verdichtbar als auch leicht ist,
											und ich glaube, ich habe hier eines.
											Es ist sehr kompakt,
											und es ist sehr leicht.
											Und ...
											dies hier ist eines, das ich 
früher erstellt habe.
									",Adventures of an interplanetary architect,Xavier De Kestelier,12:44,"creativity,architecture,design,engineering,exploration,future,infrastructure,innovation,materials,NASA,robots,technology,TEDx,universe,space"
