en,tr,pt,de,fr,title,speaker,duration,tags
"
","
","
","
","
",Why fascism is so tempting — and how your data could power it,Yuval Noah Harari,18:22,"algorithm,AI,biotech,democracy,future,government,history,humanity,leadership,politics,social change,society,technology"
"
											Hello, everyone.
											It's a bit funny, because I did write
that humans will become digital,
											but I didn't think it will happen so fast
											and that it will happen to me.
											But here I am, as a digital avatar,
											and here you are, so let's start.
											And let's start with a question.
											How many fascists are there
in the audience today?
									","
											Herkese merhaba.
											Bu biraz tuhaf, çünkü insanların
gelecekte dijital olacağını yazdım,
											ama bu kadar hızlı olacağını
											ve benim başıma geleceğini düşünmedim.
											Ama dijital bir avatar olarak buradayım
											sizler de buradasınız, o hâlde başlayalım.
											Bir soruyla başlayalım.
											Bugün izleyiciler arasında
kaç tane faşist var?
									","
											Olá a todos.
											É engraçado, porque eu escrevi
											que os seres humanos
iriam tornar-se digitais
											mas não julgava que isso
acontecesse tão depressa
											e que me acontecesse a mim.
											Mas aqui estou, como um avatar digital
											e aí estão vocês,
por isso, vamos começar.
											E vamos começar com uma pergunta.
											Quantos fascistas há aqui
nesta audiência?
									","
											Hallo, allerseits.
											Es ist ein wenig ulkig, weil ich schrieb,
dass Menschen digital werden,
											aber ich dachte nicht, dass es so schnell
											und mit mir geschieht.
											Aber hier bin ich als digitaler Avatar.
											Sie sind hier. Also fangen wir an.
											Beginnen wir mit einer Frage.
											Wie viele Faschisten
sind hier heute im Publikum?
									","
											Bonjour tout le monde.
											C'est drôle ; j'ai bien écrit
que les humains deviendraient numériques,
											mais je ne m'attendais pas
à ce que ça arrive si vite,
											ni que ça m'arrive à moi.
											Et pourtant me voici,
en avatar numérique,
											et vous êtes ici avec moi.
Alors, commençons !
											Laissez-moi débuter avec une question.
											Combien de fascistes sont avec nous
dans la salle aujourd'hui ?
									",Why fascism is so tempting — and how your data could power it,Yuval Noah Harari,18:22,"algorithm,AI,biotech,democracy,future,government,history,humanity,leadership,politics,social change,society,technology"
"
","
","
","
","
",Why fascism is so tempting — and how your data could power it,Yuval Noah Harari,18:22,"algorithm,AI,biotech,democracy,future,government,history,humanity,leadership,politics,social change,society,technology"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risos)
									","
											(Lachen)
									","
											(Rires)
									",Why fascism is so tempting — and how your data could power it,Yuval Noah Harari,18:22,"algorithm,AI,biotech,democracy,future,government,history,humanity,leadership,politics,social change,society,technology"
"
","
","
","
","
",Why fascism is so tempting — and how your data could power it,Yuval Noah Harari,18:22,"algorithm,AI,biotech,democracy,future,government,history,humanity,leadership,politics,social change,society,technology"
"
											Well, it's a bit difficult to say,
											because we've forgotten what fascism is.
											People now use the term ""fascist""
											as a kind of general-purpose abuse.
											Or they confuse fascism with nationalism.
											So let's take a few minutes
to clarify what fascism actually is,
											and how it is different from nationalism.
									","
											Cevaplamak biraz zor,
											çünkü faşizmin ne olduğunu 
unutmuş hâldeyiz.
											İnsanlar bugün ''faşist'' kelimesini
											genel amaçlı hakaret olarak kullanıyor.
											Veya milliyetçilikle karşılaştırıyorlar.
											O yüzden faşizmin aslında ne olduğunu
ve milliyetçilikten farkını
											birkaç dakika irdeleyelim.
									","
											É um pouco difícil calcular,
											porque esquecemos o que é o fascismo.
											As pessoas agora usam o termo ""fascista""
											como uma certa violência
para todos os fins.
											Ou confundem fascismo com nacionalismo.
											Por isso, vamos gastar uns minutos
a esclarecer o que é o fascismo
											e como é diferente do nacionalismo.
									","
											Das ist schwer zu sagen,
											weil wir vergaßen, was Faschismus ist.
											Leute benutzen den Begriff ""Faschist""
											als eine Art Allzweck-Beleidigung
											oder verwechseln Faschismus
mit Nationalismus.
											Nehmen wir uns ein paar Minuten,
um zu klären, was Faschismus wirklich ist,
											und was die Unterschiede
zum Nationalismus sind.
									","
											Eh oui, c'est un peu difficile à dire,
											car on a oublié ce qu'est le fascisme.
											De nos jours, les gens utilisent
le terme « fasciste »
											pour parler de toute forme d'abus,
de manière générale.
											Ou alors ils confondent
le fascisme et le nationalisme.
											Prenons donc quelques minutes pour définir
ce qu'est vraiment le fascisme,
											et pour comprendre comment
il diffère du nationalisme.
									",Why fascism is so tempting — and how your data could power it,Yuval Noah Harari,18:22,"algorithm,AI,biotech,democracy,future,government,history,humanity,leadership,politics,social change,society,technology"
"
","
","
","
","
",Why fascism is so tempting — and how your data could power it,Yuval Noah Harari,18:22,"algorithm,AI,biotech,democracy,future,government,history,humanity,leadership,politics,social change,society,technology"
"
											The milder forms of nationalism
have been among the most benevolent
											of human creations.
											Nations are communities
of millions of strangers
											who don't really know each other.
											For example, I don't know
the eight million people
											who share my Israeli citizenship.
											But thanks to nationalism,
											we can all care about one another
and cooperate effectively.
											This is very good.
											Some people, like John Lennon,
imagine that without nationalism,
											the world will be a peaceful paradise.
											But far more likely,
											without nationalism,
we would have been living in tribal chaos.
											If you look today at the most prosperous
and peaceful countries in the world,
											countries like Sweden
and Switzerland and Japan,
											you will see that they have
a very strong sense of nationalism.
											In contrast, countries that lack
a strong sense of nationalism,
											like Congo and Somalia and Afghanistan,
											tend to be violent and poor.
									","
											İnsanoğlunun hayırseverliğinde
milliyetçiliğin ılımlı biçimlerini
											gözlemliyoruz.
											Milletler aslında birbirini tanımayan
											milyonlarca yabancı toplulukları.
											Örneğin İsrail vatandaşlığımı paylaştığım
											8 milyon insanı tanımıyorum.
											Ancak milliyetçilik sayesinde,
											birbirimizi önemsiyor
ve birlikte çalışabiliyoruz.
											Bu çok güzel.
											John Lennon gibi kimileri
milliyetçilik olmadan
											dünyanın cennet gibi 
huzurlu olacağını hayal ediyor.
											Daha olası bir teori ise
											milliyetçilik olmadan
kabile karmaşası içinde yaşayacağımız.
											Bugün dünyanın en zengin 
ve huzurlu ülkelerine baktığınızda
											İsveç, İsviçre ve Japonya gibi ülkeler,
											bu ülkelerde güçlü bir milliyetçilik 
anlayışı olduğunu görürsünüz.
											Buna karşın, güçlü bir milliyetçilik
anlayışı olmayan ülkelerde,
											örneğin, Kongo, Somali ve Afganistan,
											şiddet ve yoksulluğa meyilli olurlar.
									","
											As formas mais suaves de nacionalismo
											encontram-se entre as criações
humanas mais benignas.
											As nações são comunidades
de milhões de estranhos
											que não se conhecem uns aos outros.
											Por exemplo, eu não conheço
os oito milhões de pessoas
											com quem partilho
a cidadania de israelita.
											Mas, graças ao nacionalismo,
											todos nos preocupamos e cooperamos
uns com os outros com eficácia.
											Isso é muito bom.
											Há pessoas, como John Lennon,
que imaginam
											que, sem nacionalismo,
o mundo seria um paraíso pacífico.
											Mas, muito mais provavelmente,
											sem nacionalismo,
viveríamos num caos tribal.
											Se olharmos hoje para os países
mais prósperos e pacíficos do mundo,
											países como a Suécia,
a Suíça e o Japão,
											veremos que eles têm
um forte sentimento de nacionalismo.
											Em contraste, países que não possuem
um forte sentimento de nacionalismo,
											como o Congo, a Somália e o Afeganistão,
											têm tendência a ser violentos e pobres.
									","
											Die milderen Formen des Nationalismus

											gehörten zu den gütigsten,
menschlichen Schöpfungen.
											Nationen sind Gemeinschaften
von Millionen Fremden,
											die einander nicht wirklich kennen.
											Beispielsweise kenne ich 
die acht Millionen Menschen nicht,
											die, wie ich, Israelis sind.
											Aber dank des Nationalismus
											können wir uns alle umeinander kümmern
und wirkungsvoll zusammenarbeiten.
											Das ist sehr gut.
											Manche Leute wie John Lennon
stellen sich vor,
											dass die Welt ohne Nationalismus
ein friedliches Paradies wäre.
											Aber viel wahrscheinlicher
würden wir ohne Nationalismus
											in Stammeswirren leben.
											Schaut man sich die reichsten
und friedlichsten Länder auf der Welt
											wie Schweden, die Schweiz und Japan an,
											erkennt man, dass sie einen
sehr starken Nationalismus pflegen.
											Dagegen neigen Länder, die
keinen starken Nationalismus haben,
											wie Kongo, Somalia und Afghanistan, 
dazu, gewalttätig und arm zu sein.
									","
											Les formes modérées de nationalisme
ont été parmi les créations
											les plus bienveillantes de l'homme.
											Les nations sont des communautés
composées de millions d'étrangers
											qui ne se connaissent pas vraiment.
											Par exemple, je ne connais pas
les huit millions de personnes
											qui sont, comme moi,
des citoyens israéliens.
											Mais grâce au nationalisme,
											nous pouvons se soucier les uns des autres
et coopérer de manière efficace.
											C'est très bien.
											Certaines personnes, comme John Lennon,
imaginent qu'un monde sans nationalisme
											serait un paradis paisible.
											Il est fort plus probable
que sans le nationalisme,
											nous serions plongés dans un chaos tribal.
											De nos jours, en observant les pays
les plus prospères et paisibles au monde,
											comme la Suède, la Suisse ou le Japon,
											vous verrez qu'ils ont
un fort sentiment nationaliste.
											Par contre, dans les pays qui n'ont pas
ce sens du nationalisme,
											comme le Congo, la Somalie
ou alors l'Afghanistan,
											on retrouve plus de violence
et de pauvreté.
									",Why fascism is so tempting — and how your data could power it,Yuval Noah Harari,18:22,"algorithm,AI,biotech,democracy,future,government,history,humanity,leadership,politics,social change,society,technology"
"
","
","
","
","
",Why fascism is so tempting — and how your data could power it,Yuval Noah Harari,18:22,"algorithm,AI,biotech,democracy,future,government,history,humanity,leadership,politics,social change,society,technology"
"
											So what is fascism, and how
is it different from nationalism?
											Well, nationalism tells me
that my nation is unique,
											and that I have special obligations
towards my nation.
											Fascism, in contrast, tells me
that my nation is supreme,
											and that I have exclusive
obligations towards it.
											I don't need to care about anybody
or anything other than my nation.
											Usually, of course,
people have many identities
											and loyalties to different groups.
											For example, I can be a good patriot,
loyal to my country,
											and at the same time,
be loyal to my family,
											my neighborhood, my profession,
											humankind as a whole,
											truth and beauty.
											Of course, when I have different
identities and loyalties,
											it sometimes creates conflicts
and complications.
											But, well, who ever told you
that life was easy?
											Life is complicated.
											Deal with it.
									","
											Peki faşizm ne
ve milliyetçilikten nasıl ayrılıyor?
											Milliyetçiliğe göre milletiniz eşsizdir
											ve milletinize karşı
özel yükümlülükleriniz vardır.
											Buna karşın faşizmde
milletiniz üstündür
											ve milletinize karşı
harici yükümlülükleriniz vardır.
											Milletiniz dışında kimseyi
veya hiçbir şeyi umursamazsınız.
											Tabii genellikle insanların
değişik gruplara ilişkin
											pek çok kimlik ve sadakatlari olabilir.
											Mesela ben iyi bir vatansever olabilirim,
ülkeme sadık da olabilirim,
											aynı zamanda aileme,
											mahalleme, mesleğime,
											bütün olarak insanlığa,
											gerçek ve güzele de sadık olabilirim.
											Farklı kimlik ve sadakatim olduğunda
											bu durum bazen çatışma
ve karışıklık yaratacaktır.
											Ama zaten hayat ne zaman basit oldu ki?
											Hayat karışık.
											Başa çıkmamız lazım.
									","
											Então, o que é o fascismo
e qual é a sua diferença do nacionalismo?
											Bem, o nacionalismo diz-me
que a minha nação é especial
											e que eu tenho obrigações especiais
para com a minha nação.
											O fascismo, em contrapartida,
diz-me que a minha nação é superior
											e que eu tenho obrigações exclusivas
para com ela.
											Não preciso de me preocupar
com ninguém nem com mais nada
											a não ser com a minha nação.
											Normalmente, claro,
as pessoas têm muitas identidades
											e fidelidades a diferentes grupos.
											Por exemplo, eu posso ser
bom patriota, leal ao meu país
											e, ao mesmo tempo,
ser leal à minha família
											aos meus vizinhos, à minha profissão,
											à humanidade, como um todo.
											à verdade e à beleza.
											Claro que, quando tenho 
diferentes identidades e lealdades.
											por vezes, isso cria conflitos
e complicações.
											Mas quem é que nos disse
que a vida era fácil?
											A vida é complicada.
											Temos que saber lidar com ela.
									","
											Was ist Faschismus und wie unterscheidet
er sich vom Nationalismus?
											Der Nationalismus sagt mir,
dass meine Nation einzigartig ist
											und ich eine besondere Verpflichtung
gegenüber meiner Nation habe.
											Dagegen sagt mir der Faschismus,
dass meine Nation die höchste ist
											und ich alleinige Verpflichtungen
ihr gegenüber habe.
											Ich brauche mich um niemanden
oder irgendwas anderes
											als um meine Nation zu kümmern.
											Selbstverständlich haben Leute gewöhnlich

											viele Identitäten und Loyalitäten
gegenüber unterschiedlichen Gruppen.
											Beispielsweise kann ich ein guter Patriot
und loyal gegenüber meinem Land sein
											und gleichzeitig loyal
gegenüber meiner Familie,
											meiner Nachbarschaft, meinem Beruf,
											der Menschheit insgesamt,
der Wahrheit und Schönheit sein.
											Wenn ich verschiedene Identitäten
und Loyalitäten habe,
											erzeugt das selbstverständlich
manchmal Konflikte und Komplikationen.
											Aber wer sagt denn,
dass das Leben einfach ist?
											Das Leben ist kompliziert.
											Komm damit klar.
									","
											Qu'est-ce donc que le fascisme ?
Comment est-il différent du nationalisme ?
											Eh bien, le nationalisme me dit
que ma nation est unique,
											et que j'ai des obligations particulières
envers elle.
											Le fascisme, par contre, me dit
que ma nation est suprême,
											et que j'ai des obligations exclusives
envers elle.
											Je n'ai pas à me soucier de quiconque ou
de quoi que ce soit d'autre que ma nation.
											Évidemment, les gens ont généralement
de multiples identités
											et loyautés envers divers groupes.
											Par exemple, je peux être un bon patriote,
loyal envers mon pays,
											puis, en même temps,
être loyal envers ma famille,
											envers mon voisinage, ma profession,
											envers toute la race humaine,
											envers la vérité, ou la beauté.
											Bien entendu, lorsque j'ai
diverses identités et allégeances,
											cela peut créer des conflits
et des complications.
											Mais, après tout, qui vous a dit
que la vie serait simple ?
											La vie est compliquée.
											Apprenez à la gérer.
									",Why fascism is so tempting — and how your data could power it,Yuval Noah Harari,18:22,"algorithm,AI,biotech,democracy,future,government,history,humanity,leadership,politics,social change,society,technology"
