en,tr,fr,de,pt,title,speaker,duration,tags
"
","
","
","
","
",The search for humanity's roots,Zeresenay Alemseged,15:51,"Africa,anthropology,exploration,global issues,human origins,humanity,paleontology,science"
"
											I have 18 minutes to tell you what happened
											over the past six million years.
											All right.
											We all have come from a long way,
											here in Africa, and converged in this region of Africa,
											which is a place where 90 percent of our evolutionary process took place.
											And I say that not because I am African,
											but it's in Africa that you find the earliest evidence
											for human ancestors, upright walking traces,
											even the first technologies in the form of stone tools.
											So we all are Africans, and welcome home.
											All right.
									","
											Size geçen 6 milyon yılı aşkın sürede ne olduğunu anlatmak için
											18 dakikam var.
											Evet.
											Hepimiz uzun bir yoldan geldik,
											Afrika'da burda, ve Afrika'nın yakınlaşan bu bölgesinde,
											ki burası evrim sürecimizin %90 ının gerçekleştiği yerdir.
											Ve bunu ben Afrikalı olduğum için söylemiyorum,
											insanın atalarına, dikleşen yürüyüş izlerine,
											hatta kemikten yapılmış araçların ilk teknolojilerine ait
											en eski kanıtları bulabileceğiniz yer Afrika'dadır.
											Yani biz hepimiz Afrikalıyız ve evinize hoşgeldiniz.
											Evet
									","
											J'ai 18 minutes pour vous raconter ce qui s'est passé
											depuis les six derniers millions d'années.
											Bien.
											Nous avons parcouru un long chemin,
											ici en Afrique, et avons convergé dans cette région d'Afrique,
											un endroit où s'est passé 90% de notre évolution.
											Je ne dis pas cela parce que je suis Africain,
											mais parce que c'est en Afrique que l'on trouve les traces les plus anciennes
											des ancêtres humains, des traces de bipédisme,
											et même les premières technologies sous forme d'outils en pierre.
											Nous sommes donc tous Africains et bienvenue chez vous.
											Bien.
									","
											Ich habe 18 Minuten, um Ihnen zu erzählen,
											was in den letzten sechs Millionen Jahren passiert ist.
											Na gut.
											Wir alle haben einen weiten Weg hinter uns
											und haben uns hier in dieser Region Afrikas zusammengefunden,
											wo 90 Prozent unseres Evolutionsprozesses stattgefunden haben.
											Ich sage das nicht nur, weil ich Afrikaner bin,
											aber hier in Afrika finden wir die ältesten Belege
											für menschliche Vorfahren, Spuren des aufrechten Gangs
											und sogar frühe Technologie in Form von Steinwerkzeugen.
											Wir sind also alle Afrikaner: Willkommen daheim.
											Gut.
									","
											Tenho 18 minutos para contar
o que aconteceu
											durante os seis milhões de anos passados.
											Tudo bem.
											Percorremos todos um longo caminho
											aqui em África e convergimos
para esta região de África,
											que é um local onde ocorreu 90% 
do nosso processo de evolução.
											Digo isto, não por ser africano,
											mas porque é em África que encontramos
os vestígios mais antigos
											de antepassados humanos,
vestígios de seres que andavam eretos,
											e até as primeiras tecnologias
na forma de utensílios de pedra.
											Assim, somos todos africanos
e bem-vindos à vossa terra.
									",The search for humanity's roots,Zeresenay Alemseged,15:51,"Africa,anthropology,exploration,global issues,human origins,humanity,paleontology,science"
"
","
","
","
","
",The search for humanity's roots,Zeresenay Alemseged,15:51,"Africa,anthropology,exploration,global issues,human origins,humanity,paleontology,science"
"
											I'm a paleoanthropologist, and my job is to define
											man's place in nature and explore what makes us human.
											And today, I will use Selam, the earliest child ever discovered,
											to tell you a story of all of us.
											Selam is our most complete skeleton of a three-year-old girl
											who lived and died 3.3 million years ago.
											She belongs to the species known as Australopithecus afarensis.
											You don't need to remember that.
											That's the Lucy species, and was found by my research team
											in December of 2000 in an area called Dikika.
											It's in the northeastern part of Ethiopia.
											And Selam means peace in many Ethiopian languages.
											We use that name to celebrate peace in the region and in the planet.
											And the fact that it was the cover story of all these famous magazines
											gives you already an idea of her significance, I think.
									","
											Ben bir paleoantropolojistim ve benim işim
											insanın doğadaki yerini ve bizi neyin insan yaptığını tanımlamaktır.
											Ve bugün, size hepimizin hikayesini anlatmak için,
											keşfedilmiş en eski çocuk olan Selam'ı kullanacağım.
											Selam 3.3 milyon yıl önce yaşamış ve ölmüş üç yaşlarındaki bir kızın
											en eksiksiz iskeletidir.
											O, Australopithecus afarensis olarak bilinen türe aittir.
											Bunu hatırlamanıza gerek yok.
											Bir Lucy türüdür ve benim araştırma takımım tarafından bulundu
											Aralık 2000'de Dikika denilen bir alanda.
											Burası Etiyopya'nın kuzeydoğusundadır.
											Ve ""Selam"" bir çok Etiyopya dilinde ""barış"" anlamına gelir.
											Bu ismi bölgede ve gezegende barışı yüceltmek için kullandık.
											Ve gerçek şu ki; o, bütün bu ünlü dergiler için kapak hikayesiydi.
											size önceden onun önemiyle ilgili bir fikir verir, bence.
									","
											Je suis un paléoanthropologue et mon travail consiste à définir
											la place de l'homme dans la nature et à explorer ce qui fait de nous des humains,
											et aujourd'hui je me servirai de Selam, l'enfant le plus ancien jamais découvert,
											pour vous raconter une histoire qui nous concerne tous.
											Selam est le squelette le plus complet que nous ayons d'une enfant de trois ans
											qui a vécu et est morte il y a 3,3 millions d'années.
											Elle appartient à l'espèce Australopithèque afarensis.
											Vous n'avez pas besoin de retenir cela.
											Elle fait partie de la même espèce que Lucy, et a été découverte par mon équipe
											en décembre 2000 dans une zone qui s'appelle Dikika.
											Elle est située au Nord-Est de l'Ethiopie.
											Selam veut dire ""paix"" dans beaucoup de langues éthiopiennes.
											Nous utilisons ce nom pour célébrer la paix dans la région et sur la planète.
											Le fait qu'elle ait fait la couverture de tous ces magazines très connus
											vous donne déjà une idée de son importance, je pense.
									","
											Ich bin Paläoanthropologe, meine Aufgabe ist es,
											die Rolle des Menschen in der Natur festzustellen und zu erkunden, was uns zu Menschen macht.
											Ich möchte Ihnen Selam vorstellen, das älteste Kind, das je entdeckt wurde,
											und Ihnen mit ihrer Hilfe unsere Geschichte erzählen.
											Selam ist das fast vollständige Skelett eines dreijährigen Mädchens,
											das vor 3,3 Millionen Jahren gelebt hat.
											Sie lässt sich in die Spezies Australopithecus afarensis einordnen,
											aber das brauchen Sie sich nicht zu merken.
											Das ist die Spezies von Lucy, und mein Forschungsteam hat sie
											im Dezember 2000 in der Dikika-Gegend
											im Nordosten von Äthiopien entdeckt.
											Und in vielen äthiopischen Sprachen bedeutet Selam ""Frieden"".
											Mit diesem Namen wollen wir Frieden hier in der Region und auf der ganzen Welt feiern.
											Die Tatsache, dass Selam es auf die Titelseite all dieser einschlägigen Zeitschriften geschafft hat,
											wird Ihnen etwas über das Ausmaß an Bedeutung dieses Fundes sagen.
									","
											Sou paleontólogo-antropólogo
e a minha função é definir
											o lugar do homem na natureza
e explorar o que nos torna humanos.
											Hoje, vou usar Selam,
a mais antiga criança já descoberta,
											para vos contar uma história
de todos nós.
											Selam é o esqueleto mais completo
de uma rapariga de três anos
											que viveu e morreu
há 3,3 milhões de anos.
											Pertence à espécie conhecida
por Australopithecus afarensis.
											Não precisam de decorar isto.
											É a espécie de Lucy, e foi encontrada
pela minha equipa de investigação
											em dezembro de 2000, 
numa área chamada Dikika.
											Situa-se na parte nordeste da Etiópia.
											Selam significa paz, 
em muitas línguas da Etiópia.
											Usamos este nome para festejar a paz
na região e no planeta.
											O facto de ter sido capa
de todas estas revistas famosas,
											dá-nos uma ideia do seu significado.
									",The search for humanity's roots,Zeresenay Alemseged,15:51,"Africa,anthropology,exploration,global issues,human origins,humanity,paleontology,science"
"
","
","
","
","
",The search for humanity's roots,Zeresenay Alemseged,15:51,"Africa,anthropology,exploration,global issues,human origins,humanity,paleontology,science"
"
											After I was invited by TED, I did some digging,
											because that's what we do, to know about my host.
											You don't just jump into an invitation.
											And I learned that the first technology appeared
											in the form of stone tools, 2.6 million years ago.
											First entertainment comes evidence from flutes that are 35,000 years old.
											And evidence for first design comes 75,000 years old — beads.
											And you can do the same with your genes and track them back in time.
											And DNA analysis of living humans and chimpanzees
											teaches us today that we diverged sometime around seven million years ago
											and that these two species share over 98 percent of the same genetic material.
											I think knowing this is a very useful context
											within which we can think of our ancestry.
									","
											TED tarafından davet edildikten sonra, bazı araştırmalar yaptım,
											ev sahibimiz hakkında bilgi edinmek için yaptığımız bir şeydir bu.
											Bir davete öylece atlamazsınız.
											Ve öğrendim ki ilk teknoloji
											2.6 milyon yıl önce kemikten yapılmış aletlerde göründü.
											İlk eğlence kanıtı flütten gelir ve 35.000 yıllıktır.
											İlk dizayn için elde edilen kanıt 75.000 yıllıktır — boncuklar.
											Aynı şeyi genlerinizle yapabilirsiniz, onları zamanda geriye takip edebilirsiniz.
											Yaşayan insanların ve şempanzelerin analizi
											bize 7 milyon yıl önce bir zamanda birbirimizden ayrıldığımızı
											ve bu iki türün %98'in üstünde aynı genetik materyali paylaştığını gösteriyor.
											Bence bunu bilmek içerisinde atalarımızı düşünebileceğimiz
											çok önemli bir bağlam.
									","
											Après avoir été invité par TED j'ai creusé un peu,
											parce que c'est ce que nous faisons, pour mieux connaître mon hôte.
											On ne se jette pas comme ça sur une invitation.
											Et j'ai appris que la première technologie est apparue
											sous forme d'outils en pierre il y a 2,6 millions d'années.
											Les premières preuves de divertissement proviennent de flûtes vieilles de 35,000 ans.
											Et les premières traces de design viennent de perles vieilles de 75,000 ans.
											Vous pouvez faire la même chose avec vos gènes et rechercher leurs ancêtres en remontant dans le temps.
											Et puis l'analyse des humains et des chimpanzés vivants
											nous montre aujourd'hui que la divergence s'est produite il y a environ sept millions d'années,
											et que ces deux espèces ont en commun plus de 98% de leur matériel génétique.
											Je pense que savoir cela nous donne un contexte très utile
											pour nous aider à penser à nos ancètres.
									","
											Nachdem ich von TED eingeladen wurde, habe ich einige Nachforschungen angestellt,
											so machen wir Anthropologen das halt, um etwas über meinen Gastgeber herauszufinden.
											Etwas Vorbereitung muss schon sein.
											Und dabei fand ich heraus, dass die erste Technologie
											vor 2,6 Millionen Jahren in Form von Steinwerkzeugen auftauchte.
											Flöten, die 35.000 Jahre alt sind, stellen den ersten Nachweis von Unterhaltung dar.
											Und das erste Design ist etwa 75.000 Jahre alt – diese Perlen.
											Unsere Gene kann man genau so durch die Zeit zurückverfolgen.
											Die Analyse von heute lebenden Menschen und Schimpansen zeigt,
											dass wir uns vor etwa sieben Millionen Jahren auseinanderentwickelt haben,
											und dass das Erbgut beider Spezies zu mehr als 98 Prozent identisch ist.
											Dieses Wissen bietet uns einen sehr hilfreichen Hintergrund,
											vor dem wir über unsere Herkunft nachdenken können.
									","
											Depois de ter sido convidado
pelo TED, eu fiz alguma pesquisa.
											porque é o que fazemos,
para conhecer melhor o anfitrião.
											Não aceitamos um convite
de qualquer maneira.
											E aprendi que a primeira tecnologia
											foram os utensílios de pedra,
há 2,6 milhões de anos.
											O primeiro entretenimento é comprovado
pelas flautas com 35 000 anos.
											E as provas do primeiro ""design""
têm 75 000 anos — as contas.
											Vocês podem fazer o mesmo
com os genes, verificar as vossas origens.
											A análise do ADN de seres humanos
e de chimpanzés, vivos,
											ensina-nos que divergimos
há uns sete milhões de anos
											e que estas duas espécies partilham
mais de 98% do mesmo material genético.
											Penso que saber isto
é um contexto muito útil,
											para nos ajudar a pensar
nas nossas origens.
									",The search for humanity's roots,Zeresenay Alemseged,15:51,"Africa,anthropology,exploration,global issues,human origins,humanity,paleontology,science"
"
","
","
","
","
",The search for humanity's roots,Zeresenay Alemseged,15:51,"Africa,anthropology,exploration,global issues,human origins,humanity,paleontology,science"
"
											However, DNA analysis informs us only about
											the beginning and the end, telling us nothing
											about what happened in the middle.
											So, for us, paleoanthropologists, our job is to find the hard evidence,
											the fossil evidence, to fill in this gap
											and see the different stages of development.
											Because it's only when you do that, that you can talk about —
											(Laughter) —
											it's only when you do that, [that] you can talk about
											how we looked like and how we behaved at different times,
											and how those likes and looks and behaviors changed through time.
											That then gives you an access
											to explore the biological mechanisms
											and forces that are responsible for this gradual change
											that made us what we are today.
											But finding the hard evidence is a very complicated endeavor.
											It's a systematic and scientific approach,
											which takes you to places that are remote, hot, hostile and often with no access.
									","
											Ancak, bu analiz bizi sadece
											başlangıç ve bitiş hakkında bilgilendiriyor, ortada ne olduğu hakkında
											hiç bir şey söylemiyor.
											Yani, biz paleoantropolojistlerin görevi zor olan kanıtı bulmaktır,
											boşluğu dolduracak olan fosil kanıtını
											ve gelişimin değişik evrelerini görmektir.
											Çünkü sadece bunu yaptığınız zaman, konuşabilirsiniz —
											(Gülüşmeler) —
											Sadece bunu yaptığınız zaman, nasıl göründüğümüz
											ve farklı zamanlarda nasıl davrandığımız,
											ve hoşlanmaların, bakışların, davranışların zaman içinde nasıl değiştiği hakkında konuşabiliriz.
											Ve bu, bize, biyolojik mekanizmaları,
											bizi bugün olduğumuz şey yapan
											aşamalı değişimden sorumlu olan kuvvetleri keşfetmemiz için
											bir bağlantı verir.
											Ancak zor kanıtı bulmak karmaşık bir uğraştır.
											Bu sizi uzak, sıcak, vahşi ve genellikle ulaşımı olmayan alanlara götüren,
											sistematik ve bilimsel bir yaklaşımdır.
									","
											Cependant, cette analyse ne nous informe que sur
											le début et la fin, et ne nous dit rien
											sur ce qui s'est passé à mi-chemin.
											Notre travail à nous les paléoanthropologues est de trouver des preuves tangibles,
											des fossiles, pour combler ce vide
											et voir les différentes étapes du développement.
											Parce que c'est seulement lorsque vous faites cela que vous pouvez discuter de...
											(Rires)
											C'est seulement lorsque vous faites cela que vous pouvez discuter
											de ce à quoi nous ressemblions et de la manière dont nous nous comportions à différentes époques,
											et comment ces préférences, aspects et comportements ont évolué au cours du temps,
											ce qui vous donne ensuite accès
											à l'exploration des mécanismes biologiques
											et des forces responsables de ce changement graduel
											qui ont fait de nous ce que nous sommes aujourd'hui.
											Mais trouver des preuves tangibles est une tâche très difficile.
											Il faut une approche scientifique systématique,
											qui va vous emmener dans des endroits isolés, très chauds, hostiles et souvent inaccessibles.
									","
											Allerdings liefert uns diese Analyse nur Informationen über
											den Anfang und das Ende, ohne uns etwas
											darüber mitzuteilen, was dazwischen passiert ist.
											Unsere Aufgabe als Paläoanthropologen ist es, stichhaltige Beweise,
											nämlich Fossilien, zu finden, die diese Wissenslücke schließen
											und die verschiedenen Entwicklungsstadien ersichtlich machen können.
											Denn nur so können wir darüber reden...
											(Lachen)
											Nur dann können wir darüber reden,
											wie wir zu verschiedenen Zeiten ausgesehen und uns verhalten haben,
											und wie Aussehen und Verhalten sich über lange Zeiträume geändert haben.
											Dies wiederum ermöglicht es uns,
											die biologischen Mechanismen und die treibenden Kräfte
											zu erforschen, die für die graduelle Entwicklung verantwortlich sind,
											die uns zu dem gemacht haben, was wir heute sind.
											Doch es ist ein schwieriges Unterfangen, diese Beweise zu finden.
											Es erfordert eine systematische und wissenschaftliche Herangehensweise,
											die uns an abgelegene, feindselige und oft nur schwer erreichbare Orte bringt.
									","
											Mas a análise do ADN só nos informa
											sobre o início e o fim,

											e nada nos diz sobre
o que aconteceu pelo meio.
											A função dos paleontólogos-antropólogos
é encontrar as provas,
											os indícios fósseis,
para preencher essa lacuna
											e ver as diferentes fases
de desenvolvimento.
											Porque, só quando fazemos isso,
é que podemos falar de...
											(Risos)
											só quando fazemos isso,
é que podemos falar
											de como éramos e como nos 
comportávamos, em épocas diferentes
											e como esse aspeto e comportamentos
evoluíram com os tempos.
											Só isso nos dá acesso
											a explorar o mecanismo biológico
											e as forças responsáveis
por essa mudança gradual
											que fez de nós o que somos hoje.
											Mas encontrar essas provas
é uma tarefa complicada.
											É uma abordagem sistemática e científica
											que nos leva a locais longínquos, quentes,
hostis e, muitas vezes, sem acessos.
									",The search for humanity's roots,Zeresenay Alemseged,15:51,"Africa,anthropology,exploration,global issues,human origins,humanity,paleontology,science"
"
","
","
","
","
",The search for humanity's roots,Zeresenay Alemseged,15:51,"Africa,anthropology,exploration,global issues,human origins,humanity,paleontology,science"
"
											Just to give you an example, when I went to Dikika,
											where Selam was found, in '99 — and it's about 500 kilometers
											from Addis Ababa, the capital of Ethiopia.
											It took us only seven hours to do the first 470 kilometers of the 500,
											but took four, solid hours to do the last only 30 kilometers.
											With the help of the locals and using just shovels and picks, I made my way.
											I was the first person to actually drive a car to the spot.
											When you get there, this is what you see,
											and it's the vastness of the place which makes you feel helpless and vulnerable.
											And once you make it there, the big question is where to start.
											(Laughter)
											And you find nothing for years and years.
									","
											Size bir örnek vereyim, Dikika'ya gittiğimde,
											1999'da Selam'ın bulunduğu yere — orası Etiyopya'nın başkenti olan
											Addis Ababa'dan yaklaşık 500 km uzaktadır.
											500 kilometrenin ilk 470'ini gitmek sadece 7 saatimi aldı,
											geriye kalan 30 kilometreyi gitmek ise 4 çok zor saat sürdü.
											Yerli insanların yardımıyla ve sadece kürek ve kazmaları kullanarak kendi yolumu yaptım.
											Ben, gerçek anlamda tepeye doğru giden ilk insandım.
											Oraya vardığınızda, gördüğünüz şey işte bu,
											size kendinizi çaresiz ve zayıf hissettiren bir enginlik.
											Ve bir kez o noktaya vardığınızda, asıl büyük soru şudur, nereden başlayacağız.
											(Gülüşmeler)
											Ve yıllar yıllar boyunca hiç bir şey bulamazsınız.
									","
											Pour vous donner un exemple, lorsque je suis allé à Dikika,
											là où Selam à été trouvée en 99, à environ 500 kilomètres
											d'Addis Abeba, la capitale de l'Ethiopie,
											cela ne nous a pris que sept heures pour faire les premiers 470 kilomètres,
											mais il nous a fallu quatre bonnes heures pour parcourir les derniers trente kilomètres.
											Avec l'aide des populations locales et à l'aide de simples pelles et de pioches, j'ai tracé mon chemin.
											J'ai été la première personne qui a, de fait, conduit une voiture jusqu'à cet endroit.
											Quand vous arrivez là-bas, voici ce que vous voyez,
											et l'immensité de l'endroit vous donne une impression d' impuissance et de vulnérabilité.
											Une fois que vous êtes là, la vraie question qui se pose est par où commencer.
											(Rires)
											Et pendant des années, vous ne trouvez rien.
									","
											Um Ihnen nur ein Beispiel zu nennen: Dikika,
											wo wir Selam im Jahre 1999 entdeckt haben, ist ungefähr 500 km
											von Addis Abeba, der Hauptstadt Äthiopiens, entfernt.
											Für die ersten 470 der 500 km haben wir nur sieben Stunden gebraucht,
											aber für die letzten dreißig brauchten wir ganze vier Stunden.
											Mit einheimischer Hilfe, mit Schaufeln und Spitzhacken bahnten wir uns einen Weg.
											Ich war der erste, der jemals mit einem Auto dorthin gefahren ist.
											Und wenn man angekommen ist, bietet sich einem dieser Anblick:
											Durch die unfassbare Weite der Landschaft allein fühlt man sich hilflos und verletzlich.
											Und hat man es erst an diesen Ort geschafft, fragt man sich, wo man bloß anfangen soll.
											(Lachen)
											Und man findet nichts, und das über Jahre.
									","
											Só para vos dar um exemplo,
quando fui a Dikika,
											onde encontrámos Selam, em 1999
— fica a cerca de 500 km
											de Adis Abeba, a capital da Etiópia —
											só levámos sete horas para fazer
os primeiros 470 km, desses 500.
											Mas demorámos quatro horas inteirinhas
para os últimos 30 km.
											Com a ajuda dos locais e usando
apenas pás e picaretas, abrimos caminho.
											Eu fui a primeira pessoa
a guiar um carro, até ao local.
											Quando lá chegámos, era como veem.
											A vastidão do local faz-nos sentir
impotentes e vulneráveis.
											Depois de lá chegarmos,
o problema era por onde começar.
											(Risos)
											Não encontrámos nada,
durante anos e anos.
									",The search for humanity's roots,Zeresenay Alemseged,15:51,"Africa,anthropology,exploration,global issues,human origins,humanity,paleontology,science"
