en,tr,fr,es,pt,title,speaker,duration,tags
"
","
","
","
","
",We're building a dystopia just to make people click on ads,Zeynep Tufekci,22:55,"machine learning,AI,politics,algorithm,business,sociology,corruption,consumerism,data,economics,government,democracy,social media,social change,society,technology"
"
											So when people voice fears
of artificial intelligence,
											very often, they invoke images
of humanoid robots run amok.
											You know? Terminator?
											You know, that might be
something to consider,
											but that's a distant threat.
											Or, we fret about digital surveillance
											with metaphors from the past.
											""1984,"" George Orwell's ""1984,""
											it's hitting the bestseller lists again.
											It's a great book,
											but it's not the correct dystopia
for the 21st century.
											What we need to fear most
											is not what artificial intelligence
will do to us on its own,
											but how the people in power
will use artificial intelligence
											to control us and to manipulate us
											in novel, sometimes hidden,
											subtle and unexpected ways.
											Much of the technology
											that threatens our freedom
and our dignity in the near-term future
											is being developed by companies
											in the business of capturing
and selling our data and our attention
											to advertisers and others:
											Facebook, Google, Amazon,
											Alibaba, Tencent.
									","
											İnsanlar yapay zekayla ilgili
korkularını dile getirdiğinde
											genellikle kontrolden çıkmış
insansı robotları hayal ederler.
											Terminatör gibi.
											Düşünmeye değer olsa da
											uzak bir tehdit bu.
											Bazen de geçmişe özgü benzetmelerle
											dijital gözetlenme kaygısı taşıyoruz.
											George Orwell'in ''1984'' adlı eseri
											şu an yine en çok satanlar listesinde.
											Harika bir kitap
											ama 21. yüzyıl için doğru distopya değil.
											En çok korkmamız gereken şey
											yapay zekanın kendi başına
bize ne yapacağı değil,
											güç sahibi insanların
bizi kontrol ve manipüle etmek adına
											yeni, bazen saklı,
											bazen de belirsiz ve beklenmeyen şekilde
											bunu nasıl kullanacakları.
											Yakın gelecekteki bağımsızlığımızı
											ve itibarımızı tehdit eden 
teknolojinin büyük kısmı
											verilerimizi ve dikkatimizi toplayıp
											reklamcı ve benzerlerine satan
											şirketler tarafından geliştiriliyor:
											Facebook, Google, Amazon,
											Alibaba, Tencent.
									","
											Quand les gens expriment de la peur
envers l'intelligence artificielle,
											très souvent, ils évoquent des images
de robots humanoïdes qui se déchaînent.
											Vous voyez ? Terminator ?
											Ce pourrait être à considérer
											mais c'est une menace très lointaine.
											Ou nous nous tracassons
au sujet de la surveillance numérique
											avec des métaphores du passé.
											« 1984 » de George Orwell
											est à nouveau parmi les livres
les plus vendus.
											C'est un super livre,
											mais ce n'est pas la bonne dystopie
pour le 21e siècle.
											Ce que nous devons craindre
											n'est pas ce que
l'intelligence artificielle fera seule,
											mais comment les gens au pouvoir
utiliseront l'intelligence artificielle
											pour nous contrôler et nous manipuler
											de façons nouvelles, parfois cachées,
											subtiles et inattendues.
											La plupart des technologies
											qui menacent notre liberté
et notre dignité dans un avenir proche
											sont développées par des entreprises
											dans le domaine
de l'enregistrement et de la vente
											de nos données et notre attention
											à des publicitaires et autres :
											Facebook, Google, Amazon,
											Alibaba, Tencent.
									","
											Cuando la gente manifiesta temor
por la inteligencia artificial,
											muchas veces recurre a imágenes
de robots humanoides enloquecidos.
											Ya saben: Terminator.
											Quizá debamos considerarlo,
											pero es una amenaza lejana.
											O si no, nos inquietamos
por la vigilancia electrónica
											con metáforas del pasado.
											""1984"", el ""1984"" de George Orwell,
											es un libro superventas otra vez.
											Es un gran libro,
											pero no es la distopía
correcta para el siglo XXI.
											Lo que debemos temer más
											no es lo que la inteligencia artificial
nos hará por sí misma,
											sino cómo la gente en el poder
usará la inteligencia artificial
											para controlarnos y manipularnos
											de maneras nuevas, a veces escondidas,
											sutiles e inesperadas.
											Mucha de la tecnología
											que amenaza nuestra libertad
y dignidad en un futuro cercano
											la están desarrollando compañías
											que se dedican a capturar y vender
nuestra información y nuestra atención
											a anunciantes y demás:
											Facebook, Google, Amazon,
											Alibaba, Tencent.
									","
											Quando as pessoas falam
dos seus medos da inteligência artificial,
											comummente, invocam figuras
de robôs humanoides fora de controlo.
											Sabem? O Exterminador?
											Bem, isso pode ser algo a considerar,
											mas é uma ameaça distante.
											Ou então, preocupamo-nos
com a vigilância digital
											com metáforas do passado.
											""1984"" de George Orwell
											está a chegar ao topo de vendas novamente.
											É um ótimo livro
											mas não é a distopia correta
para o século XXI.
											O que mais devemos temer
											não é o que a inteligência artificial
nos vai fazer por si própria,
											mas sim como as pessoas no poder
vão usar a inteligência artificial
											para nos controlar e manipular
											de formas novas, e às vezes escondidas,
											subtis e inesperadas.
											Muita da tecnologia
											que ameaça a nossa libertade
e a nossa dignidade, no futuro próximo
											está a ser desenvolvida por empresas
											que estão no ramo de recolher e vender
											as nossas informações e a nossa atenção
											a publicitários e outros
											— o Facebook, a Google, a Amazon,
											o Alibaba, o Tencent.
									",We're building a dystopia just to make people click on ads,Zeynep Tufekci,22:55,"machine learning,AI,politics,algorithm,business,sociology,corruption,consumerism,data,economics,government,democracy,social media,social change,society,technology"
"
","
","
","
","
",We're building a dystopia just to make people click on ads,Zeynep Tufekci,22:55,"machine learning,AI,politics,algorithm,business,sociology,corruption,consumerism,data,economics,government,democracy,social media,social change,society,technology"
"
											Now, artificial intelligence has started
bolstering their business as well.
											And it may seem
like artificial intelligence
											is just the next thing after online ads.
											It's not.
											It's a jump in category.
											It's a whole different world,
											and it has great potential.
											It could accelerate our understanding
of many areas of study and research.
											But to paraphrase
a famous Hollywood philosopher,
											""With prodigious potential
comes prodigious risk.""
									","
											Şimdi yapay zeka da onların işlerine
katkıda bulunmaya başladı.
											Yapay zeka, internet
reklamcılığından sonra gelen
											yeni bir teknoloji gibi görünse de
											durum farklı.
											Söz konusu olan, 
ilgili alanda yepyeni bir açılım.
											Tamamen farklı bir dünya
											ve büyük potansiyeli var.
											Araştırma ve inceleme alanlarındaki
kavrayışımızı hızlandırabilir.
											Ancak ünlü bir Hollywood filozofundan
alıntı yapacak olursam,
											''Muhteşem potansiyel
muhteşem riskler barındırır.''
									","
											L'intelligence artificielle a également
commencé à stimuler leur marché.
											On pourrait croire
que l'intelligence artificielle
											sera la suite des publicités en ligne.
											Ce n'est pas le cas.
											C'est un saut dans la catégorie.
											C'est un monde complètement différent
											qui a un énorme potentiel.
											Ça pourrait accélérer
notre compréhension
											de nombreux domaines
d'étude et de recherche.
											Pour paraphraser un célèbre
philosophe hollywoodien :
											« Un grand pouvoir implique
de grandes responsabilités. »
									","
											La inteligencia artificial ha comenzado
a respaldar esos negocios también.
											Y parece que la inteligencia artificial
											es lo que le sigue 
a los anuncios en línea.
											Pero no lo es.
											Es un salto de categoría.
											Es un mundo totalmente distinto,
											y tiene un gran potencial.
											Podría acelerar nuestro entendimiento
											de muchas áreas
de estudio e investigación.
											Pero, parafraseando a un famoso
filósofo hollywoodense,
											""Un enorme potencial
viene con un enorme riesgo"".
									","
											Agora, a inteligência artificial
											também começou
a reforçar os seus negócios.
											E pode parecer que
a inteligência artificial
											é o que se seguirá aos anúncios ""online"".
											Não é.
											É uma subida de patamar.
											É um mundo completamente diferente
											e tem um grande potencial.
											Pode acelerar a nossa compreensão
											de muitas áreas de estudo e investigação.
											Mas, para parafrasear
um famoso filósofo de Hollywood,
											""Com um prodigioso potencial,
vem um prodigioso risco.""
									",We're building a dystopia just to make people click on ads,Zeynep Tufekci,22:55,"machine learning,AI,politics,algorithm,business,sociology,corruption,consumerism,data,economics,government,democracy,social media,social change,society,technology"
"
","
","
","
","
",We're building a dystopia just to make people click on ads,Zeynep Tufekci,22:55,"machine learning,AI,politics,algorithm,business,sociology,corruption,consumerism,data,economics,government,democracy,social media,social change,society,technology"
"
											Now let's look at a basic fact
of our digital lives, online ads.
											Right? We kind of dismiss them.
											They seem crude, ineffective.
											We've all had the experience
of being followed on the web
											by an ad based on something
we searched or read.
											You know, you look up a pair of boots
											and for a week, those boots are following
you around everywhere you go.
											Even after you succumb and buy them,
they're still following you around.
											We're kind of inured to that kind
of basic, cheap manipulation.
											We roll our eyes and we think,
""You know what? These things don't work.""
											Except, online,
											the digital technologies are not just ads.
											Now, to understand that,
let's think of a physical world example.
											You know how, at the checkout counters
at supermarkets, near the cashier,
											there's candy and gum
at the eye level of kids?
											That's designed to make them
whine at their parents
											just as the parents
are about to sort of check out.
											Now, that's a persuasion architecture.
											It's not nice, but it kind of works.
											That's why you see it
in every supermarket.
											Now, in the physical world,
											such persuasion architectures
are kind of limited,
											because you can only put
so many things by the cashier. Right?
											And the candy and gum,
it's the same for everyone,
											even though it mostly works
											only for people who have
whiny little humans beside them.
											In the physical world,
we live with those limitations.
									","
											Dijital hayatlarımızdaki
temel bir gerçeğe bakalım.
											İnternet reklamları. Öyle değil mi? 
Onları yok sayıyoruz.
											Basit ve dikkat dağıtıcı görünüyorlar.
											Okuduğumuz veya arattığımız
bir konuyla ilgili reklamlar tarafından
											internette takip edilme tecrübesini
hepimiz yaşadık.
											Hani bir çift botun fiyatına bakarsınız
											ve sonra bütün hafta girdiğiniz
her sayfada botlar sizi takip eder.
											Karşı koyamayıp satın aldıktan sonra bile
sizi takip ederler.
											Bu basit ve ucuz manipülasyonu
adeta kanıksamış durumdayız.
											Göz devirip kendi kendimize
''İşe yaramıyor bunlar.'' diyoruz.
											Ne var ki internet ortamında,
											dijital teknolojiler
reklamlardan ibaret değil.
											Bunu anlamak için
fiziksel bir dünya örneği ele alalım.
											Süpermarketlerde
kasaların hemen yanında
											çocukların göz hizasında
şekerleme ve sakız olur.
											İlgili düzenek, aileler tam
marketten çıkmak üzereyken
											çocuklarının bunları
ısrarla istemeleri için tasarlanmıştır.
											Bu bir ikna mimarisi.
											Pek hoş değil ama işe yarıyor.
											Bu yüzden de her süpermarkette görüyoruz.
											Fiziksel dünyada,
											bu ikna mimarileri sınırlıdır,
											çünkü kasiyerin yanına koyabileceğiniz
şeylerin bir sınırı var, değil mi?
											Şeker ve sakız herkes için aynı,
											her ne kadar yanında
											sızlanan çocuklar olan 
aileler için işe yarasa da.
											Fiziksel dünyada bu sınırlarla yaşıyoruz.
									","
											Considérons un fait fondamental
de nos vies numériques : les publicités.
											Nous les ignorons.
											Elles semblent grossières, inefficaces.
											Nous avons tous été suivis sur internet
											par une pub basée sur une chose
que nous avions cherchée ou lue.
											Vous cherchez un paire de bottes
											et pendant une semaine, ces bottes
vous suivent partout où vous allez.
											Même après avoir succombé
et les avoir achetées,
											elles vous suivent encore.
											Nous sommes un peu protégés
contre cette manipulation bon marché.
											Nous levons les yeux au ciel et pensons :
« Ça ne marche pas. »
											Mis à part qu'en ligne,
											les technologies numériques
ne sont pas que des publicités.
											Pour le comprendre, réfléchissons
à un exemple du monde physique.
											Vous savez comment à la caisse
au supermarché, près du caissier,
											il y a des bonbons et chewing-gums
à hauteur des yeux des enfants ?
											C'est conçu pour les faire pleurnicher
auprès de leurs parents
											alors que les parents
sont sur le point de payer.
											C'est une architecture de persuasion.
											Ce n'est pas sympa, mais ça marche.
											C'est pourquoi vous le voyez partout.
											Dans le monde physique,
											de telles architectures
de persuasion sont limitées
											car on ne peut mettre qu'un certain nombre
de choses près de la caisse.
											Les bonbons et chewing-gums
sont les mêmes pour tout le monde,
											même si ça fonctionne
											surtout pour les gens ayant des petits
êtres pleurnichant à leurs côtés.
											Dans le monde physique,
nous vivons avec ces limites.
									","
											Ahora hablemos de un hecho básico
de nuestra vida digital: los anuncios.
											Como que los ignoramos, ¿no?
											Parecen ordinarios, inefectivos.
											Todos hemos tenido esa experiencia
de ser perseguidos en la web
											por un anuncio basado en algo
que buscamos o leímos.
											Ya saben, buscas un par de botas
											y durante una semana, esas botas
te siguen a todos lados donde vayas.
											Incluso después de haber sucumbido
a comprarlas, te continúan siguiendo.
											Estamos habituados a ese tipo
de manipulación simple y barata.
											Ponemos los ojos en blanco y pensamos,
""¿Sabes qué? Esto no funciona"".
											Excepto que, en línea,
											las tecnologías digitales 
no son solo anuncios.
											Para entender eso, pensemos
en un ejemplo del mundo físico.
											¿Han visto que en la caja de cobro
del supermercado, cerca del cajero,
											hay dulces y goma de mascar
a la altura de los ojos de los niños?
											Eso está diseñado para hacerlos
rogar a sus padres
											justo cuando los padres están por pagar.
											Eso es arquitectura de la persuasión.
											No es agradable, pero funciona.
											Por eso se ve en todos los supermercados.
											Ahora, en el mundo físico,
											la arquitectura de la persuasión
es un poco limitada,
											porque solo puedes poner 
unas cuantas cosas cerca de la caja, ¿no?
											Y los dulces y goma de mascar
son iguales para todos,
											aunque en general funciona
											solo con la gente que va acompañada
de personitas caprichosas.
											En el mundo físico, 
vivimos con esas limitantes.
									","
											Olhemos para factos básicos
da nossa vida digital,
											os anúncios ""online"".
											Quase nos passam despercebidos.
											Parecem brutos, ineficazes.
											Já todos tivemos a experiência
de sermos perseguidos na Internet
											por um anúncio, baseado em algo
que pesquisámos ou lemos.
											Procuramos um par de botas
											e, durante uma semana, aquelas botas
perseguem-nos, aonde quer que vamos.
											Mesmo após termos cedido
e as termos comprado, ainda nos perseguem.
											Estamos quase habituados a este tipo
de manipulação, básica e barata.
											Reviramos os olhos e pensamos:
											""Sabem que mais? 
Estas coisas não funcionam.""
											Mas ""online"", as tecnologias digitais
não são apenas os anúncios.
											Para percebermos isso, pensemos
num exemplo do mundo físico.
											Sabem como, nos balcões à saída
do supermercado, ao pé das caixas,
											há doces e pastilhas ao nível
do olhar das crianças?
											Isso foi feito para as fazer
choramingar para os pais,
											quando os pais estão quase
a pagar e sair.
											Isso é uma arquitetura de persuasão.
											Não é simpático, mas até funciona.
											É por isso que o vemos
em todos os supermercados.
											No mundo físico,
											estas arquiteturas de persuasão
são um pouco limitadas,
											porque só dá para pôr algumas coisas
ao pé da caixa, certo?
											E os doces e as pastilhas
são os mesmos para toda a gente,
											apesar de funcionar maioritariamente
											só com pessoas que têm
aqueles seres birrentos ao lado.
											No mundo físico, vivemos
com estas limitações.
									",We're building a dystopia just to make people click on ads,Zeynep Tufekci,22:55,"machine learning,AI,politics,algorithm,business,sociology,corruption,consumerism,data,economics,government,democracy,social media,social change,society,technology"
"
","
","
","
","
",We're building a dystopia just to make people click on ads,Zeynep Tufekci,22:55,"machine learning,AI,politics,algorithm,business,sociology,corruption,consumerism,data,economics,government,democracy,social media,social change,society,technology"
"
											In the digital world, though,
											persuasion architectures
can be built at the scale of billions
											and they can target, infer, understand
											and be deployed at individuals
											one by one
											by figuring out your weaknesses,
											and they can be sent
to everyone's phone private screen,
											so it's not visible to us.
											And that's different.
											And that's just one of the basic things
that artificial intelligence can do.
									","
											Ancak dijital dünyada,
											ikna mimarisi, milyarlara erişecek 
şekilde inşa edilebilir
											ve bu reklamlar aynı zamanda
											bireyleri teker teker
hedef alarak anlayabilir,
											zayıf noktalarını tespit ederek
											onlara kişisel seviyede nüfuz edebilir
											hatta herkesin kişisel telefon ekranına
bile gönderilebilir,
											böylelikle bizler görmeyiz.
											Ve bu oldukça farklı.
											Bu, yapay zekanın yapabileceği
temel şeylerden yalnızca biri.
									","
											Dans le monde numérique cependant,
											les architectures de persuasion
peuvent être adaptées
											pour des milliards de personnes,
											elles peuvent cibler,
déduire, comprendre
											et être déployées pour des individus,
											un par un,
											en déterminant nos faiblesses
											et elles peuvent être envoyées
sur l'écran privé des téléphones
											afin que ce ne soit pas
visible à nos yeux.
											C'est différent.
											Ce n'est qu'une chose basique dont
est capable l'intelligence artificielle.
									","
											No obstante, en el mundo digital,
											las arquitecturas de la persuasión
pueden tener miles de millones de opciones
											y pueden apuntar, inferir, entender
											y ser aplicadas a cada individuo
											uno por uno
											descubriendo nuestras debilidades,
											y pueden ser enviadas directamente
a la pantalla personal de cada teléfono,
											así que son invisibles para nosotros.
											Y eso es diferente.
											Es solo una de las cosas que puede hacer
la inteligencia artificial.
									","
											No entanto, no mundo digital,
as arquiteturas de persuasão
											podem ser construidas
à escala de milhares de milhões
											e podem escolher o alvo, deduzir,
											compreender e ser utilizadas
em indivíduos, um a um,
											percebendo as suas fraquezas,
											e podem ser enviadas para o ecrã
do telefone privado de cada pessoa
											e, por isso, nós não as vemos.
											E isso é diferente.
											E é só uma das coisas básicas
que a inteligência artificial faz.
									",We're building a dystopia just to make people click on ads,Zeynep Tufekci,22:55,"machine learning,AI,politics,algorithm,business,sociology,corruption,consumerism,data,economics,government,democracy,social media,social change,society,technology"
"
","
","
","
","
",We're building a dystopia just to make people click on ads,Zeynep Tufekci,22:55,"machine learning,AI,politics,algorithm,business,sociology,corruption,consumerism,data,economics,government,democracy,social media,social change,society,technology"
"
											Now, let's take an example.
											Let's say you want to sell
plane tickets to Vegas. Right?
											So in the old world, you could think
of some demographics to target
											based on experience
and what you can guess.
											You might try to advertise to, oh,
											men between the ages of 25 and 35,
											or people who have
a high limit on their credit card,
											or retired couples. Right?
											That's what you would do in the past.
									","
											Bir örnek verelim.
											Diyelim ki Las Vegas'a uçak bileti 
satmak istiyorsunuz.
											Eski düzende,
deneyim ve öngörülerinize dayanarak
											hedef bir demografik kesim belirlersiniz.
											Reklam yapmayı da deneyebilirsiniz,
											25-35 yaş aralığındaki erkekler
											veya kredi kartı limiti 
yüksek olan insanlar
											veya emekli çiftler, değil mi?
											Geçmişte böyle yapardınız.
									","
											Prenons un exemple.
											Vous voulez vendre
des billets d'avion pour Las Vegas.
											Dans l'ancien monde, vous pensiez
à des segments démographiques à cibler
											d'après votre expérience
et ce que vous pouvez imaginer.
											Vous pourriez faire de la publicité
											aux hommes ayant entre 25 et 35 ans
											ou aux gens qui ont une limite élevée
sur leur carte de crédit
											ou aux couples à la retraite.
											C'est ce que vous auriez fait.
									","
											Pongamos un ejemplo.
											Digamos que quieren vender
boletos de avión a Las Vegas.
											En el viejo mundo, se dirigirían
a ciertos sectores demográficos
											basándose en la experiencia
y lo que podían suponer.
											Podrían tratar de anunciar para
											hombres entre los 25 y 35 años,
											o gente con un límite alto 
en la tarjeta de crédito,
											o parejas retiradas, ¿no?
											Eso es lo que harían en el pasado.
									","
											Vejamos um exemplo.
											Suponhamos que queremos vender
bilhetes de avião para Las Vegas.
											No mundo antigo, pensaríamos
nalgumas demografias como alvo
											com basea na experiência e em palpites.
											Poderíamos colocar anúncios
para homens entre os 25 e os 35 anos,
											ou pessoas que tenham
um limite elevado no cartão de crédito,
											ou casais reformados, certo?
											Isso seria o que faríamos no passado.
									",We're building a dystopia just to make people click on ads,Zeynep Tufekci,22:55,"machine learning,AI,politics,algorithm,business,sociology,corruption,consumerism,data,economics,government,democracy,social media,social change,society,technology"
