es,pt,tr,fr,title,speaker,duration,tags
"
","
","
","
",5 ways to kill your dreams,Bel Pesce,6:11,"TED Fellows,entrepreneur,innovation,life"
"
											Dediqué los últimos dos años a entender
											cómo las personas cumplen sus sueños.
											Si pensamos en los sueños que tenemos,
											y la huella que queremos dejar
en el universo,
											sorprende la superposición existente
											entre los sueños que tenemos
y los proyectos no realizados.
											(Risas)
											Por eso hoy vengo a hablarles
											de cinco maneras 
para no cumplir sus sueños.
									","
											Eu dediquei os últimos dois anos
a perceber
											como é que as pessoas 
concretizam os seus sonhos.
											Quando pensamos nos sonhos que temos
											e a marca que queremos deixar no universo,
											é impressionante ver 
o quanto há em comum
											entre os sonhos que temos
e os projetos que nunca se concretizam.
											(Risos)
											Portanto, estou aqui hoje para vos falar
											de cinco formas de não seguirem
os vossos sonhos.
									","
											Son iki yılımı, insanların 
hayallerini
											nasıl gerçekleştirdiğini 
anlamaya adadım.
											Hayallerimizi ve evrende bırakmak
											istediğimiz çukurları düşündüğümüzde,
											sahip olduğumuz hayallerin ve
hiç gerçekleşmemiş projelerin
											ne kadar büyük bir örtüşme olduğunu
görmek gözalıcı oluyor.
											(Kahkahalar)
											Bugün sizlerle, hayallerinizi
gerçekleştirememenin
											beş yolu hakkında
konuşmak için buradayım.
									","
											J'ai dédié ces deux dernières années
à comprendre
											comment les gens 
accomplissent leurs rêves.
											Quand nous pensons
aux rêves que nous avons,
											et à cette marque
que nous voulons laisser dans l'univers,
											il est étonnant de voir
les similitudes flagrantes
											entre les rêves que nous avons
et les projets qui ne se font jamais.
											(Rires)
											Je suis donc ici pour vous parler
											de 5 façons pour ne pas suivre vos rêves.
									",5 ways to kill your dreams,Bel Pesce,6:11,"TED Fellows,entrepreneur,innovation,life"
"
","
","
","
",5 ways to kill your dreams,Bel Pesce,6:11,"TED Fellows,entrepreneur,innovation,life"
"
											Uno: Creer en el éxito repentino.
											Conocen la historia, ¿no?
											El tecnólogo que hace una app móvil,
la vende rápido y gana mucho dinero.
											Puede que la historia sea real,
pero apuesto a que está incompleta.
											Si uno investiga un poco más,
											ese tipo había creado 30 apps antes
											y tenía un doctorado en ese tema.
											Había trabajado sobre 
ese tema durante 20 años.
									","
											Um: Acreditar no sucesso instantâneo.
											Conhecem a história, não conhecem?
											O tipo que construiu uma aplicação para
dispositivos móveis, vendeu-a por milhões.
											Sabem, a história pode parecer real,
mas aposto que está incompleta.
											Se investigarem mais a fundo,
											o tipo construíra 30 aplicações antes,
											e tinha feito um mestrado sobre 
aplicações, um doutoramento...
											Ele tinha estado a trabalhar nisso
há 20 anos.
									","
											Bir: Tek gecede başarıya ulaşmaya inanın.
											Olayı biliyorsunuz, değil mi ?
Teknisyen, bir telefon uygulaması yapar
											ve uygulamayı hızlıca ve pahalıya satar.
											Hikaye gerçekmiş gibi gelebilir,
ama bahse girerim ki bundan ibaret değil.
											Daha derinine inerseniz,
											o adam daha önce 30 uygulama
daha oluşturmuş
											ve bu konuda master yapmış,
doktorası vardır.
											Bu konu üzerinde
20 yıldır çalışıyor.
									","
											Premièrement :
croire au succès instantané.
											Vous connaissez l'histoire, non ?
											Ce type crée une application mobile
et la revend très chère très rapidement.
											Cette histoire a l'air vraie 
mais je parie qu'elle ne dit pas tout.
											Si vous fouillez un peu plus,
											ce type a créé 30 applications auparavant
											et a fait une maitrise sur le sujet 
ou un doctorat.
											Il a travaillé sur ce sujet
pendant 20 ans.
									",5 ways to kill your dreams,Bel Pesce,6:11,"TED Fellows,entrepreneur,innovation,life"
"
","
","
","
",5 ways to kill your dreams,Bel Pesce,6:11,"TED Fellows,entrepreneur,innovation,life"
"
											Esto es muy interesante,
											yo misma tengo una historia en Brasil,
que se cree que fue un éxito repentino.
											Vengo de una familia humilde,
											y dos semanas antes de cumplirse
el plazo para presentarse al MIT,
											empecé los trámites 
de solicitud de ingreso.
											Y, ¡voilá! Entré.
											Puede pensarse que fue 
un éxito repentino,
											pero funcionó solo porque 
durante los 17 años previos,
											me tomé la vida y la educación en serio.
											El éxito de la noche a la mañana
siempre es producto
											de todo lo hecho en 
la vida hasta ese momento.
									","
											Isto é mesmo interessante.
											Eu própria tenho uma história no Brasil
considerada um sucesso instantâneo.
											Venho de uma família humilde,
											e duas semanas antes de terminar
o prazo de candidatura ao MIT,
											iniciei o processo de candidatura.
											E ""Voilá!"" Entrei.
											As pessoas podem pensar que foi
um sucesso instantâneo,
											mas só funcionou porque
nos 17 anos anteriores
											levei a vida e a educação a sério.
											A nossa história de sucesso instantâneo
é sempre resultado
											de tudo o que fizemos na nossa vida
até àquele momento.
									","
											Bu gerçekten çok ilginç.
											Benim de Brezilya'da, insanların
tek gecelik sandığı bir hikayem var.
											Sıradan bir aileden geliyorum,
											MIT'e başvurmam için verilen
sürenin bitişinden iki hafta önce,
											uygulama sürecini başlattım.
											Ve işte ! Kabul edildim.
											İnsanlar bunun tek gecede elde edilmiş
bir başarı olduğunu düşünebilir
											ama kabul edilmemin sebebi
bundan önce 17 yıldır,
											hayatı ve eğitimi çok ciddiye almam.
											Tek gecelik başarı hikayeniz, o ana kadar
hayatınızda yaptığınız her şeyin
											bir sonucudur.
									","
											C'est très intéressant.
											Moi-même, au Brésil, les gens croient
que j'ai eu un succès instantané.
											Je viens d'une famille modeste,
											et deux semaines avant la clôture
des inscriptions au MIT,
											j'ai entamé la mienne.
											Et voilà ! J'ai été reçue.
											Les gens peuvent croire 
que c'est un succès instantané,
											mais c'est seulement parce que 
pendant les 17 années avant cela,
											j'ai été une étudiante très sérieuse.
											Un succès instantané 
est toujours le résultat
											de tout ce que vous avez fait 
dans votre vie jusque-là.
									",5 ways to kill your dreams,Bel Pesce,6:11,"TED Fellows,entrepreneur,innovation,life"
"
","
","
","
",5 ways to kill your dreams,Bel Pesce,6:11,"TED Fellows,entrepreneur,innovation,life"
"
											Dos: Creer que otra persona
tiene las respuestas para uno mismo.
											Constantemente, la gente 
quiere ayudar, ¿no?
											Todo tipo de gente: la familia,
los amigos, los socios comerciales,
											todos opinan sobre el camino 
que deberíamos tomar:
											""Permíteme que te diga,
ve por este camino"".
											Pero al analizarlo, 
hay otras alternativas también.
											Y uno tiene que tomar 
esas decisiones por su cuenta.
											Nadie más tiene las respuestas 
perfectas para tu propia vida.
											Y hay que seguir tomando
esas decisiones, ¿sí?
											Los caminos son infinitos
y encontraremos obstáculos,
											eso es parte del proceso.
									","
											Dois: Acreditar que alguém
tem respostas para dar.
											Constantemente, as pessoas
querem ajudar-nos, certo?
											Todos os tipos de pessoas: a nossa família,
os amigos, os parceiros de negócios,
											todos eles têm opiniões
sobre o caminho que devemos seguir:
											""Deixa-me dizer-te, vai por este.""
											Mas, uma vez lá dentro, vemos outros
caminhos que também temos de escolher.
											E temos de ser nós a tomar essas decisões.
											Mais ninguém tem as respostas
perfeitas para a nossa vida.
											E temos de continuar a tomar
essas decisões, certo?
											As condutas são infinitas e vamos dar
com a cabeça nas paredes,
											isso faz parte do processo.
									","
											İki: Bir başkasının size 
yardımcı olabileceğine inanın.
											İnsanlar sık sık yardım
etmek isterler, değil mi?
											Tüm insanlar: aileniz, arkadaşlarınız,
iş ortaklarınız,
											hangi yola gitmeniz gerektiği konusunda
hepsinin bir fikri var:
											""İzin ver de söyleyeyim, bu borudan gir.""
											Ama o borudan her girdiğinizde, seçmeniz
gereken başka yollar olacak.
											Bu kararları kendiniz vermelisiniz.
											Hiç kimse sizin hayatınız için
en iyi cevaba sahip değildir.
											Kararlar vermeye devam
edeceksiniz, değil mi ?
											Sonsuz tane boru var ve
illaki kafanızı çarpacaksınız,
											bu sürecin bir parçası.
									","
											Deuxièmement : penser que quelqu'un d'autre
a les réponses pour vous.
											Les gens veulent aider.
											Toutes sortes de gens : votre famille, 
vos amis, vos collègues,
											ils ont chacun une opinion 
sur le chemin que vous devriez prendre :
											« Non vraiment, 
tu dois prendre cette voie. »
											Mais une fois empruntée, 
il y a d'autres chemins à choisir.
											Et ces choix-là, 
vous devez les faire vous-mêmes.
											Personne n'a de réponses parfaites 
pour votre vie.
											Vous devez continuer à faire des choix.
											Les chemins sont infinis 
et vous allez trébucher,
											ça fait partie du processus.
									",5 ways to kill your dreams,Bel Pesce,6:11,"TED Fellows,entrepreneur,innovation,life"
"
","
","
","
",5 ways to kill your dreams,Bel Pesce,6:11,"TED Fellows,entrepreneur,innovation,life"
"
											Tres, y esto es muy sutil
pero muy importante:
											Asentarse cuando el crecimiento 
está garantizado.
											Cuando te va bien en la vida,
											has reunido un gran equipo,
											los ingresos crecen
y todo marcha sobre rieles...
											es hora de asentarse.
											Cuando lancé mi primer libro,
											trabajé muy, muy arduamente
para distribuirlo en todo Brasil.
											Lo descargaron más de 
tres millones de personas
											y más de 50 000 personas
compraron ejemplares en papel.
											Al escribir la secuela,
había un impacto garantizado.
											Incluso haciendo poco, se vendería bien.
											Pero bien nunca está bien.
											Si estás creciendo hacia un pico,
											tienes que trabajar más que nunca 
y alcanzar otro pico.
											Quizá. de haber hecho poco, lo habrían 
leído un par de cientos de miles,
											y eso ya era importante.
											Pero trabajando como nunca antes,
											puedo llevar ese número a millones.
											Por eso decidí, con mi nuevo libro,
recorrer cada estado de Brasil.
											Y ya puedo ver un pico más alto.
											No hay tiempo para asentarse.
									","
											Três, e é muito subtil
mas muito importante:
											Decidir acomodar-se
quando o crescimento é garantido.
											Portanto, quando a nossa vida
está a ir lindamente.
											Reunimos uma excelente equipa,
											temos lucros crescentes
e tudo está organizado
											— é tempo de nos acomodarmos.
											Quando lancei o meu primeiro livro,
											trabalhei muito, mesmo muito
para o distribuir por todo o Brasil.
											Devido a isso, mais de três milhões
descarregaram-no [da Internet],
											mais de 50 000 pessoas compraram
exemplares em suporte papel.
											Quando escrevi a sua continuação,
estava garantido algum impacto.
											Mesmo se me esforçasse pouco,
as vendas seriam razoáveis.
											Mas ""razoável"" nunca é bom.
											Quando trabalhamos para alcançar um pico,
											temos de trabalhar cada vez mais
para nos encontrarmos no pico seguinte.
											Se calhar, se eu fizesse pouco,
umas duzentas mil pessoas lê-lo-iam,
											e isso já seria ótimo.
											Mas se eu trabalhar mais do que nunca,
											consigo esticar este número para milhões.
											Foi por isso que decidi ir, com o meu
novo livro, a todos os Estados do Brasil.
											E já consigo ver um pico mais elevado.
											Não há tempo para me acomodar.
									","
											Üç, bu biraz zor
fakat çok önemli:
											İlerleme kaçınılmaz olduğunda
sabitlenmeye karar verin.
											Hayatınız harikayken,
											harika bir takım kurmuşken,
											artan bir geliriniz varken
ve her şey hazırken—
											sabit konuma geçme zamanı
gelmiş demektir.
											İlk kitabımı çıkardığımda,
											onu tüm Brezilya'ya dağıtabilmek
için gerçekten çok sıkı çalıştım.
											Böylece, üç milyonun üzerinde insan
onu internetten indirdi,
											elli binin üzerinde insan
kopyalarını satın aldı.
											İkincisini yazdığımda,
bazı etkiler kaçınılmazdı.
											Birazcık bile yapsaydım, 
satışları iyi olurdu.
											Ama iyi hiçbir zaman
iyi değildir.
											Zirveye doğru ilerlerken
											hiç olmadığı kadar çabalamalı
ve yeni bir zirve bulmalısınız.
											Belki az emek verseydim, birkaç yüz
insan okurdu
											ve bu zaten yeteri kadar iyi.
											Ama ben hiç çalışmadığım kadar
sıkı çalışsaydım,
											bu sayıyı milyonlara çıkarabilirdim.
											Bu yüzden, ikinci kitabımla 
Brezilya'nın her eyaletine
											gitmeye karar verdim.
Şimdiden daha yüksek
											bir zirve görebilmiştim.
Sabitlenmeye zaman yoktu.
									","
											Troisièmement :
très subtil mais très important.
											Décider de se reposer
quand une croissance est assurée.
											Quand tout va bien pour vous,
											vous avez une équipe géniale,
											vous faîtes des bénéfices,
et tout fonctionne-
											il est temps de s'arrêter.
											Quand j'ai sorti mon premier livre,
											j'ai travaillé très dur
pour le distribuer partout au Brésil.
											Plus de 3 millions de personnes
l'ont téléchargé,
											et plus de 50 000 copies ont été vendues.
											En écrivant une suite,
l'impact était garanti.
											Même en ne faisant pas grand chose, 
il se vendrait bien.
											Mais bien n'est jamais bien.
											Quand vous voulez escalader un sommet,
											vous devez travailler encore plus dur
et escalader un sommet encore plus haut.
											Peut-être que sans faire grand chose,
200 000 personnes auraient lu mon livre,
											et c'est déjà génial.
											Mais en travaillant
plus dur que jamais,
											je peux transformer ce chiffre
en millions.
											Pour mon nouveau livre, je suis donc allée
dans chaque état du Brésil.
											Et je peux déjà voir un sommet plus haut.
											Je n'ai pas le temps de m'arrêter.
									",5 ways to kill your dreams,Bel Pesce,6:11,"TED Fellows,entrepreneur,innovation,life"
