es,en,fr,title,speaker,duration,tags
"
","
","
",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
"
											Sin duda, la democracia 
está en problemas,
											y se debe en parte al fuerte dilema
											en el que se encuentra.
											Es cada vez más intrascendente 
para las decisiones que
											tomamos frente a pandemias globales,
											un problema transfronterizo;
											el VIH, un problema transnacional;
											los mercados y la inmigración,
											que van más allá de 
las fronteras nacionales;
											el terrorismo, la guerra,
											todos ellos problemas 
transfronterizos en la actualidad.
									","
											Democracy is in trouble, no question about that,
											and it comes in part from a deep dilemma
											in which it is embedded.
											It's increasingly irrelevant to the kinds of decisions
											we face that have to do with global pandemics,
											a cross-border problem;
											with HIV, a transnational problem;
											with markets and immigration,
											something that goes beyond national borders;
											with terrorism, with war,
											all now cross-border problems.
									","
											La démocratie est en difficulté,
aucun doute là-dessus,
											et cela est dû en partie
au profond dilemme
											dans laquelle elle est enfermée.
											Elle est de plus en plus inapte
à prendre des décisions
											en ce qui concerne les pandémies globales,
											un problème transfrontalier,
											ou sur le Sida, un problème transnational,
											ou encore sur les marchés ou l'immigration,
											qui s'étendent au-delà
des frontières nationales,
											sur le terrorisme, la guerre,
											tous devenus aujourd'hui
des problèmes transfrontaliers.
									",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
"
","
","
",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
"
											De hecho, vivimos en un siglo XXI
											de la interdependencia,
											y de salvajes problemas 
interdependientes,
											y cuando buscamos soluciones 
en la política y la democracia,
											nos encontramos con 
instituciones políticas
											diseñadas hace 400 años,
											estados-nación soberanos y autónomos,
											con jurisdicción y territorios
											separados unos de otros,
											y cada uno de ellos afirma 
ser capaz de solucionar
											los problemas de sus ciudadanos.
											Un mundo del siglo XXI, 
con problemas y retos
											de un mundo transnacional
											e instituciones políticas del siglo XVII.
											En este dilema radica el principal 
problema de la democracia.
											Como muchos otros, 
he estado pensando
											sobre lo que podemos hacer 
con esto, con esta asimetría
											entre los retos del siglo XXI
											y unas instituciones políticas 
en forma de estados-nación
											arcaicas y cada vez más disfuncionales.
									","
											In fact, we live in a 21st-century world
											of interdependence,
											and brutal interdependent problems,
											and when we look for solutions in politics and in democracy,
											we are faced with political institutions
											designed 400 years ago,
											autonomous, sovereign nation-states
											with jurisdictions and territories
											separate from one another,
											each claiming to be able to solve the problem
											of its own people.
											Twenty-first-century, transnational world
											of problems and challenges,
											17th-century world of political institutions.
											In that dilemma lies the central problem of democracy.
											And like many others, I've been thinking about
											what can one do about this, this asymmetry
											between 21st-century challenges
											and archaic and increasingly dysfunctional
											political institutions like nation-states.
									","
											En réalité, nous vivons au XXIe siècle
											dans un monde d'interdépendance,
											et de terribles problèmes interdépendants,
											et quand on cherche des solutions
dans la politique ou dans la démocratie,
											on se trouve face à des institutions politiques
											conçues il y a 400 ans,
											des Etats-Nations autonomes et souverains,
											avec des juridictions et des territoires
											distincts les uns des autres,
											chacun prétendant être capable
de résoudre les problèmes
											de son propre peuple.
											Le XXIe siècle,
un monde transnational
											de problèmes et de menaces,
											avec des institutions politiques du XVIIe siècle.
											Dans ce dilemme se trouve
le problème central de la démocratie.
											Comme beaucoup d'autres,
j'ai réfléchi
											à ce qu'on pouvait y faire,
à cette asymétrie
											entre les défis du XXIe siècle
											et des institutions archaïques
et fonctionnant de moins en moins bien,
											comme les Etats Nations.
									",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
"
","
","
",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
"
											Mi propuesta es esta:
											cambiemos el sujeto.
											Dejemos de hablar de naciones,
											de estados con fronteras,
											y comencemos a hablar de ciudades.
											Porque creo que, si hablamos 
de ciudades, descubrirán
											que hablamos de 
las instituciones políticas
											en las que nacieron 
la civilización y la cultura.
											Hablamos de la cuna 
de la democracia.
									","
											And my suggestion is
											that we change the subject,
											that we stop talking about nations,
											about bordered states,
											and we start talking about cities.
											Because I think you will find, when we talk about cities,
											we are talking about the political institutions
											in which civilization and culture were born.
											We are talking about the cradle of democracy.
									","
											Je propose
											de changer de sujet,
											d'arrêter de parler de nations,
											de frontières nationales,
											et de commencer à parler
des grandes villes.
											Car je crois que vous allez découvrir
que quand on parle de grandes villes,
											on parle des institutions politiques
											dans lesquelles la civilisation
et la culture sont nées.
											On parle du creuset de la démocratie.
									",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
"
","
","
",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
"
											Hablamos de esos lugares,
											esos espacios públicos 
en los que nos reunimos
											para crear la democracia 
y, al mismo tiempo,
											en que se manifiestan aquellos que 
quieren arrebatarnos nuestra libertad.
											Piensen en algunos de 
esos grandes nombres:
											la plaza de la Bastilla,
											el parque Zucotti,
											la plaza Tahrir,
											la plaza de Taksim de 
Estambul en los titulares de hoy,
											o, sí,
											la plaza de Tiananmen en Beijing.
									","
											We are talking about the venues in which
											those public spaces where we come together
											to create democracy, and at the same time
											protest those who would take our freedom, take place.
											Think of some great names:
											the Place de la Bastille,
											Zuccotti Park,
											Tahrir Square,
											Taksim Square in today's headlines in Istanbul,
											or, yes,
											Tiananmen Square in Beijing.
									","
											On parle du cadre dans lequel
											s'inscrivent ces espaces publics
											où l'on se réunit
pour créer la démocratie
											et, en même temps, pour protester
contre ceux qui veulent nous priver de liberté.
											Pensez à quelques noms célèbres :
											la place de la Bastille,
											le Parc Zuccotti,
											la place Tahrir,
											la place Taksim,
aujourd'hui à la une des journaux d'Istanbul,
											ou encore,
											la place Tien'Anmen, à Pékin.
									",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
"
","
","
",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
"
											(Aplausos)
									","
											(Applause)
									","
											(Applaudissements)
									",Why mayors should rule the world,Benjamin Barber,18:05,"cities,global issues,politics"
